Messstelle:                ;Ehrwald (Viadukt)
16.11.1984 15:30:00;  1,05
31.12.1984 09:30:00; 0,860
30.01.1985 00:00:00; 0,638
24.02.1985 00:00:00; 0,767
20.03.1985 07:45:00; 0,761
01.04.1985 10:30:00;  1,28
05.05.1985 14:15:00;  2,22
19.06.1985 13:15:00;  2,55
29.07.1985 12:00:00;  1,69
24.08.1985 21:00:00;  2,09
28.09.1985 14:00:00;  1,28
31.10.1985 02:45:00; 0,848
30.11.1985 18:00:00; 0,785
31.12.1985 00:00:00; 0,792
02.01.1986 08:30:00; 0,715
28.02.1986 23:59:55; 0,692
04.03.1986 12:15:00; 0,681
16.04.1986 12:45:00;  2,27
11.05.1986 10:15:00;  3,74
30.06.1986 12:45:00;  2,98
31.07.1986 13:00:00;  2,33
04.08.1986 17:00:00;  2,01
30.09.1986 13:00:00;  1,41
15.10.1986 19:30:00;  1,00
30.11.1986 20:45:00; 0,880
16.12.1986 13:15:00; 0,721
30.01.1987 21:50:00; 0,638
01.02.1987 00:30:00; 0,638
24.03.1987 12:15:00; 0,779
02.04.1987 11:15:00;  1,62
24.05.1987 14:15:00;  3,28
02.06.1987 12:15:00;  3,95
18.07.1987 15:30:00;  3,57
31.08.1987 15:15:00;  2,56
23.09.1987 20:45:00;  1,71
31.10.1987 23:59:55;  1,32
11.11.1987 22:15:00;  1,11
16.12.1987 11:30:00;  1,30
27.01.1988 22:45:00;  1,08
15.02.1988 04:15:00; 0,940
07.03.1988 13:15:00; 0,873
02.04.1988 07:30:00;  2,33
29.05.1988 09:45:00;  4,32
27.06.1988 09:15:00;  3,56
29.07.1988 10:15:00;  2,83
18.08.1988 13:45:00;  2,05
28.09.1988 10:30:00;  1,95
28.10.1988 11:00:00;  1,32
10.11.1988 10:15:00;  1,24
01.12.1988 00:15:00;  1,68
30.01.1989 08:30:00;  1,08
15.02.1989 08:45:00;  1,08
02.03.1989 19:45:00;  1,79
24.04.1989 14:45:00;  1,80
02.05.1989 10:00:00;  1,71
20.06.1989 14:15:00;  2,48
24.07.1989 15:15:00;  2,88
26.08.1989 22:00:00;  1,90
25.09.1989 15:00:00;  1,71
31.10.1989 23:59:55;  1,73
30.11.1989 23:59:55;  1,26
13.12.1989 13:15:00;  1,06
23.01.1990 15:45:00; 0,814
14.02.1990 00:00:00; 0,802
29.03.1990 13:30:00;  1,84
13.04.1990 10:15:00;  2,04
01.05.1990 12:00:00;  2,59
02.06.1990 14:15:00;  2,77
29.07.1990 23:00:00;  1,96
28.08.1990 13:45:00;  1,67
21.09.1990 18:30:00;  1,66
26.10.1990 11:00:00;  1,35
30.11.1990 23:59:55;  1,49
29.12.1990 03:15:00;  1,01
31.01.1991 23:59:55; 0,974
22.02.1991 14:45:00; 0,735
01.03.1991 11:00:00; 0,994
28.04.1991 14:15:00;  1,39
01.05.1991 12:30:00;  1,72
06.06.1991 11:00:00;  3,53
12.07.1991 14:30:00;  2,93
31.08.1991 13:45:00;  1,63
26.09.1991 18:30:00;  1,13
31.10.1991 23:59:55; 0,918
04.11.1991 10:15:00; 0,856
11.12.1991 04:00:00; 0,746
29.01.1992 03:45:00; 0,826
05.02.1992 15:30:00; 0,832
04.03.1992 13:45:00;  1,16
19.04.1992 02:30:00;  2,05
31.05.1992 10:15:00;  4,39
30.06.1992 12:15:00;  2,64
31.07.1992 21:45:00;  2,07
26.08.1992 19:45:00;  1,42
27.09.1992 20:30:00;  1,36
20.10.1992 15:00:00;  1,10
11.11.1992 14:00:00;  1,55
31.12.1992 23:59:55;  1,27
05.01.1993 22:30:00;  1,09
27.02.1993 08:45:00; 0,933
09.03.1993 09:00:00; 0,808
01.04.1993 11:45:00;  1,82
24.05.1993 12:00:00;  2,64
15.06.1993 11:45:00;  2,49
05.07.1993 11:45:00;  2,17
22.08.1993 17:15:00;  1,97
24.09.1993 17:45:00;  2,22
20.10.1993 22:30:00;  1,58
30.11.1993 11:15:00;  1,23
08.12.1993 13:45:00;  1,18
24.01.1994 10:30:00;  1,45
15.02.1994 07:30:00;  1,08
08.03.1994 11:15:00;  2,11
13.04.1994 08:00:00;  1,80
08.05.1994 11:15:00;  3,31
28.06.1994 21:00:00;  2,45
04.07.1994 22:15:00;  1,90
16.08.1994 12:45:00;  1,55
30.09.1994 19:00:00;  1,67
23.10.1994 06:00:00;  1,21
05.11.1994 16:45:00;  1,08
26.12.1994 07:15:00;  1,13
20.01.1995 12:45:00;  1,04
04.02.1995 22:00:00;  1,58
11.03.1995 12:15:00;  1,20
01.04.1995 11:30:00;  2,08
23.05.1995 11:15:00;  4,40
30.06.1995 11:45:00;  5,23
27.07.1995 14:00:00;  3,08
11.08.1995 16:30:00;  2,40
27.09.1995 18:00:00;  2,40
27.10.1995 19:45:00;  1,28
01.11.1995 06:00:00;  1,30
13.12.1995 11:45:00;  1,03
31.01.1996 00:30:00; 0,832
23.02.1996 21:00:00; 0,653
14.03.1996 11:45:00; 0,602
05.04.1996 12:15:00;  1,14
06.05.1996 13:30:00;  2,27
20.06.1996 20:30:00;  2,04
31.07.1996 10:30:00;  2,09
01.08.1996 23:45:00;  1,97
12.09.1996 17:15:00;  2,95
15.10.1996 19:45:00;  2,27
29.11.1996 17:30:00;  1,94
31.12.1996 23:59:55;  1,58
31.01.1997 23:59:55; 0,980
10.02.1997 13:00:00; 0,838
02.03.1997 13:15:00;  1,48
01.04.1997 09:15:00;  2,27
11.05.1997 11:45:00;  3,86
16.06.1997 18:00:00;  3,45
31.07.1997 18:30:00;  3,20
25.08.1997 20:00:00;  1,69
30.09.1997 22:15:00;  1,42
06.10.1997 16:00:00;  1,30
27.11.1997 14:45:00;  1,16
10.12.1997 20:30:00;  1,14
31.01.1998 01:00:00; 0,953
10.02.1998 12:15:00; 0,900
20.03.1998 08:15:00; 0,933
20.04.1998 11:30:00;  1,62
26.05.1998 16:30:00;  2,30
02.06.1998 11:00:00;  2,37
27.07.1998 09:15:00;  2,19
17.08.1998 16:15:00;  1,63
02.09.1998 18:30:00;  1,66
01.10.1998 08:00:00;  2,46
30.11.1998 22:30:00;  1,94
31.12.1998 19:30:00;  1,51
31.01.1999 23:59:55;  1,09
17.02.1999 22:15:00;  1,01
09.03.1999 07:15:00;  1,87
20.04.1999 19:00:00;  2,68
02.05.1999 11:45:00;  7,21
30.06.1999 16:00:00;  4,98
31.07.1999 14:30:00;  2,48
09.08.1999 18:00:00;  2,05
25.09.1999 15:15:00;  1,37
31.10.1999 23:59:55;  1,42
28.11.1999 20:45:00;  1,16
17.12.1999 20:00:00;  1,20
24.01.2000 09:45:00; 0,733
24.02.2000 10:45:00;  1,18
07.03.2000 11:30:00;  1,62
02.04.2000 09:30:00;  2,84
30.05.2000 15:00:00;  5,65
30.06.2000 23:59:55;  3,99
06.07.2000 20:15:00;  3,37
30.08.2000 18:30:00;  2,45
20.09.2000 16:00:00;  2,02
30.10.2000 16:24:10;  1,84
12.11.2000 21:30:00;  1,52
31.12.2000 21:30:00; 0,832
15.01.2001 02:45:00; 0,722
02.02.2001 01:45:00; 0,802
02.03.2001 11:30:00; 0,864
23.04.2001 09:15:00;  2,26
28.05.2001 11:15:00;  3,63
30.06.2001 20:45:00;  3,51
15.07.2001 12:45:00;  2,24
29.08.2001 19:15:00;  1,70
30.09.2001 23:45:00;  2,87
31.10.2001 13:00:00;  1,38
24.11.2001 11:00:00;  1,04
28.12.2001 09:45:00; 0,959
20.01.2002 23:30:00; 0,864
22.02.2002 12:30:00;  1,21
06.03.2002 11:34:15;  1,58
21.04.2002 15:45:00;  1,83
07.05.2002 14:45:00;  3,28
27.06.2002 12:15:00;  2,50
12.07.2002 18:15:00;  2,26
31.08.2002 18:06:05;  2,62
18.09.2002 17:47:40;  1,94
31.10.2002 23:59:55;  2,21
01.11.2002 23:45:00;  2,15
20.12.2002 05:30:00;  1,49
26.01.2003 08:45:00;  1,10
17.02.2003 23:45:00; 0,796
01.03.2003 11:15:00;  1,03
10.04.2003 09:45:00;  1,67
28.05.2003 16:45:00;  2,23
30.06.2003 23:59:55;  1,56
16.07.2003 10:00:00;  1,19
28.08.2003 13:30:00; 0,826
09.09.2003 09:00:00; 0,952
02.10.2003 08:00:00;  1,13
30.11.2003 04:15:00;  1,27
24.12.2003 01:30:00; 0,779
04.01.2004 04:30:00; 0,712
02.02.2004 10:15:00;  1,01
12.03.2004 12:30:00; 0,877
14.04.2004 17:00:00;  2,01
12.05.2004 12:00:00;  2,64
30.06.2004 17:45:00;  3,05
08.07.2004 18:00:00;  2,49
19.08.2004 18:00:00;  1,97
23.09.2004 13:15:00;  1,58
31.10.2004 08:15:00;  1,61
21.11.2004 21:00:00;  1,29
20.12.2004 21:15:00; 0,676
31.01.2005 23:59:55; 0,742
08.02.2005 20:30:00; 0,697
11.03.2005 01:30:00; 0,637
12.04.2005 09:45:00;  2,67
13.05.2005 14:45:00;  3,45
30.06.2005 15:30:00;  2,25
04.07.2005 14:45:00;  2,15
01.08.2005 19:45:00;  2,14
26.09.2005 12:30:00;  1,80
31.10.2005 17:15:00;  1,29
30.11.2005 14:30:00; 0,904
29.12.2005 21:45:00; 0,700
26.01.2006 14:30:00; 0,600
09.02.2006 11:00:00; 0,584
08.03.2006 04:30:00; 0,617
13.04.2006 09:45:00;  2,19
26.05.2006 12:45:00;  3,44
16.06.2006 17:33:05;  3,13
26.07.2006 18:45:00;  1,56
02.08.2006 14:30:00;  1,61
30.09.2006 17:30:00;  1,32
26.10.2006 14:15:00;  1,09
08.11.2006 13:30:00;  1,10
26.12.2006 12:15:00; 0,788
03.01.2007 21:15:00; 0,812
10.02.2007 13:30:00; 0,910
25.03.2007 08:15:00;  1,18
06.04.2007 15:45:00;  1,37
04.05.2007 16:30:00;  1,59
24.06.2007 17:30:00;  1,86
29.07.2007 12:00:00;  2,02
07.08.2007 12:15:00;  1,76
25.09.2007 06:15:00;  2,81
23.10.2007 21:00:00;  1,77
05.11.2007 14:15:00;  1,62
31.12.2007 22:30:00;  1,24
02.01.2008 13:00:00;  1,13
18.02.2008 12:00:00; 0,923
09.03.2008 09:15:00;  1,49
08.04.2008 07:15:00;  2,08
03.05.2008 10:45:00;  4,20
30.06.2008 18:45:00;  2,96
02.07.2008 15:30:00;  2,85
31.08.2008 14:15:00;  2,42
30.09.2008 23:59:55;  1,66
26.10.2008 12:00:00;  1,39
30.11.2008 15:30:00;  1,21
14.12.2008 15:30:00;  1,01
29.01.2009 14:00:00; 0,706
18.02.2009 11:30:00; 0,682
01.03.2009 13:30:00; 0,879
01.04.2009 09:45:00;  2,32
01.05.2009 15:15:00;  3,36
18.06.2009 13:00:00;  2,70
31.07.2009 23:59:55;  2,29
28.08.2009 15:45:00;  1,64
30.09.2009 23:59:55;  1,24
08.10.2009 12:30:00;  1,10
30.11.2009 13:15:00;  1,49
22.12.2009 20:45:00;  1,11
28.01.2010 00:45:00; 0,747
16.02.2010 04:00:00; 0,644
17.03.2010 08:30:00; 0,661
15.04.2010 15:30:00;  1,53
01.05.2010 14:15:00;  3,08
30.06.2010 23:59:55;  2,95
16.07.2010 19:15:00;  1,96
27.08.2010 10:15:00;  2,66
30.09.2010 19:30:00;  2,02
19.10.2010 11:45:00;  1,50
30.11.2010 12:30:00;  1,42
20.12.2010 10:15:00;  1,24
05.01.2011 13:30:00;  1,10
26.02.2011 11:45:00; 0,898
08.03.2011 11:00:00; 0,873
30.04.2011 16:00:00;  1,53
11.05.2011 15:45:00;  1,41
09.06.2011 16:00:00;  1,90
08.07.2011 03:15:00;  2,02
31.08.2011 12:30:00;  2,03
16.09.2011 12:30:00;  1,63
31.10.2011 13:30:00;  1,58
30.11.2011 18:00:00;  1,00
06.12.2011 22:00:00; 0,898
16.01.2012 13:30:00;  1,00
21.02.2012 21:45:00; 0,628
01.03.2012 00:00:00;  1,57
23.04.2012 11:00:00;  2,61
18.05.2012 12:45:00;  4,14
30.06.2012 15:45:00;  3,50
28.07.2012 08:00:00;  2,36
20.08.2012 18:15:00;  1,98
30.09.2012 23:59:55;  2,59
31.10.2012 11:45:00;  2,03
30.11.2012 23:59:55;  1,50
11.12.2012 10:00:00;  1,26
29.01.2013 12:00:00;  1,22
27.02.2013 14:30:00;  1,07
01.03.2013 13:15:00;  1,11
08.04.2013 10:00:00;  1,37
28.05.2013 13:00:00;  2,70
23.06.2013 15:30:00;  3,97
31.07.2013 21:45:00;  2,03
18.08.2013 17:45:00;  1,65
08.09.2013 09:00:00;  1,72
31.10.2013 20:30:00;  2,22
30.11.2013 03:00:00;  1,47
31.12.2013 12:15:00;  1,08
26.01.2014 22:15:00; 0,855
13.02.2014 10:30:00; 0,861
03.03.2014 13:00:00; 0,842
11.04.2014 14:00:00;  1,60
29.05.2014 18:30:00;  2,71
23.06.2014 16:45:00;  1,56
07.07.2014 18:45:00;  2,69
29.08.2014 19:45:00;  2,41
29.09.2014 21:00:00;  1,78
20.10.2014 13:30:00;  1,39
30.11.2014 23:59:55;  1,64
30.12.2014 10:00:00;  1,21
02.01.2015 13:00:00;  1,17
26.02.2015 11:30:00;  1,07
01.03.2015 14:30:00;  1,07
08.04.2015 11:30:00;  2,47
01.05.2015 02:15:00;  3,54
30.06.2015 23:15:00;  3,28
31.07.2015 20:00:00;  1,90
14.08.2015 10:15:00;  1,64
01.09.2015 13:45:00;  1,87
06.10.2015 16:30:00;  1,75
29.11.2015 00:45:00;  1,36
30.12.2015 13:30:00;  1,10
22.01.2016 12:15:00; 0,949
20.02.2016 11:30:00;  1,34
17.03.2016 11:15:00;  1,33
30.04.2016 14:15:00;  2,19
01.05.2016 05:00:00;  2,24
30.06.2016 14:30:00;  4,32
30.07.2016 16:00:00;  2,33
31.08.2016 19:15:00;  1,90
30.09.2016 10:45:00;  1,46
23.10.2016 12:00:00;  1,14
09.11.2016 11:30:00;  1,09
29.12.2016 12:00:00; 0,688
25.01.2017 12:00:00; 0,537
11.02.2017 13:45:00; 0,735
08.03.2017 13:00:00;  1,27
08.04.2017 16:00:00;  1,83
05.05.2017 14:45:00;  3,05
26.06.2017 20:30:00;  1,97
09.07.2017 11:30:00;  2,04
08.08.2017 20:00:00;  2,45
30.09.2017 21:45:00;  2,59
26.10.2017 13:30:00;  1,81
30.11.2017 23:00:00;  1,69
10.12.2017 13:00:00;  1,15
03.01.2018 02:15:00;  1,56
28.02.2018 23:00:00;  1,15
01.03.2018 00:00:00;  1,15
02.04.2018 12:15:00;  1,92
30.05.2018 17:30:00;  2,73
27.06.2018 13:00:00;  1,88
31.07.2018 23:59:55;  1,39
21.08.2018 19:30:00;  1,27
17.09.2018 23:15:00;  1,50
23.10.2018 11:00:00;  1,15
28.11.2018 05:00:00; 0,849
02.12.2018 05:15:00; 0,861
31.01.2019 13:00:00; 0,981
01.02.2019 07:30:00; 0,942
14.03.2019 18:00:00;  2,40
15.04.2019 12:15:00;  2,99
02.05.2019 12:30:00;  3,31
30.06.2019 20:15:00;  3,88
26.07.2019 10:45:00;  2,27
05.08.2019 19:45:00;  2,64
30.09.2019 23:59:55;  1,94
28.10.2019 02:15:00;  1,72
14.11.2019 14:00:00;  1,74
15.12.2019 01:03:40;  1,18
21.01.2020 01:15:00; 0,836
01.02.2020 13:45:00;  1,24
10.03.2020 11:15:00;  1,88
04.04.2020 17:30:00;  1,82
31.05.2020 23:59:55;  1,96
03.06.2020 21:15:00;  1,93
31.07.2020 23:59:55;  2,47
28.08.2020 19:30:00;  1,82
24.09.2020 23:15:00;  1,65
26.10.2020 12:45:00;  1,82
30.11.2020 23:59:55;  1,15
11.12.2020 09:22:30;  1,05
26.01.2021 08:30:00; 0,764
15.02.2021 14:45:00;  1,61
23.03.2021 12:45:00;  1,40
19.04.2021 17:30:00;  1,59
08.05.2021 14:45:00;  2,41
29.06.2021 21:30:00;  2,81
06.07.2021 21:30:00;  2,54
28.08.2021 08:45:00;  2,65
26.09.2021 13:00:00;  1,82
31.10.2021 23:59:55;  1,20
30.11.2021 00:15:00; 0,861
22.12.2021 09:45:00; 0,764
