Messstelle:                ;Kitzbühel (Bahnhofsbrücke)
03.03.1979 08:00:00;  1,20
09.04.1979 07:00:00;  1,92
04.05.1979 08:00:00;  3,82
10.06.1979 15:00:00;  3,87
06.07.1979 12:00:00;  2,72
02.08.1979 19:00:00;  3,32
20.09.1979 18:00:00;  2,57
15.10.1979 04:00:00;  1,85
04.11.1979 17:00:00;  1,41
30.12.1979 23:00:00;  3,06
28.01.1980 10:00:00;  1,61
02.02.1980 21:00:00;  1,84
05.03.1980 10:00:00;  2,29
12.04.1980 08:00:00;  3,71
19.05.1980 13:00:00;  7,53
23.06.1980 16:00:00;  7,92
31.07.1980 23:59:55;  4,48
28.08.1980 18:00:00;  2,68
22.09.1980 23:00:00;  2,81
07.10.1980 18:00:00;  2,63
30.11.1980 08:00:00;  2,76
02.12.1980 10:00:00;  2,18
30.01.1981 01:00:00;  2,29
21.02.1981 07:00:00;  1,93
06.03.1981 03:00:00;  1,87
30.04.1981 09:00:00;  4,14
06.05.1981 16:00:00;  4,23
17.06.1981 16:00:00;  2,37
10.07.1981 21:00:00;  1,99
16.08.1981 18:00:00;  3,61
23.09.1981 05:00:00;  3,97
10.10.1981 09:00:00;  3,61
17.11.1981 10:00:00;  3,36
28.12.1981 08:00:00;  2,22
28.01.1982 06:30:00;  2,12
28.02.1982 07:00:00;  1,85
07.03.1982 08:00:00;  1,95
26.04.1982 13:30:00;  4,32
02.05.1982 05:00:00;  4,16
26.06.1982 15:30:00;  6,18
22.07.1982 15:30:00;  2,68
28.08.1982 00:00:00;  3,36
21.09.1982 16:30:00;  1,98
31.10.1982 08:00:00;  2,02
26.11.1982 16:30:00;  1,50
06.12.1982 11:00:00;  1,40
02.01.1983 09:30:00;  1,57
23.02.1983 10:00:00;  1,60
04.03.1983 09:30:00;  1,88
06.04.1983 13:30:00;  3,24
31.05.1983 12:00:00;  4,98
13.06.1983 13:30:00;  3,86
28.07.1983 21:00:00;  2,50
01.08.1983 21:00:00;  2,50
28.09.1983 23:00:00;  2,33
09.10.1983 05:30:00;  2,36
23.11.1983 06:30:00;  1,46
14.12.1983 07:30:00;  1,54
27.01.1984 09:00:00;  1,46
18.02.1984 09:00:00;  1,31
10.03.1984 08:30:00;  1,39
10.04.1984 09:00:00;  3,19
01.05.1984 14:00:00;  5,26
23.06.1984 17:00:00;  5,51
25.07.1984 16:30:00;  3,00
23.08.1984 20:00:00;  2,38
03.09.1984 18:30:00;  2,93
24.10.1984 09:00:00;  2,05
13.11.1984 10:30:00;  1,29
28.12.1984 11:03:20; 0,695
01.01.1985 01:15:00; 0,730
01.02.1985 00:00:00;  1,18
20.03.1985 08:00:00;  1,23
01.04.1985 13:15:00;  3,55
01.05.1985 00:00:00;  5,01
06.06.1985 13:00:00;  4,07
30.07.1985 05:00:00;  2,97
25.08.1985 20:00:00;  3,34
30.09.1985 01:45:00;  2,02
31.10.1985 23:59:55;  1,21
28.11.1985 03:45:00; 0,895
13.12.1985 13:00:00;  1,24
08.01.1986 11:05:20; 0,996
22.02.1986 10:00:00; 0,812
02.03.1986 08:15:00; 0,886
21.04.1986 10:15:00;  4,94
27.05.1986 20:00:00;  6,98
30.06.1986 18:30:00;  2,61
04.07.1986 11:15:00;  1,95
08.08.1986 04:00:00;  2,20
29.09.1986 18:00:00;  2,10
15.10.1986 03:45:00;  1,40
30.11.1986 23:59:55;  1,29
13.12.1986 07:00:00;  1,04
20.01.1987 00:00:00; 0,996
25.02.1987 04:45:00; 0,904
21.03.1987 08:30:00; 0,923
03.04.1987 12:30:00;  1,92
24.05.1987 11:15:00;  9,08
30.06.1987 12:15:00;  7,42
24.07.1987 17:30:00;  4,26
25.08.1987 01:30:00;  4,86
30.09.1987 19:45:00;  2,33
05.10.1987 12:15:00;  1,57
08.11.1987 10:30:00;  1,32
11.12.1987 09:45:00;  1,58
16.01.1988 00:15:00;  1,72
14.02.1988 07:30:00;  1,21
09.03.1988 14:45:00; 0,814
02.04.1988 01:00:00;  3,66
31.05.1988 15:45:00;  6,72
30.06.1988 07:30:00;  3,04
11.07.1988 19:45:00;  2,66
19.08.1988 05:45:00;  3,04
29.09.1988 02:00:00;  3,61
20.10.1988 13:00:00;  1,82
23.11.1988 05:15:00;  1,54
04.12.1988 00:30:00;  2,30
25.01.1989 11:45:00;  1,54
07.02.1989 16:00:00;  1,68
03.03.1989 18:30:00;  3,57
25.04.1989 13:00:00;  5,33
02.05.1989 08:30:00;  5,20
11.06.1989 14:00:00;  5,28
24.07.1989 17:15:00;  4,46
31.08.1989 23:59:55;  3,97
23.09.1989 21:30:00;  2,98
25.10.1989 13:00:00;  2,39
30.11.1989 09:00:00;  1,34
11.12.1989 11:15:00;  1,08
02.01.1990 11:00:00;  1,15
14.02.1990 06:15:00;  1,21
07.03.1990 11:15:00;  2,98
07.04.1990 09:45:00;  3,97
31.05.1990 23:59:55;  4,26
02.06.1990 17:15:00;  3,82
30.07.1990 20:30:00;  2,98
31.08.1990 23:59:55;  1,97
03.09.1990 08:45:00;  1,91
27.10.1990 00:00:00;  2,30
11.11.1990 10:00:00;  2,30
29.12.1990 04:30:00;  1,58
31.01.1991 23:59:55;  1,28
13.02.1991 20:30:00;  1,13
01.03.1991 15:45:00;  1,69
25.04.1991 08:45:00;  2,70
01.05.1991 15:00:00;  3,52
26.06.1991 11:30:00;  7,03
12.07.1991 16:15:00;  3,71
31.08.1991 23:59:55;  2,94
17.09.1991 11:15:00;  1,84
17.10.1991 09:00:00;  1,51
04.11.1991 15:45:00;  1,38
17.12.1991 14:45:00;  1,32
22.01.1992 07:00:00;  1,58
05.02.1992 18:15:00;  1,74
01.03.1992 17:30:00;  2,43
01.04.1992 00:00:00;  4,87
31.05.1992 09:15:00;  7,93
28.06.1992 18:15:00;  2,06
01.07.1992 17:00:00;  2,11
31.08.1992 23:59:55;  1,55
01.09.1992 00:15:00;  1,55
16.10.1992 06:15:00;  1,64
15.11.1992 00:00:00;  3,41
28.12.1992 09:45:00;  2,24
02.01.1993 09:45:00;  1,75
27.02.1993 08:30:00;  1,21
09.03.1993 05:15:00;  1,07
01.04.1993 07:00:00;  3,86
30.05.1993 11:30:00;  3,76
11.06.1993 18:15:00;  2,47
10.07.1993 22:45:00;  4,00
22.08.1993 19:30:00;  2,97
30.09.1993 23:59:55;  3,43
18.10.1993 13:30:00;  2,19
30.11.1993 12:30:00;  1,59
02.12.1993 12:45:00;  1,63
19.01.1994 06:00:00;  1,27
20.02.1994 10:15:00;  1,30
01.03.1994 07:15:00;  3,01
13.04.1994 02:15:00;  3,94
28.05.1994 17:00:00;  7,38
29.06.1994 14:45:00;  3,36
31.07.1994 19:00:00;  1,96
09.08.1994 15:00:00;  1,57
30.09.1994 23:59:55;  1,84
19.10.1994 16:00:00;  1,52
08.11.1994 16:00:00;  1,31
26.12.1994 10:45:00;  1,87
06.01.1995 08:30:00;  1,74
01.02.1995 05:45:00;  2,15
08.03.1995 07:45:00;  2,13
01.04.1995 04:00:00;  3,38
23.05.1995 10:15:00;  7,64
21.06.1995 12:45:00;  7,78
10.07.1995 15:45:00;  3,54
13.08.1995 08:15:00;  2,43
30.09.1995 23:59:55;  4,13
30.10.1995 22:30:00;  1,86
01.11.1995 20:45:00;  1,81
16.12.1995 00:00:00;  1,59
31.01.1996 11:00:00;  1,13
24.02.1996 08:15:00; 0,712
05.03.1996 06:30:00; 0,746
05.04.1996 13:00:00;  2,44
25.05.1996 18:00:00;  5,55
20.06.1996 11:15:00;  3,47
27.07.1996 16:30:00;  3,56
01.08.1996 18:00:00;  2,95
04.09.1996 16:30:00;  4,83
16.10.1996 09:15:00;  5,16
30.11.1996 23:59:55;  3,87
27.12.1996 10:15:00;  1,31
31.01.1997 07:45:00;  1,39
04.02.1997 10:00:00;  1,30
02.03.1997 12:15:00;  2,38
01.04.1997 12:30:00;  3,87
31.05.1997 15:15:00;  5,64
10.06.1997 21:00:00;  3,94
05.07.1997 07:45:00;  4,13
26.08.1997 17:15:00;  2,22
30.09.1997 23:59:55;  1,88
01.10.1997 11:15:00;  1,77
29.11.1997 09:45:00;  1,67
07.12.1997 01:45:00;  1,60
28.01.1998 07:00:00;  1,08
05.02.1998 10:15:00;  1,06
26.03.1998 10:45:00;  2,03
20.04.1998 12:45:00;  3,60
27.05.1998 09:45:00;  4,43
07.06.1998 14:15:00;  3,35
23.07.1998 17:15:00;  4,43
17.08.1998 21:15:00;  3,02
03.09.1998 00:15:00;  2,98
29.10.1998 09:30:00;  3,31
30.11.1998 11:00:00;  2,96
10.12.1998 03:00:00;  1,86
31.01.1999 23:59:55;  1,60
07.02.1999 13:30:00;  1,31
01.03.1999 00:00:00;  2,31
20.04.1999 14:45:00;  5,49
31.05.1999 10:45:00;  10,7
13.06.1999 15:00:00;  4,08
07.07.1999 09:30:00;  3,33
09.08.1999 12:00:00;  2,46
23.09.1999 19:00:00;  1,80
31.10.1999 23:59:55;  1,79
21.11.1999 04:00:00;  1,49
31.12.1999 10:00:00;  1,12
27.01.2000 23:30:00; 0,871
22.02.2000 09:00:00;  1,80
06.03.2000 08:45:00;  1,81
02.04.2000 13:15:00;  6,41
30.05.2000 14:30:00;  6,18
30.06.2000 23:59:55;  2,33
06.07.2000 17:30:00;  1,79
27.08.2000 10:15:00;  2,44
30.09.2000 23:59:55;  3,57
30.10.2000 13:45:00;  2,66
28.11.2000 02:45:00;  2,74
31.12.2000 23:44:10;  1,25
16.01.2001 08:34:10; 0,845
06.02.2001 10:39:10; 0,988
02.03.2001 16:30:55;  1,37
18.04.2001 08:05:05;  4,02
31.05.2001 07:35:25;  4,55
02.06.2001 15:50:40;  4,70
15.07.2001 17:53:20;  2,42
29.08.2001 19:04:30;  1,76
03.09.2001 16:52:45;  3,68
31.10.2001 18:15:00;  1,64
22.11.2001 09:02:25;  1,31
24.12.2001 09:26:00;  1,39
04.01.2002 07:27:40;  1,02
22.02.2002 10:40:00;  2,11
05.03.2002 09:44:40;  2,75
19.04.2002 08:37:30;  3,84
28.05.2002 00:56:20;  4,78
27.06.2002 19:14:25;  2,54
11.07.2002 13:56:55;  2,71
31.08.2002 19:36:30;  3,48
20.09.2002 18:45:40;  2,48
31.10.2002 15:38:45;  4,61
02.11.2002 09:27:45;  4,30
20.12.2002 07:16:10;  2,43
27.01.2003 10:05:25;  1,91
17.02.2003 09:06:35;  1,38
02.03.2003 08:12:20;  2,00
08.04.2003 08:17:25;  3,27
19.05.2003 14:01:40;  4,55
30.06.2003 19:00:00;  2,42
27.07.2003 20:30:00;  1,86
28.08.2003 21:30:00;  1,28
08.09.2003 08:30:00;  1,73
03.10.2003 05:45:00;  2,14
30.11.2003 07:00:00;  1,91
24.12.2003 09:30:00; 0,881
04.01.2004 10:30:00; 0,910
02.02.2004 08:30:00;  1,20
10.03.2004 09:00:00;  1,18
15.04.2004 08:30:00;  3,56
11.05.2004 07:30:00;  5,08
19.06.2004 08:00:00;  4,99
24.07.2004 00:15:00;  3,22
11.08.2004 10:15:00;  1,82
22.09.2004 20:15:00;  2,70
29.10.2004 00:30:00;  2,03
16.11.2004 08:15:00;  1,80
22.12.2004 09:00:00; 0,800
16.01.2005 08:45:00; 0,747
28.02.2005 08:07:00; 0,893
01.03.2005 09:22:00; 0,725
12.04.2005 11:30:00;  5,64
30.05.2005 12:54:00;  7,95
28.06.2005 15:45:00;  2,40
01.07.2005 00:45:00;  2,68
14.08.2005 14:45:00;  3,68
26.09.2005 20:30:00;  2,62
31.10.2005 23:59:55;  1,76
29.11.2005 08:00:00; 0,905
30.12.2005 23:30:00; 0,757
24.01.2006 05:15:00; 0,864
13.02.2006 09:45:00; 0,801
08.03.2006 08:00:00; 0,987
08.04.2006 05:30:00;  6,46
26.05.2006 09:15:00;  8,48
22.06.2006 15:15:00;  4,68
27.07.2006 12:45:00;  2,45
24.08.2006 16:30:00;  3,53
18.09.2006 04:15:00;  2,42
29.10.2006 06:30:00;  2,12
01.11.2006 07:00:00;  2,39
31.12.2006 05:15:00;  1,76
02.01.2007 20:45:00;  1,66
10.02.2007 09:45:00;  1,67
25.03.2007 08:45:00;  2,47
06.04.2007 15:15:00;  3,11
28.05.2007 16:45:00;  2,50
19.06.2007 20:45:00;  2,29
02.07.2007 12:30:00;  2,24
16.08.2007 20:45:00;  2,06
30.09.2007 20:45:00;  3,97
15.10.2007 09:45:00;  1,85
03.11.2007 07:00:00;  2,39
28.12.2007 22:00:00;  1,54
03.01.2008 05:00:00;  1,26
17.02.2008 09:15:00; 0,940
27.03.2008 08:45:00;  2,31
08.04.2008 04:30:00;  2,83
31.05.2008 11:30:00;  8,45
29.06.2008 18:15:00;  2,54
11.07.2008 10:19:05;  2,02
31.08.2008 19:44:50;  2,65
30.09.2008 23:59:55;  1,67
29.10.2008 10:45:00;  1,30
16.11.2008 13:15:00;  1,25
09.12.2008 12:00:00;  1,41
10.01.2009 06:00:00; 0,910
19.02.2009 09:45:00; 0,693
01.03.2009 13:30:00;  1,41
01.04.2009 09:45:00;  3,46
28.05.2009 21:00:00;  4,94
15.06.2009 13:30:00;  3,01
17.07.2009 14:30:00;  3,59
27.08.2009 23:00:00;  2,52
30.09.2009 23:59:55;  2,33
08.10.2009 19:00:00;  1,72
30.11.2009 05:45:00;  2,22
19.12.2009 04:45:00;  1,43
24.01.2010 08:00:00; 0,925
16.02.2010 04:45:00; 0,631
09.03.2010 08:45:00; 0,966
03.04.2010 09:45:00;  3,11
13.05.2010 09:45:00;  4,12
29.06.2010 19:45:00;  2,87
16.07.2010 20:15:00;  1,79
02.08.2010 07:53:30;  4,24
24.09.2010 18:30:00;  3,73
14.10.2010 09:45:00;  2,06
30.11.2010 09:45:00;  1,60
05.12.2010 04:30:00;  1,44
04.01.2011 11:00:00;  1,22
24.02.2011 09:30:00;  1,09
08.03.2011 09:00:00;  1,23
30.04.2011 06:30:00;  2,75
12.05.2011 08:45:00;  1,97
07.06.2011 20:00:00;  4,10
17.07.2011 19:15:00;  2,60
31.08.2011 21:00:00;  2,67
17.09.2011 19:30:00;  2,08
31.10.2011 23:59:55;  2,38
30.11.2011 23:59:55;  1,25
20.12.2011 10:30:00; 0,730
16.01.2012 08:53:40; 0,782
04.02.2012 09:45:00; 0,637
12.03.2012 13:30:00;  2,97
25.04.2012 08:45:00;  4,79
18.05.2012 08:15:00;  6,82
30.06.2012 23:59:55;  4,01
08.07.2012 17:15:00;  3,13
25.08.2012 19:15:00;  2,28
11.09.2012 21:15:00;  3,15
07.10.2012 09:00:00;  3,15
30.11.2012 23:59:55;  2,31
09.12.2012 09:45:00;  1,59
26.01.2013 09:45:00;  2,00
23.02.2013 11:00:00;  1,86
04.03.2013 08:45:00;  2,02
08.04.2013 06:15:00;  2,41
25.05.2013 10:15:00;  4,73
