Messstelle:                ;Großsierning
02.02.1979 05:00:00; 0,095
01.03.1979 09:00:00; 0,132
26.04.1979 08:00:00; 0,665
31.05.1979 23:59:55; 0,301
13.06.1979 21:00:00; 0,163
02.07.1979 02:00:00; 0,282
02.08.1979 23:00:00; 0,377
17.09.1979 09:00:00; 0,346
06.10.1979 16:00:00; 0,233
02.11.1979 22:00:00; 0,273
31.12.1979 23:59:55; 0,538
28.01.1980 08:00:00; 0,127
01.02.1980 00:00:00; 0,273
29.03.1980 20:00:00; 0,277
01.04.1980 00:00:00; 0,305
30.05.1980 16:00:00; 0,261
30.06.1980 03:00:00; 0,106
09.07.1980 06:00:00; 0,081
26.08.1980 14:00:00; 0,039
01.09.1980 00:00:00; 0,072
05.10.1980 11:00:00; 0,122
03.11.1980 09:00:00; 0,155
01.12.1980 12:00:00; 0,301
20.01.1981 15:00:00; 0,303
02.02.1981 12:00:00; 0,220
16.03.1981 11:00:00; 0,206
27.04.1981 05:00:00; 0,192
31.05.1981 13:00:00; 0,096
01.06.1981 14:00:00; 0,105
13.07.1981 05:00:00; 0,075
03.08.1981 07:00:00; 0,089
13.09.1981 16:00:00; 0,107
15.10.1981 04:00:00; 0,154
05.11.1981 08:00:00; 0,215
30.12.1981 14:00:00; 0,541
01.01.1982 02:00:00; 0,603
23.02.1982 13:00:00; 0,129
10.03.1982 13:00:00; 0,397
28.04.1982 21:00:00; 0,380
17.05.1982 07:00:00; 0,231
30.06.1982 11:00:00; 0,236
17.07.1982 13:00:00; 0,149
14.08.1982 01:00:00; 0,145
28.09.1982 23:00:00; 0,097
08.10.1982 14:00:00; 0,098
22.11.1982 08:00:00; 0,091
09.12.1982 19:00:00; 0,051
03.01.1983 18:00:00; 0,223
23.02.1983 08:00:00; 0,181
29.03.1983 19:00:00; 0,373
30.04.1983 02:00:00; 0,194
04.05.1983 17:00:00; 0,179
14.06.1983 02:00:00; 0,122
23.07.1983 10:00:00; 0,098
29.08.1983 14:00:00; 0,049
14.09.1983 02:00:00; 0,042
09.10.1983 10:00:00; 0,048
18.11.1983 21:05:15; 0,033
02.12.1983 05:00:00; 0,045
11.01.1984 09:00:00; 0,052
17.02.1984 05:00:00; 0,041
04.03.1984 06:00:00; 0,033
02.04.1984 11:00:00; 0,130
07.05.1984 05:00:00; 0,122
13.06.1984 11:00:00; 0,079
26.07.1984 06:00:00; 0,047
05.08.1984 20:00:00; 0,059
12.09.1984 16:00:00; 0,058
22.10.1984 17:00:00; 0,134
12.11.1984 22:00:00; 0,129
31.12.1984 23:59:55; 0,104
01.01.1985 00:00:00; 0,104
24.02.1985 08:45:00; 0,190
01.03.1985 16:45:00; 0,391
29.04.1985 04:45:00; 0,429
29.05.1985 20:15:00; 0,148
07.06.1985 02:15:00; 0,101
29.07.1985 14:15:00; 0,140
04.08.1985 00:42:00; 0,172
30.09.1985 10:15:00; 0,330
29.10.1985 16:00:00; 0,190
29.11.1985 19:45:00; 0,168
01.12.1985 00:00:00; 0,232
10.01.1986 11:45:00; 0,480
25.02.1986 05:15:00; 0,153
03.03.1986 13:45:00; 0,174
23.04.1986 14:00:00; 0,192
27.05.1986 16:30:00; 0,171
12.06.1986 11:45:00; 0,201
29.07.1986 14:45:00; 0,085
18.08.1986 15:45:00; 0,063
29.09.1986 10:15:00; 0,091
06.10.1986 12:30:00; 0,101
19.11.1986 12:00:00; 0,126
23.12.1986 06:30:00; 0,060
09.01.1987 12:30:00; 0,194
05.02.1987 08:45:00; 0,373
15.03.1987 06:30:00; 0,487
30.04.1987 23:59:55; 0,516
01.05.1987 20:45:00; 0,461
04.06.1987 04:45:00; 0,724
19.07.1987 17:30:00; 0,373
27.08.1987 15:30:00; 0,172
01.09.1987 08:15:00; 0,172
11.10.1987 13:30:00; 0,301
27.11.1987 11:45:00; 0,353
14.12.1987 07:15:00; 0,301
15.01.1988 00:00:00; 0,515
27.02.1988 13:15:00; 0,241
02.03.1988 17:15:00; 0,297
30.04.1988 23:59:55; 0,853
29.05.1988 22:30:00; 0,350
19.06.1988 12:15:00; 0,110
25.07.1988 11:45:00; 0,098
10.08.1988 09:30:00; 0,073
01.09.1988 09:15:00; 0,122
10.10.1988 09:45:00; 0,098
23.11.1988 07:15:00; 0,110
02.12.1988 13:15:00; 0,608
31.01.1989 23:59:55; 0,400
18.02.1989 22:30:00; 0,288
31.03.1989 06:15:00; 0,238
01.04.1989 00:00:00; 0,258
28.05.1989 00:00:00; 0,655
11.06.1989 15:30:00; 0,321
22.07.1989 15:00:00; 0,354
16.08.1989 20:45:00; 0,262
25.09.1989 18:30:00; 0,354
12.10.1989 03:15:00; 0,321
26.11.1989 09:00:00; 0,321
11.12.1989 04:00:00; 0,211
09.01.1990 04:00:00; 0,186
14.02.1990 02:45:00; 0,211
27.03.1990 11:15:00; 0,457
05.04.1990 19:15:00; 0,576
22.05.1990 11:15:00; 0,321
28.06.1990 17:00:00; 0,186
31.07.1990 23:59:55; 0,117
31.08.1990 21:00:00; 0,070
01.09.1990 20:30:00; 0,070
24.10.1990 17:15:00; 0,090
14.11.1990 20:15:00; 0,106
04.12.1990 17:45:00; 0,288
29.01.1991 09:30:00; 0,211
14.02.1991 22:30:00; 0,186
04.03.1991 20:30:00; 0,211
11.04.1991 03:15:00; 0,186
01.05.1991 00:00:00; 0,187
23.06.1991 13:45:00; 0,288
14.07.1991 04:30:00; 0,186
26.08.1991 18:30:00; 0,321
27.09.1991 13:00:00; 0,188
13.10.1991 09:15:00; 0,142
06.11.1991 03:45:00; 0,142
09.12.1991 12:00:00; 0,124
18.01.1992 15:00:00; 0,262
01.02.1992 00:00:00; 0,265
02.03.1992 08:30:00; 0,321
25.04.1992 04:45:00; 0,288
27.05.1992 19:15:00; 0,186
01.06.1992 00:00:00; 0,188
27.07.1992 00:00:00; 0,262
29.08.1992 08:30:00; 0,059
07.09.1992 10:15:00; 0,106
01.10.1992 00:45:00; 0,106
03.11.1992 00:45:00; 0,239
22.12.1992 03:45:00; 0,188
11.01.1993 07:30:00; 0,124
01.02.1993 13:30:00; 0,186
31.03.1993 06:45:00; 0,686
30.04.1993 00:45:00; 0,461
27.05.1993 07:00:00; 0,336
29.06.1993 09:30:00; 0,070
06.07.1993 03:00:00; 0,038
23.08.1993 00:00:00; 0,020
14.09.1993 15:45:00; 0,072
10.10.1993 15:15:00; 0,088
27.11.1993 00:00:00; 0,106
02.12.1993 04:45:00; 0,160
24.01.1994 00:00:00; 0,387
23.02.1994 14:30:00; 0,211
01.03.1994 00:00:00; 0,258
09.04.1994 18:30:00; 0,262
19.05.1994 10:45:00; 0,387
26.06.1994 13:15:00; 0,124
28.07.1994 06:00:00; 0,106
17.08.1994 20:30:00; 0,059
17.09.1994 07:15:00; 0,070
14.10.1994 21:30:00; 0,070
11.11.1994 04:45:00; 0,088
19.12.1994 05:45:00; 0,088
09.01.1995 11:15:00; 0,126
14.02.1995 12:45:00; 0,160
17.03.1995 00:00:00; 0,387
30.04.1995 23:59:55; 0,305
25.05.1995 12:15:00; 0,142
04.06.1995 00:00:00; 0,142
28.07.1995 01:30:00; 0,124
08.08.1995 14:00:00; 0,106
08.09.1995 18:00:00; 0,262
22.10.1995 06:15:00; 0,160
07.11.1995 05:45:00; 0,106
06.12.1995 08:15:00; 0,106
31.01.1996 23:59:55; 0,109
07.02.1996 02:45:00; 0,049
05.03.1996 09:15:00; 0,160
01.04.1996 08:15:00; 0,617
08.05.1996 14:00:00; 0,453
17.06.1996 22:00:00; 0,354
24.07.1996 13:30:00; 0,262
31.08.1996 23:59:55; 0,190
01.09.1996 04:00:00; 0,188
01.10.1996 22:00:00; 0,657
07.11.1996 14:00:00; 0,535
31.12.1996 23:59:55; 0,413
25.01.1997 00:24:35; 0,189
02.02.1997 09:42:25; 0,200
02.03.1997 10:58:45; 0,431
30.04.1997 15:49:20; 0,579
31.05.1997 23:59:55; 0,346
14.06.1997 22:53:45; 0,271
04.07.1997 11:28:00; 0,254
27.08.1997 08:13:50; 0,307
21.09.1997 16:02:20; 0,200
10.10.1997 11:19:45; 0,194
06.11.1997 12:55:25; 0,193
31.12.1997 23:59:55; 0,372
27.01.1998 10:29:20; 0,212
01.02.1998 11:16:10; 0,135
15.03.1998 16:28:30; 0,288
30.04.1998 23:59:55; 0,347
31.05.1998 16:24:15; 0,221
08.06.1998 15:01:45; 0,137
30.07.1998 19:05:45; 0,095
10.08.1998 11:46:15; 0,083
01.09.1998 03:32:40; 0,063
19.10.1998 15:36:20; 0,127
09.11.1998 12:57:10; 0,202
07.12.1998 08:40:25; 0,059
30.01.1999 07:53:50; 0,257
02.02.1999 07:37:25; 0,184
29.03.1999 10:09:40; 0,516
30.04.1999 23:59:55; 0,352
31.05.1999 23:59:55; 0,270
30.06.1999 23:59:55; 0,183
08.07.1999 03:11:20; 0,097
27.08.1999 05:55:45; 0,169
30.09.1999 23:59:55; 0,318
29.10.1999 02:53:10; 0,198
03.11.1999 06:38:10; 0,213
18.12.1999 09:13:35; 0,345
14.01.2000 05:27:35; 0,456
24.02.2000 13:00:00; 0,775
06.03.2000 12:41:35; 0,725
30.04.2000 23:59:55; 0,431
17.05.2000 13:20:10; 0,184
21.06.2000 00:31:45; 0,113
30.07.2000 07:47:20; 0,065
18.08.2000 19:11:50; 0,094
16.09.2000 16:45:15; 0,079
03.10.2000 04:26:45; 0,093
30.11.2000 23:59:55; 0,108
22.12.2000 22:24:50; 0,100
01.01.2001 10:25:10; 0,112
02.02.2001 22:12:45; 0,160
14.03.2001 09:22:55; 0,310
06.04.2001 09:13:50; 0,373
30.05.2001 22:03:30; 0,192
26.06.2001 01:21:55; 0,140
14.07.2001 06:57:55; 0,088
03.08.2001 13:14:25; 0,074
02.09.2001 14:23:30; 0,077
29.10.2001 02:33:20; 0,156
01.11.2001 00:00:00; 0,195
24.12.2001 09:20:25; 0,205
20.01.2002 07:45:05; 0,477
13.02.2002 02:47:15; 0,447
19.03.2002 14:19:25; 0,445
29.04.2002 01:03:45; 0,502
31.05.2002 23:59:55; 0,192
06.06.2002 23:35:55; 0,169
13.07.2002 10:07:00; 0,089
06.08.2002 11:54:40; 0,132
19.09.2002 11:20:50; 0,162
04.10.2002 17:10:40; 0,293
30.11.2002 23:59:55; 0,771
19.12.2002 11:24:45; 0,573
14.01.2003 02:18:50; 0,902
18.02.2003 07:07:00; 0,609
01.03.2003 13:47:50; 0,784
30.04.2003 06:27:35; 0,469
31.05.2003 23:59:55; 0,288
30.06.2003 01:07:30; 0,190
28.07.2003 22:07:45; 0,142
29.08.2003 23:24:00; 0,104
23.09.2003 16:21:15; 0,093
24.10.2003 04:38:55; 0,131
12.11.2003 08:19:30; 0,099
24.12.2003 02:54:35; 0,068
05.01.2004 22:25:45; 0,046
01.02.2004 00:22:20; 0,239
03.03.2004 01:10:00; 0,279
30.04.2004 23:59:55; 0,408
31.05.2004 23:59:55; 0,256
02.06.2004 05:13:35; 0,255
31.07.2004 23:59:55; 0,308
19.08.2004 06:11:20; 0,209
10.09.2004 05:37:20; 0,195
31.10.2004 23:59:55; 0,171
03.11.2004 07:29:10; 0,154
21.12.2004 02:43:00; 0,198
27.01.2005 08:29:45; 0,169
10.02.2005 06:52:25; 0,398
07.03.2005 19:19:00; 0,395
18.04.2005 05:07:40; 0,591
18.05.2005 02:28:35; 0,564
30.06.2005 22:30:45; 0,316
05.07.2005 01:18:55; 0,303
14.08.2005 04:59:55; 0,353
27.09.2005 06:48:25; 0,492
30.10.2005 02:33:05; 0,401
30.11.2005 12:52:20; 0,248
01.12.2005 00:00:00; 0,248
15.01.2006 09:54:30; 0,387
06.02.2006 23:23:45; 0,276
08.03.2006 14:24:05; 0,881
27.04.2006 18:31:25; 0,635
25.05.2006 17:13:20; 0,563
27.06.2006 19:28:25; 0,466
27.07.2006 01:31:40; 0,249
01.08.2006 02:31:55; 0,295
30.09.2006 08:40:50; 0,287
28.10.2006 12:23:10; 0,239
22.11.2006 09:02:55; 0,218
28.12.2006 13:04:30; 0,145
01.01.2007 00:00:00; 0,180
26.02.2007 01:21:20; 0,240
19.03.2007 02:47:35; 0,514
30.04.2007 23:59:55; 0,329
08.05.2007 19:18:30; 0,292
29.06.2007 16:46:20; 0,280
31.07.2007 13:21:15; 0,075
27.08.2007 13:33:35; 0,062
01.09.2007 00:00:00; 0,108
19.10.2007 20:11:05; 0,244
06.11.2007 13:03:10; 0,925
31.12.2007 14:10:35; 0,923
25.01.2008 22:04:30; 0,716
17.02.2008 07:43:15; 0,413
13.03.2008 17:13:35; 0,465
21.04.2008 03:55:30; 0,393
31.05.2008 23:59:55; 0,327
24.06.2008 16:46:15; 0,207
12.07.2008 16:26:45; 0,179
31.08.2008 23:59:55; 0,409
14.09.2008 05:14:00; 0,281
31.10.2008 23:59:55; 0,342
19.11.2008 15:25:15; 0,271
18.12.2008 13:44:35; 0,401
21.01.2009 17:29:15; 0,313
02.02.2009 14:38:00; 0,317
29.03.2009 10:09:45;  1,35
28.04.2009 21:40:15; 0,705
28.05.2009 20:48:00; 0,354
17.06.2009 14:25:40; 0,349
30.07.2009 20:04:40; 0,624
29.08.2009 01:52:25; 0,597
30.09.2009 23:59:55; 0,435
22.10.2009 15:24:50; 0,318
30.11.2009 23:59:55; 0,331
20.12.2009 07:39:15; 0,169
15.01.2010 10:08:20; 0,171
02.02.2010 00:34:50; 0,266
30.03.2010 01:55:40; 0,622
10.04.2010 17:22:30; 0,448
12.05.2010 12:45:15; 0,541
01.06.2010 07:16:30; 0,831
23.07.2010 14:02:25; 0,447
06.08.2010 21:14:10; 0,621
25.09.2010 16:55:50; 0,434
14.10.2010 09:05:50; 0,362
19.11.2010 10:36:30; 0,269
05.12.2010 07:22:05; 0,252
06.01.2011 03:07:40; 0,210
24.02.2011 09:42:15; 0,263
08.03.2011 08:54:05; 0,247
24.04.2011 13:37:40; 0,306
27.05.2011 12:07:20; 0,206
22.06.2011 21:19:05; 0,212
21.07.2011 15:02:35; 0,127
27.08.2011 18:19:55; 0,101
14.09.2011 13:54:40; 0,103
06.10.2011 09:45:50; 0,116
25.11.2011 06:11:15; 0,115
02.12.2011 00:16:35; 0,117
01.01.2012 00:00:00; 0,187
12.02.2012 07:13:20; 0,226
26.03.2012 12:12:40; 0,268
12.04.2012 05:47:20; 0,209
03.05.2012 08:06:05; 0,217
08.06.2012 14:45:00; 0,253
19.07.2012 16:16:30; 0,207
25.08.2012 19:31:15; 0,090
05.09.2012 20:02:45; 0,133
12.10.2012 21:58:20; 0,218
26.11.2012 11:22:30; 0,204
09.12.2012 09:46:50; 0,147
03.01.2013 08:16:40; 0,536
25.02.2013 12:56:30; 0,896
28.03.2013 13:29:00; 0,812
30.04.2013 04:49:00; 0,988
30.05.2013 11:09:55; 0,565
21.06.2013 19:09:15; 0,909
31.07.2013 19:15:00; 0,513
23.08.2013 22:40:00; 0,391
15.09.2013 07:20:00; 0,357
17.10.2013 07:40:00; 0,335
06.11.2013 05:45:00; 0,315
30.12.2013 16:20:00; 0,346
30.01.2014 08:00:00; 0,210
04.02.2014 14:20:00; 0,290
31.03.2014 23:59:55; 0,254
24.04.2014 15:25:00; 0,187
11.05.2014 08:25:00; 0,174
29.06.2014 22:35:00; 0,432
27.07.2014 00:35:00; 0,245
11.08.2014 07:50:00; 0,250
01.09.2014 00:00:00; 0,468
15.10.2014 00:10:00; 0,444
29.11.2014 15:35:00; 0,438
29.12.2014 10:25:00; 0,342
01.01.2015 00:00:00; 0,390
09.02.2015 19:05:00; 0,500
29.03.2015 08:10:00; 0,500
29.04.2015 11:05:00; 0,356
12.05.2015 21:05:40; 0,292
30.06.2015 12:50:00; 0,325
23.07.2015 14:40:00; 0,138
16.08.2015 19:15:00; 0,058
23.09.2015 17:15:00; 0,072
02.10.2015 14:20:00; 0,069
19.11.2015 15:53:40; 0,129
31.12.2015 14:00:00; 0,138
19.01.2016 04:15:00; 0,071
16.02.2016 15:30:00; 0,370
11.03.2016 06:07:35; 0,447
07.04.2016 07:30:00; 0,367
02.05.2016 11:00:00; 0,369
30.06.2016 20:50:00; 0,375
11.07.2016 22:30:00; 0,312
31.08.2016 23:59:55; 0,465
30.09.2016 23:59:55; 0,352
01.10.2016 02:15:00; 0,351
05.11.2016 11:45:00; 0,637
22.12.2016 08:30:00; 0,442
31.01.2017 01:37:35; 0,324
01.02.2017 07:55:00; 0,320
17.03.2017 10:00:00; 0,571
26.04.2017 20:50:00; 0,477
31.05.2017 21:55:00; 0,316
30.06.2017 15:55:00; 0,080
20.07.2017 21:20:00; 0,056
06.08.2017 03:05:00; 0,084
01.09.2017 00:00:00; 0,086
18.10.2017 14:10:00; 0,118
06.11.2017 00:25:00; 0,160
19.12.2017 14:15:00; 0,183
15.01.2018 15:25:00; 0,407
28.02.2018 10:44:45; 0,442
04.03.2018 11:10:00; 0,406
30.04.2018 21:50:00; 0,284
31.05.2018 23:50:00; 0,233
21.06.2018 20:00:00; 0,138
31.07.2018 23:35:00; 0,220
22.08.2018 10:45:00; 0,089
01.09.2018 01:30:00; 0,146
24.10.2018 09:50:00; 0,092
03.11.2018 12:45:00; 0,106
01.12.2018 10:30:00; 0,211
04.01.2019 11:55:00; 0,507
27.02.2019 09:00:00; 0,396
09.03.2019 05:40:00; 0,339
28.04.2019 13:50:00; 0,193
03.05.2019 02:05:00; 0,326
30.06.2019 23:10:00; 0,266
26.07.2019 12:00:00; 0,108
24.08.2019 16:10:00; 0,068
30.09.2019 23:05:00; 0,070
01.10.2019 01:35:00; 0,059
05.11.2019 00:50:00; 0,104
18.12.2019 15:20:00; 0,092
15.01.2020 18:35:00; 0,111
01.02.2020 19:25:00; 0,268
31.03.2020 17:20:00; 0,221
30.04.2020 15:55:00; 0,110
22.05.2020 21:30:00; 0,074
07.06.2020 05:50:00; 0,238
15.07.2020 23:35:00; 0,389
01.08.2020 22:00:00; 0,514
24.09.2020 20:30:00; 0,682
10.10.2020 23:30:00; 0,592
30.11.2020 09:10:00; 0,493
21.12.2020 07:20:00; 0,424
18.01.2021 16:05:00; 0,398
15.02.2021 10:55:00; 0,507
31.03.2021 15:05:00; 0,373
12.04.2021 14:25:00; 0,300
11.05.2021 13:05:00; 0,224
29.06.2021 19:55:00; 0,131
08.07.2021 22:20:00; 0,106
15.08.2021 20:50:00; 0,660
30.09.2021 23:59:55; 0,413
22.10.2021 13:45:00; 0,375
19.11.2021 05:45:00; 0,361
11.12.2021 10:10:00; 0,453
