Messstelle:                ;Scharnitz (Weidach)
31.10.2005 23:59:55;  3,78
30.11.2005 23:59:55;  2,71
31.12.2005 23:59:55;  2,29
31.01.2006 23:59:55;  2,20
28.02.2006 23:59:55;  2,13
13.03.2006 13:00:00;  2,12
07.04.2006 14:30:00;  3,69
02.05.2006 15:45:00;  9,41
12.06.2006 14:45:00;  10,7
31.07.2006 19:45:00;  6,09
03.08.2006 07:45:00;  5,87
30.09.2006 23:59:55;  4,26
27.10.2006 13:15:00;  3,34
06.11.2006 13:00:00;  3,26
31.12.2006 23:59:55;  2,79
01.01.2007 00:00:00;  2,79
25.02.2007 19:45:00;  2,59
01.03.2007 12:15:00;  3,04
01.04.2007 15:15:00;  3,40
05.05.2007 16:30:00;  5,06
30.06.2007 15:15:00;  7,18
31.07.2007 23:59:55;  5,84
28.08.2007 16:15:00;  4,50
03.09.2007 13:30:00;  6,05
31.10.2007 23:59:55;  4,58
19.11.2007 19:30:00;  3,76
31.12.2007 23:59:55;  2,96
31.01.2008 23:59:55;  2,59
19.02.2008 07:15:00;  2,28
11.03.2008 04:30:00;  2,89
08.04.2008 09:15:00;  3,40
02.05.2008 20:45:00;  10,5
29.06.2008 17:30:00;  11,9
13.07.2008 04:45:00;  10,4
31.08.2008 23:59:55;  7,58
29.09.2008 20:45:00;  4,57
29.10.2008 01:30:00;  3,53
30.11.2008 23:59:55;  3,02
18.12.2008 17:00:00;  2,63
31.01.2009 16:15:00;  2,15
27.02.2009 18:45:00;  2,01
11.03.2009 05:15:00;  2,07
01.04.2009 11:45:00;  2,89
01.05.2009 16:15:00;  11,4
22.06.2009 16:00:00;  9,87
31.07.2009 17:45:00;  9,92
28.08.2009 00:45:00;  6,33
30.09.2009 23:59:55;  4,82
07.10.2009 19:00:00;  4,26
29.11.2009 22:15:00;  4,32
20.12.2009 01:00:00;  3,56
31.01.2010 22:15:00;  2,55
16.02.2010 21:38:15;  2,24
08.03.2010 18:30:00;  2,13
04.04.2010 16:00:00;  2,94
10.05.2010 06:30:00;  6,05
30.06.2010 23:59:55;  9,62
22.07.2010 19:45:00;  6,75
27.08.2010 03:45:00;  8,54
30.09.2010 09:45:00;  6,64
26.10.2010 06:15:00;  4,11
30.11.2010 22:00:00;  3,65
31.12.2010 23:59:55;  3,04
31.01.2011 23:59:55;  2,49
28.02.2011 15:45:00;  2,08
08.03.2011 21:15:00;  2,00
01.04.2011 00:00:00;  3,47
06.05.2011 21:00:00;  4,14
10.06.2011 05:15:00;  6,33
13.07.2011 19:15:00;  5,79
31.08.2011 23:59:55;  5,83
17.09.2011 20:15:00;  4,63
06.10.2011 23:15:00;  4,86
29.11.2011 15:15:00;  3,74
31.12.2011 02:45:00;  2,96
10.01.2012 14:00:00;  2,40
20.02.2012 13:15:00;  2,02
01.03.2012 00:15:00;  2,36
24.04.2012 23:15:00;  5,30
18.05.2012 16:30:00;  11,1
28.06.2012 04:45:00;  13,1
28.07.2012 10:45:00;  9,27
23.08.2012 18:15:00;  6,62
30.09.2012 22:15:00;  8,32
31.10.2012 23:59:55;  5,02
28.11.2012 17:30:00;  3,65
22.12.2012 22:00:00;  2,91
29.01.2013 12:15:00;  2,75
26.02.2013 04:00:00;  2,30
02.03.2013 15:30:00;  2,34
02.04.2013 15:00:00;  2,77
29.05.2013 10:15:00;  7,75
29.06.2013 07:45:00;  12,6
31.07.2013 23:59:55;  6,84
17.08.2013 17:00:00;  4,89
08.09.2013 18:30:00;  5,26
30.10.2013 22:15:00;  6,69
30.11.2013 23:59:55;  4,72
31.12.2013 23:59:55;  2,79
31.01.2014 23:59:55;  2,28
28.02.2014 23:59:55;  2,01
06.03.2014 06:15:00;  1,90
01.04.2014 17:45:00;  3,77
02.05.2014 20:45:00;  5,62
23.06.2014 16:00:00;  6,29
08.07.2014 05:15:00;  6,97
30.08.2014 04:30:00;  8,27
29.09.2014 20:30:00;  6,37
21.10.2014 09:15:00;  4,75
30.11.2014 23:59:55;  5,73
31.12.2014 23:59:55;  4,04
31.01.2015 23:59:55;  3,90
28.02.2015 23:59:55;  3,21
07.03.2015 02:03:55;  3,14
08.04.2015 02:15:00;  4,49
01.05.2015 00:00:00;  7,96
18.06.2015 19:45:00;  10,1
31.07.2015 18:30:00;  5,44
31.08.2015 22:45:00;  5,09
29.09.2015 20:45:00;  4,37
31.10.2015 23:59:55;  3,68
28.11.2015 22:00:00;  3,11
31.12.2015 23:59:55;  2,79
24.01.2016 14:45:00;  2,44
16.02.2016 06:30:00;  2,65
16.03.2016 15:30:00;  2,65
01.04.2016 13:00:00;  5,11
01.05.2016 13:30:00;  6,06
29.06.2016 15:45:00;  13,1
31.07.2016 15:30:00;  8,46
31.08.2016 23:45:00;  6,81
30.09.2016 20:30:00;  5,12
25.10.2016 03:15:00;  4,03
28.11.2016 02:00:00;  3,54
30.12.2016 15:30:00;  2,70
30.01.2017 15:30:00;  2,36
08.02.2017 16:45:00;  2,31
01.03.2017 05:22:55;  2,63
22.04.2017 09:45:00;  5,40
01.05.2017 12:30:00;  6,37
29.06.2017 05:30:00;  6,73
09.07.2017 07:15:00;  6,89
31.08.2017 08:45:00;  8,37
30.09.2017 03:30:00;  7,65
27.10.2017 08:30:00;  6,25
30.11.2017 16:45:00;  5,36
29.12.2017 16:00:00;  4,09
03.01.2018 10:45:00;  4,09
28.02.2018 21:15:00;  3,38
02.03.2018 16:30:00;  3,27
02.04.2018 14:00:00;  3,68
10.05.2018 08:45:00;  11,5
27.06.2018 10:45:00;  7,22
31.07.2018 00:30:00;  6,02
08.08.2018 15:15:00;  5,40
23.09.2018 04:15:00;  4,56
22.10.2018 20:00:00;  3,71
30.11.2018 23:59:55;  3,25
22.12.2018 00:00:00;  2,94
31.01.2019 23:59:55;  2,73
13.02.2019 15:30:00;  2,65
06.03.2019 14:45:00;  3,68
01.04.2019 10:45:00;  5,91
16.05.2019 13:30:00;  9,41
01.06.2019 08:45:00;  15,7
27.07.2019 14:30:00;  7,78
30.08.2019 20:45:00;  8,18
30.09.2019 23:00:00;  6,49
30.10.2019 02:15:00;  5,62
12.11.2019 19:45:00;  5,40
31.12.2019 23:59:55;  4,20
31.01.2020 00:27:50;  3,53
01.02.2020 00:00:00;  3,61
10.03.2020 13:15:00;  4,33
04.04.2020 14:45:00;  4,78
31.05.2020 23:59:55;  6,22
01.06.2020 05:15:00;  6,18
31.07.2020 06:00:00;  6,73
29.08.2020 01:00:00;  5,99
24.09.2020 09:30:00;  5,33
22.10.2020 16:45:00;  5,99
30.11.2020 23:59:55;  4,72
31.12.2020 23:59:55;  4,07
28.01.2021 20:30:00;  3,11
16.02.2021 10:30:00;  3,22
17.03.2021 11:45:00;  2,86
19.04.2021 14:30:00;  3,97
06.05.2021 18:15:00;  6,41
01.06.2021 16:45:00;  9,81
08.07.2021 16:00:00;  8,74
27.08.2021 17:45:00;  8,60
26.09.2021 21:45:00;  6,37
31.10.2021 04:00:00;  4,65
29.11.2021 09:00:00;  3,97
25.12.2021 21:15:00;  3,30
