Messstelle:                ;Woppendorf
22.08.1953 12:00:00; 0,730
15.09.1953 12:00:00; 0,730
29.10.1953 12:00:00; 0,880
29.11.1953 12:00:00; 0,880
27.12.1953 12:00:00; 0,880
22.01.1954 12:00:00; 0,880
18.02.1954 12:00:00; 0,880
11.03.1954 12:00:00; 0,730
27.04.1954 12:00:00; 0,880
04.05.1954 12:00:00;  1,22
06.06.1954 12:00:00; 0,730
07.07.1954 12:00:00;  1,80
31.08.1954 12:00:00;  1,22
20.09.1954 12:00:00; 0,880
26.10.1954 12:00:00; 0,730
07.11.1954 12:00:00; 0,880
09.12.1954 12:00:00;  1,22
30.01.1955 12:00:00;  1,05
21.02.1955 12:00:00; 0,880
13.03.1955 12:00:00; 0,880
16.04.1955 12:00:00;  1,41
10.05.1955 12:00:00;  1,05
24.06.1955 12:00:00; 0,730
03.07.1955 12:00:00; 0,450
29.08.1955 12:00:00;  1,05
10.09.1955 12:00:00; 0,880
05.10.1955 12:00:00;  1,05
10.11.1955 12:00:00;  1,60
30.12.1955 12:00:00;  1,60
30.01.1956 12:00:00;  1,05
01.02.1956 12:00:00; 0,730
19.03.1956 12:00:00;  1,05
16.04.1956 12:00:00;  1,22
18.05.1956 12:00:00;  1,80
12.06.1956 12:00:00;  1,22
17.07.1956 12:00:00;  1,05
19.08.1956 12:00:00; 0,730
30.09.1956 12:00:00; 0,350
01.10.1956 12:00:00; 0,450
26.11.1956 12:00:00;  1,05
23.12.1956 12:00:00;  1,05
19.01.1957 12:00:00; 0,880
27.02.1957 12:00:00;  1,05
28.03.1957 12:00:00; 0,880
11.04.1957 12:00:00; 0,730
20.05.1957 12:00:00; 0,590
16.06.1957 12:00:00; 0,350
05.07.1957 12:00:00; 0,450
29.08.1957 12:00:00; 0,880
11.09.1957 12:00:00; 0,730
30.10.1957 12:00:00; 0,880
29.11.1957 12:00:00; 0,730
03.12.1957 12:00:00; 0,730
31.01.1958 12:00:00; 0,190
24.02.1958 12:00:00; 0,730
12.03.1958 12:00:00; 0,450
23.04.1958 12:00:00; 0,730
05.05.1958 12:00:00; 0,250
09.06.1958 12:00:00; 0,350
20.07.1958 12:00:00; 0,450
16.08.1958 12:00:00; 0,730
29.09.1958 12:00:00; 0,590
03.10.1958 12:00:00; 0,730
30.11.1958 12:00:00;  1,41
10.12.1958 12:00:00; 0,880
31.01.1959 12:00:00;  1,22
14.02.1959 12:00:00; 0,730
05.03.1959 12:00:00; 0,730
06.04.1959 12:00:00; 0,730
27.05.1959 12:00:00; 0,880
07.06.1959 12:00:00; 0,590
25.07.1959 12:00:00;  1,22
29.08.1959 12:00:00; 0,590
29.09.1959 12:00:00; 0,350
21.10.1959 12:00:00; 0,250
07.11.1959 12:00:00; 0,250
08.12.1959 12:00:00; 0,590
21.01.1960 12:00:00; 0,730
10.02.1960 12:00:00; 0,730
07.03.1960 12:00:00; 0,730
27.04.1960 12:00:00; 0,770
21.05.1960 12:00:00; 0,550
23.06.1960 12:00:00; 0,400
31.07.1960 12:00:00; 0,600
12.08.1960 12:00:00; 0,920
09.09.1960 12:00:00; 0,600
05.10.1960 12:00:00;  1,63
26.11.1960 12:00:00; 0,920
06.12.1960 12:00:00; 0,600
30.01.1961 12:00:00;  1,09
23.02.1961 12:00:00; 0,920
21.03.1961 12:00:00; 0,600
25.04.1961 12:00:00; 0,500
25.05.1961 12:00:00; 0,920
07.06.1961 12:00:00; 0,920
31.07.1961 12:00:00; 0,600
31.08.1961 12:00:00; 0,400
20.09.1961 12:00:00; 0,400
16.10.1961 12:00:00; 0,550
02.11.1961 12:00:00;  2,03
05.12.1961 12:00:00;  1,22
21.01.1962 12:00:00;  1,05
28.02.1962 12:00:00; 0,590
22.03.1962 12:00:00;  1,11
30.04.1962 12:00:00;  1,29
29.05.1962 12:00:00; 0,660
30.06.1962 12:00:00; 0,550
27.07.1962 12:00:00; 0,550
15.08.1962 12:00:00; 0,770
30.09.1962 12:00:00; 0,770
27.10.1962 12:00:00; 0,660
01.11.1962 12:00:00; 0,940
13.12.1962 12:00:00;  1,41
31.01.1963 12:00:00; 0,800
28.02.1963 12:00:00; 0,800
05.03.1963 12:00:00; 0,800
30.04.1963 12:00:00;  3,15
19.05.1963 12:00:00;  1,22
12.06.1963 12:00:00; 0,450
28.07.1963 12:00:00; 0,690
03.08.1963 12:00:00; 0,500
29.09.1963 12:00:00;  1,25
30.10.1963 12:00:00;  1,09
10.11.1963 12:00:00; 0,950
31.12.1963 12:00:00;  1,09
01.01.1964 12:00:00;  1,09
27.02.1964 12:00:00; 0,950
08.03.1964 12:00:00; 0,950
23.04.1964 12:00:00;  1,60
14.05.1964 12:00:00;  1,25
14.06.1964 12:00:00; 0,690
29.07.1964 12:00:00; 0,500
27.08.1964 12:00:00; 0,500
16.09.1964 12:00:00; 0,350
05.10.1964 12:00:00; 0,500
21.11.1964 12:00:00; 0,950
16.12.1964 12:00:00;  1,60
28.01.1965 12:00:00;  1,60
27.02.1965 12:00:00;  1,42
01.03.1965 12:00:00;  1,79
16.04.1965 12:00:00;  2,17
21.05.1965 12:00:00;  2,36
24.06.1965 12:00:00;  5,20
18.07.1965 12:00:00;  4,82
24.08.1965 12:00:00;  1,99
28.09.1965 12:00:00;  1,45
30.10.1965 12:00:00;  1,09
17.11.1965 12:00:00;  1,27
29.12.1965 12:00:00; 0,920
30.01.1966 12:00:00; 0,920
01.02.1966 12:00:00;  1,45
19.03.1966 12:00:00;  1,27
11.04.1966 12:00:00;  1,27
23.05.1966 12:00:00; 0,920
13.06.1966 12:00:00; 0,920
03.07.1966 12:00:00; 0,450
09.08.1966 12:00:00;  3,15
29.09.1966 12:00:00;  1,41
11.10.1966 12:00:00;  1,05
01.11.1966 12:00:00;  1,60
26.12.1966 12:00:00;  1,05
26.01.1967 12:00:00;  1,80
13.02.1967 12:00:00;  1,80
25.03.1967 12:00:00;  2,76
20.04.1967 12:00:00;  1,81
30.05.1967 12:00:00;  1,27
28.06.1967 12:00:00;  1,79
23.07.1967 12:00:00;  1,25
31.08.1967 12:00:00; 0,810
05.09.1967 12:00:00; 0,950
30.10.1967 12:00:00;  1,11
29.11.1967 12:00:00;  1,29
27.12.1967 12:00:00;  1,11
31.01.1968 12:00:00; 0,920
04.02.1968 12:00:00; 0,920
30.03.1968 12:00:00;  1,09
27.04.1968 12:00:00; 0,600
18.05.1968 12:00:00; 0,600
29.06.1968 12:00:00; 0,500
06.07.1968 12:00:00; 0,400
01.08.1968 12:00:00; 0,920
28.09.1968 12:00:00;  1,11
29.10.1968 12:00:00; 0,810
01.11.1968 12:00:00; 0,810
18.12.1968 12:00:00; 0,950
03.01.1969 12:00:00;  1,25
11.02.1969 12:00:00;  1,98
06.03.1969 12:00:00;  4,35
29.04.1969 12:00:00;  2,39
27.05.1969 12:00:00; 0,500
02.06.1969 12:00:00; 0,640
29.07.1969 12:00:00; 0,180
13.08.1969 12:00:00; 0,180
10.09.1969 12:00:00; 0,500
23.10.1969 12:00:00; 0,640
22.11.1969 12:00:00;  1,09
31.12.1969 12:00:00;  1,45
27.01.1970 12:00:00;  1,45
04.02.1970 12:00:00;  1,45
02.03.1970 12:00:00;  1,81
23.04.1970 12:00:00;  4,79
29.05.1970 12:00:00;  3,11
23.06.1970 12:00:00;  1,45
10.07.1970 12:00:00;  1,29
07.08.1970 12:00:00;  2,25
30.09.1970 12:00:00;  1,14
30.10.1970 12:00:00;  1,14
08.11.1970 12:00:00; 0,970
15.12.1970 12:00:00; 0,680
21.01.1971 12:00:00;  1,13
12.02.1971 12:00:00; 0,980
03.03.1971 12:00:00;  1,37
27.04.1971 12:00:00;  1,65
31.05.1971 12:00:00; 0,880
17.06.1971 12:00:00; 0,730
14.07.1971 12:00:00; 0,450
24.08.1971 12:00:00; 0,350
25.09.1971 12:00:00; 0,590
30.10.1971 12:00:00; 0,450
01.11.1971 12:00:00; 0,450
22.12.1971 12:00:00; 0,590
31.01.1972 12:00:00; 0,730
07.02.1972 12:00:00; 0,590
25.03.1972 12:00:00;  1,99
14.04.1972 12:00:00;  1,60
09.05.1972 12:00:00;  2,76
29.06.1972 12:00:00;  4,75
10.07.1972 12:00:00;  3,15
28.08.1972 12:00:00;  2,37
28.09.1972 12:00:00;  1,99
31.10.1972 12:00:00;  1,80
07.11.1972 12:00:00;  1,60
31.12.1972 12:00:00;  2,18
24.01.1973 12:00:00;  1,60
24.02.1973 12:00:00;  1,60
31.03.1973 12:00:00;  1,80
03.04.1973 12:00:00;  1,41
31.05.1973 12:00:00; 0,880
17.06.1973 12:00:00; 0,730
27.07.1973 12:00:00; 0,810
19.08.1973 12:00:00; 0,810
30.09.1973 12:00:00; 0,490
14.10.1973 12:00:00; 0,750
01.11.1973 12:00:00; 0,950
29.12.1973 12:00:00; 0,950
10.01.1974 12:00:00; 0,950
27.02.1974 12:00:00;  1,29
04.03.1974 12:00:00;  1,57
16.04.1974 12:00:00; 0,850
02.05.1974 12:00:00; 0,950
01.06.1974 12:00:00;  1,15
23.07.1974 12:00:00;  1,05
19.08.1974 12:00:00;  1,15
19.09.1974 12:00:00;  1,15
03.10.1974 12:00:00;  1,43
24.11.1974 12:00:00;  1,43
25.12.1974 12:00:00;  1,43
22.01.1975 12:00:00;  1,29
26.02.1975 12:00:00; 0,850
01.03.1975 12:00:00; 0,950
24.04.1975 12:00:00;  1,43
20.05.1975 12:00:00; 0,850
19.06.1975 12:00:00;  1,15
30.07.1975 12:00:00;  2,60
20.08.1975 12:00:00;  1,71
30.09.1975 12:00:00;  1,57
11.10.1975 12:00:00;  1,29
11.11.1975 12:00:00;  1,15
31.12.1975 12:00:00;  1,43
06.01.1976 08:00:00;  1,41
15.02.1976 08:00:00;  1,94
24.03.1976 08:00:00;  2,09
07.04.1976 08:00:00;  1,94
25.05.1976 08:00:00;  1,41
24.06.1976 08:00:00; 0,952
05.07.1976 08:00:00; 0,665
08.08.1976 08:00:00; 0,581
23.09.1976 08:00:00; 0,712
25.10.1976 08:00:00; 0,806
11.11.1976 08:00:00; 0,806
01.12.1976 02:00:00;  1,20
21.01.1977 08:00:00;  1,40
04.02.1977 08:00:00;  2,58
23.03.1977 08:00:00;  2,25
16.04.1977 08:00:00;  1,79
27.05.1977 08:00:00;  1,16
02.06.1977 08:00:00;  1,05
22.07.1977 08:00:00;  1,17
11.08.1977 08:00:00; 0,851
12.09.1977 08:00:00; 0,665
23.10.1977 08:00:00; 0,581
01.11.1977 02:00:00; 0,581
03.12.1977 08:00:00; 0,665
10.01.1978 08:00:00; 0,665
12.02.1978 08:00:00; 0,581
28.03.1978 08:00:00; 0,502
01.04.1978 02:00:00; 0,502
01.05.1978 02:00:00; 0,581
05.06.1978 08:00:00;  1,16
30.07.1978 08:00:00;  1,94
31.08.1978 08:00:00; 0,949
19.09.1978 08:00:00; 0,674
24.10.1978 08:00:00; 0,852
21.11.1978 08:00:00; 0,674
06.12.1978 08:00:00; 0,852
07.01.1979 08:00:00; 0,852
04.02.1979 08:00:00; 0,760
01.03.1979 00:00:00;  1,21
20.04.1979 08:00:00;  1,56
29.05.1979 08:00:00;  1,37
03.06.1979 08:00:00;  1,29
19.07.1979 08:00:00;  2,24
16.08.1979 08:00:00;  2,11
22.09.1979 08:00:00;  1,29
31.10.1979 08:00:00;  1,21
01.11.1979 02:00:00;  1,13
17.12.1979 08:00:00;  1,56
12.01.1980 08:00:00;  1,37
25.02.1980 08:00:00;  1,47
20.03.1980 08:00:00;  1,29
19.04.1980 08:00:00;  1,13
18.05.1980 08:00:00;  1,13
14.06.1980 08:00:00; 0,921
28.07.1980 08:00:00;  1,37
03.08.1980 08:00:00;  1,13
07.09.1980 08:00:00; 0,988
05.10.1980 08:00:00; 0,921
04.11.1980 08:00:00;  1,73
12.12.1980 08:00:00;  1,26
07.01.1981 08:00:00;  1,06
23.02.1981 08:00:00; 0,801
01.03.1981 00:00:00; 0,801
04.04.1981 08:00:00; 0,723
02.05.1981 08:00:00; 0,723
16.06.1981 08:00:00; 0,581
31.07.1981 08:00:00; 0,988
15.08.1981 08:00:00; 0,744
03.09.1981 08:00:00; 0,801
20.10.1981 08:00:00;  1,21
21.11.1981 08:00:00;  1,21
01.12.1981 02:00:00;  1,13
30.01.1982 08:00:00;  1,29
12.02.1982 08:00:00;  1,06
01.03.1982 00:00:00;  1,13
24.04.1982 08:00:00;  1,06
06.05.1982 08:00:00; 0,988
18.06.1982 08:00:00;  1,13
11.07.1982 08:00:00;  1,47
01.08.1982 00:00:00;  1,56
28.09.1982 08:00:00;  1,37
01.10.1982 02:00:00;  1,37
25.11.1982 08:00:00;  1,87
08.12.1982 08:00:00;  1,76
14.01.1983 08:00:00;  2,37
22.02.1983 08:00:00;  1,66
18.03.1983 08:00:00;  1,76
30.04.1983 23:59:55;  1,26
23.05.1983 08:00:00; 0,649
20.06.1983 08:00:00; 0,649
23.07.1983 08:00:00; 0,456
01.08.1983 02:00:00; 0,400
03.09.1983 08:00:00; 0,349
06.10.1983 08:00:00; 0,801
20.11.1983 08:00:00; 0,801
15.12.1983 08:00:00; 0,860
20.01.1984 08:00:00; 0,860
13.02.1984 00:00:05; 0,860
21.03.1984 08:00:00;  1,13
26.04.1984 08:00:00;  1,24
18.05.1984 08:00:00;  1,24
18.06.1984 08:00:00;  1,24
15.07.1984 08:00:00;  1,05
25.08.1984 08:00:00; 0,929
13.09.1984 08:00:00; 0,657
27.10.1984 08:00:00;  1,24
04.11.1984 08:00:00;  1,16
29.12.1984 08:00:00;  1,09
01.01.1985 00:00:00;  1,16
14.02.1985 00:01:00;  1,09
12.03.1985 08:00:00;  1,16
28.04.1985 08:00:00;  1,72
02.05.1985 08:00:00;  1,94
19.06.1985 08:00:00;  1,83
25.07.1985 08:00:00;  1,06
30.08.1985 08:00:00;  1,35
13.09.1985 12:00:00; 0,332
27.10.1985 08:00:00; 0,643
01.11.1985 00:00:00; 0,744
02.12.1985 08:00:00; 0,921
18.01.1986 08:00:00;  1,06
24.02.1986 00:01:00; 0,692
01.03.1986 00:00:00; 0,692
28.04.1986 08:00:00;  2,12
19.05.1986 08:00:00;  1,57
13.06.1986 08:00:00;  1,62
24.07.1986 10:00:00; 0,324
05.08.1986 12:00:00; 0,400
24.09.1986 08:00:00; 0,619
26.10.1986 08:00:00; 0,552
04.11.1986 08:00:00; 0,435
10.12.1986 08:00:00; 0,667
09.01.1987 08:00:00;  1,20
01.02.1987 00:00:00;  1,27
18.03.1987 08:00:00;  1,94
30.04.1987 08:00:00;  1,48
01.05.1987 00:00:00;  1,48
15.06.1987 08:00:00;  1,86
22.07.1987 08:00:00;  1,13
03.08.1987 08:00:00;  1,56
19.09.1987 08:00:00;  1,00
11.10.1987 08:00:00;  1,07
05.11.1987 14:00:00;  1,34
17.12.1987 08:00:00;  1,78
12.01.1988 12:00:00;  1,52
29.02.1988 10:00:00;  1,60
10.03.1988 10:00:00; 0,817
26.04.1988 10:00:00;  1,14
11.05.1988 10:00:00; 0,618
20.06.1988 14:00:00; 0,673
07.07.1988 10:00:00; 0,487
06.08.1988 10:00:00; 0,439
12.09.1988 10:00:00; 0,463
03.10.1988 16:00:00; 0,565
05.11.1988 14:00:00; 0,539
16.12.1988 12:00:00; 0,590
31.01.1989 16:45:00; 0,487
20.02.1989 15:15:00; 0,539
16.03.1989 14:45:00; 0,503
14.04.1989 13:30:00; 0,590
24.05.1989 10:30:00; 0,539
16.06.1989 10:45:00; 0,883
21.07.1989 12:15:00; 0,646
07.08.1989 09:45:00;  2,20
13.09.1989 10:00:00;  1,35
30.10.1989 16:00:00; 0,977
21.11.1989 18:00:00; 0,758
24.12.1989 14:15:00; 0,302
29.01.1990 14:15:00; 0,646
23.02.1990 13:00:00; 0,185
08.03.1990 11:45:00; 0,250
01.04.1990 13:30:00; 0,339
13.05.1990 11:15:00; 0,434
01.06.1990 15:15:00; 0,484
31.07.1990 14:45:00; 0,878
20.08.1990 17:00:00; 0,346
13.09.1990 13:00:00; 0,339
01.10.1990 15:15:00; 0,434
16.11.1990 14:30:00; 0,590
07.12.1990 10:30:00; 0,758
26.01.1991 13:45:00;  1,34
01.02.1991 00:01:00;  1,20
15.03.1991 12:15:00; 0,646
20.04.1991 13:00:00; 0,537
01.05.1991 12:45:00; 0,883
10.06.1991 10:15:00; 0,883
19.07.1991 15:00:00; 0,945
29.08.1991 12:30:00;  1,14
05.09.1991 15:00:00; 0,702
08.10.1991 10:00:00;  1,07
01.11.1991 14:30:00;  1,01
31.12.1991 12:15:00;  2,11
21.01.1992 12:30:00;  1,49
28.02.1992 11:45:00; 0,945
05.03.1992 10:00:00; 0,821
22.04.1992 11:15:00; 0,945
08.05.1992 11:15:00; 0,646
10.06.1992 11:00:00; 0,537
09.07.1992 11:45:00; 0,339
28.08.1992 13:15:00; 0,339
06.09.1992 18:00:00; 0,339
02.10.1992 17:00:00; 0,434
14.11.1992 15:45:00; 0,391
26.12.1992 09:30:00; 0,758
21.01.1993 17:15:00; 0,939
19.02.1993 18:30:00; 0,646
05.03.1993 12:45:00; 0,293
27.04.1993 20:15:00; 0,384
28.05.1993 14:00:00; 0,135
10.06.1993 12:45:00; 0,135
02.07.1993 11:30:00; 0,250
13.08.1993 13:15:00; 0,209
26.09.1993 18:15:00; 0,209
01.10.1993 16:00:00; 0,209
24.11.1993 12:30:00;  1,07
01.12.1993 00:00:00;  1,48
28.01.1994 09:45:00;  1,57
14.02.1994 08:00:00;  1,07
07.03.1994 10:00:00; 0,645
07.04.1994 16:45:00; 0,646
13.05.1994 11:15:00; 0,537
02.06.1994 18:00:00; 0,384
08.07.1994 10:30:00; 0,484
10.08.1994 12:45:00; 0,434
13.09.1994 10:30:00; 0,346
23.10.1994 22:30:00; 0,302
08.11.1994 20:00:00; 0,346
09.12.1994 10:30:00; 0,761
13.01.1995 00:01:00;  1,07
01.02.1995 14:30:00; 0,757
28.03.1995 09:30:00;  1,86
06.04.1995 09:45:00;  1,63
29.05.1995 14:45:00; 0,855
02.06.1995 14:30:00;  1,55
15.07.1995 10:45:00;  1,40
08.08.1995 10:45:00; 0,449
07.09.1995 13:30:00; 0,731
23.10.1995 14:45:00; 0,434
02.11.1995 12:15:00; 0,502
14.12.1995 11:30:00; 0,984
07.01.1996 13:30:00;  1,25
10.02.1996 00:01:00;  1,40
01.03.1996 00:00:00;  1,40
26.04.1996 12:45:00;  2,27
03.05.1996 11:30:00;  2,02
19.06.1996 18:00:00;  1,40
30.07.1996 09:45:00; 0,942
16.08.1996 11:15:00; 0,818
14.09.1996 18:00:00;  2,19
11.10.1996 10:15:00;  1,94
07.11.1996 18:00:00;  1,88
26.12.1996 00:01:00;  1,42
31.01.1997 17:28:15; 0,735
03.02.1997 14:16:50;  1,03
07.03.1997 10:55:25; 0,893
03.04.1997 10:05:50;  1,57
16.05.1997 11:38:50; 0,591
09.06.1997 11:19:00; 0,657
09.07.1997 09:13:35;  1,37
29.08.1997 04:54:20;  2,01
28.09.1997 22:02:50;  1,01
27.10.1997 21:27:20; 0,764
19.11.1997 13:46:25; 0,722
12.12.1997 23:38:50; 0,774
21.01.1998 07:57:00; 0,885
27.02.1998 12:18:00; 0,743
11.03.1998 11:03:10; 0,927
28.04.1998 15:57:00;  1,11
15.05.1998 10:52:25; 0,650
08.06.1998 11:14:15; 0,816
27.07.1998 18:41:05;  1,81
21.08.1998 15:34:45; 0,942
04.09.1998 00:11:05;  1,84
30.10.1998 12:36:05;  2,28
30.11.1998 23:59:55;  2,23
06.12.1998 14:09:10;  1,34
30.01.1999 22:49:45; 0,791
18.02.1999 16:24:40; 0,605
26.03.1999 11:35:30;  1,03
09.04.1999 17:16:35; 0,682
17.05.1999 12:04:35;  1,11
30.06.1999 18:52:20;  1,83
21.07.1999 09:51:05;  1,51
15.08.1999 18:51:50; 0,892
24.09.1999 16:11:55;  1,59
15.10.1999 10:11:05; 0,818
23.11.1999 18:04:10; 0,622
31.12.1999 19:18:10; 0,965
25.01.2000 16:02:45; 0,868
27.02.2000 18:06:30;  2,12
16.03.2000 11:51:35;  2,13
30.04.2000 19:55:55;  1,90
25.05.2000 14:08:40; 0,606
29.06.2000 17:02:20; 0,457
14.07.2000 20:00:30; 0,264
03.08.2000 16:47:25; 0,469
14.09.2000 17:03:45; 0,321
25.10.2000 18:20:40; 0,400
03.11.2000 23:46:10; 0,467
23.12.2000 17:05:40; 0,563
21.01.2001 20:19:30;  1,26
09.02.2001 12:24:05;  1,13
01.03.2001 00:00:00;  1,16
29.04.2001 19:25:20;  1,02
20.05.2001 17:57:05; 0,392
29.06.2001 19:24:25; 0,323
02.07.2001 17:51:35; 0,318
30.08.2001 17:44:45; 0,229
01.09.2001 09:52:10; 0,281
19.10.2001 15:00:00; 0,202
13.11.2001 22:20:00; 0,160
01.12.2001 01:45:00; 0,168
30.01.2002 22:30:00; 0,263
05.02.2002 21:07:30; 0,238
31.03.2002 05:45:00; 0,157
05.04.2002 20:45:00; 0,157
09.05.2002 18:05:00; 0,160
03.06.2002 16:15:00; 0,157
13.07.2002 04:00:00; 0,175
09.08.2002 14:00:00; 0,250
07.09.2002 11:15:00; 0,242
09.10.2002 00:30:00; 0,307
14.11.2002 10:45:00; 0,461
17.12.2002 12:30:00;  1,32
12.01.2003 18:31:30; 0,812
27.02.2003 16:45:00; 0,301
29.03.2003 02:30:00; 0,388
02.04.2003 01:45:00; 0,388
27.05.2003 19:00:00; 0,321
11.06.2003 16:45:00; 0,183
22.07.2003 04:00:00; 0,160
15.08.2003 08:15:00; 0,040
03.09.2003 01:15:00; 0,280
17.10.2003 00:30:00; 0,280
15.11.2003 11:00:00; 0,280
13.12.2003 04:15:00; 0,238
23.01.2004 15:46:00; 0,404
22.02.2004 19:45:00; 0,404
06.03.2004 12:30:00; 0,321
09.04.2004 10:00:00; 0,702
04.05.2004 10:45:00; 0,448
01.06.2004 00:30:00;  1,75
28.07.2004 09:15:00; 0,594
24.08.2004 17:00:00; 0,448
25.09.2004 15:15:00; 0,283
04.10.2004 11:30:00; 0,362
22.11.2004 06:15:00; 0,495
21.12.2004 04:15:00; 0,321
12.01.2005 12:00:00; 0,448
27.02.2005 14:45:00; 0,404
03.03.2005 17:30:00; 0,404
08.04.2005 15:45:00; 0,587
30.05.2005 11:15:00; 0,362
20.06.2005 16:00:00; 0,214
03.07.2005 18:45:00; 0,214
02.08.2005 14:15:00; 0,248
27.09.2005 16:30:00; 0,218
04.10.2005 19:45:00; 0,289
24.11.2005 16:15:00; 0,186
18.12.2005 19:00:00; 0,248
20.01.2006 13:00:00; 0,448
11.02.2006 17:45:00; 0,646
13.03.2006 11:30:00; 0,803
23.04.2006 13:15:00; 0,019
16.05.2006 11:45:00; 0,448
16.06.2006 03:45:00;  1,25
17.07.2006 13:15:00; 0,214
24.08.2006 16:30:00; 0,283
14.09.2006 16:00:00; 0,102
10.10.2006 18:30:00; 0,183
07.11.2006 18:45:00; 0,238
01.12.2006 15:30:00; 0,256
18.01.2007 13:15:00; 0,125
19.02.2007 14:45:00; 0,212
15.03.2007 18:00:00; 0,283
18.04.2007 15:45:00; 0,283
31.05.2007 21:00:00; 0,102
13.06.2007 08:00:00; 0,017
21.07.2007 22:00:00; 0,029
05.08.2007 21:30:00; 0,040
12.09.2007 15:15:00; 0,183
03.10.2007 12:00:00; 0,214
13.11.2007 14:30:00; 0,940
31.12.2007 12:15:00;  1,21
07.01.2008 13:30:00;  1,14
17.02.2008 01:30:00; 0,321
28.03.2008 04:15:00; 0,495
17.04.2008 18:30:00; 0,283
03.05.2008 14:00:00; 0,283
21.06.2008 21:15:00; 0,327
12.07.2008 17:15:00; 0,289
28.08.2008 14:45:00; 0,781
06.09.2008 11:00:00; 0,495
28.10.2008 13:00:00; 0,362
24.11.2008 17:15:00; 0,495
28.12.2008 18:15:00; 0,748
03.01.2009 18:00:00; 0,593
19.02.2009 08:30:00; 0,976
01.03.2009 17:00:00;  1,10
27.04.2009 15:45:00;  1,50
15.05.2009 10:30:00; 0,812
10.06.2009 13:15:00; 0,471
26.07.2009 13:45:00;  1,67
21.08.2009 16:00:00; 0,635
03.09.2009 19:45:00; 0,524
24.10.2009 10:15:00; 0,524
13.11.2009 14:30:05; 0,372
19.12.2009 15:45:00; 0,646
28.01.2010 13:30:00; 0,362
08.02.2010 12:45:00; 0,362
08.03.2010 16:00:00;  1,35
29.04.2010 06:30:00; 0,646
02.05.2010 21:15:00; 0,594
13.06.2010 09:00:00; 0,757
20.07.2010 13:30:00; 0,253
08.08.2010 12:30:00; 0,344
15.09.2010 08:45:00;  1,13
23.10.2010 10:45:00; 0,709
17.11.2010 16:15:00; 0,755
30.12.2010 14:45:00;  2,12
29.01.2011 13:15:00;  1,47
23.02.2011 14:30:00; 0,269
08.03.2011 17:30:00; 0,269
22.04.2011 19:00:00; 0,975
30.05.2011 12:45:00; 0,298
12.06.2011 21:00:00; 0,106
17.07.2011 12:30:00; 0,088
30.08.2011 10:45:00; 0,191
19.09.2011 15:00:00; 0,106
02.10.2011 15:00:00; 0,124
21.11.2011 17:30:00; 0,187
01.12.2011 01:45:00; 0,209
24.01.2012 22:30:00; 0,193
28.02.2012 16:00:00; 0,250
03.03.2012 23:45:00; 0,292
27.04.2012 20:00:00; 0,228
25.05.2012 11:00:00; 0,191
23.06.2012 12:45:00; 0,167
04.07.2012 05:15:00; 0,191
22.08.2012 12:45:00; 0,338
17.09.2012 20:00:00; 0,205
14.10.2012 14:15:00; 0,157
28.11.2012 13:00:00; 0,765
13.12.2012 08:30:00; 0,218
03.01.2013 13:45:00; 0,380
23.02.2013 10:15:00;  1,10
27.03.2013 13:30:00;  2,15
25.04.2013 16:15:00;  2,38
15.05.2013 21:00:00;  1,60
30.06.2013 18:30:00; 0,924
18.07.2013 07:30:00; 0,208
