Messstelle:                ;Angern an der March
20.09.1982 12:00:00;  35,6
03.10.1982 12:00:00;  36,1
04.11.1982 12:00:00;  33,7
07.12.1982 12:00:00;  32,3
03.01.1983 12:00:00;  64,7
25.02.1983 02:00:00;   101
01.03.1983 00:00:00;   106
30.04.1983 12:00:00;   131
23.05.1983 12:00:00;  70,5
27.06.1983 12:00:00;  40,0
31.07.1983 12:00:00;  21,5
28.08.1983 12:00:00;  14,6
10.09.1983 12:00:00;  13,3
02.10.1983 12:00:00;  19,7
16.11.1983 12:00:00;  22,3
08.12.1983 12:00:00;  21,9
31.01.1984 12:00:00;  33,6
02.02.1984 12:00:00;  34,6
08.03.1984 12:00:00;  71,9
29.04.1984 12:00:00;  71,2
04.05.1984 12:00:00;  67,3
27.06.1984 12:00:00;  44,0
31.07.1984 12:00:00;  36,1
27.08.1984 02:00:00;  28,4
05.09.1984 12:00:00;  24,6
23.10.1984 12:00:00;  46,7
16.11.1984 12:00:00;  38,7
29.12.1984 12:00:00;  45,6
05.01.1985 12:00:00;  36,1
26.02.1985 12:00:00;  58,5
05.03.1985 12:00:00;  69,0
30.04.1985 12:00:00;  73,5
01.05.1985 12:00:00;  74,2
22.06.1985 12:00:00;  80,2
30.07.1985 12:00:00;  46,7
01.08.1985 00:00:00;  52,8
26.09.1985 12:00:00;  51,6
15.10.1985 12:00:00;  45,1
11.11.1985 12:00:00;  44,6
03.12.1985 12:00:00;  71,9
14.01.1986 12:00:00;  85,7
28.02.1986 12:00:00;  73,5
03.03.1986 12:00:00;  72,9
30.04.1986 12:00:00;   123
15.05.1986 12:00:00;  65,8
30.06.1986 12:00:00;   109
31.07.1986 12:00:00;  37,0
10.08.1986 12:00:00;  37,5
30.09.1986 12:00:00;  36,1
08.10.1986 12:00:00;  33,3
18.11.1986 12:00:00;  42,5
28.12.1986 12:00:00;  38,0
31.01.1987 12:00:00;   107
09.02.1987 12:00:00;  78,2
19.03.1987 12:00:00;  95,0
30.04.1987 12:00:00;   145
13.05.1987 12:00:00;   102
05.06.1987 12:00:00;   221
31.07.1987 12:00:00;  84,3
30.08.1987 12:00:00;  47,9
19.09.1987 12:00:00;  45,1
14.10.1987 12:00:00;  54,3
16.11.1987 12:00:00;  50,7
18.12.1987 12:00:00;  63,5
20.01.1988 12:00:00;  84,3
01.02.1988 00:00:00;   111
05.03.1988 12:00:00;   127
30.04.1988 12:00:00;   130
31.05.1988 12:00:00;  62,8
25.06.1988 12:00:00;  46,8
27.07.1988 12:00:00;  33,2
14.08.1988 02:00:00;  32,7
30.09.1988 12:00:00;  42,4
05.10.1988 12:00:00;  37,1
25.11.1988 12:00:00;  35,1
02.12.1988 12:00:00;  51,3
27.01.1989 12:00:00;  70,6
09.02.1989 12:00:00;  58,5
31.03.1989 12:00:00;  73,2
13.04.1989 12:00:00;  49,6
31.05.1989 12:00:00;  52,5
17.06.1989 12:00:00;  48,5
22.07.1989 12:00:00;  28,9
25.08.1989 12:00:00;  23,6
27.09.1989 12:00:00;  31,2
05.10.1989 12:00:00;  32,2
17.11.1989 12:00:00;  24,5
07.12.1989 12:00:00;  27,5
12.01.1990 12:00:00;  31,7
12.02.1990 12:00:00;  36,6
31.03.1990 02:00:00;  49,6
04.04.1990 12:00:00;  44,0
25.05.1990 12:00:00;  40,3
30.06.1990 12:00:00;  38,7
31.07.1990 12:00:00;  28,0
08.08.1990 12:00:00;  19,1
05.09.1990 12:00:00;  18,7
01.10.1990 12:00:00;  26,6
14.11.1990 12:00:00;  29,4
28.12.1990 12:00:00;  39,7
31.01.1991 12:00:00;  47,3
06.02.1991 00:01:00;  35,1
08.03.1991 12:00:00;  40,3
19.04.1991 12:00:00;  40,8
02.05.1991 12:00:00;  45,1
12.06.1991 12:00:00;  35,6
26.07.1991 12:00:00;  24,9
31.08.1991 12:00:00;  23,1
13.09.1991 02:00:00;  23,6
08.10.1991 12:00:00;  24,0
16.11.1991 12:00:00;  23,6
12.12.1991 12:00:00;  32,2
02.01.1992 12:00:00;  57,9
08.02.1992 12:00:00;  70,6
01.03.1992 12:00:00;   102
27.04.1992 12:00:00;   107
23.05.1992 12:00:00;  37,7
30.06.1992 12:00:00;  28,9
31.07.1992 12:00:00;  15,8
20.08.1992 12:00:00;  12,0
01.09.1992 12:00:00;  12,3
02.10.1992 12:00:00;  15,4
14.11.1992 12:00:00;  22,8
02.12.1992 12:00:00;  28,4
09.01.1993 00:01:00;  27,1
25.02.1993 12:00:00;  32,2
09.03.1993 12:00:00;  34,1
24.04.1993 12:00:00;  80,1
20.05.1993 12:00:00;  24,5
03.06.1993 12:00:00;  22,8
15.07.1993 12:00:00;  18,0
22.08.1993 12:00:00;  14,3
25.09.1993 12:00:00;  18,0
04.10.1993 12:00:00;  24,5
22.11.1993 12:00:00;  24,0
01.12.1993 12:00:00;  18,7
24.01.1994 12:00:00;  97,4
22.02.1994 12:00:00;  65,4
01.03.1994 12:00:00;  74,6
02.04.1994 12:00:00;   107
24.05.1994 12:00:00;  61,4
29.06.1994 12:00:00;  28,7
30.07.1994 02:00:00;  21,8
06.08.1994 02:00:00;  16,0
15.09.1994 12:00:00;  21,4
25.10.1994 12:00:00;  33,2
10.11.1994 12:00:00;  32,2
07.12.1994 12:00:00;  35,7
23.01.1995 12:00:00;  50,6
07.02.1995 12:00:00;   137
26.03.1995 12:00:00;   118
16.04.1995 12:00:00;   105
31.05.1995 12:00:00;  85,7
01.06.1995 12:00:00;  87,1
31.07.1995 12:00:00;  29,4
13.08.1995 12:00:00;  21,5
14.09.1995 12:00:00;  46,2
22.10.1995 12:00:00;  40,8
06.11.1995 12:00:00;  47,3
14.12.1995 12:00:00;  57,9
29.01.1996 12:00:00;  63,9
29.02.1996 12:00:00;  56,5
07.03.1996 12:00:00;  52,9
30.04.1996 12:00:00;   235
08.05.1996 12:00:00;   212
21.06.1996 12:00:00;  65,7
30.07.1996 12:00:00;  44,3
03.08.1996 12:00:00;  34,7
07.09.1996 12:00:00;  50,0
17.10.1996 12:00:00;  73,2
08.11.1996 12:00:00;  76,6
28.12.1996 00:00:05;  42,9
30.01.1997 02:23:30;  40,3
06.02.1997 07:57:00;  45,0
16.03.1997 13:02:05;   110
25.04.1997 07:41:00;   110
29.05.1997 10:05:50;  77,6
14.06.1997 06:26:10;  43,0
02.07.1997 15:24:20;  53,2
29.08.1997 17:11:15;  73,4
24.09.1997 11:46:30;  56,4
04.10.1997 17:11:10;  52,7
08.11.1997 11:41:05;  51,1
12.12.1997 14:11:55;  97,3
28.01.1998 20:51:25;  74,3
05.02.1998 00:56:50;  66,0
04.03.1998 08:09:00;  70,6
30.04.1998 18:14:30;  68,8
30.05.1998 21:17:25;  34,9
09.06.1998 10:20:55;  32,2
22.07.1998 21:54:25;  33,2
31.08.1998 17:22:35;  23,5
03.09.1998 06:01:30;  25,6
26.10.1998 00:05:05;   112
29.11.1998 06:20:45;   103
12.12.1998 17:36:25;  64,8
06.01.1999 19:15:55;  69,8
02.02.1999 03:23:00;  56,4
27.03.1999 07:51:10;   187
17.04.1999 02:31:25;   125
31.05.1999 13:28:35;  55,4
08.06.1999 22:06:35;  48,0
30.07.1999 14:25:00;  44,5
29.08.1999 08:39:00;  27,7
20.09.1999 11:42:40;  26,3
04.10.1999 01:53:20;  32,9
04.11.1999 09:41:10;  33,8
26.12.1999 02:00:00;  36,2
15.01.2000 11:12:55;  38,9
25.02.2000 03:15:35;   145
01.03.2000 00:00:55;   154
29.04.2000 23:17:35;   105
18.05.2000 13:44:15;  43,8
25.06.2000 19:44:25;  23,7
04.07.2000 08:23:40;  19,8
30.08.2000 17:09:10;  21,8
01.09.2000 00:04:00;  23,2
02.10.2000 16:18:55;  24,5
03.11.2000 18:11:55;  31,3
24.12.2000 09:52:10;  34,2
03.01.2001 20:00:00;  43,5
06.02.2001 18:45:00;  57,4
04.03.2001 11:45:00;  73,3
30.04.2001 23:30:00;   114
27.05.2001 23:30:00;  42,0
29.06.2001 10:00:00;  37,1
17.07.2001 16:00:00;  27,5
31.08.2001 20:30:00;  29,1
01.09.2001 16:00:00;  26,9
25.10.2001 06:00:00;  58,8
05.11.2001 01:45:00;  54,9
11.12.2001 21:45:00;  47,4
08.01.2002 09:30:00;  49,6
10.02.2002 23:00:00;   185
19.03.2002 22:30:00;   128
12.04.2002 17:00:00;  89,0
26.05.2002 02:00:00;  44,6
29.06.2002 02:15:00;  39,3
30.07.2002 05:15:00;  26,1
01.08.2002 05:00:00;  31,9
16.09.2002 13:45:00;  50,2
08.10.2002 05:00:00;  54,7
02.11.2002 12:45:00;   140
27.12.2002 15:00:00;  67,8
27.01.2003 19:15:00;   124
20.02.2003 12:00:00;  61,6
01.03.2003 03:30:00;  78,6
30.04.2003 18:15:00;  76,6
10.05.2003 22:45:00;  53,6
30.06.2003 17:45:00;  24,0
23.07.2003 15:00:00;  16,7
15.08.2003 18:00:00;  12,9
01.09.2003 16:00:00;  16,0
02.10.2003 21:30:00;  20,3
16.11.2003 15:15:00;  25,8
13.12.2003 08:15:00;  23,6
09.01.2004 04:00:00;  44,0
01.02.2004 13:45:00;  58,3
08.03.2004 05:30:00;  67,0
20.04.2004 15:30:00;   106
28.05.2004 01:15:00;  46,1
19.06.2004 21:45:00;  47,0
28.07.2004 10:45:00;  29,6
26.08.2004 03:45:00;  22,3
21.09.2004 04:00:00;  20,1
01.10.2004 00:15:00;  25,4
01.11.2004 00:00:00;  35,7
24.12.2004 12:30:00;  35,7
02.01.2005 23:15:00;  62,6
08.02.2005 19:00:00;  54,7
10.03.2005 18:00:00;  61,5
26.04.2005 08:45:00;   124
30.05.2005 09:30:00;  66,7
25.06.2005 23:45:00;  30,6
29.07.2005 16:45:00;  35,0
02.08.2005 11:00:00;  31,0
25.09.2005 20:45:00;  32,0
09.10.2005 22:15:00;  36,5
19.11.2005 00:10:05;  28,1
05.12.2005 06:00:00;  34,5
23.01.2006 23:29:55;  30,6
08.02.2006 05:44:55;  37,7
10.03.2006 02:15:00;  86,3
28.04.2006 23:30:00;   232
27.05.2006 11:45:00;   112
26.06.2006 22:15:00;  70,4
30.07.2006 00:30:00;  35,3
01.08.2006 06:15:00;  38,2
28.09.2006 12:45:00;  36,7
27.10.2006 20:15:00;  38,7
05.11.2006 05:30:00;  45,4
09.12.2006 11:15:00;  48,2
02.01.2007 00:10:10;  46,9
26.02.2007 19:00:00;  94,1
01.03.2007 00:00:00;   102
30.04.2007 20:30:00;  50,5
27.05.2007 23:15:00;  33,1
19.06.2007 06:30:00;  26,9
29.07.2007 20:45:00;  22,9
11.08.2007 15:15:00;  21,0
03.09.2007 12:00:00;  25,8
04.10.2007 05:30:00;  37,7
06.11.2007 15:30:00;  52,3
29.12.2007 13:45:00;  66,1
06.01.2008 18:15:00;  61,7
29.02.2008 11:00:00;  79,3
01.03.2008 00:15:00;  79,9
30.04.2008 23:59:55;  88,8
18.05.2008 16:00:00;  51,8
25.06.2008 06:00:00;  28,6
03.07.2008 14:00:00;  31,5
15.08.2008 15:00:00;  28,0
07.09.2008 20:30:00;  26,8
25.10.2008 05:00:00;  35,5
19.11.2008 16:45:00;  30,4
17.12.2008 17:15:00;  37,6
06.01.2009 16:15:00;  37,2
03.02.2009 08:00:00;  50,8
01.03.2009 00:00:00;   136
30.04.2009 11:15:00;  72,5
29.05.2009 15:45:00;  34,9
19.06.2009 15:45:00;  35,3
31.07.2009 23:45:00;  92,9
23.08.2009 17:45:00;  31,3
28.09.2009 13:45:00;  30,1
10.10.2009 04:45:00;  28,9
05.11.2009 04:00:00;  49,3
20.12.2009 18:00:00;  56,0
26.01.2010 19:45:00;  75,4
16.02.2010 19:45:00;  63,2
16.03.2010 18:00:00;   127
28.04.2010 15:30:00;   118
01.05.2010 18:00:00;   119
30.06.2010 23:15:00;   103
17.07.2010 19:30:00;  58,2
25.08.2010 13:00:00;  81,3
24.09.2010 11:30:00;  72,6
31.10.2010 20:15:00;  88,9
08.11.2010 15:30:00;  82,0
03.12.2010 08:00:00;  94,3
08.01.2011 14:45:00;   146
24.02.2011 18:00:00;  84,8
11.03.2011 14:00:00;  82,0
25.04.2011 05:15:00;  82,0
27.05.2011 09:00:00;  49,4
30.06.2011 15:00:00;  42,0
20.07.2011 17:15:00;  38,5
31.08.2011 22:30:00;  47,8
29.09.2011 16:45:00;  32,5
03.10.2011 01:00:00;  30,4
22.11.2011 05:30:00;  35,2
04.12.2011 09:45:00;  31,2
01.01.2012 19:30:00;  50,6
16.02.2012 12:45:00;  52,6
12.03.2012 17:00:00;   115
27.04.2012 08:30:00;  71,4
29.05.2012 16:30:00;  27,3
01.06.2012 09:30:00;  32,1
03.07.2012 08:30:00;  27,7
21.08.2012 17:00:00;  22,1
11.09.2012 00:15:00;  21,7
01.10.2012 00:00:00;  26,3
30.11.2012 14:15:00;  37,5
11.12.2012 18:45:00;  28,2
28.01.2013 22:15:00;  53,4
23.02.2013 13:30:00;  84,2
29.03.2013 07:00:00;   116
30.04.2013 15:00:00;   130
25.05.2013 06:30:00;  88,2
23.06.2013 03:15:00;  86,2
29.07.2013 08:45:00;  31,7
18.08.2013 21:15:00;  28,3
08.09.2013 20:15:00;  29,2
09.10.2013 12:00:00;  43,5
01.11.2013 00:00:00;  48,3
01.12.2013 00:00:00;  50,6
05.01.2014 12:45:00;  59,0
07.02.2014 14:45:00;  57,2
15.03.2014 09:15:00;  46,4
20.04.2014 20:30:00;  45,3
07.05.2014 14:30:00;  43,1
24.06.2014 15:30:00;  20,8
20.07.2014 22:15:00;  20,8
10.08.2014 15:45:00;  38,8
01.09.2014 00:00:00;  54,4
31.10.2014 05:15:00;  79,0
06.11.2014 19:45:00;  66,1
01.12.2014 06:45:00;  81,6
08.01.2015 21:30:00;  83,5
08.02.2015 15:30:00;  96,3
26.03.2015 21:45:00;  79,0
27.04.2015 14:00:00;  77,1
20.05.2015 13:45:00;  44,8
28.06.2015 08:30:00;  28,0
25.07.2015 08:45:00;  17,7
15.08.2015 15:30:00;  12,1
01.09.2015 07:15:00;  20,4
02.10.2015 21:15:00;  16,3
04.11.2015 11:45:00;  27,0
01.12.2015 00:00:00;  36,7
24.01.2016 11:00:00;  33,6
08.02.2016 22:30:00;  74,0
30.03.2016 08:30:00;  77,1
05.04.2016 14:00:00;  68,5
29.05.2016 15:30:00;  39,9
30.06.2016 05:45:00;  24,6
11.07.2016 16:15:00;  22,2
29.08.2016 07:30:00;  25,6
30.09.2016 15:45:00;  17,7
01.10.2016 07:30:00;  17,2
03.11.2016 12:15:00;  32,0
26.12.2016 10:45:00;  35,7
07.01.2017 16:17:00;  20,7
17.02.2017 07:30:00;  32,8
18.03.2017 05:00:00;  60,9
17.04.2017 19:15:00;  49,1
30.05.2017 09:00:00;  33,2
30.06.2017 01:30:00;  20,2
05.07.2017 18:30:00;  19,4
30.08.2017 22:15:00;  17,4
01.09.2017 13:45:00;  17,0
03.10.2017 10:30:00;  30,9
11.11.2017 12:30:00;  43,3
22.12.2017 01:45:00;  56,9
25.01.2018 16:00:00;  73,6
26.02.2018 21:00:00;  41,2
04.03.2018 07:30:00;  41,2
29.04.2018 12:00:00;  40,7
31.05.2018 08:45:00;  24,5
23.06.2018 15:15:00;  19,0
13.07.2018 07:45:00;  17,0
23.08.2018 07:00:00;  12,5
01.09.2018 06:45:00;  14,8
23.10.2018 01:00:00;  15,2
12.11.2018 22:00:00;  16,8
02.12.2018 00:00:00;  18,8
13.01.2019 07:15:00;  41,4
01.02.2019 00:00:00;  51,5
31.03.2019 13:30:00;  84,4
29.04.2019 03:00:00;  41,9
09.05.2019 14:00:00;  45,4
30.06.2019 09:45:00;  25,4
27.07.2019 06:15:00;  21,9
07.08.2019 06:45:00;  24,1
02.09.2019 07:30:00;  23,6
01.10.2019 07:30:00;  24,5
02.11.2019 05:15:00;  22,8
08.12.2019 09:30:00;  33,7
28.01.2020 22:15:00;  40,4
01.02.2020 07:15:00;  43,4
31.03.2020 23:30:00;  61,6
28.04.2020 14:30:00;  32,1
22.05.2020 13:00:00;  25,4
05.06.2020 03:45:00;  34,9
29.07.2020 20:30:00;  56,4
03.08.2020 17:00:00;  40,4
22.09.2020 06:15:00;  42,4
11.10.2020 11:45:00;  96,0
28.11.2020 11:15:00;  90,2
16.12.2020 08:45:00;  76,5
19.01.2021 19:30:00;  89,3
19.02.2021 16:30:00;   164
31.03.2021 19:15:00;   100
29.04.2021 14:00:00;  76,7
12.05.2021 00:30:00;  74,1
21.06.2021 09:30:00;  36,2
08.07.2021 22:45:00;  34,1
28.08.2021 06:30:00;  37,1
27.09.2021 17:15:00;  31,9
04.10.2021 23:15:00;  33,9
24.11.2021 10:15:00;  30,0
15.12.2021 11:30:00;  40,0
