Messstelle:                ;Bad Schallerbach
28.05.1980 08:00:00;  1,37
17.06.1980 07:30:00; 0,999
03.07.1980 11:30:00;  1,63
26.08.1980 09:00:00;  1,08
23.09.1980 07:30:00;  1,24
28.10.1980 17:00:00; 0,709
22.11.1980 14:00:00;  1,27
01.12.1980 18:30:00;  1,71
30.01.1981 00:01:00;  1,40
02.02.1981 00:01:00;  1,28
31.03.1981 21:30:00;  1,82
23.04.1981 02:00:00; 0,927
22.05.1981 00:30:00; 0,752
18.06.1981 02:30:00; 0,492
11.07.1981 03:00:00; 0,508
19.08.1981 20:00:00; 0,350
11.09.1981 14:00:00; 0,330
09.10.1981 01:30:00; 0,438
04.11.1981 16:00:00;  1,74
30.12.1981 09:30:00;  2,50
24.01.1982 20:30:00;  2,21
28.02.1982 11:00:00;  1,76
31.03.1982 23:59:55;  2,17
28.04.1982 18:30:00;  1,15
25.05.1982 14:30:00; 0,189
09.06.1982 02:30:00; 0,374
23.07.1982 02:00:00; 0,418
05.08.1982 00:00:00; 0,257
21.09.1982 19:00:00; 0,103
08.10.1982 04:00:00; 0,436
10.11.1982 02:00:00; 0,442
03.12.1982 02:00:00; 0,526
14.01.1983 19:00:00;  2,33
23.02.1983 05:30:00;  1,03
17.03.1983 21:00:00;  1,62
28.04.1983 08:00:00;  1,61
27.05.1983 00:30:00; 0,814
09.06.1983 03:00:00; 0,706
29.07.1983 05:00:00; 0,401
19.08.1983 21:30:00; 0,180
30.09.1983 09:30:00; 0,319
05.10.1983 11:30:00; 0,334
02.11.1983 09:30:00; 0,301
14.12.1983 03:00:00; 0,369
12.01.1984 06:30:00; 0,663
17.02.1984 07:00:00; 0,879
30.03.1984 03:00:00;  1,02
27.04.1984 01:00:00; 0,956
27.05.1984 08:30:00; 0,692
21.06.1984 04:00:00; 0,504
26.07.1984 08:30:00; 0,462
24.08.1984 02:30:00; 0,417
09.09.1984 11:30:00; 0,451
30.10.1984 20:30:00; 0,492
19.11.1984 20:00:00; 0,548
31.12.1984 23:00:00; 0,670
01.01.1985 00:00:05; 0,600
28.02.1985 16:45:00; 0,914
18.03.1985 12:45:00;  1,50
22.04.1985 22:45:00;  1,82
16.05.1985 14:30:00;  1,09
04.06.1985 08:30:00;  1,12
28.07.1985 04:30:00; 0,694
03.08.1985 20:45:00; 0,826
30.09.1985 23:59:55;  1,42
21.10.1985 17:00:00;  1,19
26.11.1985 13:45:00; 0,742
18.12.1985 15:45:00;  1,48
11.01.1986 04:30:00;  1,36
22.02.1986 04:15:00;  1,06
21.03.1986 11:30:00;  1,68
10.04.1986 11:30:00;  1,27
24.05.1986 13:00:00; 0,970
30.06.1986 17:45:00; 0,908
31.07.1986 11:45:00; 0,559
22.08.1986 10:45:00; 0,504
28.09.1986 16:15:00; 0,566
03.10.1986 18:15:00; 0,458
01.11.1986 10:45:00; 0,566
09.12.1986 11:15:00; 0,716
30.01.1987 04:15:00; 0,778
01.02.1987 00:00:00;  1,21
14.03.1987 06:45:00;  2,08
29.04.1987 16:15:00;  1,68
02.05.1987 15:45:00;  1,68
16.06.1987 02:45:00;  1,68
23.07.1987 18:00:00; 0,923
31.08.1987 20:30:00; 0,834
03.09.1987 04:15:00; 0,671
24.10.1987 15:45:00; 0,461
26.11.1987 12:15:00; 0,671
14.12.1987 00:45:00;  1,12
20.01.1988 11:45:00;  1,41
18.02.1988 11:30:00;  2,10
02.03.1988 03:45:00;  2,10
29.04.1988 12:00:00;  2,22
28.05.1988 02:00:00;  1,10
29.06.1988 21:45:00; 0,406
12.07.1988 00:30:00; 0,406
24.08.1988 15:00:00; 0,336
27.09.1988 13:15:00; 0,480
01.10.1988 15:30:00; 0,480
23.11.1988 14:30:00; 0,725
03.12.1988 18:30:00;  2,22
31.01.1989 17:15:00;  1,68
12.02.1989 20:15:00;  1,33
31.03.1989 09:00:00;  1,33
09.04.1989 13:30:00;  1,22
30.05.1989 07:45:00; 0,923
15.06.1989 16:45:00; 0,671
17.07.1989 18:00:00; 0,526
24.08.1989 20:15:00; 0,596
03.09.1989 02:00:00; 0,596
02.10.1989 08:15:00; 0,671
26.11.1989 07:15:00; 0,671
05.12.1989 16:45:00; 0,596
07.01.1990 06:30:00; 0,662
05.02.1990 02:15:00;  1,05
22.03.1990 07:00:00;  1,26
06.04.1990 15:15:00;  1,26
18.05.1990 20:00:00; 0,837
01.06.1990 01:30:00; 0,837
28.07.1990 11:30:00; 0,745
04.08.1990 16:45:00; 0,500
15.09.1990 18:00:00; 0,429
24.10.1990 05:30:00; 0,745
08.11.1990 17:30:00;  1,38
17.12.1990 23:15:00;  1,11
31.01.1991 23:59:55; 0,791
01.02.1991 00:15:00; 0,733
16.03.1991 01:45:00;  1,22
22.04.1991 14:00:00; 0,733
01.05.1991 16:00:00;  1,01
12.06.1991 21:00:00; 0,821
13.07.1991 11:15:00; 0,733
27.08.1991 14:15:00; 0,821
04.09.1991 23:45:00; 0,650
08.10.1991 19:30:00; 0,572
07.11.1991 00:00:00; 0,603
18.12.1991 00:15:00; 0,431
29.01.1992 12:15:00; 0,431
12.02.1992 13:15:00; 0,431
03.03.1992 03:45:00;  1,22
09.04.1992 17:15:00; 0,811
18.05.1992 13:15:00; 0,845
25.06.1992 13:45:00; 0,579
17.07.1992 16:15:00; 0,359
21.08.1992 23:45:00; 0,239
02.09.1992 17:30:00; 0,359
06.10.1992 16:00:00; 0,427
02.11.1992 21:45:00;  1,05
30.12.1992 12:00:00;  1,05
02.01.1993 15:30:00; 0,845
27.02.1993 05:00:00; 0,751
05.03.1993 16:30:00;  1,05
28.04.1993 19:30:00;  1,16
27.05.1993 18:45:00; 0,579
10.06.1993 08:15:00; 0,579
03.07.1993 04:45:00; 0,427
20.08.1993 10:45:00; 0,499
24.09.1993 13:30:00; 0,821
16.10.1993 16:45:00; 0,821
06.11.1993 00:30:00; 0,913
01.12.1993 11:45:00; 0,913
11.01.1994 13:30:00;  2,05
20.02.1994 06:15:00;  1,27
01.03.1994 00:00:00;  1,91
08.04.1994 07:15:00;  2,20
31.05.1994 23:59:55;  1,44
24.06.1994 13:15:00; 0,511
27.07.1994 22:45:00; 0,429
06.08.1994 00:30:00; 0,303
26.09.1994 08:45:00; 0,247
02.10.1994 02:45:00; 0,303
03.11.1994 13:00:00; 0,363
01.12.1994 00:15:00; 0,500
09.01.1995 06:00:00; 0,576
14.02.1995 03:15:00;  1,76
16.03.1995 20:00:00;  1,76
30.04.1995 07:00:00;  1,45
30.05.1995 14:45:00;  1,01
30.06.1995 18:15:00; 0,980
10.07.1995 15:45:00; 0,570
07.08.1995 01:15:00; 0,570
27.09.1995 00:00:00; 0,993
27.10.1995 16:45:00; 0,806
01.11.1995 17:45:00;  1,43
13.12.1995 02:15:00;  1,31
31.01.1996 03:45:00; 0,745
06.02.1996 05:30:00; 0,837
05.03.1996 11:15:00; 0,837
28.04.1996 02:45:00;  1,50
08.05.1996 09:00:00;  1,50
21.06.1996 17:30:00;  1,50
24.07.1996 14:00:00; 0,806
22.08.1996 01:30:00; 0,721
01.09.1996 00:00:00; 0,993
17.10.1996 19:45:00;  1,15
06.11.1996 00:00:00;  1,18
30.12.1996 00:00:00;  1,41
16.01.1997 08:47:35; 0,789
03.02.1997 05:15:00; 0,346
15.03.1997 23:42:00;  1,88
25.04.1997 22:40:20;  1,47
31.05.1997 13:04:45; 0,961
10.06.1997 21:12:10; 0,715
02.07.1997 00:02:00; 0,713
28.08.1997 23:03:50; 0,870
28.09.1997 11:15:55; 0,682
09.10.1997 12:32:05; 0,690
09.11.1997 06:22:05; 0,801
10.12.1997 18:02:30;  1,61
31.01.1998 23:59:55;  1,35
09.02.1998 19:35:00;  1,22
05.03.1998 11:38:00;  1,31
29.04.1998 12:19:30;  1,30
29.05.1998 20:06:40; 0,436
24.06.1998 14:35:25; 0,266
01.07.1998 23:41:40; 0,541
13.08.1998 00:12:30; 0,334
02.09.1998 17:39:15; 0,407
09.10.1998 21:48:25; 0,771
30.11.1998 23:59:55;  1,67
10.12.1998 11:34:05; 0,881
03.01.1999 15:21:30;  1,26
16.02.1999 07:17:40;  1,30
29.03.1999 00:17:50;  2,02
26.04.1999 02:34:10;  1,38
31.05.1999 23:59:55;  1,37
25.06.1999 10:50:35; 0,697
07.07.1999 03:27:00; 0,699
26.08.1999 15:08:15; 0,580
20.09.1999 19:13:45; 0,433
19.10.1999 13:26:10; 0,405
17.11.1999 17:02:35; 0,618
01.12.1999 00:00:00; 0,829
25.01.2000 05:07:05;  1,09
29.02.2000 23:59:55;  3,14
24.03.2000 22:39:00;  3,01
30.04.2000 04:27:40;  1,59
29.05.2000 11:31:05;  1,04
30.06.2000 12:45:50; 0,670
23.07.2000 13:51:55; 0,598
26.08.2000 13:56:50; 0,472
16.09.2000 13:06:25; 0,461
01.10.2000 16:57:30; 0,525
23.11.2000 02:03:35; 0,802
06.12.2000 11:02:45; 0,925
01.01.2001 11:29:05; 0,791
02.02.2001 02:34:45;  1,43
03.03.2001 06:52:05;  1,91
05.04.2001 09:27:25;  2,11
31.05.2001 12:08:45; 0,919
06.06.2001 00:07:30; 0,997
31.07.2001 23:59:55; 0,713
27.08.2001 16:01:55; 0,528
04.09.2001 09:18:40; 0,989
17.10.2001 11:01:00; 0,917
06.11.2001 08:58:55; 0,849
24.12.2001 04:18:00; 0,715
19.01.2002 22:59:50;  1,51
20.02.2002 05:37:05;  1,63
18.03.2002 21:40:25;  1,78
26.04.2002 11:58:50;  1,45
25.05.2002 17:41:40; 0,842
07.06.2002 00:57:00; 0,823
13.07.2002 20:01:00; 0,602
02.08.2002 00:09:25; 0,827
22.09.2002 17:39:50; 0,859
10.10.2002 21:57:30;  1,50
30.11.2002 15:12:35;  2,46
15.12.2002 21:53:20;  1,79
23.01.2003 12:14:00;  2,82
18.02.2003 07:18:05;  1,34
30.03.2003 18:41:20;  1,38
14.04.2003 06:10:55; 0,765
27.05.2003 10:29:05; 0,428
29.06.2003 16:03:15; 0,575
04.07.2003 15:56:35; 0,426
27.08.2003 20:26:15; 0,245
23.09.2003 00:14:10; 0,220
01.10.2003 14:42:15; 0,215
09.11.2003 00:46:05; 0,293
04.12.2003 20:15:00; 0,334
07.01.2004 01:30:00; 0,288
26.02.2004 06:08:25;  1,09
06.03.2004 11:45:00; 0,964
30.04.2004 01:00:00;  1,29
27.05.2004 11:15:00; 0,854
30.06.2004 13:00:00; 0,992
31.07.2004 21:00:00; 0,838
20.08.2004 17:45:00; 0,506
22.09.2004 16:00:00; 0,607
30.10.2004 22:28:30; 0,643
04.11.2004 05:06:55; 0,930
21.12.2004 10:21:15; 0,699
01.01.2005 00:30:00; 0,869
10.02.2005 06:34:10; 0,813
07.03.2005 09:00:00;  1,09
18.04.2005 01:15:00;  1,16
29.05.2005 02:15:00;  1,50
24.06.2005 11:30:00; 0,844
04.07.2005 13:15:00; 0,843
07.08.2005 14:45:00;  1,01
10.09.2005 14:15:00; 0,855
23.10.2005 23:15:00;  1,23
13.11.2005 17:45:00;  1,27
01.12.2005 13:00:00;  1,44
16.01.2006 06:30:00;  1,10
14.02.2006 05:30:00; 0,734
08.03.2006 12:45:00;  1,38
25.04.2006 13:45:00;  2,22
26.05.2006 01:30:00;  1,13
21.06.2006 07:15:00;  1,49
28.07.2006 11:45:00; 0,944
23.08.2006 13:30:00; 0,926
12.09.2006 15:00:00; 0,858
28.10.2006 17:30:00; 0,769
03.11.2006 01:00:00; 0,793
26.12.2006 18:45:00; 0,919
01.01.2007 00:00:00;  1,34
25.02.2007 04:00:00;  1,34
31.03.2007 20:45:00;  1,38
28.04.2007 17:15:00; 0,673
01.05.2007 15:00:00; 0,605
24.06.2007 14:45:00; 0,453
28.07.2007 12:15:00; 0,371
28.08.2007 14:30:00; 0,341
02.09.2007 02:15:00; 0,409
04.10.2007 13:15:00; 0,490
02.11.2007 06:00:00; 0,553
30.12.2007 10:15:00;  1,30
06.01.2008 08:15:00;  1,14
28.02.2008 11:45:00;  1,16
11.03.2008 23:15:00;  1,55
21.04.2008 17:00:00;  1,69
31.05.2008 21:45:00;  1,05
23.06.2008 17:15:00; 0,632
06.07.2008 12:00:00; 0,766
31.08.2008 13:45:00; 0,639
12.09.2008 13:15:00; 0,492
01.10.2008 09:30:00; 0,528
12.11.2008 08:15:00; 0,552
16.12.2008 14:45:00; 0,968
30.01.2009 20:15:00; 0,675
02.02.2009 12:15:00; 0,653
23.03.2009 21:00:00;  2,71
30.04.2009 23:00:00;  1,23
26.05.2009 19:30:00; 0,976
15.06.2009 07:00:00; 0,976
31.07.2009 21:30:00;  1,54
28.08.2009 10:30:00; 0,906
27.09.2009 02:45:00; 0,646
04.10.2009 11:30:00; 0,623
02.11.2009 10:15:00; 0,684
01.12.2009 07:45:00;  1,04
24.01.2010 09:45:00; 0,905
02.02.2010 12:45:00; 0,991
10.03.2010 06:30:00;  1,26
09.04.2010 10:30:00; 0,999
12.05.2010 13:15:00; 0,914
30.06.2010 23:30:00;  1,12
11.07.2010 13:00:00; 0,914
23.08.2010 03:15:00; 0,999
12.09.2010 13:15:00; 0,684
10.10.2010 03:00:00; 0,515
11.11.2010 03:00:00; 0,743
05.12.2010 11:45:00; 0,833
30.01.2011 04:15:00; 0,649
24.02.2011 07:00:00;  1,04
08.03.2011 17:30:00; 0,797
29.04.2011 18:00:00; 0,757
21.05.2011 23:45:00; 0,684
15.06.2011 01:45:00; 0,301
01.07.2011 00:00:00; 0,335
24.08.2011 13:45:00; 0,400
03.09.2011 13:30:00; 0,684
02.10.2011 13:15:00; 0,553
21.11.2011 14:30:00; 0,684
01.12.2011 00:00:00; 0,833
19.01.2012 05:15:00;  1,95
14.02.2012 22:30:00;  1,25
27.03.2012 15:15:00;  1,09
04.04.2012 19:15:00; 0,666
19.05.2012 17:45:00; 0,757
30.06.2012 23:59:55; 0,914
24.07.2012 22:30:00; 0,833
24.08.2012 17:00:00; 0,493
09.09.2012 18:15:00; 0,616
27.10.2012 04:45:00; 0,637
30.11.2012 16:45:00; 0,678
02.12.2012 14:15:00; 0,630
27.01.2013 05:30:00;  1,53
25.02.2013 09:30:00;  2,19
28.03.2013 14:45:00;  1,92
30.04.2013 21:30:00;  1,42
24.05.2013 16:30:00;  1,21
21.06.2013 09:15:00;  1,66
29.07.2013 14:15:00; 0,742
17.08.2013 20:00:00; 0,559
08.09.2013 17:45:00; 0,584
03.10.2013 22:45:00; 0,692
03.11.2013 07:30:00;  1,04
31.12.2013 15:45:00; 0,944
08.01.2014 16:15:00; 0,901
28.02.2014 06:45:00; 0,970
21.03.2014 18:45:00; 0,761
28.04.2014 22:15:00; 0,622
02.05.2014 14:30:00; 0,567
28.06.2014 15:45:00; 0,517
07.07.2014 11:15:00; 0,448
25.08.2014 23:00:00; 0,699
11.09.2014 14:15:00; 0,906
17.10.2014 06:00:00;  1,15
29.11.2014 14:45:00;  1,01
04.12.2014 12:45:00; 0,846
01.01.2015 09:45:00;  1,21
14.02.2015 13:00:00;  1,47
25.03.2015 13:45:00;  1,06
29.04.2015 20:15:00;  1,18
01.05.2015 02:00:00;  1,23
26.06.2015 16:30:00; 0,805
22.07.2015 16:30:00; 0,498
14.08.2015 14:30:00; 0,207
19.09.2015 14:00:00; 0,306
03.10.2015 12:30:00; 0,301
27.11.2015 12:45:00; 0,506
30.12.2015 14:00:00; 0,519
06.01.2016 19:15:00; 0,519
20.02.2016 16:15:00;  1,64
25.03.2016 14:15:00;  1,22
30.04.2016 13:30:00; 0,996
12.05.2016 12:00:00; 0,717
24.06.2016 20:45:00;  1,40
11.07.2016 19:30:00;  1,08
31.08.2016 23:45:00; 0,898
14.09.2016 17:00:00; 0,578
01.10.2016 19:45:00; 0,634
02.11.2016 16:30:00; 0,854
17.12.2016 18:30:00;  1,06
06.01.2017 09:57:45; 0,326
01.02.2017 00:00:00; 0,956
16.03.2017 14:15:00;  1,91
15.04.2017 17:00:00;  1,28
29.05.2017 13:45:00;  1,31
24.06.2017 15:15:00; 0,631
17.07.2017 17:45:00; 0,172
25.08.2017 19:45:00; 0,470
29.09.2017 16:15:00; 0,637
01.10.2017 10:15:00; 0,610
05.11.2017 13:15:00;  1,12
04.12.2017 10:30:00;  1,99
15.01.2018 13:00:00;  2,41
10.02.2018 19:45:00;  1,61
05.03.2018 11:00:00;  1,48
30.04.2018 21:30:00; 0,898
30.05.2018 18:15:00; 0,470
11.06.2018 18:15:00; 0,147
22.07.2018 02:30:00; 0,370
06.08.2018 12:45:00; 0,105
20.09.2018 18:30:00; 0,155
09.10.2018 12:00:00; 0,120
25.11.2018 14:30:00; 0,320
01.12.2018 00:00:00; 0,677
31.01.2019 17:00:00;  1,42
02.02.2019 15:30:00;  1,57
31.03.2019 19:15:00;  1,33
29.04.2019 13:00:00; 0,673
07.05.2019 19:15:00; 0,739
30.06.2019 22:30:00; 0,547
11.07.2019 14:30:00; 0,365
10.08.2019 18:15:00; 0,192
29.09.2019 08:00:00; 0,240
01.10.2019 16:00:00; 0,292
01.11.2019 17:30:00; 0,480
05.12.2019 16:15:00; 0,620
25.01.2020 08:45:00; 0,627
01.02.2020 13:45:00;  1,44
31.03.2020 15:30:00; 0,913
26.04.2020 14:45:00; 0,535
22.05.2020 09:45:00; 0,452
04.06.2020 14:00:00; 0,610
10.07.2020 14:30:00; 0,644
01.08.2020 22:00:00; 0,684
22.09.2020 01:15:00; 0,541
10.10.2020 04:45:00; 0,789
29.11.2020 05:30:00; 0,964
09.12.2020 04:15:00; 0,838
11.01.2021 10:00:00; 0,930
15.02.2021 11:00:00;  1,90
10.03.2021 07:30:00;  1,64
27.04.2021 06:00:00; 0,947
11.05.2021 05:15:00; 0,930
20.06.2021 02:45:00; 0,819
17.07.2021 05:45:00; 0,834
15.08.2021 07:00:00;  1,59
25.09.2021 00:45:00; 0,802
21.10.2021 12:45:00; 0,684
01.11.2021 11:00:00; 0,757
23.12.2021 13:45:00;  1,51
