Messstelle:                ;Wildalpen
12.01.1954 12:00:00;  3,36
24.02.1954 12:00:00;  5,28
01.03.1954 12:00:00;  5,82
21.04.1954 12:00:00;  6,72
03.05.1954 12:00:00;  21,1
21.06.1954 12:00:00;  14,9
27.07.1954 12:00:00;  11,7
26.08.1954 12:00:00;  6,54
16.09.1954 12:00:00;  4,30
26.10.1954 12:00:00;  7,34
03.11.1954 12:00:00;  6,54
21.12.1954 12:00:00;  6,00
30.01.1955 12:00:00;  8,66
28.02.1955 12:00:00;  6,90
20.03.1955 12:00:00;  5,46
03.04.1955 12:00:00;  13,4
24.05.1955 12:00:00;  23,7
16.06.1955 12:00:00;  20,3
29.07.1955 12:00:00;  22,4
28.08.1955 12:00:00;  11,2
25.09.1955 12:00:00;  6,36
05.10.1955 12:00:00;  6,18
29.11.1955 12:00:00;  7,12
15.12.1955 12:00:00;  5,28
20.01.1956 12:00:00;  3,88
29.02.1956 12:00:00;  4,62
01.03.1956 12:00:00;  5,28
10.04.1956 12:00:00;  10,9
04.05.1956 12:00:00;  28,5
07.06.1956 12:00:00;  21,9
23.07.1956 12:00:00;  12,9
08.08.1956 12:00:00;  10,1
30.09.1956 12:00:00;  9,10
02.10.1956 12:00:00;  5,10
30.11.1956 12:00:00;  8,00
30.12.1956 12:00:00;  10,4
04.01.1957 12:00:00;  6,36
01.02.1957 12:00:00;  8,22
03.03.1957 12:00:00;  12,6
18.04.1957 12:00:00;  16,8
30.05.1957 12:00:00;  18,6
30.06.1957 12:00:00;  11,2
09.07.1957 12:00:00;  9,10
18.08.1957 12:00:00;  12,3
12.09.1957 12:00:00;  7,12
22.10.1957 12:00:00;  5,28
29.11.1957 12:00:00;  6,18
08.12.1957 12:00:00;  5,28
27.01.1958 12:00:00;  4,16
02.02.1958 12:00:00;  5,10
24.03.1958 12:00:00;  7,00
01.04.1958 12:00:00;  13,9
31.05.1958 12:00:00;  19,8
17.06.1958 12:00:00;  12,5
22.07.1958 12:00:00;  8,44
03.08.1958 12:00:00;  8,44
11.09.1958 12:00:00;  9,71
12.10.1958 12:00:00;  9,40
30.11.1958 12:00:00;  12,2
19.12.1958 12:00:00;  8,44
29.01.1959 12:00:00;  6,80
23.02.1959 12:00:00;  6,20
19.03.1959 12:00:00;  9,16
02.04.1959 12:00:00;  11,3
29.05.1959 12:00:00;  13,9
08.06.1959 12:00:00;  14,2
15.07.1959 12:00:00;  19,8
31.08.1959 12:00:00;  16,4
30.09.1959 12:00:00;  8,56
22.10.1959 12:00:00;  6,72
30.11.1959 12:00:00;  6,50
18.12.1959 12:00:00;  5,10
11.01.1960 12:00:00;  5,46
08.02.1960 12:00:00;  5,86
10.03.1960 12:00:00;  11,3
29.04.1960 12:00:00;  11,0
01.05.1960 12:00:00;  10,7
27.06.1960 12:00:00;  11,6
08.07.1960 12:00:00;  9,58
12.08.1960 12:00:00;  12,2
19.09.1960 12:00:00;  10,4
31.10.1960 12:00:00;  12,2
13.11.1960 12:00:00;  8,56
31.12.1960 12:00:00;  7,38
28.01.1961 12:00:00;  5,10
06.02.1961 12:00:00;  5,22
05.03.1961 12:00:00;  10,1
30.04.1961 12:00:00;  21,9
31.05.1961 12:00:00;  23,8
30.06.1961 12:00:00;  13,5
28.07.1961 12:00:00;  8,80
07.08.1961 12:00:00;  9,32
30.09.1961 12:00:00;  6,34
07.10.1961 12:00:00;  5,70
04.11.1961 12:00:00;  7,60
09.12.1961 12:00:00;  9,58
20.01.1962 12:00:00;  6,34
04.02.1962 12:00:00;  7,16
25.03.1962 12:00:00;  7,16
08.04.1962 12:00:00;  11,9
03.05.1962 12:00:00;  25,6
30.06.1962 12:00:00;  19,7
21.07.1962 12:00:00;  16,8
30.08.1962 12:00:00;  10,8
17.09.1962 12:00:00;  7,38
28.10.1962 12:00:00;  5,46
30.11.1962 12:00:00;  6,50
04.12.1962 12:00:00;  5,34
31.01.1963 12:00:00;  5,00
28.02.1963 12:00:00;  4,80
03.03.1963 12:00:00;  4,60
04.04.1963 12:00:00;  14,8
24.05.1963 12:00:00;  23,2
14.06.1963 12:00:00;  14,8
31.07.1963 12:00:00;  10,5
12.08.1963 12:00:00;  8,70
26.09.1963 12:00:00;  10,5
31.10.1963 12:00:00;  6,18
12.11.1963 12:00:00;  5,70
24.12.1963 12:00:00;  4,90
31.01.1964 12:00:00;  4,40
15.02.1964 12:00:00;  4,20
18.03.1964 12:00:00;  4,80
09.04.1964 12:00:00;  18,1
31.05.1964 12:00:00;  18,9
13.06.1964 12:00:00;  12,5
27.07.1964 12:00:00;  11,0
29.08.1964 12:00:00;  9,84
07.09.1964 12:00:00;  8,56
07.10.1964 12:00:00;  7,60
12.11.1964 12:00:00;  11,9
31.12.1964 12:00:00;  9,06
21.01.1965 12:00:00;  6,18
22.02.1965 12:00:00;  5,58
11.03.1965 12:00:00;  5,58
20.04.1965 12:00:00;  25,1
01.05.1965 12:00:00;  30,4
30.06.1965 12:00:00;  44,9
24.07.1965 12:00:00;  24,6
24.08.1965 12:00:00;  17,2
28.09.1965 12:00:00;  12,8
30.10.1965 12:00:00;  7,74
20.11.1965 12:00:00;  6,32
09.12.1965 12:00:00;  6,60
21.01.1966 12:00:00;  6,18
01.02.1966 12:00:00;  7,14
19.03.1966 12:00:00;  9,66
02.04.1966 12:00:00;  9,66
22.05.1966 12:00:00;  21,0
18.06.1966 12:00:00;  14,5
14.07.1966 12:00:00;  23,2
15.08.1966 12:00:00;  18,8
30.09.1966 12:00:00;  12,4
29.10.1966 12:00:00;  7,70
29.11.1966 12:00:00;  7,14
17.12.1966 12:00:00;  6,96
11.01.1967 12:00:00;  7,32
18.02.1967 12:00:00;  9,90
22.03.1967 12:00:00;  16,4
04.04.1967 12:00:00;  16,8
05.05.1967 12:00:00;  37,0
30.06.1967 12:00:00;  26,1
31.07.1967 12:00:00;  18,0
31.08.1967 12:00:00;  10,8
08.09.1967 12:00:00;  9,66
31.10.1967 12:00:00;  8,00
30.11.1967 12:00:00;  7,14
18.12.1967 12:00:00;  6,96
14.01.1968 12:00:00;  6,60
20.02.1968 12:00:00;  8,22
19.03.1968 12:00:00;  7,32
14.04.1968 12:00:00;  20,1
31.05.1968 12:00:00;  14,5
28.06.1968 12:00:00;  11,4
15.07.1968 12:00:00;  8,70
03.08.1968 12:00:00;  17,6
22.09.1968 12:00:00;  9,90
31.10.1968 12:00:00;  8,70
18.11.1968 12:00:00;  7,14
31.12.1968 12:00:00;  5,10
12.01.1969 12:00:00;  5,10
20.02.1969 12:00:00;  5,66
07.03.1969 12:00:00;  6,78
01.04.1969 12:00:00;  9,42
31.05.1969 12:00:00;  11,4
02.06.1969 12:00:00;  11,1
29.07.1969 12:00:00;  13,8
15.08.1969 12:00:00;  11,1
28.09.1969 12:00:00;  7,60
27.10.1969 12:00:00;  5,46
10.11.1969 12:00:00;  5,10
27.12.1969 12:00:00;  4,40
04.01.1970 12:00:00;  4,70
02.02.1970 12:00:00;  4,70
18.03.1970 12:00:00;  6,60
07.04.1970 12:00:00;  11,4
04.05.1970 12:00:00;  28,6
28.06.1970 12:00:00;  23,7
13.07.1970 12:00:00;  19,7
31.08.1970 12:00:00;  27,0
30.09.1970 12:00:00;  13,9
01.10.1970 12:00:00;  14,7
09.11.1970 12:00:00;  17,8
27.12.1970 12:00:00;  10,6
19.01.1971 12:00:00;  8,44
28.02.1971 12:00:00;  5,22
06.03.1971 12:00:00;  4,02
01.04.1971 12:00:00;  14,1
30.05.1971 12:00:00;  12,8
18.06.1971 12:00:00;  13,1
31.07.1971 12:00:00;  9,66
26.08.1971 12:00:00;  6,60
12.09.1971 12:00:00;  6,46
31.10.1971 12:00:00;  6,18
01.11.1971 12:00:00;  5,90
05.12.1971 12:00:00;  7,74
17.01.1972 12:00:00;  5,30
17.02.1972 12:00:00;  5,66
06.03.1972 12:00:00;  8,22
01.04.1972 12:00:00;  8,94
05.05.1972 12:00:00;  20,6
29.06.1972 12:00:00;  16,8
06.07.1972 12:00:00;  14,8
18.08.1972 12:00:00;  14,1
23.09.1972 12:00:00;  10,8
22.10.1972 12:00:00;  8,70
30.11.1972 12:00:00;  9,18
30.12.1972 12:00:00;  5,54
27.01.1973 12:00:00;  5,00
20.02.1973 12:00:00;  5,20
16.03.1973 12:00:00;  5,30
21.04.1973 12:00:00;  12,8
29.05.1973 12:00:00;  26,6
21.06.1973 12:00:00;  23,7
26.07.1973 12:00:00;  13,4
29.08.1973 12:00:00;  8,94
21.09.1973 12:00:00;  7,14
16.10.1973 12:00:00;  8,46
09.11.1973 12:00:00;  8,94
21.12.1973 12:00:00;  7,74
12.01.1974 12:00:00;  7,50
07.02.1974 12:00:00;  12,1
11.03.1974 12:00:00;  9,18
27.04.1974 12:00:00;  14,5
13.05.1974 12:00:00;  22,9
09.06.1974 12:00:00;  25,7
31.07.1974 12:00:00;  18,9
31.08.1974 12:00:00;  11,4
16.09.1974 12:00:00;  7,74
16.10.1974 12:00:00;  8,94
11.11.1974 12:00:00;  9,66
01.12.1974 12:00:00;  11,1
31.01.1975 12:00:00;  14,1
28.02.1975 12:00:00;  8,70
01.03.1975 12:00:00;  9,18
02.04.1975 12:00:00;  12,4
05.05.1975 12:00:00;  35,8
07.06.1975 12:00:00;  27,0
31.07.1975 12:00:00;  28,0
23.08.1975 12:00:00;  15,6
30.09.1975 12:00:00;  8,94
31.10.1975 12:00:00;  6,96
26.11.1975 12:00:00;  5,78
20.12.1975 12:00:00;  4,90
01.01.1976 01:30:00;  5,47
18.02.1976 21:30:00;  7,84
22.03.1976 18:30:00;  7,19
13.04.1976 21:30:00;  14,5
01.05.1976 15:30:00;  18,6
30.06.1976 17:00:00;  14,4
18.07.1976 02:30:00;  8,71
20.08.1976 06:30:00;  9,84
29.09.1976 18:30:00;  10,8
30.10.1976 03:00:00;  7,56
13.11.1976 20:00:00;  7,80
31.12.1976 20:00:00;  8,05
19.01.1977 13:30:00;  7,07
04.02.1977 12:30:00;  8,46
02.03.1977 22:30:00;  14,2
13.04.1977 07:00:00;  16,0
30.05.1977 13:30:00;  20,8
26.06.1977 16:30:00;  14,1
31.07.1977 13:00:00;  10,7
31.08.1977 23:59:55;  9,24
29.09.1977 06:30:00;  7,73
29.10.1977 01:00:00;  6,11
28.11.1977 01:00:00;  5,59
04.12.1977 19:00:00;  6,02
30.01.1978 20:00:00;  6,28
21.02.1978 10:00:00;  4,86
28.03.1978 02:00:00;  8,24
18.04.1978 15:00:00;  10,7
13.05.1978 16:00:00;  21,9
19.06.1978 19:30:00;  13,7
31.07.1978 23:59:55;  10,2
30.08.1978 16:30:00;  6,67
06.09.1978 20:00:00;  7,12
22.10.1978 20:00:00;  8,05
26.11.1978 13:00:00;  5,78
07.12.1978 17:30:00;  5,00
20.01.1979 07:30:00;  5,80
28.02.1979 15:30:00;  6,04
01.03.1979 23:00:00;  6,14
09.04.1979 13:00:00;  12,2
08.05.1979 18:00:00;  23,5
30.06.1979 23:59:55;  17,4
01.07.1979 15:00:00;  15,6
24.08.1979 12:00:00;  10,9
21.09.1979 19:30:00;  8,26
27.10.1979 07:30:00;  6,98
02.11.1979 02:00:00;  7,43
31.12.1979 23:59:55;  9,53
28.01.1980 22:00:00;  6,28
03.02.1980 23:00:00;  7,02
11.03.1980 15:30:00;  7,13
12.04.1980 00:00:00;  13,6
19.05.1980 20:00:00;  29,5
20.06.1980 15:00:00;  24,6
20.07.1980 17:30:00;  17,5
30.08.1980 05:00:00;  10,4
30.09.1980 23:59:55;  9,14
05.10.1980 22:30:00;  8,17
14.11.1980 23:00:00;  8,90
10.12.1980 15:00:00;  7,84
28.01.1981 09:30:00;  6,80
27.02.1981 14:30:00;  6,98
06.03.1981 03:30:00;  7,05
25.04.1981 16:30:00;  13,6
01.05.1981 00:00:00;  14,1
17.06.1981 22:00:00;  10,8
11.07.1981 15:30:00;  9,03
20.08.1981 23:00:00;  9,40
13.09.1981 11:00:00;  8,66
22.10.1981 01:00:00;  9,73
13.11.1981 08:00:00;  10,2
28.12.1981 06:30:00;  8,55
26.01.1982 18:00:00;  8,18
28.02.1982 18:00:00;  8,13
01.03.1982 08:30:00;  8,65
23.04.1982 16:30:00;  14,3
03.05.1982 14:30:00;  18,1
22.06.1982 20:30:00;  21,9
21.07.1982 12:30:00;  14,9
31.08.1982 23:59:55;  13,4
21.09.1982 03:30:00;  7,88
01.10.1982 03:30:00;  8,63
12.11.1982 01:00:00;  8,07
15.12.1982 22:00:00;  7,56
02.01.1983 15:00:00;  8,18
24.02.1983 09:00:00;  8,69
05.03.1983 13:30:00;  8,76
06.04.1983 14:00:00;  13,9
31.05.1983 20:30:00;  19,5
14.06.1983 20:30:00;  15,8
28.07.1983 16:30:00;  9,05
31.08.1983 18:00:00;  7,65
02.09.1983 06:00:00;  7,40
09.10.1983 02:00:00;  7,69
24.11.1983 12:30:00;  5,52
09.12.1983 16:30:00;  6,60
27.01.1984 12:00:00;  5,54
18.02.1984 11:00:00;  5,23
13.03.1984 16:30:00;  5,78
01.04.1984 15:30:00;  12,9
01.05.1984 15:00:00;  16,3
25.06.1984 22:00:00;  13,4
25.07.1984 15:30:00;  8,86
25.08.1984 04:30:00;  9,43
06.09.1984 23:30:00;  8,46
31.10.1984 21:00:00;  8,51
18.11.1984 18:30:00;  6,67
31.12.1984 12:00:00;  6,34
07.01.1985 04:30:00;  6,40
25.02.1985 17:00:00;  7,40
21.03.1985 13:00:00;  8,80
19.04.1985 14:00:00;  17,4
01.05.1985 03:30:00;  17,6
30.06.1985 15:30:00;  23,8
30.07.1985 14:00:00;  12,0
02.08.1985 01:00:00;  12,5
30.09.1985 07:00:00;  11,7
30.10.1985 03:00:00;  8,07
28.11.1985 21:00:00;  6,56
01.12.1985 03:00:00;  6,95
11.01.1986 19:45:00;  7,90
28.02.1986 08:30:00;  5,85
04.03.1986 22:45:00;  5,75
01.04.1986 00:00:00;  16,6
27.05.1986 16:45:00;  21,9
29.06.1986 14:30:00;  14,7
31.07.1986 00:15:00;  8,13
18.08.1986 15:45:00;  7,42
30.09.1986 22:00:00;  5,93
19.10.1986 09:45:00;  4,41
22.11.1986 08:45:00;  4,91
26.12.1986 10:00:00;  3,62
20.01.1987 18:15:00;  4,80
02.02.1987 23:30:00;  4,53
24.03.1987 21:15:00;  5,23
01.04.1987 15:15:00;  9,82
24.05.1987 10:30:00;  31,4
30.06.1987 19:30:00;  25,7
30.07.1987 17:00:00;  16,9
31.08.1987 22:00:00;  11,3
19.09.1987 07:45:00;  6,77
15.10.1987 11:45:00;  5,08
13.11.1987 02:15:00;  5,54
14.12.1987 14:30:00;  5,54
24.01.1988 18:45:00;  6,39
15.02.1988 18:30:00;  5,54
13.03.1988 06:45:00;  4,67
03.04.1988 13:30:00;  15,3
31.05.1988 16:15:00;  26,7
27.06.1988 18:45:00;  15,0
26.07.1988 18:00:00;  10,1
12.08.1988 22:30:00;  8,51
02.09.1988 06:45:00;  11,9
13.10.1988 18:00:00;  6,96
11.11.1988 10:45:00;  7,81
01.12.1988 12:00:00;  11,9
30.01.1989 18:00:00;  8,51
18.02.1989 15:00:00;  8,03
10.03.1989 20:15:00;  15,7
30.04.1989 13:00:00;  18,5
01.05.1989 11:15:00;  16,9
16.06.1989 19:30:00;  19,7
23.07.1989 19:15:00;  17,6
27.08.1989 16:00:00;  15,3
27.09.1989 07:45:00;  15,3
28.10.1989 19:30:00;  11,6
30.11.1989 00:01:00;  8,75
14.12.1989 23:30:00;  7,17
08.01.1990 00:00:00;  5,87
14.02.1990 00:30:00;  5,54
05.03.1990 12:00:00;  11,3
13.04.1990 16:30:00;  10,7
31.05.1990 14:00:00;  11,6
02.06.1990 15:00:00;  10,4
30.07.1990 15:00:00;  10,1
31.08.1990 23:45:00;  8,27
03.09.1990 09:00:00;  8,03
26.10.1990 10:00:00;  7,17
09.11.1990 18:15:00;  8,75
29.12.1990 10:45:00;  8,27
31.01.1991 22:00:00;  6,77
02.02.1991 07:45:00;  6,04
01.03.1991 16:30:00;  7,59
22.04.1991 15:15:00;  9,54
09.05.1991 22:45:00;  16,5
24.06.1991 17:45:00;  19,3
13.07.1991 16:00:00;  13,2
31.08.1991 23:59:55;  16,0
30.09.1991 22:15:00;  9,82
22.10.1991 15:00:00;  7,49
04.11.1991 00:10:00;  6,77
14.12.1991 00:30:00;  5,87
21.01.1992 16:30:00;  9,27
03.02.1992 08:00:00;  9,27
29.03.1992 08:30:00;  12,9
19.04.1992 00:00:00;  20,1
30.05.1992 14:00:00;  27,2
29.06.1992 15:15:00;  17,2
30.07.1992 17:00:00;  9,27
31.08.1992 14:00:00;  5,87
01.09.1992 00:00:00;  6,04
20.10.1992 22:15:00;  9,27
16.11.1992 06:15:00;  10,1
29.12.1992 16:15:00;  8,27
06.01.1993 21:15:00;  7,59
27.02.1993 16:00:00;  6,77
07.03.1993 16:15:00;  6,21
01.04.1993 02:00:00;  15,7
30.05.1993 14:00:00;  16,5
15.06.1993 19:00:00;  12,7
13.07.1993 00:30:00;  14,8
23.08.1993 19:30:00;  11,4
22.09.1993 11:00:00;  10,8
16.10.1993 17:45:00;  8,44
29.11.1993 14:00:00;  7,49
03.12.1993 22:30:00;  6,64
21.01.1994 06:30:00;  7,86
24.02.1994 19:15:00;  6,96
04.03.1994 21:00:00;  8,44
12.04.1994 15:30:00;  13,7
12.05.1994 12:30:00;  20,0
29.06.1994 14:45:00;  15,6
24.07.1994 16:15:00;  7,86
13.08.1994 21:15:00;  6,40
24.09.1994 16:00:00;  6,32
22.10.1994 03:15:00;  5,74
09.11.1994 22:45:00;  5,88
25.12.1994 15:45:00;  7,67
17.01.1995 15:00:00;  6,48
27.02.1995 11:00:00;  8,44
17.03.1995 19:45:00;  8,05
01.04.1995 00:00:00;  13,1
22.05.1995 16:45:00;  24,2
19.06.1995 17:30:00;  22,7
26.07.1995 08:00:00;  11,2
09.08.1995 18:30:00;  8,24
30.09.1995 21:00:00;  14,1
29.10.1995 14:00:00;  6,80
01.11.1995 15:00:00;  7,67
16.12.1995 12:15:00;  7,86
31.01.1996 12:00:00;  6,61
26.02.1996 00:30:00;  5,32
12.03.1996 10:15:00;  5,32
06.04.1996 08:30:00;  9,42
25.05.1996 17:00:00;  38,0
17.06.1996 06:15:00;  13,1
30.07.1996 14:00:00;  13,5
01.08.1996 16:15:00;  11,5
01.09.1996 09:45:00;  12,8
13.10.1996 16:00:00;  24,0
30.11.1996 23:59:55;  14,6
28.12.1996 05:30:00;  7,45
30.01.1997 22:44:40;  5,96
08.02.1997 03:00:45;  5,26
02.03.1997 15:38:50;  8,16
01.04.1997 15:05:40;  18,0
31.05.1997 23:59:55;  28,8
30.06.1997 15:13:40;  23,8
03.07.1997 20:34:25;  17,6
28.08.1997 19:52:30;  13,4
29.09.1997 17:34:55;  8,52
01.10.1997 00:00:00;  8,85
06.11.1997 03:22:25;  6,66
08.12.1997 13:37:05;  10,1
27.01.1998 17:18:35;  5,99
05.02.1998 09:01:50;  5,72
16.03.1998 06:41:15;  8,37
21.04.1998 20:27:45;  19,4
18.05.1998 03:55:35;  21,4
30.06.1998 13:09:35;  14,9
07.07.1998 17:08:40;  14,8
12.08.1998 23:29:00;  11,8
03.09.1998 05:27:10;  10,3
27.10.1998 00:37:35;  17,4
30.11.1998 19:38:15;  12,4
10.12.1998 17:38:20;  9,29
31.01.1999 23:59:55;  8,70
19.02.1999 15:21:35;  7,51
01.03.1999 14:57:05;  13,6
21.04.1999 18:00:35;  26,5
29.05.1999 20:00:00;  29,8
15.06.1999 16:30:00;  19,9
07.07.1999 20:30:00;  15,3
16.08.1999 17:45:00;  14,2
30.09.1999 23:15:00;  11,6
18.10.1999 11:15:00;  7,98
21.11.1999 12:15:00;  6,81
23.12.1999 16:00:00;  5,32
13.01.2000 20:30:00;  5,49
24.02.2000 18:30:00;  11,3
07.03.2000 11:15:00;  12,6
09.04.2000 13:00:00;  31,3
31.05.2000 17:45:00;  25,9
19.06.2000 18:00:00;  17,1
07.07.2000 21:15:00;  14,0
22.08.2000 07:15:00;  8,57
30.09.2000 18:15:00;  8,57
31.10.2000 09:15:00;  9,32
25.11.2000 03:00:00;  9,15
22.12.2000 16:00:00;  7,24
16.01.2001 07:30:00;  6,61
03.02.2001 09:00:00;  6,94
02.03.2001 18:30:00;  7,11
23.04.2001 18:45:00;  17,5
31.05.2001 15:00:00;  13,2
02.06.2001 18:30:00;  11,6
07.07.2001 21:45:00;  9,85
30.08.2001 14:00:00;  8,21
01.09.2001 01:30:00;  9,02
19.10.2001 13:00:00;  7,92
24.11.2001 02:15:00;  6,10
24.12.2001 07:45:00;  4,55
04.01.2002 13:45:00;  5,11
21.02.2002 23:15:00;  8,18
03.03.2002 00:45:00;  11,0
20.04.2002 09:00:00;  15,0
31.05.2002 22:00:00;  16,1
27.06.2002 12:30:00;  11,3
14.07.2002 16:30:00;  10,0
05.08.2002 21:15:00;  9,48
09.09.2002 12:45:00;  8,56
10.10.2002 16:00:00;  15,7
29.11.2002 16:30:00;  16,5
20.12.2002 12:45:00;  9,02
27.01.2003 20:30:00;  9,07
20.02.2003 19:45:00;  6,55
02.03.2003 18:00:00;  7,55
10.04.2003 22:15:00;  10,4
28.05.2003 16:30:00;  13,2
30.06.2003 20:00:00;  7,87
17.07.2003 07:15:00;  4,94
25.08.2003 02:30:00;  4,64
09.09.2003 20:45:00;  4,79
03.10.2003 14:15:00;  5,39
26.11.2003 19:30:00;  6,91
25.12.2003 06:00:00;  4,81
11.01.2004 12:30:00;  6,05
01.02.2004 00:00:00;  6,52
06.03.2004 16:15:00;  7,76
15.04.2004 15:30:00;  19,2
11.05.2004 21:00:00;  23,3
19.06.2004 16:15:00;  21,0
31.07.2004 06:30:00;  13,5
20.08.2004 19:15:00;  9,17
08.09.2004 12:30:00;  9,48
31.10.2004 01:45:00;  8,51
03.11.2004 21:30:00;  7,75
21.12.2004 15:00:00;  6,75
26.01.2005 12:15:00;  7,32
01.02.2005 11:45:00;  6,05
10.03.2005 10:00:00;  5,43
12.04.2005 15:15:00;  37,6
16.05.2005 13:30:00;  22,7
28.06.2005 17:00:00;  17,7
01.07.2005 11:15:00;  17,4
14.08.2005 13:30:00;  14,5
16.09.2005 09:30:00;  12,1
31.10.2005 19:15:00;  8,03
29.11.2005 17:15:00;  6,31
20.12.2005 21:30:00;  4,17
24.01.2006 15:00:00;  2,66
10.02.2006 01:45:00;  4,65
08.03.2006 20:30:00;  4,88
08.04.2006 14:30:00;  32,5
26.05.2006 04:00:00;  36,3
26.06.2006 14:30:00;  30,6
31.07.2006 22:30:00;  14,3
01.08.2006 07:15:00;  14,2
30.09.2006 21:15:00;  9,91
19.10.2006 14:30:00;  6,52
05.11.2006 02:15:00;  9,49
30.12.2006 12:15:00;  6,32
04.01.2007 15:45:00;  6,95
15.02.2007 16:15:00;  10,6
25.03.2007 18:00:00;  12,2
06.04.2007 14:00:00;  15,9
03.05.2007 17:15:00;  14,2
30.06.2007 00:45:00;  10,0
28.07.2007 08:30:00;  8,10
07.08.2007 06:00:00;  8,06
03.09.2007 21:45:00;  12,0
20.10.2007 20:15:00;  8,33
19.11.2007 12:45:00;  11,8
30.12.2007 13:45:00;  10,3
06.01.2008 23:00:00;  7,75
18.02.2008 20:45:00;  8,54
27.03.2008 14:15:00;  13,3
08.04.2008 15:00:00;  17,4
02.05.2008 17:30:00;  24,2
23.06.2008 15:00:00;  18,8
12.07.2008 22:15:00;  13,3
31.08.2008 18:45:00;  13,6
10.09.2008 17:15:00;  9,28
25.10.2008 00:45:00;  6,56
30.11.2008 10:45:00;  7,39
04.12.2008 21:00:00;  9,31
31.01.2009 18:30:00;  6,69
24.02.2009 03:15:00;  5,34
01.03.2009 01:45:00;  8,24
01.04.2009 00:00:00;  25,1
28.05.2009 21:45:00;  36,7
19.06.2009 17:00:00;  23,1
31.07.2009 11:15:00;  21,5
28.08.2009 11:15:00;  16,6
29.09.2009 02:45:00;  12,9
08.10.2009 21:00:00;  11,0
30.11.2009 12:30:00;  10,9
21.12.2009 15:30:00;  8,52
27.01.2010 21:30:00;  5,34
09.02.2010 23:15:00;  5,10
14.03.2010 13:30:00;  6,66
13.04.2010 17:45:00;  17,8
20.05.2010 17:45:00;  25,3
30.06.2010 23:45:00;  22,4
17.07.2010 12:15:00;  13,3
23.08.2010 19:15:00;  12,8
25.09.2010 11:45:00;  13,4
22.10.2010 16:00:00;  8,28
08.11.2010 03:15:00;  8,92
05.12.2010 17:30:00;  8,12
06.01.2011 09:30:00;  8,71
25.02.2011 16:45:00;  7,47
08.03.2011 15:30:00;  6,19
28.04.2011 21:15:00;  15,8
26.05.2011 16:30:00;  11,5
12.06.2011 14:15:00;  10,6
13.07.2011 23:45:00;  10,3
30.08.2011 09:45:00;  9,08
18.09.2011 17:30:00;  7,77
07.10.2011 00:15:00;  8,57
30.11.2011 13:15:00;  5,86
21.12.2011 06:00:00;  5,07
10.01.2012 16:30:00;  5,68
23.02.2012 18:30:00;  5,76
10.03.2012 15:15:00;  15,9
19.04.2012 17:15:00;  28,7
18.05.2012 14:45:00;  20,9
20.06.2012 16:00:00;  23,1
07.07.2012 16:45:00;  16,9
22.08.2012 13:00:00;  11,7
12.09.2012 11:15:00;  11,2
31.10.2012 15:30:00;  10,7
28.11.2012 18:15:00;  9,43
13.12.2012 18:45:00;  7,50
29.01.2013 13:15:00;  11,7
28.02.2013 15:15:00;  9,75
01.03.2013 00:00:00;  10,3
04.04.2013 15:30:00;  11,1
26.05.2013 19:45:00;  22,5
23.06.2013 16:45:05;  22,3
29.07.2013 18:45:05;  10,3
19.08.2013 17:30:05;  9,13
10.09.2013 19:00:05;  12,4
28.10.2013 17:45:05;  10,7
