Messstelle:                ;Pöllau (Prätisbach-II)
06.02.1987 09:30:00; 0,052
09.03.1987 06:45:00; 0,091
13.04.1987 16:00:00; 0,106
02.05.1987 15:15:00; 0,091
30.06.1987 00:00:00; 0,106
22.07.1987 16:00:00; 0,076
03.08.1987 19:15:00; 0,076
10.09.1987 13:00:00; 0,020
02.10.1987 06:15:00; 0,076
09.11.1987 04:30:00; 0,144
15.12.1987 14:45:00; 0,167
20.01.1988 22:00:00; 0,106
07.02.1988 22:30:00; 0,144
03.03.1988 04:15:00; 0,125
14.04.1988 23:45:00; 0,091
26.05.1988 10:15:00; 0,064
21.06.1988 00:15:00; 0,064
27.07.1988 20:00:00; 0,052
19.08.1988 20:15:00; 0,027
04.09.1988 17:45:00; 0,064
12.10.1988 02:00:00; 0,076
16.11.1988 12:45:00; 0,027
17.12.1988 04:15:00; 0,052
04.01.1989 08:00:00; 0,038
06.02.1989 14:00:00; 0,045
23.03.1989 16:15:00; 0,091
04.04.1989 00:45:00; 0,095
13.05.1989 11:45:00; 0,065
28.06.1989 11:30:00; 0,144
29.07.1989 16:00:00; 0,106
02.08.1989 20:30:00; 0,106
21.09.1989 19:00:00; 0,083
31.10.1989 23:59:55; 0,069
26.11.1989 04:15:00; 0,051
11.12.1989 01:45:00; 0,033
19.01.1990 19:30:00; 0,016
02.02.1990 06:15:00; 0,019
08.03.1990 10:15:00; 0,023
03.04.1990 09:30:00; 0,026
11.05.1990 09:00:00; 0,031
02.06.1990 08:15:00; 0,036
31.07.1990 23:59:55; 0,069
27.08.1990 00:30:00; 0,026
07.09.1990 12:45:00; 0,023
01.10.1990 08:00:00; 0,026
26.11.1990 15:30:00; 0,031
03.12.1990 17:30:00; 0,049
31.01.1991 08:30:00; 0,061
01.02.1991 09:45:00; 0,061
05.03.1991 13:30:00; 0,095
30.04.1991 09:45:00; 0,070
02.05.1991 02:00:00; 0,083
21.06.1991 18:30:00; 0,083
09.07.1991 06:15:00; 0,070
28.08.1991 08:00:00; 0,070
05.09.1991 08:30:00; 0,061
06.10.1991 08:15:00; 0,061
01.11.1991 19:30:00; 0,051
31.12.1991 23:59:55; 0,139
25.01.1992 03:45:00; 0,083
19.02.1992 06:00:00; 0,061
03.03.1992 23:00:00; 0,061
11.04.1992 09:00:00; 0,083
16.05.1992 17:45:00; 0,083
02.06.1992 23:45:00; 0,111
28.07.1992 21:30:00; 0,045
20.08.1992 00:30:00; 0,033
01.09.1992 00:00:00; 0,038
02.10.1992 23:30:00; 0,038
09.11.1992 01:30:00; 0,083
03.12.1992 13:00:00; 0,130
31.01.1993 08:15:00; 0,051
23.02.1993 06:45:00; 0,045
05.03.1993 04:15:00; 0,061
16.04.1993 23:45:00; 0,061
27.05.1993 19:45:00; 0,038
11.06.1993 01:30:00; 0,038
02.07.1993 21:30:00; 0,033
18.08.1993 16:30:00; 0,038
01.09.1993 09:00:00; 0,045
02.10.1993 13:00:00; 0,061
08.11.1993 14:45:00; 0,176
03.12.1993 11:15:00; 0,176
24.01.1994 11:45:00; 0,130
23.02.1994 09:00:00; 0,130
14.03.1994 23:00:00; 0,083
07.04.1994 14:30:00; 0,070
17.05.1994 22:45:00; 0,070
05.06.1994 20:45:00; 0,095
28.07.1994 19:00:00; 0,070
07.08.1994 03:45:00; 0,061
30.09.1994 23:59:55; 0,095
02.10.1994 04:00:00; 0,083
09.11.1994 15:15:00; 0,083
14.12.1994 16:15:00; 0,070
15.01.1995 08:45:00; 0,045
01.02.1995 08:45:00; 0,051
01.03.1995 13:45:00; 0,111
24.04.1995 21:30:00; 0,111
26.05.1995 16:30:00; 0,070
02.06.1995 07:00:00; 0,083
27.07.1995 21:00:00; 0,167
01.08.1995 16:15:00; 0,167
14.09.1995 02:15:00; 0,144
20.10.1995 23:30:00; 0,095
23.11.1995 09:00:00; 0,070
29.12.1995 01:30:00; 0,061
01.01.1996 03:15:00; 0,068
01.02.1996 08:30:00; 0,059
02.03.1996 04:00:00; 0,081
30.04.1996 07:15:00; 0,299
07.05.1996 03:30:00; 0,171
16.06.1996 19:15:00; 0,147
01.07.1996 03:00:00; 0,147
19.08.1996 03:00:00; 0,093
14.09.1996 01:30:00; 0,147
16.10.1996 06:00:00; 0,126
13.11.1996 16:00:00; 0,147
26.12.1996 14:30:00; 0,088
30.01.1997 06:55:55; 0,081
25.02.1997 17:21:20; 0,089
04.03.1997 12:55:25; 0,071
24.04.1997 06:56:40; 0,092
17.05.1997 22:26:25; 0,055
04.06.1997 03:34:00; 0,069
10.07.1997 17:27:05; 0,104
17.08.1997 21:24:30; 0,167
17.09.1997 11:24:55; 0,099
17.10.1997 12:00:05; 0,092
28.11.1997 11:04:55; 0,072
19.12.1997 04:25:40; 0,103
29.01.1998 09:04:55; 0,063
28.02.1998 06:33:15; 0,057
31.03.1998 23:28:20; 0,040
05.04.1998 21:16:25; 0,038
17.05.1998 01:00:40; 0,037
08.06.1998 10:58:20; 0,038
25.07.1998 01:38:00; 0,069
18.08.1998 02:20:50; 0,055
03.09.1998 10:19:30; 0,083
16.10.1998 18:48:45; 0,106
27.11.1998 21:36:55; 0,093
09.12.1998 04:58:30; 0,052
30.01.1999 11:05:20; 0,054
16.02.1999 07:25:10; 0,053
25.03.1999 03:55:05; 0,064
01.04.1999 10:24:15; 0,076
17.05.1999 00:09:20; 0,039
23.06.1999 23:12:10; 0,076
07.07.1999 00:33:05; 0,074
15.08.1999 01:36:40; 0,084
30.09.1999 23:59:55; 0,147
20.10.1999 20:54:25; 0,039
29.11.1999 19:40:00; 0,058
02.12.1999 18:06:00; 0,042
09.01.2000 05:07:45; 0,038
29.02.2000 05:25:20; 0,082
17.03.2000 13:37:30; 0,064
30.04.2000 23:59:55; 0,109
27.05.2000 02:40:10; 0,058
02.06.2000 21:22:45; 0,049
31.07.2000 20:58:15; 0,056
21.08.2000 21:05:00; 0,044
12.09.2000 22:10:20; 0,044
01.10.2000 00:57:50; 0,061
01.11.2000 00:00:00; 0,093
23.12.2000 08:58:05; 0,075
29.01.2001 23:52:10; 0,113
27.02.2001 09:42:15; 0,071
17.03.2001 07:30:10; 0,079
04.04.2001 06:23:30; 0,087
30.05.2001 05:20:20; 0,047
26.06.2001 22:31:40; 0,031
27.07.2001 23:00:00; 0,033
18.08.2001 21:59:15; 0,023
03.09.2001 22:43:45; 0,028
18.10.2001 14:56:35; 0,026
22.11.2001 08:07:20; 0,027
20.12.2001 11:15:55; 0,026
05.01.2002 13:12:00; 0,026
22.02.2002 16:52:40; 0,026
13.03.2002 14:34:35; 0,010
04.04.2002 21:29:35; 0,010
25.05.2002 06:32:05; 0,018
27.06.2002 06:00:30; 0,016
04.07.2002 03:10:00; 0,017
30.08.2002 23:39:35; 0,039
19.09.2002 09:20:20; 0,025
18.10.2002 20:09:30; 0,017
13.11.2002 22:08:50; 0,056
03.12.2002 04:03:40; 0,089
12.01.2003 08:15:55; 0,061
13.02.2003 07:18:05; 0,043
31.03.2003 13:50:30; 0,055
07.04.2003 09:44:50; 0,035
25.05.2003 08:29:30; 0,039
09.06.2003 05:19:50; 0,037
17.07.2003 18:19:10; 0,027
05.08.2003 11:01:45; 0,019
23.09.2003 20:10:25; 0,037
15.10.2003 15:18:20; 0,028
26.11.2003 07:06:45; 0,054
25.12.2003 04:21:00; 0,032
23.01.2004 06:39:05; 0,031
25.02.2004 08:15:00; 0,039
06.03.2004 04:45:00; 0,023
26.04.2004 09:30:00; 0,052
01.05.2004 00:00:00; 0,099
01.06.2004 03:00:00; 0,101
31.07.2004 21:15:00; 0,103
18.08.2004 17:45:00; 0,073
26.09.2004 18:00:00; 0,073
02.10.2004 20:00:00; 0,073
08.11.2004 15:15:00; 0,061
16.12.2004 11:15:00; 0,073
29.01.2005 07:15:00; 0,061
28.02.2005 10:30:00; 0,061
03.03.2005 05:30:00; 0,061
06.04.2005 18:00:00; 0,116
30.05.2005 18:45:00; 0,065
21.06.2005 20:45:00; 0,046
01.07.2005 00:00:00; 0,054
08.08.2005 17:00:00; 0,087
26.09.2005 19:00:00; 0,088
22.10.2005 10:45:00; 0,088
09.11.2005 16:15:00; 0,032
31.12.2005 05:00:00; 0,065
24.01.2006 05:45:00; 0,046
06.02.2006 09:30:00; 0,065
08.03.2006 06:15:00; 0,116
26.04.2006 22:15:00; 0,088
10.05.2006 18:45:00; 0,102
27.06.2006 20:30:00; 0,076
28.07.2006 16:15:00; 0,085
09.08.2006 20:00:00; 0,055
13.09.2006 18:45:00; 0,054
09.10.2006 13:30:00; 0,023
02.11.2006 10:30:00; 0,045
13.12.2006 17:15:00; 0,045
27.01.2007 05:00:00; 0,039
01.02.2007 11:45:00; 0,046
02.03.2007 22:45:00; 0,046
23.04.2007 21:30:00; 0,055
25.05.2007 18:30:00; 0,045
01.06.2007 18:30:00; 0,054
21.07.2007 18:45:00; 0,039
09.08.2007 18:15:00; 0,052
24.09.2007 17:00:00; 0,135
23.10.2007 15:55:05; 0,079
09.11.2007 08:55:05; 0,058
30.12.2007 04:45:00; 0,055
27.01.2008 18:30:00; 0,041
17.02.2008 10:00:00; 0,027
18.03.2008 12:10:00; 0,019
29.04.2008 02:10:00; 0,022
17.05.2008 23:40:00; 0,019
01.06.2008 21:40:00; 0,028
06.07.2008 00:25:00; 0,057
31.08.2008 22:10:00; 0,062
29.09.2008 16:10:00; 0,029
01.10.2008 08:55:00; 0,025
17.11.2008 17:10:00; 0,048
09.12.2008 00:25:00; 0,058
09.01.2009 05:15:00; 0,054
25.02.2009 02:15:00; 0,059
01.03.2009 07:30:00; 0,070
23.04.2009 19:30:00; 0,084
25.05.2009 18:30:00; 0,061
19.06.2009 21:00:00; 0,044
29.07.2009 16:15:00; 0,131
21.08.2009 16:15:00; 0,084
01.09.2009 17:45:00; 0,099
22.10.2009 09:15:00; 0,044
01.11.2009 00:00:00; 0,073
18.12.2009 23:00:00; 0,061
25.01.2010 05:00:00; 0,061
03.02.2010 07:15:00; 0,053
26.03.2010 18:00:00; 0,099
25.04.2010 20:00:00; 0,061
23.05.2010 21:30:00; 0,053
04.06.2010 16:30:00; 0,084
11.07.2010 21:45:00; 0,061
01.08.2010 13:15:00; 0,073
13.09.2010 12:45:00; 0,112
28.10.2010 13:45:00; 0,130
01.11.2010 18:00:00; 0,147
04.12.2010 09:45:00; 0,215
31.01.2011 23:59:55; 0,113
23.02.2011 10:45:00; 0,073
08.03.2011 09:45:00; 0,061
19.04.2011 16:00:00; 0,084
11.05.2011 19:30:00; 0,061
02.06.2011 16:30:00; 0,052
21.07.2011 17:30:00; 0,099
24.08.2011 15:45:00; 0,061
30.09.2011 23:30:00; 0,058
19.10.2011 23:30:00; 0,051
24.11.2011 08:18:00; 0,049
08.12.2011 19:33:00; 0,042
31.01.2012 06:03:00; 0,036
08.02.2012 09:18:00; 0,020
22.03.2012 22:30:00; 0,037
01.04.2012 01:00:00; 0,037
01.05.2012 02:45:00; 0,037
03.06.2012 21:30:00; 0,030
08.07.2012 22:30:00; 0,037
29.08.2012 14:45:00; 0,059
11.09.2012 15:15:00; 0,068
15.10.2012 20:15:00; 0,100
13.11.2012 11:15:00; 0,137
12.12.2012 21:41:00; 0,083
27.01.2013 02:41:00; 0,065
23.02.2013 03:11:00; 0,106
28.03.2013 07:56:00; 0,290
30.04.2013 23:56:00; 0,166
27.05.2013 23:41:00; 0,155
30.06.2013 16:26:00; 0,177
26.07.2013 17:26:00; 0,058
08.08.2013 20:11:00; 0,062
08.09.2013 22:11:00; 0,122
10.10.2013 11:26:00; 0,121
03.11.2013 00:41:00; 0,142
23.12.2013 18:26:40; 0,168
31.01.2014 23:26:40; 0,131
04.02.2014 20:26:40; 0,126
20.03.2014 15:41:40; 0,120
27.04.2014 19:11:40; 0,103
07.05.2014 16:41:40; 0,093
23.06.2014 16:56:40; 0,098
19.07.2014 18:56:40; 0,076
10.08.2014 20:26:40; 0,164
28.09.2014 18:15:05; 0,164
31.10.2014 14:15:00; 0,125
07.11.2014 09:15:00; 0,100
31.12.2014 05:32:55; 0,142
28.01.2015 17:17:55; 0,137
08.02.2015 02:17:55; 0,105
31.03.2015 19:02:55; 0,102
27.04.2015 18:47:55; 0,079
19.05.2015 17:17:55; 0,075
30.06.2015 20:17:55; 0,050
22.07.2015 21:17:55; 0,029
09.08.2015 22:32:55; 0,029
28.09.2015 21:32:55; 0,034
03.10.2015 13:47:55; 0,027
04.11.2015 16:02:55; 0,041
01.12.2015 00:00:00; 0,052
18.01.2016 03:47:00; 0,027
07.02.2016 06:02:00; 0,054
27.03.2016 18:32:00; 0,052
23.04.2016 18:47:00; 0,039
01.05.2016 07:17:00; 0,041
08.06.2016 15:17:00; 0,051
21.07.2016 13:32:00; 0,104
31.08.2016 15:47:55; 0,181
30.09.2016 18:32:55; 0,076
17.10.2016 11:47:55; 0,048
04.11.2016 20:02:55; 0,078
24.12.2016 07:47:55; 0,027
20.01.2017 00:32:55; 0,040
14.02.2017 08:32:55; 0,030
30.03.2017 18:32:55; 0,047
18.04.2017 10:47:55; 0,035
28.05.2017 17:32:55; 0,039
19.06.2017 19:32:55; 0,033
01.07.2017 00:00:00; 0,034
01.08.2017 00:02:55; 0,050
14.09.2017 14:47:55; 0,061
17.10.2017 17:17:55; 0,053
01.11.2017 00:00:00; 0,053
04.12.2017 00:02:55; 0,053
01.01.2018 00:00:00; 0,053
26.02.2018 04:47:55; 0,030
01.03.2018 00:00:00; 0,061
20.04.2018 17:17:00; 0,084
01.05.2018 19:47:00; 0,073
01.06.2018 00:00:00; 0,168
31.07.2018 19:02:00; 0,112
09.08.2018 16:47:00; 0,071
28.09.2018 16:38:00; 0,069
15.10.2018 11:38:00; 0,061
04.11.2018 00:38:00; 0,067
23.12.2018 20:23:00; 0,059
25.01.2019 21:08:00; 0,041
07.02.2019 06:08:00; 0,040
31.03.2019 14:17:00; 0,050
28.04.2019 13:47:00; 0,043
25.05.2019 22:23:00; 0,039
29.06.2019 16:53:00; 0,025
06.07.2019 18:38:00; 0,025
29.08.2019 22:08:00; 0,029
01.09.2019 18:23:00; 0,026
15.10.2019 10:08:00; 0,032
02.11.2019 01:38:00; 0,032
15.12.2019 05:38:00; 0,076
31.01.2020 16:02:00; 0,064
24.02.2020 05:02:00; 0,047
20.03.2020 13:17:00; 0,053
28.04.2020 15:07:30; 0,040
29.05.2020 17:02:00; 0,036
23.06.2020 17:37:25; 0,027
01.07.2020 19:00:00; 0,040
01.08.2020 20:30:00; 0,053
20.09.2020 04:45:00; 0,116
31.10.2020 14:32:00; 0,121
05.11.2020 15:32:00; 0,095
02.12.2020 14:02:00; 0,110
22.01.2021 12:02:00; 0,138
28.02.2021 20:30:00; 0,133
29.03.2021 00:30:00; 0,078
27.04.2021 01:15:00; 0,069
24.05.2021 04:15:00; 0,057
24.06.2021 23:00:00; 0,038
16.07.2021 21:15:00; 0,033
12.08.2021 20:15:00; 0,038
24.09.2021 23:00:00; 0,041
28.10.2021 21:00:00; 0,031
01.11.2021 05:15:00; 0,033
31.12.2021 13:02:00; 0,060
