Messstelle:                ;St. Johann in Tirol
09.10.1960 12:00:00;  3,97
30.11.1960 12:00:00;  5,70
31.12.1960 12:00:00;  2,57
31.01.1961 12:00:00;  2,76
04.02.1961 12:00:00;  2,76
07.03.1961 12:00:00;  5,70
26.04.1961 12:00:00;  9,68
03.05.1961 12:00:00;  11,3
29.06.1961 12:00:00;  6,90
13.07.1961 12:00:00;  5,30
11.08.1961 12:00:00;  5,30
29.09.1961 12:00:00;  2,30
15.10.1961 12:00:00;  2,10
30.11.1961 12:00:00;  2,70
10.12.1961 12:00:00;  2,70
25.01.1962 12:00:00;  2,94
28.02.1962 12:00:00;  3,42
20.03.1962 12:00:00;  2,97
15.04.1962 12:00:00;  5,17
03.05.1962 12:00:00;  13,5
29.06.1962 12:00:00;  10,9
11.07.1962 12:00:00;  7,80
31.08.1962 12:00:00;  5,79
16.09.1962 12:00:00;  3,47
31.10.1962 12:00:00;  2,97
30.11.1962 12:00:00;  2,51
31.12.1962 12:00:00;  2,05
31.01.1963 12:00:00;  2,05
28.02.1963 12:00:00;  1,65
04.03.1963 12:00:00;  1,85
04.04.1963 12:00:00;  7,12
07.05.1963 12:00:00;  10,9
30.06.1963 12:00:00;  7,80
31.07.1963 12:00:00;  5,79
07.08.1963 12:00:00;  3,47
30.09.1963 12:00:00;  5,70
31.10.1963 12:00:00;  2,95
15.11.1963 12:00:00;  2,57
31.12.1963 12:00:00;  2,03
31.01.1964 12:00:00;  1,65
03.02.1964 12:00:00;  1,65
11.03.1964 12:00:00;  1,80
01.04.1964 12:00:00;  6,21
31.05.1964 12:00:00;  9,05
07.06.1964 12:00:00;  5,70
31.07.1964 12:00:00;  4,58
01.08.1964 12:00:00;  4,58
19.09.1964 12:00:00;  5,74
08.10.1964 12:00:00;  5,18
12.11.1964 12:00:00;  6,94
31.12.1964 12:00:00;  4,80
28.01.1965 12:00:00;  3,58
24.02.1965 12:00:00;  4,06
13.03.1965 12:00:00;  4,06
22.04.1965 12:00:00;  17,3
01.05.1965 12:00:00;  17,3
30.06.1965 12:00:00;  20,7
24.07.1965 12:00:00;  10,3
23.08.1965 12:00:00;  6,22
25.09.1965 12:00:00;  5,63
31.10.1965 12:00:00;  3,63
18.11.1965 12:00:00;  3,63
16.12.1965 12:00:00;  1,10
29.01.1966 12:00:00;  2,60
01.02.1966 12:00:00;  3,63
20.03.1966 12:00:00;  6,22
04.04.1966 12:00:00;  6,22
13.05.1966 12:00:00;  19,6
17.06.1966 12:00:00;  12,8
13.07.1966 12:00:00;  15,5
29.08.1966 12:00:00;  16,5
30.09.1966 12:00:00;  6,83
31.10.1966 12:00:00;  5,37
03.11.1966 12:00:00;  5,10
31.12.1966 12:00:00;  3,58
07.01.1967 12:00:00;  3,10
18.02.1967 12:00:00;  2,74
22.03.1967 12:00:00;  6,63
03.04.1967 12:00:00;  10,7
25.05.1967 12:00:00;  18,0
30.06.1967 12:00:00;  14,6
20.07.1967 12:00:00;  11,5
31.08.1967 12:00:00;  8,50
25.09.1967 12:00:00;  7,45
31.10.1967 12:00:00;  5,10
30.11.1967 12:00:00;  4,57
21.12.1967 12:00:00;  3,87
10.01.1968 12:00:00;  4,10
20.02.1968 12:00:00;  4,34
10.03.1968 12:00:00;  4,34
13.04.1968 12:00:00;  12,8
28.05.1968 12:00:00;  15,5
30.06.1968 12:00:00;  9,65
03.07.1968 12:00:00;  8,95
30.08.1968 12:00:00;  10,4
10.09.1968 12:00:00;  9,65
31.10.1968 12:00:00;  7,26
30.11.1968 12:00:00;  5,18
20.12.1968 12:00:00;  3,94
15.01.1969 12:00:00;  4,18
03.02.1969 12:00:00;  4,18
31.03.1969 12:00:00;  3,47
04.04.1969 12:00:00;  4,55
31.05.1969 12:00:00;  8,15
25.06.1969 12:00:00;  7,80
29.07.1969 12:00:00;  6,22
13.08.1969 12:00:00;  4,57
30.09.1969 12:00:00;  5,63
31.10.1969 12:00:00;  2,80
08.11.1969 12:00:00;  2,80
31.12.1969 12:00:00;  2,80
18.01.1970 12:00:00;  2,80
01.02.1970 12:00:00;  3,00
03.03.1970 12:00:00;  5,10
06.04.1970 12:00:00;  10,3
04.05.1970 12:00:00;  20,5
28.06.1970 12:00:00;  15,5
13.07.1970 12:00:00;  9,65
08.08.1970 12:00:00;  12,0
30.09.1970 12:00:00;  12,0
20.10.1970 12:00:00;  6,22
24.11.1970 12:00:00;  6,22
31.12.1970 12:00:00;  4,57
31.01.1971 12:00:00;  3,63
28.02.1971 12:00:00;  3,20
15.03.1971 12:00:00;  3,20
01.04.1971 12:00:00;  11,5
27.05.1971 12:00:00;  10,6
15.06.1971 12:00:00;  8,45
28.07.1971 12:00:00;  6,22
21.08.1971 12:00:00;  5,10
23.09.1971 12:00:00;  5,63
31.10.1971 12:00:00;  4,57
30.11.1971 12:00:00;  4,10
09.12.1971 12:00:00;  3,63
31.01.1972 12:00:00;  3,97
08.02.1972 12:00:00;  3,46
13.03.1972 12:00:00;  5,11
11.04.1972 12:00:00;  5,70
01.05.1972 12:00:00;  8,53
11.06.1972 12:00:00;  9,15
09.07.1972 12:00:00;  6,85
31.08.1972 12:00:00;  7,81
29.09.1972 12:00:00;  4,36
08.10.1972 12:00:00;  3,41
11.11.1972 12:00:00;  5,98
31.12.1972 12:00:00;  3,87
27.01.1973 12:00:00;  3,41
28.02.1973 12:00:00;  2,57
20.03.1973 12:00:00;  2,57
15.04.1973 12:00:00;  6,85
31.05.1973 12:00:00;  18,8
17.06.1973 12:00:00;  10,7
17.07.1973 12:00:00;  8,95
27.08.1973 12:00:00;  6,30
21.09.1973 12:00:00;  4,88
31.10.1973 12:00:00;  7,17
30.11.1973 12:00:00;  7,17
31.12.1973 12:00:00;  4,88
08.01.1974 12:00:00;  4,84
28.02.1974 12:00:00;  5,40
09.03.1974 12:00:00;  5,10
23.04.1974 12:00:00;  8,58
03.05.1974 12:00:00;  12,7
09.06.1974 12:00:00;  14,9
16.07.1974 12:00:00;  10,5
19.08.1974 12:00:00;  6,60
19.09.1974 12:00:00;  6,00
14.10.1974 12:00:00;  7,60
10.11.1974 12:00:00;  7,28
26.12.1974 12:00:00;  7,60
29.01.1975 12:00:00;  7,28
27.02.1975 12:00:00;  3,56
01.03.1975 12:00:00;  4,34
02.04.1975 12:00:00;  6,86
05.05.1975 12:00:00;  22,9
09.06.1975 12:00:00;  14,3
31.07.1975 12:00:00;  11,3
09.08.1975 12:00:00;  6,04
26.09.1975 12:00:00;  4,08
17.10.1975 12:00:00;  3,30
14.11.1975 12:00:00;  3,00
31.12.1975 12:00:00;  2,00
01.01.1976 05:00:00;  2,43
13.02.1976 05:00:00;  2,82
11.03.1976 11:00:00;  2,82
14.04.1976 09:00:00;  9,11
03.05.1976 16:00:00;  10,8
30.06.1976 23:59:55;  6,19
17.07.1976 18:00:00;  4,10
09.08.1976 16:00:00;  8,62
27.09.1976 09:00:00;  7,95
30.10.1976 22:00:00;  4,64
07.11.1976 16:00:00;  4,47
28.12.1976 03:00:00;  3,38
19.01.1977 10:00:00;  2,38
03.02.1977 11:00:00;  3,02
02.03.1977 09:00:00;  6,47
17.04.1977 07:00:00;  10,7
31.05.1977 10:00:00;  17,1
24.06.1977 18:00:00;  11,6
13.07.1977 16:00:00;  10,0
31.08.1977 23:59:55;  11,9
30.09.1977 10:00:00;  6,33
28.10.1977 19:00:00;  4,16
21.11.1977 10:00:00;  4,30
04.12.1977 13:00:00;  4,42
30.01.1978 11:00:00;  3,22
12.02.1978 18:00:00;  2,74
27.03.1978 08:00:00;  6,37
18.04.1978 09:00:00;  11,7
17.05.1978 14:00:00;  18,1
22.06.1978 02:00:00;  9,22
31.07.1978 09:00:00;  11,0
30.08.1978 08:00:00;  5,84
05.09.1978 19:00:00;  6,20
22.10.1978 20:00:00;  9,04
30.11.1978 23:59:55;  3,24
27.12.1978 10:00:00;  2,52
27.01.1979 04:00:00;  1,92
28.02.1979 09:00:00;  2,03
01.03.1979 09:00:00;  3,00
08.04.1979 09:00:00;  7,88
08.05.1979 13:00:00;  11,1
10.06.1979 19:00:00;  11,9
30.07.1979 16:00:00;  10,5
02.08.1979 19:00:00;  9,53
20.09.1979 06:00:00;  7,33
31.10.1979 20:00:00;  5,13
01.11.1979 10:00:00;  4,94
27.12.1979 11:00:00;  6,88
31.01.1980 12:00:00;  4,32
01.02.1980 05:00:00;  4,35
07.03.1980 09:00:00;  5,05
12.04.1980 14:00:00;  8,38
19.05.1980 09:00:00;  15,5
22.06.1980 03:00:00;  15,2
31.07.1980 18:00:00;  8,66
27.08.1980 02:00:00;  5,56
22.09.1980 23:50:00;  5,65
06.10.1980 12:00:00;  5,22
30.11.1980 14:00:00;  5,65
09.12.1980 10:00:00;  4,47
02.01.1981 08:00:00;  3,97
07.02.1981 08:00:00;  3,99
06.03.1981 18:00:00;  4,27
30.04.1981 16:00:00;  8,29
06.05.1981 15:00:00;  7,98
17.06.1981 20:00:00;  4,54
10.07.1981 16:00:00;  3,19
16.08.1981 17:00:00;  7,46
13.09.1981 11:00:00;  7,62
10.10.1981 08:00:00;  7,31
19.11.1981 09:00:00;  6,92
29.12.1981 18:00:00;  5,30
27.01.1982 10:00:00;  5,12
27.02.1982 08:00:00;  4,44
08.03.1982 08:00:00;  4,56
26.04.1982 10:00:00;  9,56
03.05.1982 09:00:00;  8,96
22.06.1982 16:00:00;  12,6
20.07.1982 16:00:00;  6,18
28.08.1982 05:00:00;  8,08
27.09.1982 01:00:00;  4,84
31.10.1982 23:59:55;  4,56
18.11.1982 17:00:00;  3,27
06.12.1982 09:00:00;  3,48
03.01.1983 09:00:00;  3,88
23.02.1983 08:30:00;  3,64
04.03.1983 10:30:00;  4,78
06.04.1983 13:00:00;  7,83
31.05.1983 11:30:00;  11,4
13.06.1983 14:30:00;  9,02
29.07.1983 00:00:00;  7,32
31.08.1983 23:59:55;  6,35
11.09.1983 03:30:00;  5,30
31.10.1983 23:00:00;  5,44
24.11.1983 01:30:00;  3,61
18.12.1983 15:30:00;  4,36
26.01.1984 10:30:00;  4,77
18.02.1984 07:30:00;  4,52
10.03.1984 10:00:00;  4,90
07.04.1984 07:00:00;  7,42
01.05.1984 13:00:00;  13,0
23.06.1984 16:30:00;  11,5
25.07.1984 17:30:00;  6,63
05.08.1984 16:30:00;  7,14
03.09.1984 16:30:00;  9,55
31.10.1984 21:30:00;  4,55
30.11.1984 23:59:55;  3,72
31.12.1984 23:59:55;  2,85
01.01.1985 08:45:00;  2,64
01.02.1985 00:00:00;  3,17
20.03.1985 08:15:00;  4,24
01.04.1985 11:30:00;  8,32
04.05.1985 12:30:00;  11,3
06.06.1985 15:15:00;  8,26
30.07.1985 00:15:00;  6,85
25.08.1985 22:15:00;  6,61
30.09.1985 21:15:00;  3,98
28.10.1985 04:00:00;  3,21
28.11.1985 07:45:00;  2,42
14.12.1985 10:30:00;  3,19
28.01.1986 08:45:00;  2,93
22.02.1986 07:30:00;  2,40
01.03.1986 00:00:00;  2,65
16.04.1986 12:30:00;  11,4
27.05.1986 16:15:00;  11,5
30.06.1986 23:59:55;  5,61
05.07.1986 20:00:00;  3,63
07.08.1986 19:15:00;  4,25
30.09.1986 23:59:55;  4,96
17.10.1986 00:00:00;  3,17
30.11.1986 23:59:55;  2,95
13.12.1986 12:30:00;  2,44
31.01.1987 23:59:55;  2,94
25.02.1987 08:30:00;  2,50
21.03.1987 05:30:00;  2,97
03.04.1987 11:45:00;  6,30
24.05.1987 13:00:00;  17,3
30.06.1987 13:00:00;  15,6
24.07.1987 15:30:00;  7,61
31.08.1987 20:45:00;  8,52
23.09.1987 23:30:00;  4,81
30.10.1987 16:00:00;  3,36
10.11.1987 21:15:00;  3,10
11.12.1987 10:15:00;  3,54
20.01.1988 09:30:00;  3,73
14.02.1988 05:00:00;  2,71
10.03.1988 09:15:00;  2,48
02.04.1988 07:15:00;  11,4
31.05.1988 15:30:00;  12,2
30.06.1988 19:00:00;  6,67
11.07.1988 14:30:00;  5,94
19.08.1988 15:45:00;  5,59
29.09.1988 17:45:00;  6,30
28.10.1988 12:30:00;  3,46
06.11.1988 11:15:00;  3,07
02.12.1988 08:15:00;  4,77
24.01.1989 14:15:00;  3,76
04.02.1989 00:00:00;  3,49
03.03.1989 10:00:00;  6,67
25.04.1989 20:30:00;  9,44
02.05.1989 08:45:00;  9,21
18.06.1989 15:30:00;  9,80
24.07.1989 17:45:00;  9,30
27.08.1989 14:00:00;  7,13
25.09.1989 19:30:00;  5,09
28.10.1989 15:45:00;  4,55
30.11.1989 04:15:00;  2,92
12.12.1989 05:30:00;  2,18
26.01.1990 05:30:00;  2,83
12.02.1990 11:30:00;  2,55
06.03.1990 11:15:00;  6,60
05.04.1990 17:30:00;  7,17
31.05.1990 23:59:55;  7,81
02.06.1990 16:30:00;  6,52
29.07.1990 17:45:00;  5,39
06.08.1990 07:45:00;  3,88
02.09.1990 21:00:00;  3,82
25.10.1990 13:30:00;  3,88
11.11.1990 12:30:00;  4,52
29.12.1990 03:15:00;  3,30
25.01.1991 04:15:00;  2,83
10.02.1991 10:15:00;  2,32
01.03.1991 06:30:00;  3,30
25.04.1991 12:15:00;  5,67
01.05.1991 15:45:00;  7,17
26.06.1991 11:45:00;  13,2
12.07.1991 18:45:00;  6,71
28.08.1991 11:45:00;  6,00
22.09.1991 22:30:00;  3,42
15.10.1991 08:15:00;  3,01
04.11.1991 07:15:00;  2,97
10.12.1991 00:00:00;  3,19
30.01.1992 00:00:00;  3,07
02.02.1992 00:30:00;  3,03
01.03.1992 11:00:00;  4,64
01.04.1992 00:00:00;  10,4
31.05.1992 09:15:00;  13,4
30.06.1992 23:59:55;  3,90
01.07.1992 17:30:00;  3,70
30.08.1992 21:15:00;  3,63
01.09.1992 00:00:00;  3,63
16.10.1992 03:45:00;  3,09
15.11.1992 09:15:00;  6,70
29.12.1992 04:45:00;  4,53
02.01.1993 11:30:00;  3,81
27.02.1993 12:45:00;  2,36
09.03.1993 10:30:00;  2,00
01.04.1993 06:45:00;  6,84
30.05.1993 13:15:00;  6,99
15.06.1993 03:15:00;  5,85
11.07.1993 00:15:00;  8,11
22.08.1993 20:30:00;  5,91
30.09.1993 23:59:55;  6,95
19.10.1993 18:15:00;  4,43
30.11.1993 13:00:00;  3,49
08.12.1993 02:15:00;  3,36
19.01.1994 07:00:00;  2,45
17.02.1994 08:45:00;  2,33
01.03.1994 06:15:00;  7,56
10.04.1994 13:00:00;  8,40
28.05.1994 14:45:00;  15,2
30.06.1994 23:30:00;  6,92
31.07.1994 21:00:00;  3,81
06.08.1994 20:00:00;  3,09
30.09.1994 23:59:55;  3,93
19.10.1994 14:00:00;  3,13
08.11.1994 18:00:00;  2,90
26.12.1994 10:15:00;  3,81
09.01.1995 02:30:00;  3,34
05.02.1995 08:30:00;  4,65
08.03.1995 08:00:00;  4,48
01.04.1995 12:00:00;  7,82
23.05.1995 12:30:00;  16,0
21.06.1995 12:45:00;  14,5
27.07.1995 03:15:00;  6,69
13.08.1995 13:00:00;  3,32
27.09.1995 20:00:00;  7,69
30.10.1995 19:45:00;  3,21
01.11.1995 17:30:00;  3,35
12.12.1995 21:45:00;  3,14
31.01.1996 11:45:00;  2,46
24.02.1996 10:15:00;  1,45
05.03.1996 10:00:00;  1,57
05.04.1996 11:15:00;  4,90
25.05.1996 17:00:00;  10,8
20.06.1996 14:00:00;  7,50
31.07.1996 23:59:55;  7,06
01.08.1996 19:15:00;  6,14
04.09.1996 17:45:00;  10,7
15.10.1996 16:45:00;  10,9
29.11.1996 00:00:00;  7,28
31.12.1996 23:59:55;  3,86
13.01.1997 04:30:00;  2,89
03.02.1997 02:45:00;  2,84
02.03.1997 09:00:00;  4,65
01.04.1997 11:45:00;  8,33
31.05.1997 15:15:00;  9,84
11.06.1997 15:30:00;  6,95
05.07.1997 05:00:00;  8,10
26.08.1997 18:15:00;  4,69
29.09.1997 08:30:00;  3,17
01.10.1997 00:15:00;  3,30
28.11.1997 04:45:00;  3,47
07.12.1997 04:15:00;  3,69
27.01.1998 09:30:00;  2,69
02.02.1998 09:00:00;  2,74
03.03.1998 16:00:00;  4,71
19.04.1998 11:30:00;  8,33
28.05.1998 12:15:00;  7,85
10.06.1998 10:15:00;  6,51
22.07.1998 16:45:00;  9,32
17.08.1998 22:15:00;  5,90
02.09.1998 22:00:00;  6,00
11.10.1998 15:00:00;  7,00
30.11.1998 23:15:00;  5,79
10.12.1998 03:15:00;  3,86
31.01.1999 23:59:55;  3,09
01.02.1999 10:00:00;  2,37
01.03.1999 05:15:00;  6,44
20.04.1999 10:00:00;  13,1
31.05.1999 12:30:00;  22,5
13.06.1999 11:00:00;  9,55
06.07.1999 16:15:00;  7,69
09.08.1999 23:45:00;  5,66
25.09.1999 22:00:00;  3,90
29.10.1999 06:45:00;  3,99
21.11.1999 07:30:00;  3,67
22.12.1999 09:15:00;  2,91
16.01.2000 03:45:00;  2,43
22.02.2000 08:30:00;  3,74
06.03.2000 07:00:00;  4,41
02.04.2000 10:30:00;  15,3
30.05.2000 16:00:00;  13,5
30.06.2000 23:59:55;  5,25
06.07.2000 20:00:00;  4,42
27.08.2000 17:15:00;  4,88
30.09.2000 23:45:00;  6,54
29.10.2000 13:00:00;  5,18
28.11.2000 09:00:00;  5,36
24.12.2000 06:30:00;  2,77
17.01.2001 11:36:15;  2,18
01.02.2001 14:00:00;  2,46
02.03.2001 13:30:00;  3,58
23.04.2001 11:00:00;  10,1
31.05.2001 07:30:00;  9,23
06.06.2001 10:45:00;  9,17
31.07.2001 23:59:55;  4,87
30.08.2001 11:45:00;  3,70
04.09.2001 10:45:00;  8,09
31.10.2001 23:59:55;  3,75
22.11.2001 13:00:00;  2,99
24.12.2001 10:08:55;  3,35
18.01.2002 07:30:00;  2,74
25.02.2002 03:30:00;  5,38
05.03.2002 12:45:00;  6,86
19.04.2002 13:45:00;  7,99
31.05.2002 12:45:00;  9,45
27.06.2002 17:45:00;  4,78
03.07.2002 20:00:00;  5,31
31.08.2002 20:15:00;  6,56
19.09.2002 11:00:00;  5,15
31.10.2002 09:30:00;  8,36
02.11.2002 05:45:00;  7,58
20.12.2002 12:45:00;  4,35
26.01.2003 09:00:00;  3,93
17.02.2003 07:10:15;  2,37
02.03.2003 08:54:25;  3,73
08.04.2003 08:45:00;  6,67
13.05.2003 11:00:00;  9,39
30.06.2003 23:59:55;  4,71
15.07.2003 23:45:00;  3,69
28.08.2003 23:45:00;  2,61
09.09.2003 11:15:00;  3,28
03.10.2003 15:30:00;  4,35
25.11.2003 16:45:00;  3,73
25.12.2003 01:45:00;  2,06
04.01.2004 09:45:00;  1,93
02.02.2004 09:00:00;  2,66
10.03.2004 08:45:00;  2,88
15.04.2004 13:45:00;  8,18
11.05.2004 12:00:00;  9,90
19.06.2004 13:15:00;  10,1
08.07.2004 19:00:00;  6,29
20.08.2004 07:00:00;  3,65
22.09.2004 20:30:00;  5,21
29.10.2004 15:15:00;  3,89
03.11.2004 13:15:00;  3,98
22.12.2004 08:21:50;  2,04
28.01.2005 08:00:00;  1,74
28.02.2005 09:15:00;  2,31
01.03.2005 10:30:00;  1,80
12.04.2005 13:15:00;  11,6
14.05.2005 13:00:00;  13,9
28.06.2005 17:00:00;  4,65
01.07.2005 04:15:00;  4,82
14.08.2005 14:45:00;  6,36
16.09.2005 21:30:00;  5,17
29.10.2005 15:31:30;  3,50
29.11.2005 08:46:30;  2,78
30.12.2005 10:16:30;  2,23
24.01.2006 06:50:55;  2,23
13.02.2006 11:20:35;  2,15
08.03.2006 09:30:00;  2,44
08.04.2006 10:00:00;  11,4
26.05.2006 10:30:00;  17,2
27.06.2006 15:30:00;  8,97
27.07.2006 17:45:00;  4,65
24.08.2006 17:15:00;  8,17
30.09.2006 21:15:00;  5,47
27.10.2006 11:15:00;  3,74
01.11.2006 06:15:00;  4,85
28.12.2006 07:15:00;  3,13
04.01.2007 15:00:00;  3,23
21.02.2007 12:30:00;  3,64
25.03.2007 10:00:00;  6,34
30.04.2007 16:45:00;  6,42
05.05.2007 16:15:00;  5,11
20.06.2007 19:00:00;  5,35
31.07.2007 21:45:00;  5,19
02.08.2007 11:00:00;  4,67
30.09.2007 10:30:00;  8,23
17.10.2007 11:00:00;  4,34
02.11.2007 18:30:00;  4,85
29.12.2007 08:45:00;  4,04
03.01.2008 01:15:00;  3,35
17.02.2008 08:30:00;  2,14
09.03.2008 10:30:00;  6,01
08.04.2008 10:15:00;  8,67
31.05.2008 13:15:00;  16,0
29.06.2008 20:30:00;  5,15
11.07.2008 11:00:00;  5,14
31.08.2008 20:15:00;  5,54
30.09.2008 11:30:00;  3,44
29.10.2008 12:30:00;  3,56
21.11.2008 04:30:00;  3,06
13.12.2008 13:30:00;  2,85
27.01.2009 05:30:00;  2,03
19.02.2009 08:34:15;  1,79
01.03.2009 10:00:00;  3,25
01.04.2009 10:00:00;  8,91
28.05.2009 21:45:00;  10,4
15.06.2009 14:45:00;  6,95
31.07.2009 23:59:55;  7,78
26.08.2009 16:45:00;  4,87
30.09.2009 23:59:55;  4,49
08.10.2009 14:00:00;  3,07
30.11.2009 12:15:00;  4,87
22.12.2009 09:17:40;  2,77
24.01.2010 01:00:00;  2,53
16.02.2010 06:15:00;  1,31
09.03.2010 07:15:00;  2,18
16.04.2010 16:45:00;  6,80
13.05.2010 14:00:00;  7,97
30.06.2010 20:45:00;  5,68
16.07.2010 16:45:00;  3,20
23.08.2010 01:30:00;  8,03
24.09.2010 19:00:00;  6,49
24.10.2010 07:15:00;  3,22
30.11.2010 10:15:00;  3,10
05.12.2010 07:30:00;  2,52
05.01.2011 06:30:00;  1,96
24.02.2011 07:30:00;  1,74
08.03.2011 09:15:00;  2,30
30.04.2011 15:45:00;  5,38
11.05.2011 17:45:00;  3,72
07.06.2011 16:00:00;  6,54
17.07.2011 18:30:00;  5,12
31.08.2011 22:15:00;  4,94
17.09.2011 19:15:00;  4,14
06.10.2011 16:00:00;  5,19
30.11.2011 13:15:00;  2,19
20.12.2011 09:45:00;  1,31
16.01.2012 09:00:00;  1,80
04.02.2012 08:58:20;  1,36
01.03.2012 12:45:00;  7,54
25.04.2012 09:45:00;  10,3
28.05.2012 17:00:00;  13,2
30.06.2012 23:59:55;  8,35
08.07.2012 19:30:00;  6,33
22.08.2012 20:15:00;  4,62
11.09.2012 20:45:00;  7,18
07.10.2012 06:00:00;  6,41
30.11.2012 23:59:55;  4,49
13.12.2012 07:15:00;  2,92
26.01.2013 11:45:00;  4,14
11.02.2013 04:15:00;  3,45
01.03.2013 11:15:00;  4,20
08.04.2013 10:15:00;  6,07
23.05.2013 20:45:00;  10,7
23.06.2013 16:45:00;  8,79
27.07.2013 01:45:00;  4,03
