Messstelle:                ;Zwettl (Bahnbrücke)
30.01.1965 12:00:00;  2,10
09.02.1965 12:00:00;  2,32
05.03.1965 12:00:00;  2,10
20.04.1965 12:00:00;  13,4
28.05.1965 12:00:00;  16,1
30.06.1965 12:00:00;  6,86
14.07.1965 12:00:00;  1,93
24.08.1965 12:00:00;  2,32
10.09.1965 12:00:00; 0,330
31.10.1965 12:00:00; 0,410
04.11.1965 12:00:00; 0,310
12.12.1965 12:00:00; 0,460
05.01.1966 12:00:00;  1,12
28.02.1966 12:00:00;  3,43
01.03.1966 12:00:00;  4,12
25.04.1966 12:00:00;  5,16
23.05.1966 12:00:00; 0,600
07.06.1966 12:00:00; 0,460
05.07.1966 12:00:00;  2,98
13.08.1966 12:00:00;  6,57
27.09.1966 12:00:00;  4,12
25.10.1966 12:00:00;  1,25
17.11.1966 12:00:00;  1,12
02.12.1966 12:00:00; 0,990
25.01.1967 12:00:00;  6,28
13.02.1967 12:00:00;  5,70
17.03.1967 12:00:00;  9,28
21.04.1967 12:00:00;  5,70
30.05.1967 12:00:00;  1,93
30.06.1967 12:00:00;  4,62
28.07.1967 12:00:00; 0,600
22.08.1967 12:00:00; 0,460
07.09.1967 12:00:00; 0,360
27.10.1967 12:00:00; 0,460
22.11.1967 12:00:00; 0,360
01.12.1967 12:00:00; 0,500
31.01.1968 12:00:00;  4,19
29.02.1968 12:00:00;  2,83
09.03.1968 12:00:00;  1,75
30.04.1968 12:00:00;  1,75
07.05.1968 12:00:00;  1,04
28.06.1968 12:00:00; 0,690
11.07.1968 12:00:00; 0,310
02.08.1968 12:00:00; 0,730
19.09.1968 12:00:00;  2,10
28.10.1968 12:00:00;  1,93
16.11.1968 12:00:00;  1,42
06.12.1968 12:00:00; 0,860
16.01.1969 12:00:00;  1,59
05.02.1969 12:00:00;  1,93
28.03.1969 12:00:00;  3,69
30.04.1969 12:00:00;  4,48
28.05.1969 12:00:00;  1,04
03.06.1969 12:00:00; 0,570
30.07.1969 12:00:00;  1,28
22.08.1969 12:00:00;  1,40
08.09.1969 12:00:00; 0,690
24.10.1969 12:00:00; 0,520
30.11.1969 12:00:00; 0,520
03.12.1969 12:00:00; 0,810
30.01.1970 12:00:00;  1,63
02.02.1970 12:00:00;  1,39
20.03.1970 12:00:00;  5,23
07.04.1970 12:00:00;  13,5
26.05.1970 12:00:00;  4,49
28.06.1970 12:00:00;  2,41
11.07.1970 12:00:00;  2,00
02.08.1970 12:00:00;  2,41
28.09.1970 12:00:00;  2,27
01.10.1970 12:00:00;  2,56
05.11.1970 12:00:00;  2,70
20.12.1970 12:00:00; 0,790
02.01.1971 12:00:00;  3,79
27.02.1971 12:00:00;  2,41
11.03.1971 12:00:00;  2,84
23.04.1971 12:00:00;  5,54
29.05.1971 12:00:00;  2,56
30.06.1971 12:00:00;  4,64
29.07.1971 12:00:00;  1,63
22.08.1971 12:00:00;  1,28
28.09.1971 12:00:00;  1,50
14.10.1971 12:00:00;  1,75
06.11.1971 12:00:00;  1,75
01.12.1971 12:00:00;  2,00
15.01.1972 12:00:00;  2,00
12.02.1972 12:00:00;  1,75
31.03.1972 12:00:00;  3,10
01.04.1972 12:00:00;  2,96
17.05.1972 12:00:00;  6,69
29.06.1972 12:00:00;  2,70
11.07.1972 12:00:00;  2,27
30.08.1972 12:00:00;  3,18
21.09.1972 12:00:00;  3,04
21.10.1972 12:00:00;  1,95
30.11.1972 12:00:00;  1,80
24.12.1972 12:00:00;  1,55
29.01.1973 12:00:00;  1,22
04.02.1973 12:00:00;  1,44
05.03.1973 12:00:00;  1,88
15.04.1973 12:00:00;  6,10
31.05.1973 12:00:00;  2,84
22.06.1973 12:00:00;  2,70
12.07.1973 12:00:00;  2,27
31.08.1973 12:00:00;  1,00
11.09.1973 12:00:00; 0,890
09.10.1973 12:00:00;  1,11
07.11.1973 12:00:00;  1,44
31.12.1973 12:00:00;  1,66
15.01.1974 12:00:00;  1,44
28.02.1974 12:00:00;  1,97
01.03.1974 12:00:00;  3,12
20.04.1974 12:00:00;  2,76
05.05.1974 12:00:00;  3,18
10.06.1974 12:00:00;  6,69
06.07.1974 12:00:00;  6,20
27.08.1974 12:00:00;  2,81
28.09.1974 12:00:00;  1,95
07.10.1974 12:00:00;  1,95
09.11.1974 12:00:00;  3,10
01.12.1974 12:00:00;  5,81
30.01.1975 12:00:00;  5,73
28.02.1975 12:00:00;  2,27
01.03.1975 12:00:00;  2,84
02.04.1975 12:00:00;  3,62
23.05.1975 12:00:00;  2,41
08.06.1975 12:00:00;  3,00
31.07.1975 12:00:00;  5,62
24.08.1975 12:00:00;  3,10
30.09.1975 12:00:00;  2,96
17.10.1975 12:00:00;  2,67
25.11.1975 12:00:00;  1,00
10.12.1975 12:00:00; 0,890
01.01.1976 00:00:00; Lücke
01.01.1976 12:00:00;  2,10
11.01.1976 06:00:00;  5,93
24.02.1976 15:00:00;  1,62
22.03.1976 10:00:00; 0,675
22.04.1976 06:00:00;  2,04
12.05.1976 08:00:00;  1,50
23.06.1976 12:00:00;  1,52
13.07.1976 11:00:00;  1,13
30.08.1976 13:00:00;  3,17
17.09.1976 13:00:00;  1,81
13.10.1976 20:00:00;  1,63
12.11.1976 10:00:00;  2,49
26.12.1976 14:00:00;  3,56
22.01.1977 17:00:00;  2,37
03.02.1977 15:00:00;  3,25
27.03.1977 16:00:00;  6,48
07.04.1977 23:00:00;  6,46
27.05.1977 17:00:00;  2,87
30.06.1977 15:00:00;  1,92
30.07.1977 01:00:00; 0,949
08.08.1977 22:00:00;  1,67
29.09.1977 14:00:00;  1,72
10.10.1977 15:00:00;  1,48
29.11.1977 11:00:00; 0,985
20.12.1977 13:00:00;  1,04
24.01.1978 15:00:00;  1,49
13.02.1978 18:00:00;  1,67
23.03.1978 18:00:00;  6,12
12.04.1978 13:00:00;  5,00
25.05.1978 08:00:00;  3,30
13.06.1978 22:00:00;  2,29
31.07.1978 23:59:55;  2,36
30.08.1978 19:00:00;  1,21
20.09.1978 19:00:00;  1,27
31.10.1978 17:00:00;  1,34
20.11.1978 15:00:00;  1,02
05.12.1978 14:00:00; 0,940
02.01.1979 12:00:00;  2,58
27.02.1979 14:00:00;  1,16
01.03.1979 15:00:00;  1,72
01.04.1979 12:00:00;  10,5
31.05.1979 15:00:00;  2,81
11.06.1979 19:00:00;  2,15
23.07.1979 18:00:00;  4,13
31.08.1979 23:59:55;  3,03
20.09.1979 12:00:00;  1,91
30.10.1979 16:00:00;  1,57
05.11.1979 09:00:00;  1,44
31.12.1979 13:00:00;  4,16
28.01.1980 15:00:00;  2,51
25.02.1980 13:00:00;  2,55
04.03.1980 11:00:00;  2,46
01.04.1980 00:00:00;  7,79
27.05.1980 22:00:00;  5,53
23.06.1980 08:00:00;  3,07
08.07.1980 17:00:00;  1,40
25.08.1980 09:00:00;  1,50
30.09.1980 16:00:00;  1,11
07.10.1980 09:00:00; 0,976
03.11.1980 15:00:00;  1,27
01.12.1980 09:00:00;  1,02
30.01.1981 13:00:00;  2,33
26.02.1981 12:30:00;  2,02
06.03.1981 15:00:00;  2,72
24.04.1981 07:00:00;  2,73
22.05.1981 11:00:00;  2,06
15.06.1981 07:00:00;  1,47
13.07.1981 08:00:00;  1,33
25.08.1981 12:30:00;  1,25
07.09.1981 17:00:00; 0,784
07.10.1981 09:00:00;  2,03
10.11.1981 14:30:00;  3,66
21.12.1981 14:00:00;  4,03
01.01.1982 00:00:00;  5,78
20.02.1982 11:00:00;  2,17
01.03.1982 03:00:00;  4,37
26.04.1982 13:00:00;  6,52
17.05.1982 10:30:00;  3,11
26.06.1982 13:30:00;  2,23
16.07.1982 11:00:00;  1,69
15.08.1982 09:00:00;  1,84
22.09.1982 18:30:00;  1,32
12.10.1982 13:00:00;  1,10
29.11.1982 10:30:00;  1,17
15.12.1982 14:00:00;  1,19
25.01.1983 11:00:00;  1,95
16.02.1983 21:30:00;  2,87
05.03.1983 13:00:00;  4,14
29.04.1983 17:30:00;  5,04
30.05.1983 05:30:00;  2,69
08.06.1983 09:00:00;  2,06
31.07.1983 19:30:00;  1,07
31.08.1983 18:30:00; 0,837
19.09.1983 19:00:00; 0,684
24.10.1983 17:00:00; 0,710
16.11.1983 09:00:00; 0,701
02.12.1983 14:00:00; 0,719
11.01.1984 19:00:00; 0,763
01.02.1984 14:00:00;  1,20
09.03.1984 10:30:00;  1,43
30.04.1984 15:30:00;  4,10
28.05.1984 09:30:00;  3,21
30.06.1984 18:30:00;  1,40
12.07.1984 15:00:00;  1,18
24.08.1984 17:00:00; 0,981
03.09.1984 16:30:00; 0,942
23.10.1984 15:30:00;  1,72
16.11.1984 15:30:00;  1,18
21.12.1984 14:00:00; 0,962
01.01.1985 00:00:05;  1,89
21.02.1985 13:30:00;  1,62
18.03.1985 11:00:00;  1,92
30.04.1985 18:45:00;  4,16
15.05.1985 15:30:00;  3,15
20.06.1985 06:00:00;  3,90
14.07.1985 21:30:00;  2,84
03.08.1985 23:00:00;  3,38
30.09.1985 10:45:00;  2,49
27.10.1985 23:00:00;  1,96
18.11.1985 11:30:00;  1,82
01.12.1985 00:00:00;  3,18
10.01.1986 17:30:00;  3,47
05.02.1986 15:00:00;  3,30
04.03.1986 16:30:00;  4,38
30.04.1986 13:45:00;  5,29
27.05.1986 16:00:00;  2,33
29.06.1986 12:15:00;  2,52
28.07.1986 13:00:00;  2,04
22.08.1986 16:30:00;  1,69
30.09.1986 23:59:55;  1,25
19.10.1986 17:30:00; 0,714
29.11.1986 00:10:00; 0,607
02.12.1986 08:45:00; 0,511
08.01.1987 12:00:00;  2,41
24.02.1987 12:30:00;  3,15
22.03.1987 16:30:00;  3,61
30.04.1987 23:59:55;  8,77
12.05.1987 22:45:00;  5,95
20.06.1987 11:15:00;  6,15
08.07.1987 07:00:00;  4,99
31.08.1987 19:30:00;  3,15
24.09.1987 04:45:00;  2,41
12.10.1987 00:00:00;  2,41
10.11.1987 17:30:00;  2,00
01.12.1987 01:15:00;  2,27
18.01.1988 05:45:00;  2,56
21.02.1988 12:00:00;  2,56
08.03.1988 09:15:00;  2,41
30.04.1988 16:00:00;  6,56
31.05.1988 04:15:00;  2,41
03.06.1988 16:00:00;  2,56
27.07.1988 23:30:00;  2,00
09.08.1988 16:45:00;  1,87
30.09.1988 23:59:55;  1,63
04.10.1988 15:15:00;  1,40
06.11.1988 11:45:00; 0,688
02.12.1988 23:00:00;  2,19
30.01.1989 12:45:00;  2,33
04.02.1989 12:30:00;  1,91
03.03.1989 04:30:00;  3,51
13.04.1989 16:45:00;  2,48
29.05.1989 23:45:00;  3,69
12.06.1989 02:15:00;  2,97
24.07.1989 13:45:00;  2,80
23.08.1989 04:45:00;  1,91
24.09.1989 18:15:00;  1,66
27.10.1989 12:45:00;  1,42
18.11.1989 12:30:00;  1,11
01.12.1989 00:00:00;  1,66
01.01.1990 00:00:00;  1,66
06.02.1990 12:45:00;  1,21
22.03.1990 07:30:00;  3,32
07.04.1990 00:00:00;  3,15
22.05.1990 17:30:00;  2,33
02.06.1990 22:45:00;  2,97
31.07.1990 15:00:00;  1,32
29.08.1990 02:00:00; 0,550
02.09.1990 08:00:00; 0,617
02.10.1990 01:30:00; 0,844
06.11.1990 20:30:00;  1,02
06.12.1990 22:00:00;  1,21
15.01.1991 17:30:00;  3,51
01.02.1991 00:00:00;  4,13
05.03.1991 02:45:00;  2,81
02.04.1991 01:15:00;  2,81
02.05.1991 00:45:00;  2,81
11.06.1991 18:15:00;  2,62
24.07.1991 13:15:00;  2,62
31.08.1991 23:59:55;  3,27
25.09.1991 14:15:00;  1,27
14.10.1991 16:30:00; 0,600
01.11.1991 21:15:00; 0,852
03.12.1991 02:00:00;  1,40
21.01.1992 07:30:00;  2,62
05.02.1992 19:45:00;  3,36
01.03.1992 22:45:00;  5,85
27.04.1992 15:15:00;  4,96
26.05.1992 18:45:00;  1,40
01.06.1992 23:45:00;  1,40
31.07.1992 03:30:00; 0,852
20.08.1992 11:30:00; 0,600
01.09.1992 03:00:00; 0,762
08.10.1992 05:30:00; 0,600
10.11.1992 10:00:00; 0,948
20.12.1992 13:45:00;  1,95
30.01.1993 15:45:00;  2,27
23.02.1993 17:45:00;  1,95
08.03.1993 12:15:00;  1,80
30.04.1993 23:59:55;  4,24
19.05.1993 21:00:00;  1,95
01.06.1993 23:15:00;  1,66
05.07.1993 13:45:00;  1,80
24.08.1993 03:30:00;  1,05
24.09.1993 11:30:00;  1,80
11.10.1993 07:15:00;  1,52
19.11.1993 01:45:00;  1,80
12.12.1993 13:15:00;  4,75
19.01.1994 06:45:00;  3,93
14.02.1994 10:15:00;  2,81
07.03.1994 04:15:00;  3,74
01.04.1994 07:45:00;  4,33
31.05.1994 23:59:55;  3,64
25.06.1994 06:00:00;  1,27
15.07.1994 16:00:00; 0,461
05.08.1994 18:30:00; 0,528
30.09.1994 23:59:55; 0,852
01.10.1994 00:00:00; 0,852
10.11.1994 23:15:00; 0,528
04.12.1994 09:00:00; 0,762
18.01.1995 00:15:00;  2,44
13.02.1995 11:15:00;  3,93
18.03.1995 18:45:00;  4,33
30.04.1995 19:00:00;  5,62
29.05.1995 15:45:00;  2,62
30.06.1995 23:59:55;  3,74
12.07.1995 10:00:00;  1,52
07.08.1995 19:15:00;  1,05
12.09.1995 09:15:00;  3,36
27.10.1995 03:30:00;  2,81
01.11.1995 00:00:00;  3,54
14.12.1995 12:45:00;  3,55
17.01.1996 00:30:00;  2,62
01.02.1996 00:01:00;  5,40
20.03.1996 17:15:00;  4,13
05.04.1996 07:00:00;  7,04
08.05.1996 15:00:00;  10,8
29.06.1996 19:00:00;  4,75
29.07.1996 13:15:00;  3,00
31.08.1996 23:59:55;  2,27
01.09.1996 22:45:00;  2,11
01.10.1996 12:15:00;  2,62
30.11.1996 23:59:55;  5,40
22.12.1996 07:45:00;  2,27
31.01.1997 23:59:55;  4,90
02.02.1997 12:13:10;  2,85
15.03.1997 05:36:10;  5,65
05.04.1997 17:07:10;  9,09
30.05.1997 14:10:15;  4,49
30.06.1997 15:32:20;  2,43
04.07.1997 17:55:00;  2,17
28.08.1997 16:31:40;  3,42
29.09.1997 15:33:05;  1,54
29.10.1997 09:21:45; 0,862
05.11.1997 12:19:20;  1,17
07.12.1997 15:08:25;  5,17
26.01.1998 08:08:30;  2,33
01.02.1998 00:00:00;  3,41
11.03.1998 08:04:55;  1,93
30.04.1998 23:59:55;  4,23
16.05.1998 03:48:35;  2,05
08.06.1998 15:28:55;  1,95
23.07.1998 07:54:45;  2,26
31.08.1998 02:23:45;  2,27
02.09.1998 18:20:40;  1,99
05.10.1998 21:16:50;  2,77
22.11.1998 03:04:00;  3,79
02.12.1998 05:53:40;  2,54
30.01.1999 15:16:40;  1,82
10.02.1999 04:24:05;  3,45
01.03.1999 00:00:00;  6,93
27.04.1999 10:00:30;  1,91
28.05.1999 18:39:20;  3,20
30.06.1999 15:34:50;  1,66
05.07.1999 13:41:40; 0,987
27.08.1999 05:48:20;  1,81
21.09.1999 08:42:45;  1,50
12.10.1999 05:57:40; 0,849
30.11.1999 11:07:35; 0,788
01.12.1999 07:41:55; 0,950
13.01.2000 03:52:30;  2,52
22.02.2000 11:35:25;  4,95
03.03.2000 23:48:10;  6,87
30.04.2000 23:59:55;  4,75
27.05.2000 06:05:35;  2,37
23.06.2000 08:59:30;  1,15
25.07.2000 15:57:35;  1,09
03.08.2000 08:56:40; 0,937
14.09.2000 17:17:10; 0,780
02.10.2000 18:27:25; 0,990
24.11.2000 18:36:40;  1,17
09.12.2000 08:21:35;  1,11
29.01.2001 13:39:05; 0,725
02.02.2001 16:52:10;  1,02
02.03.2001 08:56:50;  2,82
05.04.2001 07:44:50;  4,97
31.05.2001 10:16:15;  2,63
27.06.2001 10:11:30;  1,59
16.07.2001 14:22:55;  1,19
01.08.2001 18:47:35;  1,17
01.09.2001 00:00:00;  2,07
31.10.2001 23:59:55;  2,66
20.11.2001 21:32:50;  2,25
10.12.2001 00:55:00;  2,31
19.01.2002 03:39:40;  4,52
09.02.2002 08:39:35;  7,68
19.03.2002 09:47:25;  5,34
30.04.2002 23:59:55;  4,46
31.05.2002 23:59:55;  2,10
24.06.2002 13:00:55;  1,05
10.07.2002 18:46:50; 0,905
01.08.2002 03:36:40;  1,05
19.09.2002 13:51:30;  4,08
03.10.2002 12:34:15;  4,52
29.11.2002 20:13:45;  7,98
20.12.2002 13:13:00;  4,34
27.01.2003 12:15:00;  5,21
27.02.2003 21:30:00;  3,09
01.03.2003 12:30:00;  4,07
17.04.2003 19:30:00;  2,52
28.05.2003 16:50:00;  1,65
04.06.2003 10:10:00; 0,640
15.07.2003 15:25:00; 0,468
18.08.2003 18:25:00; 0,570
10.09.2003 05:15:00; 0,737
03.10.2003 20:15:00; 0,781
24.11.2003 18:40:00; 0,713
23.12.2003 23:40:00; 0,646
01.01.2004 00:00:00;  1,48
01.02.2004 02:45:00;  3,23
06.03.2004 11:15:00;  2,45
30.04.2004 23:59:55;  5,53
31.05.2004 23:15:00;  2,96
01.06.2004 16:05:00;  2,84
31.07.2004 23:55:00;  2,81
20.08.2004 02:01:00;  1,36
22.09.2004 18:55:00; 0,784
07.10.2004 17:30:00;  1,32
06.11.2004 20:15:00;  2,39
15.12.2004 05:25:00;  2,81
17.01.2005 19:30:00;  1,87
28.02.2005 14:20:00;  2,92
11.03.2005 18:05:00;  3,30
18.04.2005 00:55:00;  8,19
23.05.2005 04:35:00;  5,33
26.06.2005 01:05:00;  3,63
05.07.2005 05:35:00;  3,51
14.08.2005 23:55:00;  3,07
27.09.2005 03:45:00;  4,36
31.10.2005 15:35:00;  3,02
25.11.2005 13:10:00;  1,69
02.12.2005 12:25:00;  1,30
01.01.2006 00:00:00;  2,21
01.02.2006 00:00:00;  2,26
09.03.2006 05:20:05;  3,29
25.04.2006 16:20:00;  15,3
25.05.2006 20:15:00;  4,89
26.06.2006 18:40:00;  5,30
29.07.2006 10:50:00;  3,47
03.08.2006 07:25:00;  3,22
26.09.2006 13:50:00;  1,65
26.10.2006 17:45:00; 0,976
02.11.2006 10:00:00; 0,789
28.12.2006 12:55:00; 0,546
19.01.2007 01:25:35;  1,11
02.02.2007 05:30:00;  2,65
18.03.2007 11:50:00;  4,33
30.04.2007 16:10:00;  2,53
29.05.2007 14:15:00;  1,56
14.06.2007 14:35:00; 0,880
29.07.2007 05:05:00; 0,813
07.08.2007 14:55:00; 0,724
01.09.2007 19:45:00;  1,11
18.10.2007 12:40:00;  2,94
06.11.2007 17:45:00;  5,63
29.12.2007 22:15:00;  5,15
12.01.2008 15:18:20;  4,10
17.02.2008 12:00:00;  2,69
12.03.2008 04:30:00;  5,16
21.04.2008 16:20:00;  3,82
31.05.2008 15:15:00;  3,53
24.06.2008 17:30:00;  1,94
06.07.2008 12:20:00;  1,92
13.08.2008 15:40:00;  2,13
14.09.2008 05:45:00;  2,10
30.10.2008 16:05:00;  2,32
05.11.2008 16:05:00; 0,995
11.12.2008 15:00:00;  1,66
30.01.2009 15:55:00;  2,54
04.02.2009 09:55:00;  2,09
02.03.2009 15:15:00;  6,55
29.04.2009 13:15:00;  5,97
26.05.2009 16:35:00;  3,23
15.06.2009 14:25:00;  2,12
31.07.2009 23:55:00;  7,28
29.08.2009 02:40:00;  4,53
30.09.2009 18:00:00;  2,59
08.10.2009 15:35:00;  2,02
29.11.2009 13:35:00;  3,56
19.12.2009 04:35:00;  2,80
05.01.2010 10:30:00;  2,95
22.02.2010 17:35:00;  1,61
06.03.2010 05:30:00;  4,00
29.04.2010 08:25:00;  4,65
09.05.2010 18:10:00;  4,18
30.06.2010 23:59:55;  5,52
14.07.2010 13:00:00;  2,74
26.08.2010 16:40:00;  5,97
25.09.2010 02:10:00;  3,06
15.10.2010 10:10:00;  2,70
28.11.2010 07:50:00;  1,65
01.12.2010 16:00:00;  1,81
29.01.2011 07:50:00;  2,93
21.02.2011 09:05:00;  2,64
08.03.2011 11:45:00;  2,17
24.04.2011 08:35:00;  2,59
27.05.2011 06:40:00;  1,21
30.06.2011 16:30:00;  1,24
18.07.2011 11:45:00; 0,627
18.08.2011 08:50:00; 0,585
17.09.2011 15:25:00; 0,594
05.10.2011 11:35:00; 0,696
11.11.2011 11:10:00; 0,541
20.12.2011 14:57:45;  1,03
16.01.2012 13:40:50;  1,03
01.02.2012 00:00:00;  4,19
11.03.2012 14:15:00;  4,96
30.04.2012 23:45:00;  2,90
28.05.2012 14:15:00;  1,64
03.06.2012 19:55:00;  2,65
28.07.2012 17:20:00;  2,19
23.08.2012 11:55:00;  1,14
11.09.2012 21:11:15;  1,36
08.10.2012 05:20:00;  1,24
22.11.2012 17:40:00;  1,96
07.12.2012 10:30:00;  1,08
04.01.2013 05:25:00;  4,66
23.02.2013 10:35:00;  5,23
03.03.2013 16:55:00;  5,20
03.04.2013 14:20:00;  5,44
30.05.2013 12:00:00;  5,60
22.06.2013 16:50:00;  8,83
29.07.2013 09:15:00;  2,73
