Messstelle:                ;Rauris (Unterland)
08.01.1985 10:30:00;  2,41
19.02.1985 02:30:00;  2,37
13.03.1985 10:30:00;  2,67
02.04.1985 09:00:00;  3,61
04.05.1985 09:00:00;  4,81
14.06.1985 11:15:00;  10,8
26.07.1985 11:30:00;  10,4
03.08.1985 13:45:00;  9,57
15.09.1985 15:15:00;  8,47
31.10.1985 23:59:55;  4,86
25.11.1985 15:30:00;  3,88
27.12.1985 15:45:00;  3,17
18.01.1986 01:30:00;  2,61
12.02.1986 04:00:00;  2,72
04.03.1986 03:30:00;  2,86
01.04.1986 12:30:00;  4,10
11.05.1986 08:15:00;  11,8
30.06.1986 13:45:00;  12,2
28.07.1986 12:15:00;  8,64
09.08.1986 13:30:00;  7,75
30.09.1986 17:00:00;  5,84
19.10.1986 06:30:00;  4,75
29.11.1986 01:30:00;  3,86
25.12.1986 21:00:00;  3,30
12.01.1987 22:45:00;  2,66
01.02.1987 08:15:00;  2,66
20.03.1987 11:15:00;  2,83
03.04.1987 08:00:00;  3,55
09.05.1987 12:00:00;  9,24
02.06.1987 12:45:00;  15,4
23.07.1987 10:30:00;  14,5
31.08.1987 11:45:00;  11,3
21.09.1987 09:45:00;  7,80
31.10.1987 23:59:55;  6,63
30.11.1987 23:59:55;  5,29
10.12.1987 22:30:00;  4,24
22.01.1988 21:45:00;  3,28
14.02.1988 07:15:00;  2,62
10.03.1988 06:00:00;  2,16
01.04.1988 20:15:00;  3,28
01.05.1988 06:45:00;  7,45
03.06.1988 12:00:00;  11,8
11.07.1988 13:00:00;  10,4
18.08.1988 15:15:00;  8,28
11.09.1988 15:45:00;  10,3
31.10.1988 23:59:55;  6,84
23.11.1988 04:30:00;  4,19
30.12.1988 13:15:00;  4,19
24.01.1989 08:15:00;  3,99
11.02.1989 09:45:00;  3,80
01.03.1989 10:15:00;  3,82
19.04.1989 12:45:00;  5,46
01.05.1989 08:30:00;  5,93
08.06.1989 13:00:00;  10,1
30.07.1989 13:30:00;  12,2
31.08.1989 15:15:00;  8,11
24.09.1989 14:00:00;  6,72
22.10.1989 15:30:00;  6,45
30.11.1989 23:59:55;  5,35
29.12.1989 10:15:00;  3,59
23.01.1990 17:00:00;  3,00
09.02.1990 15:30:00;  3,00
20.03.1990 11:00:00;  3,59
11.04.1990 15:30:00;  3,39
01.05.1990 09:15:00;  4,94
01.06.1990 13:45:00;  4,96
28.07.1990 16:30:00;  8,11
20.08.1990 18:30:00;  5,67
17.09.1990 12:00:00;  5,18
27.10.1990 16:45:00;  5,42
07.11.1990 08:30:00;  5,42
27.12.1990 14:45:00;  4,05
30.01.1991 10:00:00;  3,00
01.02.1991 06:30:00;  2,80
04.03.1991 11:45:00;  3,62
20.04.1991 06:45:00;  3,83
01.05.1991 11:45:00;  4,28
01.06.1991 09:15:00;  9,00
23.07.1991 12:15:00;  16,5
31.08.1991 16:15:00;  8,94
20.09.1991 14:15:00;  6,44
26.10.1991 06:45:00;  4,55
05.11.1991 12:30:00;  4,10
22.12.1991 08:30:00;  2,41
28.01.1992 08:00:00;  3,18
26.02.1992 08:45:00;  3,38
01.03.1992 03:00:00;  3,74
01.04.1992 00:00:00;  4,78
01.05.1992 10:45:00;  10,8
28.06.1992 09:00:00;  13,2
31.07.1992 08:45:00;  9,54
13.08.1992 17:30:00;  6,62
23.09.1992 08:45:00;  4,78
01.10.1992 10:00:00;  5,23
18.11.1992 17:45:00;  4,78
28.12.1992 09:15:00;  3,88
02.01.1993 09:15:00;  3,88
16.02.1993 09:15:00;  3,47
13.03.1993 10:15:00;  3,55
01.04.1993 00:00:00;  4,14
03.05.1993 11:45:00;  10,5
26.06.1993 12:45:00;  10,8
10.07.1993 16:15:00;  8,64
17.08.1993 14:30:00;  7,23
25.09.1993 15:00:00;  6,07
01.10.1993 09:00:00;  6,07
11.11.1993 16:15:00;  5,81
19.12.1993 13:15:00;  5,04
18.01.1994 22:45:00;  4,02
15.02.1994 08:30:00;  3,00
05.03.1994 08:00:00;  3,39
15.04.1994 07:30:00;  4,02
08.05.1994 03:30:00;  10,9
18.06.1994 09:15:00;  11,9
31.07.1994 11:15:00;  7,83
17.08.1994 11:15:00;  6,19
22.09.1994 08:45:00;  6,45
20.10.1994 06:30:00;  4,94
14.11.1994 18:00:00;  4,24
16.12.1994 10:30:00;  3,62
11.01.1995 12:45:00;  2,80
09.02.1995 03:00:00;  2,80
07.03.1995 14:00:00;  2,80
02.04.1995 00:15:00;  4,10
22.05.1995 12:00:00;  8,19
04.06.1995 12:45:00;  13,4
31.07.1995 16:00:00;  10,3
04.08.1995 11:30:00;  7,60
27.09.1995 17:45:00;  9,70
24.10.1995 17:30:00;  6,24
21.11.1995 09:30:00;  4,51
09.12.1995 16:00:00;  3,41
21.01.1996 09:15:00;  3,20
24.02.1996 04:45:00;  2,09
05.03.1996 05:45:00;  2,09
05.04.1996 14:15:00;  3,00
04.05.1996 14:15:00;  5,22
17.06.1996 16:45:00;  7,61
29.07.1996 12:30:00;  7,33
19.08.1996 01:00:00;  5,72
04.09.1996 15:30:00;  8,19
01.10.1996 08:30:00;  8,19
12.11.1996 01:30:00;  6,78
27.12.1996 08:30:00;  3,41
01.01.1997 09:16:00;  3,53
19.02.1997 06:05:50;  2,91
30.03.1997 10:22:25;  3,04
16.04.1997 11:37:10;  2,81
02.05.1997 08:14:00;  4,85
02.06.1997 10:03:20;  9,07
13.07.1997 14:24:45;  11,6
28.08.1997 06:41:30;  8,23
30.09.1997 18:53:55;  3,71
01.10.1997 03:17:30;  4,40
06.11.1997 00:27:55;  3,67
31.12.1997 23:59:55;  3,56
28.01.1998 08:32:55;  2,69
10.02.1998 10:56:30;  2,58
21.03.1998 09:33:20;  1,66
19.04.1998 22:07:20;  3,39
05.05.1998 23:30:30;  6,18
18.06.1998 10:48:35;  8,32
30.07.1998 11:04:35;  7,88
12.08.1998 10:01:30;  7,76
02.09.1998 08:26:45;  7,01
06.10.1998 06:03:45;  6,91
05.11.1998 12:35:20;  6,33
09.12.1998 21:13:50;  4,53
31.01.1999 23:59:55;  2,96
22.02.1999 12:04:10;  2,70
02.03.1999 11:19:00;  3,49
01.04.1999 11:05:15;  5,07
01.05.1999 11:42:55;  11,3
25.06.1999 11:34:40;  12,0
20.07.1999 07:42:55;  10,1
12.08.1999 10:39:35;  9,34
18.09.1999 09:25:35;  7,81
18.10.1999 10:58:00;  6,68
30.11.1999 18:28:40;  5,31
23.12.1999 08:15:00;  4,03
26.01.2000 07:27:55;  3,20
24.02.2000 15:25:05;  2,75
06.03.2000 10:05:55;  3,50
05.04.2000 08:24:30;  5,33
24.05.2000 07:38:40;  15,6
30.06.2000 14:00:55;  12,3
01.07.2000 07:47:35;  11,5
29.08.2000 08:15:25;  8,06
29.09.2000 17:37:25;  6,21
01.10.2000 13:58:50;  6,21
13.11.2000 02:18:35;  6,39
21.12.2000 13:12:35;  4,24
16.01.2001 07:36:05;  4,91
23.02.2001 11:59:20;  4,12
11.03.2001 09:15:25;  3,78
21.04.2001 04:38:50;  5,12
01.05.2001 04:17:30;  13,2
06.06.2001 04:00:10;  13,7
31.07.2001 19:02:55;  10,8
28.08.2001 08:25:30;  7,54
13.09.2001 17:42:50;  8,02
30.10.2001 07:44:05;  6,68
22.11.2001 06:41:55;  5,01
15.12.2001 08:11:45;  4,26
18.01.2002 17:19:55;  2,90
25.02.2002 14:33:45;  3,51
04.03.2002 15:53:20;  3,88
18.04.2002 13:01:45;  4,89
01.05.2002 07:55:45;  7,77
30.06.2002 10:45:00;  9,86
26.07.2002 08:30:00;  7,46
01.08.2002 11:00:00;  7,74
13.09.2002 10:15:00;  5,69
15.10.2002 19:00:00;  6,17
12.11.2002 13:30:00;  5,69
19.12.2002 12:00:00;  4,78
12.01.2003 03:15:00;  3,88
17.02.2003 04:00:00;  2,74
17.03.2003 10:00:00;  3,28
14.04.2003 07:45:00;  2,91
04.05.2003 12:45:00;  8,03
30.06.2003 18:17:25;  9,60
27.07.2003 10:30:00;  6,92
25.08.2003 04:00:00;  5,93
26.09.2003 12:15:00;  4,78
27.10.2003 22:15:00;  5,00
27.11.2003 10:45:00;  4,55
24.12.2003 04:30:00;  3,09
24.01.2004 13:30:05;  3,09
01.02.2004 00:00:00;  3,47
03.03.2004 16:00:00;  3,18
14.04.2004 09:15:00;  5,93
11.05.2004 08:00:00;  8,00
01.06.2004 08:15:00;  11,8
30.07.2004 12:00:00;  11,8
25.08.2004 12:15:00;  7,72
22.09.2004 17:00:00;  6,45
09.10.2004 08:45:00;  6,19
19.11.2004 17:15:00;  5,23
21.12.2004 10:00:00;  4,14
27.01.2005 22:45:00;  3,55
25.02.2005 07:15:00;  3,18
05.03.2005 17:00:00;  3,00
10.04.2005 16:45:00;  5,46
09.05.2005 17:15:00;  7,74
12.06.2005 11:29:05;  9,76
03.07.2005 22:15:00;  9,54
11.08.2005 07:30:00;  7,46
09.09.2005 08:30:00;  8,03
31.10.2005 19:15:00;  6,97
20.11.2005 07:00:00;  5,03
20.12.2005 14:30:00;  3,45
08.01.2006 11:30:00;  3,12
28.02.2006 23:59:55;  3,32
13.03.2006 07:45:00;  2,96
06.04.2006 13:00:00;  3,82
07.05.2006 16:15:00;  8,87
10.06.2006 10:45:00;  10,8
28.07.2006 07:45:00;  5,93
01.08.2006 05:30:00;  6,92
15.09.2006 02:45:00;  5,93
23.10.2006 08:00:00;  5,46
04.11.2006 23:00:00;  4,81
13.12.2006 13:30:00;  4,40
14.01.2007 04:00:00;  4,01
06.02.2007 09:45:00;  3,64
02.03.2007 22:15:00;  3,82
01.04.2007 03:15:00;  4,60
07.05.2007 13:15:00;  6,66
14.06.2007 17:15:00;  7,52
28.07.2007 14:45:00;  8,09
24.08.2007 07:15:00;  5,95
01.09.2007 11:45:00;  6,20
26.10.2007 08:30:00;  5,02
11.11.2007 01:45:00;  4,40
28.12.2007 02:45:00;  4,60
29.01.2008 14:36:15;  4,01
04.02.2008 09:45:00;  3,64
06.03.2008 05:45:00;  3,64
08.04.2008 05:00:00;  3,82
02.05.2008 13:30:00;  7,45
16.06.2008 12:30:00;  13,3
10.07.2008 14:30:00;  10,5
31.08.2008 14:15:00;  9,06
30.09.2008 15:00:00;  6,10
28.10.2008 21:45:00;  6,27
18.11.2008 11:45:00;  4,89
28.12.2008 08:00:00;  4,36
23.01.2009 13:15:00;  4,01
19.02.2009 06:00:00;  3,15
13.03.2009 10:45:00;  3,89
01.04.2009 00:00:00;  4,41
01.05.2009 12:00:00;  9,70
05.06.2009 13:45:00;  11,7
30.07.2009 14:00:00;  12,1
27.08.2009 12:45:00;  7,67
25.09.2009 08:15:00;  8,82
15.10.2009 06:00:00;  5,61
30.11.2009 03:45:00;  5,17
15.12.2009 11:15:00;  4,38
31.01.2010 23:59:55;  4,35
28.02.2010 09:15:00;  3,91
08.03.2010 10:00:00;  3,87
19.04.2010 08:45:00;  4,28
21.05.2010 08:00:00;  6,66
30.06.2010 06:30:00;  10,9
19.07.2010 06:45:00;  7,54
10.08.2010 09:15:00;  7,61
14.09.2010 17:45:00;  7,55
22.10.2010 01:45:00;  6,50
19.11.2010 12:15:00;  5,08
10.12.2010 13:30:00;  4,01
23.01.2011 06:15:00;  3,88
24.02.2011 08:15:00;  2,67
01.03.2011 00:00:00;  3,22
16.04.2011 11:00:00;  4,13
09.05.2011 18:45:00;  4,89
29.06.2011 07:00:00;  9,12
08.07.2011 12:00:00;  6,36
31.08.2011 19:15:00;  6,84
17.09.2011 08:45:00;  6,12
03.10.2011 16:30:00;  6,20
18.11.2011 08:15:00;  5,31
05.12.2011 09:45:00;  4,65
06.01.2012 14:00:00;  4,32
19.02.2012 00:30:00;  3,87
10.03.2012 11:00:00;  4,60
25.04.2012 09:00:00;  6,53
19.05.2012 10:15:00;  11,0
06.06.2012 07:30:00;  16,6
08.07.2012 12:45:00;  11,8
29.08.2012 18:30:00;  8,00
11.09.2012 07:15:00;  9,48
30.10.2012 03:45:00;  8,00
27.11.2012 02:30:00;  8,38
31.12.2012 12:00:00;  6,45
29.01.2013 20:45:00;  5,35
26.02.2013 04:30:00;  3,93
28.03.2013 08:30:00;  4,43
01.04.2013 08:45:00;  4,73
29.05.2013 07:00:00;  12,0
01.06.2013 05:45:00;  15,2
31.07.2013 11:00:00;  11,5
16.08.2013 13:45:00;  8,11
26.09.2013 20:15:00;  6,67
27.10.2013 17:30:00;  6,71
27.11.2013 10:45:00;  6,71
14.12.2013 18:15:00;  4,81
24.01.2014 10:15:00;  4,19
13.02.2014 10:45:00;  4,42
03.03.2014 08:15:00;  4,60
01.04.2014 10:45:00;  5,48
06.05.2014 10:15:00;  8,09
18.06.2014 18:00:00;  10,1
25.07.2014 08:45:00;  10,4
08.08.2014 12:30:00;  10,4
30.09.2014 17:00:00;  8,20
22.10.2014 00:00:00;  5,40
30.11.2014 14:45:00;  5,84
29.12.2014 11:45:00;  4,92
07.01.2015 12:30:00;  4,30
11.02.2015 17:45:00;  3,47
10.03.2015 07:45:00;  3,64
07.04.2015 15:00:00;  4,27
01.05.2015 09:00:00;  7,46
30.06.2015 16:30:00;  12,1
18.07.2015 21:30:00;  7,68
31.08.2015 15:15:00;  7,45
22.09.2015 17:15:00;  6,78
26.10.2015 15:15:00;  6,66
24.11.2015 05:00:00;  5,06
31.12.2015 11:00:00;  4,08
28.01.2016 19:30:00;  3,61
07.02.2016 13:00:00;  3,81
18.03.2016 10:15:00;  3,96
28.04.2016 05:00:00;  6,73
01.05.2016 07:45:00;  7,36
03.06.2016 12:00:00;  12,6
30.07.2016 14:15:00;  9,80
28.08.2016 13:15:00;  7,98
30.09.2016 23:59:55;  5,86
29.10.2016 14:30:00;  5,51
15.11.2016 08:30:00;  4,57
31.12.2016 12:15:00;  3,87
07.01.2017 03:00:00;  2,62
15.02.2017 04:45:00;  3,35
16.03.2017 02:45:00;  3,39
21.04.2017 10:00:00;  4,09
01.05.2017 11:00:00;  5,98
26.06.2017 13:15:00;  8,62
22.07.2017 18:15:00;  6,38
03.08.2017 02:30:00;  6,93
08.09.2017 13:30:00;  8,67
25.10.2017 00:45:00;  6,50
22.11.2017 08:30:00;  5,54
10.12.2017 16:15:00;  5,08
17.01.2018 12:00:00;  4,87
28.02.2018 08:45:00;  3,13
01.03.2018 00:00:00;  3,85
01.04.2018 18:30:00;  5,54
21.05.2018 10:15:00;  9,61
24.06.2018 13:45:00;  9,79
28.07.2018 15:00:00;  7,45
20.08.2018 02:15:00;  5,24
30.09.2018 23:59:55;  5,75
16.10.2018 18:45:00;  4,60
28.11.2018 09:00:00;  5,69
10.12.2018 14:45:00;  4,40
30.01.2019 13:00:00;  3,55
01.02.2019 17:00:00;  3,36
14.03.2019 21:30:00;  4,35
15.04.2019 00:30:00;  5,70
07.05.2019 08:30:00;  7,46
30.06.2019 11:30:00;  14,6
22.07.2019 01:30:00;  6,34
31.08.2019 23:59:55;  4,43
25.09.2019 09:45:00;  4,09
13.10.2019 03:30:00;  3,28
01.11.2019 22:15:00;  3,68
29.12.2019 03:30:00;  4,81
23.01.2020 11:30:00;  3,64
28.02.2020 01:15:00;  3,09
05.03.2020 10:30:00;  3,67
01.04.2020 07:30:00;  3,47
03.05.2020 18:15:00;  6,51
01.06.2020 10:00:00;  7,33
31.07.2020 11:30:00;  7,04
02.08.2020 07:45:00;  5,45
24.09.2020 14:15:00;  6,24
01.10.2020 07:45:00;  8,19
30.11.2020 08:00:00;  5,81
04.12.2020 20:30:00;  4,55
13.01.2021 14:45:00;  4,60
14.02.2021 01:45:00;  4,20
22.03.2021 18:15:00;  4,01
12.04.2021 05:00:00;  4,20
03.05.2021 11:00:00;  6,41
01.06.2021 10:00:00;  12,1
30.07.2021 14:45:00;  10,5
22.08.2021 10:45:00;  8,48
18.09.2021 17:15:00;  5,71
30.10.2021 15:00:00;  5,69
27.11.2021 01:30:00;  5,02
05.12.2021 11:45:00;  4,40
