Messstelle:                ;Bruck (Fuscher Ache)
30.01.1957 12:00:00;  1,67
02.02.1957 12:00:00;  1,76
04.03.1957 12:00:00;  1,49
14.04.1957 12:00:00;  3,39
10.05.1957 12:00:00;  4,49
01.06.1957 12:00:00;  6,43
19.07.1957 12:00:00;  10,2
06.08.1957 12:00:00;  10,5
29.09.1957 12:00:00;  8,05
31.10.1957 12:00:00;  3,80
27.11.1957 12:00:00;  2,45
26.12.1957 12:00:00;  1,19
26.01.1958 12:00:00;  1,85
23.02.1958 12:00:00;  1,20
24.03.1958 12:00:00;  1,29
28.04.1958 12:00:00;  1,65
04.05.1958 12:00:00;  3,46
16.06.1958 12:00:00;  6,89
19.07.1958 12:00:00;  7,20
29.08.1958 12:00:00;  7,54
16.09.1958 12:00:00;  5,96
01.10.1958 12:00:00;  6,06
28.11.1958 12:00:00;  4,24
13.12.1958 12:00:00;  2,66
29.01.1959 12:00:00;  2,03
25.02.1959 12:00:00;  1,25
17.03.1959 12:00:00; 0,900
02.04.1959 12:00:00;  1,34
04.05.1959 12:00:00;  3,20
03.06.1959 12:00:00;  5,90
27.07.1959 12:00:00;  9,80
31.08.1959 12:00:00;  8,07
30.09.1959 12:00:00;  4,37
20.10.1959 12:00:00;  1,95
10.11.1959 12:00:00;  1,42
20.12.1959 12:00:00;  1,69
24.01.1960 12:00:00;  1,67
22.02.1960 12:00:00;  1,05
21.03.1960 12:00:00;  1,19
06.04.1960 12:00:00;  1,67
09.05.1960 12:00:00;  1,19
23.06.1960 12:00:00;  8,90
11.07.1960 12:00:00;  7,54
21.08.1960 12:00:00;  8,05
29.09.1960 12:00:00;  4,93
04.10.1960 12:00:00;  4,20
30.11.1960 12:00:00;  4,78
22.12.1960 12:00:00;  2,85
21.01.1961 12:00:00;  1,71
08.02.1961 12:00:00; 0,850
30.03.1961 12:00:00;  1,21
01.04.1961 12:00:00;  1,35
02.05.1961 12:00:00;  3,99
01.06.1961 12:00:00;  6,85
26.07.1961 12:00:00;  6,40
13.08.1961 12:00:00;  6,00
30.09.1961 12:00:00;  2,00
24.10.1961 12:00:00;  2,42
21.11.1961 12:00:00;  1,53
07.12.1961 12:00:00;  1,62
19.01.1962 12:00:00;  1,28
15.02.1962 12:00:00;  1,07
01.03.1962 12:00:00;  1,14
15.04.1962 12:00:00;  1,80
04.05.1962 12:00:00;  4,53
10.06.1962 12:00:00;  8,44
08.07.1962 12:00:00;  8,92
26.08.1962 12:00:00;  5,20
29.09.1962 12:00:00;  4,36
27.10.1962 12:00:00;  1,14
30.11.1962 12:00:00;  1,28
29.12.1962 12:00:00; 0,750
23.01.1963 12:00:00; 0,510
06.02.1963 12:00:00; 0,750
05.03.1963 12:00:00; 0,850
04.04.1963 12:00:00;  1,28
05.05.1963 12:00:00;  2,61
17.06.1963 12:00:00;  5,89
21.07.1963 12:00:00;  7,28
15.08.1963 12:00:00;  6,57
30.09.1963 12:00:00;  5,04
30.10.1963 12:00:00;  2,02
30.11.1963 12:00:00;  1,62
24.12.1963 12:00:00;  1,07
25.01.1964 12:00:00; 0,550
22.02.1964 12:00:00; 0,800
09.03.1964 12:00:00; 0,800
02.04.1964 12:00:00;  1,14
02.05.1964 12:00:00;  2,48
17.06.1964 12:00:00;  4,84
03.07.1964 12:00:00;  4,10
21.08.1964 12:00:00;  4,88
29.09.1964 12:00:00;  3,49
12.10.1964 12:00:00;  2,65
07.11.1964 12:00:00;  2,78
31.12.1964 12:00:00;  1,74
29.01.1965 12:00:00;  1,38
27.02.1965 12:00:00;  1,00
05.03.1965 12:00:00;  1,10
30.04.1965 12:00:00;  1,90
01.05.1965 12:00:00;  2,10
02.06.1965 12:00:00;  13,3
24.07.1965 12:00:00;  9,96
31.08.1965 12:00:00;  10,2
25.09.1965 12:00:00;  6,76
24.10.1965 12:00:00;  2,53
30.11.1965 12:00:00;  1,58
12.12.1965 12:00:00;  1,38
29.01.1966 12:00:00;  1,15
05.02.1966 12:00:00;  1,44
31.03.1966 12:00:00;  1,38
02.04.1966 12:00:00;  1,58
12.05.1966 12:00:00;  4,68
03.06.1966 12:00:00;  6,99
09.07.1966 12:00:00;  9,96
06.08.1966 12:00:00;  13,9
24.09.1966 12:00:00;  6,34
31.10.1966 12:00:00;  3,30
30.11.1966 12:00:00;  2,74
31.12.1966 12:00:00;  2,35
31.01.1967 12:00:00;  2,07
01.02.1967 12:00:00;  1,19
20.03.1967 12:00:00;  1,53
08.04.1967 12:00:00;  2,18
05.05.1967 12:00:00;  4,90
05.06.1967 12:00:00;  10,5
29.07.1967 12:00:00;  8,28
26.08.1967 12:00:00;  4,88
20.09.1967 12:00:00;  5,24
28.10.1967 12:00:00;  2,15
27.11.1967 12:00:00;  1,86
31.12.1967 12:00:00;  1,36
12.01.1968 12:00:00;  1,02
01.02.1968 12:00:00;  1,16
14.03.1968 12:00:00; 0,900
10.04.1968 12:00:00;  2,24
04.05.1968 12:00:00;  3,40
14.06.1968 12:00:00;  6,34
06.07.1968 12:00:00;  6,70
31.08.1968 12:00:00;  7,09
02.09.1968 12:00:00;  6,89
31.10.1968 12:00:00;  4,91
24.11.1968 12:00:00;  3,17
31.12.1968 12:00:00;  2,01
06.01.1969 12:00:00;  1,52
23.02.1969 12:00:00;  1,18
07.03.1969 12:00:00;  1,24
05.04.1969 12:00:00;  1,60
23.05.1969 12:00:00;  5,24
03.06.1969 12:00:00;  5,94
01.07.1969 12:00:00;  6,34
02.08.1969 12:00:00;  4,88
18.09.1969 12:00:00;  4,72
30.10.1969 12:00:00;  1,52
07.11.1969 12:00:00;  1,29
31.12.1969 12:00:00;  1,96
29.01.1970 12:00:00;  1,61
01.02.1970 12:00:00; 0,800
13.03.1970 12:00:00; 0,700
04.04.1970 12:00:00;  1,09
03.05.1970 12:00:00;  3,28
01.06.1970 12:00:00;  9,48
31.07.1970 12:00:00;  13,0
08.08.1970 12:00:00;  11,1
29.09.1970 12:00:00;  3,90
31.10.1970 12:00:00;  3,31
18.11.1970 12:00:00;  1,60
31.12.1970 12:00:00;  1,50
01.01.1971 12:00:00; 0,720
28.02.1971 12:00:00; 0,570
02.03.1971 12:00:00; 0,700
01.04.1971 12:00:00;  1,14
03.05.1971 12:00:00;  2,76
04.06.1971 12:00:00;  4,91
10.07.1971 12:00:00;  6,50
13.08.1971 12:00:00;  5,40
23.09.1971 12:00:00;  2,94
29.10.1971 12:00:00;  2,40
19.11.1971 12:00:00; 0,980
31.12.1971 12:00:00; 0,780
17.01.1972 12:00:00; 0,560
16.02.1972 12:00:00; 0,340
15.03.1972 12:00:00; 0,600
01.04.1972 12:00:00; 0,720
05.05.1972 12:00:00;  2,26
03.06.1972 12:00:00;  4,91
08.07.1972 12:00:00;  8,37
31.08.1972 12:00:00;  3,74
27.09.1972 12:00:00;  1,80
20.10.1972 12:00:00;  1,80
27.11.1972 12:00:00;  1,50
30.12.1972 12:00:00; 0,900
25.01.1973 12:00:00; 0,560
04.02.1973 12:00:00; 0,480
11.03.1973 12:00:00; 0,660
21.04.1973 12:00:00; 0,980
02.05.1973 12:00:00;  4,21
14.06.1973 12:00:00;  7,49
14.07.1973 12:00:00;  5,94
31.08.1973 12:00:00;  4,37
17.09.1973 12:00:00;  2,37
31.10.1973 12:00:00;  2,50
30.11.1973 12:00:00;  1,91
16.12.1973 12:00:00;  1,22
15.01.1974 12:00:00;  1,14
28.02.1974 12:00:00; 0,690
01.03.1974 12:00:00; 0,760
23.04.1974 12:00:00;  2,02
08.05.1974 12:00:00;  2,02
14.06.1974 12:00:00;  7,34
20.07.1974 12:00:00;  9,72
31.08.1974 12:00:00;  4,68
13.09.1974 12:00:00;  4,34
23.10.1974 12:00:00;  2,26
04.11.1974 12:00:00;  1,90
28.12.1974 12:00:00;  1,57
29.01.1975 12:00:00;  1,08
24.02.1975 12:00:00; 0,830
07.03.1975 12:00:00; 0,690
02.04.1975 12:00:00; 0,900
02.05.1975 12:00:00;  5,23
08.06.1975 12:00:00;  5,50
29.07.1975 12:00:00;  11,3
30.08.1975 12:00:00;  7,34
18.09.1975 12:00:00;  5,61
20.10.1975 12:00:00;  2,26
21.11.1975 12:00:00; 0,900
23.12.1975 12:00:00; 0,620
29.01.1976 08:30:00; 0,534
13.02.1976 08:30:00; 0,574
22.03.1976 09:30:00; 0,371
17.04.1976 08:00:00; 0,764
04.05.1976 06:30:00;  1,59
07.06.1976 11:30:00;  6,73
14.07.1976 07:00:00;  5,35
28.08.1976 13:30:00;  3,40
27.09.1976 07:00:00;  5,39
19.10.1976 12:30:00;  1,62
25.11.1976 16:00:00; 0,995
30.12.1976 08:30:00; 0,479
22.01.1977 08:00:00; 0,386
03.02.1977 06:30:00; 0,295
02.03.1977 05:00:00; 0,798
12.04.1977 07:00:00;  1,81
16.05.1977 07:30:00;  4,72
25.06.1977 20:00:00;  6,47
28.07.1977 15:30:00;  7,06
26.08.1977 08:30:00;  6,36
28.09.1977 08:30:00;  3,34
31.10.1977 06:00:00;  1,85
30.11.1977 01:00:00; 0,756
04.12.1977 10:00:00; 0,573
27.01.1978 18:30:00; 0,159
05.02.1978 11:00:00; 0,220
20.03.1978 06:30:00; 0,465
07.04.1978 07:30:00;  1,07
02.05.1978 16:30:00;  3,62
30.06.1978 07:00:00;  5,23
01.07.1978 00:00:00;  6,95
29.08.1978 08:00:00;  3,58
05.09.1978 04:30:00;  4,83
25.10.1978 00:00:00;  3,66
26.11.1978 06:00:00;  1,87
29.12.1978 17:30:00; 0,777
24.01.1979 06:30:00; 0,581
28.02.1979 10:30:00; 0,594
02.03.1979 19:30:00; 0,567
10.04.1979 08:00:00; 0,808
03.05.1979 01:30:00;  1,30
30.06.1979 18:30:00;  10,4
28.07.1979 17:30:00;  7,41
25.08.1979 17:30:00;  7,59
18.09.1979 09:00:00;  5,56
05.10.1979 23:00:00;  3,43
24.11.1979 07:00:00;  2,07
17.12.1979 07:30:00;  1,38
28.01.1980 04:30:00; 0,714
09.02.1980 04:00:00; 0,690
05.03.1980 07:30:00; 0,536
10.04.1980 05:00:00; 0,781
05.05.1980 16:30:00;  1,84
03.06.1980 01:30:00;  6,25
06.07.1980 13:30:00;  10,9
23.08.1980 19:00:00;  4,50
27.09.1980 14:00:00;  2,27
04.10.1980 07:00:00;  2,42
28.11.1980 06:00:00;  2,09
15.12.1980 16:00:00; 0,253
05.01.1981 17:35:35; 0,000
01.02.1981 16:00:00; 0,527
02.03.1981 07:00:00; 0,834
29.04.1981 06:30:00;  3,09
05.05.1981 21:00:00;  2,13
30.06.1981 13:00:00;  7,54
05.07.1981 13:00:00;  7,63
25.08.1981 11:30:00;  4,97
07.09.1981 13:00:00;  7,39
12.10.1981 13:30:00;  4,02
30.11.1981 23:59:55;  2,07
29.12.1981 07:00:00;  1,06
21.01.1982 15:30:00; 0,733
06.02.1982 10:00:00; 0,454
24.03.1982 06:30:00; 0,782
28.04.1982 06:30:00;  1,41
01.05.1982 01:30:00;  1,30
16.06.1982 14:30:00;  9,05
24.07.1982 16:30:00;  6,78
21.08.1982 14:00:00;  6,39
25.09.1982 05:30:00;  2,68
12.10.1982 15:30:00;  1,98
30.11.1982 12:00:00;  1,12
24.12.1982 11:00:00; 0,811
26.01.1983 08:30:00; 0,018
17.02.1983 06:30:00; 0,868
04.03.1983 04:00:00; 0,933
06.04.1983 04:00:00;  1,36
03.05.1983 20:30:00;  4,58
25.06.1983 17:30:00;  6,86
28.07.1983 10:00:00;  6,96
22.08.1983 20:00:00;  5,31
09.09.1983 05:30:00;  3,12
23.10.1983 07:00:00;  2,34
23.11.1983 03:30:00;  1,03
18.12.1983 10:30:00; 0,995
31.01.1984 17:45:00; 0,697
03.02.1984 03:45:00; 0,659
07.03.1984 06:30:00; 0,665
14.04.1984 06:00:00;  1,17
01.05.1984 05:00:00;  2,57
13.06.1984 08:00:00;  3,83
14.07.1984 17:00:00;  5,32
20.08.1984 16:45:00;  6,00
29.09.1984 04:30:00;  3,71
30.10.1984 23:30:00;  3,50
28.11.1984 07:45:00;  1,03
29.12.1984 19:15:00; 0,848
31.01.1985 23:15:00; 0,681
21.02.1985 00:00:00; 0,627
13.03.1985 02:00:00; 0,627
01.04.1985 14:45:00;  1,10
04.05.1985 07:45:00;  2,81
10.06.1985 19:30:00;  6,56
18.07.1985 17:00:00;  4,12
01.08.1985 08:45:00;  8,47
30.09.1985 06:30:00;  4,42
31.10.1985 14:15:00;  1,33
30.11.1985 23:59:55; 0,800
01.12.1985 00:00:00; 0,800
18.01.1986 12:30:00; 0,783
22.02.1986 23:15:00; 0,704
02.03.1986 02:45:00; 0,694
01.04.1986 08:00:00;  1,70
10.05.1986 06:15:00;  5,45
09.06.1986 12:30:00;  6,56
15.07.1986 15:30:00;  6,56
22.08.1986 08:30:00;  5,06
30.09.1986 07:15:00; 0,872
10.10.1986 10:30:00;  1,42
29.11.1986 00:30:00; 0,397
25.12.1986 09:45:00; 0,301
16.01.1987 09:45:00; 0,269
22.02.1987 05:30:00; 0,259
07.03.1987 07:45:00; 0,201
03.04.1987 10:00:00; 0,526
05.05.1987 19:15:00;  2,04
22.06.1987 07:00:00;  6,36
24.07.1987 15:00:00;  6,31
31.08.1987 17:45:00;  7,29
27.09.1987 21:15:00;  3,10
29.10.1987 13:15:00;  1,60
08.11.1987 10:00:00; 0,984
04.12.1987 14:15:00; 0,584
10.01.1988 09:30:00; 0,981
26.02.1988 22:00:00; 0,333
08.03.1988 18:15:00; 0,169
02.04.1988 10:00:00; 0,960
03.05.1988 11:15:00;  3,07
20.06.1988 08:30:00;  3,63
09.07.1988 20:30:00;  4,09
17.08.1988 16:45:00;  5,22
22.09.1988 06:45:00;  3,55
25.10.1988 14:15:00;  2,39
21.11.1988 12:15:00; 0,342
24.12.1988 11:30:00; 0,822
04.01.1989 23:00:00; 0,822
27.02.1989 08:30:00; 0,901
10.03.1989 11:45:00; 0,780
25.04.1989 14:00:00;  2,30
02.05.1989 07:00:00;  3,18
28.06.1989 07:00:00;  5,90
20.07.1989 14:30:00;  8,57
25.08.1989 18:15:00;  4,18
30.09.1989 20:45:00;  2,45
28.10.1989 07:30:00;  1,76
26.11.1989 11:15:00; 0,962
19.12.1989 00:30:00; 0,369
07.01.1990 10:00:00; 0,338
01.02.1990 00:00:00; 0,720
20.03.1990 00:30:00;  1,74
06.04.1990 07:00:00; 0,729
02.05.1990 16:00:00;  1,17
18.06.1990 07:00:00;  3,22
30.07.1990 07:00:00;  3,18
06.08.1990 07:45:00;  3,02
02.09.1990 17:30:00;  3,25
25.10.1990 19:30:00;  2,06
19.11.1990 09:00:00;  1,55
19.12.1990 11:30:00;  1,29
29.01.1991 05:45:00; 0,596
21.02.1991 17:15:00; 0,914
02.03.1991 10:00:00;  1,13
30.04.1991 11:00:00;  1,12
09.05.1991 18:30:00;  1,37
06.06.1991 09:15:00;  3,93
24.07.1991 07:30:00;  6,52
30.08.1991 19:00:00;  3,67
05.09.1991 07:45:00;  2,66
31.10.1991 06:00:00;  1,05
30.11.1991 23:45:00;  1,05
15.12.1991 11:30:00; 0,843
31.01.1992 04:30:50; 0,880
04.02.1992 03:45:00; 0,562
01.03.1992 07:00:00;  1,05
11.04.1992 14:00:00;  1,67
05.05.1992 08:00:00;  3,58
16.06.1992 13:30:00;  3,11
06.07.1992 07:45:00;  3,08
01.08.1992 07:30:00;  3,40
30.09.1992 21:45:00;  2,16
24.10.1992 08:00:00;  2,21
19.11.1992 08:30:00;  1,67
28.12.1992 03:00:00;  2,69
02.01.1993 09:30:00;  1,71
01.02.1993 05:30:00;  1,97
12.03.1993 08:45:00;  1,87
16.04.1993 08:30:00;  1,97
14.05.1993 09:00:00;  2,22
15.06.1993 06:15:00;  3,05
13.07.1993 06:45:00;  3,45
27.08.1993 16:45:00;  2,55
28.09.1993 17:00:00;  2,55
18.10.1993 13:45:00;  1,92
18.11.1993 05:15:00;  1,81
24.12.1993 03:15:00;  1,59
15.01.1994 04:45:00; 0,988
23.02.1994 05:30:00; 0,980
01.03.1994 04:30:00;  1,30
05.04.1994 00:00:00;  1,81
04.05.1994 08:15:00;  2,42
06.06.1994 07:45:00;  2,56
28.07.1994 06:30:00;  2,42
31.08.1994 08:45:00;  2,55
26.09.1994 10:45:00;  2,55
18.10.1994 03:30:00;  1,92
14.11.1994 18:15:00;  1,49
03.12.1994 02:15:00;  1,81
05.01.1995 08:45:00;  2,05
28.02.1995 03:45:00;  1,92
23.03.1995 06:00:00;  1,81
01.04.1995 00:00:00;  2,42
08.05.1995 08:00:00;  2,29
02.06.1995 07:15:00;  2,42
19.07.1995 07:30:00;  3,48
25.08.1995 14:45:00;  1,70
25.09.1995 13:30:00;  1,81
31.10.1995 05:30:00;  1,81
30.11.1995 04:15:00;  1,56
29.12.1995 03:15:00; 0,910
05.01.1996 11:15:00; 0,956
18.02.1996 07:30:00; 0,678
04.03.1996 07:45:00; 0,738
01.04.1996 05:30:00;  1,49
09.05.1996 08:30:00;  2,02
28.06.1996 08:00:00;  2,42
01.07.1996 09:00:00;  2,28
23.08.1996 09:30:00;  2,07
20.09.1996 06:00:00;  2,34
30.10.1996 10:45:00;  2,92
19.11.1996 15:30:00;  2,23
18.12.1996 08:15:00; 0,686
30.01.1997 10:00:00;  1,01
13.02.1997 12:15:00; 0,918
13.03.1997 15:15:00;  1,04
14.04.1997 07:30:00;  1,04
01.05.1997 00:00:00;  2,55
02.06.1997 14:00:00;  2,71
29.07.1997 17:30:00;  2,28
21.08.1997 12:30:00;  2,56
25.09.1997 13:00:00;  2,02
28.10.1997 07:45:00;  1,43
06.11.1997 17:45:00;  1,22
03.12.1997 19:45:00;  1,12
27.01.1998 07:15:00; 0,807
26.02.1998 15:00:00; 0,843
05.03.1998 17:30:00; 0,550
21.04.1998 15:15:00;  1,39
25.05.1998 13:45:00;  1,61
29.06.1998 08:45:00;  2,94
20.07.1998 08:15:00;  2,53
17.08.1998 16:15:00;  2,46
06.09.1998 07:30:00;  1,84
11.10.1998 07:45:00;  2,08
02.11.1998 02:15:00;  2,97
21.12.1998 13:45:00; 0,609
27.01.1999 05:30:00; 0,191
05.02.1999 05:00:00; 0,191
22.03.1999 08:30:00; 0,464
01.04.1999 02:30:00;  1,92
05.05.1999 05:15:00;  3,95
14.06.1999 09:00:00;  6,66
13.07.1999 07:45:00;  2,96
24.08.1999 17:15:00;  2,14
28.09.1999 08:00:00;  4,93
20.10.1999 10:30:00;  1,93
27.11.1999 05:30:00;  1,39
31.12.1999 07:00:00; 0,807
31.01.2000 09:30:00; 0,672
22.02.2000 05:30:00; 0,858
06.03.2000 06:15:00; 0,972
12.04.2000 08:00:00;  1,19
31.05.2000 09:00:00;  3,00
24.06.2000 13:15:00;  2,97
29.07.2000 07:15:00;  2,44
22.08.2000 06:00:00;  2,17
17.09.2000 09:45:00;  2,06
11.10.2000 07:45:00;  1,64
03.11.2000 14:30:00; 0,774
16.12.2000 04:30:00; 0,655
31.01.2001 18:45:00;  1,35
28.02.2001 07:15:00; 0,533
01.03.2001 08:15:00; 0,694
18.04.2001 07:30:00; 0,575
10.05.2001 14:30:00;  1,97
26.06.2001 08:30:00;  2,93
08.07.2001 08:30:00;  4,93
14.08.2001 14:15:00;  5,01
04.09.2001 08:30:00;  1,76
28.10.2001 08:30:00;  2,16
14.11.2001 10:45:00; 0,800
06.12.2001 09:15:00;  1,02
11.01.2002 10:00:00; 0,558
18.02.2002 08:15:00; 0,355
19.03.2002 13:30:00; 0,237
12.04.2002 11:00:00;  1,15
16.05.2002 07:00:00;  3,34
06.06.2002 19:15:00;  3,41
11.07.2002 08:15:00;  2,55
26.08.2002 16:45:00;  1,05
14.09.2002 15:15:00;  1,83
08.10.2002 13:30:00;  1,68
16.11.2002 14:45:00;  1,01
09.12.2002 08:00:00;  1,23
28.01.2003 13:30:00; 0,473
07.02.2003 13:30:00;  1,42
17.03.2003 10:15:00; 0,466
28.04.2003 06:45:00;  1,40
15.05.2003 14:45:00;  2,30
13.06.2003 09:30:00;  4,37
23.07.2003 08:45:00;  2,35
19.08.2003 06:45:00;  1,40
10.09.2003 08:45:00;  2,45
29.10.2003 07:30:00;  1,43
01.11.2003 10:00:00; 0,912
25.12.2003 22:15:00;  1,76
10.01.2004 13:45:00; 0,671
02.02.2004 12:15:00;  1,27
17.03.2004 09:30:00;  1,40
23.04.2004 08:14:55;  1,39
18.05.2004 11:45:00;  1,40
01.06.2004 09:15:00;  2,69
22.07.2004 15:30:00;  2,36
10.08.2004 19:30:00;  2,39
03.09.2004 07:30:00;  1,71
29.10.2004 11:15:00; 0,885
30.11.2004 15:00:00; 0,874
01.12.2004 01:15:05; 0,738
29.01.2005 10:30:00; 0,452
13.02.2005 08:30:00; 0,473
04.03.2005 03:00:00; 0,807
14.04.2005 08:30:00; 0,829
07.05.2005 16:30:00;  1,40
20.06.2005 15:30:00;  1,52
22.07.2005 09:45:00;  4,91
04.08.2005 17:00:00;  1,77
20.09.2005 15:45:00;  3,35
24.10.2005 17:45:00;  2,93
16.11.2005 14:15:00;  1,46
31.12.2005 16:00:00;  1,49
19.01.2006 17:15:00; 0,956
22.02.2006 06:30:00; 0,131
04.03.2006 06:15:00; 0,131
05.04.2006 07:45:00;  1,61
01.05.2006 07:15:00;  3,00
11.06.2006 14:15:00;  3,66
19.07.2006 05:45:00;  2,15
16.08.2006 18:45:00;  2,05
21.09.2006 00:00:00;  2,17
27.10.2006 09:30:00;  1,92
02.11.2006 15:45:00; 0,880
22.12.2006 05:45:00;  1,59
14.01.2007 15:00:00;  1,51
11.02.2007 07:30:00;  1,34
05.03.2007 15:15:00;  1,42
04.04.2007 06:45:00;  1,51
04.05.2007 08:45:00;  1,19
04.06.2007 10:30:00;  2,87
30.07.2007 13:00:00;  3,72
20.08.2007 15:00:00;  2,09
29.09.2007 08:30:00;  2,69
31.10.2007 07:00:00;  1,82
01.11.2007 06:00:00;  1,72
18.12.2007 09:00:00;  1,45
30.01.2008 12:00:00;  1,19
11.02.2008 08:30:00; 0,809
06.03.2008 09:15:00;  1,26
08.04.2008 09:45:00;  1,26
04.05.2008 01:00:00;  2,13
15.06.2008 10:30:00;  3,72
15.07.2008 15:45:00;  2,69
07.08.2008 10:45:00;  5,45
30.09.2008 05:00:00;  1,92
04.10.2008 00:15:00;  1,45
17.11.2008 12:30:00; 0,664
11.12.2008 12:45:00;  1,01
26.01.2009 07:15:00; 0,865
03.02.2009 09:00:00; 0,865
21.03.2009 07:15:00; 0,986
01.04.2009 10:15:00;  1,42
06.05.2009 08:00:00;  2,56
09.06.2009 06:45:00;  3,11
01.07.2009 13:45:00;  4,24
05.08.2009 17:45:00;  1,68
24.09.2009 13:45:00;  2,82
21.10.2009 16:45:00;  1,78
30.11.2009 02:00:00; 0,809
02.12.2009 09:30:00; 0,924
25.01.2010 07:45:00; 0,414
03.02.2010 17:45:00; 0,381
16.03.2010 07:45:00; 0,715
02.04.2010 00:30:00;  1,92
20.05.2010 23:15:00;  1,98
02.06.2010 15:15:00;  4,62
13.07.2010 08:45:00;  2,20
19.08.2010 17:15:00; 0,986
30.09.2010 20:30:00;  3,44
01.10.2010 06:30:00;  1,54
25.11.2010 16:30:00;  1,92
13.12.2010 14:00:00;  1,07
31.01.2011 13:30:00; 0,986
24.02.2011 09:00:00;  1,07
08.03.2011 06:45:00; 0,884
06.04.2011 08:45:00;  1,42
02.05.2011 14:00:00;  1,51
07.06.2011 17:15:00;  5,44
22.07.2011 13:45:00;  2,82
11.08.2011 15:30:00;  5,02
27.09.2011 09:00:00;  1,68
31.10.2011 03:15:00;  2,60
11.11.2011 07:30:00;  1,54
19.12.2011 17:45:00;  1,54
17.01.2012 08:15:00; 0,704
04.02.2012 09:15:00; 0,755
31.03.2012 07:30:00;  1,72
25.04.2012 13:15:00;  1,22
19.05.2012 04:00:00;  3,29
11.06.2012 13:00:00;  3,56
10.07.2012 07:00:00;  4,26
29.08.2012 10:15:00;  1,69
17.09.2012 23:45:00;  3,89
08.10.2012 10:15:00;  1,88
12.11.2012 06:00:00;  1,33
26.12.2012 04:15:00;  1,50
15.01.2013 07:45:00;  1,05
17.02.2013 01:45:00;  1,42
31.03.2013 08:00:00;  1,05
05.04.2013 01:15:00;  1,78
23.05.2013 18:15:00;  1,19
22.06.2013 09:00:00;  2,97
30.07.2013 22:30:00;  4,45
10.08.2013 09:45:00; 0,566
26.09.2013 05:45:00; 0,914
14.10.2013 09:15:00; 0,225
