Messstelle:                ;Fischamend (Rohrbrücke)
28.08.1967 12:00:00;  4,85
01.09.1967 12:00:00;  4,52
23.10.1967 12:00:00;  5,45
02.11.1967 12:00:00;  4,04
12.12.1967 12:00:00;  5,59
15.01.1968 12:00:00;  3,66
29.02.1968 12:00:00;  6,45
17.03.1968 12:00:00;  5,70
26.04.1968 12:00:00;  5,09
20.05.1968 12:00:00;  4,41
28.06.1968 12:00:00;  4,63
11.07.1968 12:00:00;  4,41
01.08.1968 12:00:00;  4,04
24.09.1968 12:00:00;  3,66
01.10.1968 12:00:00;  4,91
17.11.1968 12:00:00;  5,18
16.12.1968 12:00:00;  4,41
08.01.1969 12:00:00;  4,52
18.02.1969 12:00:00;  5,05
11.03.1969 12:00:00;  7,58
29.04.1969 12:00:00;  7,43
31.05.1969 12:00:00;  4,16
03.06.1969 12:00:00;  4,41
28.07.1969 12:00:00;  3,72
06.08.1969 12:00:00;  3,96
11.09.1969 12:00:00;  4,33
25.10.1969 12:00:00;  4,72
17.11.1969 12:00:00;  4,20
22.12.1969 12:00:00;  3,49
01.01.1970 12:00:00;  3,84
04.02.1970 12:00:00;  5,13
09.03.1970 12:00:00;  8,60
30.04.1970 12:00:00;  10,2
29.05.1970 12:00:00;  4,59
29.06.1970 12:00:00;  4,41
14.07.1970 12:00:00;  4,91
20.08.1970 12:00:00;  5,13
22.09.1970 12:00:00;  4,41
03.10.1970 12:00:00;  6,14
06.11.1970 12:00:00;  6,14
21.12.1970 12:00:00;  5,27
14.01.1971 12:00:00;  4,66
28.02.1971 12:00:00;  4,91
01.03.1971 12:00:00;  4,41
28.04.1971 12:00:00;  4,46
21.05.1971 12:00:00;  3,79
29.06.1971 12:00:00;  4,41
30.07.1971 12:00:00;  3,91
04.08.1971 12:00:00;  3,54
06.09.1971 12:00:00;  3,38
25.10.1971 12:00:00;  4,20
16.11.1971 12:00:00;  3,72
15.12.1971 12:00:00;  6,14
25.01.1972 12:00:00;  4,08
06.02.1972 12:00:00;  4,20
27.03.1972 12:00:00;  5,41
01.04.1972 12:00:00;  6,00
20.05.1972 12:00:00;  7,20
30.06.1972 12:00:00;  5,97
09.07.1972 12:00:00;  4,85
28.08.1972 12:00:00;  8,05
29.09.1972 12:00:00;  6,59
08.10.1972 12:00:00;  5,58
13.11.1972 12:00:00;  5,21
27.12.1972 12:00:00;  4,63
26.01.1973 12:00:00;  4,89
27.02.1973 12:00:00;  5,21
02.03.1973 12:00:00;  5,45
13.04.1973 12:00:00;  7,17
30.05.1973 12:00:00;  5,28
17.06.1973 12:00:00;  4,89
16.07.1973 12:00:00;  4,63
21.08.1973 12:00:00;  4,63
04.09.1973 12:00:00;  4,52
18.10.1973 12:00:00;  4,33
14.11.1973 12:00:00;  4,59
05.12.1973 12:00:00;  5,85
07.01.1974 12:00:00;  6,36
26.02.1974 12:00:00;  6,76
05.03.1974 12:00:00;  5,83
16.04.1974 12:00:00;  5,09
31.05.1974 12:00:00;  4,95
28.06.1974 12:00:00;  4,16
06.07.1974 12:00:00;  3,62
16.08.1974 12:00:00;  3,19
16.09.1974 12:00:00;  3,62
02.10.1974 12:00:00;  3,89
02.11.1974 12:00:00;  4,02
01.12.1974 12:00:00;  5,91
31.01.1975 12:00:00;  6,52
24.02.1975 12:00:00;  4,42
06.03.1975 12:00:00;  4,00
27.04.1975 12:00:00;  5,09
29.05.1975 12:00:00;  2,88
16.06.1975 12:00:00;  2,09
22.07.1975 12:00:00;  6,49
24.08.1975 12:00:00;  4,18
30.09.1975 12:00:00;  3,84
06.10.1975 12:00:00;  3,39
07.11.1975 12:00:00;  4,24
10.12.1975 12:00:00;  5,13
03.01.1976 01:30:00;  6,77
26.02.1976 07:15:00;  6,77
29.03.1976 20:30:00;  6,18
20.04.1976 09:30:00;  4,65
26.05.1976 14:15:00;  4,18
26.06.1976 21:00:00;  2,84
05.07.1976 22:15:00;  1,59
26.08.1976 15:30:00;  2,97
28.09.1976 16:45:00;  3,79
26.10.1976 11:00:00;  4,16
03.11.1976 18:15:00;  4,50
31.12.1976 11:00:00;  6,60
24.01.1977 11:30:00;  5,71
03.02.1977 19:00:00;  8,01
31.03.1977 08:00:00;  7,63
27.04.1977 20:30:00;  7,17
12.05.1977 07:45:00;  4,10
21.06.1977 17:00:00;  3,59
11.07.1977 19:45:00;  3,28
21.08.1977 14:15:00;  3,25
06.09.1977 12:00:00;  3,32
29.10.1977 09:15:00;  3,77
19.11.1977 16:30:00;  1,07
09.12.1977 14:00:00;  3,07
25.01.1978 13:15:00;  4,06
22.02.1978 06:00:00;  4,66
20.03.1978 14:00:00;  5,44
28.04.1978 06:45:00;  4,38
04.05.1978 13:15:00;  5,27
21.06.1978 06:30:00;  3,21
28.07.1978 02:30:00;  2,97
30.08.1978 17:15:00;  2,35
10.09.1978 08:15:00;  1,82
04.10.1978 09:45:00;  3,08
04.11.1978 11:00:00;  3,61
08.12.1978 04:00:00;  3,43
10.01.1979 00:00:00;  2,72
02.02.1979 18:15:00;  5,32
03.03.1979 02:45:00;  5,25
02.04.1979 13:15:00;  6,22
30.05.1979 21:15:00;  4,57
15.06.1979 16:45:00;  3,77
27.07.1979 06:15:00;  4,20
14.08.1979 13:00:00;  3,32
17.09.1979 20:15:00;  2,84
26.10.1979 22:30:00;  3,07
10.11.1979 00:30:00;  3,84
27.12.1979 07:00:00;  6,11
15.01.1980 08:45:00;  4,43
01.02.1980 15:45:00;  5,63
15.03.1980 20:15:00;  5,39
01.04.1980 08:15:00;  7,91
30.05.1980 14:15:00;  6,74
16.06.1980 15:00:00;  3,61
25.07.1980 18:00:00;  2,37
11.08.1980 07:15:00;  2,02
26.09.1980 06:30:00;  3,76
02.10.1980 03:30:00;  3,64
03.11.1980 07:45:00;  4,15
02.12.1980 22:15:00;  5,76
28.01.1981 18:30:00;  6,24
02.02.1981 08:45:00;  6,08
07.03.1981 11:45:00;  6,40
23.04.1981 00:15:00;  4,75
31.05.1981 18:30:00;  3,40
17.06.1981 03:30:00;  2,72
10.07.1981 15:45:00;  1,22
07.08.1981 11:30:00;  2,27
08.09.1981 13:00:00;  3,52
05.10.1981 11:45:00;  4,06
08.11.1981 03:15:00;  4,11
21.12.1981 15:15:00;  3,98
28.01.1982 12:15:00;  6,93
28.02.1982 14:00:00;  7,95
06.03.1982 17:15:00;  7,22
29.04.1982 13:00:00;  5,24
20.05.1982 15:30:00;  4,07
29.06.1982 15:15:00;  4,56
21.07.1982 02:00:00;  5,11
24.08.1982 13:45:00;  4,33
03.09.1982 06:30:00;  4,16
01.10.1982 12:45:00;  5,87
06.11.1982 21:45:00;  5,16
11.12.1982 05:45:00;  4,22
03.01.1983 14:30:00;  6,89
10.02.1983 08:45:00;  6,52
21.03.1983 17:30:00;  7,43
14.04.1983 14:45:00;  5,14
22.05.1983 17:00:00;  4,60
06.06.1983 05:45:00;  3,68
28.07.1983 06:15:00;  2,70
01.08.1983 07:45:00;  1,74
08.09.1983 13:00:00;  2,21
06.10.1983 06:00:00;  2,74
30.11.1983 19:00:00;  2,65
01.12.1983 02:30:00;  2,95
14.01.1984 16:45:00;  4,10
22.02.1984 07:15:00;  3,77
24.03.1984 15:00:00;  3,98
28.04.1984 10:15:00;  5,28
06.05.1984 16:15:00;  3,80
15.06.1984 15:30:00;  3,59
26.07.1984 00:00:00;  2,89
23.08.1984 15:00:00;  2,59
12.09.1984 05:30:00;  2,73
01.10.1984 17:00:00;  4,41
28.11.1984 08:15:00;  3,14
11.12.1984 01:45:00;  3,50
10.01.1985 13:15:00;  1,55
20.02.1985 11:45:00;  4,56
17.03.1985 22:15:00;  4,66
26.04.1985 09:30:00;  5,28
28.05.1985 10:45:00;  5,30
30.06.1985 12:45:00;  4,71
12.07.1985 15:30:00;  3,30
01.08.1985 00:00:00;  4,15
26.09.1985 16:30:00;  4,26
16.10.1985 17:15:00;  3,56
18.11.1985 05:45:00;  3,52
02.12.1985 19:15:00;  5,26
08.01.1986 16:00:00;  6,48
14.02.1986 06:15:00;  4,23
01.03.1986 13:45:00;  6,48
25.04.1986 11:00:00;  6,71
22.05.1986 13:00:00;  3,93
29.06.1986 11:30:00;  4,80
31.07.1986 14:15:00;  2,67
09.08.1986 16:00:00;  2,14
03.09.1986 18:15:00;  3,23
16.10.1986 09:15:00;  3,31
23.11.1986 05:30:00;  5,18
29.12.1986 10:15:00;  3,70
13.01.1987 13:45:00;  2,09
01.02.1987 09:15:00;  4,02
15.03.1987 13:15:00;  7,59
27.04.1987 06:30:00;  9,03
03.05.1987 21:15:00;  5,89
04.06.1987 17:45:00;  6,09
14.07.1987 06:45:00;  3,26
14.08.1987 18:30:00;  4,09
19.09.1987 12:00:00;  4,32
02.10.1987 07:30:00;  4,07
24.11.1987 21:45:00;  5,43
13.12.1987 02:30:00;  5,53
18.01.1988 17:30:00;  6,21
09.02.1988 02:45:00;  4,49
02.03.1988 17:15:00;  6,60
22.04.1988 08:15:00;  7,44
28.05.1988 07:45:00;  5,70
29.06.1988 14:30:00;  4,49
11.07.1988 20:45:00;  3,19
02.08.1988 20:30:00;  3,52
02.09.1988 14:45:00;  4,12
26.10.1988 16:00:00;  4,37
05.11.1988 11:00:00;  3,70
01.12.1988 11:30:00;  6,59
30.01.1989 11:30:00;  7,63
09.02.1989 16:30:00;  5,84
28.03.1989 09:00:00;  6,59
14.04.1989 07:45:00;  5,84
31.05.1989 01:30:00;  6,46
07.06.1989 07:15:00;  6,21
07.07.1989 14:00:00;  5,21
30.08.1989 00:15:00;  6,34
18.09.1989 18:15:00;  5,71
23.10.1989 18:00:00;  4,99
06.11.1989 12:15:00;  6,72
11.12.1989 12:00:00;  5,58
16.01.1990 04:30:00;  3,46
07.02.1990 10:45:00;  6,04
31.03.1990 11:30:00;  5,84
11.04.1990 06:30:00;  5,23
07.05.1990 11:30:00;  5,23
05.06.1990 07:00:00;  4,52
15.07.1990 16:45:00;  4,14
29.08.1990 09:30:00;  3,79
21.09.1990 21:45:00;  3,63
08.10.1990 09:00:00;  3,30
16.11.1990 23:15:00;  4,66
04.12.1990 06:00:00;  4,41
25.01.1991 11:15:00;  5,71
16.02.1991 17:45:00;  3,81
28.03.1991 16:15:00;  4,21
23.04.1991 20:45:00;  3,79
14.05.1991 11:30:00;  5,35
30.06.1991 13:30:00;  6,60
13.07.1991 06:45:00;  5,05
26.08.1991 07:15:00;  7,22
23.09.1991 13:30:00;  5,55
28.10.1991 07:30:00;  3,86
11.11.1991 11:45:00;  4,93
10.12.1991 09:00:00;  6,05
28.01.1992 05:00:00;  7,76
02.02.1992 11:15:00;  8,17
06.03.1992 13:45:00;  7,76
30.04.1992 10:00:00;  7,63
13.05.1992 13:30:00;  4,57
03.06.1992 13:30:00;  5,25
07.07.1992 06:15:00;  3,46
11.08.1992 02:30:00;  2,24
14.09.1992 17:30:00;  2,11
27.10.1992 08:15:00;  3,79
05.11.1992 10:45:00;  4,29
30.12.1992 12:30:00;  7,39
06.01.1993 11:15:00;  6,34
25.02.1993 13:15:00;  6,60
02.03.1993 11:00:00;  7,66
28.04.1993 08:00:00;  7,77
21.05.1993 21:30:00;  3,74
15.06.1993 13:30:00;  3,96
12.07.1993 09:30:00;  3,35
17.08.1993 00:30:00;  4,87
27.09.1993 13:30:00;  4,52
14.10.1993 11:15:00;  4,52
25.11.1993 14:45:00;  6,46
14.12.1993 14:15:00;  5,23
26.01.1994 08:00:00;  7,77
15.02.1994 08:15:00;  6,79
04.03.1994 12:00:00;  6,86
07.04.1994 06:45:00;  5,47
19.05.1994 04:15:00;  5,86
27.06.1994 08:00:00;  4,18
17.07.1994 15:45:00;  3,35
08.08.1994 08:15:00;  3,52
16.09.1994 13:45:00;  3,99
03.10.1994 13:15:00;  3,92
09.11.1994 16:45:00;  5,41
27.12.1994 10:30:00;  5,35
14.01.1995 09:00:00;  6,32
13.02.1995 12:30:00;  7,24
20.03.1995 20:30:00;  7,37
10.04.1995 08:45:00;  9,42
28.05.1995 06:15:00;  5,60
01.06.1995 12:30:00;  6,09
19.07.1995 11:30:00;  4,66
07.08.1995 14:45:00;  3,20
12.09.1995 12:30:00;  5,48
21.10.1995 07:00:00;  5,36
03.11.1995 11:45:00;  5,48
18.12.1995 01:00:00;  5,36
07.01.1996 12:00:00;  8,43
15.02.1996 07:45:00;  6,72
15.03.1996 08:00:00;  7,37
01.04.1996 16:30:00;  10,1
06.05.1996 05:15:00;  10,6
15.06.1996 04:00:00;  7,93
28.07.1996 08:45:00;  7,63
20.08.1996 07:30:00;  4,93
01.09.1996 00:15:00;  7,36
13.10.1996 06:15:00;  7,24
30.11.1996 12:30:00;  7,25
29.12.1996 09:45:00;  6,31
27.01.1997 06:06:00;  6,29
19.02.1997 12:58:10;  6,18
17.03.1997 04:00:50;  5,32
11.04.1997 15:24:50;  8,81
16.05.1997 17:02:25;  7,12
11.06.1997 10:28:40;  6,66
03.07.1997 19:46:20;  7,24
30.08.1997 14:47:30;  7,31
06.09.1997 03:13:50;  6,19
26.10.1997 09:25:35;  5,78
03.11.1997 06:57:15;  6,07
31.12.1997 22:50:20;  8,21
13.01.1998 06:46:50;  4,96
04.02.1998 13:14:40;  6,10
16.03.1998 09:56:35;  4,19
30.04.1998 13:17:50;  6,23
15.05.1998 09:27:40;  3,25
29.06.1998 08:15:25;  4,38
21.07.1998 13:45:40;  3,45
29.08.1998 23:09:20;  4,06
05.09.1998 10:16:20;  4,64
02.10.1998 23:01:55;  4,19
02.11.1998 10:39:45;  4,91
08.12.1998 23:00:15;  5,71
31.01.1999 14:35:30;  6,63
01.02.1999 14:13:20;  6,41
26.03.1999 04:51:00;  8,46
29.04.1999 11:50:35;  8,10
20.05.1999 09:06:00;  7,92
21.06.1999 13:25:15;  4,56
06.07.1999 23:28:10;  5,74
15.08.1999 10:43:20;  6,26
21.09.1999 05:59:10;  8,17
31.10.1999 09:14:30;  6,58
02.11.1999 18:48:45;  5,05
28.12.1999 15:06:25;  5,69
12.01.2000 19:36:55;  5,23
19.02.2000 05:45:50;  8,87
07.03.2000 13:29:10;  8,05
28.04.2000 21:09:25;  8,52
25.05.2000 06:06:25;  4,48
15.06.2000 14:31:10;  3,09
26.07.2000 09:05:40;  3,12
22.08.2000 06:00:55;  4,10
23.09.2000 13:41:55;  3,92
15.10.2000 11:55:45;  5,07
19.11.2000 13:25:05;  4,84
11.12.2000 05:28:15;  4,14
25.01.2001 10:47:15;  6,00
05.02.2001 07:08:30;  5,82
08.03.2001 17:29:40;  6,49
22.04.2001 14:32:50;  5,03
29.05.2001 08:02:40;  3,00
22.06.2001 12:14:35;  3,17
05.07.2001 00:40:35;  2,41
14.08.2001 12:17:10;  2,32
01.09.2001 05:01:50;  3,36
22.10.2001 04:01:15;  4,85
09.11.2001 09:50:20;  4,24
20.12.2001 14:10:20;  3,91
15.01.2002 18:34:25;  5,30
28.02.2002 11:49:05;  4,57
08.03.2002 05:14:00;  4,93
30.04.2002 18:50:55;  6,93
19.05.2002 11:23:10;  4,57
03.06.2002 08:24:35;  4,66
16.07.2002 12:46:30;  2,70
01.08.2002 01:49:55;  5,77
21.09.2002 21:48:15;  5,11
10.10.2002 06:56:00;  7,00
02.11.2002 16:01:25;  8,01
22.12.2002 04:25:30;  8,37
24.01.2003 01:05:00;  8,77
15.02.2003 08:45:00;  6,83
25.03.2003 01:35:00;  6,07
27.04.2003 16:55:00;  7,06
17.05.2003 13:40:00;  5,36
28.06.2003 09:35:00;  3,11
22.07.2003 16:35:00;  3,93
28.08.2003 06:05:00;  2,29
02.09.2003 06:45:00;  2,49
24.10.2003 12:10:00;  1,50
01.11.2003 14:15:00;  4,59
05.12.2003 15:10:00;  3,43
09.01.2004 04:15:00;  5,82
01.02.2004 08:30:00;  6,69
03.03.2004 15:25:00;  6,80
19.04.2004 14:30:00;  6,20
07.05.2004 07:20:00;  4,70
20.06.2004 22:10:00;  7,24
31.07.2004 21:40:00;  5,70
26.08.2004 14:40:00;  4,25
17.09.2004 05:10:00;  3,18
30.10.2004 11:20:00;  4,40
05.11.2004 00:10:00;  4,23
06.12.2004 15:20:00;  5,37
12.01.2005 08:50:00;  6,01
10.02.2005 15:50:00;  5,06
10.03.2005 16:50:00;  5,79
29.04.2005 13:30:00;  7,04
13.05.2005 11:00:00;  4,59
22.06.2005 12:00:00;  4,33
30.07.2005 18:00:00;  4,58
12.08.2005 14:50:00;  4,69
15.09.2005 15:10:00;  4,59
16.10.2005 19:40:00;  4,19
02.11.2005 10:20:00;  5,53
03.12.2005 04:50:00;  5,57
30.01.2006 10:00:00;  6,47
05.02.2006 10:20:00;  6,51
08.03.2006 19:20:00;  8,55
29.04.2006 04:20:00;  7,04
25.05.2006 23:40:00;  7,39
26.06.2006 09:00:00;  6,85
27.07.2006 14:20:00;  4,88
01.08.2006 16:00:00;  3,83
22.09.2006 15:50:00;  4,51
04.10.2006 07:20:00;  3,46
30.11.2006 23:10:00;  6,35
04.12.2006 20:30:00;  5,68
19.01.2007 07:10:00;  4,46
09.02.2007 09:40:00;  4,42
18.03.2007 03:00:00;  6,71
29.04.2007 18:30:00;  5,65
25.05.2007 23:30:00;  4,75
27.06.2007 20:50:00;  3,19
17.07.2007 15:40:00;  2,07
06.08.2007 04:50:00;  3,04
04.09.2007 01:10:00;  2,69
20.10.2007 10:00:00;  6,13
04.11.2007 15:30:00;  8,50
30.12.2007 18:30:00;  9,74
27.01.2008 17:40:00;  9,19
25.02.2008 09:20:00;  7,53
01.03.2008 12:30:00;  5,28
18.04.2008 23:30:00;  6,12
26.05.2008 13:50:00;  4,12
23.06.2008 07:10:00;  4,07
07.07.2008 20:50:00;  6,29
31.08.2008 21:20:00;  7,33
10.09.2008 05:50:00;  5,53
30.10.2008 19:00:00;  6,74
19.11.2008 09:50:00;  5,89
02.12.2008 13:20:00;  7,04
12.01.2009 22:20:00;  6,73
02.02.2009 13:00:00;  7,58
02.03.2009 20:00:00;  10,7
29.04.2009 08:10:00;  9,49
25.05.2009 18:20:00;  6,31
19.06.2009 20:30:00;  6,07
23.07.2009 21:50:00;  9,02
03.08.2009 02:40:00;  7,70
30.09.2009 06:00:00;  5,65
30.10.2009 18:00:00;  6,66
03.11.2009 00:10:00;  6,50
19.12.2009 12:10:00;  5,78
28.01.2010 09:20:00;  7,21
14.02.2010 11:20:00;  6,96
12.03.2010 15:40:00;  7,70
09.04.2010 16:00:00;  7,78
11.05.2010 15:40:00;  4,68
11.06.2010 10:40:00;  8,02
12.07.2010 17:20:00;  4,86
02.08.2010 17:10:00;  6,02
20.09.2010 13:10:00;  6,01
23.10.2010 09:00:00;  7,16
24.11.2010 10:30:00;  6,84
20.12.2010 07:40:00;  6,44
08.01.2011 07:50:00;  6,05
28.02.2011 22:30:00;  7,19
13.03.2011 10:50:00;  5,16
30.04.2011 11:10:00;  5,12
30.05.2011 14:40:00;  3,21
17.06.2011 02:30:00;  3,96
21.07.2011 15:40:00;  3,98
26.08.2011 08:00:00;  3,92
06.09.2011 14:40:00;  2,89
31.10.2011 14:10:00;  3,17
21.11.2011 10:40:00;  5,39
31.12.2011 16:20:00;  5,20
01.01.2012 00:10:00;  5,17
11.02.2012 17:20:00;  4,81
25.03.2012 13:20:00;  6,40
30.04.2012 22:40:00;  4,15
19.05.2012 19:40:00;  2,18
19.06.2012 21:50:00;  3,22
01.07.2012 19:10:00;  3,46
27.08.2012 16:00:00;  1,39
11.09.2012 23:30:00;  3,82
02.10.2012 20:00:00;  4,42
02.11.2012 14:20:00;  5,61
15.12.2012 07:10:00;  6,03
04.01.2013 20:10:00;  7,76
24.02.2013 20:40:00;  9,12
28.03.2013 14:30:00;  9,97
30.04.2013 16:40:00;  8,80
23.05.2013 13:50:00;  7,30
22.06.2013 02:10:00;  7,89
30.07.2013 06:30:00;  4,59
20.08.2013 01:40:00;  2,97
04.09.2013 08:40:00;  5,05
06.10.2013 13:20:00;  5,21
04.11.2013 17:50:00;  5,87
30.12.2013 23:00:00;  7,60
31.01.2014 10:10:00;  5,79
03.02.2014 10:05:00;  5,39
13.03.2014 18:25:00;  4,78
08.04.2014 10:45:00;  5,35
02.05.2014 12:55:00;  5,74
29.06.2014 10:30:00;  4,92
21.07.2014 16:30:00;  3,91
07.08.2014 14:00:00;  4,65
01.09.2014 00:00:00;  7,36
13.10.2014 10:00:00;  8,32
10.11.2014 07:30:00;  8,54
31.12.2014 21:40:00;  8,41
01.01.2015 11:00:00;  8,38
16.02.2015 15:00:00;  8,50
25.03.2015 19:00:00;  7,74
30.04.2015 12:20:00;  6,67
12.05.2015 16:10:00;  5,73
30.06.2015 12:30:00;  4,01
20.07.2015 16:40:00;  2,69
16.08.2015 17:50:00;  2,41
03.09.2015 10:00:00;  3,06
04.10.2015 18:50:00;  3,45
19.11.2015 13:30:00;  4,29
13.12.2015 04:20:00;  4,95
23.01.2016 16:30:00;  5,23
01.02.2016 00:00:00;  7,27
31.03.2016 08:00:00;  7,25
30.04.2016 19:50:00;  5,36
01.05.2016 18:30:00;  5,34
30.06.2016 14:30:00;  5,70
01.07.2016 01:10:00;  5,85
31.08.2016 06:10:00;  5,86
16.09.2016 07:40:00;  4,65
02.10.2016 14:30:00;  4,76
03.11.2016 20:00:00;  6,46
23.12.2016 12:00:00;  6,60
28.01.2017 08:10:00;  5,87
03.02.2017 10:00:00;  5,85
07.03.2017 19:30:00;  6,23
15.04.2017 15:50:00;  6,68
19.05.2017 10:20:00;  6,02
22.06.2017 17:40:00;  2,61
31.07.2017 13:20:00;  3,15
29.08.2017 19:50:00;  2,63
01.09.2017 09:10:00;  3,55
