Messstelle:                ;Saalfelden
23.11.1966 12:00:00;  1,15
16.12.1966 12:00:00;  1,15
26.01.1967 12:00:00;  1,05
21.02.1967 12:00:00;  1,15
23.03.1967 12:00:00;  2,43
03.04.1967 12:00:00;  2,98
06.05.1967 12:00:00;  9,10
30.06.1967 12:00:00;  6,90
31.07.1967 12:00:00;  4,19
31.08.1967 12:00:00;  2,50
30.09.1967 12:00:00;  1,75
31.10.1967 12:00:00;  1,31
27.11.1967 12:00:00;  1,02
31.12.1967 12:00:00;  1,02
31.01.1968 12:00:00; 0,930
15.02.1968 12:00:00; 0,930
13.03.1968 12:00:00;  1,02
15.04.1968 12:00:00;  5,12
24.05.1968 12:00:00;  3,98
29.06.1968 12:00:00;  3,01
14.07.1968 12:00:00;  2,67
30.08.1968 12:00:00;  3,77
19.09.1968 12:00:00;  2,84
31.10.1968 12:00:00;  2,05
24.11.1968 12:00:00;  1,42
31.12.1968 12:00:00; 0,930
12.01.1969 12:00:00; 0,930
23.02.1969 12:00:00; 0,930
03.03.1969 12:00:00; 0,750
05.04.1969 12:00:00;  1,75
29.05.1969 12:00:00;  2,84
25.06.1969 12:00:00;  3,35
31.07.1969 12:00:00;  2,84
13.08.1969 12:00:00;  1,75
30.09.1969 12:00:00;  2,35
23.10.1969 12:00:00;  1,42
24.11.1969 12:00:00;  1,31
18.12.1969 12:00:00;  1,11
31.01.1970 12:00:00; 0,630
21.02.1970 12:00:00; 0,580
11.03.1970 12:00:00; 0,630
07.04.1970 12:00:00; 0,950
04.05.1970 12:00:00;  5,45
28.06.1970 12:00:00;  5,26
14.07.1970 12:00:00;  3,25
08.08.1970 12:00:00;  3,62
30.09.1970 12:00:00;  1,41
01.10.1970 12:00:00;  1,82
18.11.1970 12:00:00;  1,96
31.12.1970 12:00:00; 0,820
31.01.1971 12:00:00; 0,580
28.02.1971 12:00:00; 0,580
14.03.1971 12:00:00; 0,580
03.04.1971 12:00:00;  1,52
28.05.1971 12:00:00;  1,96
05.06.1971 12:00:00;  1,96
31.07.1971 12:00:00;  1,38
21.08.1971 12:00:00; 0,760
24.09.1971 12:00:00; 0,760
31.10.1971 12:00:00; 0,760
19.11.1971 12:00:00; 0,630
08.12.1971 12:00:00; 0,580
31.01.1972 12:00:00; 0,490
13.02.1972 12:00:00; 0,400
11.03.1972 12:00:00; 0,820
01.04.1972 12:00:00;  1,18
03.05.1972 12:00:00;  2,11
16.06.1972 12:00:00;  3,41
19.07.1972 12:00:00;  3,20
31.08.1972 12:00:00;  2,11
30.09.1972 12:00:00; 0,890
08.10.1972 12:00:00; 0,690
30.11.1972 12:00:00;  1,96
31.12.1972 12:00:00; 0,820
31.01.1973 12:00:00; 0,630
09.02.1973 12:00:00; 0,580
21.03.1973 12:00:00; 0,630
21.04.1973 12:00:00;  2,26
31.05.1973 12:00:00;  6,25
17.06.1973 12:00:00;  4,63
21.07.1973 12:00:00;  3,43
28.08.1973 12:00:00;  1,58
21.09.1973 12:00:00;  1,58
16.10.1973 12:00:00;  1,37
06.11.1973 12:00:00;  2,25
19.12.1973 12:00:00;  1,98
04.01.1974 12:00:00;  1,47
15.02.1974 12:00:00;  1,98
03.03.1974 12:00:00;  1,98
23.04.1974 12:00:00;  4,21
28.05.1974 12:00:00;  5,05
21.06.1974 12:00:00;  7,68
16.07.1974 12:00:00;  5,97
25.08.1974 12:00:00;  3,05
20.09.1974 12:00:00;  2,25
22.10.1974 12:00:00;  2,57
15.11.1974 12:00:00;  2,25
28.12.1974 12:00:00;  2,57
29.01.1975 12:00:00;  2,57
25.02.1975 12:00:00;  1,58
02.03.1975 12:00:00;  1,98
04.04.1975 12:00:00;  2,89
31.05.1975 12:00:00;  9,65
13.06.1975 12:00:00;  3,25
31.07.1975 12:00:00;  6,25
22.08.1975 12:00:00;  2,77
30.09.1975 12:00:00;  1,25
17.10.1975 12:00:00; 0,650
17.11.1975 12:00:00; 0,500
31.12.1975 12:00:00; 0,760
04.01.1976 20:59:55;  1,10
10.02.1976 08:00:00; 0,839
01.03.1976 00:00:00;  1,30
01.04.1976 00:00:00;  4,85
01.05.1976 02:00:00;  4,85
28.06.1976 08:00:00;  2,33
07.07.1976 08:00:00;  1,55
15.08.1976 08:00:00;  2,33
01.09.1976 00:00:00;  2,33
29.10.1976 12:00:00;  1,14
11.11.1976 08:00:00;  1,23
01.12.1976 00:00:00;  1,44
07.01.1977 08:00:00; 0,972
01.02.1977 02:00:00; 0,972
02.03.1977 08:00:00;  2,50
17.04.1977 08:00:00;  3,16
28.05.1977 08:00:00;  5,46
02.06.1977 08:00:00;  3,25
29.07.1977 08:00:00;  2,87
18.08.1977 08:00:00;  2,33
06.09.1977 08:00:00;  1,15
14.10.1977 08:00:00;  1,65
07.11.1977 08:00:00;  1,30
01.12.1977 00:00:00;  1,30
01.01.1978 00:00:00;  1,44
14.02.1978 14:00:00; 0,898
19.03.1978 08:00:00;  1,97
17.04.1978 08:00:00;  3,16
17.05.1978 08:00:00;  4,96
19.06.1978 08:00:00;  2,80
17.07.1978 08:00:00;  3,60
24.08.1978 08:00:00;  1,23
01.09.1978 02:00:00;  1,23
19.10.1978 08:00:00;  1,87
25.11.1978 08:00:00;  1,04
01.12.1978 00:00:00;  1,04
23.01.1979 00:01:00; 0,873
01.02.1979 02:00:00; 0,800
01.03.1979 00:00:00; 0,800
01.04.1979 00:00:00;  1,87
01.05.1979 00:00:00;  3,82
10.06.1979 08:00:00;  3,82
07.07.1979 08:00:00;  2,80
23.08.1979 08:00:00;  2,80
07.09.1979 08:00:00;  2,39
27.10.1979 08:00:00;  1,46
01.11.1979 00:00:00;  1,46
19.12.1979 08:00:00;  2,33
11.01.1980 00:01:00; 0,341
01.02.1980 00:00:00; 0,909
01.03.1980 00:00:00; 0,909
09.04.1980 08:00:00;  2,87
01.05.1980 00:00:00;  5,46
22.06.1980 08:00:00;  5,46
31.07.1980 08:00:00;  4,29
28.08.1980 08:00:00;  1,55
21.09.1980 10:00:00;  1,83
04.10.1980 10:00:00;  1,69
14.11.1980 10:00:00;  1,69
19.12.1980 08:00:00;  1,44
26.01.1981 00:01:00;  1,14
18.02.1981 00:01:00;  1,05
03.03.1981 08:00:00; 0,972
28.04.1981 08:00:00;  3,81
01.05.1981 00:00:00;  3,81
25.06.1981 10:00:00;  2,93
10.07.1981 08:00:00;  2,14
16.08.1981 08:00:00;  1,28
30.09.1981 10:00:00;  3,19
11.10.1981 08:00:00;  1,72
10.11.1981 08:00:00;  2,14
25.12.1981 10:00:00;  1,33
27.01.1982 08:00:00; 0,972
27.02.1982 00:01:00;  1,05
01.03.1982 02:00:00; 0,972
30.04.1982 08:00:00;  3,86
02.05.1982 10:00:00;  3,06
22.06.1982 08:00:00;  5,22
12.07.1982 08:00:00;  3,25
31.08.1982 08:00:00;  2,31
17.09.1982 10:00:00;  1,23
30.10.1982 10:00:00;  1,05
04.11.1982 08:00:00; 0,898
25.12.1982 10:00:00; 0,419
01.01.1983 00:00:00; 0,596
23.02.1983 00:01:00; 0,694
05.03.1983 18:00:00; 0,419
06.04.1983 08:00:00;  2,33
29.05.1983 18:00:00;  3,25
01.06.1983 00:00:00;  3,25
30.07.1983 08:00:00;  1,56
29.08.1983 08:00:00;  1,56
01.09.1983 02:00:00;  1,44
04.10.1983 08:00:00;  1,33
21.11.1983 00:01:00; 0,767
14.12.1983 00:01:00; 0,972
27.01.1984 00:01:00; 0,972
01.02.1984 00:00:00; 0,972
01.03.1984 00:00:00; 0,972
04.04.1984 18:00:00;  2,70
01.05.1984 02:00:00;  4,94
13.06.1984 18:00:00;  4,26
21.07.1984 18:00:00;  2,99
31.08.1984 23:59:55;  2,68
02.09.1984 18:00:00;  2,33
30.10.1984 08:00:00;  1,56
14.11.1984 08:00:00;  1,05
20.12.1984 18:00:00; 0,830
17.01.1985 00:01:00; 0,655
26.02.1985 10:00:00; 0,536
01.03.1985 02:00:00; 0,600
01.04.1985 02:00:00;  2,21
01.05.1985 00:00:00;  2,86
04.06.1985 10:00:00;  4,00
28.07.1985 18:00:00;  2,36
25.08.1985 02:00:00;  1,67
30.09.1985 23:59:55;  1,42
26.10.1985 10:00:00;  1,10
24.11.1985 10:00:00; 0,898
01.12.1985 00:00:00; 0,995
03.01.1986 00:01:00;  1,10
25.02.1986 00:01:00; 0,807
02.03.1986 08:00:00; 0,807
01.04.1986 02:00:00;  3,46
27.05.1986 10:00:00;  5,92
27.06.1986 18:00:00;  4,50
23.07.1986 18:00:00;  2,06
09.08.1986 18:00:00;  1,17
27.09.1986 10:00:00;  1,20
18.10.1986 08:00:00; 0,807
29.11.1986 08:00:00; 0,807
21.12.1986 00:01:00; 0,572
24.01.1987 00:01:00; 0,807
26.02.1987 08:00:00; 0,644
24.03.1987 10:00:00; 0,898
03.04.1987 10:00:00;  1,67
24.05.1987 10:00:00;  7,05
23.06.1987 18:00:00;  5,53
24.07.1987 10:00:00;  4,31
31.08.1987 18:00:00;  3,23
30.09.1987 23:59:55;  1,91
23.10.1987 08:00:00;  1,28
06.11.1987 18:00:00;  1,17
17.12.1987 18:00:00;  1,40
27.01.1988 18:00:00;  1,28
15.02.1988 00:00:05;  1,17
05.03.1988 18:00:00;  1,07
01.04.1988 00:00:00;  3,23
29.05.1988 10:00:00;  6,20
25.06.1988 18:00:00;  3,42
10.07.1988 18:00:00;  3,23
19.08.1988 18:00:00;  2,90
29.09.1988 12:00:00;  2,90
18.10.1988 08:00:00;  1,64
12.11.1988 08:00:00;  1,17
01.12.1988 00:00:00;  1,77
22.01.1989 00:01:00;  1,52
01.02.1989 00:00:00;  1,52
02.03.1989 08:00:00;  2,52
25.04.1989 10:00:00;  3,23
01.05.1989 00:00:00;  3,23
10.06.1989 18:00:00;  3,35
22.07.1989 18:00:00;  3,75
27.08.1989 10:00:00;  2,44
23.09.1989 10:00:00;  1,83
28.10.1989 08:00:00;  2,06
24.11.1989 18:00:00;  1,51
11.12.1989 00:01:00; 0,973
18.01.1990 00:01:00; 0,508
13.02.1990 08:00:00; 0,876
06.03.1990 00:00:00;  2,36
20.04.1990 00:00:00;  3,23
31.05.1990 23:59:55;  3,23
06.06.1990 10:15:00;  2,69
31.07.1990 23:59:55;  1,78
31.08.1990 23:59:55;  1,07
01.09.1990 00:00:00;  1,07
26.10.1990 07:45:00;  1,29
11.11.1990 00:00:00;  1,40
31.12.1990 23:59:55;  1,28
20.01.1991 00:01:00;  1,07
01.02.1991 00:01:00; 0,968
01.03.1991 00:00:00;  1,17
27.04.1991 09:45:00;  1,29
01.05.1991 00:00:00;  1,41
11.06.1991 09:45:00;  5,45
09.07.1991 00:00:00;  3,55
31.08.1991 23:59:55;  1,94
15.09.1991 09:45:00;  1,21
12.10.1991 00:00:00;  1,10
01.11.1991 00:15:00; 0,995
10.12.1991 00:00:05;  1,20
31.01.1992 00:30:00; 0,799
01.02.1992 00:00:00; 0,799
01.03.1992 15:45:00;  1,39
18.04.1992 17:15:00;  4,03
31.05.1992 06:15:00;  5,80
29.06.1992 23:00:00;  2,55
31.07.1992 09:15:00;  1,67
10.08.1992 07:15:00;  1,31
01.09.1992 00:00:00;  1,39
03.10.1992 19:00:00;  1,64
01.11.1992 05:45:00;  2,86
25.12.1992 07:15:00;  1,51
21.01.1993 09:30:00;  1,39
28.02.1993 10:30:00; 0,973
10.03.1993 10:00:00; 0,646
01.04.1993 07:00:00;  2,37
30.05.1993 16:45:00;  3,46
21.06.1993 11:45:00;  3,08
10.07.1993 19:45:00;  2,90
22.08.1993 23:15:00;  1,91
25.09.1993 17:00:00;  2,06
17.10.1993 12:00:00;  1,28
23.11.1993 07:30:00;  1,07
05.12.1993 10:30:00; 0,799
19.01.1994 05:30:00;  1,07
22.02.1994 13:15:00; 0,514
01.03.1994 11:45:00;  1,28
10.04.1994 06:00:00;  2,53
13.05.1994 11:30:00;  6,08
30.06.1994 19:45:00;  3,80
31.07.1994 23:59:55;  1,50
11.08.1994 17:00:00; 0,939
21.09.1994 16:15:00;  1,12
21.10.1994 19:30:00; 0,870
04.11.1994 13:00:00; 0,948
07.12.1994 08:00:00;  1,32
23.01.1995 00:00:05;  1,22
03.02.1995 18:00:00;  1,03
11.03.1995 07:15:00;  1,22
01.04.1995 00:00:00;  2,43
23.05.1995 06:15:00;  4,65
18.06.1995 08:15:00;  5,83
31.07.1995 23:59:55;  3,18
06.08.1995 15:45:00;  1,96
30.09.1995 20:15:00;  2,86
16.10.1995 13:45:00; 0,671
01.11.1995 17:15:00;  1,16
09.12.1995 11:30:00;  1,05
29.01.1996 09:45:00; 0,600
28.02.1996 19:00:00; 0,383
05.03.1996 09:45:00; 0,245
03.04.1996 23:30:00;  1,64
06.05.1996 08:45:00;  3,60
17.06.1996 17:45:00;  2,06
29.07.1996 07:00:00;  1,67
21.08.1996 14:15:00;  1,32
04.09.1996 06:45:00;  2,10
15.10.1996 11:45:00;  2,99
30.11.1996 23:59:55;  2,53
31.12.1996 23:59:55;  1,41
31.01.1997 22:48:35; 0,807
05.02.1997 13:28:50; 0,736
02.03.1997 13:17:10;  1,26
24.04.1997 03:15:10;  2,82
31.05.1997 15:18:05;  4,47
02.06.1997 15:45:15;  4,16
17.07.1997 16:34:50;  2,42
16.08.1997 13:01:25;  1,72
29.09.1997 16:32:25;  1,23
01.10.1997 04:41:45;  1,22
28.11.1997 12:08:45; 0,787
07.12.1997 02:22:20; 0,935
26.01.1998 04:36:15;  1,11
11.02.1998 12:05:30; 0,900
03.03.1998 03:50:20;  1,49
21.04.1998 18:09:20;  3,04
28.05.1998 12:00:15;  2,92
02.06.1998 15:01:40;  3,24
23.07.1998 15:23:10;  4,54
30.08.1998 17:42:05;  2,21
03.09.1998 15:22:55;  2,05
12.10.1998 07:54:50;  2,84
30.11.1998 13:55:25;  1,98
31.12.1998 20:22:25;  1,33
30.01.1999 21:22:50;  1,01
08.02.1999 17:16:55;  1,10
01.03.1999 00:23:35;  1,22
21.04.1999 09:51:55;  5,80
17.05.1999 12:25:00;  8,72
30.06.1999 12:09:20;  4,92
31.07.1999 23:59:55;  3,31
10.08.1999 01:23:35;  1,80
26.09.1999 06:59:00;  1,47
29.10.1999 02:25:20;  1,13
22.11.1999 12:02:30;  1,24
22.12.1999 11:25:55;  1,17
13.01.2000 12:00:25;  1,10
23.02.2000 12:09:35;  1,60
07.03.2000 05:49:15;  1,85
09.04.2000 07:30:45;  5,60
31.05.2000 04:19:45;  5,68
30.06.2000 23:59:55;  3,15
01.07.2000 15:54:40;  2,93
26.08.2000 06:53:20;  1,64
29.09.2000 18:42:25;  2,02
29.10.2000 11:04:30;  1,82
14.11.2000 04:48:20;  1,88
28.12.2000 10:53:25;  1,09
14.01.2001 07:14:15; 0,995
06.02.2001 09:44:25;  1,01
01.03.2001 07:49:15;  1,30
23.04.2001 10:54:45;  3,48
22.05.2001 11:25:55;  3,63
08.06.2001 18:57:50;  3,19
30.07.2001 20:02:05;  1,77
30.08.2001 06:37:55; 0,683
04.09.2001 09:25:30;  2,86
21.10.2001 03:08:35;  1,60
25.11.2001 18:42:25;  1,27
14.12.2001 12:25:00;  1,33
24.01.2002 08:20:10;  1,25
25.02.2002 00:07:25;  2,34
05.03.2002 13:19:05;  2,91
19.04.2002 11:27:15;  2,91
31.05.2002 16:36:20;  3,34
16.06.2002 14:30:00;  2,64
17.07.2002 08:00:00;  1,10
31.08.2002 07:31:15;  2,84
19.09.2002 01:29:45;  2,35
30.10.2002 10:15:00;  1,45
02.11.2002 09:00:00;  1,61
20.12.2002 09:15:00;  1,54
27.01.2003 07:29:05;  1,40
01.02.2003 00:00:00;  1,41
01.03.2003 00:00:00;  1,43
11.04.2003 06:00:00;  2,18
19.05.2003 21:00:00;  2,53
27.06.2003 08:30:00;  1,87
11.07.2003 20:30:00;  1,32
11.08.2003 22:15:00;  1,45
07.09.2003 19:15:00;  1,53
27.10.2003 23:30:00;  1,78
27.11.2003 09:47:05;  1,30
19.12.2003 20:30:00;  1,08
10.01.2004 05:15:00; 0,891
09.02.2004 05:30:00;  1,20
11.03.2004 01:45:00;  1,27
15.04.2004 09:45:00;  3,25
11.05.2004 13:00:00;  2,93
17.06.2004 09:00:00;  3,43
31.07.2004 19:15:00;  2,50
10.08.2004 16:15:00;  1,63
14.09.2004 13:00:00;  1,83
29.10.2004 14:30:00;  1,64
06.11.2004 18:45:00;  1,39
21.12.2004 05:15:00;  1,12
24.01.2005 14:36:00;  1,51
28.02.2005 23:59:55;  1,09
16.03.2005 09:30:00; 0,931
23.04.2005 13:00:00;  2,94
13.05.2005 02:00:00;  3,43
13.06.2005 10:30:00;  2,64
01.07.2005 00:00:00;  3,25
14.08.2005 01:15:00;  3,60
08.09.2005 08:00:00;  2,29
31.10.2005 23:59:55;  1,05
14.11.2005 12:00:00; 0,719
28.12.2005 23:38:30; 0,600
01.01.2006 00:00:00; 0,600
28.02.2006 23:59:55; 0,636
15.03.2006 11:30:00; 0,513
07.04.2006 06:45:00;  5,22
17.05.2006 00:45:00;  3,67
27.06.2006 03:30:00;  2,84
18.07.2006 12:45:00; 0,598
01.08.2006 11:15:00;  1,15
27.09.2006 20:45:00;  1,36
20.10.2006 13:30:00; 0,730
01.11.2006 04:15:00;  1,05
29.12.2006 21:45:00; 0,636
01.01.2007 00:30:00; 0,636
10.02.2007 09:30:00; 0,942
25.03.2007 12:15:00;  1,91
06.04.2007 13:30:00;  1,99
05.05.2007 11:15:00;  1,99
10.06.2007 18:15:00;  2,83
31.07.2007 23:59:55;  1,64
11.08.2007 17:15:00;  1,34
30.09.2007 23:59:55;  3,06
18.10.2007 17:15:00;  1,58
03.11.2007 09:30:00;  2,14
31.12.2007 23:59:55;  1,65
09.01.2008 09:30:00;  1,45
21.02.2008 09:30:00;  1,03
25.03.2008 22:45:00;  1,99
07.04.2008 21:45:00;  3,23
06.05.2008 04:15:00;  9,25
29.06.2008 14:15:00;  4,15
10.07.2008 15:30:00;  3,03
30.08.2008 15:30:00;  2,14
30.09.2008 14:30:00;  1,58
29.10.2008 13:45:05;  1,44
19.11.2008 10:47:35;  1,56
19.12.2008 06:30:00; 0,857
31.01.2009 23:59:55; 0,896
28.02.2009 14:30:00; 0,572
01.03.2009 00:00:00; 0,590
01.04.2009 09:15:00;  1,99
05.05.2009 12:45:00;  6,15
04.06.2009 02:15:00;  4,66
30.07.2009 15:30:00;  4,18
26.08.2009 17:00:00;  1,89
30.09.2009 07:45:00;  1,65
29.10.2009 09:45:00;  1,28
02.11.2009 14:00:00;  1,66
23.12.2009 07:30:00; 0,773
20.01.2010 11:39:30;  1,03
03.02.2010 19:20:50; 0,966
17.03.2010 00:30:00;  1,03
15.04.2010 07:30:00;  1,22
15.05.2010 13:45:00;  1,55
28.06.2010 16:30:00;  3,02
14.07.2010 06:45:00;  1,62
02.08.2010 15:15:00;  1,14
21.09.2010 19:30:00;  2,47
11.10.2010 11:45:00;  1,25
26.11.2010 09:00:00; 0,961
01.12.2010 12:30:00; 0,877
03.01.2011 01:08:10; 0,965
05.02.2011 16:00:00;  1,14
08.03.2011 03:45:00;  1,05
01.04.2011 00:00:00;  2,47
07.05.2011 10:45:00;  1,99
10.06.2011 15:00:00;  1,99
12.07.2011 14:45:00;  1,64
30.08.2011 22:30:00; 0,921
13.09.2011 07:45:00; 0,307
05.10.2011 11:15:00;  1,64
22.11.2011 13:00:00; 0,886
27.12.2011 10:30:00; 0,807
28.01.2012 10:00:00; 0,728
25.02.2012 02:35:35; 0,771
12.03.2012 11:45:00; 0,886
23.04.2012 09:45:00;  2,95
17.05.2012 07:15:00;  3,71
29.06.2012 15:00:00;  4,72
09.07.2012 14:15:00;  4,28
20.08.2012 16:45:00;  1,77
11.09.2012 20:45:00;  1,91
07.10.2012 02:00:00;  1,97
28.11.2012 19:15:00;  1,42
04.12.2012 15:30:00;  1,18
27.01.2013 18:45:00; 0,882
27.02.2013 02:30:00; 0,564
01.03.2013 00:00:00; 0,705
03.04.2013 11:45:00;  1,65
25.05.2013 10:45:00;  3,51
23.06.2013 19:26:35;  5,78
31.07.2013 12:00:00;  1,85
11.08.2013 01:45:00; 0,877
08.09.2013 20:45:00;  1,36
