Messstelle:                ;Hohenau a. d. March (Fluss-km 66,92)
28.08.1989 12:00:00;  21,1
26.09.1989 12:00:00;  29,5
04.10.1989 12:00:00;  28,6
18.11.1989 12:00:00;  26,0
11.12.1989 12:00:00;  25,6
12.01.1990 12:00:00;  30,8
11.02.1990 12:00:00;  36,0
31.03.1990 12:00:00;  48,2
20.04.1990 12:00:00;  41,9
24.05.1990 12:00:00;  35,0
29.06.1990 12:00:00;  35,0
31.07.1990 02:00:00;  28,2
07.08.1990 12:00:00;  18,0
05.09.1990 12:00:00;  17,3
01.10.1990 12:00:00;  24,3
11.11.1990 12:00:00;  30,4
28.12.1990 12:00:00;  40,9
30.01.1991 12:00:00;  47,6
06.02.1991 12:00:00;  28,6
07.03.1991 12:00:00;  39,9
19.04.1991 12:00:00;  38,4
01.05.1991 12:00:00;  44,0
11.06.1991 12:00:00;  32,2
26.07.1991 12:00:00;  24,7
30.08.1991 12:00:00;  26,9
13.09.1991 12:00:00;  23,5
07.10.1991 02:00:00;  25,2
16.11.1991 12:00:00;  24,3
12.12.1991 12:00:00;  29,0
01.01.1992 12:00:00;  54,2
07.02.1992 12:00:00;  66,4
01.03.1992 12:00:00;  97,7
27.04.1992 12:00:00;   102
22.05.1992 12:00:00;  32,2
30.06.1992 12:00:00;  23,5
31.07.1992 12:00:00;  15,1
19.08.1992 12:00:00;  11,5
02.09.1992 12:00:00;  9,98
01.10.1992 12:00:00;  13,1
12.11.1992 12:00:00;  19,5
02.12.1992 12:00:00;  24,7
09.01.1993 12:00:00;  22,7
25.02.1993 12:00:00;  29,5
11.03.1993 12:00:00;  33,1
23.04.1993 12:00:00;  74,4
20.05.1993 12:00:00;  21,8
04.06.1993 12:00:00;  21,2
14.07.1993 02:00:00;  18,6
21.08.1993 12:00:00;  16,0
26.09.1993 12:00:00;  18,6
04.10.1993 12:00:00;  23,9
21.11.1993 12:00:00;  23,2
01.12.1993 12:00:00;  20,5
01.01.1994 12:00:00;  89,2
21.02.1994 12:00:00;  58,1
01.03.1994 00:00:00;  70,6
01.04.1994 12:00:00;   102
24.05.1994 12:00:00;  56,2
29.06.1994 12:00:00;  24,7
30.07.1994 02:00:00;  19,8
05.08.1994 02:00:00;  15,7
14.09.1994 12:00:00;  19,1
24.10.1994 12:00:00;  28,6
16.11.1994 12:00:00;  30,3
03.12.1994 12:00:00;  34,0
21.01.1995 12:00:00;  46,4
07.02.1995 12:00:00;   133
25.03.1995 12:00:00;   114
15.04.1995 12:00:00;   103
31.05.1995 12:00:00;  80,2
01.06.1995 12:00:00;  83,5
31.07.1995 12:00:00;  22,3
13.08.1995 12:00:00;  16,6
14.09.1995 12:00:00;  40,4
22.10.1995 12:00:00;  36,6
06.11.1995 12:00:00;  43,4
14.12.1995 12:00:00;  52,2
28.01.1996 12:00:00;  51,7
09.02.1996 12:00:00;  45,9
06.03.1996 12:00:00;  46,9
30.04.1996 12:00:00;   225
31.05.1996 12:00:00;   200
16.06.1996 12:00:00;  57,7
30.07.1996 12:00:00;  36,6
13.08.1996 12:00:00;  26,9
06.09.1996 12:00:00;  42,9
17.10.1996 12:00:00;  65,7
08.11.1996 12:00:00;  71,8
28.12.1996 12:00:00;  39,0
30.01.1997 18:38:15;  38,2
06.02.1997 23:37:20;  39,2
15.03.1997 21:03:50;   102
24.04.1997 21:15:45;   101
29.05.1997 01:55:30;  69,8
13.06.1997 23:06:35;  36,7
02.07.1997 07:07:05;  47,2
29.08.1997 10:42:00;  67,4
24.09.1997 04:21:10;  53,2
04.10.1997 08:32:55;  47,4
08.11.1997 02:43:40;  44,0
12.12.1997 02:09:50;  92,5
30.01.1998 13:11:25;  68,1
04.02.1998 11:47:10;  58,6
04.03.1998 14:53:10;  66,4
30.04.1998 07:11:20;  60,3
30.05.1998 12:02:30;  28,8
09.06.1998 04:01:40;  23,7
22.07.1998 13:19:00;  26,6
11.08.1998 15:40:15;  20,8
03.09.1998 14:59:15;  24,2
25.10.1998 15:12:45;   106
28.11.1998 22:50:00;   101
12.12.1998 10:05:15;  54,3
06.01.1999 10:14:45;  63,2
01.02.1999 18:35:15;  51,1
27.03.1999 07:14:35;   184
16.04.1999 22:10:15;   123
31.05.1999 00:04:05;  52,9
08.06.1999 16:01:25;  43,8
30.07.1999 15:32:25;  39,1
07.08.1999 18:01:10;  24,4
19.09.1999 19:40:55;  23,3
03.10.1999 19:15:25;  28,2
05.11.1999 00:24:50;  29,3
26.12.1999 10:12:30;  30,5
15.01.2000 04:51:55;  38,2
24.02.2000 15:20:25;   140
01.03.2000 00:00:00;   160
29.04.2000 12:22:00;   102
19.05.2000 01:46:25;  42,4
30.06.2000 23:59:55;  21,6
03.07.2000 22:27:40;  19,3
30.08.2000 11:04:10;  21,4
01.09.2000 18:18:05;  22,7
02.10.2000 05:03:20;  23,1
03.11.2000 10:23:30;  31,3
26.12.2000 08:43:05;  32,2
03.01.2001 10:45:00;  42,9
06.02.2001 14:45:00;  57,0
02.03.2001 07:30:00;  72,3
30.04.2001 23:00:00;   103
27.05.2001 16:30:00;  43,4
29.06.2001 00:45:00;  34,3
17.07.2001 04:15:00;  26,5
31.08.2001 12:30:00;  29,5
01.09.2001 05:15:00;  28,2
25.10.2001 00:00:00;  57,8
04.11.2001 18:00:00;  52,9
16.12.2001 11:15:00;  43,9
07.01.2002 21:30:00;  45,3
10.02.2002 10:15:00;   173
19.03.2002 16:15:00;   117
12.04.2002 11:00:00;  82,0
25.05.2002 21:00:00;  35,9
05.06.2002 16:15:00;  35,4
29.07.2002 10:10:45;  25,1
02.08.2002 14:00:00;  36,1
16.09.2002 08:15:00;  50,6
07.10.2002 19:30:00;  52,7
13.11.2002 13:15:00;   129
27.12.2002 06:00:00;  64,2
27.01.2003 12:15:00;   115
19.02.2003 08:45:00;  62,1
01.03.2003 00:00:00;  82,6
26.04.2003 06:35:05;  71,7
10.05.2003 12:45:00;  52,2
30.06.2003 06:30:00;  20,7
17.07.2003 05:15:00;  16,7
11.08.2003 06:30:00;  12,2
01.09.2003 05:00:00;  16,6
03.10.2003 06:15:00;  19,9
16.11.2003 07:00:00;  24,2
12.12.2003 22:30:00;  22,9
09.01.2004 05:04:30;  35,9
03.02.2004 01:15:00;  65,7
07.03.2004 20:45:00;  62,3
30.04.2004 23:15:00;  94,3
30.05.2004 22:45:00;  41,8
01.06.2004 14:15:00;  44,2
28.07.2004 22:15:00;  26,9
19.08.2004 20:45:00;  21,8
07.09.2004 22:15:00;  20,8
01.10.2004 08:15:00;  24,6
01.11.2004 10:45:00;  31,4
24.12.2004 01:30:00;  35,7
28.01.2005 11:00:00;  57,7
07.02.2005 15:00:00;  49,5
09.03.2005 10:30:00;  63,4
26.04.2005 01:00:00;   117
29.05.2005 23:30:00;  63,4
25.06.2005 13:45:00;  29,2
29.07.2005 06:00:00;  34,0
01.08.2005 23:45:00;  30,3
25.09.2005 08:30:00;  30,7
09.10.2005 09:15:00;  34,2
18.11.2005 13:45:00;  30,7
04.12.2005 21:15:00;  36,2
23.01.2006 14:30:55;  36,2
07.02.2006 20:45:55;  42,5
09.03.2006 17:30:00;  80,7
27.04.2006 00:30:00;   221
27.05.2006 04:00:00;   101
22.06.2006 09:15:00;  68,1
29.07.2006 14:00:00;  30,5
01.08.2006 00:00:00;  35,6
27.09.2006 07:45:00;  34,5
27.10.2006 13:30:00;  36,1
04.11.2006 21:30:00;  43,5
09.12.2006 01:30:00;  46,8
01.01.2007 08:30:00;  44,4
26.02.2007 05:30:00;  92,7
01.03.2007 00:00:00;  94,1
30.04.2007 22:00:00;  50,3
27.05.2007 13:15:00;  31,1
18.06.2007 18:00:00;  24,0
28.07.2007 08:30:00;  19,5
11.08.2007 05:15:00;  16,4
05.09.2007 10:15:00;  23,5
03.10.2007 19:45:00;  35,1
06.11.2007 11:45:00;  51,4
29.12.2007 07:00:00;  60,3
06.01.2008 04:30:00;  48,1
21.02.2008 16:45:00;  74,8
01.03.2008 00:30:00;  77,2
30.04.2008 23:59:55;  79,9
18.05.2008 07:15:00;  50,8
24.06.2008 21:00:00;  21,0
02.07.2008 23:30:00;  27,3
12.08.2008 19:00:00;  24,3
09.09.2008 03:45:00;  23,2
24.10.2008 20:00:00;  30,4
04.11.2008 02:30:00;  25,7
17.12.2008 08:15:00;  34,1
16.01.2009 06:45:00;  32,4
01.02.2009 19:45:00;  45,8
01.03.2009 00:00:00;   125
30.04.2009 01:45:00;  68,5
29.05.2009 11:30:00;  34,1
19.06.2009 07:30:00;  35,7
31.07.2009 22:45:00;  75,4
23.08.2009 11:30:00;  28,2
29.09.2009 00:15:00;  28,2
09.10.2009 20:15:00;  26,3
04.11.2009 20:15:00;  44,9
20.12.2009 12:30:00;  51,4
26.01.2010 06:15:00;  58,0
16.02.2010 12:45:00;  58,6
16.03.2010 13:15:00;   117
28.04.2010 07:00:00;   107
01.05.2010 11:45:00;   109
30.06.2010 23:59:55;  94,8
17.07.2010 13:30:00;  56,9
25.08.2010 00:00:00;  76,0
24.09.2010 01:15:00;  68,3
31.10.2010 14:00:00;  80,6
08.11.2010 10:00:00;  73,0
03.12.2010 00:15:00;  82,7
31.01.2011 16:15:00;   135
24.02.2011 12:15:00;  72,6
11.03.2011 02:00:00;  74,0
24.04.2011 22:45:00;  71,3
26.05.2011 21:15:00;  46,9
30.06.2011 23:00:00;  37,6
20.07.2011 10:15:00;  35,8
31.08.2011 18:00:00;  42,9
29.09.2011 09:00:00;  29,4
02.10.2011 15:00:00;  27,7
22.11.2011 21:30:00;  32,1
04.12.2011 00:30:00;  28,1
01.01.2012 13:00:00;  46,4
16.02.2012 01:30:00;  48,0
11.03.2012 07:15:00;   108
27.04.2012 02:45:00;  69,2
29.05.2012 05:45:00;  21,9
01.06.2012 00:00:00;  26,2
03.07.2012 00:15:00;  23,8
22.08.2012 05:15:00;  19,6
10.09.2012 17:45:00;  20,5
01.10.2012 05:30:00;  25,7
30.11.2012 03:15:00;  36,9
11.12.2012 05:45:00;  27,1
25.01.2013 07:15:00;  52,8
23.02.2013 05:00:00;  79,5
29.03.2013 01:15:00;   108
30.04.2013 23:15:00;   120
24.05.2013 22:00:00;  81,3
22.06.2013 21:00:00;  80,1
28.07.2013 22:30:00;  28,5
18.08.2013 15:15:00;  25,7
08.09.2013 08:15:00;  27,6
09.10.2013 05:30:00;  43,7
30.11.2013 05:45:00;  49,5
03.12.2013 18:00:00;  49,5
05.01.2014 02:00:00;  57,2
07.02.2014 09:45:00;  55,4
15.03.2014 03:00:00;  45,1
20.04.2014 12:15:00;  43,4
08.05.2014 12:15:00;  41,2
24.06.2014 01:45:00;  22,0
19.07.2014 16:30:00;  21,1
20.08.2014 01:15:00;  37,5
01.09.2014 09:15:00;  52,5
30.10.2014 21:45:00;  75,9
06.11.2014 02:15:00;  64,5
01.12.2014 06:15:00;  79,9
08.01.2015 18:30:00;  79,7
09.02.2015 19:15:00;  95,4
26.03.2015 14:15:00;  74,7
27.04.2015 06:30:00;  74,0
20.05.2015 03:00:00;  38,8
27.06.2015 23:00:00;  24,4
24.07.2015 23:15:00;  16,9
16.08.2015 01:00:00;  13,0
01.09.2015 00:00:00;  18,6
02.10.2015 02:30:00;  16,1
04.11.2015 08:30:00;  25,4
01.12.2015 00:00:00;  35,0
04.01.2016 13:00:00;  32,3
08.02.2016 17:15:00;  74,0
30.03.2016 01:00:00;  76,9
05.04.2016 13:45:00;  67,2
29.05.2016 07:15:00;  34,4
30.06.2016 18:15:00;  23,5
11.07.2016 17:45:00;  22,6
20.08.2016 17:45:00;  23,5
30.09.2016 07:00:00;  17,3
01.10.2016 07:15:00;  17,3
02.11.2016 13:30:00;  30,8
26.12.2016 01:15:00;  34,4
07.01.2017 03:27:35;  21,7
01.02.2017 06:30:00;  32,0
17.03.2017 17:30:00;  61,9
17.04.2017 07:15:00;  49,6
30.05.2017 00:30:00;  28,6
29.06.2017 15:45:00;  20,4
18.07.2017 05:45:00;  20,0
29.08.2017 04:45:00;  17,5
01.09.2017 04:45:00;  17,5
03.10.2017 18:15:00;  29,6
11.11.2017 05:15:00;  42,7
21.12.2017 20:30:00;  55,6
25.01.2018 06:30:00;  73,9
26.02.2018 15:00:00;  37,7
02.03.2018 00:45:00;  42,7
30.04.2018 20:30:00;  38,8
31.05.2018 19:15:00;  22,1
23.06.2018 06:45:00;  17,9
12.07.2018 20:00:00;  15,1
23.08.2018 06:30:00;  10,8
01.09.2018 00:00:00;  13,6
23.10.2018 06:30:00;  14,8
12.11.2018 12:30:00;  15,9
02.12.2018 17:45:00;  17,9
13.01.2019 05:15:00;  38,3
01.02.2019 03:30:00;  52,6
31.03.2019 23:45:00;  82,2
28.04.2019 19:00:00;  37,7
09.05.2019 06:00:00;  41,7
30.06.2019 20:00:00;  21,3
26.07.2019 19:45:00;  20,5
07.08.2019 20:30:00;  22,5
28.09.2019 20:15:00;  22,9
01.10.2019 00:15:00;  22,9
01.11.2019 18:30:00;  21,3
08.12.2019 01:45:00;  31,7
28.01.2020 06:15:00;  38,1
01.02.2020 00:00:00;  40,8
31.03.2020 20:00:00;  58,7
28.04.2020 05:45:00;  28,9
22.05.2020 05:45:00;  22,9
04.06.2020 20:00:00;  33,4
31.07.2020 23:15:00;  50,1
03.08.2020 06:00:00;  37,0
21.09.2020 20:45:00;  39,7
11.10.2020 06:15:00;  90,3
28.11.2020 03:00:00;  82,8
15.12.2020 22:45:00;  70,7
19.01.2021 12:15:00;  88,3
19.02.2021 01:15:00;   161
31.03.2021 05:30:00;   105
29.04.2021 05:45:00;  74,5
11.05.2021 17:30:00;  74,5
19.06.2021 10:30:00;  35,3
08.07.2021 13:00:00;  33,4
26.08.2021 00:15:00;  35,3
27.09.2021 09:00:00;  30,6
04.10.2021 11:15:00;  34,8
21.11.2021 15:30:00;  29,2
15.12.2021 00:45:00;  39,3
