Messstelle:                ;Windpassing
31.03.1983 21:00:00;  9,99
09.04.1983 07:00:00;  9,50
31.05.1983 20:00:00;  5,48
04.06.1983 16:00:00;  5,10
10.07.1983 16:00:00;  4,77
30.08.1983 09:00:00;  3,97
11.09.1983 06:00:00;  2,93
01.10.1983 15:00:00;  2,72
12.11.1983 21:00:00;  2,98
15.12.1983 06:00:00;  3,50
13.01.1984 09:00:00;  4,73
04.02.1984 07:00:00;  5,21
07.03.1984 13:00:00;  6,44
30.04.1984 22:00:00;  9,34
07.05.1984 00:00:00;  8,28
29.06.1984 07:00:00;  5,49
13.07.1984 09:00:00;  4,19
30.08.1984 19:00:00;  6,51
07.09.1984 14:00:00;  5,98
20.10.1984 14:00:00;  6,48
26.11.1984 17:00:00;  4,30
08.12.1984 17:00:00;  3,12
01.01.1985 13:00:00;  3,78
23.02.1985 07:00:00;  5,85
01.03.1985 19:00:00;  8,21
30.04.1985 13:00:00;  12,5
29.05.1985 00:30:00;  8,86
05.06.1985 17:30:00;  10,2
27.07.1985 06:00:00;  7,94
03.08.1985 20:30:00;  7,65
28.09.1985 13:30:00;  6,65
13.10.1985 09:30:00;  4,94
28.11.1985 15:30:00;  5,59
01.12.1985 00:00:00;  5,99
11.01.1986 08:00:00;  7,94
27.02.1986 14:30:00;  5,78
01.03.1986 08:00:00;  6,51
25.04.1986 19:00:00;  11,3
24.05.1986 08:00:00;  6,25
28.06.1986 06:00:00;  7,19
26.07.1986 07:00:00;  4,59
07.08.1986 06:00:00;  3,97
04.09.1986 15:15:00;  4,77
12.10.1986 11:45:00;  3,86
14.11.1986 14:15:00;  5,65
17.12.1986 16:45:00;  3,94
30.01.1987 22:00:00;  3,93
07.02.1987 08:00:00;  3,93
15.03.1987 08:15:00;  11,2
03.04.1987 11:15:00;  19,7
30.05.1987 06:00:00;  18,6
30.06.1987 23:59:55;  13,4
06.07.1987 09:30:00;  9,50
22.08.1987 12:45:00;  7,94
26.09.1987 09:45:00;  4,33
09.10.1987 08:30:00;  5,21
13.11.1987 13:00:00;  4,33
06.12.1987 17:30:00;  6,17
22.01.1988 08:00:00;  6,49
10.02.1988 23:30:00;  6,49
04.03.1988 08:30:00;  6,49
30.04.1988 04:15:00;  18,2
29.05.1988 16:00:00;  9,50
27.06.1988 03:00:00;  8,19
02.07.1988 07:15:00;  4,83
28.08.1988 21:00:00;  3,93
24.09.1988 07:15:00;  5,46
15.10.1988 09:45:00;  5,53
12.11.1988 09:00:00;  6,17
04.12.1988 18:00:00;  14,4
30.01.1989 16:15:00;  11,6
06.02.1989 06:45:00;  9,91
29.03.1989 05:45:00;  10,8
14.04.1989 11:45:00;  10,3
31.05.1989 12:00:00;  13,5
09.06.1989 09:15:00;  10,8
22.07.1989 09:15:00;  7,57
26.08.1989 21:15:00;  9,10
25.09.1989 07:30:00;  9,91
28.10.1989 08:15:00;  7,19
30.11.1989 12:15:00;  7,74
03.12.1989 09:15:00;  7,19
22.01.1990 01:45:00;  6,49
08.02.1990 23:00:00;  6,15
21.03.1990 12:45:00;  6,77
02.04.1990 13:45:00;  8,57
31.05.1990 15:00:00;  6,74
02.06.1990 22:00:00;  6,39
23.07.1990 07:30:00;  4,50
20.08.1990 14:45:00;  5,12
13.09.1990 09:00:00;  5,12
26.10.1990 05:30:00;  4,83
01.11.1990 06:15:00;  5,74
03.12.1990 10:30:00;  7,08
31.01.1991 18:30:00;  7,08
09.02.1991 08:00:00;  5,43
23.03.1991 09:00:00;  7,44
06.04.1991 19:15:00;  7,08
13.05.1991 10:15:00;  8,96
30.06.1991 20:30:00;  8,53
10.07.1991 23:45:00;  5,75
31.08.1991 23:59:55;  11,8
30.09.1991 14:00:00;  6,40
24.10.1991 14:15:00;  5,91
11.11.1991 13:45:00;  5,13
12.12.1991 11:00:00;  3,73
27.01.1992 01:00:00;  8,14
03.02.1992 11:45:00;  8,48
12.03.1992 20:15:00;  13,6
18.04.1992 21:30:00;  12,2
29.05.1992 05:15:00;  8,10
03.06.1992 00:00:00;  7,77
24.07.1992 11:15:00;  4,45
11.08.1992 01:30:00;  4,16
16.09.1992 20:30:00;  4,45
12.10.1992 08:15:00;  4,74
01.11.1992 00:00:00;  5,41
31.12.1992 23:59:55;  8,95
05.01.1993 09:15:00;  6,33
28.02.1993 23:59:55;  8,61
09.03.1993 20:00:00;  7,43
30.04.1993 23:59:55;  15,6
28.05.1993 08:45:00;  7,43
09.06.1993 18:30:00;  5,75
05.07.1993 10:30:00;  5,75
24.08.1993 11:45:00;  5,75
27.09.1993 07:45:00;  5,75
02.10.1993 09:00:00;  4,00
04.11.1993 12:00:00;  6,07
02.12.1993 13:45:00;  5,44
21.01.1994 09:45:00;  8,70
21.02.1994 11:45:00;  4,33
07.03.1994 15:15:00;  7,21
10.04.1994 20:15:00;  11,6
26.05.1994 16:15:00;  8,32
28.06.1994 11:15:00;  5,53
30.07.1994 07:45:00;  3,78
04.08.1994 11:30:00;  3,52
14.09.1994 07:15:00;  3,52
20.10.1994 10:30:00;  3,02
07.11.1994 15:15:00;  3,02
06.12.1994 08:15:00;  5,21
19.01.1995 14:00:00;  6,40
14.02.1995 11:00:00;  10,9
17.03.1995 17:15:00;  10,1
30.04.1995 23:59:55;  17,2
28.05.1995 21:00:00;  9,31
20.06.1995 08:00:00;  9,31
31.07.1995 17:45:00;  8,16
24.08.1995 14:30:00;  4,84
30.09.1995 23:59:55;  9,31
09.10.1995 07:45:00;  7,43
01.11.1995 07:15:00;  7,08
14.12.1995 14:15:00;  8,92
27.01.1996 09:15:00;  8,53
15.02.1996 17:15:00;  7,79
05.03.1996 06:00:00;  7,43
05.04.1996 05:45:00;  14,1
08.05.1996 11:45:00;  17,7
21.06.1996 09:15:00;  10,9
29.07.1996 19:15:00;  8,53
28.08.1996 14:15:00;  7,43
01.09.1996 00:00:00;  7,43
15.10.1996 14:15:00;  13,2
30.11.1996 23:59:55;  12,2
27.12.1996 13:00:00;  8,53
09.01.1997 15:00:45;  7,16
03.02.1997 13:51:05;  9,11
16.03.1997 04:22:40;  9,57
30.04.1997 23:59:55;  20,4
20.05.1997 08:52:00;  13,3
30.06.1997 16:18:15;  10,7
04.07.1997 18:31:00;  10,5
31.08.1997 23:59:55;  10,5
10.09.1997 04:36:35;  9,15
25.10.1997 08:21:00;  7,70
06.11.1997 14:46:25;  6,12
09.12.1997 00:30:05;  10,6
16.01.1998 09:13:10;  6,95
04.02.1998 08:55:45;  5,82
14.03.1998 12:29:40;  9,81
28.04.1998 09:00:10;  9,45
12.05.1998 11:15:30;  9,03
07.06.1998 16:51:40;  7,63
07.07.1998 04:17:00;  8,54
21.08.1998 10:14:05;  6,43
03.09.1998 13:48:20;  6,65
06.10.1998 13:26:10;  6,65
06.11.1998 09:57:15;  9,95
13.12.1998 02:32:20;  8,96
22.01.1999 11:10:15;  8,98
01.02.1999 11:35:55;  9,06
22.03.1999 00:06:50;  16,4
30.04.1999 05:52:25;  15,4
31.05.1999 23:59:55;  12,0
11.06.1999 11:46:10;  9,42
07.07.1999 07:37:20;  9,69
27.08.1999 09:04:40;  10,0
30.09.1999 14:10:45;  9,47
26.10.1999 06:58:55;  7,13
08.11.1999 09:46:35;  7,33
26.12.1999 17:31:40;  8,31
17.01.2000 13:00:00;  8,30
24.02.2000 23:45:00;  13,1
08.03.2000 09:45:00;  17,9
29.04.2000 09:45:00;  16,4
27.05.2000 23:30:00;  9,19
18.06.2000 03:45:00;  7,83
06.07.2000 10:45:00;  6,54
26.08.2000 16:15:00;  5,32
16.09.2000 09:00:00;  4,53
05.10.2000 09:15:00;  3,70
12.11.2000 15:22:00;  3,62
15.12.2000 11:15:00;  4,53
19.01.2001 14:15:00;  5,25
02.02.2001 01:30:00;  7,24
01.03.2001 09:45:00;  8,70
05.04.2001 13:15:00;  9,64
30.05.2001 07:30:00;  7,41
28.06.2001 12:45:00;  4,99
07.07.2001 13:45:00;  4,12
29.08.2001 14:15:00;  4,78
04.09.2001 07:45:00;  5,82
31.10.2001 12:45:00;  5,78
05.11.2001 14:15:00;  4,53
27.12.2001 09:30:00;  9,07
19.01.2002 10:45:00;  8,44
20.02.2002 10:45:00;  12,8
19.03.2002 03:30:00;  9,87
22.04.2002 14:15:00;  12,8
19.05.2002 07:45:00;  6,54
03.06.2002 12:00:00;  8,06
13.07.2002 15:15:00;  7,02
06.08.2002 12:00:00;  8,64
19.09.2002 03:45:00;  8,19
11.10.2002 04:19:25;  10,2
30.11.2002 23:59:55;  15,0
21.12.2002 13:24:20;  11,9
13.01.2003 21:00:00;  14,2
24.02.2003 09:00:00;  10,6
01.03.2003 16:15:00;  11,4
30.04.2003 22:30:00;  10,1
26.05.2003 19:10:00;  5,79
23.06.2003 09:00:00;  1,21
28.07.2003 16:10:00;  2,09
27.08.2003 15:50:00;  2,89
22.09.2003 12:20:00;  2,36
25.10.2003 13:40:00;  3,43
26.11.2003 11:45:00;  3,64
10.12.2003 08:20:00;  3,48
28.01.2004 14:40:00;  4,96
01.02.2004 11:10:00;  5,89
06.03.2004 09:50:00;  9,60
24.04.2004 00:50:00;  13,3
12.05.2004 08:40:00;  8,89
19.06.2004 17:15:00;  11,4
28.07.2004 10:55:00;  5,86
16.08.2004 16:00:00;  5,72
21.09.2004 08:35:00;  3,78
20.10.2004 09:40:05;  3,05
10.11.2004 15:00:00;  3,56
07.12.2004 16:05:00;  5,15
01.01.2005 06:25:00;  5,72
10.02.2005 11:10:00;  7,00
12.03.2005 07:20:00;  8,09
25.04.2005 15:40:00;  16,0
18.05.2005 03:10:00;  13,3
28.06.2005 14:35:00;  7,62
01.07.2005 05:20:00;  8,38
08.08.2005 12:50:00;  6,92
13.09.2005 10:55:00;  9,67
28.10.2005 11:25:00;  6,90
14.11.2005 15:15:00;  5,69
05.12.2005 13:40:00;  6,60
31.01.2006 14:30:00;  5,67
02.02.2006 09:55:00;  3,96
09.03.2006 16:00:00;  9,22
27.04.2006 14:50:00;  20,6
26.05.2006 02:00:00;  14,4
27.06.2006 08:15:00;  12,5
31.07.2006 09:25:00;  7,39
03.08.2006 08:25:00;  8,50
27.09.2006 08:05:00;  2,86
18.10.2006 21:25:00;  4,06
05.11.2006 00:15:00;  5,69
18.12.2006 15:35:00;  4,10
19.01.2007 09:50:00;  4,03
01.02.2007 01:05:00;  8,80
19.03.2007 02:35:00;  11,6
27.04.2007 19:05:00;  7,67
04.05.2007 11:20:00;  3,25
21.06.2007 16:10:00;  4,31
19.07.2007 21:20:00;  2,04
08.08.2007 07:40:00;  1,31
03.09.2007 18:10:00;  4,04
17.10.2007 14:30:00;  8,55
03.11.2007 22:35:00;  20,5
29.12.2007 13:25:00;  14,8
06.01.2008 20:45:00;  13,3
20.02.2008 11:40:00;  9,94
11.03.2008 10:20:00;  10,4
21.04.2008 17:45:00;  8,85
19.05.2008 07:23:30;  7,99
01.06.2008 16:13:50;  5,66
11.07.2008 06:25:00;  6,88
29.08.2008 15:40:00;  8,85
15.09.2008 13:45:00;  7,67
16.10.2008 08:35:00;  7,29
10.11.2008 03:40:00;  5,95
08.12.2008 19:51:00;  9,66
27.01.2009 15:00:00;  3,49
01.02.2009 23:25:00;  7,25
02.03.2009 11:00:00;  26,2
30.04.2009 22:55:00;  19,8
28.05.2009 08:05:00;  10,9
12.06.2009 10:25:00;  7,96
31.07.2009 06:55:00;  13,1
31.08.2009 19:20:00;  9,83
30.09.2009 12:30:00;  8,60
02.10.2009 08:30:00;  4,87
27.11.2009 09:20:00;  5,52
01.12.2009 15:10:00;  6,07
27.01.2010 11:30:00;  4,79
17.02.2010 01:00:00;  4,65
09.03.2010 13:55:00;  8,27
30.04.2010 23:25:00;  10,7
03.05.2010 11:30:00;  6,93
30.06.2010 23:40:00;  15,7
16.07.2010 00:05:00;  9,40
21.08.2010 06:00:00;  7,78
25.09.2010 11:15:00;  5,11
13.10.2010 15:45:00;  7,00
02.11.2010 14:25:00;  2,92
01.12.2010 14:50:00;  6,34
06.01.2011 11:45:00;  8,06
25.02.2011 10:00:00;  7,90
08.03.2011 14:55:00;  5,76
12.04.2011 06:55:00;  4,63
19.05.2011 13:30:00;  5,62
21.06.2011 07:20:00;  3,36
18.07.2011 02:05:00;  5,30
18.08.2011 10:05:00;  4,07
12.09.2011 12:35:00;  3,46
06.10.2011 12:00:00;  4,01
28.11.2011 20:30:00;  3,90
23.12.2011 09:05:00;  4,21
01.01.2012 00:45:00;  7,06
12.02.2012 08:15:00;  6,64
11.03.2012 12:05:00;  12,8
11.04.2012 06:30:00;  9,96
02.05.2012 10:10:00;  6,17
08.06.2012 16:37:10;  4,16
12.07.2012 09:20:00;  5,23
21.08.2012 00:20:00;  2,83
09.09.2012 23:10:00;  4,09
31.10.2012 10:50:00;  3,90
09.11.2012 11:30:00;  4,62
15.12.2012 02:05:00;  3,43
04.01.2013 09:35:00;  6,19
25.02.2013 10:40:00;  10,9
28.03.2013 13:50:00;  12,5
30.04.2013 16:50:00;  14,1
24.05.2013 09:05:00;  11,6
22.06.2013 13:00:00;  16,2
30.07.2013 17:25:00;  8,92
22.08.2013 06:00:00;  6,73
09.09.2013 06:55:00;  1,80
02.10.2013 09:20:00;  5,52
03.11.2013 06:30:00;  5,86
03.12.2013 14:05:05;  7,01
15.01.2014 07:35:00;  6,15
18.02.2014 05:25:00;  6,07
15.03.2014 15:10:00;  4,67
08.04.2014 05:30:00;  3,97
01.05.2014 13:10:00;  7,16
24.06.2014 15:50:00;  6,17
18.07.2014 07:55:00;  3,87
19.08.2014 07:25:00;  4,62
01.09.2014 00:00:00;  8,82
20.10.2014 06:45:00;  9,78
25.11.2014 10:00:00;  7,88
01.12.2014 10:55:00;  6,92
02.01.2015 14:45:00;  8,12
10.02.2015 14:15:00;  10,4
16.03.2015 09:15:00;  13,2
30.04.2015 08:50:00;  11,1
06.05.2015 10:15:00;  8,50
27.06.2015 15:20:00;  7,01
17.07.2015 08:15:00;  4,81
31.08.2015 19:20:00;  3,23
23.09.2015 03:35:00;  1,72
03.10.2015 18:55:00;  2,28
25.11.2015 22:40:00;  3,53
31.12.2015 12:40:00;  4,81
23.01.2016 08:40:00;  3,87
18.02.2016 09:20:00;  7,13
02.03.2016 13:20:00;  12,2
30.04.2016 13:00:00;  10,1
02.05.2016 12:35:00;  9,45
19.06.2016 11:48:00;  8,89
07.07.2016 13:10:00;  10,7
30.08.2016 08:15:00;  8,00
26.09.2016 14:50:00;  3,79
02.10.2016 11:15:00;  7,54
30.11.2016 10:20:00;  9,48
08.12.2016 12:30:00;  7,83
29.01.2017 15:30:00;  7,17
01.02.2017 04:40:00;  8,58
08.03.2017 13:50:00;  12,4
16.04.2017 01:35:00;  12,6
31.05.2017 08:20:00;  13,0
28.06.2017 08:05:00;  5,31
12.07.2017 11:15:00;  2,73
31.08.2017 11:10:00;  5,26
17.09.2017 05:05:05;  4,53
21.10.2017 23:10:00;  5,13
20.11.2017 14:50:00;  10,2
04.12.2017 15:05:00;  8,53
15.01.2018 11:20:00;  13,3
28.02.2018 11:05:00;  8,64
07.03.2018 14:20:00;  6,45
30.04.2018 05:15:00;  7,87
29.05.2018 21:38:40;  6,93
20.06.2018 01:02:40;  5,98
20.07.2018 21:42:25;  7,21
22.08.2018 22:46:35;  5,60
24.09.2018 02:05:00;  5,32
14.10.2018 14:50:00;  3,94
08.11.2018 09:45:00;  4,54
01.12.2018 00:15:00;  7,53
08.01.2019 10:35:00;  13,9
02.02.2019 03:55:00;  12,8
29.03.2019 16:15:00;  15,7
24.04.2019 09:00:00;  9,14
02.05.2019 13:25:00;  13,9
29.06.2019 12:35:00;  9,68
31.07.2019 08:30:00;  6,44
29.08.2019 08:35:00;  1,20
17.09.2019 06:35:00;  2,95
28.10.2019 08:55:00;  1,72
12.11.2019 12:05:00;  2,96
20.12.2019 10:40:00;  2,50
27.01.2020 09:45:00;  4,56
10.02.2020 14:50:00;  11,6
26.03.2020 09:45:05;  7,45
17.04.2020 10:50:00;  3,52
14.05.2020 12:20:00;  6,31
09.06.2020 21:35:00;  13,2
16.07.2020 01:45:00;  8,96
13.08.2020 08:35:00;  4,45
21.09.2020 07:05:00;  7,99
10.10.2020 10:10:00;  8,67
26.11.2020 19:45:00;  7,82
21.12.2020 10:04:55;  2,80
15.01.2021 11:50:00;  3,97
15.02.2021 09:45:00;  9,00
15.03.2021 10:05:00;  8,46
06.04.2021 09:20:00;  10,3
12.05.2021 11:05:00;  10,5
17.06.2021 10:10:00;  4,93
12.07.2021 09:15:00;  4,67
16.08.2021 03:40:00;  6,90
25.09.2021 07:55:00;  2,57
26.10.2021 19:00:00;  4,13
30.11.2021 07:20:00;  3,49
12.12.2021 08:55:00;  5,83
