Messstelle:                ;St. Stefan
01.02.2017 00:00:00; 0,230
13.03.2017 12:30:00; 0,142
23.04.2017 18:45:00; 0,105
26.05.2017 20:00:00; 0,105
18.06.2017 12:00:00; 0,074
18.07.2017 18:45:00; 0,062
15.08.2017 12:00:00; 0,062
08.09.2017 13:30:00; 0,062
12.10.2017 08:45:00; 0,124
01.11.2017 13:15:00; 0,105
06.12.2017 11:45:00; 0,179
28.01.2018 10:45:00; 0,222
25.02.2018 11:45:00; 0,124
05.03.2018 10:00:00; 0,105
30.04.2018 18:00:00; 0,294
29.05.2018 16:15:00; 0,161
05.06.2018 08:00:00; 0,124
24.07.2018 07:33:00; 0,115
24.08.2018 12:45:00; 0,084
20.09.2018 08:15:00; 0,099
29.10.2018 18:45:00; 0,036
15.11.2018 10:30:00; 0,130
27.12.2018 11:45:00; 0,097
19.01.2019 16:15:00; 0,082
01.02.2019 00:00:00; 0,082
03.03.2019 17:45:00; 0,097
08.04.2019 09:30:00; 0,113
02.05.2019 16:30:00; 0,168
29.06.2019 10:15:00; 0,222
21.07.2019 09:45:00; 0,124
10.08.2019 12:30:00; 0,355
21.09.2019 15:45:00; 0,355
23.10.2019 13:30:00; 0,332
10.11.2019 16:15:00; 0,277
18.12.2019 11:15:00; 0,253
26.01.2020 13:30:00; 0,168
14.02.2020 16:30:00; 0,132
01.03.2020 10:30:00; 0,132
15.04.2020 16:30:00; 0,132
08.05.2020 09:30:00; 0,115
01.06.2020 10:15:00; 0,099
01.07.2020 12:15:00; 0,149
21.08.2020 12:45:00; 0,132
05.09.2020 18:30:00; 0,132
03.10.2020 08:30:00; 0,253
29.11.2020 14:00:00; 0,168
01.12.2020 12:15:00; 0,168
20.01.2021 15:30:00; 0,168
02.02.2021 22:15:00; 0,294
22.03.2021 13:00:00; 0,198
08.04.2021 15:15:00; 0,179
01.05.2021 14:00:00; 0,198
28.06.2021 13:00:00; 0,130
13.07.2021 11:00:00; 0,113
11.08.2021 13:15:00; 0,149
09.09.2021 19:15:00; 0,179
21.10.2021 13:15:00; 0,037
01.11.2021 16:30:00; 0,074
27.12.2021 14:30:00; 0,124
