Messstelle:                ;Scheiblingkirchen
10.03.1996 09:00:00; 0,088
01.04.1996 08:30:00; 0,546
09.05.1996 03:00:00; 0,475
20.06.1996 13:30:00; 0,277
30.07.1996 21:00:00; 0,299
10.08.1996 23:15:00; 0,327
10.09.1996 05:45:00; 0,617
19.10.1996 08:30:00; 0,412
25.11.1996 02:15:00; 0,511
27.12.1996 21:45:00; 0,299
27.01.1997 09:24:10; 0,168
03.02.1997 03:37:00; 0,170
12.03.1997 08:24:25; 0,165
04.04.1997 15:17:25; 0,321
21.05.1997 21:18:40; 0,248
12.06.1997 02:50:00; 0,171
05.07.1997 08:30:10; 0,283
31.08.1997 23:59:55; 0,205
30.09.1997 23:59:55; 0,062
01.10.1997 00:00:00; 0,062
07.11.1997 16:52:00; 0,154
18.12.1997 14:05:00; 0,232
31.01.1998 23:59:55; 0,144
05.02.1998 16:01:55; 0,113
12.03.1998 11:11:30; 0,081
12.04.1998 02:59:20; 0,147
16.05.1998 12:04:10; 0,106
08.06.1998 16:29:55; 0,133
23.07.1998 21:02:25; 0,160
18.08.1998 00:13:50; 0,129
01.09.1998 00:00:00; 0,151
02.10.1998 04:04:40; 0,221
19.11.1998 09:26:30; 0,227
12.12.1998 11:42:35; 0,189
01.01.1999 00:00:00; 0,262
08.02.1999 00:06:05; 0,382
27.03.1999 18:53:50; 0,355
01.04.1999 16:01:35; 0,357
16.05.1999 22:32:45; 0,472
08.06.1999 00:16:15; 0,370
04.07.1999 22:28:45; 0,358
28.08.1999 23:07:50; 0,220
30.09.1999 21:54:05; 0,241
25.10.1999 07:18:25; 0,167
05.11.1999 15:33:05; 0,177
31.12.1999 23:59:55; 0,184
02.01.2000 20:30:40; 0,183
29.02.2000 23:59:55; 0,430
11.03.2000 17:33:05; 0,339
30.04.2000 23:59:55; 0,335
31.05.2000 07:31:40; 0,189
20.06.2000 23:36:00; 0,056
06.07.2000 22:46:10; 0,072
27.08.2000 05:21:05; 0,051
13.09.2000 05:09:10; 0,060
01.10.2000 07:13:50; 0,086
01.11.2000 00:00:00; 0,141
13.12.2000 09:33:55; 0,159
15.01.2001 00:02:20; 0,166
28.02.2001 11:10:30; 0,140
09.03.2001 21:05:05; 0,182
28.04.2001 18:17:15; 0,218
31.05.2001 09:06:40; 0,097
26.06.2001 00:38:20; 0,058
16.07.2001 04:14:55; 0,000
03.08.2001 22:46:30; 0,000
04.09.2001 15:43:25; 0,046
15.10.2001 12:12:15; 0,097
05.11.2001 12:15:50; 0,063
13.12.2001 13:11:20; 0,075
19.01.2002 02:18:10; 0,085
23.02.2002 21:04:50; 0,109
19.03.2002 10:41:20; 0,087
10.04.2002 10:35:55; 0,180
31.05.2002 23:59:55; 0,087
28.06.2002 08:39:15; 0,044
11.07.2002 01:06:20; 0,000
04.08.2002 00:16:20; 0,019
19.09.2002 16:43:05; 0,091
04.10.2002 17:52:40; 0,141
11.11.2002 18:04:35; 0,253
01.12.2002 18:14:40; 0,319
25.01.2003 16:19:10; 0,317
24.02.2003 05:21:25; 0,246
23.03.2003 09:06:00; 0,219
30.04.2003 23:59:55; 0,140
08.05.2003 00:53:55; 0,079
06.06.2003 04:55:45; 0,081
24.07.2003 21:59:30; 0,045
24.08.2003 22:25:40; 0,012
23.09.2003 22:26:40; 0,026
04.10.2003 04:18:25; 0,044
26.11.2003 14:16:10; 0,115
08.12.2003 12:16:25; 0,096
30.01.2004 14:46:05; 0,046
01.02.2004 06:30:50; 0,074
06.03.2004 02:46:30; 0,051
30.04.2004 23:59:55; 0,227
23.05.2004 16:09:45; 0,149
01.06.2004 09:32:40; 0,237
31.07.2004 21:40:15; 0,151
18.08.2004 06:53:35; 0,054
10.09.2004 15:08:50; 0,048
07.10.2004 20:37:20; 0,040
09.11.2004 05:01:25; 0,048
23.12.2004 02:44:45; 0,115
15.01.2005 17:02:10; 0,091
22.02.2005 09:26:05; 0,075
01.03.2005 04:47:15; 0,088
16.04.2005 18:09:15; 0,280
08.05.2005 17:48:30; 0,252
27.06.2005 22:57:15; 0,092
03.07.2005 18:11:20; 0,059
03.08.2005 01:06:35; 0,050
03.09.2005 19:59:00; 0,225
12.10.2005 19:12:30; 0,156
05.11.2005 12:10:35; 0,151
28.12.2005 10:44:35; 0,081
20.01.2006 12:13:35; 0,099
07.02.2006 09:43:00; 0,199
15.03.2006 09:03:15; 0,405
26.04.2006 01:28:00; 0,353
31.05.2006 19:38:00; 0,416
02.06.2006 05:51:15; 0,390
31.07.2006 23:59:55; 0,188
01.08.2006 01:35:00; 0,185
14.09.2006 18:59:55; 0,110
12.10.2006 13:25:55; 0,098
08.11.2006 09:28:50; 0,118
07.12.2006 06:31:10; 0,110
19.01.2007 06:34:25; 0,130
26.02.2007 03:21:55; 0,135
15.03.2007 02:38:20; 0,110
30.04.2007 13:25:20; 0,097
28.05.2007 22:52:15; 0,084
25.06.2007 20:18:45; 0,056
21.07.2007 01:22:35; 0,000
06.08.2007 02:33:25; 0,000
03.09.2007 21:42:40; 0,085
20.10.2007 10:57:10; 0,246
10.11.2007 14:26:10; 0,622
30.12.2007 21:44:10; 0,577
27.01.2008 08:43:25; 0,336
17.02.2008 11:14:40; 0,187
04.03.2008 18:35:35; 0,252
21.04.2008 16:58:25; 0,222
31.05.2008 23:59:55; 0,098
01.06.2008 00:00:00; 0,098
13.07.2008 03:33:25; 0,266
03.08.2008 17:22:05; 0,592
26.09.2008 04:45:45; 0,312
25.10.2008 19:26:45; 0,297
30.11.2008 23:59:55; 0,277
01.12.2008 11:29:30; 0,272
17.01.2009 10:42:00; 0,103
01.02.2009 00:00:00; 0,162
01.03.2009 03:21:45; 0,730
26.04.2009 15:46:25; 0,504
27.05.2009 22:43:10; 0,249
23.06.2009 14:11:45; 0,111
31.07.2009 23:59:55; 0,444
28.08.2009 18:03:00; 0,264
01.09.2009 20:18:10; 0,221
08.10.2009 11:12:20; 0,152
30.11.2009 18:21:00; 0,229
21.12.2009 23:34:40; 0,153
23.01.2010 21:24:25; 0,122
14.02.2010 11:00:50; 0,106
08.03.2010 09:55:35; 0,350
30.04.2010 00:16:50; 0,286
02.05.2010 17:54:15; 0,268
30.06.2010 02:15:50; 0,758
28.07.2010 23:18:40; 0,223
03.08.2010 02:21:45; 0,227
15.09.2010 02:10:40; 0,221
24.10.2010 18:10:30; 0,511
30.11.2010 23:59:55; 0,521
31.12.2010 09:23:05; 0,406
29.01.2011 04:19:30; 0,151
22.02.2011 08:39:55; 0,152
08.03.2011 02:03:10; 0,088
24.04.2011 13:42:05; 0,158
23.05.2011 22:41:30; 0,134
17.06.2011 01:39:55; 0,100
23.07.2011 00:52:45; 0,000
25.08.2011 00:34:30; 0,114
13.09.2011 22:44:40; 0,072
07.10.2011 00:09:30; 0,087
30.11.2011 23:59:55; 0,145
20.12.2011 22:28:40; 0,126
29.01.2012 06:15:05; 0,110
06.02.2012 01:57:20; 0,024
29.03.2012 19:29:25; 0,048
01.04.2012 04:06:20; 0,050
03.05.2012 12:43:15; 0,043
20.06.2012 21:47:00; 0,036
11.07.2012 16:07:50; 0,035
26.08.2012 09:47:15; 0,158
11.09.2012 18:13:15; 0,113
05.10.2012 20:08:50; 0,130
01.11.2012 00:00:00; 0,297
14.12.2012 10:32:10; 0,157
04.01.2013 00:47:50; 0,316
23.02.2013 11:00:00; 0,299
04.03.2013 10:15:00; 0,859
30.04.2013 23:59:55; 0,677
26.05.2013 18:50:00; 0,543
21.06.2013 23:00:00; 0,323
30.07.2013 22:28:35; 0,128
16.08.2013 20:40:00; 0,048
09.09.2013 01:00:00; 0,116
24.10.2013 08:40:00; 0,181
09.11.2013 05:37:55; 0,230
30.12.2013 18:05:00; 0,319
26.01.2014 03:30:00; 0,204
04.02.2014 09:05:00; 0,254
31.03.2014 20:51:40; 0,318
23.04.2014 19:55:00; 0,227
03.05.2014 09:30:00; 0,292
29.06.2014 19:25:00; 0,244
21.07.2014 23:15:00; 0,134
28.08.2014 21:35:00; 0,247
01.09.2014 02:15:00; 0,487
20.10.2014 22:10:00; 0,484
05.11.2014 09:15:00; 0,476
31.12.2014 02:40:00; 0,392
31.01.2015 23:59:55; 0,444
08.02.2015 01:30:00; 0,286
28.03.2015 13:50:00; 0,357
27.04.2015 18:00:00; 0,208
13.05.2015 23:15:00; 0,154
30.06.2015 20:50:00; 0,165
23.07.2015 00:00:00; 0,087
31.08.2015 04:50:00; 0,038
01.09.2015 00:00:00; 0,039
06.10.2015 20:50:05; 0,112
30.11.2015 23:59:55; 0,155
31.12.2015 12:50:00; 0,092
25.01.2016 09:10:00; 0,076
01.02.2016 00:00:00; 0,165
11.03.2016 03:30:00; 0,198
27.04.2016 00:40:00; 0,168
01.05.2016 04:05:00; 0,184
30.06.2016 19:20:00; 0,226
20.07.2016 22:15:00; 0,136
04.08.2016 21:45:00; 0,123
04.09.2016 19:30:00; 0,266
05.10.2016 19:30:00; 0,253
03.11.2016 15:35:00; 0,313
31.12.2016 10:40:00; 0,203
30.01.2017 08:15:00; 0,092
01.02.2017 02:05:00; 0,162
31.03.2017 23:59:55; 0,236
16.04.2017 20:55:00; 0,183
30.05.2017 21:15:00; 0,197
24.06.2017 22:45:00; 0,090
18.07.2017 23:10:35; 0,065
04.08.2017 01:30:00; 0,041
01.09.2017 00:00:00; 0,063
19.10.2017 13:15:05; 0,131
29.11.2017 12:55:00; 0,131
04.12.2017 07:40:00; 0,103
08.01.2018 00:05:00; 0,149
28.02.2018 22:15:00; 0,137
01.03.2018 00:00:00; 0,144
30.04.2018 18:05:00; 0,233
11.05.2018 20:35:00; 0,197
01.06.2018 00:05:00; 0,213
20.07.2018 20:30:00; 0,279
23.08.2018 20:20:00; 0,108
28.09.2018 22:55:00; 0,106
13.10.2018 21:25:00; 0,071
14.11.2018 06:05:00; 0,126
20.12.2018 08:20:00; 0,235
25.01.2019 23:35:00; 0,093
24.02.2019 09:42:15; 0,113
31.03.2019 23:40:00; 0,124
25.04.2019 22:30:00; 0,077
04.05.2019 21:35:00; 0,143
30.06.2019 19:50:00; 0,241
26.07.2019 23:30:00; 0,107
19.08.2019 02:55:00; 0,082
28.09.2019 03:00:00; 0,094
28.10.2019 01:40:00; 0,111
04.11.2019 04:20:00; 0,159
30.12.2019 06:30:00; 0,099
25.01.2020 04:50:00; 0,100
06.02.2020 07:45:00; 0,106
20.03.2020 16:35:00; 0,104
29.04.2020 07:35:00; 0,044
18.05.2020 07:35:00; 0,035
19.06.2020 03:25:00; 0,031
28.07.2020 17:35:00; 0,062
12.08.2020 18:20:00; 0,044
22.09.2020 22:32:00; 0,131
09.10.2020 22:05:00; 0,385
30.11.2020 23:59:55; 0,248
05.12.2020 02:05:00; 0,221
18.01.2021 05:25:55; 0,225
15.02.2021 11:46:10; 0,283
21.03.2021 08:50:40; 0,131
30.04.2021 02:00:00; 0,143
11.05.2021 21:50:00; 0,107
19.06.2021 22:15:00; 0,023
13.07.2021 01:45:00; 0,010
13.08.2021 00:50:00; 0,061
28.09.2021 20:55:00; 0,044
03.10.2021 00:00:00; 0,040
01.11.2021 00:00:00; 0,066
01.12.2021 00:00:00; 0,106
