Messstelle:                ;Moschendorf
21.12.2002 12:53:10;  1,58
21.01.2003 00:15:15;  1,18
14.02.2003 21:06:25; 0,333
23.03.2003 03:53:50;  1,05
06.04.2003 17:10:55; 0,984
31.05.2003 15:17:40; 0,001
28.06.2003 11:06:40; 0,478
31.07.2003 23:59:55; 0,191
29.08.2003 19:19:50; 0,116
23.09.2003 09:23:40; 0,068
03.10.2003 02:37:20; 0,116
21.11.2003 23:58:35; 0,206
26.12.2003 12:07:40; 0,225
25.01.2004 23:53:35; 0,384
02.02.2004 06:36:00; 0,369
15.03.2004 11:35:35; 0,803
30.04.2004 11:07:20;  1,59
21.05.2004 17:50:25;  1,09
01.06.2004 21:18:25;  1,21
31.07.2004 14:31:45;  1,68
29.08.2004 05:36:50; 0,967
12.09.2004 21:05:00; 0,344
01.10.2004 16:02:45; 0,784
06.11.2004 03:06:20;  1,18
22.12.2004 09:44:40; 0,641
28.01.2005 12:18:05; 0,546
14.02.2005 13:49:15; 0,653
01.03.2005 13:43:30; 0,734
18.04.2005 09:31:55;  2,11
18.05.2005 03:52:10;  1,20
27.06.2005 08:35:00; 0,445
28.07.2005 14:44:45; 0,601
03.08.2005 14:01:25; 0,711
05.09.2005 19:03:10;  1,01
10.10.2005 20:54:10; 0,473
18.11.2005 03:36:20; 0,993
26.12.2005 10:08:00;  1,27
01.01.2006 00:00:00;  1,32
07.02.2006 14:14:40; 0,784
20.03.2006 08:25:35; 0,946
17.04.2006 12:04:40;  1,31
16.05.2006 23:52:00;  1,70
27.06.2006 21:24:25;  1,30
29.07.2006 21:40:20; 0,685
12.08.2006 09:00:40;  1,09
12.09.2006 22:55:10;  1,03
11.10.2006 21:57:05;  1,02
16.11.2006 13:12:45;  1,07
10.12.2006 12:29:45; 0,447
16.01.2007 21:49:20;  1,07
24.02.2007 16:05:55;  1,09
07.03.2007 09:45:05;  1,04
27.04.2007 20:54:05;  1,02
26.05.2007 02:07:45; 0,390
02.06.2007 18:57:20; 0,445
03.07.2007 20:40:25; 0,267
11.08.2007 12:00:25; 0,300
03.09.2007 16:53:25; 0,931
11.10.2007 16:55:15; 0,506
03.11.2007 08:05:40;  1,32
19.12.2007 07:47:30;  1,39
05.01.2008 04:34:45;  1,62
17.02.2008 19:47:35;  1,41
15.03.2008 14:25:40;  1,47
09.04.2008 11:11:45;  1,48
30.05.2008 19:24:25; 0,535
01.06.2008 04:49:30; 0,514
07.07.2008 22:54:30;  1,13
29.08.2008 17:14:55; 0,653
28.09.2008 11:47:25; 0,756
19.10.2008 15:55:40; 0,572
04.11.2008 03:14:45;  1,37
01.12.2008 05:36:20;  1,45
15.01.2009 17:11:20;  2,06
19.02.2009 07:34:45;  1,97
03.03.2009 02:41:30;  3,22
27.04.2009 18:29:45;  2,25
22.05.2009 19:34:50; 0,957
20.06.2009 17:24:40;  1,44
30.07.2009 07:35:55;  2,53
29.08.2009 05:59:20;  2,09
22.09.2009 15:15:10; 0,928
09.10.2009 22:13:35;  1,35
02.11.2009 09:00:20;  1,47
19.12.2009 19:30:00;  2,18
27.01.2010 20:15:00;  1,82
09.02.2010 00:00:00;  1,90
31.03.2010 00:00:00;  3,00
13.04.2010 00:30:00;  2,01
25.05.2010 22:30:00;  1,58
13.06.2010 18:45:00;  1,94
03.07.2010 21:30:00;  1,29
02.08.2010 00:00:00;  1,78
15.09.2010 02:45:00;  2,47
25.10.2010 10:00:00;  1,32
04.11.2010 10:00:00;  2,99
30.12.2010 07:45:00;  3,15
30.01.2011 00:30:05;  2,88
23.02.2011 12:15:00;  1,66
08.03.2011 10:00:00;  1,60
13.04.2011 10:15:00;  1,45
24.05.2011 12:15:00;  1,48
13.06.2011 09:30:00;  1,30
14.07.2011 21:30:00; 0,850
27.08.2011 23:30:00; 0,606
05.09.2011 11:15:00; 0,640
06.10.2011 01:55:50; 0,417
04.11.2011 13:15:00; 0,786
23.12.2011 14:30:00; 0,727
19.01.2012 08:30:00;  1,22
07.02.2012 18:30:00; 0,602
04.03.2012 10:15:00; 0,695
01.04.2012 06:00:00; 0,560
30.05.2012 18:00:00; 0,602
20.06.2012 07:00:00; 0,510
04.07.2012 07:00:00; 0,482
31.08.2012 14:45:00; 0,449
10.09.2012 18:45:00; 0,955
12.10.2012 15:45:00;  1,10
01.11.2012 01:15:00;  1,71
13.12.2012 17:30:00;  1,31
02.01.2013 17:30:00;  1,39
16.02.2013 22:15:00;  2,78
27.03.2013 19:15:00;  4,82
29.04.2013 14:40:00;  4,17
28.05.2013 19:40:00;  3,15
21.06.2013 20:25:00; 0,837
29.07.2013 19:40:00; 0,630
03.08.2013 01:40:00; 0,416
04.09.2013 10:10:00; 0,874
02.10.2013 14:25:00; 0,912
03.11.2013 02:55:00;  1,20
06.12.2013 16:10:10;  1,11
24.01.2014 19:55:00;  1,53
05.02.2014 17:10:00;  1,88
12.03.2014 17:10:00;  2,69
18.04.2014 23:09:00;  1,51
04.05.2014 08:54:00;  1,32
23.06.2014 23:39:20;  1,56
17.07.2014 21:54:20;  1,67
17.08.2014 21:54:00;  1,70
08.09.2014 14:09:00;  3,91
21.10.2014 02:24:25;  3,62
06.11.2014 00:24:20;  3,74
30.12.2014 06:32:30;  3,39
05.01.2015 02:32:30;  3,13
09.02.2015 09:17:00;  3,04
23.03.2015 21:17:30;  3,07
23.04.2015 16:32:00; 0,891
05.05.2015 17:17:30;  1,90
30.06.2015 12:00:00; 0,947
08.07.2015 08:15:00; 0,127
13.08.2015 02:15:00; 0,268
21.09.2015 05:15:00; 0,223
02.10.2015 16:00:00; 0,203
30.11.2015 13:45:00; 0,296
07.12.2015 04:15:00; 0,919
04.01.2016 15:00:00; 0,817
09.02.2016 06:00:00; 0,975
28.03.2016 15:30:00;  1,23
20.04.2016 13:45:00;  1,16
01.05.2016 12:45:00;  1,60
10.06.2016 15:20:40;  2,91
12.07.2016 23:00:00;  1,59
31.08.2016 13:19:00;  3,38
29.09.2016 20:54:00;  1,61
02.10.2016 00:09:00;  1,60
05.11.2016 15:24:00;  2,04
12.12.2016 10:24:05;  1,19
31.01.2017 21:24:00;  1,70
19.02.2017 18:39:00;  1,23
16.03.2017 13:39:00;  1,23
20.04.2017 10:39:00;  1,23
31.05.2017 06:45:00; 0,491
25.06.2017 06:45:05; 0,659
01.07.2017 12:15:00;  1,03
05.08.2017 01:01:00; 0,554
14.09.2017 17:46:00;  1,06
08.10.2017 09:50:20;  1,16
25.11.2017 10:38:00; 0,574
15.12.2017 13:45:00; 0,969
22.01.2018 21:45:00;  1,35
28.02.2018 19:15:00;  1,23
01.03.2018 14:45:00;  1,46
20.04.2018 12:30:00;  1,46
10.05.2018 14:45:00;  1,36
01.06.2018 13:45:00;  1,16
28.07.2018 16:00:00; 0,521
10.08.2018 23:30:00; 0,463
01.09.2018 03:45:00; 0,389
22.10.2018 22:45:00; 0,185
15.11.2018 15:15:00; 0,920
24.12.2018 03:30:00;  1,02
01.01.2019 00:00:00;  1,11
22.02.2019 17:00:00;  1,18
20.03.2019 18:30:00; 0,572
22.04.2019 14:45:00; 0,557
03.05.2019 16:45:00; 0,646
20.06.2019 00:15:00; 0,606
26.07.2019 00:00:00; 0,159
16.08.2019 12:00:00; 0,131
19.09.2019 09:30:00; 0,189
23.10.2019 20:00:00; 0,225
03.11.2019 18:30:00; 0,222
30.12.2019 07:30:00;  1,44
30.01.2020 21:44:00; 0,912
05.02.2020 16:14:00; 0,673
30.03.2020 13:59:00; 0,283
24.04.2020 11:59:00; 0,189
31.05.2020 19:44:00; 0,092
03.06.2020 19:29:00; 0,140
01.07.2020 23:29:00; 0,498
14.08.2020 00:29:00; 0,960
18.09.2020 00:34:15;  1,73
31.10.2020 20:49:15;  3,26
16.11.2020 12:34:25;  1,57
01.12.2020 20:49:15;  2,45
22.01.2021 11:49:15;  2,96
13.02.2021 07:19:15;  1,85
22.03.2021 10:04:15; 0,867
12.04.2021 14:49:15;  1,63
10.05.2021 17:49:15;  1,59
25.06.2021 20:04:15; 0,958
27.07.2021 00:19:15; 0,445
01.08.2021 05:34:15; 0,762
12.09.2021 20:49:15; 0,527
26.10.2021 15:04:15; 0,366
01.11.2021 12:49:15; 0,916
29.12.2021 17:19:15; 0,990
