Messstelle:                ;Pöls
08.12.1954 12:00:00;  4,00
20.01.1955 12:00:00;  2,48
12.02.1955 12:00:00;  2,48
04.03.1955 12:00:00;  2,16
21.04.1955 12:00:00;  7,72
25.05.1955 12:00:00;  13,6
26.06.1955 12:00:00;  12,2
31.07.1955 12:00:00;  7,00
25.08.1955 12:00:00;  5,12
23.09.1955 12:00:00;  5,40
03.10.1955 12:00:00;  6,36
20.11.1955 12:00:00;  4,00
23.12.1955 12:00:00;  3,04
29.01.1956 12:00:00;  1,60
27.02.1956 12:00:00;  2,16
11.03.1956 12:00:00;  2,32
08.04.1956 12:00:00;  2,16
01.05.1956 12:00:00;  10,8
30.06.1956 12:00:00;  15,5
30.07.1956 12:00:00;  7,72
17.08.1956 12:00:00;  5,40
30.09.1956 12:00:00;  6,36
21.10.1956 12:00:00;  2,64
25.11.1956 12:00:00;  4,84
25.12.1956 12:00:00;  2,48
18.01.1957 12:00:00;  2,16
26.02.1957 12:00:00;  2,64
02.03.1957 12:00:00;  2,48
21.04.1957 12:00:00;  8,44
12.05.1957 12:00:00;  11,7
30.06.1957 12:00:00;  8,44
14.07.1957 12:00:00;  8,44
16.08.1957 12:00:00;  8,80
29.09.1957 12:00:00;  7,36
13.10.1957 12:00:00;  3,52
30.11.1957 12:00:00;  2,64
30.12.1957 12:00:00;  2,64
23.01.1958 12:00:00;  1,36
27.02.1958 12:00:00;  1,80
19.03.1958 12:00:00;  1,80
11.04.1958 12:00:00;  3,52
03.05.1958 12:00:00;  7,36
18.06.1958 12:00:00;  6,04
27.07.1958 12:00:00;  3,76
02.08.1958 12:00:00;  6,68
17.09.1958 12:00:00;  6,04
12.10.1958 12:00:00;  6,36
30.11.1958 12:00:00;  10,8
31.12.1958 12:00:00;  6,68
12.01.1959 12:00:00;  3,76
12.02.1959 12:00:00;  2,48
17.03.1959 12:00:00;  4,28
04.04.1959 12:00:00;  2,36
18.05.1959 12:00:00;  9,20
05.06.1959 12:00:00;  10,0
12.07.1959 12:00:00;  11,7
31.08.1959 12:00:00;  11,7
29.09.1959 12:00:00;  5,40
18.10.1959 12:00:00;  2,16
22.11.1959 12:00:00;  2,48
18.12.1959 12:00:00;  2,16
11.01.1960 12:00:00; 0,700
09.02.1960 12:00:00;  1,30
14.03.1960 12:00:00;  3,02
03.04.1960 12:00:00;  6,86
07.05.1960 12:00:00;  6,68
26.06.1960 12:00:00;  7,72
11.07.1960 12:00:00;  7,00
18.08.1960 12:00:00;  8,08
04.09.1960 12:00:00;  9,20
29.10.1960 12:00:00;  9,20
26.11.1960 12:00:00;  6,36
31.12.1960 12:00:00;  5,12
19.01.1961 12:00:00;  2,00
05.02.1961 12:00:00;  3,04
05.03.1961 12:00:00;  4,28
03.04.1961 12:00:00;  6,36
22.05.1961 12:00:00;  7,84
18.06.1961 12:00:00;  8,52
30.07.1961 12:00:00;  4,18
07.08.1961 12:00:00;  4,40
29.09.1961 12:00:00;  3,74
07.10.1961 12:00:00;  3,52
01.11.1961 12:00:00;  4,00
09.12.1961 12:00:00;  3,52
30.01.1962 12:00:00;  2,48
11.02.1962 12:00:00;  2,68
16.03.1962 12:00:00;  1,57
12.04.1962 12:00:00;  4,80
06.05.1962 12:00:00;  11,9
30.06.1962 12:00:00;  15,4
08.07.1962 12:00:00;  9,08
31.08.1962 12:00:00;  9,44
30.09.1962 12:00:00;  6,00
06.10.1962 12:00:00;  3,76
04.11.1962 12:00:00;  2,48
23.12.1962 12:00:00;  2,18
18.01.1963 12:00:00;  1,30
28.02.1963 12:00:00;  1,30
03.03.1963 12:00:00;  1,18
04.04.1963 12:00:00;  3,76
09.05.1963 12:00:00;  11,9
16.06.1963 12:00:00;  11,7
31.07.1963 12:00:00;  8,18
04.08.1963 12:00:00;  4,70
30.09.1963 12:00:00;  8,18
06.10.1963 12:00:00;  4,18
03.11.1963 12:00:00;  3,74
24.12.1963 12:00:00;  2,27
17.01.1964 12:00:00;  1,24
22.02.1964 12:00:00;  1,18
30.03.1964 12:00:00;  1,75
11.04.1964 12:00:00;  2,76
01.05.1964 12:00:00;  7,18
13.06.1964 12:00:00;  5,00
31.07.1964 12:00:00;  4,70
10.08.1964 12:00:00;  5,60
30.09.1964 12:00:00;  2,58
04.10.1964 12:00:00;  5,00
16.11.1964 12:00:00;  9,60
28.12.1964 12:00:00;  4,70
27.01.1965 12:00:00;  2,27
28.02.1965 12:00:00;  2,40
04.03.1965 12:00:00;  1,39
19.04.1965 12:00:00;  6,22
01.05.1965 12:00:00;  6,54
30.06.1965 12:00:00;  32,2
24.07.1965 12:00:00;  12,2
22.08.1965 12:00:00;  9,60
26.09.1965 12:00:00;  8,10
31.10.1965 12:00:00;  6,22
18.11.1965 12:00:00;  2,76
16.12.1965 12:00:00;  2,40
14.01.1966 12:00:00;  1,48
16.02.1966 12:00:00;  2,40
06.03.1966 12:00:00;  2,27
02.04.1966 12:00:00;  2,58
31.05.1966 12:00:00;  7,56
23.06.1966 12:00:00;  5,60
04.07.1966 12:00:00;  6,56
15.08.1966 12:00:00;  12,5
30.09.1966 12:00:00;  9,20
31.10.1966 12:00:00;  5,45
27.11.1966 12:00:00;  4,40
27.12.1966 12:00:00;  3,74
11.01.1967 12:00:00;  2,27
15.02.1967 12:00:00;  1,75
02.03.1967 12:00:00;  3,96
08.04.1967 12:00:00;  6,22
01.05.1967 12:00:00;  11,1
17.06.1967 12:00:00;  13,8
17.07.1967 12:00:00;  8,10
28.08.1967 12:00:00;  4,90
01.09.1967 12:00:00;  3,90
25.10.1967 12:00:00;  2,70
29.11.1967 12:00:00;  3,70
10.12.1967 12:00:00;  1,50
14.01.1968 12:00:00;  1,34
19.02.1968 12:00:00;  1,90
13.03.1968 12:00:00;  1,50
14.04.1968 12:00:00;  7,75
25.05.1968 12:00:00;  7,05
04.06.1968 12:00:00;  8,10
11.07.1968 12:00:00;  5,92
01.08.1968 12:00:00;  8,28
29.09.1968 12:00:00;  7,20
29.10.1968 12:00:00;  5,73
07.11.1968 12:00:00;  3,46
30.12.1968 12:00:00;  1,34
17.01.1969 12:00:00;  1,68
12.02.1969 12:00:00;  1,34
07.03.1969 12:00:00;  1,48
06.04.1969 12:00:00;  3,30
31.05.1969 12:00:00;  5,92
29.06.1969 12:00:00;  5,92
06.07.1969 12:00:00;  4,76
24.08.1969 12:00:00;  3,20
21.09.1969 12:00:00;  4,40
28.10.1969 12:00:00;  2,15
12.11.1969 12:00:00;  1,79
27.12.1969 12:00:00;  1,66
23.01.1970 12:00:00;  1,88
17.02.1970 12:00:00;  1,30
08.03.1970 12:00:00;  1,66
06.04.1970 12:00:00;  2,58
04.05.1970 12:00:00;  8,92
26.06.1970 12:00:00;  10,6
14.07.1970 12:00:00;  9,30
01.08.1970 12:00:00;  12,8
27.09.1970 12:00:00;  7,06
19.10.1970 12:00:00;  6,38
26.11.1970 12:00:00;  5,70
25.12.1970 12:00:00;  2,56
30.01.1971 12:00:00;  2,72
28.02.1971 12:00:00;  1,20
05.03.1971 12:00:00;  1,50
01.04.1971 12:00:00;  2,56
01.05.1971 12:00:00;  6,36
19.06.1971 12:00:00;  5,49
31.07.1971 12:00:00;  5,20
26.08.1971 12:00:00;  4,10
05.09.1971 12:00:00;  2,99
03.10.1971 12:00:00;  2,73
06.11.1971 12:00:00;  2,02
10.12.1971 12:00:00;  1,39
07.01.1972 12:00:00;  1,39
16.02.1972 12:00:00;  1,54
22.03.1972 12:00:00;  2,15
01.04.1972 12:00:00;  4,09
05.05.1972 12:00:00;  11,2
29.06.1972 12:00:00;  13,8
10.07.1972 12:00:00;  9,02
26.08.1972 12:00:00;  6,84
30.09.1972 12:00:00;  5,81
14.10.1972 12:00:00;  3,23
26.11.1972 12:00:00;  3,10
30.12.1972 12:00:00;  2,20
27.01.1973 12:00:00;  2,40
16.02.1973 12:00:00;  1,74
11.03.1973 12:00:00;  1,26
06.04.1973 12:00:00;  2,97
01.05.1973 12:00:00;  6,07
03.06.1973 12:00:00;  10,5
31.07.1973 12:00:00;  6,84
23.08.1973 12:00:00;  4,31
21.09.1973 12:00:00;  3,36
31.10.1973 12:00:00;  5,34
16.11.1973 12:00:00;  3,79
05.12.1973 12:00:00;  2,74
13.01.1974 12:00:00;  3,23
09.02.1974 12:00:00;  2,97
17.03.1974 12:00:00;  3,23
28.04.1974 12:00:00;  7,42
09.05.1974 12:00:00;  11,2
29.06.1974 12:00:00;  10,2
31.07.1974 12:00:00;  9,49
22.08.1974 12:00:00;  6,65
20.09.1974 12:00:00;  2,60
30.10.1974 12:00:00;  4,32
23.11.1974 12:00:00;  3,12
15.12.1974 12:00:00;  3,25
29.01.1975 12:00:00;  3,76
17.02.1975 12:00:00;  2,20
01.03.1975 12:00:00;  2,86
04.04.1975 12:00:00;  4,10
02.05.1975 12:00:00;  23,4
11.06.1975 12:00:00;  19,2
28.07.1975 12:00:00;  12,5
23.08.1975 12:00:00;  6,65
20.09.1975 12:00:00;  3,25
31.10.1975 12:00:00;  4,32
24.11.1975 12:00:00;  2,20
20.12.1975 12:00:00;  1,85
26.01.1976 12:00:00;  1,81
08.02.1976 22:30:00;  2,05
22.03.1976 10:30:00;  1,99
01.04.1976 13:00:00;  4,83
01.05.1976 08:30:00;  7,03
30.06.1976 18:30:00;  6,23
17.07.1976 17:30:00;  3,92
27.08.1976 13:00:00;  5,67
29.09.1976 09:00:00;  3,98
12.10.1976 16:00:00;  5,14
09.11.1976 15:30:00;  4,54
28.12.1976 07:00:00;  2,72
19.01.1977 09:30:00;  2,49
03.02.1977 09:30:00;  2,22
01.03.1977 08:30:00;  2,83
17.04.1977 09:00:00;  7,36
31.05.1977 23:59:55;  16,6
30.06.1977 04:00:00;  7,16
14.07.1977 00:30:00;  4,74
31.08.1977 23:30:00;  6,65
30.09.1977 14:00:00;  4,27
28.10.1977 04:00:00;  3,47
20.11.1977 08:30:00;  2,56
23.12.1977 10:30:00;  1,92
06.01.1978 10:00:00;  1,57
05.02.1978 10:00:00;  1,73
14.03.1978 05:30:00;  2,41
18.04.1978 13:30:00;  4,19
17.05.1978 12:00:00;  9,32
23.06.1978 21:00:00;  7,73
31.07.1978 08:00:00;  8,02
30.08.1978 18:00:00;  4,93
03.09.1978 06:30:00;  5,02
28.10.1978 08:30:00;  5,59
25.11.1978 14:30:00;  3,09
08.12.1978 07:30:00;  2,06
01.01.1979 21:00:00;  1,71
22.02.1979 08:00:00;  1,66
01.03.1979 11:30:00;  2,03
10.04.1979 12:00:00;  3,24
04.05.1979 07:30:00;  6,94
14.06.1979 15:00:00;  11,9
29.07.1979 14:00:00;  8,59
29.08.1979 08:00:00;  5,87
01.09.1979 14:00:00;  4,60
11.10.1979 12:30:00;  3,88
01.11.1979 08:30:00;  2,72
05.12.1979 12:00:00;  4,95
14.01.1980 08:30:00;  2,76
22.02.1980 09:00:00;  2,05
05.03.1980 09:00:00;  2,23
11.04.1980 17:00:00;  3,92
01.05.1980 07:30:00;  5,26
23.06.1980 08:30:00;  15,3
29.07.1980 20:00:00;  8,65
21.08.1980 19:30:00;  5,67
29.09.1980 17:00:00;  5,11
04.10.1980 08:30:00;  3,06
30.11.1980 10:00:00;  3,67
29.12.1980 09:00:00;  3,50
10.01.1981 09:30:00;  2,89
27.02.1981 07:30:00;  2,36
06.03.1981 09:00:00;  2,94
30.04.1981 20:00:00;  9,85
06.05.1981 15:00:00;  9,25
30.06.1981 16:00:00;  8,74
11.07.1981 12:30:00;  6,32
31.08.1981 20:30:00;  8,78
05.09.1981 13:00:00;  6,03
16.10.1981 11:30:00;  6,29
26.11.1981 08:30:00;  6,70
21.12.1981 07:00:00;  2,97
08.01.1982 10:00:00;  2,49
21.02.1982 11:00:00;  2,59
25.03.1982 10:00:00;  3,08
29.04.1982 13:30:00;  5,64
02.05.1982 13:30:00;  5,31
25.06.1982 10:30:00;  9,64
31.07.1982 12:30:00;  5,69
19.08.1982 04:30:00;  4,45
07.09.1982 12:00:00;  3,20
01.10.1982 04:00:00;  5,41
25.11.1982 15:30:00;  4,93
31.12.1982 03:30:00;  3,27
25.01.1983 09:00:00;  4,42
23.02.1983 05:30:00;  2,94
22.03.1983 05:30:00;  3,30
08.04.1983 11:30:00;  5,36
06.05.1983 12:00:00;  11,1
25.06.1983 14:00:00;  7,96
27.07.1983 19:30:00;  4,38
15.08.1983 17:00:00;  2,91
09.09.1983 07:30:00;  3,82
25.10.1983 08:30:00;  4,39
15.11.1983 07:30:00;  3,61
02.12.1983 13:30:00;  2,39
26.01.1984 10:00:00;  2,19
12.02.1984 11:30:00;  2,00
10.03.1984 04:00:00;  2,00
01.04.1984 13:00:00;  3,03
02.05.1984 10:00:00;  6,31
27.06.1984 17:30:00;  10,4
20.07.1984 06:30:00;  4,74
31.08.1984 23:59:55;  5,17
03.09.1984 21:00:00;  4,95
28.10.1984 22:30:00;  6,62
30.11.1984 23:59:55;  4,82
24.12.1984 05:30:00;  2,63
08.01.1985 02:30:00;  2,16
13.02.1985 08:30:00;  2,34
02.03.1985 18:00:00;  2,85
18.04.1985 23:00:00;  4,97
06.05.1985 03:00:00;  6,32
30.06.1985 23:59:55;  11,2
17.07.1985 04:30:00;  6,56
04.08.1985 03:30:00;  7,86
26.09.1985 17:30:00;  6,28
22.10.1985 09:00:00;  4,88
28.11.1985 12:30:00;  3,05
25.12.1985 12:30:00;  3,52
28.01.1986 10:15:00;  2,07
28.02.1986 11:30:00;  1,82
01.03.1986 12:45:00;  2,33
03.04.1986 15:15:00;  4,04
28.05.1986 16:15:00;  15,9
29.06.1986 16:00:00;  9,85
24.07.1986 00:00:00;  6,16
10.08.1986 16:30:00;  5,02
08.09.1986 20:30:00;  6,70
20.10.1986 00:15:00;  4,10
30.11.1986 11:00:00;  3,20
26.12.1986 07:30:00;  2,27
30.01.1987 17:00:00;  1,61
25.02.1987 11:00:00;  2,07
04.03.1987 08:15:00;  2,07
03.04.1987 17:00:00;  3,42
24.05.1987 15:30:00;  15,4
28.06.1987 17:45:00;  14,5
23.07.1987 21:15:00;  8,42
31.08.1987 10:15:00;  7,79
30.09.1987 23:59:55;  5,34
06.10.1987 14:45:00;  4,21
16.11.1987 10:30:00;  4,21
09.12.1987 13:00:00;  2,80
13.01.1988 09:45:00;  2,92
14.02.1988 08:00:00;  2,52
10.03.1988 10:45:00;  2,07
02.04.1988 16:15:00;  3,38
01.05.1988 17:15:00;  11,9
27.06.1988 20:45:00;  9,64
29.07.1988 16:30:00;  6,42
17.08.1988 18:15:00;  4,21
01.09.1988 19:30:00;  6,42
29.10.1988 12:15:00;  4,54
23.11.1988 07:00:00;  2,78
17.12.1988 09:45:00;  2,18
25.01.1989 09:30:00;  3,25
18.02.1989 13:30:00;  3,80
09.03.1989 09:00:00;  3,80
25.04.1989 19:45:00;  7,60
01.05.1989 15:45:00;  7,29
17.06.1989 11:45:00;  11,5
30.07.1989 16:00:00;  9,64
06.08.1989 14:15:00;  10,0
27.09.1989 17:45:00;  7,30
25.10.1989 13:30:00;  6,42
26.11.1989 11:15:00;  4,42
29.12.1989 12:45:00;  2,79
05.01.1990 11:15:00;  3,43
14.02.1990 20:15:00;  3,06
08.03.1990 15:45:00;  4,42
18.04.1990 16:45:00;  7,19
01.05.1990 00:00:00;  8,35
02.06.1990 17:00:00;  9,64
31.07.1990 19:45:00;  7,30
21.08.1990 22:15:00;  4,42
17.09.1990 14:30:00;  4,42
18.10.1990 15:30:00;  4,65
09.11.1990 12:30:00;  4,21
31.12.1990 00:00:00;  4,42
17.01.1991 10:45:00;  2,07
28.02.1991 17:00:00;  2,18
27.03.1991 00:45:00;  1,69
04.04.1991 12:45:00;  1,59
01.05.1991 16:00:00;  3,82
26.06.1991 18:00:00;  8,10
17.07.1991 10:00:00;  4,63
22.08.1991 13:00:00;  4,21
11.09.1991 13:00:00;  2,09
02.10.1991 14:45:00;  1,57
06.11.1991 09:15:00;  1,65
22.12.1991 13:00:00;  1,30
21.01.1992 07:45:00;  2,09
12.02.1992 11:45:00;  2,09
24.03.1992 15:00:00;  1,81
02.04.1992 11:00:00;  1,90
31.05.1992 09:45:00;  12,7
24.06.1992 20:30:00;  4,42
31.07.1992 16:45:00;  1,99
04.08.1992 15:00:00;  1,87
29.09.1992 20:45:00;  1,39
15.10.1992 09:45:00;  2,30
03.11.1992 13:30:00;  2,09
22.12.1992 23:00:00;  2,09
26.01.1993 05:15:00;  1,12
24.02.1993 03:15:00;  1,69
10.03.1993 11:45:00;  1,19
20.04.1993 13:00:00;  2,18
19.05.1993 12:45:00;  6,34
20.06.1993 15:15:00;  2,09
05.07.1993 16:45:00;  2,24
17.08.1993 12:15:00;  2,03
13.09.1993 09:45:00;  2,73
01.10.1993 07:00:00;  2,03
19.11.1993 13:30:00;  2,24
19.12.1993 14:00:00;  1,83
19.01.1994 09:15:00;  2,09
10.02.1994 12:45:00;  2,19
14.03.1994 10:30:00;  2,30
08.04.1994 15:30:00;  3,79
18.05.1994 16:45:00;  9,07
20.06.1994 14:30:00;  4,54
01.07.1994 09:45:00;  2,60
21.08.1994 22:15:00;  1,99
15.09.1994 08:45:00;  1,99
28.10.1994 21:00:00;  2,53
16.11.1994 12:15:00;  1,43
01.12.1994 07:45:00;  1,81
28.01.1995 07:15:00;  2,66
22.02.1995 10:30:00;  1,99
08.03.1995 12:00:00;  2,92
15.04.1995 14:30:00;  3,21
16.05.1995 12:45:00;  8,42
20.06.1995 13:45:00;  4,55
18.07.1995 23:15:00;  2,54
08.08.1995 14:15:00;  2,91
22.09.1995 18:00:00;  3,34
28.10.1995 10:15:00;  3,19
23.11.1995 17:30:00;  1,73
29.12.1995 05:30:00;  1,50
22.01.1996 14:00:00;  1,47
01.02.1996 14:30:00;  1,04
14.03.1996 19:45:00;  1,27
04.04.1996 17:45:00;  2,30
25.05.1996 06:30:00;  7,48
22.06.1996 05:00:00;  2,13
27.07.1996 16:30:00;  2,01
02.08.1996 18:15:00;  2,66
03.09.1996 06:00:00;  2,86
30.10.1996 09:15:00;  6,67
07.11.1996 20:00:00;  6,67
21.12.1996 19:00:00;  1,58
13.01.1997 10:34:20;  2,07
13.02.1997 23:33:45;  1,55
26.03.1997 10:36:50;  1,61
09.04.1997 21:41:50;  1,28
31.05.1997 10:03:55;  8,24
08.06.1997 19:30:20;  2,56
05.07.1997 03:31:50;  5,67
23.08.1997 07:49:55;  3,99
03.09.1997 11:53:00;  1,68
19.10.1997 09:52:25;  1,41
28.11.1997 17:30:05;  1,33
18.12.1997 11:00:50;  3,05
22.01.1998 12:18:55;  1,76
15.02.1998 14:02:15;  1,52
30.03.1998 19:48:45;  2,35
14.04.1998 07:41:50;  2,08
26.05.1998 15:05:50;  3,73
30.06.1998 11:57:45;  3,32
23.07.1998 21:11:20;  2,39
18.08.1998 19:00:40;  4,47
03.09.1998 18:06:10;  6,07
28.10.1998 08:55:30;  2,36
28.11.1998 22:57:20;  3,05
01.12.1998 11:36:35;  2,32
31.01.1999 10:04:30;  3,27
01.02.1999 04:37:15;  3,29
17.03.1999 06:54:55;  2,36
01.04.1999 18:03:00;  4,60
04.05.1999 08:56:25;  13,5
30.06.1999 23:59:55;  9,78
21.07.1999 21:24:40;  3,74
16.08.1999 00:16:55;  3,66
29.09.1999 11:43:30;  4,02
26.10.1999 10:41:30;  2,87
06.11.1999 08:50:25;  2,91
08.12.1999 17:13:35;  2,56
31.01.2000 12:01:05;  2,24
29.02.2000 18:23:15;  2,28
17.03.2000 22:10:05;  2,34
05.04.2000 11:06:45;  2,21
26.05.2000 11:23:45;  4,35
23.06.2000 15:11:45;  2,95
30.07.2000 14:04:50;  2,77
13.08.2000 19:13:35;  5,13
17.09.2000 10:54:15;  2,98
26.10.2000 04:30:15;  2,92
02.11.2000 03:39:25;  3,20
27.12.2000 03:39:40;  2,89
26.01.2001 08:56:00;  2,26
07.02.2001 22:28:25;  2,39
14.03.2001 08:31:20;  2,67
02.04.2001 11:47:10;  2,12
28.05.2001 10:27:20;  6,66
27.06.2001 18:37:25;  3,20
14.07.2001 14:53:55;  2,15
26.08.2001 08:26:05;  2,51
10.09.2001 15:19:50;  2,87
08.10.2001 10:53:25;  2,79
23.11.2001 16:02:30;  2,15
17.12.2001 15:14:05;  2,20
25.01.2002 18:09:45;  2,76
22.02.2002 11:04:25;  2,70
08.03.2002 09:22:30;  2,43
11.04.2002 09:53:40;  3,88
28.05.2002 18:00:00;  6,04
29.06.2002 07:45:00;  3,37
21.07.2002 19:45:00;  2,49
03.08.2002 23:30:00;  3,27
15.09.2002 03:00:00;  2,50
01.10.2002 07:30:00;  2,35
12.11.2002 07:30:00;  3,19
28.12.2002 09:00:00;  3,31
12.01.2003 08:30:00;  3,46
06.02.2003 01:30:00;  2,18
07.03.2003 23:15:00;  2,22
16.04.2003 16:14:15;  2,29
15.05.2003 17:09:30;  2,72
09.06.2003 17:07:15;  2,56
17.07.2003 17:19:10;  2,05
21.08.2003 14:07:45;  2,36
19.09.2003 13:52:15;  2,38
04.10.2003 05:58:55;  2,78
11.11.2003 04:30:00;  2,73
01.12.2003 14:00:00;  2,86
24.01.2004 09:35:10;  2,75
25.02.2004 10:15:00;  2,41
19.03.2004 10:15:00;  2,10
03.04.2004 18:30:00;  2,29
12.05.2004 19:45:00;  6,01
07.06.2004 13:00:00;  5,10
27.07.2004 07:15:00;  2,09
10.08.2004 06:45:00;  2,20
17.09.2004 13:30:00;  2,21
28.10.2004 07:15:00;  1,95
29.11.2004 14:00:00;  2,26
01.12.2004 08:00:00;  2,37
28.01.2005 23:30:00;  2,77
17.02.2005 06:00:00;  2,40
12.03.2005 08:00:00;  2,52
10.04.2005 11:30:00;  4,96
11.05.2005 08:30:00;  12,4
25.06.2005 13:45:00;  3,19
06.07.2005 19:00:00;  4,75
11.08.2005 18:45:00;  4,35
24.09.2005 18:00:00;  3,49
13.10.2005 19:45:00;  6,67
22.11.2005 04:30:00;  3,19
20.12.2005 12:30:00;  2,40
16.01.2006 14:45:00;  3,16
03.02.2006 15:00:00;  2,53
05.03.2006 09:45:00;  2,09
07.04.2006 21:15:00;  5,63
10.05.2006 10:30:00;  6,96
28.06.2006 19:30:00;  6,12
22.07.2006 20:15:00;  3,40
23.08.2006 14:00:00;  3,66
16.09.2006 23:18:20;  3,31
10.10.2006 06:45:00;  3,20
17.11.2006 15:15:00;  2,78
07.12.2006 14:30:00;  2,91
26.01.2007 05:15:00;  2,91
28.02.2007 15:45:00;  2,78
20.03.2007 04:45:00;  2,78
01.04.2007 05:30:00;  4,96
21.05.2007 10:07:10;  3,25
18.06.2007 12:36:55;  2,95
23.07.2007 17:15:00;  2,78
21.08.2007 07:00:00;  2,78
06.09.2007 00:00:00;  2,78
21.10.2007 08:30:00;  3,20
09.11.2007 16:00:00;  2,78
30.12.2007 01:45:00;  3,49
27.01.2008 08:45:00;  2,78
08.02.2008 10:00:00;  2,78
12.03.2008 06:30:00;  2,78
03.04.2008 11:00:00;  2,78
03.05.2008 04:45:00;  7,54
30.06.2008 05:45:00;  3,35
02.07.2008 18:00:00;  3,35
15.08.2008 09:15:00;  4,35
03.09.2008 14:00:00;  3,20
05.10.2008 10:00:00;  3,20
26.11.2008 09:00:00;  3,19
12.12.2008 04:30:00;  2,78
10.01.2009 08:55:30;  3,03
07.02.2009 18:15:00;  2,78
22.03.2009 07:30:00;  3,65
01.04.2009 08:53:40;  5,31
29.05.2009 14:45:00;  13,0
19.06.2009 19:30:00;  4,75
24.07.2009 22:45:00;  6,39
22.08.2009 15:15:00;  3,20
30.09.2009 06:45:00;  4,36
23.10.2009 14:30:00;  5,40
20.11.2009 09:30:00;  6,95
22.12.2009 13:00:00;  3,20
04.01.2010 12:30:00;  3,34
19.02.2010 09:30:00;  3,05
16.03.2010 22:00:00;  2,91
21.04.2010 13:30:00;  2,36
05.05.2010 14:45:00;  5,64
18.06.2010 11:15:00;  5,17
09.07.2010 14:45:00;  3,50
20.08.2010 14:30:00;  3,06
27.09.2010 06:00:00;  3,49
06.10.2010 14:30:00;  3,49
17.11.2010 19:30:00;  3,19
04.12.2010 17:15:00;  2,66
26.01.2011 03:35:00;  3,11
07.02.2011 21:35:00;  2,95
21.03.2011 08:35:00;  3,41
12.04.2011 05:35:00;  3,55
08.05.2011 09:35:00;  3,72
01.06.2011 10:20:00;  4,25
07.07.2011 12:19:55;  3,05
19.08.2011 20:05:00;  2,90
17.09.2011 16:35:00;  2,90
19.10.2011 19:35:00;  2,90
28.11.2011 19:05:00;  4,37
08.12.2011 01:05:00;  2,47
16.01.2012 07:50:00;  2,47
02.02.2012 02:20:00;  2,47
07.03.2012 11:50:00;  2,47
16.04.2012 05:47:00;  4,12
19.05.2012 17:17:00;  4,57
08.06.2012 18:02:00;  3,17
03.07.2012 16:47:00;  4,30
22.08.2012 18:32:00;  2,47
26.09.2012 22:47:00;  3,43
29.10.2012 04:17:00;  2,47
28.11.2012 06:16:55;  1,90
08.12.2012 19:47:00;  1,89
17.01.2013 16:46:55;  1,90
07.02.2013 14:47:00;  1,89
16.03.2013 09:02:00;  1,89
12.04.2013 17:31:55;  1,90
24.05.2013 11:47:00;  4,94
29.06.2013 06:47:00;  4,86
11.07.2013 18:17:00;  2,47
30.08.2013 10:47:45;  2,47
18.09.2013 08:32:45;  2,47
