Messstelle:                ;Teichlbrücke
16.10.1973 12:00:00;  1,59
05.11.1973 12:00:00;  1,78
20.12.1973 12:00:00;  2,48
11.01.1974 12:00:00;  2,48
28.02.1974 12:00:00;  2,97
11.03.1974 12:00:00;  2,97
27.04.1974 12:00:00;  4,45
13.05.1974 12:00:00;  6,70
23.06.1974 12:00:00;  6,70
30.07.1974 12:00:00;  5,13
31.08.1974 12:00:00;  2,70
17.09.1974 12:00:00;  2,00
15.10.1974 12:00:00;  2,70
10.11.1974 12:00:00;  3,05
24.12.1974 12:00:00;  4,10
30.01.1975 12:00:00;  4,45
25.02.1975 12:00:00;  2,70
01.03.1975 12:00:00;  3,05
03.04.1975 12:00:00;  4,10
29.05.1975 12:00:00;  11,2
24.06.1975 12:00:00;  6,25
31.07.1975 12:00:00;  6,57
24.08.1975 12:00:00;  3,55
30.09.1975 12:00:00;  1,90
13.10.1975 12:00:00;  1,90
16.11.1975 12:00:00;  1,68
31.12.1975 12:00:00;  1,34
01.01.1976 00:00:00; Lücke
01.01.1976 08:00:00;  1,68
11.02.1976 08:00:00;  1,93
12.03.1976 08:00:00;  1,93
11.04.1976 08:00:00;  3,96
02.05.1976 08:00:00;  3,96
29.06.1976 08:00:00;  3,00
06.07.1976 08:00:00;  1,93
18.08.1976 08:00:00;  3,55
26.09.1976 10:00:00;  2,66
14.10.1976 10:00:00;  1,93
02.11.1976 08:00:00;  1,68
01.12.1976 00:00:00;  2,50
23.01.1977 08:00:00;  1,68
04.02.1977 08:00:00;  2,35
02.03.1977 08:00:00;  4,17
13.04.1977 08:00:00;  3,55
30.05.1977 08:00:00;  4,62
24.06.1977 08:00:00;  3,36
14.07.1977 08:00:00;  1,93
29.08.1977 10:00:00;  2,25
08.09.1977 08:00:00;  1,95
29.10.1977 08:00:00;  1,30
01.11.1977 00:00:00;  1,42
01.12.1977 02:00:00;  1,67
26.01.1978 08:00:00;  1,95
21.02.1978 10:00:00;  1,42
13.03.1978 08:00:00;  3,32
18.04.1978 08:00:00;  4,41
15.05.1978 08:00:00;  6,53
18.06.1978 08:00:00;  3,73
31.07.1978 10:00:00;  2,94
30.08.1978 08:00:00;  1,81
05.09.1978 08:00:00;  1,95
22.10.1978 08:00:00;  2,41
25.11.1978 08:00:00;  1,81
05.12.1978 08:00:00;  1,67
22.01.1979 08:00:00;  1,54
02.02.1979 08:00:00;  1,67
03.03.1979 08:00:00;  1,67
01.04.1979 02:00:00;  3,29
07.05.1979 08:00:00;  6,14
12.06.1979 08:00:00;  4,35
27.07.1979 08:00:00;  4,12
31.08.1979 23:59:55;  3,09
13.09.1979 10:00:00;  2,25
14.10.1979 08:00:00;  1,68
01.11.1979 02:00:00;  1,68
31.12.1979 23:59:55;  2,74
31.01.1980 08:00:00;  1,68
01.02.1980 00:00:00;  1,68
05.03.1980 10:00:00;  2,41
11.04.1980 08:00:00;  4,58
19.05.1980 08:00:00;  7,02
22.06.1980 08:00:00;  7,79
31.07.1980 10:00:00;  5,41
27.08.1980 08:00:00;  3,52
23.09.1980 08:00:00;  2,74
07.10.1980 08:00:00;  2,57
26.11.1980 08:00:00;  2,25
11.12.1980 00:00:05;  2,41
24.01.1981 08:00:00;  2,25
06.02.1981 08:00:00;  2,25
07.03.1981 08:00:00;  2,10
25.04.1981 10:00:00;  4,35
01.05.1981 00:00:00;  4,35
18.06.1981 08:00:00;  3,10
17.07.1981 18:00:00;  2,84
16.08.1981 18:00:00;  3,21
12.09.1981 22:00:00;  2,58
08.10.1981 18:00:00;  2,51
07.11.1981 14:00:00;  3,65
26.12.1981 04:00:00;  2,85
28.01.1982 14:00:00;  2,12
28.02.1982 16:00:00;  2,01
01.03.1982 00:00:00;  2,15
24.04.1982 10:00:00;  4,01
01.05.1982 08:00:00;  4,51
26.06.1982 16:00:00;  5,22
22.07.1982 16:00:00;  3,83
31.08.1982 16:00:00;  2,60
28.09.1982 08:00:00;  1,66
01.10.1982 00:00:00;  2,12
13.11.1982 12:00:00;  1,61
08.12.1982 10:00:00;  1,20
03.01.1983 14:00:00;  1,88
23.02.1983 00:00:00;  1,63
04.03.1983 10:00:00;  2,40
06.04.1983 06:00:00;  3,24
31.05.1983 04:00:00;  3,60
14.06.1983 06:00:00;  3,19
27.07.1983 18:00:00;  1,69
31.08.1983 14:00:00;  1,52
01.09.1983 16:00:00;  1,24
08.10.1983 12:00:00;  1,66
25.11.1983 06:00:00;  1,18
15.12.1983 08:00:00;  1,40
30.01.1984 11:45:00;  1,49
23.02.1984 17:30:00;  1,38
08.03.1984 11:45:00;  1,32
05.04.1984 11:00:00;  3,95
01.05.1984 07:00:00;  4,22
25.06.1984 07:30:00;  3,55
25.07.1984 09:45:00;  2,14
24.08.1984 17:30:00;  2,88
03.09.1984 08:00:00;  2,18
29.10.1984 16:15:00;  1,46
19.11.1984 12:15:00;  1,07
06.12.1984 08:45:00; 0,881
21.01.1985 09:30:00; 0,871
22.02.1985 11:00:00;  1,32
20.03.1985 12:15:00;  1,76
30.04.1985 06:30:00;  3,21
01.05.1985 00:00:00;  5,27
30.06.1985 18:45:00;  4,90
26.07.1985 18:45:00;  2,49
26.08.1985 01:45:00;  3,48
30.09.1985 09:15:00;  1,78
30.10.1985 11:45:00;  1,07
25.11.1985 17:45:00;  1,18
09.12.1985 17:00:00;  1,58
10.01.1986 09:15:00;  1,36
26.02.1986 12:15:00;  1,13
04.03.1986 10:45:00;  1,09
15.04.1986 14:45:00;  4,06
28.05.1986 07:15:00;  4,85
27.06.1986 16:15:00;  2,95
31.07.1986 18:15:00;  1,54
18.08.1986 14:45:00;  1,14
29.09.1986 14:00:00;  1,06
16.10.1986 12:00:00; 0,869
14.11.1986 16:00:00;  1,07
17.12.1986 16:30:00; 0,742
21.01.1987 12:30:00;  1,05
05.02.1987 07:30:00;  1,14
21.03.1987 13:00:00;  1,54
03.04.1987 13:45:00;  3,40
25.05.1987 12:30:00;  7,70
30.06.1987 23:59:55;  6,33
24.07.1987 10:30:00;  3,58
26.08.1987 15:00:00;  2,27
23.09.1987 17:00:00;  1,33
12.10.1987 10:45:00;  1,17
12.11.1987 18:15:00;  1,17
16.12.1987 12:30:00;  1,17
19.01.1988 17:00:00;  1,13
25.02.1988 12:30:00;  1,26
08.03.1988 09:15:00;  1,26
02.04.1988 10:00:00;  7,66
29.05.1988 19:00:00;  5,68
29.06.1988 12:45:00;  3,21
27.07.1988 15:45:00;  2,29
20.08.1988 16:15:00;  1,90
29.09.1988 08:30:00;  2,97
20.10.1988 04:30:00;  1,40
09.11.1988 17:45:00;  1,56
04.12.1988 14:30:00;  4,51
27.01.1989 16:45:00;  2,51
01.02.1989 11:15:00;  2,29
03.03.1989 11:45:00;  4,79
30.04.1989 02:00:00;  4,79
01.05.1989 00:00:00;  4,81
10.06.1989 19:30:00;  4,79
25.07.1989 15:00:00;  3,70
27.08.1989 14:30:00;  3,45
25.09.1989 07:45:00;  3,21
29.10.1989 02:00:00;  2,74
29.11.1989 16:45:00;  1,72
11.12.1989 02:45:00;  1,64
10.01.1990 00:01:00;  1,26
13.02.1990 12:45:00;  1,40
05.03.1990 09:15:00;  3,96
05.04.1990 16:45:00;  2,74
31.05.1990 15:30:00;  2,74
01.06.1990 10:45:00;  2,51
30.07.1990 09:30:00;  1,90
29.08.1990 04:15:00;  1,40
01.09.1990 11:30:00;  1,56
27.10.1990 01:30:00;  1,40
10.11.1990 15:15:00;  1,90
19.12.1990 09:15:00;  1,90
29.01.1991 10:15:00;  1,26
14.02.1991 17:00:00;  1,01
02.03.1991 10:45:00;  1,56
23.04.1991 10:15:00;  1,90
01.05.1991 00:00:00;  3,62
23.06.1991 04:15:00;  5,43
13.07.1991 14:15:00;  4,30
31.08.1991 23:59:55;  3,26
13.09.1991 17:15:00;  1,79
29.10.1991 17:45:00;  1,33
01.11.1991 09:15:00;  1,63
17.12.1991 04:45:00;  1,47
30.01.1992 16:00:00;  1,90
03.02.1992 17:15:00;  2,09
17.03.1992 17:45:00;  3,96
10.04.1992 14:30:00;  4,51
31.05.1992 23:59:55;  6,61
30.06.1992 23:59:55;  4,22
28.07.1992 04:45:00;  2,29
26.08.1992 07:00:00;  1,26
01.09.1992 00:00:00;  1,40
17.10.1992 11:15:00;  1,40
01.11.1992 23:00:00;  2,74
31.12.1992 14:00:00;  2,30
04.01.1993 09:00:00;  2,11
26.02.1993 22:15:00;  2,11
09.03.1993 18:45:00;  1,76
01.04.1993 00:00:00;  5,40
30.05.1993 13:45:00;  4,49
21.06.1993 19:15:00;  3,16
10.07.1993 22:00:00;  3,41
22.08.1993 01:45:00;  2,93
23.09.1993 16:15:00;  2,50
16.10.1993 16:00:00;  1,60
28.11.1993 15:15:00;  1,45
01.12.1993 19:15:00;  1,60
22.01.1994 09:00:00;  1,94
15.02.1994 07:45:00;  1,48
06.03.1994 01:45:00;  3,19
10.04.1994 00:00:00;  3,99
13.05.1994 20:15:00;  5,83
30.06.1994 23:59:55;  4,57
30.07.1994 22:00:00;  1,62
11.08.1994 17:45:00;  1,34
23.09.1994 18:00:00;  1,21
01.10.1994 04:30:00;  1,34
05.11.1994 09:45:00; 0,886
27.12.1994 13:45:00;  1,94
13.01.1995 09:45:00;  1,78
02.02.1995 10:45:00;  3,19
11.03.1995 07:00:00;  2,51
01.04.1995 00:00:00;  4,00
23.05.1995 14:45:00;  6,48
20.06.1995 18:30:00;  5,51
31.07.1995 17:15:00;  2,31
24.08.1995 15:30:00;  1,48
30.09.1995 09:00:00;  2,51
17.10.1995 03:30:00;  1,62
01.11.1995 11:45:00;  1,62
15.12.1995 13:00:00;  1,62
22.01.1996 12:15:00;  1,34
23.02.1996 10:00:00;  1,10
13.03.1996 06:00:00; 0,886
05.04.1996 10:00:00;  2,72
12.05.1996 16:00:00;  6,83
17.06.1996 18:30:00;  2,72
31.07.1996 22:15:00;  2,95
02.08.1996 09:45:00;  2,72
01.09.1996 02:15:00;  3,44
19.10.1996 07:30:00;  3,71
13.11.1996 00:00:00;  3,41
31.12.1996 01:00:00;  2,11
29.01.1997 10:34:35;  1,61
10.02.1997 05:08:05;  1,38
14.03.1997 16:00:05;  3,15
24.04.1997 14:58:15;  4,41
31.05.1997 23:59:55;  6,79
29.06.1997 16:45:25;  3,99
03.07.1997 12:38:00;  3,59
28.08.1997 18:58:40;  2,66
29.09.1997 03:02:15;  1,83
01.10.1997 00:00:00;  2,28
26.11.1997 11:19:15;  2,22
08.12.1997 15:47:00;  2,53
28.01.1998 07:41:25;  1,87
05.02.1998 05:21:30;  1,43
04.03.1998 17:14:35;  2,45
21.04.1998 11:43:55;  4,75
31.05.1998 23:59:55;  6,36
30.06.1998 16:50:40;  3,65
01.07.1998 16:53:00;  3,89
31.08.1998 19:00:15;  2,57
03.09.1998 17:14:25;  2,38
10.10.1998 13:53:20;  3,00
30.11.1998 23:59:55;  3,25
13.12.1998 00:43:45;  2,40
29.01.1999 17:20:50;  2,02
17.02.1999 03:11:40;  1,87
01.03.1999 15:02:40;  3,96
21.04.1999 15:16:10;  6,63
29.05.1999 12:33:10;  7,77
14.06.1999 15:22:15;  4,86
20.07.1999 16:13:00;  3,34
26.08.1999 16:38:45;  2,46
24.09.1999 20:11:25;  2,66
30.10.1999 15:39:20;  1,81
19.11.1999 00:49:45;  1,62
01.12.1999 23:08:55;  2,00
17.01.2000 10:54:05;  1,76
24.02.2000 04:23:45;  3,73
06.03.2000 08:25:05;  4,62
09.04.2000 14:24:25;  7,43
31.05.2000 21:36:45;  6,39
30.06.2000 19:48:40;  2,85
28.07.2000 01:31:00;  2,55
29.08.2000 12:56:25;  1,45
11.09.2000 08:17:05;  1,56
31.10.2000 02:37:30;  1,81
24.11.2000 17:07:50;  1,76
09.12.2000 06:47:35;  1,81
24.01.2001 05:31:05;  1,43
01.02.2001 18:07:00;  1,43
03.03.2001 06:51:55;  2,14
07.04.2001 16:11:05;  4,39
28.05.2001 23:53:40;  4,01
06.06.2001 14:31:15;  3,44
18.07.2001 16:15:00;  2,05
08.08.2001 09:45:00;  1,95
04.09.2001 13:00:00;  3,30
19.10.2001 09:45:00;  1,90
22.11.2001 03:45:00;  1,45
28.12.2001 01:45:00;  1,66
19.01.2002 02:45:00;  1,41
25.02.2002 04:45:00;  3,92
05.03.2002 10:00:00;  4,17
19.04.2002 12:30:00;  4,62
31.05.2002 21:00:00;  4,34
27.06.2002 16:15:00;  2,69
15.07.2002 12:00:00;  1,95
06.08.2002 02:30:00;  2,11
14.09.2002 14:45:00;  2,49
29.10.2002 09:15:00;  4,05
30.11.2002 23:59:55;  4,00
20.12.2002 19:15:00;  2,07
19.01.2003 09:30:00;  2,14
19.02.2003 02:45:00;  1,65
02.03.2003 14:00:00;  2,23
09.04.2003 14:45:00;  3,14
31.05.2003 15:00:00;  4,08
30.06.2003 01:45:00;  1,89
16.07.2003 03:30:00;  1,46
29.08.2003 01:45:00;  1,39
09.09.2003 02:45:00;  1,50
03.10.2003 12:15:00;  1,65
26.11.2003 04:15:00;  1,40
06.12.2003 12:30:00;  1,19
07.01.2004 03:00:00;  1,34
01.02.2004 08:15:00;  1,56
06.03.2004 11:30:00;  1,83
15.04.2004 11:45:00;  4,35
12.05.2004 12:45:00;  5,54
19.06.2004 14:30:00;  4,99
31.07.2004 22:45:00;  3,21
14.08.2004 11:15:00;  2,16
20.09.2004 08:00:00;  2,25
29.10.2004 03:15:00;  1,81
03.11.2004 06:30:00;  1,75
21.12.2004 03:30:00;  1,37
01.01.2005 02:30:00;  1,65
03.02.2005 10:45:00;  1,45
02.03.2005 03:00:00;  1,43
12.04.2005 11:30:00;  7,10
30.05.2005 15:45:00;  7,03
30.06.2005 18:15:00;  3,74
01.07.2005 05:45:00;  3,68
14.08.2005 15:15:00;  3,21
16.09.2005 14:40:40;  2,31
29.10.2005 13:45:00;  1,56
14.11.2005 04:00:00;  1,29
12.12.2005 02:30:00;  1,45
16.01.2006 15:30:00;  1,58
04.02.2006 04:00:00;  1,53
06.03.2006 03:15:00;  1,71
08.04.2006 13:00:10;  7,68
25.05.2006 14:00:00;  8,68
27.06.2006 16:30:00;  6,09
28.07.2006 15:15:00;  2,69
01.08.2006 13:15:00;  2,84
28.09.2006 14:30:00;  2,13
29.10.2006 00:30:00;  1,41
04.11.2006 23:00:00;  2,54
31.12.2006 06:30:00;  1,74
01.01.2007 13:30:00;  1,71
21.02.2007 16:15:00;  1,78
18.03.2007 16:15:00;  3,71
06.04.2007 15:15:00;  3,38
31.05.2007 13:30:00;  2,78
19.06.2007 14:30:00;  1,93
27.07.2007 14:15:00;  2,11
02.08.2007 14:30:00;  1,97
03.09.2007 16:45:00;  3,76
17.10.2007 15:45:00;  2,25
02.11.2007 10:00:00;  4,82
31.12.2007 11:00:00;  2,69
05.01.2008 12:30:00;  2,55
19.02.2008 02:45:00;  2,21
27.03.2008 12:30:00;  3,60
09.04.2008 14:45:00;  4,48
24.05.2008 17:45:00;  6,54
22.06.2008 14:30:00;  4,96
11.07.2008 15:00:00;  3,45
31.08.2008 17:00:00;  3,36
10.09.2008 11:15:00;  2,22
31.10.2008 11:42:05;  2,20
10.11.2008 17:00:00;  1,74
13.12.2008 03:45:00;  2,78
31.01.2009 01:15:00;  1,39
01.02.2009 05:45:00;  1,47
02.03.2009 22:30:00;  3,55
01.04.2009 07:15:00;  8,75
26.05.2009 17:15:00;  7,75
19.06.2009 10:45:00;  4,93
31.07.2009 20:15:00;  4,11
27.08.2009 13:45:00;  3,03
30.09.2009 14:30:00;  2,69
10.10.2009 16:00:00;  2,12
30.11.2009 15:45:00;  2,28
18.12.2009 09:45:00;  1,68
27.01.2010 08:45:00;  1,41
16.02.2010 09:45:00;  1,42
14.03.2010 15:30:00;  1,89
13.04.2010 17:15:00;  3,89
19.05.2010 16:15:00;  4,67
30.06.2010 15:15:00;  4,48
22.07.2010 12:15:00;  2,61
23.08.2010 16:15:00;  2,40
24.09.2010 15:00:00;  2,40
13.10.2010 10:45:00;  1,88
16.11.2010 10:30:00;  2,13
04.12.2010 15:30:00;  1,88
04.01.2011 15:30:00;  1,99
28.02.2011 10:15:00;  2,36
07.03.2011 16:45:00;  2,05
18.04.2011 18:30:00;  2,85
09.05.2011 07:00:00;  2,23
08.06.2011 10:45:00;  2,53
19.07.2011 19:00:00;  2,39
31.08.2011 15:45:00;  2,43
04.09.2011 19:00:00;  1,86
04.10.2011 16:30:00;  2,01
28.11.2011 13:15:00;  1,75
22.12.2011 09:30:00;  1,24
01.01.2012 00:00:00;  2,09
21.02.2012 08:15:00;  1,69
11.03.2012 12:00:00;  5,25
19.04.2012 11:45:00;  5,28
18.05.2012 06:15:00;  5,50
30.06.2012 05:45:00;  5,42
13.07.2012 03:00:00;  3,70
30.08.2012 05:00:00;  2,53
05.09.2012 05:00:00;  3,94
05.10.2012 09:15:00;  2,95
30.11.2012 23:59:55;  2,69
10.12.2012 07:00:00;  2,16
27.01.2013 07:45:00;  2,97
26.02.2013 02:15:00;  2,52
02.03.2013 08:15:00;  2,89
08.04.2013 06:45:00;  3,73
26.05.2013 00:45:00;  5,51
22.06.2013 06:30:00;  6,65
