Messstelle:                ;Singerin (Höllental)
31.12.1964 12:00:00;  2,31
28.01.1965 12:00:00;  1,70
22.02.1965 12:00:00; 0,970
01.03.1965 12:00:00;  1,40
16.04.1965 12:00:00;  6,73
28.05.1965 12:00:00;  10,5
27.06.1965 12:00:00;  5,58
25.07.1965 12:00:00;  3,60
24.08.1965 12:00:00;  2,88
30.09.1965 12:00:00;  2,30
31.10.1965 12:00:00;  1,61
17.11.1965 12:00:00;  1,41
07.12.1965 12:00:00;  1,50
28.01.1966 12:00:00;  1,50
19.02.1966 12:00:00;  2,70
18.03.1966 12:00:00;  2,44
01.04.1966 12:00:00;  2,88
23.05.1966 12:00:00;  2,30
19.06.1966 12:00:00;  3,49
13.07.1966 12:00:00;  6,20
15.08.1966 12:00:00;  5,91
30.09.1966 12:00:00;  3,12
29.10.1966 12:00:00;  2,30
30.11.1966 12:00:00;  2,15
02.12.1966 12:00:00;  2,15
22.01.1967 12:00:00;  1,88
17.02.1967 12:00:00;  3,49
21.03.1967 12:00:00;  5,62
28.04.1967 12:00:00;  7,16
29.05.1967 12:00:00;  4,54
30.06.1967 12:00:00;  4,11
08.07.1967 12:00:00;  3,49
31.08.1967 12:00:00;  2,59
04.09.1967 12:00:00;  2,44
31.10.1967 12:00:00;  2,30
29.11.1967 12:00:00;  2,15
21.12.1967 12:00:00;  2,00
10.01.1968 12:00:00;  2,44
18.02.1968 12:00:00;  3,30
14.03.1968 12:00:00;  2,44
30.04.1968 12:00:00;  4,11
31.05.1968 12:00:00;  2,74
27.06.1968 12:00:00;  2,30
13.07.1968 12:00:00;  2,00
24.08.1968 12:00:00;  4,11
30.09.1968 12:00:00;  2,74
01.10.1968 12:00:00;  2,74
16.11.1968 12:00:00;  2,44
16.12.1968 12:00:00;  1,76
05.01.1969 12:00:00;  1,76
19.02.1969 12:00:00;  2,00
09.03.1969 12:00:00;  2,44
05.04.1969 12:00:00;  2,88
31.05.1969 12:00:00;  2,59
04.06.1969 12:00:00;  2,59
31.07.1969 12:00:00;  2,74
07.08.1969 12:00:00;  2,59
30.09.1969 12:00:00;  2,44
30.10.1969 12:00:00;  1,88
25.11.1969 12:00:00;  1,76
31.12.1969 12:00:00;  1,76
05.01.1970 12:00:00;  1,76
03.02.1970 12:00:00;  1,76
18.03.1970 12:00:00;  2,30
07.04.1970 12:00:00;  4,75
26.05.1970 12:00:00;  6,52
30.06.1970 12:00:00;  3,49
14.07.1970 12:00:00;  3,49
08.08.1970 12:00:00;  3,06
25.09.1970 12:00:00;  1,72
02.10.1970 12:00:00;  1,61
09.11.1970 12:00:00;  3,68
31.12.1970 12:00:00;  3,12
19.01.1971 12:00:00;  2,44
25.02.1971 12:00:00;  2,44
10.03.1971 12:00:00;  2,00
29.04.1971 12:00:00;  4,32
27.05.1971 12:00:00;  2,74
30.06.1971 12:00:00;  3,68
31.07.1971 12:00:00;  2,44
26.08.1971 12:00:00;  2,00
28.09.1971 12:00:00;  1,88
14.10.1971 12:00:00;  1,28
09.11.1971 12:00:00;  1,49
05.12.1971 12:00:00;  2,37
28.01.1972 12:00:00;  1,38
03.02.1972 12:00:00;  1,28
31.03.1972 12:00:00;  2,37
01.04.1972 12:00:00;  2,37
06.05.1972 12:00:00;  6,02
27.06.1972 12:00:00;  3,04
08.07.1972 12:00:00;  2,71
30.08.1972 12:00:00;  3,89
21.09.1972 12:00:00;  3,12
20.10.1972 12:00:00;  2,44
07.11.1972 12:00:00;  2,44
21.12.1972 12:00:00;  1,88
25.01.1973 12:00:00;  1,64
21.02.1973 12:00:00;  1,28
16.03.1973 12:00:00;  1,09
16.04.1973 12:00:00;  4,49
28.05.1973 12:00:00;  3,21
02.06.1973 12:00:00;  3,63
31.07.1973 12:00:00;  3,12
27.08.1973 12:00:00;  1,88
15.09.1973 12:00:00;  1,40
16.10.1973 12:00:00;  1,88
13.11.1973 12:00:00;  2,00
15.12.1973 12:00:00;  2,54
11.01.1974 12:00:00;  2,37
28.02.1974 12:00:00;  4,11
11.03.1974 12:00:00;  3,30
23.04.1974 12:00:00;  2,37
31.05.1974 12:00:00;  3,04
08.06.1974 12:00:00;  3,42
17.07.1974 12:00:00;  3,89
26.08.1974 12:00:00;  2,30
18.09.1974 12:00:00;  1,40
19.10.1974 12:00:00;  1,52
09.11.1974 12:00:00;  1,52
01.12.1974 12:00:00;  2,59
31.01.1975 12:00:00;  4,04
28.02.1975 12:00:00;  2,24
01.03.1975 12:00:00;  2,24
01.04.1975 12:00:00;  2,24
29.05.1975 12:00:00;  3,12
19.06.1975 12:00:00;  2,74
24.07.1975 12:00:00;  6,03
24.08.1975 12:00:00;  3,42
30.09.1975 12:00:00;  2,11
23.10.1975 12:00:00;  1,83
18.11.1975 12:00:00;  1,72
31.12.1975 12:00:00;  1,61
01.01.1976 00:00:00; Lücke
01.01.1976 01:00:00;  1,59
19.02.1976 12:00:00;  2,53
25.03.1976 16:00:00;  1,92
12.04.1976 12:00:00;  3,62
21.05.1976 19:00:00;  3,95
29.06.1976 16:00:00;  2,37
19.07.1976 07:00:00;  2,05
13.08.1976 16:00:00;  1,86
17.09.1976 12:00:00;  2,72
29.10.1976 13:00:00;  2,48
09.11.1976 16:00:00;  1,93
31.12.1976 23:59:55;  4,24
17.01.1977 13:00:00;  2,54
04.02.1977 17:00:00;  3,74
31.03.1977 20:00:00;  4,29
16.04.1977 12:00:00;  3,56
31.05.1977 15:00:00;  2,90
13.06.1977 12:00:00;  1,80
07.07.1977 09:00:00;  2,03
30.08.1977 20:00:00;  2,84
29.09.1977 21:00:00;  2,12
31.10.1977 12:00:00;  1,83
29.11.1977 20:00:00;  1,76
05.12.1977 13:00:00;  1,70
28.01.1978 15:00:00;  2,08
20.02.1978 11:00:00;  1,96
25.03.1978 18:00:00;  2,93
18.04.1978 15:00:00;  2,53
04.05.1978 14:00:00;  3,73
24.06.1978 09:00:00;  1,90
31.07.1978 21:00:00;  1,73
28.08.1978 00:00:00;  1,24
02.09.1978 11:00:00;  1,17
18.10.1978 13:00:00;  1,39
30.11.1978 18:00:00;  1,14
10.12.1978 04:00:00;  1,08
26.01.1979 06:00:00;  1,57
26.02.1979 18:00:00;  2,01
02.03.1979 13:00:00;  1,69
01.04.1979 12:00:00;  4,29
31.05.1979 15:00:00;  3,69
13.06.1979 09:00:00;  2,37
02.07.1979 07:00:00;  2,96
22.08.1979 02:00:00;  2,10
22.09.1979 18:00:00;  1,62
27.10.1979 12:00:00;  1,39
01.11.1979 18:00:00;  1,51
31.12.1979 23:59:55;  2,81
13.01.1980 12:00:00;  1,51
24.02.1980 15:00:00;  2,18
05.03.1980 06:00:00;  2,40
08.04.1980 10:00:00;  4,76
24.05.1980 17:00:00;  6,59
23.06.1980 12:00:00;  3,54
21.07.1980 06:00:00;  2,65
27.08.1980 21:00:00;  2,06
26.09.1980 07:00:00;  1,84
06.10.1980 23:00:00;  1,72
13.11.1980 21:00:00;  2,05
10.12.1980 02:00:00;  2,05
26.01.1981 10:30:00;  2,30
28.02.1981 23:59:55;  2,50
05.03.1981 13:00:00;  1,90
24.04.1981 10:30:00;  2,66
30.05.1981 08:00:00;  2,06
29.06.1981 08:30:00;  1,60
13.07.1981 10:30:00;  1,11
07.08.1981 20:30:00;  1,77
10.09.1981 15:30:00;  1,76
20.10.1981 06:30:00;  1,95
06.11.1981 11:30:00;  2,50
29.12.1981 06:00:00;  2,89
25.01.1982 15:30:00;  2,96
26.02.1982 15:30:00;  2,70
01.03.1982 00:00:00;  2,99
17.04.1982 12:00:00;  4,02
01.05.1982 10:00:00;  5,77
21.06.1982 17:30:00;  2,70
21.07.1982 08:30:00;  2,66
31.08.1982 10:00:00;  2,66
15.09.1982 16:00:00;  1,78
01.10.1982 07:00:00;  2,08
09.11.1982 13:00:00;  1,58
09.12.1982 20:00:00;  1,62
02.01.1983 14:00:00;  2,43
21.02.1983 15:30:00;  2,96
05.03.1983 09:00:00;  3,03
08.04.1983 20:30:00;  2,60
31.05.1983 21:00:00;  2,39
15.06.1983 11:30:00;  2,08
19.07.1983 09:00:00;  1,67
30.08.1983 17:00:00;  1,50
30.09.1983 12:00:00;  1,24
27.10.1983 12:00:00;  1,15
15.11.1983 05:00:00;  1,07
09.12.1983 14:30:00;  1,21
27.01.1984 05:30:00;  1,15
02.02.1984 18:00:00;  1,25
08.03.1984 12:30:00;  1,58
30.04.1984 13:00:00;  3,54
01.05.1984 15:00:00;  3,29
28.06.1984 07:00:00;  2,09
21.07.1984 13:00:00;  1,75
31.08.1984 22:30:00;  2,13
20.09.1984 17:00:00;  1,67
30.10.1984 08:30:00;  1,75
16.11.1984 10:30:00;  1,57
31.12.1984 18:30:00;  1,49
30.01.1985 18:00:00;  1,01
01.02.1985 00:00:00;  1,24
01.03.1985 00:00:00;  1,29
30.04.1985 14:15:00;  3,06
01.05.1985 10:45:00;  3,66
30.06.1985 11:30:00;  4,25
19.07.1985 18:00:00;  2,19
05.08.1985 13:15:00;  2,30
30.09.1985 17:15:00;  2,40
28.10.1985 07:00:00;  1,88
07.11.1985 19:15:00;  1,67
10.12.1985 18:30:00;  1,85
13.01.1986 11:00:00;  2,61
16.02.1986 00:01:00;  2,42
05.03.1986 10:30:00;  1,70
21.04.1986 09:45:00;  4,04
25.05.1986 09:45:00;  3,01
11.06.1986 09:30:00;  2,68
29.07.1986 18:15:00;  1,57
13.08.1986 14:45:00;  1,43
29.09.1986 10:00:00;  1,27
04.10.1986 17:15:00;  1,18
18.11.1986 07:45:00;  1,25
26.12.1986 03:45:00;  1,14
29.01.1987 18:15:00;  1,08
01.02.1987 08:15:00;  1,08
15.03.1987 07:30:00;  2,42
01.04.1987 17:45:00;  5,04
30.05.1987 10:30:00;  7,14
30.06.1987 16:00:00;  3,89
21.07.1987 19:00:00;  2,42
31.08.1987 16:15:00;  2,42
21.09.1987 04:15:00;  1,85
05.10.1987 10:00:00;  1,38
15.11.1987 11:30:00;  1,38
14.12.1987 13:00:00;  1,38
22.01.1988 09:15:00;  1,38
11.02.1988 09:15:00;  1,38
04.03.1988 07:45:00;  1,27
27.04.1988 08:00:00;  6,82
29.05.1988 11:15:00;  3,10
28.06.1988 15:15:00;  2,42
20.07.1988 15:30:00;  1,60
16.08.1988 08:45:00;  1,72
02.09.1988 12:00:00;  2,13
28.10.1988 16:45:00;  1,72
02.11.1988 14:15:00;  1,60
02.12.1988 05:30:00;  4,38
31.01.1989 10:45:00;  3,59
18.02.1989 19:45:00;  2,93
25.03.1989 14:30:00;  4,59
30.04.1989 06:00:00;  3,77
30.05.1989 17:30:00;  4,38
16.06.1989 05:45:00;  3,59
28.07.1989 08:45:00;  2,78
07.08.1989 17:45:00;  3,08
27.09.1989 12:15:00;  2,42
30.10.1989 12:15:00;  2,10
30.11.1989 02:00:00;  1,54
11.12.1989 04:45:00;  1,21
08.01.1990 08:30:00;  1,00
06.02.1990 02:00:00;  1,00
05.03.1990 10:30:00;  2,78
18.04.1990 17:00:00;  2,55
31.05.1990 17:15:00;  2,26
01.06.1990 07:30:00;  2,26
31.07.1990 19:15:00;  1,64
31.08.1990 08:45:00;  1,25
01.09.1990 01:00:00;  1,25
18.10.1990 13:45:00;  1,62
08.11.1990 18:45:00;  1,74
04.12.1990 06:00:00;  2,26
31.01.1991 00:01:00;  1,86
12.02.1991 00:01:00;  1,62
02.03.1991 15:45:00;  2,12
15.04.1991 12:00:00;  1,75
14.05.1991 11:45:00;  3,24
21.06.1991 19:45:00;  2,49
02.07.1991 14:30:00;  1,98
30.08.1991 21:00:00;  3,59
13.09.1991 15:45:00;  1,75
16.10.1991 23:00:00;  1,75
02.11.1991 02:15:00;  1,98
10.12.1991 00:01:00;  1,75
27.01.1992 19:45:00;  2,78
03.02.1992 16:30:00;  2,63
19.03.1992 14:15:00;  4,38
18.04.1992 15:15:00;  4,59
31.05.1992 23:59:55;  2,77
01.06.1992 23:00:00;  2,63
25.07.1992 23:30:00;  1,86
28.08.1992 16:15:00;  1,25
01.09.1992 00:00:00;  1,44
03.10.1992 18:45:00;  1,44
01.11.1992 08:00:00;  2,36
27.12.1992 06:30:00;  2,36
06.01.1993 07:00:00;  1,75
27.02.1993 03:30:00;  1,64
05.03.1993 07:00:00;  1,98
01.04.1993 00:00:00;  6,48
31.05.1993 07:45:00;  2,78
20.06.1993 00:00:00;  1,98
10.07.1993 22:15:00;  2,10
22.08.1993 07:45:00;  2,22
24.09.1993 23:15:00;  1,86
18.10.1993 16:00:00;  1,75
30.11.1993 23:59:55;  2,06
02.12.1993 02:15:00;  1,98
22.01.1994 10:45:00;  2,93
20.02.1994 05:00:00;  1,44
06.03.1994 08:15:00;  2,93
13.04.1994 08:00:00;  3,77
09.05.1994 00:15:00;  3,59
29.06.1994 02:15:00;  2,93
30.07.1994 13:15:00;  1,75
31.08.1994 17:00:00;  1,54
21.09.1994 07:45:00;  1,44
15.10.1994 19:45:00;  1,34
08.11.1994 13:00:00;  1,34
11.12.1994 03:45:00;  2,22
13.01.1995 07:30:00;  1,75
28.02.1995 23:59:55;  3,70
12.03.1995 12:45:00;  3,08
01.04.1995 01:00:00;  5,50
31.05.1995 16:15:00;  3,40
03.06.1995 23:15:00;  2,93
28.07.1995 02:00:00;  1,86
07.08.1995 13:00:00;  1,64
13.09.1995 11:30:00;  3,01
21.10.1995 14:30:00;  1,77
01.11.1995 09:00:00;  1,77
16.12.1995 15:45:00;  2,27
31.01.1996 06:00:00;  1,51
10.02.1996 08:45:00;  1,51
05.03.1996 05:45:00;  1,51
04.04.1996 21:45:00;  3,40
31.05.1996 23:59:55;  9,98
18.06.1996 17:30:00;  4,11
30.07.1996 09:15:00;  3,35
24.08.1996 22:00:00;  2,27
01.09.1996 00:00:00;  2,30
15.10.1996 09:45:00;  4,11
27.11.1996 04:30:00;  3,53
28.12.1996 00:00:00;  1,65
19.01.1997 06:43:10;  1,49
08.02.1997 19:22:35;  1,21
13.03.1997 12:18:15;  1,92
24.04.1997 12:19:35;  7,91
20.05.1997 15:58:05;  6,50
16.06.1997 06:59:25;  3,79
04.07.1997 18:24:15;  3,05
31.08.1997 22:47:20;  3,82
30.09.1997 12:41:30;  2,41
31.10.1997 17:39:30;  2,07
22.11.1997 13:50:40;  2,87
08.12.1997 18:18:00;  3,70
27.01.1998 03:56:20;  1,70
05.02.1998 07:49:25;  1,66
04.03.1998 20:22:15;  2,77
22.04.1998 00:22:50;  4,95
16.05.1998 13:27:10;  3,27
11.06.1998 04:36:35;  3,09
01.07.1998 16:53:20;  3,88
31.08.1998 23:59:55;  2,56
03.09.1998 20:01:15;  2,37
12.10.1998 08:13:00;  3,43
08.11.1998 10:22:45;  3,00
10.12.1998 01:34:15;  2,49
30.01.1999 10:06:05;  2,64
16.02.1999 04:32:50;  2,24
22.03.1999 06:38:55;  5,86
21.04.1999 13:12:45;  5,65
31.05.1999 16:20:40;  5,18
15.06.1999 19:11:00;  3,32
04.07.1999 07:04:40;  3,33
06.08.1999 14:22:25;  4,01
26.09.1999 11:36:40;  3,53
30.10.1999 13:10:20;  1,97
20.11.1999 21:29:05;  2,18
23.12.1999 03:58:05;  2,05
26.01.2000 10:22:40;  1,72
24.02.2000 15:27:45;  3,76
07.03.2000 09:43:45;  5,57
10.04.2000 05:34:25;  8,24
31.05.2000 10:25:55;  3,26
22.06.2000 15:40:40;  2,25
27.07.2000 23:38:45;  1,92
24.08.2000 12:03:35;  1,89
29.09.2000 19:31:50;  1,65
31.10.2000 17:49:40;  1,41
04.11.2000 12:53:30;  1,64
27.12.2000 09:59:50;  1,49
15.01.2001 05:17:15;  1,58
25.02.2001 06:03:45;  1,72
03.03.2001 01:21:35;  2,16
07.04.2001 19:56:40;  3,49
31.05.2001 11:34:05;  2,38
30.06.2001 14:00:00;  2,18
19.07.2001 14:00:00;  1,79
30.08.2001 17:45:05;  1,80
02.09.2001 08:05:50;  2,01
31.10.2001 16:48:05;  1,77
06.11.2001 19:42:55;  1,74
24.12.2001 08:25:45;  1,52
17.01.2002 08:29:35;  1,79
25.02.2002 13:40:15;  4,16
19.03.2002 17:54:15;  3,65
18.04.2002 11:12:00;  5,06
31.05.2002 16:07:00;  2,58
04.06.2002 03:48:00;  2,11
13.07.2002 15:14:40;  2,44
04.08.2002 08:05:55;  3,31
12.09.2002 06:48:15;  2,47
11.10.2002 23:40:45;  3,30
29.11.2002 19:30:55;  5,27
20.12.2002 21:22:10;  3,34
20.01.2003 00:23:00;  3,43
23.02.2003 18:46:25;  2,58
01.03.2003 16:06:05;  2,91
10.04.2003 14:15:45;  3,53
30.05.2003 05:18:45;  2,90
28.06.2003 01:05:10;  2,20
31.07.2003 19:39:45;  1,77
28.08.2003 15:12:25;  1,61
08.09.2003 06:05:10;  1,67
05.10.2003 02:30:30;  1,64
28.11.2003 20:24:50;  1,89
08.12.2003 07:50:00;  1,69
06.01.2004 11:44:25;  2,01
01.02.2004 08:21:15;  2,14
06.03.2004 07:03:10;  2,33
15.04.2004 12:43:00;  5,56
11.05.2004 17:16:10;  4,09
19.06.2004 15:20:20;  3,95
31.07.2004 17:24:50;  2,68
19.08.2004 16:20:30;  1,82
20.09.2004 04:15:45;  1,85
31.10.2004 23:59:55;  1,96
08.11.2004 08:42:20;  1,85
30.12.2004 17:57:25;  1,84
01.01.2005 12:06:20;  1,88
07.02.2005 05:50:00;  1,89
05.03.2005 06:38:15;  2,00
24.04.2005 18:05:30;  7,07
28.05.2005 15:04:35;  4,23
30.06.2005 23:59:55;  2,79
01.07.2005 06:10:10;  2,77
14.08.2005 18:34:25;  2,29
16.09.2005 11:08:20;  2,64
23.10.2005 23:36:15;  2,14
14.11.2005 22:59:20;  2,02
15.12.2005 09:25:20;  2,01
29.01.2006 22:02:05;  1,64
01.02.2006 20:43:15;  1,79
07.03.2006 05:10:05;  2,35
14.04.2006 05:39:10;  9,50
25.05.2006 07:41:10;  4,54
26.06.2006 06:25:00;  4,01
31.07.2006 17:09:25;  2,48
03.08.2006 12:53:20;  2,46
30.09.2006 23:59:55;  2,26
24.10.2006 05:44:25;  1,69
30.11.2006 14:29:35;  2,28
22.12.2006 10:52:55;  1,24
01.01.2007 12:44:25;  1,55
01.02.2007 00:33:25;  3,08
24.03.2007 04:52:10;  3,36
30.04.2007 18:08:05;  2,75
08.05.2007 02:57:05;  2,56
27.06.2007 09:59:45;  1,76
27.07.2007 20:55:30;  1,41
29.08.2007 04:56:15;  1,36
01.09.2007 12:46:55;  1,77
19.10.2007 12:47:05;  2,64
21.11.2007 20:29:10;  6,13
31.12.2007 23:59:55;  4,04
06.01.2008 01:28:20;  3,60
17.02.2008 05:57:35;  2,75
27.03.2008 14:26:40;  3,64
18.04.2008 14:44:55;  3,78
31.05.2008 20:18:15;  2,93
01.06.2008 08:49:35;  2,90
10.07.2008 09:57:45;  2,43
31.08.2008 22:52:50;  3,28
14.09.2008 21:44:50;  2,65
29.10.2008 09:10:00;  2,04
09.11.2008 17:09:50;  1,83
09.12.2008 14:02:35;  3,05
19.01.2009 17:39:40;  2,20
02.02.2009 00:17:55;  2,43
01.03.2009 12:39:45;  4,28
29.04.2009 05:45:15;  9,96
28.05.2009 13:54:25;  4,62
19.06.2009 17:19:30;  3,30
15.07.2009 14:36:35;  4,47
27.08.2009 09:29:00;  3,81
24.09.2009 06:55:55;  2,55
08.10.2009 21:19:30;  2,09
30.11.2009 16:04:50;  1,65
19.12.2009 04:40:05;  1,54
27.01.2010 10:10:55;  1,11
10.02.2010 07:17:05;  1,28
15.03.2010 17:10:00;  2,25
29.04.2010 17:20:00;  4,70
15.05.2010 13:20:00;  3,86
30.06.2010 21:55:00;  4,81
23.07.2010 10:00:00;  2,51
27.08.2010 10:20:00;  2,21
24.09.2010 18:23:00;  2,19
17.10.2010 14:23:25;  2,10
30.11.2010 16:50:00;  1,72
05.12.2010 07:35:00; 0,915
06.01.2011 03:15:00;  1,57
26.02.2011 13:45:00;  2,06
11.03.2011 07:25:00;  1,97
24.04.2011 06:45:00;  2,66
27.05.2011 06:30:00;  2,02
15.06.2011 06:30:00;  2,18
20.07.2011 22:05:00;  2,15
27.08.2011 09:10:00;  2,54
18.09.2011 16:45:00;  1,98
05.10.2011 18:20:00;  1,83
27.11.2011 22:45:00;  1,54
05.12.2011 14:10:00;  1,60
01.01.2012 04:57:50;  2,19
12.02.2012 10:05:00;  1,81
11.03.2012 08:10:00;  6,54
13.04.2012 22:25:00;  5,85
30.05.2012 13:25:00;  2,87
04.06.2012 05:25:05;  2,97
13.07.2012 04:20:00;  3,31
29.08.2012 11:50:00;  2,42
30.09.2012 14:40:00;  2,39
26.10.2012 12:10:00;  1,93
26.11.2012 17:45:00;  1,70
13.12.2012 08:00:00; 0,973
03.01.2013 18:25:00;  3,21
21.02.2013 10:05:00;  3,19
28.03.2013 12:25:00;  3,81
04.04.2013 06:35:00;  3,67
30.05.2013 08:05:00;  4,06
22.06.2013 15:10:00;  4,80
27.07.2013 06:30:00;  2,70
02.08.2013 18:45:00;  2,64
16.09.2013 17:20:00;  2,52
