Messstelle:                ;Gußwerk
09.01.1974 12:00:00;  2,50
07.02.1974 12:00:00;  4,60
16.03.1974 12:00:00;  4,12
23.04.1974 12:00:00;  4,12
28.05.1974 12:00:00;  5,70
10.06.1974 12:00:00;  6,54
29.07.1974 12:00:00;  6,54
22.08.1974 12:00:00;  3,07
18.09.1974 12:00:00;  2,50
17.10.1974 12:00:00;  2,50
09.11.1974 12:00:00;  3,68
01.12.1974 12:00:00;  3,07
30.01.1975 12:00:00;  6,16
26.02.1975 12:00:00;  1,55
01.03.1975 12:00:00;  3,27
03.04.1975 12:00:00;  3,47
30.05.1975 12:00:00;  4,60
23.06.1975 12:00:00;  3,07
18.07.1975 12:00:00;  5,80
23.08.1975 12:00:00;  3,90
24.09.1975 12:00:00;  2,08
17.10.1975 12:00:00;  1,20
24.11.1975 12:00:00;  1,00
19.12.1975 12:00:00;  1,20
05.01.1976 19:00:00;  2,05
19.02.1976 15:00:00;  2,13
11.03.1976 10:00:00;  2,05
15.04.1976 17:45:00;  6,22
19.05.1976 17:15:00;  3,61
30.06.1976 18:45:00;  1,89
01.07.1976 17:30:00; 0,975
29.08.1976 13:30:00;  1,72
01.09.1976 09:45:00;  2,51
30.10.1976 09:30:00;  2,76
20.11.1976 08:15:00;  2,47
01.12.1976 00:00:00;  4,50
19.01.1977 06:30:00;  2,94
03.02.1977 09:30:00;  3,97
02.03.1977 09:00:00;  5,84
13.04.1977 10:45:00;  5,34
29.05.1977 11:00:00;  1,95
19.06.1977 05:45:00; 0,857
13.07.1977 06:45:00; 1,000
31.08.1977 23:59:55; 0,887
29.09.1977 18:15:00; 0,568
01.10.1977 00:00:00; 0,591
23.11.1977 12:15:00; 0,261
19.12.1977 03:45:00; 0,415
29.01.1978 19:15:00; 0,255
21.02.1978 06:45:00; 0,146
24.03.1978 11:45:00; 0,826
15.04.1978 10:45:00;  1,10
09.05.1978 11:00:00;  1,84
18.06.1978 14:15:00;  2,43
27.07.1978 08:00:00;  2,84
09.08.1978 10:00:00;  1,40
15.09.1978 08:00:00;  1,71
18.10.1978 20:30:00;  1,49
25.11.1978 08:30:00;  1,92
05.12.1978 13:15:00;  1,58
26.01.1979 11:30:00;  1,75
21.02.1979 09:15:00;  2,05
01.03.1979 10:00:00;  1,51
04.04.1979 09:45:00;  6,03
30.05.1979 21:15:00;  4,29
30.06.1979 23:59:55;  5,05
26.07.1979 14:45:00;  4,18
23.08.1979 15:15:00;  3,19
21.09.1979 10:30:00;  1,98
16.10.1979 06:15:00;  1,62
01.11.1979 08:00:00;  2,31
31.12.1979 15:30:00;  4,50
31.01.1980 06:15:00;  1,54
22.02.1980 08:45:00;  2,68
04.03.1980 14:15:00;  2,33
11.04.1980 09:45:00;  5,94
17.05.1980 06:30:00;  13,0
22.06.1980 21:45:00;  5,99
21.07.1980 05:30:00;  4,18
28.08.1980 19:15:00;  2,59
25.09.1980 13:45:00;  2,38
07.10.1980 15:45:00;  2,64
14.11.1980 10:45:00;  1,75
13.12.1980 15:45:00;  2,08
28.01.1981 16:15:00;  1,43
27.02.1981 10:30:00;  2,18
01.03.1981 10:30:00;  2,40
21.04.1981 14:00:00;  4,50
27.05.1981 05:00:00;  3,15
11.06.1981 18:30:00;  2,13
08.07.1981 15:45:00;  2,27
15.08.1981 16:45:00;  3,05
11.09.1981 12:45:00;  2,92
21.10.1981 18:45:00;  3,19
13.11.1981 12:45:00;  3,59
21.12.1981 08:00:00;  2,55
26.01.1982 11:30:00;  4,26
28.02.1982 08:15:00;  4,26
01.03.1982 02:30:00;  4,76
23.04.1982 10:15:00;  7,69
03.05.1982 11:15:00;  10,5
27.06.1982 06:00:00;  4,89
21.07.1982 13:45:00;  5,15
31.08.1982 18:15:00;  5,88
17.09.1982 17:00:00;  3,79
01.10.1982 12:30:00;  4,24
26.11.1982 13:45:00;  1,51
06.12.1982 14:30:00;  2,53
02.01.1983 08:30:00;  3,67
23.02.1983 08:30:00;  3,93
05.03.1983 09:45:00;  4,41
06.04.1983 05:45:00;  6,13
31.05.1983 17:30:00;  3,56
08.06.1983 18:00:00;  3,26
29.07.1983 06:15:00;  2,77
17.08.1983 09:00:00;  2,33
07.09.1983 08:30:00;  2,86
16.10.1983 10:00:00;  2,55
24.11.1983 08:45:00;  1,45
03.12.1983 03:30:00;  1,68
27.01.1984 09:00:00;  1,46
22.02.1984 09:30:00; 0,922
13.03.1984 08:15:00; 0,991
05.04.1984 12:45:00;  6,12
02.05.1984 07:00:00;  6,32
20.06.1984 14:15:00;  2,44
25.07.1984 12:30:00;  2,18
31.08.1984 15:45:00;  3,56
06.09.1984 16:00:00;  2,16
25.10.1984 11:00:00; 0,956
08.11.1984 16:15:00;  1,40
31.12.1984 16:15:00;  1,85
21.01.1985 08:00:00;  1,16
01.02.1985 15:00:00;  1,59
16.03.1985 09:15:00;  1,28
18.04.1985 23:00:00;  5,13
28.05.1985 14:30:00;  4,58
07.06.1985 14:00:00;  5,49
25.07.1985 19:45:00;  2,70
02.08.1985 22:00:00;  3,00
19.09.1985 15:45:00;  3,19
29.10.1985 16:15:00;  1,57
25.11.1985 10:00:00;  1,53
01.12.1985 00:00:00;  2,51
28.01.1986 01:30:00;  1,21
22.02.1986 13:45:00;  1,69
03.03.1986 07:30:00;  2,44
21.04.1986 09:15:00;  8,21
27.05.1986 07:45:00;  4,19
29.06.1986 12:45:00;  4,02
30.07.1986 13:30:00;  1,28
07.08.1986 14:30:00;  1,49
29.09.1986 15:00:00;  1,46
15.10.1986 14:30:00; 0,679
07.11.1986 04:45:00; 0,970
28.12.1986 17:45:00; 0,404
21.01.1987 11:00:00;  1,26
05.02.1987 23:45:00;  2,08
13.03.1987 10:30:00;  2,26
02.04.1987 17:30:00;  4,94
29.05.1987 11:30:00;  10,1
19.06.1987 21:30:00;  5,47
23.07.1987 10:00:00;  2,45
23.08.1987 19:00:00;  3,27
27.09.1987 04:45:00;  2,08
23.10.1987 22:15:00;  1,57
05.11.1987 15:45:00;  1,57
10.12.1987 20:15:00;  2,85
21.01.1988 13:30:00;  2,05
20.02.1988 14:15:00;  1,04
04.03.1988 13:45:00;  1,72
03.04.1988 12:45:00;  8,81
26.05.1988 14:30:00;  7,71
27.06.1988 14:30:00;  4,14
21.07.1988 01:00:00;  2,45
06.08.1988 17:30:00;  2,45
28.09.1988 15:30:00;  2,38
17.10.1988 17:15:00;  1,61
26.11.1988 10:30:00;  2,18
01.12.1988 00:15:00;  6,12
28.01.1989 11:00:00;  6,77
02.02.1989 18:45:00;  6,34
10.03.1989 14:15:00;  9,30
29.04.1989 18:30:00;  8,75
31.05.1989 11:00:00;  7,16
16.06.1989 09:15:00;  4,10
02.07.1989 12:30:00;  5,13
25.08.1989 15:45:00;  8,22
23.09.1989 18:15:00;  7,47
26.10.1989 04:15:00;  2,98
30.11.1989 14:00:00;  1,04
01.12.1989 12:00:00;  1,29
27.01.1990 16:00:00;  1,83
14.02.1990 05:30:00;  1,66
05.03.1990 21:15:00;  4,14
13.04.1990 13:45:00;  3,49
31.05.1990 15:00:00;  2,05
06.06.1990 10:00:00;  2,05
28.07.1990 15:15:00;  2,59
31.08.1990 16:30:00;  1,57
05.09.1990 09:15:00;  1,88
17.10.1990 16:15:00;  2,05
17.11.1990 07:30:00;  2,22
25.12.1990 00:15:00;  2,59
18.01.1991 09:00:00;  2,40
18.02.1991 15:15:00;  1,41
01.03.1991 08:45:00;  2,85
16.04.1991 19:15:00;  3,27
10.05.1991 14:00:00;  5,47
26.06.1991 14:45:00;  4,44
11.07.1991 07:30:00;  2,98
14.08.1991 07:00:00;  1,50
25.09.1991 14:30:00;  6,69
31.10.1991 23:59:55;  2,73
04.11.1991 08:00:00;  1,91
14.12.1991 11:45:00;  1,92
18.01.1992 11:45:00;  4,25
13.02.1992 13:30:00;  1,88
17.03.1992 15:45:00;  4,21
18.04.1992 23:15:00;  7,85
27.05.1992 13:00:00;  4,83
09.06.1992 10:45:00;  4,05
30.07.1992 13:30:00;  1,65
18.08.1992 14:30:00;  1,50
02.09.1992 16:45:00;  1,65
02.10.1992 08:00:00;  1,65
03.11.1992 16:15:00;  2,14
29.12.1992 08:45:00;  4,39
31.01.1993 02:00:00;  5,13
26.02.1993 14:45:00;  2,98
03.03.1993 05:45:00;  2,59
01.04.1993 12:00:00;  8,14
27.05.1993 12:45:00;  4,10
02.06.1993 16:45:00;  2,98
02.07.1993 20:00:00;  6,55
06.08.1993 14:00:00;  3,48
17.09.1993 12:00:00;  3,24
15.10.1993 13:15:00;  1,12
19.11.1993 10:15:00;  2,18
09.12.1993 11:00:00;  1,44
22.01.1994 09:15:00;  2,58
20.02.1994 08:00:00;  2,58
04.03.1994 15:15:00;  3,48
12.04.1994 11:00:00;  3,46
23.05.1994 20:45:00;  3,48
16.06.1994 11:30:00;  2,71
08.07.1994 08:45:00;  2,58
13.08.1994 17:00:00;  1,16
30.09.1994 12:15:00;  1,57
21.10.1994 12:15:00; 0,375
08.11.1994 13:45:00;  1,88
18.12.1994 11:00:00;  4,43
09.01.1995 14:30:00;  1,98
03.02.1995 05:15:00;  3,96
15.03.1995 07:00:00;  3,48
01.04.1995 00:45:00;  6,42
29.05.1995 15:00:00;  8,01
01.06.1995 17:45:00;  7,72
27.07.1995 08:15:00;  2,26
18.08.1995 15:00:00;  2,45
13.09.1995 10:15:00;  3,27
21.10.1995 12:45:00;  1,28
07.11.1995 10:30:00;  1,89
20.12.1995 15:45:00;  1,98
05.01.1996 09:45:00;  1,61
24.02.1996 10:30:00; 0,696
16.03.1996 11:30:00;  1,98
06.04.1996 12:00:00;  2,58
31.05.1996 08:30:00;  12,5
19.06.1996 00:00:00;  3,67
28.07.1996 17:30:00;  3,44
03.08.1996 09:45:00;  3,22
01.09.1996 11:00:00;  4,63
02.10.1996 04:45:00;  5,15
26.11.1996 15:30:00;  5,96
27.12.1996 09:30:00;  2,05
24.01.1997 09:06:35;  1,79
07.02.1997 13:03:05;  1,38
02.03.1997 05:29:25;  4,10
23.04.1997 13:49:25;  7,80
28.05.1997 04:31:50;  9,58
02.06.1997 14:52:00;  5,86
02.07.1997 16:45:00;  6,86
25.08.1997 12:38:35;  1,98
22.09.1997 12:25:05; 0,375
01.10.1997 01:51:30;  1,81
01.11.1997 03:14:30;  2,29
17.12.1997 02:34:25;  2,80
21.01.1998 21:33:55;  1,93
05.02.1998 07:45:20;  1,01
16.03.1998 00:00:00;  2,47
20.04.1998 11:48:40;  6,18
14.05.1998 08:43:00;  2,44
09.06.1998 16:40:30;  5,32
03.07.1998 07:21:50;  4,51
18.08.1998 08:24:45;  2,46
02.09.1998 18:16:25;  2,91
28.10.1998 13:11:20;  5,60
30.11.1998 09:11:35;  3,28
06.12.1998 10:42:05;  2,30
22.01.1999 09:04:15;  3,45
04.02.1999 11:59:30;  2,65
01.03.1999 09:07:15;  5,74
21.04.1999 15:59:40;  10,5
31.05.1999 21:25:20;  5,42
07.06.1999 20:11:40;  3,66
06.07.1999 09:19:25;  2,70
05.08.1999 12:43:35;  3,30
21.09.1999 10:00:25;  3,26
26.10.1999 01:23:10;  2,53
07.11.1999 03:11:50;  1,97
01.12.1999 10:36:55;  2,14
21.01.2000 18:01:35;  2,53
28.02.2000 07:54:00;  4,15
07.03.2000 18:17:55;  5,35
10.04.2000 09:54:30;  12,4
26.05.2000 14:21:00;  5,43
22.06.2000 20:36:00;  3,13
03.07.2000 17:07:20;  1,79
28.08.2000 10:30:00;  1,34
20.09.2000 16:00:00;  1,34
01.10.2000 00:00:00;  2,20
20.11.2000 19:15:00;  1,64
04.12.2000 12:15:00;  1,34
16.01.2001 07:00:00;  1,08
04.02.2001 15:45:00;  2,98
03.03.2001 00:45:00;  2,82
07.04.2001 14:15:00;  5,96
30.05.2001 03:45:00;  3,02
30.06.2001 16:45:00;  3,72
07.07.2001 18:15:00;  2,26
30.08.2001 10:30:00;  2,03
02.09.2001 09:45:00;  2,59
19.10.2001 09:15:00;  1,01
23.11.2001 21:45:00; 0,927
18.12.2001 16:30:00;  1,44
08.01.2002 11:15:00;  2,45
25.02.2002 08:30:00;  5,21
04.03.2002 23:30:00;  6,10
11.04.2002 13:30:00;  4,91
28.05.2002 08:45:00;  2,95
04.06.2002 16:30:00;  3,10
22.07.2002 20:00:00;  2,73
05.08.2002 07:00:00;  3,10
21.09.2002 00:30:00;  2,78
06.10.2002 15:00:00;  3,24
27.11.2002 20:00:00;  4,63
20.12.2002 08:15:00;  3,76
24.01.2003 02:45:00;  4,08
25.02.2003 09:15:00;  2,83
09.03.2003 10:30:00;  2,22
05.04.2003 23:30:00;  3,82
27.05.2003 13:00:00;  3,02
30.06.2003 10:00:00;  2,58
28.07.2003 07:45:00;  1,33
24.08.2003 20:56:10; 0,794
09.09.2003 16:41:15; 0,833
01.10.2003 09:15:00; 0,586
28.11.2003 15:00:00;  1,56
24.12.2003 15:15:00; 0,523
24.01.2004 04:30:25; 0,692
01.02.2004 02:45:00;  1,62
06.03.2004 06:30:00;  2,46
14.04.2004 19:30:00;  5,89
27.05.2004 18:00:00;  5,15
19.06.2004 13:15:00;  4,15
29.07.2004 09:15:00;  3,55
24.08.2004 12:15:00;  2,56
15.09.2004 09:30:00;  2,00
27.10.2004 11:45:00;  1,33
03.11.2004 10:45:00;  1,54
22.12.2004 08:30:00;  1,51
26.01.2005 14:45:00;  1,78
07.02.2005 12:45:00;  1,78
15.03.2005 17:15:00;  1,69
12.04.2005 09:30:00;  13,5
17.05.2005 08:15:00;  6,28
30.06.2005 16:45:00;  2,91
01.07.2005 12:00:00;  4,01
14.08.2005 11:15:00;  3,49
19.09.2005 16:45:00;  2,85
05.10.2005 14:45:00;  2,23
11.11.2005 02:45:00;  2,07
29.12.2005 08:00:00;  1,11
24.01.2006 12:15:00;  1,12
09.02.2006 13:00:00;  1,69
02.03.2006 10:45:00;  2,18
14.04.2006 07:45:00;  12,6
24.05.2006 10:00:00;  9,20
26.06.2006 06:30:00;  4,63
27.07.2006 07:45:00;  4,31
28.08.2006 12:45:00;  3,62
12.09.2006 15:45:00;  2,64
26.10.2006 17:15:00;  1,42
01.11.2006 16:45:00;  1,75
30.12.2006 12:00:00;  2,48
19.01.2007 00:00:00;  2,85
10.02.2007 17:00:00;  3,80
25.03.2007 09:45:00;  5,14
26.04.2007 07:00:00;  3,82
02.05.2007 08:00:00;  3,75
22.06.2007 16:15:00;  1,97
23.07.2007 17:30:00;  2,06
23.08.2007 14:45:00;  1,90
03.09.2007 19:30:00;  2,38
18.10.2007 10:00:00;  3,03
21.11.2007 05:00:00;  6,61
20.12.2007 14:45:00;  5,61
02.01.2008 08:45:00;  5,61
18.02.2008 11:00:00;  4,49
27.03.2008 15:45:00;  4,25
05.04.2008 14:30:00;  6,48
29.05.2008 20:45:00;  4,36
28.06.2008 17:15:00;  3,73
01.07.2008 08:45:00;  3,34
30.08.2008 02:30:00;  4,92
03.09.2008 06:45:00;  3,86
28.10.2008 13:45:00;  2,92
11.11.2008 10:30:00;  1,96
27.12.2008 10:15:00;  3,67
09.01.2009 07:45:00;  2,65
23.02.2009 07:00:00;  2,71
01.03.2009 01:30:00;  3,65
01.04.2009 00:00:00;  10,8
28.05.2009 08:30:00;  6,00
10.06.2009 08:30:00;  4,27
31.07.2009 21:45:00;  7,52
27.08.2009 16:30:00;  5,26
28.09.2009 06:30:00;  3,69
07.10.2009 16:45:00;  3,98
29.11.2009 21:30:00;  3,38
31.12.2009 00:15:00;  2,72
27.01.2010 12:15:00;  1,76
09.02.2010 12:00:00;  1,78
17.03.2010 13:45:00;  1,97
22.04.2010 15:00:00;  6,35
10.05.2010 13:00:00;  5,37
12.06.2010 15:30:00;  5,36
12.07.2010 09:00:00;  3,37
23.08.2010 18:15:00;  3,03
15.09.2010 15:00:00;  3,39
27.10.2010 06:42:30;  3,05
08.11.2010 06:53:40;  3,28
14.12.2010 15:46:00;  2,76
06.01.2011 06:46:00;  3,05
25.02.2011 09:01:00;  3,09
07.03.2011 15:46:00;  2,55
22.04.2011 07:46:00;  2,87
24.05.2011 11:01:00;  2,55
17.06.2011 10:46:00;  1,66
13.07.2011 14:31:00;  2,60
26.08.2011 11:31:00;  2,43
04.09.2011 13:31:00;  2,44
06.10.2011 14:16:00;  2,74
30.11.2011 09:46:00;  2,91
23.12.2011 08:01:00;  2,32
17.01.2012 12:15:00;  1,66
17.02.2012 10:00:00;  2,89
10.03.2012 03:30:00;  7,29
19.04.2012 14:00:00;  9,47
29.05.2012 16:30:00;  4,59
03.06.2012 13:00:00;  4,95
07.07.2012 02:30:00;  4,43
22.08.2012 03:00:00;  2,22
03.09.2012 00:01:05;  2,56
03.10.2012 15:30:05;  2,53
30.11.2012 12:30:00;  2,93
10.12.2012 11:00:00;  2,65
01.01.2013 19:15:00;  3,43
26.02.2013 04:45:00;  2,89
06.03.2013 10:45:00;  3,39
02.04.2013 09:30:00;  3,31
21.05.2013 15:30:00;  3,38
22.06.2013 10:15:00;  4,70
31.07.2013 08:00:00;  1,97
03.08.2013 07:00:00;  2,00
08.09.2013 17:30:00;  2,85
13.10.2013 13:15:00;  2,62
02.11.2013 05:45:00;  3,17
07.12.2013 02:15:00;  3,68
26.01.2014 21:30:00;  2,21
13.02.2014 09:30:00;  1,98
13.03.2014 09:15:00;  2,51
02.04.2014 14:15:00;  3,77
09.05.2014 08:45:00;  3,92
27.06.2014 19:45:00;  3,27
18.07.2014 07:15:00;  3,22
27.08.2014 14:00:00;  2,43
10.09.2014 11:00:00;  4,95
21.10.2014 05:45:00;  3,13
10.11.2014 14:00:00;  2,81
05.12.2014 08:15:00;  2,71
05.01.2015 15:30:00;  2,76
11.02.2015 13:30:00;  2,74
14.03.2015 06:45:00;  3,98
07.04.2015 11:00:00;  4,31
22.05.2015 11:00:00;  4,65
27.06.2015 09:45:00;  3,59
29.07.2015 16:30:00;  2,63
22.08.2015 08:30:00;  1,37
03.09.2015 15:15:00;  1,34
03.10.2015 12:00:00;  2,02
04.11.2015 03:15:00;  1,48
17.12.2015 08:15:00;  1,19
21.01.2016 01:00:00; 0,296
01.02.2016 00:08:05;  2,98
17.03.2016 07:23:05;  6,57
28.04.2016 14:38:05;  5,71
25.05.2016 15:08:05;  4,68
10.06.2016 10:53:05;  5,09
10.07.2016 21:53:05;  5,19
26.08.2016 10:38:05;  5,02
27.09.2016 07:53:05;  3,08
02.10.2016 18:53:05;  3,15
29.11.2016 09:23:05;  4,59
31.12.2016 10:38:05;  3,73
24.01.2017 10:53:05;  2,03
01.02.2017 12:38:05;  2,60
15.03.2017 04:38:05;  7,23
20.04.2017 02:53:05;  4,17
30.05.2017 16:23:05;  4,85
27.06.2017 18:23:00;  2,85
05.07.2017 18:38:00;  2,55
03.08.2017 12:23:00;  2,70
01.09.2017 07:23:00;  4,70
21.10.2017 01:08:00;  4,61
30.11.2017 16:38:00;  6,44
10.12.2017 03:53:00;  5,03
22.01.2018 15:53:00;  4,46
28.02.2018 08:23:00;  3,71
01.03.2018 02:23:00;  3,71
27.04.2018 09:38:00;  5,43
25.05.2018 09:08:00;  2,55
04.06.2018 14:08:00;  2,55
31.07.2018 01:53:00;  2,70
24.08.2018 12:38:00;  1,99
28.09.2018 09:38:00;  2,54
15.10.2018 13:08:00;  1,06
29.11.2018 10:53:00;  2,74
01.12.2018 10:53:00;  2,74
09.01.2019 18:53:00;  3,16
01.02.2019 08:53:00;  3,00
22.03.2019 13:08:00;  10,7
17.04.2019 14:23:00;  9,10
28.05.2019 09:23:00;  8,88
28.06.2019 07:53:00;  4,26
26.07.2019 15:08:00;  2,46
31.08.2019 10:53:00;  1,79
26.09.2019 09:23:00;  1,10
15.10.2019 16:38:00;  2,01
02.11.2019 11:08:00;  1,82
20.12.2019 10:53:00;  1,50
21.01.2020 10:53:00;  2,95
15.02.2020 13:53:00;  4,31
31.03.2020 09:45:00;  3,51
29.04.2020 14:00:00;  2,12
22.05.2020 10:15:00;  1,53
08.06.2020 14:00:00;  3,18
26.07.2020 17:15:00;  2,54
01.08.2020 19:45:00;  3,00
23.09.2020 08:30:00;  3,51
02.10.2020 23:30:00;  3,65
27.11.2020 21:38:00;  2,85
02.12.2020 10:38:00;  2,26
11.01.2021 22:38:00;  1,87
01.02.2021 09:53:00;  3,54
08.03.2021 08:38:00;  3,36
18.04.2021 18:38:00;  5,03
31.05.2021 21:38:00;  4,52
25.06.2021 12:53:00;  1,90
12.07.2021 17:53:00;  1,78
19.08.2021 11:38:00;  2,83
20.09.2021 09:53:00;  1,88
04.10.2021 09:23:00;  1,88
22.11.2021 18:23:00;  1,22
02.12.2021 18:08:00;  2,12
