Messstelle:                ;Krössbach
05.05.1996 14:45:00;  1,96
28.06.1996 12:30:00;  4,51
22.07.1996 09:30:00;  6,24
21.08.1996 11:15:00;  5,54
30.09.1996 12:30:00;  3,16
14.10.1996 12:30:00;  3,01
29.11.1996 18:00:00;  2,33
27.12.1996 02:00:00; 0,778
30.01.1997 06:45:00; 0,570
17.02.1997 08:30:00; 0,526
02.03.1997 01:45:00; 0,631
08.04.1997 06:15:00; 0,643
02.05.1997 03:45:00;  1,29
03.06.1997 11:45:00;  5,81
09.07.1997 12:15:00;  8,28
23.08.1997 10:15:00;  7,60
30.09.1997 14:30:00;  2,83
29.10.1997 08:15:00;  1,57
28.11.1997 11:00:00;  1,34
06.12.1997 22:15:00; 0,975
26.01.1998 12:30:00; 0,391
01.02.1998 12:45:00; 0,419
11.03.1998 08:15:00; 0,333
20.04.1998 08:30:00; 0,875
03.05.1998 12:00:00;  2,15
19.06.1998 10:30:00;  5,12
10.07.1998 09:45:00;  7,53
31.08.1998 13:30:00;  3,64
30.09.1998 14:30:00;  3,36
28.10.1998 07:00:00;  2,73
29.11.1998 10:15:00;  1,84
31.12.1998 00:00:00; 0,981
30.01.1999 14:00:00; 0,537
20.02.1999 10:45:00; 0,509
10.03.1999 10:45:00; 0,528
01.04.1999 00:00:00; 0,851
02.05.1999 11:45:00;  4,55
24.06.1999 12:45:00;  7,31
25.07.1999 10:45:00;  7,38
31.08.1999 11:30:00;  6,66
16.09.1999 13:00:00;  3,95
31.10.1999 23:59:55;  2,70
27.11.1999 13:00:00;  1,20
22.12.1999 02:15:00; 0,425
03.01.2000 19:45:00; 0,571
22.02.2000 08:45:00; 0,452
03.03.2000 21:45:00; 0,425
02.04.2000 05:45:00;  1,16
23.05.2000 14:15:00;  6,26
30.06.2000 12:15:00;  6,26
31.07.2000 11:00:00;  6,78
30.08.2000 10:15:00;  4,95
18.09.2000 11:30:00;  2,27
11.10.2000 11:15:00;  2,27
30.11.2000 23:59:55;  2,59
31.12.2000 23:59:55;  1,30
15.01.2001 08:46:40; 0,674
28.02.2001 23:59:55; 0,740
08.03.2001 18:19:20; 0,727
01.04.2001 16:30:00;  1,34
08.05.2001 14:30:00;  7,09
07.06.2001 13:00:00;  5,83
22.07.2001 13:15:00;  11,8
23.08.2001 10:15:00;  7,45
20.09.2001 12:45:00;  3,15
31.10.2001 12:15:00;  1,71
10.11.2001 10:45:00;  1,06
14.12.2001 15:15:00; 0,579
20.01.2002 13:15:00; 0,543
01.02.2002 00:00:00; 0,543
01.03.2002 00:00:00; 0,543
11.04.2002 11:45:00; 0,939
01.05.2002 13:15:00;  2,85
30.06.2002 10:40:10;  6,45
28.07.2002 11:00:00;  4,93
31.08.2002 11:00:00;  5,83
19.09.2002 14:00:00;  3,04
31.10.2002 23:59:55;  2,21
13.11.2002 16:15:00;  1,72
30.12.2002 02:30:00;  1,43
31.01.2003 12:45:00; 0,890
18.02.2003 07:00:00; 0,467
17.03.2003 05:45:00; 0,428
08.04.2003 09:45:00; 0,609
17.05.2003 15:45:00;  4,16
30.06.2003 09:00:00;  10,5
07.07.2003 08:45:00;  6,68
27.08.2003 11:00:00;  5,15
30.09.2003 18:45:00;  1,89
25.10.2003 04:30:00;  1,46
30.11.2003 00:00:00;  1,59
24.12.2003 14:00:00; 0,727
24.01.2004 03:15:00; 0,487
25.02.2004 09:15:00; 0,310
16.03.2004 20:15:00; 0,241
12.04.2004 12:30:00;  1,20
11.05.2004 11:15:00;  2,05
04.06.2004 19:00:00;  5,57
14.07.2004 15:45:00;  8,07
28.08.2004 09:45:00;  5,81
22.09.2004 16:15:00;  3,38
18.10.2004 06:00:00;  2,24
30.11.2004 00:00:00;  1,68
22.12.2004 08:15:00; 0,812
29.01.2005 08:30:00; 0,492
17.02.2005 12:00:00; 0,321
14.03.2005 07:45:00; 0,264
12.04.2005 12:00:00; 0,944
11.05.2005 18:30:00;  2,22
11.06.2005 00:00:00;  3,68
24.07.2005 11:45:00;  6,19
11.08.2005 11:15:00;  4,69
26.09.2005 10:45:00;  3,04
31.10.2005 14:30:00;  2,01
29.11.2005 02:15:00; 0,996
30.12.2005 07:30:00; 0,492
24.01.2006 05:45:00; 0,293
28.02.2006 10:45:00; 0,195
20.03.2006 20:00:00; 0,174
07.04.2006 10:30:00; 0,591
01.05.2006 17:00:00;  2,40
08.06.2006 12:00:00;  3,54
18.07.2006 09:45:00;  7,06
28.08.2006 11:45:00;  4,55
28.09.2006 13:30:00;  3,10
23.10.2006 15:45:00;  2,02
30.11.2006 23:59:55;  1,12
22.12.2006 08:00:00; 0,550
27.01.2007 03:45:00; 0,413
19.02.2007 11:00:00; 0,377
22.03.2007 09:00:00; 0,421
01.04.2007 10:45:00; 0,591
05.05.2007 15:15:00;  2,38
01.06.2007 13:45:00;  5,18
31.07.2007 12:30:00;  4,25
01.08.2007 11:30:00;  3,85
30.09.2007 15:15:00;  3,62
31.10.2007 23:59:55;  1,83
27.11.2007 09:00:00;  1,17
26.12.2007 04:15:00; 0,675
23.01.2008 13:00:00; 0,421
11.02.2008 06:00:00; 0,314
06.03.2008 10:30:00; 0,264
07.04.2008 07:00:00; 0,430
02.05.2008 18:45:00;  1,86
16.06.2008 15:45:00;  6,53
24.07.2008 14:00:00;  7,57
30.08.2008 10:45:00;  6,29
30.09.2008 23:59:55;  3,59
26.10.2008 13:15:00;  2,56
27.11.2008 11:00:00;  1,65
28.12.2008 09:15:00; 0,698
04.01.2009 03:15:00; 0,592
25.02.2009 20:15:00; 0,302
22.03.2009 08:30:00; 0,435
01.04.2009 00:00:00; 0,651
01.05.2009 14:45:00;  2,54
03.06.2009 15:15:00;  5,30
12.07.2009 11:45:00;  6,84
31.08.2009 12:00:00;  4,98
30.09.2009 14:15:00;  2,60
20.10.2009 13:30:00;  1,65
28.11.2009 14:30:00;  1,19
19.12.2009 08:30:00; 0,591
23.01.2010 11:30:00; 0,560
21.02.2010 11:15:00; 0,377
06.03.2010 05:00:00; 0,250
06.04.2010 11:15:00; 0,633
20.05.2010 20:45:00;  3,08
02.06.2010 19:30:00;  6,50
31.07.2010 13:15:00;  6,35
01.08.2010 11:00:00;  6,47
24.09.2010 14:45:00;  4,04
25.10.2010 14:45:00;  1,47
30.11.2010 11:45:00;  1,50
19.12.2010 20:30:00; 0,908
23.01.2011 09:00:00; 0,642
24.02.2011 04:00:00; 0,462
08.03.2011 09:00:00; 0,444
01.04.2011 14:15:00;  1,04
05.05.2011 17:30:00;  2,00
07.06.2011 13:00:00;  7,63
04.07.2011 12:00:00;  5,59
31.08.2011 11:00:00;  4,95
30.09.2011 16:30:00;  3,42
29.10.2011 16:00:00;  1,83
30.11.2011 23:59:55;  1,01
20.12.2011 09:30:00; 0,529
15.01.2012 07:00:00; 0,286
21.02.2012 20:45:00; 0,067
02.03.2012 17:45:00; 0,321
21.04.2012 17:30:00;  1,43
18.05.2012 17:15:00;  4,20
15.06.2012 13:15:00;  8,61
18.07.2012 10:30:00;  7,86
17.08.2012 11:00:00;  5,49
18.09.2012 16:00:00;  4,72
30.10.2012 04:30:00;  2,22
30.11.2012 23:59:55;  1,63
31.12.2012 10:30:00; 0,932
26.01.2013 13:00:00; 0,550
10.02.2013 06:15:00; 0,404
16.03.2013 07:30:00; 0,404
01.04.2013 14:15:00; 0,518
27.05.2013 11:45:00;  3,82
01.06.2013 10:00:00;  5,36
01.07.2013 12:00:00;  7,67
24.08.2013 11:45:00;  4,98
25.09.2013 18:00:00;  3,45
19.10.2013 12:30:00;  3,68
25.11.2013 23:45:00;  1,91
31.12.2013 01:30:00;  1,11
29.01.2014 11:30:00; 0,838
24.02.2014 10:30:00; 0,652
03.03.2014 15:30:00; 0,756
01.04.2014 17:15:00;  1,56
18.05.2014 09:45:00;  2,85
02.06.2014 14:45:00;  4,97
02.07.2014 13:00:00;  8,71
29.08.2014 12:30:00;  6,47
28.09.2014 15:45:00;  3,15
31.10.2014 19:30:00;  1,99
03.11.2014 18:15:00;  1,86
29.12.2014 11:30:00; 0,996
31.01.2015 23:59:55; 0,727
19.02.2015 07:45:00; 0,591
07.03.2015 08:30:00; 0,492
07.04.2015 14:00:00; 0,755
01.05.2015 18:00:00;  2,58
26.06.2015 13:15:00;  9,17
31.07.2015 10:00:00;  8,03
31.08.2015 12:00:00;  6,08
30.09.2015 19:30:00;  3,59
24.10.2015 16:45:00;  3,16
24.11.2015 12:45:00;  1,73
31.12.2015 05:30:00; 0,872
18.01.2016 19:45:00; 0,472
11.02.2016 12:30:00; 0,502
10.03.2016 08:00:00; 0,444
10.04.2016 14:30:00;  1,38
05.05.2016 11:15:00;  1,74
21.06.2016 11:45:00;  10,4
17.07.2016 14:15:00;  8,99
26.08.2016 10:30:00;  6,99
29.09.2016 15:00:00;  2,22
13.10.2016 07:45:00;  1,82
29.11.2016 07:30:00;  1,24
29.12.2016 19:15:00; 0,745
29.01.2017 17:45:00; 0,622
27.02.2017 13:15:00; 0,427
03.03.2017 09:15:00; 0,482
21.04.2017 07:00:00; 0,897
01.05.2017 15:15:00;  1,72
09.06.2017 11:45:00;  6,62
17.07.2017 11:15:00;  5,96
30.08.2017 11:15:00;  6,08
30.09.2017 13:00:00;  3,82
31.10.2017 06:45:00;  2,75
27.11.2017 13:45:00;  1,72
29.12.2017 19:45:00; 0,812
24.01.2018 19:00:00; 0,328
28.02.2018 15:30:00; 0,351
22.03.2018 08:15:00; 0,421
02.04.2018 17:15:00; 0,560
18.05.2018 13:15:00;  7,31
29.06.2018 16:45:00;  5,21
18.07.2018 11:45:00;  5,52
17.08.2018 11:00:00;  5,07
30.09.2018 12:45:00;  2,22
23.10.2018 15:00:00; 0,920
28.11.2018 12:30:00;  1,30
15.12.2018 04:30:00; 0,751
22.01.2019 21:45:00; 0,591
05.02.2019 09:00:00; 0,560
16.03.2019 11:45:00; 0,751
01.04.2019 15:45:00;  1,44
16.05.2019 13:30:00;  2,60
01.06.2019 12:30:00;  6,47
16.07.2019 14:15:00;  6,60
30.08.2019 11:15:00;  7,41
30.09.2019 14:00:00;  3,75
27.10.2019 17:00:00;  2,62
17.11.2019 15:00:00;  1,85
29.12.2019 10:15:00;  1,50
20.01.2020 07:00:00;  1,05
22.02.2020 18:30:00; 0,945
08.03.2020 12:00:00; 0,897
01.04.2020 06:15:00;  1,12
04.05.2020 14:45:00;  3,02
01.06.2020 14:30:00;  4,24
19.07.2020 11:15:00;  6,78
26.08.2020 12:15:00;  4,50
29.09.2020 16:15:00;  4,06
20.10.2020 14:00:00;  3,24
30.11.2020 12:30:00;  1,73
31.12.2020 23:59:55;  1,06
14.01.2021 18:45:00; 0,612
14.02.2021 13:15:00; 0,522
19.03.2021 11:30:00; 0,768
21.04.2021 12:15:00;  1,19
08.05.2021 16:15:00;  3,11
01.06.2021 14:00:00;  6,50
03.07.2021 13:15:00;  10,9
28.08.2021 13:45:00;  4,86
25.09.2021 17:00:00;  3,07
31.10.2021 17:15:00;  2,01
24.11.2021 11:15:00;  1,65
23.12.2021 01:30:00; 0,910
