Messstelle:                ;Weitensfeld-Ost
26.06.1982 23:30:00;  5,80
21.07.1982 23:30:00;  5,21
03.08.1982 23:00:00;  7,26
30.09.1982 21:00:00;  3,69
01.10.1982 00:00:00;  3,74
12.11.1982 21:00:00;  5,37
31.12.1982 14:00:00;  3,54
25.01.1983 09:00:00;  2,44
22.02.1983 07:30:00;  1,82
05.03.1983 09:30:00;  2,16
07.04.1983 02:30:00;  3,39
21.05.1983 17:00:00;  5,47
30.06.1983 22:30:00;  4,59
23.07.1983 20:00:00;  2,12
29.08.1983 04:00:00;  2,26
01.09.1983 13:30:00;  2,42
28.10.1983 18:00:00;  2,64
19.11.1983 10:00:00;  1,21
09.12.1983 14:30:00; 0,989
12.01.1984 06:30:00; 0,953
10.02.1984 23:00:00; 0,536
11.03.1984 02:00:00; 0,467
01.04.1984 12:00:00;  2,44
02.05.1984 17:00:00;  5,22
28.06.1984 23:00:00;  4,23
22.07.1984 21:30:00;  3,11
05.08.1984 18:30:00;  3,16
15.09.1984 20:30:00;  4,35
31.10.1984 18:00:00;  4,70
30.11.1984 09:00:00;  2,84
08.12.1984 12:30:00;  1,96
23.01.1985 16:00:00;  1,30
25.02.1985 02:00:00;  1,47
05.03.1985 11:30:00;  1,68
01.04.1985 16:00:00;  2,99
01.05.1985 11:00:00;  5,46
07.06.1985 21:00:00;  6,00
15.07.1985 20:30:00;  5,32
26.08.1985 00:30:00;  4,82
30.09.1985 07:30:00;  2,69
28.10.1985 09:00:00;  1,65
30.11.1985 23:59:55;  1,66
02.12.1985 04:00:00;  1,63
16.01.1986 00:15:00;  1,63
01.02.1986 00:00:00;  1,63
05.03.1986 00:00:00;  1,63
02.04.1986 16:30:00;  3,52
28.05.1986 23:15:00;  8,04
13.06.1986 13:15:00;  7,82
31.07.1986 07:00:00;  3,70
10.08.1986 17:45:00;  3,77
30.09.1986 15:45:00;  4,14
25.10.1986 12:45:00;  2,37
22.11.1986 12:30:00;  1,67
29.12.1986 07:15:00; 0,991
23.01.1987 22:00:00; 0,790
22.02.1987 03:15:00; 0,407
04.03.1987 07:15:00; 0,442
03.04.1987 09:00:00;  1,89
26.05.1987 15:00:00;  9,40
29.06.1987 15:00:00;  6,90
12.07.1987 19:30:00;  5,12
31.08.1987 22:30:00;  4,23
19.09.1987 22:00:00;  2,71
06.10.1987 11:00:00;  2,79
18.11.1987 16:45:00;  1,42
11.12.1987 13:45:00;  3,53
28.01.1988 05:45:00;  2,15
17.02.1988 22:45:00;  1,19
10.03.1988 03:00:00;  1,02
04.04.1988 14:45:00;  2,56
29.05.1988 19:45:00;  6,66
30.06.1988 23:59:55;  4,90
02.07.1988 01:15:00;  4,70
21.08.1988 01:30:00;  2,56
01.09.1988 21:15:00;  3,70
31.10.1988 11:30:00;  3,53
23.11.1988 19:30:00;  1,47
16.12.1988 09:30:00;  1,10
29.01.1989 01:30:00;  1,19
12.02.1989 09:30:00; 0,947
01.03.1989 00:00:00;  1,27
01.04.1989 00:00:00;  2,70
31.05.1989 18:30:00;  4,49
22.06.1989 01:30:00;  3,53
01.07.1989 15:45:00;  4,29
08.08.1989 12:30:00;  3,89
23.09.1989 15:45:00;  4,08
26.10.1989 11:45:00;  2,70
30.11.1989 10:00:00;  1,37
28.12.1989 03:30:00;  1,10
02.01.1990 10:00:00;  1,10
08.02.1990 03:30:00; 0,947
04.03.1990 02:30:00; 0,947
30.04.1990 19:15:00;  1,27
01.05.1990 00:00:00;  3,53
02.06.1990 19:45:00;  3,35
31.07.1990 23:59:55;  4,56
30.08.1990 13:15:00;  2,70
16.09.1990 13:45:00;  2,15
02.10.1990 08:30:00;  2,15
01.11.1990 00:00:00;  4,52
29.12.1990 02:30:00;  3,01
15.01.1991 20:45:00;  1,37
03.02.1991 11:30:00;  1,19
01.03.1991 20:45:00;  2,70
28.04.1991 12:00:00;  6,14
01.05.1991 05:30:00;  6,35
26.06.1991 15:30:00;  8,04
07.07.1991 22:00:00;  6,71
31.08.1991 17:45:00;  4,16
26.09.1991 22:45:00;  3,03
01.10.1991 00:00:00;  3,81
02.11.1991 13:45:00;  3,81
29.12.1991 01:00:00;  2,73
21.01.1992 04:30:00;  1,03
18.02.1992 22:15:00;  1,03
08.03.1992 10:45:00;  1,57
13.04.1992 14:15:00;  1,77
31.05.1992 22:30:00;  8,18
12.06.1992 09:45:00;  6,57
30.07.1992 09:45:00;  4,91
31.08.1992 16:15:00;  2,01
29.09.1992 18:45:00;  1,57
01.10.1992 16:30:00;  1,77
18.11.1992 09:15:00;  4,50
26.12.1992 18:45:00;  2,38
16.01.1993 10:45:00;  1,57
17.02.1993 06:30:00;  1,46
05.03.1993 04:15:00;  1,57
04.04.1993 10:45:00;  1,46
26.05.1993 22:00:00;  1,89
23.06.1993 20:15:00;  1,57
18.07.1993 18:15:00;  1,46
17.08.1993 19:15:00;  2,94
03.09.1993 12:00:00;  2,09
01.10.1993 17:45:00;  5,30
29.11.1993 10:00:00;  5,86
15.12.1993 10:45:00;  2,36
30.01.1994 01:15:00;  1,46
14.02.1994 03:30:00;  1,35
19.03.1994 10:00:00;  1,46
07.04.1994 15:15:00;  3,27
29.05.1994 06:15:00;  4,57
27.06.1994 07:00:00;  3,43
04.07.1994 22:15:00;  3,25
03.08.1994 22:00:00;  2,48
07.09.1994 16:00:00;  4,05
22.10.1994 07:45:00;  4,79
10.11.1994 08:00:00;  5,19
31.12.1994 23:59:55;  3,49
02.01.1995 07:30:00;  1,57
28.02.1995 08:00:00;  1,37
08.03.1995 06:45:00;  1,46
08.04.1995 08:45:00;  1,89
31.05.1995 12:45:00;  5,51
07.06.1995 18:15:00;  5,11
16.07.1995 10:30:00;  3,93
23.08.1995 17:00:00;  5,53
02.09.1995 14:15:00;  3,25
20.10.1995 11:45:00;  1,57
09.11.1995 12:45:00;  1,19
09.12.1995 05:30:00; 0,947
31.01.1996 03:30:00; 0,462
16.02.1996 08:45:00; 0,539
14.03.1996 03:00:00; 0,678
05.04.1996 17:15:00;  2,80
25.05.1996 13:30:00;  6,61
16.06.1996 14:15:00;  3,75
31.07.1996 22:30:00;  4,50
09.08.1996 19:00:00;  2,94
21.09.1996 10:15:00;  4,31
01.10.1996 23:45:00;  5,95
14.11.1996 00:45:00;  5,53
28.12.1996 05:45:00;  2,86
10.01.1997 11:36:20;  1,13
17.02.1997 16:18:10; 0,993
27.03.1997 18:18:45;  1,39
05.04.1997 09:31:40; 0,802
01.05.1997 09:35:55;  2,40
06.06.1997 18:51:05; 0,971
26.07.1997 08:54:40;  1,84
30.08.1997 08:06:10;  4,31
30.09.1997 05:52:45;  3,05
12.10.1997 09:29:20;  1,06
05.11.1997 07:50:20;  1,69
30.12.1997 05:48:25; 0,726
28.01.1998 21:05:40; 0,766
06.02.1998 02:10:25; 0,895
09.03.1998 13:21:35;  1,01
02.04.1998 02:55:00;  2,34
01.05.1998 09:02:05;  2,90
02.06.1998 15:50:10;  1,42
20.07.1998 19:21:30;  2,22
16.08.1998 11:25:40;  2,24
05.09.1998 09:31:40;  3,75
01.10.1998 10:15:15;  6,56
07.11.1998 14:07:10;  4,56
25.12.1998 03:46:30;  2,71
14.01.1999 05:04:35; 0,951
11.02.1999 22:31:25; 0,731
27.03.1999 12:21:35;  1,07
11.04.1999 09:39:30;  2,02
22.05.1999 20:07:00;  5,44
14.06.1999 19:20:05;  3,24
31.07.1999 18:30:15;  3,07
01.08.1999 16:51:10;  5,71
24.09.1999 18:29:25;  3,60
24.10.1999 10:31:45;  2,87
13.11.1999 13:18:25;  2,77
30.12.1999 19:05:20;  1,81
13.01.2000 19:41:55;  1,04
24.02.2000 03:04:35; 0,992
28.03.2000 21:49:30;  1,01
05.04.2000 21:32:05;  2,79
20.05.2000 09:18:30;  5,24
24.06.2000 05:20:15;  2,71
06.07.2000 16:17:25;  3,03
25.08.2000 16:38:10;  2,69
06.09.2000 16:40:00;  1,55
01.10.2000 00:00:00;  2,99
01.11.2000 00:10:30;  6,72
31.12.2000 23:59:55;  5,10
16.01.2001 10:05:10;  4,22
27.02.2001 03:17:05;  2,89
02.03.2001 10:18:55;  3,67
10.04.2001 15:16:50;  5,45
31.05.2001 23:59:55;  6,46
30.06.2001 23:59:55;  3,77
28.07.2001 23:12:40;  3,16
19.08.2001 10:14:05;  1,76
14.09.2001 14:38:00;  3,48
31.10.2001 14:27:20;  2,85
16.11.2001 02:45:00;  1,54
10.12.2001 11:04:30; 0,279
06.01.2002 07:50:20; 0,397
01.02.2002 02:14:50; 0,790
19.03.2002 19:00:00;  1,13
06.04.2002 19:15:00;  1,02
23.05.2002 16:45:00;  2,91
11.06.2002 15:15:00;  2,13
14.07.2002 08:45:00;  3,32
03.08.2002 23:15:00;  4,53
19.09.2002 00:00:00;  5,30
15.10.2002 18:00:00;  5,30
02.11.2002 14:00:00;  4,72
27.12.2002 17:00:00;  5,88
29.01.2003 18:00:00;  2,38
25.02.2003 00:15:00;  1,19
02.03.2003 14:30:00;  2,01
06.04.2003 08:30:00;  1,73
12.05.2003 10:15:00;  2,73
16.06.2003 07:30:00;  3,01
23.07.2003 14:45:00;  1,90
16.08.2003 20:00:00;  1,36
22.09.2003 18:30:00;  2,73
03.10.2003 15:36:50;  2,78
01.11.2003 00:00:00;  4,58
25.12.2003 12:12:05;  2,64
23.01.2004 10:30:00;  1,77
25.02.2004 04:00:00;  1,67
05.03.2004 23:30:00;  1,67
01.04.2004 11:15:00;  3,25
27.05.2004 17:15:00;  6,29
10.06.2004 17:45:00;  5,68
31.07.2004 18:30:00;  7,07
19.08.2004 19:30:00;  5,11
29.09.2004 22:30:00;  4,11
10.10.2004 11:15:00;  2,65
23.11.2004 19:15:00;  2,86
22.12.2004 07:45:00;  1,90
27.01.2005 21:00:00; 0,947
28.02.2005 02:00:00; 0,801
11.03.2005 01:30:00; 0,740
07.04.2005 14:52:35;  2,87
31.05.2005 11:15:00;  3,21
03.06.2005 21:30:00;  2,47
04.07.2005 11:22:35;  3,07
11.08.2005 17:07:35;  2,70
16.09.2005 09:51:05;  4,45
29.10.2005 09:37:35;  5,51
13.11.2005 10:22:35;  2,90
30.12.2005 08:07:30;  1,32
26.01.2006 01:22:30;  1,33
04.02.2006 20:52:30;  1,18
13.03.2006 07:07:30;  1,20
08.04.2006 16:07:30;  2,92
11.05.2006 21:07:30;  5,75
24.06.2006 11:52:30;  2,37
26.07.2006 17:22:30;  1,52
01.08.2006 17:37:30;  1,99
08.09.2006 09:07:30;  2,02
21.10.2006 10:07:30;  1,48
04.11.2006 13:52:30;  1,48
28.12.2006 13:03:40; 0,434
26.01.2007 23:52:30; 0,740
02.02.2007 04:37:30; 0,678
01.03.2007 13:52:30;  1,57
01.04.2007 13:37:30;  3,25
19.05.2007 10:52:30;  2,12
24.06.2007 06:37:30;  3,58
26.07.2007 14:22:30;  2,80
22.08.2007 21:07:30;  2,80
24.09.2007 21:37:30;  2,80
16.10.2007 17:37:30;  2,65
10.11.2007 13:52:30;  2,03
18.12.2007 23:37:30; 0,678
08.01.2008 13:45:00; 0,779
17.02.2008 09:07:30; 0,801
28.03.2008 08:59:45; 0,625
04.04.2008 07:32:45; 0,915
10.05.2008 14:19:45;  3,76
03.06.2008 17:33:05;  3,49
06.07.2008 17:45:10;  4,12
10.08.2008 08:52:30;  4,72
05.09.2008 21:37:30;  3,58
25.10.2008 08:37:30;  3,25
28.11.2008 06:37:30;  2,20
30.12.2008 05:37:30;  3,47
09.01.2009 05:52:30;  1,85
03.02.2009 18:07:30;  1,85
04.03.2009 10:07:30;  2,20
01.04.2009 17:07:30;  5,92
29.05.2009 14:07:30;  6,71
17.06.2009 17:22:30;  4,19
27.07.2009 09:07:30;  5,72
01.08.2009 14:37:30;  5,11
03.09.2009 16:07:30;  5,30
24.10.2009 05:15:00;  2,77
21.11.2009 17:00:05;  2,92
19.12.2009 04:37:25;  1,90
27.01.2010 20:15:05;  1,85
01.02.2010 14:15:00;  1,64
06.03.2010 13:00:05;  1,85
17.04.2010 14:15:05;  2,59
31.05.2010 21:22:30;  5,11
01.06.2010 17:15:00;  3,01
22.07.2010 16:52:30;  1,35
10.08.2010 17:07:30;  1,85
10.09.2010 15:07:30;  2,87
26.10.2010 09:15:00;  2,59
05.11.2010 12:22:30;  3,47
19.12.2010 09:52:30;  5,29
31.01.2011 00:52:30;  2,62
23.02.2011 23:45:00;  1,96
02.03.2011 06:52:30;  2,07
21.04.2011 20:52:30;  4,19
07.05.2011 07:15:00;  3,53
01.06.2011 08:15:00;  4,37
08.07.2011 15:15:00;  3,16
29.08.2011 22:30:00;  3,47
13.09.2011 23:30:00;  2,87
21.10.2011 15:15:00;  1,97
11.11.2011 12:00:00;  1,26
02.12.2011 16:00:00;  1,17
26.01.2012 08:17:00; 0,683
05.02.2012 13:32:05; 0,810
08.03.2012 17:30:00;  1,15
03.04.2012 21:00:00;  1,57
11.05.2012 19:15:00;  2,92
22.06.2012 01:15:00;  1,85
04.07.2012 22:00:00;  2,87
20.08.2012 17:45:00;  3,75
12.09.2012 11:45:00;  4,70
13.10.2012 21:30:00;  5,25
01.11.2012 11:30:00;  7,94
16.12.2012 12:30:00;  3,85
26.01.2013 13:30:00;  1,65
10.02.2013 08:00:00;  1,27
05.03.2013 12:30:00;  1,27
06.04.2013 17:30:00;  2,77
23.05.2013 17:30:00;  6,81
