Messstelle:                ;See
31.10.1987 23:15:00;  3,28
27.11.1987 06:30:00;  2,38
11.12.1987 11:30:00;  1,70
30.01.1988 00:00:00;  1,93
14.02.1988 13:00:00;  1,30
13.03.1988 05:00:00; 0,220
02.04.1988 14:00:00;  1,93
05.05.1988 11:15:00;  12,4
09.06.1988 11:15:00;  15,0
31.07.1988 15:30:00;  10,7
19.08.1988 22:00:00;  6,76
30.09.1988 22:45:00;  4,75
31.10.1988 23:59:55;  3,60
23.11.1988 11:30:00;  2,40
31.12.1988 23:59:55;  2,02
24.01.1989 13:00:00;  1,55
01.02.1989 11:15:00;  1,76
05.03.1989 09:45:00;  1,80
30.04.1989 23:59:55;  3,91
02.05.1989 09:15:00;  3,51
09.06.1989 08:45:00;  8,74
30.07.1989 15:15:00;  9,13
31.08.1989 23:59:55;  7,00
25.09.1989 16:30:00;  5,71
29.10.1989 08:30:00;  4,33
30.11.1989 15:30:00;  2,43
31.12.1989 00:00:00;  1,86
15.01.1990 00:00:00;  1,78
14.02.1990 03:30:00;  1,55
05.03.1990 10:30:00;  2,80
20.04.1990 00:00:00;  3,66
01.05.1990 10:45:00;  6,12
01.06.1990 13:00:00;  11,3
28.07.1990 16:45:00;  8,48
25.08.1990 17:15:00;  5,61
17.09.1990 16:45:00;  4,67
27.10.1990 00:00:00;  3,69
07.11.1990 06:45:00;  2,92
31.12.1990 23:15:00;  2,30
16.01.1991 15:45:00;  1,51
23.02.1991 12:30:00;  1,44
01.03.1991 14:30:00;  2,22
25.04.1991 00:00:00;  3,15
01.05.1991 10:45:00;  3,31
09.06.1991 11:45:00;  10,0
31.07.1991 17:15:00;  9,76
31.08.1991 18:30:00;  4,77
22.09.1991 18:45:00;  3,73
31.10.1991 23:59:55;  2,90
11.11.1991 10:45:00;  2,14
12.12.1991 00:30:00;  1,46
29.01.1992 11:15:00;  1,46
19.02.1992 13:15:00;  1,33
01.03.1992 15:00:00;  1,91
01.04.1992 00:45:00;  2,66
01.05.1992 15:15:00;  9,43
14.06.1992 11:30:00;  15,0
31.07.1992 15:45:00;  9,67
29.08.1992 17:30:00;  5,16
30.09.1992 23:59:55;  4,23
19.10.1992 08:45:00;  3,03
18.11.1992 23:45:00;  3,20
29.12.1992 07:45:00;  2,38
03.01.1993 09:45:00;  2,22
25.02.1993 07:15:00;  1,97
05.03.1993 10:15:00;  1,74
01.04.1993 08:45:00;  2,61
04.05.1993 08:30:00;  10,8
15.06.1993 12:15:00;  12,2
14.07.1993 10:00:00;  10,2
22.08.1993 18:00:00;  6,71
30.09.1993 23:59:55;  6,58
31.10.1993 09:45:00;  5,52
30.11.1993 11:30:00;  3,45
19.12.1993 11:30:00;  3,13
19.01.1994 08:00:00;  2,05
12.02.1994 10:45:00;  2,00
01.03.1994 11:00:00;  2,59
14.04.1994 06:00:00;  3,86
07.05.1994 13:00:00;  10,9
15.06.1994 08:15:00;  12,6
31.07.1994 16:15:00;  8,26
23.08.1994 17:15:00;  6,92
30.09.1994 20:15:00;  6,51
31.10.1994 14:00:00;  4,01
09.11.1994 21:00:00;  3,58
25.12.1994 09:45:00;  2,72
11.01.1995 12:00:00;  2,23
28.02.1995 07:30:00;  2,16
08.03.1995 07:45:00;  2,05
01.04.1995 04:30:00;  3,10
22.05.1995 12:30:00;  9,35
26.06.1995 10:30:00;  18,1
30.07.1995 17:15:00;  12,2
23.08.1995 18:00:00;  8,33
30.09.1995 09:45:00;  7,80
31.10.1995 15:00:00;  4,20
30.11.1995 11:45:00;  2,91
06.12.1995 11:15:00;  2,23
22.01.1996 06:45:00; 0,917
24.02.1996 12:00:00; 0,917
05.03.1996 11:30:00;  1,27
05.04.1996 10:45:00;  2,40
06.05.1996 14:00:00;  6,43
28.06.1996 15:00:00;  9,61
23.07.1996 16:30:00;  8,37
24.08.1996 12:30:00;  8,20
30.09.1996 14:15:00;  6,84
15.10.1996 14:45:00;  5,75
30.11.1996 09:45:00;  4,74
29.12.1996 19:30:00;  3,05
30.01.1997 08:45:00;  2,38
07.02.1997 10:00:00;  2,28
02.03.1997 08:45:00;  3,05
01.04.1997 09:45:00;  4,23
02.05.1997 13:30:00;  6,36
26.06.1997 13:15:00;  14,9
22.07.1997 15:00:00;  14,3
25.08.1997 14:15:00;  7,37
30.09.1997 16:45:00;  4,51
09.10.1997 14:30:00;  3,96
24.11.1997 07:45:00;  3,32
29.12.1997 09:15:00;  2,31
27.01.1998 18:45:00;  1,84
06.02.1998 07:00:00;  1,91
11.03.1998 08:30:00;  2,43
20.04.1998 09:15:00;  4,20
07.05.1998 11:45:00;  6,10
19.06.1998 14:00:00;  11,8
26.07.1998 17:30:00;  8,08
17.08.1998 16:15:00;  5,34
02.09.1998 18:15:00;  5,48
24.10.1998 17:45:00;  7,14
30.11.1998 22:00:00;  4,95
31.12.1998 06:00:00;  3,23
29.01.1999 14:45:00;  1,82
22.02.1999 10:30:00; 0,900
08.03.1999 08:15:00;  2,40
20.04.1999 01:30:00;  4,29
01.05.1999 12:15:00;  14,0
24.06.1999 12:00:00;  14,9
31.07.1999 15:15:00;  12,2
31.08.1999 15:30:00;  9,63
13.09.1999 14:30:00;  5,74
30.10.1999 12:45:00;  4,57
20.11.1999 07:00:00;  3,05
17.12.1999 08:15:00;  2,20
31.01.2000 17:45:00;  1,82
19.02.2000 21:15:00;  1,48
06.03.2000 03:30:00;  2,00
02.04.2000 10:15:00;  3,28
24.05.2000 11:00:00;  14,3
27.06.2000 12:30:00;  10,7
10.07.2000 16:00:00;  10,2
26.08.2000 14:30:00;  6,99
15.09.2000 13:30:00;  5,57
28.10.2000 14:45:00;  6,41
11.11.2000 08:30:00;  4,11
22.12.2000 10:45:00;  2,50
15.01.2001 08:00:00;  1,82
23.02.2001 04:15:00;  1,82
01.03.2001 01:45:00;  2,04
22.04.2001 23:45:00;  3,95
01.05.2001 09:15:00;  10,7
07.06.2001 12:30:00;  13,5
31.07.2001 13:45:00;  9,84
27.08.2001 13:00:00;  5,92
03.09.2001 12:15:00;  8,63
31.10.2001 14:15:00;  4,80
21.11.2001 08:30:00;  3,64
24.12.2001 10:45:00;  2,35
23.01.2002 15:00:00;  2,35
22.02.2002 06:45:00;  1,89
04.03.2002 13:45:00;  2,11
22.04.2002 11:45:00;  3,95
01.05.2002 09:00:00;  7,50
30.06.2002 15:30:00;  11,1
29.07.2002 13:30:00;  6,10
31.08.2002 11:45:00;  6,10
18.09.2002 13:45:00;  4,83
10.10.2002 11:45:00;  5,77
01.11.2002 14:15:00;  5,77
18.12.2002 23:15:00;  4,23
31.01.2003 23:59:55;  2,90
13.02.2003 11:45:00;  2,32
10.03.2003 15:00:00;  2,23
13.04.2003 14:15:00;  2,72
04.05.2003 14:00:00;  9,48
30.06.2003 16:15:00;  7,34
20.07.2003 16:15:00;  4,74
28.08.2003 13:00:00;  3,58
30.09.2003 15:15:00;  4,09
02.10.2003 19:30:00;  4,01
30.11.2003 00:15:00;  3,58
08.12.2003 09:00:00;  1,95
10.01.2004 15:15:00;  1,91
25.02.2004 07:15:00;  1,46
10.03.2004 12:00:00;  1,32
16.04.2004 12:45:00;  3,01
12.05.2004 12:30:00;  6,36
04.06.2004 18:15:00;  13,6
31.07.2004 15:45:00;  9,47
19.08.2004 11:30:00;  7,10
21.09.2004 15:15:00;  5,07
25.10.2004 14:30:00;  5,30
28.11.2004 06:45:00;  3,81
30.12.2004 17:45:00;  2,31
15.01.2005 12:45:00;  2,22
24.02.2005 11:00:00;  1,67
11.03.2005 13:30:00;  1,67
12.04.2005 13:15:00;  4,11
12.05.2005 14:00:00;  6,48
11.06.2005 13:45:00;  8,66
28.07.2005 16:45:00;  6,54
18.08.2005 15:15:00;  5,68
26.09.2005 12:30:00;  4,06
29.10.2005 15:00:00;  3,47
20.11.2005 04:45:00;  1,92
17.12.2005 15:45:00;  1,72
31.01.2006 14:45:00;  1,73
12.02.2006 13:00:00;  1,45
13.03.2006 12:30:00;  1,68
08.04.2006 13:30:00;  3,69
02.05.2006 14:00:00;  9,32
09.06.2006 13:30:00;  8,40
26.07.2006 12:30:00;  4,95
26.08.2006 15:00:00;  6,17
29.09.2006 12:45:00;  4,45
27.10.2006 15:00:00;  2,99
08.11.2006 14:30:00;  2,91
11.12.2006 08:30:00;  2,16
06.01.2007 13:30:00;  2,48
21.02.2007 15:00:00;  1,93
13.03.2007 14:45:00;  2,27
02.04.2007 12:45:00;  2,34
08.05.2007 14:00:00;  6,68
03.06.2007 16:15:00;  9,66
29.07.2007 13:15:00;  5,28
06.08.2007 15:00:00;  4,06
24.09.2007 14:15:00;  7,02
29.10.2007 15:00:00;  4,23
03.11.2007 15:00:00;  3,27
29.12.2007 16:15:00;  2,82
03.01.2008 03:15:00;  1,47
03.02.2008 15:45:00;  1,66
30.03.2008 13:15:00;  1,77
10.04.2008 12:15:00;  2,24
03.05.2008 13:00:00;  7,94
17.06.2008 10:30:00;  12,8
30.07.2008 13:30:00;  7,06
31.08.2008 13:30:00;  4,93
06.09.2008 13:45:00;  4,74
27.10.2008 22:30:00;  4,29
22.11.2008 23:15:00;  3,21
28.12.2008 11:30:00;  1,80
31.01.2009 12:15:00;  1,67
19.02.2009 11:30:00;  1,33
27.03.2009 21:45:00;  1,69
01.04.2009 12:00:00;  3,10
01.05.2009 09:30:00;  8,59
25.06.2009 10:15:00;  10,8
31.07.2009 23:59:55;  9,10
31.08.2009 23:59:55;  4,93
30.09.2009 21:45:00;  3,75
09.10.2009 00:30:00;  3,05
12.11.2009 10:45:00;  2,95
15.12.2009 12:30:00;  1,76
23.01.2010 12:15:00;  1,73
09.02.2010 11:30:00;  1,48
06.03.2010 08:15:00;  1,45
02.04.2010 08:00:00;  2,78
20.05.2010 11:00:00;  6,34
24.06.2010 16:15:00;  13,4
21.07.2010 08:30:00;  9,83
27.08.2010 08:45:00;  8,74
30.09.2010 04:15:00;  6,04
27.10.2010 10:45:00;  3,91
30.11.2010 10:30:00;  3,29
31.12.2010 13:00:00;  2,77
28.01.2011 11:45:00;  2,02
23.02.2011 12:45:00;  1,76
08.03.2011 10:30:00;  1,77
01.04.2011 11:00:00;  3,73
05.05.2011 08:45:00;  5,25
29.06.2011 17:00:00;  9,75
17.07.2011 06:15:00;  6,35
26.08.2011 05:30:00;  5,99
16.09.2011 12:30:00;  5,16
31.10.2011 23:30:00;  5,38
25.11.2011 10:45:00;  3,05
20.12.2011 09:15:00;  2,30
14.01.2012 20:00:00;  1,82
21.02.2012 08:30:00;  1,64
01.03.2012 11:45:00;  2,75
25.04.2012 09:45:00;  4,89
18.05.2012 14:00:00;  12,9
15.06.2012 11:15:00;  23,3
24.07.2012 20:00:00;  9,70
19.08.2012 23:15:00;  6,52
22.09.2012 01:15:00;  7,16
30.10.2012 00:45:00;  6,13
30.11.2012 23:59:55;  3,96
20.12.2012 11:00:00;  2,95
26.01.2013 13:00:00;  2,58
25.02.2013 10:45:00;  2,33
02.03.2013 09:30:00;  2,56
01.04.2013 10:00:00;  2,80
28.05.2013 07:30:00;  8,47
01.06.2013 08:00:00;  10,9
31.07.2013 23:59:55;  9,35
18.08.2013 21:45:00;  5,79
05.09.2013 17:15:00;  5,75
31.10.2013 23:59:55;  8,21
27.11.2013 11:00:00;  4,07
31.12.2013 05:15:00;  2,40
29.01.2014 11:30:00;  1,94
25.02.2014 11:15:00;  1,66
03.03.2014 11:15:00;  2,11
01.04.2014 11:45:00;  3,80
18.05.2014 07:00:00;  6,75
21.06.2014 16:00:00;  10,0
21.07.2014 02:15:00;  9,91
31.08.2014 09:45:00;  8,97
30.09.2014 06:00:00;  6,08
09.10.2014 09:00:00;  4,65
30.11.2014 23:59:55;  4,43
27.12.2014 08:00:00;  2,27
26.01.2015 10:30:00;  2,37
27.02.2015 07:00:00;  1,81
06.03.2015 10:00:00;  1,82
08.04.2015 08:15:00;  2,89
01.05.2015 02:45:00;  9,02
26.06.2015 14:30:00;  16,1
31.07.2015 22:45:00;  6,74
31.08.2015 22:00:00;  5,28
01.09.2015 07:00:00;  5,21
22.10.2015 09:00:00;  4,79
24.11.2015 07:30:00;  2,75
31.12.2015 08:45:00;  2,30
06.01.2016 09:15:00;  2,04
20.02.2016 09:15:00;  1,83
10.03.2016 09:00:00;  2,19
01.04.2016 10:00:00;  5,66
05.05.2016 06:15:00;  6,46
02.06.2016 13:30:00;  19,8
30.07.2016 18:45:00;  9,36
31.08.2016 20:45:00;  6,68
30.09.2016 23:00:00;  4,73
22.10.2016 11:45:00;  3,47
29.11.2016 11:15:00;  2,42
28.12.2016 11:45:00;  1,92
17.01.2017 07:30:00;  1,64
19.02.2017 07:15:00;  1,60
03.03.2017 08:30:00;  1,98
21.04.2017 08:00:00;  3,75
02.05.2017 05:00:00;  4,92
28.06.2017 00:30:00;  12,2
08.07.2017 18:45:00;  9,44
31.08.2017 05:00:00;  6,17
30.09.2017 20:00:00;  7,97
25.10.2017 07:00:00;  5,84
30.11.2017 23:59:55;  3,77
29.12.2017 13:30:00;  2,84
22.01.2018 22:15:00;  2,60
15.02.2018 06:15:00;  2,26
22.03.2018 10:00:00;  2,29
02.04.2018 09:30:00;  3,09
20.05.2018 10:00:00;  14,6
29.06.2018 16:15:00;  10,6
30.07.2018 19:30:00;  5,56
17.08.2018 22:30:00;  4,45
17.09.2018 10:15:00;  4,86
22.10.2018 11:30:00;  3,86
