Messstelle:                ;Rauchwart
30.04.2007 20:06:35; 0,098
01.05.2007 14:07:15; 0,100
25.06.2007 07:08:50; 0,091
20.07.2007 01:55:00; 0,069
17.08.2007 21:18:10; 0,066
17.09.2007 16:00:55; 0,107
13.10.2007 10:46:00; 0,121
07.11.2007 09:17:25; 0,199
31.12.2007 14:11:40; 0,143
02.01.2008 11:03:35; 0,130
23.02.2008 16:29:05; 0,120
01.03.2008 02:00:35; 0,122
10.04.2008 15:40:15; 0,132
16.05.2008 09:13:05; 0,098
22.06.2008 07:30:00; 0,096
06.07.2008 00:05:55; 0,096
12.08.2008 10:01:00; 0,120
17.09.2008 11:25:05; 0,133
02.10.2008 16:53:50; 0,169
26.11.2008 11:17:25; 0,191
11.12.2008 08:22:30; 0,193
09.01.2009 08:15:20; 0,149
28.02.2009 11:29:55; 0,239
26.03.2009 13:38:30; 0,205
25.04.2009 12:44:30; 0,206
09.05.2009 10:16:55; 0,183
11.06.2009 16:13:45; 0,184
31.07.2009 10:58:00; 0,165
03.08.2009 12:29:55; 0,146
03.09.2009 19:32:50; 0,182
22.10.2009 12:15:00; 0,223
02.11.2009 08:08:25; 0,259
19.12.2009 07:00:00; 0,211
27.01.2010 06:10:00; 0,194
01.02.2010 11:25:00; 0,192
31.03.2010 07:00:00; 0,228
20.04.2010 09:30:00; 0,214
25.05.2010 22:15:00; 0,167
30.06.2010 08:00:00; 0,137
13.07.2010 11:15:00; 0,126
03.08.2010 09:45:00; 0,146
02.09.2010 08:15:00; 0,182
12.10.2010 08:45:00; 0,223
06.11.2010 10:15:00; 0,235
30.12.2010 07:10:00; 0,241
04.01.2011 11:40:00; 0,223
24.02.2011 10:37:00; 0,197
31.03.2011 09:07:00; 0,204
25.04.2011 09:52:00; 0,150
27.05.2011 06:07:00; 0,145
29.06.2011 11:07:05; 0,095
01.07.2011 09:22:00; 0,081
31.08.2011 10:37:00; 0,104
14.09.2011 09:52:00; 0,097
06.10.2011 10:22:00; 0,107
23.11.2011 08:07:20; 0,200
09.12.2011 10:07:00; 0,174
31.01.2012 08:07:00; 0,137
05.02.2012 07:52:00; 0,106
22.03.2012 09:37:00; 0,151
30.04.2012 07:52:20; 0,125
21.05.2012 08:22:00; 0,108
30.06.2012 07:22:00; 0,084
09.07.2012 09:37:20; 0,077
30.08.2012 10:22:20; 0,082
12.09.2012 15:37:00; 0,075
05.10.2012 23:07:00; 0,113
17.11.2012 06:52:00; 0,144
13.12.2012 10:07:00; 0,097
03.01.2013 12:37:00; 0,110
16.02.2013 10:22:20; 0,234
22.03.2013 00:30:00; 0,224
30.04.2013 05:50:00; 0,147
01.05.2013 11:35:00; 0,127
30.06.2013 21:20:00; 0,135
25.07.2013 15:20:00; 0,074
09.08.2013 10:35:00; 0,091
01.09.2013 09:50:00; 0,096
10.10.2013 09:20:00; 0,098
02.11.2013 10:35:00; 0,140
01.12.2013 23:50:00; 0,114
29.01.2014 12:35:00; 0,158
02.02.2014 12:05:00; 0,186
30.03.2014 06:50:00; 0,170
01.04.2014 08:50:00; 0,175
31.05.2014 10:00:25; 0,180
12.06.2014 07:45:25; 0,169
22.07.2014 05:00:25; 0,179
09.08.2014 08:00:25; 0,158
26.09.2014 15:15:00; 0,227
18.10.2014 03:30:25; 0,245
30.11.2014 18:40:15; 0,280
31.12.2014 00:01:20; 0,220
29.01.2015 07:49:40; 0,266
08.02.2015 10:55:00; 0,295
23.03.2015 07:40:05; 0,250
28.04.2015 10:22:35; 0,226
19.05.2015 15:15:00; 0,189
14.06.2015 10:00:00; 0,232
23.07.2015 09:45:00; 0,163
16.08.2015 13:30:00; 0,151
08.09.2015 09:30:00; 0,161
02.10.2015 10:00:00; 0,174
27.11.2015 13:15:00; 0,220
14.12.2015 17:15:00; 0,207
24.01.2016 11:30:00; 0,179
03.02.2016 09:00:00; 0,211
25.03.2016 09:00:00; 0,218
20.04.2016 08:00:00; 0,212
23.05.2016 07:15:00; 0,222
29.06.2016 09:00:00; 0,160
12.07.2016 10:00:00; 0,125
31.08.2016 09:30:00; 0,148
09.09.2016 08:45:00; 0,146
01.10.2016 10:15:00; 0,162
05.11.2016 11:00:00; 0,195
31.12.2016 09:45:00; 0,202
07.01.2017 19:00:00; 0,152
04.02.2017 15:15:00; 0,186
25.03.2017 11:00:00; 0,176
21.04.2017 08:30:00; 0,164
18.05.2017 18:30:00; 0,145
16.06.2017 13:00:00; 0,124
31.07.2017 10:30:00; 0,120
01.08.2017 11:45:00; 0,116
01.09.2017 10:30:00; 0,140
13.10.2017 12:30:00; 0,130
01.11.2017 11:15:00; 0,155
27.12.2017 10:38:00; 0,173
29.01.2018 09:45:00; 0,178
28.02.2018 06:00:00; 0,176
01.03.2018 05:15:00; 0,162
30.04.2018 07:00:00; 0,162
02.05.2018 09:30:00; 0,166
20.06.2018 09:45:00; 0,142
31.07.2018 09:15:00; 0,134
29.08.2018 11:30:00; 0,114
14.09.2018 09:45:00; 0,115
01.10.2018 10:45:00; 0,120
01.11.2018 07:00:00; 0,160
18.12.2018 17:15:00; 0,188
21.01.2019 08:45:00; 0,155
20.02.2019 09:15:00; 0,136
24.03.2019 08:45:00; 0,146
10.04.2019 03:15:00; 0,126
09.05.2019 08:15:00; 0,142
30.06.2019 10:30:00; 0,112
18.07.2019 10:15:00; 0,093
31.08.2019 11:30:00; 0,079
02.09.2019 09:00:00; 0,074
02.10.2019 10:15:00; 0,132
03.11.2019 10:45:00; 0,162
30.12.2019 07:45:00; 0,167
08.01.2020 23:30:00; 0,158
25.02.2020 09:45:00; 0,148
18.03.2020 14:15:00; 0,155
27.04.2020 11:00:00; 0,175
28.05.2020 04:00:00; 0,145
28.06.2020 06:00:00; 0,121
18.07.2020 11:15:00; 0,085
13.08.2020 08:45:00; 0,062
21.09.2020 08:45:00; 0,146
03.10.2020 08:30:00; 0,198
13.11.2020 12:30:00; 0,190
01.12.2020 10:00:00; 0,220
18.01.2021 04:00:00; 0,103
28.02.2021 10:30:00; 0,183
31.03.2021 08:15:00; 0,129
28.04.2021 06:30:00; 0,130
06.05.2021 14:45:00; 0,129
15.06.2021 13:00:00; 0,116
28.07.2021 10:45:00; 0,110
21.08.2021 10:45:00; 0,111
21.09.2021 15:00:00; 0,105
04.10.2021 06:30:00; 0,156
12.11.2021 01:45:00; 0,129
26.12.2021 11:15:00; 0,157
