Messstelle:                ;Mauthen
04.03.1955 12:00:00;  2,65
21.04.1955 12:00:00;  7,16
05.05.1955 12:00:00;  14,6
30.06.1955 12:00:00;  13,6
27.07.1955 12:00:00;  6,82
24.08.1955 12:00:00;  4,40
06.09.1955 12:00:00;  4,40
17.10.1955 12:00:00;  4,17
30.11.1955 12:00:00;  3,48
27.12.1955 12:00:00;  2,35
31.01.1956 12:00:00;  2,68
29.02.1956 12:00:00;  2,40
22.03.1956 12:00:00;  2,16
08.04.1956 12:00:00;  2,82
03.05.1956 12:00:00;  7,96
29.06.1956 12:00:00;  12,5
31.07.1956 12:00:00;  6,52
14.08.1956 12:00:00;  4,46
25.09.1956 12:00:00;  3,10
25.10.1956 12:00:00;  4,98
30.11.1956 12:00:00;  4,72
31.12.1956 12:00:00;  4,20
19.01.1957 12:00:00;  3,10
06.02.1957 12:00:00;  3,43
13.03.1957 12:00:00;  3,10
29.04.1957 12:00:00;  10,2
01.05.1957 12:00:00;  15,9
30.06.1957 12:00:00;  18,3
21.07.1957 12:00:00;  9,40
14.08.1957 12:00:00;  8,44
25.09.1957 12:00:00;  5,96
31.10.1957 12:00:00;  6,40
04.11.1957 12:00:00;  6,40
27.12.1957 12:00:00;  4,50
31.01.1958 12:00:00;  4,02
11.02.1958 12:00:00;  3,70
21.03.1958 12:00:00;  3,34
14.04.1958 12:00:00;  5,40
01.05.1958 12:00:00;  13,5
21.06.1958 12:00:00;  9,50
20.07.1958 12:00:00;  5,62
01.08.1958 12:00:00;  6,06
22.09.1958 12:00:00;  4,86
31.10.1958 12:00:00;  7,28
10.11.1958 12:00:00;  7,28
31.12.1958 12:00:00;  8,18
23.01.1959 12:00:00;  4,90
14.02.1959 12:00:00;  4,30
01.03.1959 12:00:00;  5,16
03.04.1959 12:00:00;  10,6
06.05.1959 12:00:00;  15,1
13.06.1959 12:00:00;  18,1
28.07.1959 12:00:00;  6,84
31.08.1959 12:00:00;  4,70
30.09.1959 12:00:00;  2,90
27.10.1959 12:00:00;  2,80
13.11.1959 12:00:00;  6,66
31.12.1959 12:00:00;  4,30
12.01.1960 12:00:00;  2,59
15.02.1960 12:00:00;  2,75
13.03.1960 12:00:00;  2,90
06.04.1960 12:00:00;  12,2
04.05.1960 12:00:00;  13,1
26.06.1960 12:00:00;  13,0
31.07.1960 12:00:00;  12,0
30.08.1960 12:00:00;  8,94
04.09.1960 12:00:00;  10,2
06.10.1960 12:00:00;  17,6
30.11.1960 12:00:00;  9,32
31.12.1960 12:00:00;  4,90
15.01.1961 12:00:00;  4,10
04.02.1961 12:00:00;  3,74
04.03.1961 12:00:00;  4,30
03.04.1961 12:00:00;  8,94
14.05.1961 12:00:00;  12,5
30.06.1961 12:00:00;  12,5
11.07.1961 12:00:00;  7,48
23.08.1961 12:00:00;  3,90
30.09.1961 12:00:00;  2,80
06.10.1961 12:00:00;  2,80
07.11.1961 12:00:00;  5,22
31.12.1961 12:00:00;  5,62
30.01.1962 12:00:00;  3,01
12.02.1962 12:00:00;  2,83
03.03.1962 12:00:00;  2,92
15.04.1962 12:00:00;  2,83
04.05.1962 12:00:00;  12,6
30.06.1962 12:00:00;  16,5
27.07.1962 12:00:00;  7,02
31.08.1962 12:00:00;  3,70
07.09.1962 12:00:00;  3,70
30.10.1962 12:00:00;  3,80
03.11.1962 12:00:00;  4,10
31.12.1962 12:00:00;  6,06
31.01.1963 12:00:00;  3,70
28.02.1963 12:00:00;  3,34
01.03.1963 12:00:00;  3,34
03.04.1963 12:00:00;  4,68
06.05.1963 12:00:00;  20,5
30.06.1963 12:00:00;  21,8
31.07.1963 12:00:00;  10,2
13.08.1963 12:00:00;  7,28
29.09.1963 12:00:00;  7,80
31.10.1963 12:00:00;  6,28
01.11.1963 12:00:00;  7,80
31.12.1963 12:00:00;  4,68
31.01.1964 12:00:00;  4,02
22.02.1964 12:00:00;  2,92
12.03.1964 12:00:00;  2,92
01.04.1964 12:00:00;  3,20
31.05.1964 12:00:00;  6,56
30.06.1964 12:00:00;  6,56
31.07.1964 12:00:00;  4,20
18.08.1964 12:00:00;  3,84
30.09.1964 12:00:00;  3,52
07.10.1964 12:00:00;  3,20
15.11.1964 12:00:00;  9,16
31.12.1964 12:00:00;  6,28
21.01.1965 12:00:00;  4,00
10.02.1965 12:00:00;  2,68
03.03.1965 12:00:00;  2,33
24.04.1965 12:00:00;  5,75
01.05.1965 12:00:00;  8,52
30.06.1965 12:00:00;  24,9
24.07.1965 12:00:00;  9,24
22.08.1965 12:00:00;  6,25
01.09.1965 12:00:00;  9,24
31.10.1965 12:00:00;  6,87
30.11.1965 12:00:00;  3,97
14.12.1965 12:00:00;  2,56
04.01.1966 12:00:00;  2,35
12.02.1966 12:00:00;  2,14
23.03.1966 12:00:00;  1,36
01.04.1966 12:00:00;  1,98
31.05.1966 12:00:00;  9,88
04.06.1966 12:00:00;  8,22
05.07.1966 12:00:00;  6,73
15.08.1966 12:00:00;  12,1
27.09.1966 12:00:00;  6,36
11.10.1966 12:00:00;  5,10
18.11.1966 12:00:00;  10,6
28.12.1966 12:00:00;  3,05
16.01.1967 12:00:00;  2,00
13.02.1967 12:00:00; 0,960
09.03.1967 12:00:00;  2,84
05.04.1967 12:00:00;  5,76
02.05.1967 12:00:00;  8,05
05.06.1967 12:00:00;  12,0
19.07.1967 12:00:00;  2,84
19.08.1967 12:00:00;  4,75
03.09.1967 12:00:00;  4,75
24.10.1967 12:00:00;  2,16
02.11.1967 12:00:00;  3,58
31.12.1967 12:00:00;  5,24
25.01.1968 12:00:00;  1,88
05.02.1968 12:00:00;  1,88
18.03.1968 12:00:00;  2,83
05.04.1968 12:00:00;  7,39
02.05.1968 12:00:00;  7,65
30.06.1968 12:00:00;  14,5
31.07.1968 12:00:00;  3,71
28.08.1968 12:00:00;  3,97
13.09.1968 12:00:00;  4,50
31.10.1968 12:00:00;  3,02
02.11.1968 12:00:00;  3,99
21.12.1968 12:00:00;  2,82
06.01.1969 12:00:00; 0,820
11.02.1969 12:00:00; 0,740
07.03.1969 12:00:00;  2,16
06.04.1969 12:00:00;  3,55
31.05.1969 12:00:00;  11,2
04.06.1969 12:00:00;  12,6
21.07.1969 12:00:00;  3,60
21.08.1969 12:00:00;  4,11
10.09.1969 12:00:00;  2,99
04.10.1969 12:00:00;  2,11
04.11.1969 12:00:00;  1,79
26.12.1969 12:00:00;  1,62
11.01.1970 12:00:00;  1,20
22.02.1970 12:00:00;  1,20
05.03.1970 12:00:00;  1,20
03.04.1970 12:00:00;  1,31
06.05.1970 12:00:00;  9,67
25.06.1970 12:00:00;  12,9
08.07.1970 12:00:00;  7,59
06.08.1970 12:00:00;  5,07
16.09.1970 12:00:00;  2,34
29.10.1970 12:00:00;  1,41
11.11.1970 12:00:00;  1,26
01.12.1970 12:00:00;  2,21
23.01.1971 12:00:00;  1,20
03.02.1971 12:00:00;  1,08
19.03.1971 12:00:00;  1,20
06.04.1971 12:00:00;  3,05
01.05.1971 12:00:00;  14,0
23.06.1971 12:00:00;  12,4
20.07.1971 12:00:00;  4,43
04.08.1971 12:00:00;  1,49
24.09.1971 12:00:00;  1,20
27.10.1971 12:00:00;  1,06
02.11.1971 12:00:00;  1,31
23.12.1971 12:00:00;  1,20
25.01.1972 12:00:00;  1,31
09.02.1972 12:00:00;  1,79
18.03.1972 12:00:00;  4,74
29.04.1972 12:00:00;  11,7
03.05.1972 12:00:00;  9,35
07.06.1972 12:00:00;  21,8
28.07.1972 12:00:00;  11,2
14.08.1972 12:00:00;  4,87
25.09.1972 12:00:00;  2,11
22.10.1972 12:00:00;  2,43
29.11.1972 12:00:00;  2,59
19.12.1972 12:00:00;  1,95
24.01.1973 12:00:00;  1,32
17.02.1973 12:00:00;  1,32
29.03.1973 12:00:00;  1,55
18.04.1973 12:00:00;  1,55
17.05.1973 12:00:00;  7,84
21.06.1973 12:00:00;  9,05
12.07.1973 12:00:00;  4,11
18.08.1973 12:00:00;  1,79
20.09.1973 12:00:00;  2,99
22.10.1973 12:00:00;  7,19
30.11.1973 12:00:00;  3,05
05.12.1973 12:00:00;  2,90
02.01.1974 12:00:00;  3,20
10.02.1974 12:00:00;  3,05
05.03.1974 12:00:00;  2,59
27.04.1974 12:00:00;  4,11
09.05.1974 12:00:00;  6,20
16.06.1974 12:00:00;  10,2
13.07.1974 12:00:00;  4,80
14.08.1974 12:00:00;  3,20
28.09.1974 12:00:00;  4,10
23.10.1974 12:00:00;  3,90
02.11.1974 12:00:00;  2,11
25.12.1974 12:00:00;  1,07
23.01.1975 12:00:00; 0,990
15.02.1975 12:00:00;  1,24
28.03.1975 12:00:00;  1,16
05.04.1975 12:00:00;  1,50
03.05.1975 12:00:00;  29,3
12.06.1975 12:00:00;  22,8
29.07.1975 12:00:00;  10,6
16.08.1975 12:00:00;  6,20
24.09.1975 12:00:00;  4,11
28.10.1975 12:00:00;  2,89
29.11.1975 12:00:00;  2,54
10.12.1975 12:00:00;  2,70
29.01.1976 13:30:00;  2,62
03.02.1976 13:00:00;  2,48
26.03.1976 12:30:00;  2,56
17.04.1976 08:30:00;  4,87
01.05.1976 11:00:00;  10,7
19.06.1976 07:30:00;  5,95
17.07.1976 14:30:00;  2,11
29.08.1976 14:00:00;  4,36
30.09.1976 18:30:00;  3,64
01.10.1976 09:00:00;  2,01
25.11.1976 16:00:00;  8,21
25.12.1976 07:30:00;  3,82
30.01.1977 11:00:00;  1,79
14.02.1977 05:30:00;  1,73
02.03.1977 07:00:00;  1,79
17.04.1977 08:30:00;  4,33
11.05.1977 12:30:00;  23,5
30.06.1977 11:30:00;  17,6
25.07.1977 14:00:00;  9,23
09.08.1977 16:30:00;  5,81
30.09.1977 23:59:55;  5,90
27.10.1977 05:00:00;  2,84
28.11.1977 18:30:00;  2,76
17.12.1977 19:30:00;  2,19
11.01.1978 00:00:05;  2,48
03.02.1978 02:30:00;  2,72
20.03.1978 21:00:00;  2,68
17.04.1978 15:30:00;  3,51
20.05.1978 07:00:00;  16,0
30.06.1978 22:00:00;  16,1
29.07.1978 08:00:00;  7,00
02.08.1978 14:00:00;  5,57
25.09.1978 14:00:00;  4,67
02.10.1978 06:30:00;  6,58
25.11.1978 14:30:00;  4,37
21.12.1978 18:30:00;  3,13
27.01.1979 05:30:00;  3,30
26.02.1979 11:00:00;  3,17
05.03.1979 11:00:00;  3,15
14.04.1979 09:00:00;  6,55
07.05.1979 06:30:00;  13,5
30.06.1979 08:00:00;  19,5
25.07.1979 18:00:00;  8,67
23.08.1979 04:00:00;  4,76
17.09.1979 06:00:00;  4,51
05.10.1979 09:00:00;  7,01
09.11.1979 06:00:00;  7,40
31.12.1979 23:59:55;  5,72
20.01.1980 13:00:00;  4,56
25.02.1980 11:00:00;  3,91
14.03.1980 04:00:00;  4,24
05.04.1980 06:30:00;  4,52
01.05.1980 15:30:00;  8,89
03.06.1980 15:00:00;  19,4
31.07.1980 23:30:00;  14,8
30.08.1980 19:00:00;  6,54
30.09.1980 23:59:55;  4,75
08.10.1980 02:00:00;  3,57
30.11.1980 23:59:55;  7,56
31.12.1980 23:59:55;  3,81
25.01.1981 00:01:00;  2,55
19.02.1981 04:30:00;  2,31
05.03.1981 22:30:00;  2,29
26.04.1981 19:30:00;  6,82
01.05.1981 16:00:00;  7,34
20.06.1981 07:30:00;  5,85
18.07.1981 11:00:00;  8,17
31.08.1981 10:00:00;  6,85
22.09.1981 06:30:00;  2,65
21.10.1981 16:00:00;  4,87
20.11.1981 13:00:00;  5,48
24.12.1981 05:30:00;  3,28
09.01.1982 00:00:05;  3,05
25.02.1982 07:30:00;  2,88
13.03.1982 12:00:00;  2,45
03.04.1982 11:00:00;  2,48
02.05.1982 19:30:00;  4,46
26.06.1982 15:30:00;  10,3
21.07.1982 21:30:00;  4,62
07.08.1982 04:00:00;  2,79
28.09.1982 13:00:00;  2,77
05.10.1982 15:30:00;  4,70
01.11.1982 22:00:00;  6,93
31.12.1982 21:00:00;  5,70
21.01.1983 08:30:00;  3,74
05.02.1983 16:30:00;  2,79
01.03.1983 00:00:00;  2,83
01.04.1983 17:00:00;  4,12
01.05.1983 00:00:00;  14,1
30.06.1983 14:30:00;  7,86
31.07.1983 23:59:55;  4,45
31.08.1983 23:59:55;  4,24
02.09.1983 08:00:00;  4,15
31.10.1983 23:59:55;  4,16
26.11.1983 00:00:00;  3,30
31.12.1983 23:59:55;  2,74
31.01.1984 23:59:55;  1,82
19.02.1984 00:00:00;  1,55
16.03.1984 03:00:00;  1,55
06.04.1984 10:00:00;  3,15
02.05.1984 14:30:00;  8,57
30.06.1984 23:59:55;  21,5
31.07.1984 23:59:55;  6,58
04.08.1984 07:30:00;  5,65
03.09.1984 06:30:00;  5,68
31.10.1984 23:59:55;  6,66
29.11.1984 05:00:00;  4,04
23.12.1984 04:30:00;  3,17
22.01.1985 17:30:00;  2,63
15.02.1985 03:00:00;  2,30
01.03.1985 00:00:00;  2,41
01.04.1985 09:30:00;  3,49
01.05.1985 14:00:00;  8,45
27.06.1985 03:30:00;  15,5
30.07.1985 14:00:00;  8,47
25.08.1985 15:30:00;  7,92
30.09.1985 23:59:55;  5,09
30.10.1985 21:30:00;  3,22
30.11.1985 23:59:55;  2,35
02.12.1985 10:00:00;  2,30
13.01.1986 15:15:00;  2,05
19.02.1986 18:00:00;  2,29
15.03.1986 17:15:00;  2,48
01.04.1986 17:30:00;  4,22
28.05.1986 13:45:00;  27,5
30.06.1986 23:59:55;  11,2
29.07.1986 15:00:00;  6,13
04.08.1986 22:15:00;  5,50
30.09.1986 23:59:55;  5,13
04.10.1986 05:45:00;  2,40
08.11.1986 13:45:00;  2,25
20.12.1986 09:30:00;  2,44
25.01.1987 00:01:00;  1,53
27.02.1987 00:15:00;  1,27
31.03.1987 12:30:00;  1,04
01.04.1987 00:00:00;  1,53
24.05.1987 15:00:00;  15,8
30.06.1987 14:45:00;  12,9
12.07.1987 19:15:00;  8,82
23.08.1987 20:45:00;  5,71
27.09.1987 02:45:00;  5,00
06.10.1987 05:30:00;  5,50
29.11.1987 11:15:00;  3,94
04.12.1987 16:15:00;  3,13
22.01.1988 11:00:00;  3,88
15.02.1988 20:00:00;  2,47
12.03.1988 11:00:00;  2,30
02.04.1988 20:45:00;  4,59
01.05.1988 00:00:00;  15,3
30.06.1988 21:30:00;  10,1
28.07.1988 23:30:00;  7,96
31.08.1988 12:00:00;  5,93
30.09.1988 23:59:55;  5,64
10.10.1988 17:15:00;  2,47
23.11.1988 07:00:00;  3,13
16.12.1988 10:15:00;  3,33
26.01.1989 00:01:00;  2,92
14.02.1989 00:00:00;  2,06
18.03.1989 13:30:00;  2,92
02.04.1989 12:15:00;  7,46
02.05.1989 11:15:00;  12,9
19.06.1989 11:15:00;  10,0
29.07.1989 21:30:00;  8,77
09.08.1989 00:30:00;  5,77
26.09.1989 13:00:00;  4,85
13.10.1989 13:30:00;  2,58
24.11.1989 11:45:00;  2,01
09.12.1989 19:15:00;  2,01
11.01.1990 23:59:55;  2,14
02.02.1990 00:01:00;  2,54
11.03.1990 08:15:00;  3,26
17.04.1990 12:30:00;  2,90
01.05.1990 14:30:00;  7,10
25.06.1990 19:00:00;  8,34
31.07.1990 23:59:55;  9,32
30.08.1990 16:15:00;  4,28
23.09.1990 20:30:00;  3,08
09.10.1990 16:15:00;  3,85
17.11.1990 10:45:00;  6,02
19.12.1990 21:00:00;  4,74
13.01.1991 08:30:00;  2,18
23.02.1991 00:00:00;  2,44
02.03.1991 11:45:00;  2,68
26.04.1991 17:45:00;  7,14
01.05.1991 21:15:00;  8,12
01.06.1991 12:00:00;  19,6
31.07.1991 19:45:00;  15,9
24.08.1991 18:00:00;  4,24
23.09.1991 00:30:00;  2,18
03.10.1991 17:30:00;  3,77
24.11.1991 14:15:00;  4,06
14.12.1991 00:00:00;  3,85
04.01.1992 07:30:00;  3,13
20.02.1992 12:30:00;  2,83
02.03.1992 10:45:00;  3,13
01.04.1992 12:30:00;  3,85
31.05.1992 17:00:00;  13,2
16.06.1992 08:45:00;  8,34
02.07.1992 20:45:00;  5,03
28.08.1992 17:15:00;  5,03
01.09.1992 00:00:00;  5,77
03.10.1992 06:00:00;  5,27
22.11.1992 09:00:00;  6,03
30.12.1992 00:01:00;  5,27
25.01.1993 00:00:00;  4,57
24.02.1993 00:00:00;  3,74
11.03.1993 00:00:00;  3,02
02.04.1993 19:15:00;  2,13
03.05.1993 11:30:00;  3,94
19.06.1993 05:30:00;  1,63
04.07.1993 01:45:00;  1,91
25.08.1993 00:15:00;  1,77
22.09.1993 18:00:00;  2,54
01.10.1993 00:00:00;  10,3
30.11.1993 21:30:00;  9,12
31.12.1993 23:45:00;  5,03
22.01.1994 06:45:00;  3,66
27.02.1994 12:30:00;  2,71
01.03.1994 00:00:00;  3,46
14.04.1994 11:15:00;  5,25
12.05.1994 07:30:00;  11,8
29.06.1994 21:15:00;  7,47
07.07.1994 01:45:00;  3,55
08.08.1994 15:30:00;  5,27
01.09.1994 16:15:00;  6,58
22.10.1994 14:15:00;  7,79
30.11.1994 23:59:55;  6,46
03.12.1994 07:45:00;  1,69
13.01.1995 00:01:00;  3,05
14.02.1995 12:30:00;  2,35
07.03.1995 11:30:00;  1,17
13.04.1995 13:45:00; 0,558
01.05.1995 00:00:00;  5,23
30.06.1995 23:59:55;  13,3
31.07.1995 17:00:00;  5,90
08.08.1995 21:15:00;  2,35
03.09.1995 08:00:00;  4,82
30.10.1995 17:15:00;  4,85
17.11.1995 20:30:00;  1,16
09.12.1995 00:00:05;  1,85
07.01.1996 16:45:00; 0,809
01.02.1996 12:45:00;  1,28
22.03.1996 15:30:00; 0,809
05.04.1996 13:45:00;  1,15
31.05.1996 23:59:55;  8,09
20.06.1996 19:15:00;  3,38
27.07.1996 17:45:00;  1,20
03.08.1996 22:00:00;  1,20
17.09.1996 09:00:00;  1,76
01.10.1996 11:45:00;  5,93
11.11.1996 17:45:00;  9,00
28.12.1996 13:30:00;  4,28
20.01.1997 16:24:00;  3,08
07.02.1997 19:00:00;  3,45
28.03.1997 14:22:00; 0,809
23.04.1997 18:34:00;  2,92
03.05.1997 17:20:00;  1,70
08.06.1997 06:45:00;  6,81
21.07.1997 14:06:00;  6,25
15.08.1997 19:54:00;  3,45
27.09.1997 06:48:00;  2,73
29.10.1997 14:21:00;  1,96
01.11.1997 19:41:00;  2,73
19.12.1997 12:13:00;  3,26
28.01.1998 13:35:05;  2,14
05.02.1998 13:53:10;  2,22
28.03.1998 00:25:05;  2,64
01.04.1998 11:53:10;  2,68
28.05.1998 17:09:00;  7,43
20.06.1998 09:00:00;  10,0
23.07.1998 20:44:00;  4,99
16.08.1998 17:43:00;  3,33
04.09.1998 11:35:00;  3,77
03.10.1998 14:26:00;  5,53
15.11.1998 15:35:00;  3,60
09.12.1998 12:21:00;  4,08
30.01.1999 15:15:00;  1,94
06.02.1999 15:26:00;  2,09
13.03.1999 17:06:00;  2,09
03.04.1999 08:51:00;  2,59
01.05.1999 06:28:00;  11,4
26.06.1999 05:18:00;  8,82
27.07.1999 04:52:00;  4,82
05.08.1999 15:50:00;  2,86
15.09.1999 19:37:00;  2,25
22.10.1999 11:16:00;  3,87
25.11.1999 19:23:00;  3,60
12.12.1999 19:18:00;  2,25
19.01.2000 12:31:00;  1,67
28.02.2000 20:14:00;  1,67
29.03.2000 21:44:00; 0,448
05.04.2000 18:56:00;  2,97
28.05.2000 19:17:00;  5,88
21.06.2000 17:53:00;  2,09
04.07.2000 05:55:00;  2,97
24.08.2000 00:26:00;  3,33
13.09.2000 17:59:00;  2,36
06.10.2000 13:57:00;  18,2
28.11.2000 18:14:00;  18,7
31.12.2000 23:59:55;  7,74
31.01.2001 23:59:55;  6,67
27.02.2001 12:33:00;  4,80
04.03.2001 19:37:35;  4,82
18.04.2001 09:05:25;  6,86
01.05.2001 00:00:00;  13,9
30.06.2001 19:49:55;  8,10
07.07.2001 19:54:40;  2,69
17.08.2001 14:17:40;  3,43
12.09.2001 10:55:35;  3,44
14.10.2001 21:33:05;  3,12
09.11.2001 21:03:00;  2,42
31.12.2001 23:59:55;  2,96
08.01.2002 18:16:35;  2,45
01.02.2002 00:00:00;  2,71
01.03.2002 00:00:00;  3,03
14.04.2002 17:42:00;  2,54
01.05.2002 18:35:00;  6,56
23.06.2002 20:16:00;  7,06
30.07.2002 16:33:00;  5,23
30.08.2002 18:19:00;  3,66
01.09.2002 01:58:45;  2,38
06.10.2002 17:42:00;  3,08
09.11.2002 14:33:05;  3,48
24.12.2002 07:31:10;  6,52
29.01.2003 02:57:40;  4,16
27.02.2003 06:12:40;  3,58
18.03.2003 13:21:45;  3,19
03.04.2003 01:59:10;  2,80
30.05.2003 18:12:45;  9,52
26.06.2003 04:40:40;  2,13
13.07.2003 06:17:45;  1,98
10.08.2003 17:06:40;  1,85
21.09.2003 07:27:50;  2,32
04.10.2003 01:35:20;  3,47
01.11.2003 00:00:00;  7,13
31.12.2003 23:59:55;  5,81
31.01.2004 23:59:55;  3,72
25.02.2004 11:53:15;  2,96
14.03.2004 16:37:45;  3,19
01.04.2004 05:24:45;  6,67
17.05.2004 04:36:30;  17,6
30.06.2004 23:50:15;  15,1
31.07.2004 23:59:55;  8,82
03.08.2004 05:27:30;  4,86
28.09.2004 04:57:05;  4,28
07.10.2004 20:03:45;  2,70
30.11.2004 23:59:55;  6,33
01.12.2004 03:32:00;  2,84
14.01.2005 02:39:20;  2,89
17.02.2005 02:42:30;  2,57
06.03.2005 23:54:00;  2,80
06.04.2005 15:15:00;  5,26
14.05.2005 14:45:00;  6,07
29.06.2005 12:45:00;  3,82
01.07.2005 00:00:00;  5,04
10.08.2005 20:30:00;  6,39
09.09.2005 05:30:00;  6,39
31.10.2005 13:27:05;  7,68
29.11.2005 06:00:00;  4,15
11.12.2005 22:00:00;  2,18
31.01.2006 23:59:55;  2,85
22.02.2006 18:52:30;  1,95
05.03.2006 13:37:30;  2,06
08.04.2006 11:07:30;  7,25
01.05.2006 07:22:30;  14,0
27.06.2006 20:52:30;  4,63
28.07.2006 15:22:30;  3,51
02.08.2006 15:37:30;  5,92
14.09.2006 05:22:30;  6,15
26.10.2006 14:07:30;  3,35
07.11.2006 01:52:30;  2,72
23.12.2006 03:07:30;  2,30
23.01.2007 12:22:30;  1,84
02.02.2007 15:22:30;  2,69
12.03.2007 08:22:30;  2,69
01.04.2007 05:52:30;  4,00
20.05.2007 19:22:30;  8,73
20.06.2007 04:37:30;  6,89
01.07.2007 05:52:30;  7,40
17.08.2007 06:22:30;  7,41
20.09.2007 05:07:30;  3,86
18.10.2007 14:07:30;  5,69
18.11.2007 07:22:30;  3,51
26.12.2007 08:37:30;  3,30
08.01.2008 12:37:30;  2,42
04.02.2008 05:52:30;  2,42
25.03.2008 16:37:30;  3,14
05.04.2008 14:22:30;  4,19
04.05.2008 14:52:30;  10,5
24.06.2008 17:22:30;  7,67
12.07.2008 08:22:30;  5,69
06.08.2008 15:37:30;  4,63
21.09.2008 19:07:30;  4,83
28.10.2008 12:22:30;  3,02
29.11.2008 05:37:30;  6,89
13.12.2008 08:22:30;  4,05
16.01.2009 13:22:30;  3,82
04.02.2009 19:56:35;  4,46
01.03.2009 07:52:30;  5,04
01.04.2009 01:37:30;  8,49
31.05.2009 23:59:55;  23,0
30.06.2009 13:22:30;  12,0
18.07.2009 01:07:30;  7,41
27.08.2009 16:37:30;  6,18
13.09.2009 17:37:30;  5,73
19.10.2009 08:45:05;  5,51
13.11.2009 13:30:05;  5,51
18.12.2009 16:30:00;  5,66
31.01.2010 23:59:55;  3,53
09.02.2010 12:15:05;  2,87
10.03.2010 12:15:00;  1,58
04.04.2010 14:15:05;  4,05
21.05.2010 01:07:30;  14,3
30.06.2010 15:07:30;  9,69
15.07.2010 07:07:30;  5,73
08.08.2010 14:07:30;  4,14
06.09.2010 07:07:30;  5,51
21.10.2010 13:45:00;  5,73
30.11.2010 08:22:30;  11,0
16.12.2010 06:52:30;  5,51
23.01.2011 00:52:30;  4,50
28.02.2011 19:52:30;  2,86
02.03.2011 17:22:30;  3,15
01.04.2011 14:37:30;  8,50
11.05.2011 18:00:05;  11,3
30.06.2011 19:45:05;  12,4
28.07.2011 14:45:00;  6,42
26.08.2011 12:45:05;  3,62
05.09.2011 17:30:00;  4,70
10.10.2011 13:45:00;  5,09
30.11.2011 19:45:05;  5,73
20.12.2011 04:45:05;  3,46
29.01.2012 13:00:00;  3,42
01.02.2012 03:15:00;  3,42
30.03.2012 10:15:05;  2,86
02.04.2012 15:45:00;  3,62
20.05.2012 13:15:05;  7,15
25.06.2012 14:15:05;  6,42
05.07.2012 12:15:00;  3,15
19.08.2012 17:45:00;  6,42
09.09.2012 16:45:05;  8,79
13.10.2012 14:00:00;  9,09
01.11.2012 16:00:05;  11,0
20.12.2012 14:30:05;  5,59
19.01.2013 03:15:05;  3,76
12.02.2013 09:30:05;  2,37
