Messstelle:                ;Nickelsdorf (Pötschring)
22.10.1999 23:35:10; 0,743
24.11.1999 15:44:40; 0,673
25.12.1999 14:05:20; 0,306
28.01.2000 05:31:00; 0,425
24.02.2000 20:50:20; 0,778
09.03.2000 12:16:50; 0,674
28.04.2000 16:56:15;  6,47
28.05.2000 18:38:20; 0,469
22.06.2000 05:52:15; 0,235
31.07.2000 23:59:55; 0,132
03.08.2000 21:36:45; 0,073
22.09.2000 08:00:20; 0,087
22.10.2000 13:50:40; 0,172
01.11.2000 05:14:00;  1,14
24.12.2000 13:54:35; 0,995
02.01.2001 11:24:40;  1,02
03.02.2001 11:30:15;  1,02
19.03.2001 08:12:05;  1,15
29.04.2001 17:56:55; 0,853
28.05.2001 15:08:45; 0,558
29.06.2001 21:53:35; 0,222
08.07.2001 18:55:45; 0,114
30.08.2001 16:13:05; 0,028
25.09.2001 14:17:00; 0,031
31.10.2001 22:15:00; 0,023
01.11.2001 00:00:00; 0,023
14.12.2001 07:00:00; 0,106
27.01.2002 23:30:00; 0,128
12.02.2002 19:00:00; 0,388
18.03.2002 11:15:00; 0,549
23.04.2002 09:00:00; 0,615
23.05.2002 10:15:00; 0,460
23.06.2002 20:15:00; 0,183
31.07.2002 14:30:00; 0,089
01.08.2002 00:00:00; 0,103
21.09.2002 05:45:00; 0,016
29.10.2002 17:45:00; 0,062
22.11.2002 19:00:00; 0,081
01.12.2002 00:00:00; 0,081
14.01.2003 16:00:00; 0,327
27.02.2003 12:00:00; 0,081
01.03.2003 00:00:00; 0,084
05.04.2003 17:30:00; 0,139
03.05.2003 14:30:00; 0,128
28.06.2003 21:00:00; 0,481
29.07.2003 23:30:00; 0,266
10.08.2003 19:30:00; 0,078
09.09.2003 06:45:00; 0,085
04.10.2003 05:15:00; 0,221
23.11.2003 18:00:00; 0,334
25.12.2003 08:45:00; 0,283
24.01.2004 04:30:00; 0,013
03.02.2004 17:45:00; 0,300
07.03.2004 21:00:00; 0,482
19.04.2004 02:15:00; 0,931
13.05.2004 16:15:00;  1,01
19.06.2004 17:00:00;  1,60
31.07.2004 16:00:00; 0,384
14.08.2004 11:45:00; 0,115
21.09.2004 18:30:00; 0,199
06.10.2004 13:00:00; 0,412
01.11.2004 05:15:00; 0,442
23.12.2004 11:00:00; 0,163
02.01.2005 22:45:00; 0,708
07.02.2005 08:15:00; 0,630
08.03.2005 05:45:00; 0,073
25.04.2005 21:45:00;  1,85
12.05.2005 06:45:00; 0,197
28.06.2005 14:00:00; 0,434
01.07.2005 00:00:00; 0,685
14.08.2005 14:45:00; 0,560
17.09.2005 10:45:00; 0,919
27.10.2005 15:00:00; 0,844
13.11.2005 13:30:00; 0,746
03.12.2005 19:00:00; 0,832
01.01.2006 00:00:00; 1,000
15.02.2006 20:00:00; 0,539
20.03.2006 15:45:00; 0,505
24.04.2006 07:10:00;  3,84
26.05.2006 06:50:00;  1,30
27.06.2006 06:50:00;  2,34
29.07.2006 06:50:00; 0,540
02.08.2006 06:55:00; 0,540
24.09.2006 10:24:45; 0,324
31.10.2006 23:59:55; 0,307
03.11.2006 10:48:35; 0,088
31.12.2006 23:59:55; 0,070
01.01.2007 08:59:25; 0,069
28.02.2007 15:23:20; 0,656
04.03.2007 00:21:25; 0,655
30.04.2007 23:59:55; 0,631
14.05.2007 06:38:35; 0,584
30.06.2007 23:59:55; 0,367
29.07.2007 07:27:30; 0,125
09.08.2007 14:54:55; 0,081
27.09.2007 15:15:30; 0,130
07.10.2007 15:21:40; 0,188
05.11.2007 17:34:35;  1,52
31.12.2007 09:54:25;  1,12
12.01.2008 12:02:50; 0,641
18.02.2008 09:21:00; 0,517
13.03.2008 14:10:05;  1,12
21.04.2008 06:24:25; 0,931
30.05.2008 08:57:10; 0,823
02.06.2008 04:14:20; 0,826
07.07.2008 12:07:15;  1,12
15.08.2008 23:00:10; 0,979
22.09.2008 03:49:00; 0,873
31.10.2008 11:54:10;  1,10
20.11.2008 07:49:00; 0,966
02.12.2008 01:33:10;  1,02
20.01.2009 21:16:15; 0,939
02.02.2009 13:14:55;  1,04
29.03.2009 05:45:40;  3,64
27.04.2009 20:13:05;  6,93
29.05.2009 08:04:40;  1,28
20.06.2009 08:07:20;  1,10
31.07.2009 23:59:55;  3,34
29.08.2009 05:29:50;  1,33
14.09.2009 07:29:50; 0,952
09.10.2009 21:59:00; 0,429
02.11.2009 11:00:00;  1,30
21.12.2009 07:45:00; 0,640
28.01.2010 05:45:00; 0,420
13.02.2010 13:45:00; 0,718
15.03.2010 12:30:00; 0,718
10.04.2010 02:15:00; 0,465
02.05.2010 13:30:00;  1,41
14.06.2010 01:45:00;  2,35
14.07.2010 13:30:00;  1,30
26.08.2010 13:15:00;  1,06
14.09.2010 12:30:00; 0,883
17.10.2010 20:00:00; 0,883
16.11.2010 14:00:00; 0,619
02.12.2010 12:30:00;  1,30
07.01.2011 09:45:00;  1,30
24.02.2011 10:15:00; 0,717
09.03.2011 13:45:05; 0,768
25.04.2011 06:30:00; 0,897
26.05.2011 19:15:00; 0,614
16.06.2011 11:30:00; 0,718
18.07.2011 12:45:00; 0,718
27.08.2011 11:15:00; 0,599
13.09.2011 14:45:00; 0,368
01.10.2011 13:00:00; 0,252
27.11.2011 21:15:00; 0,540
21.12.2011 17:00:00; 0,404
31.01.2012 16:00:00; 0,447
01.02.2012 12:30:00; 0,008
01.03.2012 01:00:00; 0,806
25.04.2012 09:30:00; 0,897
22.05.2012 10:30:00; 0,666
30.06.2012 13:30:00; 0,598
04.07.2012 14:00:00; 0,650
26.08.2012 10:30:00; 0,614
20.09.2012 13:45:00; 0,420
10.10.2012 19:15:00; 0,510
01.11.2012 00:30:00; 0,778
21.12.2012 14:30:00; 0,562
05.01.2013 08:15:00; 0,666
21.02.2013 15:45:00;  1,99
28.03.2013 16:15:00;  3,91
10.04.2013 15:15:00;  5,89
28.05.2013 11:00:00;  2,75
23.06.2013 01:15:00;  1,57
31.07.2013 13:00:00; 0,584
04.08.2013 12:45:00; 0,567
09.09.2013 14:00:00; 0,778
29.10.2013 18:45:00; 0,997
01.11.2013 00:00:00;  1,30
26.12.2013 16:45:00;  1,03
27.01.2014 15:15:00; 0,649
01.02.2014 02:00:00; 0,649
10.03.2014 21:45:00;  1,03
01.04.2014 10:15:00;  1,03
04.05.2014 16:00:00;  1,16
18.06.2014 09:45:00; 0,510
04.07.2014 09:00:00; 0,666
26.08.2014 19:45:00;  1,28
01.09.2014 00:30:00;  1,98
31.10.2014 23:59:55;  2,65
17.11.2014 05:30:00;  1,64
27.12.2014 14:30:00;  1,70
01.01.2015 09:45:00;  1,43
19.02.2015 11:15:00;  2,10
22.03.2015 06:30:00;  1,43
27.04.2015 00:45:00;  1,64
18.05.2015 12:15:00;  1,24
18.06.2015 17:15:00; 0,939
17.07.2015 09:00:00; 0,491
12.08.2015 15:00:00; 0,331
03.09.2015 19:15:00; 0,183
01.10.2015 14:30:00; 0,409
04.11.2015 11:15:00; 0,072
01.12.2015 10:00:00; 0,465
01.01.2016 00:00:00; 0,614
18.02.2016 02:45:00; 0,778
13.03.2016 09:45:00; 0,837
04.04.2016 05:30:00; 0,956
19.05.2016 09:45:00; 0,956
30.06.2016 17:45:00; 0,778
01.07.2016 12:45:00; 0,718
05.08.2016 17:30:00;  1,84
27.09.2016 09:15:00; 0,916
01.10.2016 22:30:00; 0,916
01.11.2016 05:15:00;  1,10
24.12.2016 09:30:00; 0,974
20.01.2017 09:15:00; 0,406
15.02.2017 13:15:00; 0,831
17.03.2017 02:15:00; 0,896
08.04.2017 15:00:00; 0,896
31.05.2017 18:00:00;  1,03
21.06.2017 10:30:00; 0,706
20.07.2017 10:30:00; 0,534
30.08.2017 12:00:00; 0,534
01.09.2017 11:45:00; 0,481
19.10.2017 16:15:00; 0,646
20.11.2017 12:30:00; 0,831
06.12.2017 13:30:00; 0,767
30.01.2018 02:00:00; 0,831
27.02.2018 11:15:00; 0,336
06.03.2018 04:30:00; 0,831
24.04.2018 10:30:00;  1,10
07.05.2018 09:30:00; 0,964
01.06.2018 04:15:00;  1,10
31.07.2018 14:00:00; 0,964
23.08.2018 10:30:00; 0,589
30.09.2018 12:45:00; 0,534
12.10.2018 19:30:00; 0,292
16.11.2018 20:45:00; 0,382
01.12.2018 17:30:00; 0,481
25.01.2019 15:15:00;  1,25
20.02.2019 09:45:00;  1,03
31.03.2019 09:15:00;  1,03
20.04.2019 09:30:00; 0,964
01.05.2019 00:45:00; 0,964
13.06.2019 15:00:00; 0,706
11.07.2019 13:45:00; 0,430
17.08.2019 20:00:00; 0,382
24.09.2019 19:45:00; 0,445
28.10.2019 14:45:00; 0,178
03.11.2019 12:00:00; 0,257
18.12.2019 13:45:00; 0,300
26.01.2020 13:00:00; 0,445
01.02.2020 20:45:00; 0,554
17.03.2020 21:15:00; 0,611
26.04.2020 14:15:00; 0,257
12.05.2020 15:00:00; 0,111
01.06.2020 09:00:00; 0,565
29.07.2020 23:00:00; 0,302
02.08.2020 16:15:00; 0,223
24.09.2020 07:30:00; 0,456
08.10.2020 13:00:00; 0,635
30.11.2020 23:59:55; 0,782
19.12.2020 20:00:00; 0,647
05.01.2021 19:45:00; 0,733
28.02.2021 15:00:00; 0,940
02.03.2021 07:00:00; 0,864
12.04.2021 18:30:00; 0,869
10.05.2021 13:00:00; 0,816
12.06.2021 17:15:00; 0,883
14.07.2021 06:15:00; 0,362
16.08.2021 00:45:00; 0,583
24.09.2021 23:15:00; 0,111
24.10.2021 21:00:00; 0,462
16.11.2021 17:15:00; 0,421
23.12.2021 23:45:00; 0,554
