Messstelle:                ;Puig
24.10.1954 12:00:00;  6,08
30.11.1954 12:00:00;  4,62
31.12.1954 12:00:00;  3,73
27.01.1955 12:00:00;  2,72
04.02.1955 12:00:00;  2,53
24.03.1955 12:00:00;  2,20
05.04.1955 12:00:00;  4,18
04.05.1955 12:00:00;  11,0
01.06.1955 12:00:00;  15,6
31.07.1955 12:00:00;  13,0
29.08.1955 12:00:00;  8,80
04.09.1955 12:00:00;  7,67
14.10.1955 12:00:00;  6,34
30.11.1955 12:00:00;  4,62
26.12.1955 12:00:00;  3,31
22.01.1956 12:00:00;  2,72
27.02.1956 12:00:00;  2,20
02.03.1956 12:00:00;  2,36
12.04.1956 12:00:00;  3,95
03.05.1956 12:00:00;  4,62
10.06.1956 12:00:00;  17,1
27.07.1956 12:00:00;  16,0
14.08.1956 12:00:00;  10,6
25.09.1956 12:00:00;  10,0
22.10.1956 12:00:00;  7,67
30.11.1956 12:00:00;  5,58
31.12.1956 12:00:00;  3,73
31.01.1957 12:00:00;  2,92
26.02.1957 12:00:00;  2,53
14.03.1957 12:00:00;  2,20
04.04.1957 12:00:00;  5,58
12.05.1957 12:00:00;  7,11
02.06.1957 12:00:00;  10,0
17.07.1957 12:00:00;  14,1
11.08.1957 12:00:00;  10,3
30.09.1957 12:00:00;  7,11
31.10.1957 12:00:00;  5,34
30.11.1957 12:00:00;  4,86
09.12.1957 12:00:00;  3,51
31.01.1958 12:00:00;  3,31
16.02.1958 12:00:00;  2,72
26.03.1958 12:00:00;  2,03
16.04.1958 12:00:00;  3,31
01.05.1958 12:00:00;  5,34
16.06.1958 12:00:00;  13,8
26.07.1958 12:00:00;  13,4
06.08.1958 12:00:00;  11,3
30.09.1958 12:00:00;  7,67
01.10.1958 12:00:00;  7,67
30.11.1958 12:00:00;  6,85
31.12.1958 12:00:00;  5,10
31.01.1959 12:00:00;  3,73
25.02.1959 12:00:00;  3,11
22.03.1959 12:00:00;  3,51
05.04.1959 12:00:00;  4,62
06.05.1959 12:00:00;  8,80
04.06.1959 12:00:00;  13,4
28.07.1959 12:00:00;  10,3
31.08.1959 12:00:00;  9,10
30.09.1959 12:00:00;  5,34
13.10.1959 12:00:00;  3,31
25.11.1959 12:00:00;  3,31
31.12.1959 12:00:00;  3,11
22.01.1960 12:00:00;  2,20
22.02.1960 12:00:00;  2,03
02.03.1960 12:00:00;  2,36
03.04.1960 12:00:00;  4,62
04.05.1960 12:00:00;  6,34
30.06.1960 12:00:00;  13,7
06.07.1960 12:00:00;  10,9
31.08.1960 12:00:00;  10,9
16.09.1960 12:00:00;  9,43
20.10.1960 12:00:00;  11,6
30.11.1960 12:00:00;  7,50
30.12.1960 12:00:00;  5,56
31.01.1961 12:00:00;  4,05
28.02.1961 12:00:00;  3,67
03.03.1961 12:00:00;  3,67
01.04.1961 12:00:00;  5,10
05.05.1961 12:00:00;  10,6
01.06.1961 12:00:00;  14,8
31.07.1961 12:00:00;  10,0
31.08.1961 12:00:00;  8,50
30.09.1961 12:00:00;  5,82
17.10.1961 12:00:00;  5,10
30.11.1961 12:00:00;  4,18
11.12.1961 12:00:00;  3,95
31.01.1962 12:00:00;  2,92
28.02.1962 12:00:00;  2,53
30.03.1962 12:00:00;  2,36
16.04.1962 12:00:00;  3,11
05.05.1962 12:00:00;  9,40
13.06.1962 12:00:00;  16,3
20.07.1962 12:00:00;  11,9
31.08.1962 12:00:00;  7,94
29.09.1962 12:00:00;  5,58
31.10.1962 12:00:00;  3,95
30.11.1962 12:00:00;  4,10
13.12.1962 12:00:00;  2,82
31.01.1963 12:00:00;  2,55
28.02.1963 12:00:00;  2,40
11.03.1963 12:00:00;  2,25
03.04.1963 12:00:00;  2,55
08.05.1963 12:00:00;  7,93
17.06.1963 12:00:00;  12,6
31.07.1963 12:00:00;  9,92
07.08.1963 12:00:00;  9,00
30.09.1963 12:00:00;  9,00
29.10.1963 12:00:00;  5,55
01.11.1963 12:00:00;  6,27
21.12.1963 12:00:00;  4,50
31.01.1964 12:00:00;  2,76
24.02.1964 12:00:00;  2,17
25.03.1964 12:00:00;  2,46
02.04.1964 12:00:00;  3,42
03.05.1964 12:00:00;  7,83
11.06.1964 12:00:00;  12,0
31.07.1964 12:00:00;  9,40
17.08.1964 12:00:00;  8,80
30.09.1964 12:00:00;  5,79
07.10.1964 12:00:00;  4,71
07.11.1964 12:00:00;  5,13
31.12.1964 12:00:00;  4,50
30.01.1965 12:00:00;  3,09
14.02.1965 12:00:00;  2,17
05.03.1965 12:00:00;  2,61
02.04.1965 12:00:00;  4,50
01.05.1965 12:00:00;  4,50
02.06.1965 12:00:00;  20,0
13.07.1965 12:00:00;  19,5
19.08.1965 12:00:00;  12,2
26.09.1965 12:00:00;  15,5
20.10.1965 12:00:00;  8,00
30.11.1965 12:00:00;  6,05
31.12.1965 12:00:00;  4,80
22.01.1966 12:00:00;  2,76
17.02.1966 12:00:00;  2,61
10.03.1966 12:00:00;  2,62
05.04.1966 12:00:00;  2,97
01.05.1966 12:00:00;  11,2
03.06.1966 12:00:00;  14,3
14.07.1966 12:00:00;  13,6
13.08.1966 12:00:00;  17,4
30.09.1966 12:00:00;  9,84
19.10.1966 12:00:00;  8,00
30.11.1966 12:00:00;  6,86
31.12.1966 12:00:00;  4,80
21.01.1967 12:00:00;  3,75
25.02.1967 12:00:00;  2,97
02.03.1967 12:00:00;  3,56
07.04.1967 12:00:00;  4,80
01.05.1967 12:00:00;  9,84
17.06.1967 12:00:00;  19,5
31.07.1967 12:00:00;  17,4
30.08.1967 12:00:00;  12,6
30.09.1967 12:00:00;  10,8
29.10.1967 12:00:00;  6,05
29.11.1967 12:00:00;  6,05
26.12.1967 12:00:00;  4,16
27.01.1968 12:00:00;  2,10
16.02.1968 12:00:00;  2,62
15.03.1968 12:00:00;  2,27
06.04.1968 12:00:00;  6,58
03.05.1968 12:00:00;  15,9
14.06.1968 12:00:00;  17,2
31.07.1968 12:00:00;  12,5
28.08.1968 12:00:00;  11,1
15.09.1968 12:00:00;  11,1
31.10.1968 12:00:00;  7,70
30.11.1968 12:00:00;  6,86
30.12.1968 12:00:00;  5,05
31.01.1969 12:00:00;  4,36
28.02.1969 12:00:00;  3,60
31.03.1969 12:00:00;  2,92
01.04.1969 12:00:00;  2,30
01.05.1969 12:00:00;  8,30
07.06.1969 12:00:00;  13,6
01.07.1969 12:00:00;  14,0
12.08.1969 12:00:00;  8,90
30.09.1969 12:00:00;  7,46
31.10.1969 12:00:00;  4,99
08.11.1969 12:00:00;  3,98
30.12.1969 12:00:00;  2,92
27.01.1970 12:00:00;  2,45
22.02.1970 12:00:00;  2,60
15.03.1970 12:00:00;  2,92
13.04.1970 12:00:00;  2,92
04.05.1970 12:00:00;  7,74
01.06.1970 12:00:00;  20,6
19.07.1970 12:00:00;  14,3
05.08.1970 12:00:00;  13,6
30.09.1970 12:00:00;  9,80
21.10.1970 12:00:00;  6,65
12.11.1970 12:00:00;  5,65
30.12.1970 12:00:00;  3,43
31.01.1971 12:00:00;  3,09
19.02.1971 12:00:00;  2,80
13.03.1971 12:00:00;  2,50
04.04.1971 12:00:00;  2,95
01.05.1971 12:00:00;  8,85
02.06.1971 12:00:00;  13,2
23.07.1971 12:00:00;  11,1
26.08.1971 12:00:00;  8,04
24.09.1971 12:00:00;  6,25
13.10.1971 12:00:00;  4,05
28.11.1971 12:00:00;  4,05
31.12.1971 12:00:00;  3,67
09.01.1972 12:00:00;  2,80
23.02.1972 12:00:00;  2,50
05.03.1972 12:00:00;  2,35
01.04.1972 12:00:00;  3,10
01.05.1972 12:00:00;  7,00
03.06.1972 12:00:00;  15,5
31.07.1972 12:00:00;  16,5
27.08.1972 12:00:00;  9,50
30.09.1972 12:00:00;  6,40
23.10.1972 12:00:00;  4,36
30.11.1972 12:00:00;  4,47
30.12.1972 12:00:00;  3,10
31.01.1973 12:00:00;  2,50
28.02.1973 12:00:00;  2,50
03.03.1973 12:00:00;  2,65
05.04.1973 12:00:00;  2,65
01.05.1973 12:00:00;  5,79
20.06.1973 12:00:00;  15,7
31.07.1973 12:00:00;  11,1
22.08.1973 12:00:00;  8,30
21.09.1973 12:00:00;  6,90
31.10.1973 12:00:00;  8,02
30.11.1973 12:00:00;  5,21
06.12.1973 12:00:00;  3,60
25.01.1974 12:00:00;  2,30
06.02.1974 12:00:00;  3,26
16.03.1974 12:00:00;  2,08
23.04.1974 12:00:00;  6,65
04.05.1974 12:00:00;  7,18
14.06.1974 12:00:00;  14,9
30.07.1974 12:00:00;  15,7
18.08.1974 12:00:00;  10,1
20.09.1974 12:00:00;  8,60
31.10.1974 12:00:00;  6,40
30.11.1974 12:00:00;  5,21
20.12.1974 12:00:00;  3,26
16.01.1975 12:00:00;  2,60
28.02.1975 12:00:00;  2,92
31.03.1975 12:00:00;  2,15
05.04.1975 12:00:00;  2,92
05.05.1975 12:00:00;  14,4
07.06.1975 12:00:00;  18,8
29.07.1975 12:00:00;  20,4
31.08.1975 12:00:00;  13,6
28.09.1975 12:00:00;  9,84
25.10.1975 12:00:00;  4,59
22.11.1975 12:00:00;  3,95
29.12.1975 12:00:00;  2,97
21.01.1976 16:00:00;  3,19
17.02.1976 17:00:00;  2,04
13.03.1976 16:00:00;  1,96
01.04.1976 14:00:00;  3,15
03.05.1976 10:00:00;  4,41
07.06.1976 15:00:00;  9,15
11.07.1976 17:00:00;  7,39
27.08.1976 01:00:00;  6,29
03.09.1976 04:00:00;  9,06
29.10.1976 12:00:00;  9,22
28.11.1976 16:00:00;  6,42
31.12.1976 23:00:00;  4,40
31.01.1977 14:00:00;  3,74
24.02.1977 11:00:00;  3,17
01.03.1977 06:00:00;  3,30
18.04.1977 05:00:00;  6,21
12.05.1977 15:00:00;  19,4
29.06.1977 18:00:00;  21,4
30.07.1977 01:00:00;  14,6
16.08.1977 11:00:00;  14,3
30.09.1977 20:00:00;  7,56
29.10.1977 15:00:00;  4,45
30.11.1977 02:00:00;  4,18
30.12.1977 13:00:00;  3,17
31.01.1978 07:00:00;  2,42
20.02.1978 18:00:00;  2,13
08.03.1978 07:00:00;  2,53
05.04.1978 10:00:00;  3,12
01.05.1978 10:00:00;  7,05
30.06.1978 09:00:00;  15,2
01.07.1978 00:00:00;  17,2
31.08.1978 23:59:55;  9,44
26.09.1978 11:00:00;  6,76
25.10.1978 12:00:00;  6,25
30.11.1978 15:00:00;  3,85
29.12.1978 10:00:00;  3,12
06.01.1979 23:00:00;  3,19
24.02.1979 08:00:00;  2,68
03.03.1979 10:00:00;  2,52
09.04.1979 12:00:00;  2,99
01.05.1979 06:00:00;  5,26
20.06.1979 06:00:00;  26,0
29.07.1979 16:00:00;  13,3
23.08.1979 22:00:00;  11,5
20.09.1979 17:00:00;  8,74
30.10.1979 17:00:00;  9,51
26.11.1979 20:00:00;  6,65
18.12.1979 18:00:00;  5,34
21.01.1980 16:00:00;  4,36
22.02.1980 09:00:00;  3,77
24.03.1980 15:00:00;  3,47
10.04.1980 12:00:00;  3,87
01.05.1980 09:00:00;  5,60
03.06.1980 17:00:00;  15,3
05.07.1980 18:00:00;  18,9
30.08.1980 18:00:00;  11,2
30.09.1980 15:00:00;  5,88
03.10.1980 17:00:00;  4,04
30.11.1980 23:59:55;  6,60
29.12.1980 01:00:00;  4,72
30.01.1981 16:00:00;  3,03
13.02.1981 07:00:00;  2,76
06.03.1981 09:00:00;  2,71
30.04.1981 14:00:00;  9,94
07.05.1981 00:00:00;  9,76
25.06.1981 18:00:00;  13,4
10.07.1981 12:00:00;  14,8
28.08.1981 13:00:00;  10,8
19.09.1981 06:00:00;  10,2
17.10.1981 16:00:00;  8,56
26.11.1981 10:00:00;  7,79
29.12.1981 14:00:00;  5,64
20.01.1982 13:00:00;  3,58
16.02.1982 04:00:00;  3,62
09.03.1982 17:00:00;  3,26
02.04.1982 12:00:00;  4,84
03.05.1982 09:30:00;  3,95
22.06.1982 06:00:00;  17,4
20.07.1982 11:30:00;  13,0
26.08.1982 13:30:00;  10,0
30.09.1982 19:30:00;  9,50
23.10.1982 03:00:00;  7,09
08.11.1982 10:00:00;  6,07
29.12.1982 11:00:00;  4,43
24.01.1983 22:30:00;  3,42
28.02.1983 19:30:00;  2,89
01.03.1983 10:30:00;  3,00
06.04.1983 09:30:00;  3,26
06.05.1983 15:30:00;  11,4
20.06.1983 12:45:00;  14,7
31.07.1983 14:45:00;  12,0
31.08.1983 16:30:00;  9,20
27.09.1983 16:15:00;  8,77
29.10.1983 18:00:00;  5,48
22.11.1983 10:45:00;  4,46
15.12.1983 07:45:00;  3,91
31.01.1984 23:59:55;  3,94
29.02.1984 23:59:55;  3,67
15.03.1984 00:00:00;  3,66
04.04.1984 10:00:00;  3,98
02.05.1984 11:00:00;  6,83
01.06.1984 14:15:00;  15,1
29.07.1984 16:30:00;  10,6
23.08.1984 14:30:00;  8,92
03.09.1984 18:45:00;  7,68
31.10.1984 09:00:00;  8,92
30.11.1984 15:15:00;  4,52
29.12.1984 11:00:00;  3,86
17.01.1985 10:30:00;  3,20
18.02.1985 04:30:00;  2,88
13.03.1985 18:00:00;  2,68
01.04.1985 07:00:00;  3,06
04.05.1985 12:30:00;  5,10
21.06.1985 18:15:00;  15,3
26.07.1985 12:30:00;  13,5
03.08.1985 16:45:00;  15,2
30.09.1985 19:15:00;  8,10
29.10.1985 17:30:00;  5,39
28.11.1985 09:15:00;  4,33
23.12.1985 11:15:00;  3,54
27.01.1986 01:30:00;  3,09
09.02.1986 01:00:00;  2,68
04.03.1986 20:15:00;  2,81
01.04.1986 10:15:00;  3,84
01.05.1986 00:00:00;  12,6
09.06.1986 15:45:00;  16,7
26.07.1986 15:30:00;  12,2
07.08.1986 14:00:00;  12,4
30.09.1986 23:59:55;  7,94
31.10.1986 23:15:00;  4,68
29.11.1986 11:30:00;  3,38
26.12.1986 11:45:00;  2,95
08.01.1987 01:30:00;  2,29
26.02.1987 14:30:00;  1,93
02.03.1987 17:15:00;  1,93
01.04.1987 00:00:00;  2,68
09.05.1987 02:45:00;  10,7
01.06.1987 13:15:00;  18,0
11.07.1987 14:30:00;  24,2
23.08.1987 14:00:00;  16,3
19.09.1987 15:30:00;  9,74
05.10.1987 14:45:00;  8,69
30.11.1987 14:15:00;  6,08
16.12.1987 16:30:00;  4,32
24.01.1988 00:45:00;  4,15
29.02.1988 18:30:00;  3,20
10.03.1988 07:00:00;  3,05
02.04.1988 10:15:00;  3,66
01.05.1988 11:45:00;  9,69
23.06.1988 18:45:00;  14,3
31.07.1988 12:15:00;  12,1
19.08.1988 12:30:00;  9,48
27.09.1988 16:00:00;  7,69
31.10.1988 18:15:00;  5,87
10.11.1988 16:45:00;  4,51
28.12.1988 11:15:00;  3,82
28.01.1989 13:00:00;  3,20
05.02.1989 14:30:00;  2,50
03.03.1989 13:45:00;  3,50
01.04.1989 15:30:00;  5,66
01.05.1989 12:45:00;  6,63
09.06.1989 11:30:00;  15,7
30.07.1989 13:15:00;  14,9
31.08.1989 16:45:00;  9,88
30.09.1989 07:45:00;  5,45
31.10.1989 13:15:00;  4,51
25.11.1989 08:00:00;  3,20
14.12.1989 14:45:00;  2,13
23.01.1990 17:00:00;  2,98
12.02.1990 15:45:00;  2,32
03.03.1990 16:15:00;  3,27
17.04.1990 17:15:00;  4,69
01.05.1990 08:15:00;  5,97
01.06.1990 15:15:00;  11,9
28.07.1990 15:00:00;  11,0
29.08.1990 17:30:00;  7,21
22.09.1990 12:00:00;  5,36
26.10.1990 13:45:00;  5,36
10.11.1990 15:00:00;  3,82
22.12.1990 09:45:00;  4,15
30.01.1991 00:00:00;  3,14
20.02.1991 14:30:00;  2,50
04.03.1991 11:45:00;  3,20
25.04.1991 14:30:00;  5,56
01.05.1991 15:00:00;  5,66
01.06.1991 11:30:00;  12,5
29.07.1991 14:15:00;  16,2
31.08.1991 15:15:00;  8,65
14.09.1991 10:30:00;  6,14
31.10.1991 10:45:00;  5,61
18.11.1991 07:30:00;  4,88
14.12.1991 08:15:00;  3,89
25.01.1992 19:30:00;  3,39
22.02.1992 13:30:00;  3,23
18.03.1992 08:00:00;  3,37
04.04.1992 07:00:00;  3,98
01.05.1992 08:45:00;  13,6
30.06.1992 13:45:00;  15,9
31.07.1992 13:15:00;  11,6
27.08.1992 14:30:00;  6,81
27.09.1992 16:30:00;  6,36
27.10.1992 06:30:00;  5,82
18.11.1992 11:45:00;  4,90
28.12.1992 21:00:00;  4,24
19.01.1993 12:00:00;  3,63
24.02.1993 05:45:00;  2,92
04.03.1993 11:15:00;  2,77
01.04.1993 06:30:00;  4,15
04.05.1993 10:45:00;  11,9
16.06.1993 13:00:00;  13,4
09.07.1993 16:15:00;  11,7
19.08.1993 11:30:00;  9,59
07.09.1993 17:30:00;  9,18
01.10.1993 00:00:00;  12,8
30.11.1993 08:45:00;  7,50
29.12.1993 21:00:00;  5,56
28.01.1994 07:45:00;  3,55
13.02.1994 01:15:00;  3,80
05.03.1994 06:45:00;  4,07
12.04.1994 07:30:00;  5,00
01.05.1994 12:30:00;  10,4
15.06.1994 14:45:00;  16,6
17.07.1994 15:00:00;  12,5
23.08.1994 13:00:00;  8,52
08.09.1994 13:00:00;  9,18
27.10.1994 15:00:00;  6,03
30.11.1994 09:15:00;  5,40
24.12.1994 08:30:00;  3,98
16.01.1995 08:00:00;  3,15
28.02.1995 07:45:00;  2,56
01.03.1995 14:00:00;  2,35
01.04.1995 00:00:00;  3,07
01.05.1995 11:45:00;  10,8
25.06.1995 21:00:00;  22,3
31.07.1995 12:30:00;  13,9
24.08.1995 13:00:00;  9,96
30.09.1995 11:30:00;  9,21
30.10.1995 18:45:00;  5,56
04.11.1995 15:30:00;  3,30
28.12.1995 12:45:00;  2,89
26.01.1996 15:30:00;  2,29
24.02.1996 03:30:00;  2,16
06.03.1996 10:15:00;  2,18
03.04.1996 11:15:00;  2,62
05.05.1996 19:30:00;  6,68
28.06.1996 15:15:00;  10,1
26.07.1996 16:00:00;  11,1
22.08.1996 13:15:00;  10,2
30.09.1996 07:45:00;  9,50
01.10.1996 11:00:00;  9,58
10.11.1996 07:15:00;  9,23
31.12.1996 12:30:00;  4,96
24.01.1997 09:00:00;  3,89
22.02.1997 12:00:00;  3,72
05.03.1997 09:00:00;  3,73
01.04.1997 11:45:00;  4,03
02.05.1997 12:00:00;  5,32
02.06.1997 12:30:00;  14,8
31.07.1997 15:45:00;  18,2
25.08.1997 17:00:00;  11,1
27.09.1997 12:00:00;  5,48
29.10.1997 17:15:00;  3,72
03.11.1997 12:00:00;  4,28
29.12.1997 16:00:00;  3,68
31.01.1998 06:45:00;  3,06
20.02.1998 12:30:00;  2,64
11.03.1998 08:15:00;  2,92
01.04.1998 09:30:00;  4,78
05.05.1998 08:15:00;  9,58
20.06.1998 15:00:00;  17,9
30.07.1998 15:00:00;  12,9
31.08.1998 20:00:00;  7,92
01.09.1998 17:30:00;  7,70
01.10.1998 01:15:00;  9,88
22.11.1998 05:45:00;  6,60
24.12.1998 07:15:00;  5,08
14.01.1999 13:00:00;  3,60
18.02.1999 11:15:00;  2,64
02.03.1999 17:45:00;  3,18
12.04.1999 15:00:00;  5,52
01.05.1999 13:45:00;  15,3
25.06.1999 16:30:00;  20,8
31.07.1999 14:00:00;  14,2
04.08.1999 13:00:00;  12,6
19.09.1999 21:45:00;  9,07
23.10.1999 10:45:00;  10,7
30.11.1999 16:30:00;  6,63
23.12.1999 03:30:00;  4,73
25.01.2000 06:00:00;  3,57
21.02.2000 17:00:00;  3,30
06.03.2000 01:15:00;  3,35
01.04.2000 00:00:00;  5,80
24.05.2000 13:45:00;  18,9
29.06.2000 16:00:00;  11,8
07.07.2000 14:30:00;  9,86
30.08.2000 14:00:00;  11,4
19.09.2000 18:15:00;  7,62
05.10.2000 16:30:00;  10,7
30.11.2000 10:00:00;  13,3
22.12.2000 12:45:00;  6,81
17.01.2001 16:30:00;  5,56
27.02.2001 06:30:00;  4,70
01.03.2001 10:15:00;  4,03
06.04.2001 11:00:00;  7,07
01.05.2001 03:15:00;  18,2
07.06.2001 10:00:00;  21,3
31.07.2001 11:00:00;  20,0
29.08.2001 15:45:00;  10,6
22.09.2001 17:30:00;  8,78
30.10.2001 15:00:00;  6,46
29.11.2001 22:00:00;  4,97
31.12.2001 05:33:05;  2,75
25.01.2002 05:15:00;  3,02
13.02.2002 14:00:00;  2,80
04.03.2002 10:30:00;  3,08
16.04.2002 15:15:00;  4,28
01.05.2002 09:45:00;  8,74
30.06.2002 16:30:00;  13,5
30.07.2002 19:45:00;  9,90
31.08.2002 12:45:00;  8,55
20.09.2002 14:15:00;  4,56
10.10.2002 09:00:00;  6,16
11.11.2002 19:30:00;  6,24
31.12.2002 23:59:55;  7,87
27.01.2003 18:15:00;  5,10
21.02.2003 09:15:00;  3,61
22.03.2003 12:00:00;  3,35
08.04.2003 09:00:00;  4,13
18.05.2003 17:15:00;  12,4
30.06.2003 13:00:00;  12,0
21.07.2003 14:30:00;  8,94
27.08.2003 14:15:00;  4,51
27.09.2003 18:45:00;  4,43
29.10.2003 14:30:00;  4,56
23.11.2003 12:15:00;  5,05
27.12.2003 13:15:00;  3,30
29.01.2004 13:30:00;  3,03
19.02.2004 15:30:00;  2,69
01.03.2004 12:30:00;  2,96
01.04.2004 08:00:00;  4,36
10.05.2004 09:15:00;  8,78
04.06.2004 12:00:00;  16,9
30.07.2004 15:30:00;  12,8
25.08.2004 16:45:00;  7,68
10.09.2004 14:45:00;  6,11
06.10.2004 01:00:00;  3,66
28.11.2004 03:00:00;  6,14
21.12.2004 04:30:00;  3,35
25.01.2005 12:15:00;  3,10
28.02.2005 23:59:55;  2,52
01.03.2005 07:00:00;  2,47
08.04.2005 16:30:00;  3,89
13.05.2005 15:45:00;  7,84
12.06.2005 17:30:00;  10,2
03.07.2005 16:15:00;  11,0
14.08.2005 11:00:00;  7,87
27.09.2005 01:15:00;  8,27
30.10.2005 18:45:00;  6,69
21.11.2005 23:30:00;  4,20
15.12.2005 12:45:00;  3,72
24.01.2006 07:45:00;  3,37
28.02.2006 06:00:00;  1,74
13.03.2006 04:15:00;  2,40
07.04.2006 08:00:00;  4,04
02.05.2006 12:45:00;  9,91
10.06.2006 11:45:00;  11,7
27.07.2006 18:15:00;  8,77
28.08.2006 15:30:00;  9,48
29.09.2006 16:30:00;  5,37
23.10.2006 10:45:00;  5,32
23.11.2006 12:15:00;  3,72
21.12.2006 15:15:00;  3,74
18.01.2007 12:45:00;  2,84
07.02.2007 03:15:00;  3,03
06.03.2007 11:15:00;  3,18
03.04.2007 12:15:00;  3,49
07.05.2007 08:30:00;  8,41
03.06.2007 13:45:00;  13,9
29.07.2007 10:15:00;  9,60
06.08.2007 14:45:00;  8,52
29.09.2007 09:45:00;  10,2
31.10.2007 12:45:00;  6,48
15.11.2007 14:30:00;  4,67
20.12.2007 08:45:00;  2,17
31.01.2008 13:45:00;  2,68
08.02.2008 18:45:00;  2,64
10.03.2008 16:45:00;  1,71
05.04.2008 19:00:00;  3,10
02.05.2008 14:45:00;  7,93
29.06.2008 16:00:00;  15,5
11.07.2008 15:15:00;  13,2
31.08.2008 15:30:00;  11,1
30.09.2008 17:30:00;  8,40
27.10.2008 17:15:00;  7,13
29.11.2008 23:15:00;  7,11
28.12.2008 03:00:00;  4,89
10.01.2009 20:45:00;  3,83
28.02.2009 08:45:00;  2,74
12.03.2009 16:00:00;  3,21
01.04.2009 09:15:00;  4,49
01.05.2009 14:45:00;  11,3
02.06.2009 08:00:00;  14,5
12.07.2009 20:45:00;  11,6
27.08.2009 08:00:00;  8,37
21.09.2009 18:30:00;  6,30
14.10.2009 10:00:00;  5,08
26.11.2009 22:15:00;  3,91
17.12.2009 09:00:00;  3,30
12.01.2010 17:30:00;  3,35
09.02.2010 18:00:00;  2,58
09.03.2010 05:15:00;  2,58
05.04.2010 19:30:00;  3,41
21.05.2010 18:30:00;  11,5
02.06.2010 14:45:00;  18,1
31.07.2010 17:15:00;  10,8
02.08.2010 14:15:00;  10,9
30.09.2010 14:00:00;  10,6
27.10.2010 16:15:00;  7,07
10.11.2010 10:30:00;  7,55
14.12.2010 19:15:00;  5,52
23.01.2011 10:00:00;  4,14
17.02.2011 15:00:00;  3,18
10.03.2011 19:15:00;  2,89
01.04.2011 15:30:00;  4,33
02.05.2011 13:30:00;  7,11
29.06.2011 14:30:00;  15,8
06.07.2011 23:00:00;  10,6
31.08.2011 17:15:00;  8,79
16.09.2011 17:30:00;  7,47
29.10.2011 17:45:00;  8,26
28.11.2011 15:15:00;  5,25
12.12.2011 02:45:00;  3,48
25.01.2012 12:00:00;  2,78
01.02.2012 08:00:00;  2,73
01.03.2012 12:15:00;  2,84
25.04.2012 08:00:00;  6,37
18.05.2012 13:15:00;  13,1
29.06.2012 13:00:00;  18,0
27.07.2012 16:00:00;  13,6
25.08.2012 11:15:00;  10,3
24.09.2012 11:00:00;  10,2
29.10.2012 14:15:00;  9,05
30.11.2012 14:30:00;  8,51
29.12.2012 13:15:00;  4,87
31.01.2013 13:00:00;  4,06
27.02.2013 12:45:00;  3,23
05.03.2013 16:30:00;  3,87
06.04.2013 11:15:00;  3,89
28.05.2013 12:30:00;  15,3
30.06.2013 15:30:00;  17,9
31.07.2013 18:30:00;  13,5
18.08.2013 17:00:00;  7,87
