Messstelle:                ;Obergäu
07.10.1960 12:00:00;  5,70
17.11.1960 12:00:00;  5,30
27.12.1960 12:00:00;  2,72
27.01.1961 12:00:00;  2,30
05.02.1961 12:00:00;  3,30
24.03.1961 12:00:00;  4,50
28.04.1961 12:00:00;  6,50
03.05.1961 12:00:00;  12,0
30.06.1961 12:00:00;  12,0
27.07.1961 12:00:00;  7,46
31.08.1961 12:00:00;  6,98
29.09.1961 12:00:00;  3,00
05.10.1961 12:00:00;  2,72
27.11.1961 12:00:00;  2,58
31.12.1961 12:00:00;  3,48
23.01.1962 12:00:00;  2,60
04.02.1962 12:00:00;  4,30
04.03.1962 12:00:00;  4,30
12.04.1962 12:00:00;  9,70
03.05.1962 12:00:00;  12,3
05.06.1962 12:00:00;  9,70
02.07.1962 12:00:00;  9,20
31.08.1962 12:00:00;  5,92
05.09.1962 12:00:00;  4,90
28.10.1962 12:00:00;  3,50
30.11.1962 12:00:00;  4,34
12.12.1962 12:00:00;  3,50
31.01.1963 12:00:00;  3,50
25.02.1963 12:00:00;  3,04
01.03.1963 12:00:00;  3,04
03.04.1963 12:00:00;  9,47
19.05.1963 12:00:00;  10,6
18.06.1963 12:00:00;  8,43
31.07.1963 12:00:00;  4,95
04.08.1963 12:00:00;  4,35
22.09.1963 12:00:00;  4,35
30.10.1963 12:00:00;  3,83
07.11.1963 12:00:00;  3,57
31.12.1963 12:00:00;  2,05
30.01.1964 12:00:00;  1,73
15.02.1964 12:00:00;  1,73
09.03.1964 12:00:00;  3,05
09.04.1964 12:00:00;  10,1
31.05.1964 12:00:00;  13,0
14.06.1964 12:00:00;  9,21
28.07.1964 12:00:00;  7,29
30.08.1964 12:00:00;  6,32
06.09.1964 12:00:00;  5,33
08.10.1964 12:00:00;  4,19
12.11.1964 12:00:00;  5,66
31.12.1964 12:00:00;  3,92
05.01.1965 12:00:00;  3,40
28.02.1965 12:00:00;  3,92
01.03.1965 12:00:00;  3,92
30.04.1965 12:00:00;  23,0
01.05.1965 12:00:00;  23,6
02.06.1965 12:00:00;  26,4
24.07.1965 12:00:00;  18,3
20.08.1965 12:00:00;  7,04
10.09.1965 12:00:00;  11,4
28.10.1965 12:00:00;  4,19
17.11.1965 12:00:00;  3,40
06.12.1965 12:00:00;  4,19
22.01.1966 12:00:00;  5,00
17.02.1966 12:00:00;  9,52
20.03.1966 12:00:00;  8,21
01.04.1966 12:00:00;  9,98
31.05.1966 12:00:00;  21,6
23.06.1966 12:00:00;  18,9
21.07.1966 12:00:00;  15,9
15.08.1966 12:00:00;  15,5
30.09.1966 12:00:00;  6,26
26.10.1966 12:00:00;  3,78
28.11.1966 12:00:00;  3,78
02.12.1966 12:00:00;  4,34
14.01.1967 12:00:00;  4,62
18.02.1967 12:00:00;  5,92
22.03.1967 12:00:00;  10,7
03.04.1967 12:00:00;  12,3
05.05.1967 12:00:00;  30,9
14.06.1967 12:00:00;  27,7
31.07.1967 12:00:00;  12,3
31.08.1967 12:00:00;  5,24
28.09.1967 12:00:00;  4,34
31.10.1967 12:00:00;  2,78
02.11.1967 12:00:00;  2,44
21.12.1967 12:00:00;  1,85
11.01.1968 12:00:00;  2,95
05.02.1968 12:00:00;  4,00
17.03.1968 12:00:00;  4,00
13.04.1968 12:00:00;  13,9
22.05.1968 12:00:00;  11,5
26.06.1968 12:00:00;  9,21
09.07.1968 12:00:00;  6,21
30.08.1968 12:00:00;  8,43
18.09.1968 12:00:00;  5,85
31.10.1968 12:00:00;  4,78
20.11.1968 12:00:00;  2,78
14.12.1968 12:00:00;  1,85
11.01.1969 12:00:00;  1,96
17.02.1969 12:00:00;  2,27
08.03.1969 12:00:00;  5,04
01.04.1969 12:00:00;  5,94
22.05.1969 12:00:00;  7,65
26.06.1969 12:00:00;  6,21
30.07.1969 12:00:00;  4,65
03.08.1969 12:00:00;  3,57
30.09.1969 12:00:00;  3,79
24.10.1969 12:00:00;  1,62
08.11.1969 12:00:00;  1,96
31.12.1969 12:00:00;  2,10
01.01.1970 12:00:00;  2,10
02.02.1970 12:00:00;  2,95
10.03.1970 12:00:00;  4,00
06.04.1970 12:00:00;  8,42
03.05.1970 12:00:00;  15,5
28.06.1970 12:00:00;  28,2
13.07.1970 12:00:00;  17,8
29.08.1970 12:00:00;  15,1
30.09.1970 12:00:00;  10,2
20.10.1970 12:00:00;  8,76
18.11.1970 12:00:00;  10,6
25.12.1970 12:00:00;  5,22
21.01.1971 12:00:00;  4,16
03.02.1971 12:00:00;  4,16
11.03.1971 12:00:00;  3,16
29.04.1971 12:00:00;  8,42
30.05.1971 12:00:00;  5,94
10.06.1971 12:00:00;  8,04
31.07.1971 12:00:00;  5,04
22.08.1971 12:00:00;  3,16
12.09.1971 12:00:00;  4,54
31.10.1971 12:00:00;  3,40
09.11.1971 12:00:00;  2,84
06.12.1971 12:00:00;  3,76
31.01.1972 12:00:00;  2,38
08.02.1972 12:00:00;  2,18
30.03.1972 12:00:00;  3,94
01.04.1972 12:00:00;  5,02
19.05.1972 12:00:00;  10,8
30.06.1972 12:00:00;  10,4
10.07.1972 12:00:00;  9,26
16.08.1972 12:00:00;  4,26
30.09.1972 12:00:00;  2,78
09.10.1972 12:00:00;  1,96
11.11.1972 12:00:00;  6,26
27.12.1972 12:00:00;  3,58
25.01.1973 12:00:00;  2,62
21.02.1973 12:00:00;  2,18
01.03.1973 12:00:00;  2,70
17.04.1973 12:00:00;  6,90
28.05.1973 12:00:00;  16,0
17.06.1973 12:00:00;  12,4
21.07.1973 12:00:00;  5,94
20.08.1973 12:00:00;  3,37
21.09.1973 12:00:00;  2,78
16.10.1973 12:00:00;  3,16
13.11.1973 12:00:00;  6,90
20.12.1973 12:00:00;  6,34
11.01.1974 12:00:00;  5,78
28.02.1974 12:00:00;  6,90
11.03.1974 12:00:00;  6,34
20.04.1974 12:00:00;  9,26
10.05.1974 12:00:00;  16,0
09.06.1974 12:00:00;  11,9
16.07.1974 12:00:00;  14,7
25.08.1974 12:00:00;  7,28
18.09.1974 12:00:00;  4,26
15.10.1974 12:00:00;  6,26
10.11.1974 12:00:00;  6,90
26.12.1974 12:00:00;  5,94
24.01.1975 12:00:00;  8,18
27.02.1975 12:00:00;  5,02
01.03.1975 12:00:00;  6,06
02.04.1975 12:00:00;  7,90
05.05.1975 12:00:00;  24,3
09.06.1975 12:00:00;  15,5
30.07.1975 12:00:00;  13,4
11.08.1975 12:00:00;  6,58
30.09.1975 12:00:00;  3,94
15.10.1975 12:00:00;  2,84
14.11.1975 12:00:00;  2,98
31.12.1975 12:00:00;  2,87
01.01.1976 13:00:00;  2,79
16.02.1976 14:00:00;  3,66
12.03.1976 13:00:00;  3,70
12.04.1976 13:00:00;  8,56
01.05.1976 18:00:00;  8,94
29.06.1976 19:00:00;  8,37
18.07.1976 21:00:00;  4,60
31.08.1976 23:00:00;  3,79
01.09.1976 00:00:00;  3,89
29.10.1976 05:00:00;  3,86
14.11.1976 05:00:00;  3,79
30.12.1976 15:00:00;  4,55
20.01.1977 23:00:00;  4,10
03.02.1977 21:00:00;  5,68
02.03.1977 14:00:00;  9,16
12.04.1977 00:00:00;  9,45
29.05.1977 17:00:00;  16,7
05.06.1977 02:00:00;  11,7
31.07.1977 14:00:00;  4,55
31.08.1977 23:59:55;  8,11
30.09.1977 17:00:00;  4,64
26.10.1977 18:00:00;  2,67
01.11.1977 20:00:00;  2,88
23.12.1977 17:00:00;  2,46
30.01.1978 23:00:00;  4,11
23.02.1978 17:00:00;  3,05
26.03.1978 17:00:00;  6,83
18.04.1978 18:00:00;  15,7
15.05.1978 14:00:00;  22,6
21.06.1978 17:00:00;  18,1
31.07.1978 15:00:00;  16,9
30.08.1978 13:00:00;  3,59
06.09.1978 02:00:00;  5,84
20.10.1978 10:00:00;  3,18
30.11.1978 10:00:00;  2,38
05.12.1978 14:00:00;  1,70
27.01.1979 12:00:00;  1,46
28.02.1979 09:00:00;  2,35
01.03.1979 16:00:00;  2,75
05.04.1979 17:00:00;  5,47
08.05.1979 16:00:00;  12,6
10.06.1979 12:00:00;  10,2
27.07.1979 19:00:00;  12,8
31.08.1979 20:00:00;  9,85
14.09.1979 13:00:00;  5,77
30.10.1979 12:00:00;  3,99
02.11.1979 02:00:00;  3,96
31.12.1979 23:00:00;  6,15
30.01.1980 16:00:00;  3,49
01.02.1980 00:00:00;  5,09
05.03.1980 08:00:00;  4,64
12.04.1980 16:00:00;  12,3
19.05.1980 13:00:00;  16,5
23.06.1980 16:00:00;  18,2
31.07.1980 17:00:00;  19,1
28.08.1980 17:00:00;  9,58
23.09.1980 07:00:00;  4,22
06.10.1980 23:59:55;  2,88
15.11.1980 00:00:00;  9,64
03.12.1980 02:00:00;  10,2
29.01.1981 00:01:00;  5,53
27.02.1981 11:00:00;  5,04
02.03.1981 00:00:00;  5,13
30.04.1981 04:00:00;  9,06
04.05.1981 09:00:00;  10,6
18.06.1981 15:00:00;  10,2
11.07.1981 14:00:00;  7,34
16.08.1981 18:00:00;  11,2
23.09.1981 07:00:00;  10,1
10.10.1981 08:00:00;  7,94
11.11.1981 12:00:00;  8,41
28.12.1981 12:00:00;  6,52
29.01.1982 09:00:00;  5,95
28.02.1982 09:00:00;  5,31
01.03.1982 11:00:00;  5,66
16.04.1982 16:00:00;  16,0
01.05.1982 15:00:00;  19,0
16.06.1982 17:00:00;  14,7
22.07.1982 17:00:00;  6,02
28.08.1982 15:00:00;  8,98
20.09.1982 23:00:00;  4,05
31.10.1982 21:00:00;  4,10
09.11.1982 18:00:00;  3,02
06.12.1982 17:00:00;  2,99
02.01.1983 11:00:00;  4,65
25.02.1983 12:00:00;  3,51
07.03.1983 10:00:00;  4,98
06.04.1983 16:00:00;  8,94
28.05.1983 19:00:00;  10,5
13.06.1983 15:00:00;  14,4
28.07.1983 21:00:00;  5,34
31.08.1983 11:00:00;  3,11
02.09.1983 10:00:00;  2,86
09.10.1983 01:00:00;  2,46
24.11.1983 12:00:00;  1,26
16.12.1983 10:00:00;  2,77
12.01.1984 02:00:00;  3,32
02.02.1984 17:00:00;  3,49
13.03.1984 12:00:00;  3,30
30.04.1984 19:00:00;  10,6
01.05.1984 17:45:00;  10,6
08.06.1984 20:45:00;  13,8
24.07.1984 13:00:00;  10,1
24.08.1984 19:30:00;  7,26
03.09.1984 19:15:00;  10,9
30.10.1984 09:00:00;  6,27
20.11.1984 21:15:00;  4,39
29.12.1984 00:45:00;  4,09
07.01.1985 00:00:05;  3,51
25.02.1985 11:00:00;  3,90
20.03.1985 13:00:00;  5,02
30.04.1985 05:15:00;  10,5
01.05.1985 00:00:00;  11,3
30.06.1985 19:15:00;  14,8
30.07.1985 14:45:00;  5,64
01.08.1985 19:15:00;  9,62
30.09.1985 16:30:00;  4,92
30.10.1985 23:45:00;  3,58
28.11.1985 10:00:00;  2,34
15.12.1985 06:45:00;  4,34
08.01.1986 13:45:00;  3,53
27.02.1986 08:00:00;  1,53
01.03.1986 06:45:00;  2,22
15.04.1986 17:30:00;  11,8
10.05.1986 17:00:00;  16,5
29.06.1986 18:15:00;  7,34
18.07.1986 19:15:00;  4,73
18.08.1986 06:30:00;  4,20
30.09.1986 23:59:55;  2,74
16.10.1986 04:30:00;  1,68
22.11.1986 08:30:00;  2,76
14.12.1986 00:00:00;  1,27
30.01.1987 22:45:00;  1,92
01.02.1987 00:00:00;  2,72
21.03.1987 13:15:00;  4,77
03.04.1987 12:30:00;  9,93
23.05.1987 11:00:00;  23,8
20.06.1987 17:45:00;  19,5
24.07.1987 10:15:00;  11,9
31.08.1987 23:59:55;  8,41
23.09.1987 17:15:00;  3,81
18.10.1987 00:15:00;  2,86
02.11.1987 00:45:00;  2,86
16.12.1987 04:00:00;  5,71
21.01.1988 00:30:00;  5,36
23.02.1988 10:15:00;  5,15
04.03.1988 03:15:00;  4,95
02.04.1988 13:30:00;  20,3
23.05.1988 16:45:00;  18,1
26.06.1988 19:00:00;  15,9
27.07.1988 13:45:00;  8,89
20.08.1988 17:15:00;  7,25
12.09.1988 12:15:00;  10,5
20.10.1988 22:15:00;  7,44
10.11.1988 10:15:00;  8,26
10.12.1988 10:30:00;  10,9
25.01.1989 15:15:00;  6,44
01.02.1989 13:45:00;  6,20
03.03.1989 22:30:00;  8,91
30.04.1989 18:15:00;  10,4
01.05.1989 00:00:00;  10,5
09.06.1989 19:30:00;  10,8
23.07.1989 11:30:00;  10,8
27.08.1989 15:00:00;  9,50
25.09.1989 18:30:00;  5,75
29.10.1989 19:30:00;  7,83
29.11.1989 20:00:00;  4,84
11.12.1989 13:30:00;  4,07
13.01.1990 06:45:00;  3,56
07.02.1990 16:45:00;  4,88
06.03.1990 13:45:00;  9,17
06.04.1990 14:45:00;  8,55
31.05.1990 15:00:00;  9,29
01.06.1990 16:15:00;  8,98
30.07.1990 22:15:00;  5,55
31.08.1990 23:59:55;  4,83
03.09.1990 11:30:00;  4,52
27.10.1990 04:15:00;  4,67
09.11.1990 18:30:00;  6,82
19.12.1990 10:00:00;  4,84
31.01.1991 12:15:00;  3,03
04.02.1991 09:30:00;  2,20
01.03.1991 16:15:00;  5,42
22.04.1991 19:00:00;  4,83
09.05.1991 16:45:00;  7,53
06.06.1991 13:30:00;  14,5
24.07.1991 09:15:00;  4,88
29.08.1991 04:45:00;  3,56
08.09.1991 05:15:00;  3,10
13.10.1991 08:00:00;  3,28
23.11.1991 21:30:00;  1,68
02.12.1991 22:45:00;  1,61
29.01.1992 06:45:00;  3,30
12.02.1992 15:45:00;  4,56
13.03.1992 16:45:00;  7,40
19.04.1992 06:15:00;  5,15
21.05.1992 19:45:00;  19,1
28.06.1992 05:45:00;  9,34
31.07.1992 17:30:00;  7,26
31.08.1992 14:30:00;  5,40
29.09.1992 14:45:00;  4,74
10.10.1992 05:15:00;  3,99
11.11.1992 20:00:00;  5,40
30.12.1992 06:30:00;  4,31
06.01.1993 09:15:00;  5,01
27.02.1993 14:00:00;  4,14
09.03.1993 08:45:00;  3,69
01.04.1993 09:00:00;  10,9
24.05.1993 15:00:00;  12,9
15.06.1993 14:00:00;  6,53
10.07.1993 23:45:00;  10,9
22.08.1993 19:30:00;  5,90
25.09.1993 23:00:00;  6,10
19.10.1993 09:45:00;  5,32
30.11.1993 23:59:55;  4,34
04.12.1993 16:45:00;  4,06
31.01.1994 14:45:00;  4,06
01.02.1994 18:30:00;  3,54
06.03.1994 11:30:00;  8,87
10.04.1994 15:00:00;  10,2
31.05.1994 15:00:00;  18,1
29.06.1994 05:00:00;  6,10
06.07.1994 17:15:00;  5,15
08.08.1994 14:45:00;  4,69
13.09.1994 05:00:00;  4,69
21.10.1994 06:00:00;  3,43
10.11.1994 10:45:00;  2,79
21.12.1994 15:00:00;  4,23
09.01.1995 14:15:00;  3,42
25.02.1995 11:15:00;  7,22
11.03.1995 08:45:00;  3,54
01.04.1995 00:15:00;  9,32
23.05.1995 14:30:00;  18,1
18.06.1995 16:00:00;  20,1
25.07.1995 17:30:00;  8,75
12.08.1995 09:15:00;  6,99
20.09.1995 17:00:00;  9,32
23.10.1995 08:30:00;  5,37
29.11.1995 13:45:00;  6,03
09.12.1995 14:45:00;  4,55
26.01.1996 18:15:00;  2,59
21.02.1996 11:45:00;  2,11
07.03.1996 12:45:00;  2,11
05.04.1996 09:45:00;  5,32
07.05.1996 13:15:00;  9,82
18.06.1996 18:15:00;  6,99
28.07.1996 00:30:00;  5,70
11.08.1996 13:45:00;  5,70
01.09.1996 00:00:00;  9,17
14.10.1996 22:00:00;  9,82
22.11.1996 18:45:00;  6,53
31.12.1996 23:59:55;  7,48
29.01.1997 08:10:10;  2,08
06.02.1997 07:55:25;  2,28
01.03.1997 19:03:55;  6,42
24.04.1997 15:35:55;  11,0
31.05.1997 19:25:00;  13,1
01.06.1997 17:54:55;  12,5
05.07.1997 08:47:05;  8,23
17.08.1997 16:36:00;  6,71
05.09.1997 10:41:40;  1,95
10.10.1997 20:37:20;  3,07
03.11.1997 08:54:10;  2,81
09.12.1997 07:05:15;  5,29
18.01.1998 17:36:00;  3,60
04.02.1998 11:15:35;  3,20
02.03.1998 14:18:20;  5,51
20.04.1998 15:57:10;  11,7
25.05.1998 09:55:00;  11,0
26.06.1998 21:04:15;  12,5
23.07.1998 18:29:45;  10,3
18.08.1998 17:12:35;  4,20
02.09.1998 07:52:00;  5,59
23.10.1998 14:49:55;  8,43
28.11.1998 09:03:20;  4,63
01.12.1998 13:06:35;  2,93
18.01.1999 17:22:05;  4,94
16.02.1999 10:43:50;  4,10
01.03.1999 11:26:45;  10,0
20.04.1999 15:39:15;  15,0
17.05.1999 15:01:15;  24,1
30.06.1999 13:26:45;  13,2
03.07.1999 09:26:05;  7,86
23.08.1999 19:48:05;  4,76
20.09.1999 08:41:25;  3,69
20.10.1999 08:51:35;  2,43
20.11.1999 10:33:25;  2,72
26.12.1999 16:41:50;  4,44
24.01.2000 18:51:00;  3,73
23.02.2000 13:14:30;  7,37
06.03.2000 10:39:35;  10,8
09.04.2000 10:42:45;  18,1
30.05.2000 18:13:20;  19,4
28.06.2000 16:56:00;  12,3
07.07.2000 15:18:30;  7,28
18.08.2000 20:09:15;  4,94
30.09.2000 23:59:55;  7,33
29.10.2000 12:40:40;  4,97
13.11.2000 20:49:45;  6,40
14.12.2000 17:11:05;  3,48
17.01.2001 12:30:00;  3,10
02.02.2001 10:30:00;  4,40
02.03.2001 03:04:35;  5,69
07.04.2001 12:35:20;  12,4
22.05.2001 13:54:05;  13,6
27.06.2001 12:36:10;  12,3
13.07.2001 08:10:55;  5,01
28.08.2001 00:52:00;  1,82
04.09.2001 12:32:20;  9,65
18.10.2001 13:00:00;  3,91
22.11.2001 08:45:00;  4,32
20.12.2001 14:45:00;  3,91
04.01.2002 10:30:00;  2,35
25.02.2002 05:00:00;  9,95
11.03.2002 13:45:00;  10,3
19.04.2002 15:45:00;  7,55
25.05.2002 20:00:00;  13,6
27.06.2002 05:30:00;  10,3
15.07.2002 17:46:40;  6,80
03.08.2002 12:34:15;  6,82
01.09.2002 00:00:00;  9,58
30.10.2002 09:15:00;  8,86
01.11.2002 00:00:00;  10,1
20.12.2002 20:45:00;  5,15
08.01.2003 09:00:00;  1,71
20.02.2003 11:45:00;  3,70
10.03.2003 10:15:00;  4,40
05.04.2003 21:45:00;  4,97
16.05.2003 19:45:00;  8,99
30.06.2003 18:45:00;  2,87
16.07.2003 05:30:00;  4,08
28.08.2003 23:00:00;  3,54
07.09.2003 10:00:00;  4,27
29.10.2003 12:00:00;  5,07
12.11.2003 14:00:00;  3,81
08.12.2003 09:00:00;  3,76
04.01.2004 10:45:00;  4,08
21.02.2004 07:15:00;  4,64
06.03.2004 11:15:00;  5,52
15.04.2004 07:00:00;  11,6
09.05.2004 12:15:00;  12,7
15.06.2004 19:45:00;  17,8
23.07.2004 10:30:00;  8,30
12.08.2004 21:00:00;  4,79
23.09.2004 00:45:00;  6,26
29.10.2004 19:45:00;  4,64
04.11.2004 22:15:00;  4,97
22.12.2004 08:30:00;  3,42
12.01.2005 15:15:00;  3,73
07.02.2005 05:54:30;  3,75
07.03.2005 18:45:00; 0,776
11.04.2005 19:45:00;  14,3
13.05.2005 14:00:00;  18,4
12.06.2005 12:15:00;  12,7
31.07.2005 15:45:00;  9,26
14.08.2005 11:30:00;  9,53
26.09.2005 23:15:00;  4,74
16.10.2005 22:15:00;  2,07
01.11.2005 16:45:00;  2,20
23.12.2005 09:15:00;  3,70
17.01.2006 13:45:00;  3,16
14.02.2006 09:15:00;  3,28
08.03.2006 08:15:00;  4,33
08.04.2006 15:30:00;  14,3
25.05.2006 14:15:00;  17,8
27.06.2006 15:30:00;  14,8
27.07.2006 14:00:00;  5,65
24.08.2006 19:00:00;  4,97
08.09.2006 00:15:00;  2,43
15.10.2006 11:15:00;  2,92
04.11.2006 22:30:00;  4,83
31.12.2006 09:45:00;  2,67
02.01.2007 17:45:00;  2,67
02.02.2007 16:00:00;  4,97
20.03.2007 07:45:00;  6,01
06.04.2007 17:30:00;  9,26
01.05.2007 10:15:00;  7,96
20.06.2007 19:30:00;  3,73
27.07.2007 17:30:00;  5,30
11.08.2007 15:45:00;  1,98
25.09.2007 16:45:00;  9,26
15.10.2007 00:30:00;  6,01
06.11.2007 14:00:00;  8,81
16.12.2007 10:00:00;  4,33
02.01.2008 10:15:00;  4,64
17.02.2008 09:45:00;  4,33
27.03.2008 05:30:00;  7,55
09.04.2008 05:45:00;  6,76
24.05.2008 12:15:00;  19,0
16.06.2008 13:00:00;  12,7
11.07.2008 15:45:00;  6,76
07.08.2008 21:15:00;  3,18
11.09.2008 20:15:00;  4,33
28.10.2008 20:30:00;  3,73
10.11.2008 07:00:00;  1,58
13.12.2008 16:30:00;  4,02
31.01.2009 23:59:55;  2,28
24.02.2009 11:15:00;  1,78
01.03.2009 00:00:00;  6,95
01.04.2009 10:15:00;  19,0
28.05.2009 18:00:00;  17,8
14.06.2009 14:45:00;  14,8
14.07.2009 14:15:00;  10,2
28.08.2009 21:30:00;  1,78
25.09.2009 10:15:00;  1,98
07.10.2009 09:45:00;  3,45
30.11.2009 04:30:00;  1,78
06.12.2009 14:00:00;  3,73
20.01.2010 08:30:00;  3,42
16.02.2010 07:44:35;  3,07
15.03.2010 03:00:00;  4,05
07.04.2010 16:00:00;  7,31
13.05.2010 13:15:00;  14,3
30.06.2010 16:45:00;  11,6
15.07.2010 18:15:00;  3,73
22.08.2010 18:15:00;  6,23
14.09.2010 03:00:00;  4,48
16.10.2010 10:45:00;  4,63
28.11.2010 09:30:00;  3,92
13.12.2010 09:00:00;  3,15
06.01.2011 22:56:40;  4,55
01.02.2011 17:30:00;  4,75
10.03.2011 07:00:00;  2,75
28.04.2011 16:45:00;  7,31
05.05.2011 17:15:00;  4,07
16.06.2011 13:45:00;  9,45
19.07.2011 18:15:00;  4,75
31.08.2011 23:59:55;  5,46
05.09.2011 04:15:00;  4,51
05.10.2011 05:30:00;  2,36
20.11.2011 09:45:00;  1,79
11.12.2011 16:30:00;  1,21
07.01.2012 22:30:00;  3,83
21.02.2012 10:15:00;  4,05
10.03.2012 09:15:00;  11,9
25.04.2012 14:45:00;  17,6
15.05.2012 12:15:00;  16,4
29.06.2012 09:15:00;  18,2
08.07.2012 22:15:00;  13,1
22.08.2012 16:30:00;  3,09
05.09.2012 07:00:00;  7,20
30.10.2012 07:15:00;  6,09
28.11.2012 08:30:00;  3,04
02.12.2012 16:15:00;  3,83
18.01.2013 14:30:00;  4,51
24.02.2013 17:00:00;  5,53
01.03.2013 00:00:00;  6,40
05.04.2013 15:45:00;  9,07
23.05.2013 18:00:00;  15,9
29.06.2013 17:30:00;  16,4
29.07.2013 08:45:00;  6,68
24.08.2013 22:00:00;  3,04
07.09.2013 23:45:00;  6,38
05.10.2013 11:00:00;  8,70
28.11.2013 07:45:00;  7,31
