Messstelle:                ;Großarl
21.02.1960 12:00:00; 0,960
09.03.1960 12:00:00;  1,35
07.04.1960 12:00:00;  2,66
03.05.1960 12:00:00;  2,51
24.06.1960 12:00:00;  4,98
06.07.1960 12:00:00;  4,73
30.08.1960 12:00:00;  4,90
29.09.1960 12:00:00;  4,55
20.10.1960 12:00:00;  4,03
28.11.1960 12:00:00;  3,08
29.12.1960 12:00:00;  2,00
31.01.1961 12:00:00;  1,35
05.02.1961 12:00:00;  1,25
06.03.1961 12:00:00;  1,55
01.04.1961 12:00:00;  2,45
02.05.1961 12:00:00;  5,99
30.06.1961 12:00:00;  10,0
28.07.1961 12:00:00;  5,80
31.08.1961 12:00:00;  4,02
30.09.1961 12:00:00;  2,03
18.10.1961 12:00:00;  1,75
26.11.1961 12:00:00;  1,75
09.12.1961 12:00:00;  1,45
31.01.1962 12:00:00;  1,18
25.02.1962 12:00:00;  1,18
19.03.1962 12:00:00;  1,18
15.04.1962 12:00:00;  2,03
04.05.1962 12:00:00;  5,15
10.06.1962 12:00:00;  10,0
06.07.1962 12:00:00;  8,70
31.08.1962 12:00:00;  5,60
16.09.1962 12:00:00;  2,45
28.10.1962 12:00:00;  1,55
29.11.1962 12:00:00;  1,55
28.12.1962 12:00:00;  1,11
31.01.1963 12:00:00; 0,900
10.02.1963 12:00:00; 0,800
04.03.1963 12:00:00; 0,850
03.04.1963 12:00:00;  1,11
07.05.1963 12:00:00;  5,03
18.06.1963 12:00:00;  5,57
26.07.1963 12:00:00;  4,51
07.08.1963 12:00:00;  3,68
25.09.1963 12:00:00;  3,48
31.10.1963 12:00:00;  1,75
01.11.1963 12:00:00;  1,75
31.12.1963 12:00:00;  1,18
28.01.1964 12:00:00; 0,970
25.02.1964 12:00:00; 0,850
12.03.1964 12:00:00; 0,850
02.04.1964 12:00:00;  1,04
03.05.1964 12:00:00;  4,77
28.06.1964 12:00:00;  4,39
27.07.1964 12:00:00;  3,66
01.08.1964 12:00:00;  3,30
16.09.1964 12:00:00;  2,45
08.10.1964 12:00:00;  1,75
15.11.1964 12:00:00;  3,30
31.12.1964 12:00:00;  1,89
31.01.1965 12:00:00;  1,25
26.02.1965 12:00:00;  1,04
09.03.1965 12:00:00;  1,04
30.04.1965 12:00:00;  2,79
01.05.1965 12:00:00;  2,62
02.06.1965 12:00:00;  13,4
25.07.1965 12:00:00;  8,82
20.08.1965 12:00:00;  4,84
26.09.1965 12:00:00;  5,05
31.10.1965 12:00:00;  2,25
17.11.1965 12:00:00;  1,42
27.12.1965 12:00:00;  1,24
30.01.1966 12:00:00; 0,920
16.02.1966 12:00:00;  1,07
17.03.1966 12:00:00;  1,33
01.04.1966 12:00:00;  1,51
31.05.1966 12:00:00;  7,25
02.06.1966 12:00:00;  6,72
11.07.1966 12:00:00;  6,20
04.08.1966 12:00:00;  7,77
30.09.1966 12:00:00;  3,91
31.10.1966 12:00:00;  2,25
03.11.1966 12:00:00;  1,99
31.12.1966 12:00:00;  2,41
26.01.1967 12:00:00;  1,86
17.02.1967 12:00:00;  1,70
25.03.1967 12:00:00;  2,32
08.04.1967 12:00:00;  2,21
05.05.1967 12:00:00;  5,68
16.06.1967 12:00:00;  8,93
31.07.1967 12:00:00;  5,68
31.08.1967 12:00:00;  5,00
30.09.1967 12:00:00;  3,74
31.10.1967 12:00:00;  1,99
30.11.1967 12:00:00;  1,78
21.12.1967 12:00:00;  1,51
25.01.1968 12:00:00;  1,21
29.02.1968 12:00:00;  1,21
14.03.1968 12:00:00;  1,14
14.04.1968 12:00:00;  3,14
21.05.1968 12:00:00;  6,05
29.06.1968 12:00:00;  6,42
09.07.1968 12:00:00;  5,16
29.08.1968 12:00:00;  4,76
18.09.1968 12:00:00;  3,58
31.10.1968 12:00:00;  2,71
24.11.1968 12:00:00;  1,67
31.12.1968 12:00:00;  1,43
31.01.1969 12:00:00;  1,21
18.02.1969 12:00:00; 0,950
10.03.1969 12:00:00;  1,08
01.04.1969 12:00:00;  1,35
22.05.1969 12:00:00;  4,76
04.06.1969 12:00:00;  5,30
29.07.1969 12:00:00;  4,40
12.08.1969 12:00:00;  3,14
30.09.1969 12:00:00;  3,14
23.10.1969 12:00:00;  1,67
30.11.1969 12:00:00;  1,35
29.12.1969 12:00:00;  1,01
26.01.1970 12:00:00; 0,950
20.02.1970 12:00:00; 0,950
13.03.1970 12:00:00; 0,950
06.04.1970 12:00:00;  1,14
05.05.1970 12:00:00;  3,91
01.06.1970 12:00:00;  9,67
31.07.1970 12:00:00;  9,19
30.08.1970 12:00:00;  7,32
30.09.1970 12:00:00;  3,74
26.10.1970 12:00:00;  3,14
28.11.1970 12:00:00;  2,71
31.12.1970 12:00:00;  1,59
30.01.1971 12:00:00;  1,27
28.02.1971 12:00:00;  1,01
13.03.1971 12:00:00; 0,900
01.04.1971 12:00:00;  1,67
01.05.1971 12:00:00;  4,24
15.06.1971 12:00:00;  4,94
31.07.1971 12:00:00;  3,28
05.08.1971 12:00:00;  2,99
24.09.1971 12:00:00;  2,14
31.10.1971 12:00:00;  1,40
28.11.1971 12:00:00;  1,40
31.12.1971 12:00:00;  1,24
26.01.1972 12:00:00; 0,750
07.02.1972 12:00:00; 0,750
05.03.1972 12:00:00; 0,900
02.04.1972 12:00:00;  1,40
01.05.1972 12:00:00;  3,52
29.06.1972 12:00:00;  8,36
09.07.1972 12:00:00;  7,43
30.08.1972 12:00:00;  4,00
30.09.1972 12:00:00;  1,90
08.10.1972 12:00:00;  1,40
30.11.1972 12:00:00;  1,40
31.12.1972 12:00:00;  1,32
28.01.1973 12:00:00;  1,00
22.02.1973 12:00:00; 0,950
11.03.1973 12:00:00; 0,330
20.04.1973 12:00:00;  1,73
14.05.1973 12:00:00;  5,80
17.06.1973 12:00:00;  6,80
17.07.1973 12:00:00;  2,87
28.08.1973 12:00:00;  2,28
21.09.1973 12:00:00;  1,87
30.10.1973 12:00:00;  2,55
30.11.1973 12:00:00;  1,66
31.12.1973 12:00:00;  1,35
15.01.1974 12:00:00;  1,03
17.02.1974 12:00:00;  1,03
03.03.1974 12:00:00; 0,950
25.04.1974 12:00:00;  1,38
10.05.1974 12:00:00;  2,66
17.06.1974 12:00:00;  3,40
31.07.1974 12:00:00;  5,93
10.08.1974 12:00:00;  3,40
20.09.1974 12:00:00;  2,50
29.10.1974 12:00:00;  2,36
26.11.1974 12:00:00;  1,49
27.12.1974 12:00:00;  1,38
30.01.1975 12:00:00;  1,70
27.02.1975 12:00:00;  1,29
25.03.1975 12:00:00;  1,39
02.04.1975 12:00:00;  1,48
02.05.1975 12:00:00;  8,94
19.06.1975 12:00:00;  7,63
30.07.1975 12:00:00;  9,35
12.08.1975 12:00:00;  5,34
30.09.1975 12:00:00;  2,65
31.10.1975 12:00:00;  1,39
24.11.1975 12:00:00;  1,10
24.12.1975 12:00:00; 0,890
09.01.1977 10:00:00; 0,963
03.02.1977 10:00:00; 0,963
02.03.1977 08:00:00;  1,40
17.04.1977 08:00:00;  2,33
11.05.1977 08:00:00;  7,79
05.06.1977 08:00:00;  4,84
13.07.1977 08:00:00;  3,61
31.08.1977 08:00:00;  3,08
25.09.1977 10:00:00;  1,95
31.10.1977 10:00:00;  1,21
24.11.1977 10:00:00; 0,963
03.12.1977 08:00:00;  1,04
24.01.1978 10:00:00; 0,888
09.02.1978 08:00:00; 0,817
27.03.1978 08:00:00;  1,21
18.04.1978 08:00:00;  1,95
15.05.1978 08:00:00;  5,49
30.06.1978 10:00:00;  5,34
01.07.1978 00:00:00;  5,34
29.08.1978 08:00:00;  1,77
05.09.1978 08:00:00;  1,90
25.10.1978 08:00:00;  2,62
30.11.1978 10:00:00; 0,966
28.12.1978 10:00:00; 0,739
22.01.1979 10:00:00; 0,610
28.02.1979 10:00:00; 0,447
01.03.1979 00:00:00; 0,448
09.04.1979 08:00:00; 0,739
04.05.1979 08:00:00;  2,20
10.06.1979 08:00:00;  11,7
28.07.1979 08:00:00;  5,26
24.08.1979 08:00:00;  5,03
20.09.1979 08:00:00;  2,62
26.10.1979 08:00:00;  2,20
04.11.1979 08:00:00;  1,95
31.12.1979 10:00:00;  2,07
31.01.1980 10:00:00;  1,30
19.02.1980 08:00:00;  1,21
04.03.1980 08:00:00;  1,12
12.04.1980 08:00:00;  1,60
01.05.1980 00:00:00;  3,08
04.06.1980 08:00:00;  7,09
31.07.1980 08:00:00;  7,91
27.08.1980 08:00:00;  2,93
20.09.1980 08:00:00;  2,33
06.10.1980 08:00:00;  1,67
27.11.1980 10:00:00;  2,20
23.12.1980 10:00:00;  1,34
29.01.1981 00:01:00; 0,672
24.02.1981 10:00:00; 0,610
01.03.1981 02:00:00; 0,672
30.04.1981 10:00:00;  3,80
03.05.1981 08:00:00;  3,26
21.06.1981 08:00:00;  6,05
10.07.1981 08:00:00;  4,40
16.08.1981 08:00:00;  5,03
23.09.1981 08:00:00;  3,25
21.10.1981 10:00:00;  2,92
27.11.1981 08:00:00;  2,62
18.12.1981 08:00:00;  1,83
28.01.1982 10:00:00;  1,40
27.02.1982 08:00:00;  1,30
08.03.1982 08:00:00;  1,12
28.04.1982 10:00:00;  2,07
01.05.1982 02:00:00;  1,95
16.06.1982 08:00:00;  7,36
20.07.1982 08:00:00;  3,99
23.08.1982 08:00:00;  3,80
21.09.1982 08:00:00;  1,79
01.10.1982 00:00:00;  1,92
22.11.1982 10:00:00;  2,75
13.12.1982 10:00:00;  2,29
24.01.1983 10:00:00;  2,50
26.02.1983 01:00:00;  1,31
03.03.1983 22:00:00;  1,16
06.04.1983 08:00:00;  1,17
06.05.1983 12:00:00;  5,31
19.06.1983 18:00:00;  5,82
23.07.1983 14:00:00;  1,67
01.08.1983 14:00:00;  2,12
01.09.1983 15:00:00;  2,12
07.10.1983 18:00:00;  1,92
25.11.1983 12:00:00;  1,23
19.12.1983 11:00:00;  1,20
26.01.1984 14:45:00; 0,935
14.02.1984 12:30:00; 0,567
13.03.1984 10:45:00; 0,813
01.04.1984 06:30:00;  1,41
01.05.1984 16:30:00;  3,19
10.06.1984 10:00:00;  7,98
19.07.1984 22:15:00;  4,23
24.08.1984 17:30:00;  3,47
03.09.1984 13:45:00;  3,23
30.10.1984 10:15:00;  2,32
13.11.1984 10:15:00;  1,40
29.12.1984 15:15:00;  1,07
25.01.1985 11:15:00; 0,894
25.02.1985 17:15:00; 0,839
04.03.1985 10:30:00; 0,839
01.04.1985 06:15:00;  1,38
04.05.1985 11:45:00;  2,52
26.06.1985 16:30:00;  7,06
30.07.1985 12:30:00;  3,86
01.08.1985 12:30:00;  3,77
30.09.1985 19:00:00;  2,49
28.10.1985 09:45:00;  1,68
29.11.1985 21:30:00;  1,18
31.12.1985 23:59:55;  1,20
27.01.1986 14:00:00; 0,866
27.02.1986 00:15:00; 0,830
02.03.1986 00:30:00; 0,848
21.04.1986 06:00:00;  1,93
11.05.1986 12:15:00;  8,15
29.06.1986 13:30:00;  5,75
29.07.1986 16:30:00;  2,73
10.08.1986 13:00:00;  2,42
29.09.1986 18:00:00;  2,10
16.10.1986 19:45:00;  1,57
20.11.1986 16:45:00;  1,15
29.12.1986 14:45:00;  1,04
26.01.1987 02:30:00; 0,993
24.02.1987 10:15:00; 0,935
21.03.1987 14:00:00; 0,654
01.04.1987 00:00:00;  1,46
24.05.1987 07:15:00;  5,90
20.06.1987 14:15:00;  9,61
30.07.1987 15:30:00;  4,77
24.08.1987 15:30:00;  3,01
24.09.1987 14:30:00;  2,15
10.10.1987 17:30:00;  2,04
29.11.1987 06:00:00;  1,82
12.12.1987 15:00:00;  1,38
24.01.1988 00:15:00;  1,40
14.02.1988 05:00:00;  1,18
10.03.1988 10:30:00;  1,12
01.04.1988 20:15:00;  1,74
24.05.1988 13:30:00;  6,86
25.06.1988 18:00:00;  5,56
27.07.1988 14:30:00;  3,50
20.08.1988 14:45:00;  2,90
11.09.1988 16:00:00;  4,19
28.10.1988 17:15:00;  2,37
23.11.1988 09:45:00;  1,63
16.12.1988 05:00:00;  1,63
31.01.1989 12:30:00;  1,15
15.02.1989 14:15:00;  1,22
01.03.1989 09:00:00;  1,43
24.04.1989 12:30:00;  3,21
02.05.1989 12:45:00;  3,21
10.06.1989 01:45:00;  5,52
23.07.1989 01:45:00;  5,88
31.08.1989 09:15:00;  3,63
24.09.1989 17:30:00;  2,40
28.10.1989 17:45:00;  2,40
26.11.1989 11:30:00;  1,40
13.12.1989 16:15:00;  1,07
15.01.1990 00:00:00;  1,04
10.02.1990 13:45:00; 0,908
04.03.1990 08:00:00;  1,35
13.04.1990 07:45:00;  2,25
31.05.1990 15:15:00;  2,77
01.06.1990 12:30:00;  2,47
29.07.1990 16:00:00;  2,78
29.08.1990 17:00:00;  2,13
02.09.1990 14:00:00;  2,02
17.10.1990 10:00:00;  2,25
07.11.1990 12:15:00;  2,25
29.12.1990 13:15:00;  1,70
28.01.1991 07:45:00;  1,34
18.02.1991 04:00:00;  1,11
01.03.1991 06:15:00;  1,43
25.04.1991 05:45:00;  1,91
01.05.1991 08:00:00;  2,78
01.06.1991 10:00:00;  5,34
12.07.1991 09:45:00;  5,82
31.08.1991 20:00:00;  2,50
11.09.1991 17:00:00;  1,57
31.10.1991 23:59:55;  1,15
01.11.1991 11:45:00;  1,06
20.12.1991 21:15:00; 0,897
30.01.1992 09:00:00; 0,687
19.02.1992 09:15:00; 0,750
01.03.1992 13:15:00;  1,17
01.04.1992 00:00:00;  1,95
01.05.1992 05:15:00;  7,39
29.06.1992 13:00:00;  5,48
31.07.1992 09:45:00;  3,07
31.08.1992 09:30:00;  2,13
28.09.1992 02:45:00;  2,13
17.10.1992 07:30:00;  2,33
21.11.1992 07:15:00;  2,47
30.12.1992 02:15:00;  1,71
31.01.1993 07:45:00;  1,21
28.02.1993 13:15:00;  1,04
05.03.1993 09:30:00;  1,04
01.04.1993 11:15:00;  1,91
03.05.1993 11:45:00;  7,92
15.06.1993 21:45:00;  4,35
10.07.1993 10:00:00;  3,01
22.08.1993 20:15:00;  2,77
24.09.1993 18:30:00;  2,07
01.10.1993 04:30:00;  2,50
28.11.1993 11:30:00;  1,24
29.12.1993 02:00:00; 0,739
21.01.1994 16:15:00; 0,447
21.02.1994 04:45:00; 0,356
05.03.1994 06:30:00; 0,497
14.04.1994 03:45:00;  2,13
08.05.1994 10:00:00;  7,08
30.06.1994 14:15:00;  6,73
31.07.1994 13:30:00;  2,53
04.08.1994 23:15:00;  2,02
07.09.1994 19:45:00;  2,67
18.10.1994 14:45:00;  1,91
10.11.1994 18:30:00;  1,80
09.12.1994 23:30:00;  1,59
31.01.1995 12:15:00;  1,15
01.02.1995 05:00:00;  1,15
08.03.1995 00:30:00;  1,15
01.04.1995 02:45:00;  1,40
23.05.1995 02:45:00;  5,30
18.06.1995 08:00:00;  9,07
26.07.1995 13:00:00;  4,00
03.08.1995 15:30:00;  2,67
30.09.1995 19:30:00;  3,81
30.10.1995 16:15:00;  1,69
30.11.1995 21:30:00;  1,40
29.12.1995 09:30:00;  1,00
28.01.1996 15:15:00; 0,931
22.02.1996 16:45:00; 0,743
08.03.1996 00:15:00; 0,743
01.04.1996 07:00:00;  1,00
06.05.1996 10:45:00;  4,77
17.06.1996 12:45:00;  2,50
23.07.1996 07:45:00;  2,50
01.08.1996 13:00:00;  2,20
01.09.1996 00:00:00;  3,56
31.10.1996 01:15:00;  2,76
10.11.1996 11:30:00;  2,47
27.12.1996 13:45:00;  1,31
12.01.1997 09:49:15;  1,12
17.02.1997 02:11:50;  1,03
01.03.1997 16:18:25;  1,14
01.04.1997 08:28:55;  1,34
02.05.1997 10:12:50;  3,02
02.06.1997 13:20:40;  5,65
31.07.1997 18:04:10;  5,48
28.08.1997 12:27:45;  2,53
30.09.1997 11:58:40;  1,60
01.10.1997 00:00:00;  1,69
05.11.1997 14:28:05;  1,67
06.12.1997 22:25:50;  1,50
31.01.1998 23:59:55;  1,13
08.02.1998 21:27:50;  1,01
11.03.1998 08:19:25;  1,12
19.04.1998 23:50:35;  2,08
26.05.1998 10:46:50;  5,44
18.06.1998 21:25:00;  6,18
31.07.1998 08:13:55;  4,92
31.08.1998 16:02:55;  3,16
01.09.1998 00:00:00;  3,16
30.10.1998 10:01:00;  3,16
29.11.1998 06:00:20;  2,23
30.12.1998 06:10:15;  1,45
30.01.1999 11:21:35;  1,13
23.02.1999 12:06:20; 0,665
01.03.1999 03:53:55;  1,28
01.04.1999 08:28:25;  2,34
01.05.1999 14:57:55;  10,1
30.06.1999 14:22:00;  6,07
21.07.1999 12:21:40;  4,23
06.08.1999 17:41:35;  3,60
28.09.1999 01:02:40;  2,70
31.10.1999 21:45:30;  2,33
26.11.1999 22:08:00;  1,78
31.12.1999 00:33:30;  1,30
12.01.2000 03:34:55;  1,28
24.02.2000 05:59:10;  1,35
21.03.2000 00:30:45;  1,43
02.04.2000 08:36:25;  2,15
24.05.2000 12:44:15;  6,83
20.06.2000 15:27:40;  3,43
01.07.2000 13:45:35;  3,68
27.08.2000 19:52:20;  3,28
29.09.2000 17:26:30;  2,85
01.10.2000 01:17:25;  2,84
02.11.2000 09:45:55;  3,32
31.12.2000 23:59:55;  1,85
24.01.2001 01:09:20;  1,31
02.02.2001 13:05:50;  1,37
01.03.2001 22:42:55;  1,44
23.04.2001 02:29:45;  2,95
22.05.2001 08:51:55;  10,8
28.06.2001 21:15:00;  7,25
31.07.2001 13:15:00;  2,92
30.08.2001 12:45:00;  1,40
04.09.2001 12:00:00;  2,92
31.10.2001 23:59:55;  2,13
22.11.2001 04:45:00;  1,54
24.12.2001 14:45:00;  1,19
23.01.2002 11:17:50;  1,04
22.02.2002 08:09:05;  1,04
04.03.2002 09:03:10;  1,20
11.04.2002 05:15:30;  2,23
01.05.2002 06:11:00;  6,18
27.06.2002 19:41:00;  3,79
14.07.2002 11:47:50;  2,84
04.08.2002 20:25:30;  3,19
20.09.2002 13:36:20;  2,88
31.10.2002 23:59:55;  3,29
11.11.2002 05:24:35;  2,80
31.12.2002 23:59:55;  2,34
25.01.2003 23:45:00;  1,61
19.02.2003 22:00:00;  1,26
03.03.2003 11:15:00;  1,26
07.04.2003 06:30:00;  1,31
17.05.2003 08:45:00;  5,49
24.06.2003 12:30:00;  3,08
22.07.2003 14:00:00;  2,27
25.08.2003 20:45:00;  1,40
06.09.2003 18:30:00;  2,02
02.10.2003 13:45:00;  2,02
21.11.2003 10:45:00;  2,50
24.12.2003 10:30:00;  1,34
21.01.2004 09:15:00;  1,18
17.02.2004 10:45:00;  1,11
01.03.2004 00:00:00;  1,18
01.04.2004 05:45:00;  2,64
11.05.2004 09:45:00;  5,05
23.06.2004 13:15:00;  10,2
25.07.2004 01:15:00;  4,59
18.08.2004 14:15:00;  2,45
22.09.2004 07:00:00;  3,03
26.10.2004 12:30:00;  2,77
29.11.2004 12:00:00;  2,13
30.12.2004 12:30:00;  1,18
23.01.2005 08:15:00;  1,18
28.02.2005 08:37:40; 0,970
14.03.2005 08:00:00; 0,848
12.04.2005 03:30:00;  2,92
12.05.2005 14:30:00;  5,27
11.06.2005 07:30:00;  5,48
30.07.2005 15:00:00;  4,56
10.08.2005 15:15:00;  3,67
09.09.2005 12:00:00;  2,76
29.10.2005 17:15:00;  2,38
25.11.2005 03:45:00;  1,33
23.12.2005 13:15:00;  1,12
21.01.2006 14:00:00;  1,05
27.02.2006 23:08:40; 0,933
18.03.2006 22:00:00; 0,828
08.04.2006 04:15:00;  2,50
11.05.2006 10:45:00;  9,21
08.06.2006 10:45:00;  7,63
28.07.2006 11:15:00;  2,44
01.08.2006 00:00:00;  3,61
29.09.2006 21:15:00;  2,50
26.10.2006 07:45:00;  2,04
08.11.2006 03:45:00;  2,04
14.12.2006 10:30:00;  1,65
15.01.2007 03:15:00;  1,33
20.02.2007 07:30:00;  1,18
04.03.2007 08:30:00;  1,43
01.04.2007 12:30:00;  2,50
31.05.2007 05:30:00;  3,73
19.06.2007 15:00:00;  3,07
23.07.2007 13:00:00;  3,73
28.08.2007 21:30:00;  2,38
02.09.2007 17:00:00;  3,53
16.10.2007 14:00:00;  2,44
15.11.2007 06:30:00;  2,33
31.12.2007 23:59:55;  1,71
26.01.2008 11:15:00;  1,36
09.02.2008 20:30:00;  1,30
26.03.2008 14:15:00;  1,57
08.04.2008 05:15:00;  1,74
06.05.2008 10:00:00;  6,44
28.06.2008 19:00:00;  5,37
11.07.2008 17:30:00;  4,16
31.08.2008 19:15:00;  3,50
30.09.2008 09:30:00;  2,61
28.10.2008 22:00:00;  2,35
22.11.2008 23:45:00;  1,94
31.12.2008 23:59:55;  1,54
16.01.2009 14:00:00;  1,12
23.02.2009 08:15:00; 0,993
01.03.2009 03:15:00;  1,12
01.04.2009 00:00:00;  1,89
01.05.2009 05:30:00;  7,38
15.06.2009 13:00:00;  6,47
30.07.2009 16:30:00;  4,43
28.08.2009 11:45:00;  2,55
30.09.2009 23:59:55;  3,26
20.10.2009 09:00:00;  2,42
27.11.2009 12:45:00;  1,89
15.12.2009 02:45:00;  1,50
20.01.2010 23:30:00;  1,36
14.02.2010 05:00:00;  1,23
08.03.2010 09:15:00; 0,713
03.04.2010 06:00:00;  1,48
20.05.2010 19:15:00;  3,42
30.06.2010 13:30:00;  4,96
11.07.2010 16:00:00;  2,75
23.08.2010 17:00:00;  3,33
24.09.2010 20:15:00;  3,90
27.10.2010 08:30:00;  2,01
30.11.2010 03:15:00;  2,26
30.12.2010 02:54:05;  1,88
29.01.2011 14:20:40;  1,23
23.02.2011 11:15:00; 0,903
08.03.2011 09:07:30; 0,795
01.04.2011 00:00:00;  1,46
07.05.2011 13:15:00;  2,15
29.06.2011 16:00:00;  1,90
13.07.2011 13:15:00;  1,46
30.08.2011 08:00:00;  1,54
18.09.2011 10:30:00;  1,33
06.10.2011 08:45:00;  1,32
23.11.2011 11:15:00;  1,14
16.12.2011 12:30:00;  1,08
07.01.2012 02:00:00;  1,00
10.02.2012 07:46:10;  1,02
13.03.2012 09:30:00;  1,11
18.04.2012 12:45:00;  1,62
08.05.2012 11:00:00;  2,94
28.06.2012 09:45:00;  2,33
06.07.2012 07:45:00;  2,07
30.08.2012 13:30:00;  2,56
04.09.2012 10:30:00;  2,97
10.10.2012 12:45:00;  1,82
26.11.2012 17:15:00;  1,74
11.12.2012 10:45:00;  1,43
04.01.2013 12:30:00;  1,50
25.02.2013 09:15:00;  1,18
01.03.2013 11:45:00;  1,02
09.04.2013 12:00:00;  1,57
24.05.2013 22:00:00;  1,95
29.06.2013 01:45:00;  1,22
17.07.2013 16:30:00; 0,463
05.08.2013 14:00:00; 0,168
07.09.2013 15:30:00;  2,33
04.10.2013 07:00:00;  1,74
21.11.2013 15:45:00;  2,33
16.12.2013 11:15:00;  1,43
17.01.2014 09:30:00;  1,23
18.02.2014 12:15:00;  1,18
01.03.2014 03:00:00;  1,07
04.04.2014 08:45:00;  2,21
08.05.2014 07:15:00;  5,99
04.06.2014 08:30:00;  2,92
20.07.2014 21:30:00;  1,70
19.08.2014 19:45:00;  1,71
20.09.2014 20:45:00;  2,20
22.10.2014 00:30:00; 0,663
