Messstelle:                ;Deutsch Brodersdorf (Messseilbahn)
09.09.1980 11:30:00;  1,33
04.10.1980 10:00:00;  1,47
15.11.1980 14:30:00;  4,88
12.12.1980 15:30:00;  4,13
23.01.1981 17:30:00;  2,80
07.02.1981 16:30:00;  3,34
06.03.1981 12:30:00;  3,28
22.04.1981 21:00:00;  3,29
16.05.1981 08:30:00;  1,97
15.06.1981 01:00:00; 0,683
13.07.1981 09:30:00;  1,18
07.08.1981 17:00:00;  1,26
13.09.1981 03:30:00; 0,864
10.10.1981 11:00:00;  2,68
07.11.1981 09:30:00;  3,39
19.12.1981 10:00:00;  3,22
16.01.1982 11:00:00;  2,39
20.02.1982 09:30:00;  2,59
06.03.1982 10:00:00;  3,24
03.04.1982 09:00:00;  2,39
04.05.1982 12:00:00;  3,59
20.06.1982 10:30:00;  1,36
17.07.1982 07:00:00;  4,30
30.08.1982 13:30:00;  6,28
13.09.1982 13:00:00;  2,35
01.10.1982 10:00:00;  5,22
21.11.1982 19:00:00;  5,74
04.12.1982 11:00:00;  6,10
02.01.1983 21:00:00;  9,24
26.02.1983 10:00:00;  6,82
26.03.1983 09:30:00;  6,94
11.04.1983 01:30:00;  5,08
21.05.1983 09:30:00;  3,21
18.06.1983 11:00:00;  3,10
16.07.1983 09:00:00;  2,17
22.08.1983 22:30:00;  1,12
12.09.1983 08:30:00; 0,848
31.10.1983 17:00:00;  1,08
20.11.1983 11:30:00;  1,22
05.12.1983 19:00:00;  1,04
07.01.1984 12:30:00;  1,42
13.02.1984 18:30:00;  1,06
17.03.1984 10:30:00;  1,59
01.04.1984 00:30:00;  5,47
05.05.1984 10:00:00;  3,59
18.06.1984 06:00:00;  2,29
20.07.1984 15:00:00;  1,31
01.08.1984 10:00:00;  1,66
10.09.1984 21:30:00;  1,10
22.10.1984 17:30:00;  2,74
03.11.1984 11:00:00;  1,26
22.12.1984 11:00:00;  1,01
24.01.1985 07:00:00; 0,506
01.02.1985 00:00:00; 0,842
20.03.1985 17:30:00;  2,17
22.04.1985 04:00:00;  2,48
03.05.1985 11:00:00;  3,95
30.06.1985 13:30:00;  4,50
14.07.1985 10:30:00;  2,12
17.08.1985 10:30:00;  1,78
15.09.1985 14:30:00;  1,86
05.10.1985 12:00:00;  1,22
23.11.1985 13:00:00;  2,12
14.12.1985 17:00:00;  2,08
04.01.1986 13:00:00;  2,88
12.02.1986 19:45:00;  1,17
01.03.1986 09:00:00;  1,73
23.04.1986 06:45:00;  8,18
16.05.1986 17:30:00;  4,77
28.06.1986 19:00:00;  3,73
27.07.1986 19:15:00;  1,41
16.08.1986 11:30:00;  1,12
27.09.1986 10:30:00;  1,06
05.10.1986 14:15:00; 0,973
17.11.1986 19:00:00; 0,955
26.12.1986 23:15:00; 0,877
19.01.1987 10:15:00; 0,679
05.02.1987 12:15:00; 0,610
21.03.1987 15:15:00;  4,11
16.04.1987 20:30:00;  9,54
01.05.1987 03:30:00;  12,1
15.06.1987 03:00:00;  8,18
10.07.1987 15:45:00;  4,31
29.08.1987 10:00:00;  4,90
15.09.1987 08:30:00;  1,80
10.10.1987 09:45:00;  1,68
18.11.1987 09:30:00;  1,45
03.12.1987 11:30:00;  3,07
22.01.1988 11:15:00;  2,52
07.02.1988 08:00:00;  2,67
03.03.1988 06:45:00;  4,36
29.04.1988 08:45:00;  9,41
16.05.1988 16:30:00;  4,36
03.06.1988 14:00:00;  7,24
22.07.1988 20:15:00;  1,86
13.08.1988 19:15:00;  2,62
11.09.1988 17:45:00;  1,74
15.10.1988 11:00:00;  2,56
30.11.1988 09:15:00;  1,62
10.12.1988 16:15:00;  4,85
21.01.1989 16:00:00;  3,63
11.02.1989 09:15:00;  5,59
24.03.1989 17:15:00;  4,17
22.04.1989 09:45:00;  4,36
01.05.1989 00:00:00;  8,02
17.06.1989 09:00:00;  5,48
29.07.1989 09:00:00;  8,29
26.08.1989 10:15:00;  8,84
24.09.1989 15:45:00;  8,02
28.10.1989 15:30:00;  4,95
04.11.1989 10:30:00;  4,95
29.12.1989 11:30:00;  2,81
13.01.1990 09:45:00;  2,11
02.02.1990 19:00:00;  1,97
16.03.1990 15:45:00;  4,08
14.04.1990 09:15:00;  2,35
05.05.1990 14:30:00;  4,45
02.06.1990 08:30:00;  4,26
25.07.1990 19:30:00;  2,81
15.08.1990 11:45:00;  2,52
30.09.1990 15:00:00;  1,51
01.10.1990 11:45:00;  1,74
17.11.1990 10:00:00;  1,86
28.12.1990 18:30:00;  1,62
20.01.1991 21:00:00;  1,98
10.02.1991 14:30:00;  1,98
02.03.1991 18:45:00;  2,24
06.04.1991 20:30:00;  1,74
01.05.1991 14:30:00;  4,36
25.06.1991 08:00:00;  6,04
13.07.1991 19:30:00;  5,38
31.08.1991 07:15:00;  11,5
30.09.1991 08:30:00;  5,38
19.10.1991 10:00:00;  4,36
12.11.1991 10:45:00;  4,95
17.12.1991 00:15:00;  7,97
06.01.1992 09:30:00;  8,02
10.02.1992 14:00:00;  6,56
21.03.1992 10:15:00;  7,05
17.04.1992 13:00:00;  6,10
29.05.1992 13:45:00;  7,05
03.06.1992 05:00:00;  6,33
24.07.1992 09:45:00;  2,55
28.08.1992 13:30:00;  1,76
29.09.1992 12:45:00;  1,53
01.10.1992 14:30:00;  1,88
14.11.1992 09:30:00;  4,60
25.12.1992 07:00:00;  6,81
03.01.1993 13:45:00;  4,80
13.02.1993 12:15:00;  5,98
11.03.1993 14:00:00;  5,76
01.04.1993 12:00:00;  7,68
26.05.1993 05:45:00;  7,43
15.06.1993 09:00:00;  3,93
11.07.1993 01:45:00;  5,11
22.08.1993 10:15:00;  5,11
29.09.1993 10:15:00;  3,22
01.10.1993 17:45:00;  1,66
28.11.1993 08:15:00;  7,43
15.12.1993 12:45:00;  5,98
22.01.1994 15:15:00;  8,70
16.02.1994 15:45:00;  5,76
06.03.1994 06:00:00;  7,17
08.04.1994 11:30:00;  4,30
17.05.1994 11:30:00;  5,53
26.06.1994 23:15:00;  5,32
30.07.1994 15:30:00;  4,30
01.08.1994 13:15:00;  3,22
23.09.1994 12:45:00;  2,30
16.10.1994 13:30:00;  2,45
02.11.1994 11:00:00;  2,74
28.12.1994 12:15:00;  4,12
15.01.1995 18:00:00;  3,57
02.02.1995 14:15:00;  6,92
22.03.1995 13:00:00;  5,76
01.04.1995 21:30:00;  8,70
27.05.1995 10:45:00;  5,98
01.06.1995 05:30:00;  5,98
26.07.1995 05:45:00;  5,31
07.08.1995 20:15:00;  4,11
30.09.1995 09:45:00;  2,81
21.10.1995 20:00:00;  3,22
08.11.1995 18:00:00;  2,60
14.12.1995 19:45:00;  4,90
16.01.1996 15:45:00;  3,22
06.02.1996 10:30:00;  3,40
01.03.1996 13:15:00;  3,63
02.04.1996 16:15:00;  10,9
08.05.1996 00:45:00;  22,8
18.06.1996 21:30:00;  11,4
27.07.1996 23:45:00;  11,1
24.08.1996 22:30:00;  8,70
01.09.1996 06:00:00;  10,5
16.10.1996 16:30:00;  11,7
28.11.1996 12:30:00;  12,0
29.12.1996 22:15:00;  5,98
24.01.1997 12:33:10;  5,05
11.02.1997 14:41:00;  4,45
13.03.1997 02:25:40;  6,28
01.04.1997 19:58:45;  16,3
20.05.1997 16:50:55;  12,9
14.06.1997 06:24:45;  9,06
05.07.1997 06:37:55;  8,71
15.08.1997 06:48:55;  9,69
19.09.1997 14:46:15;  4,40
19.10.1997 14:41:55;  4,54
06.11.1997 15:23:00;  5,84
09.12.1997 15:54:10;  7,53
27.01.1998 17:22:30;  3,66
06.02.1998 11:34:20;  2,70
13.03.1998 23:36:15;  3,71
27.04.1998 23:19:15;  6,56
15.05.1998 19:51:20;  4,19
08.06.1998 13:53:05;  2,12
01.07.1998 09:47:20;  5,82
14.08.1998 07:29:20;  5,30
12.09.1998 20:07:00;  5,99
13.10.1998 16:12:30;  7,72
03.11.1998 17:24:20;  6,29
10.12.1998 15:42:45;  6,24
31.01.1999 10:40:25;  4,89
01.02.1999 20:43:20;  5,75
25.03.1999 18:19:05;  9,15
02.04.1999 15:47:50;  10,9
20.05.1999 09:39:10;  14,5
28.06.1999 08:51:25;  11,0
07.07.1999 07:18:00;  9,48
06.08.1999 09:58:00;  11,6
26.09.1999 11:53:15;  11,9
27.10.1999 20:33:35;  6,82
20.11.1999 17:32:30;  5,99
31.12.1999 20:11:55;  6,74
25.01.2000 16:00:00;  4,98
24.02.2000 10:15:00;  10,6
08.03.2000 09:00:00;  10,8
28.04.2000 03:15:00;  19,3
31.05.2000 08:30:00;  6,81
30.06.2000 19:45:00;  4,10
02.07.2000 14:00:00;  3,61
30.08.2000 15:20:00;  3,80
22.09.2000 23:15:00;  2,96
01.10.2000 19:00:00;  2,88
29.11.2000 16:00:05;  2,57
23.12.2000 10:45:00;  2,99
24.01.2001 23:00:00;  3,48
23.02.2001 14:15:00;  2,82
03.03.2001 13:00:00;  2,94
30.04.2001 18:15:00;  5,19
30.05.2001 15:45:00;  2,33
28.06.2001 10:45:00;  2,44
17.07.2001 02:45:00;  1,03
28.08.2001 22:15:00;  1,07
14.09.2001 15:00:00;  1,36
24.10.2001 13:00:00;  2,40
04.11.2001 16:30:00;  1,47
18.12.2001 13:15:00;  2,12
17.01.2002 12:30:00;  2,32
12.02.2002 09:30:00;  3,70
13.03.2002 08:30:00;  4,00
18.04.2002 23:15:00;  6,25
12.05.2002 21:30:00;  4,94
04.06.2002 06:30:00;  4,51
15.07.2002 11:30:00;  4,93
01.08.2002 11:00:00;  6,04
22.09.2002 10:30:00;  2,86
01.10.2002 09:30:00;  5,00
20.11.2002 18:00:00;  6,26
01.12.2002 16:15:00;  8,21
13.01.2003 17:30:00;  7,77
14.02.2003 00:30:00;  8,67
31.03.2003 23:30:00;  8,82
30.04.2003 20:15:00;  7,60
08.05.2003 13:50:00;  6,96
13.06.2003 11:55:00;  4,20
17.07.2003 05:25:00;  3,31
16.08.2003 05:55:00;  1,50
08.09.2003 13:15:00;  1,45
24.10.2003 20:35:00;  2,04
20.11.2003 16:30:00;  2,07
25.12.2003 15:40:00;  1,93
06.01.2004 16:15:00;  2,15
01.02.2004 10:50:00;  2,79
06.03.2004 16:05:00;  5,86
14.04.2004 15:20:00;  7,27
12.05.2004 23:15:00;  9,38
19.06.2004 18:00:00;  10,1
22.07.2004 05:05:00;  1,20
31.08.2004 11:40:00;  3,21
23.09.2004 09:05:00;  2,05
01.10.2004 16:50:00;  1,64
03.11.2004 11:00:00;  2,71
22.12.2004 08:15:00;  2,14
18.01.2005 21:00:00;  3,22
11.02.2005 03:35:00;  2,36
02.03.2005 20:10:00;  2,92
16.04.2005 06:50:00;  8,20
17.05.2005 19:30:00;  7,50
20.06.2005 05:50:00;  5,21
07.07.2005 14:50:00;  3,43
13.08.2005 08:25:00;  3,61
06.09.2005 21:10:00;  7,84
29.10.2005 14:20:00;  3,42
28.11.2005 08:25:00;  2,74
12.12.2005 06:15:00;  2,98
26.01.2006 03:35:00;  2,63
14.02.2006 17:45:00;  1,95
20.03.2006 08:20:00;  5,39
14.04.2006 09:30:00;  12,0
27.05.2006 07:45:00;  9,24
02.06.2006 09:10:00;  10,9
22.07.2006 05:15:00;  5,65
27.08.2006 02:15:00;  6,44
13.09.2006 17:15:00;  1,41
29.10.2006 13:00:00;  1,09
08.11.2006 09:20:00;  3,12
27.12.2006 10:50:00;  3,48
10.01.2007 10:45:00;  3,40
02.02.2007 12:50:00;  5,03
16.03.2007 13:20:00;  5,79
25.04.2007 15:05:00;  3,48
03.05.2007 11:40:00;  3,06
13.06.2007 09:05:00;  2,39
27.07.2007 15:25:00;  1,30
07.08.2007 10:15:00; 0,099
04.09.2007 00:50:00;  2,58
19.10.2007 11:55:00;  4,38
06.11.2007 17:30:00;  6,84
30.12.2007 14:45:00;  9,44
27.01.2008 10:23:25;  7,31
28.02.2008 11:55:00;  6,72
04.03.2008 15:15:00;  5,15
08.04.2008 14:25:00;  5,26
27.05.2008 12:50:00;  4,51
01.06.2008 11:45:00;  5,73
06.07.2008 09:55:00;  7,67
31.08.2008 13:30:00;  10,5
21.09.2008 08:30:00;  6,62
25.10.2008 15:30:00;  5,72
06.11.2008 15:20:00;  2,59
09.12.2008 22:05:00;  8,11
14.01.2009 16:55:00;  6,46
02.02.2009 11:50:00;  7,41
04.03.2009 15:45:00;  9,26
26.04.2009 04:35:00;  21,7
28.05.2009 11:45:00;  12,0
18.06.2009 09:05:00;  10,1
31.07.2009 16:05:00;  11,7
27.08.2009 11:55:00;  10,2
12.09.2009 10:35:00;  9,09
12.10.2009 08:00:00;  6,65
30.11.2009 10:35:00;  8,56
21.12.2009 16:10:00;  6,38
26.01.2010 10:40:05;  4,69
15.02.2010 20:05:00;  4,38
15.03.2010 08:55:00;  7,38
07.04.2010 11:25:00;  6,86
01.05.2010 08:20:00;  8,35
14.06.2010 03:00:00;  9,65
13.07.2010 19:50:00;  6,95
26.08.2010 09:20:00;  5,06
14.09.2010 15:25:00;  2,58
31.10.2010 08:40:00;  4,98
15.11.2010 07:15:00;  4,78
05.12.2010 05:30:00;  5,65
06.01.2011 12:00:00;  6,63
24.02.2011 14:20:00;  5,29
11.03.2011 12:45:00;  3,98
23.04.2011 07:15:00;  4,03
23.05.2011 17:25:00;  3,20
18.06.2011 17:55:00;  4,18
17.07.2011 10:50:00;  3,35
04.08.2011 02:05:00;  4,01
30.09.2011 11:05:00;  3,52
06.10.2011 08:50:00;  3,09
26.11.2011 16:30:00;  2,73
21.12.2011 11:35:00;  1,92
01.01.2012 19:20:00;  2,01
21.02.2012 19:50:00;  1,46
29.03.2012 08:45:00;  6,00
24.04.2012 11:50:00;  5,39
26.05.2012 18:40:00;  4,28
03.06.2012 17:50:00;  4,12
08.07.2012 02:15:00;  4,31
31.08.2012 13:20:00;  4,09
24.09.2012 14:40:00;  2,00
09.10.2012 17:50:00;  3,35
01.11.2012 06:30:00;  5,17
13.12.2012 10:45:00;  4,08
27.01.2013 18:25:00;  5,99
20.02.2013 21:10:00;  6,58
02.03.2013 07:05:00;  9,22
04.04.2013 13:05:00;  11,8
30.05.2013 10:40:00;  12,8
22.06.2013 11:55:00;  9,83
31.07.2013 01:25:00;  5,47
03.08.2013 15:45:00;  4,31
08.09.2013 16:35:00;  6,32
29.10.2013 18:55:00;  9,02
19.11.2013 13:30:00;  8,16
26.12.2013 10:30:00;  8,81
29.01.2014 12:40:00;  6,40
01.02.2014 13:15:00;  6,91
31.03.2014 15:25:00;  5,22
08.04.2014 11:50:00;  5,61
10.05.2014 11:25:00;  7,46
30.06.2014 02:25:00;  5,43
21.07.2014 02:25:00;  6,18
19.08.2014 14:25:00;  9,69
01.09.2014 02:30:00;  12,9
14.10.2014 17:50:00;  11,2
17.11.2014 12:05:00;  10,5
31.12.2014 10:25:00;  10,1
28.01.2015 10:05:00;  9,39
18.02.2015 18:00:00;  7,79
29.03.2015 06:50:00;  8,54
26.04.2015 11:30:00;  9,03
19.05.2015 09:50:00;  8,05
30.06.2015 10:25:00;  6,12
21.07.2015 11:35:00;  2,47
30.08.2015 16:50:00;  2,13
24.09.2015 15:45:00;  1,72
01.10.2015 15:20:00;  2,39
09.11.2015 11:20:00;  1,80
25.12.2015 04:10:00;  2,48
09.01.2016 19:20:00;  2,04
17.02.2016 10:40:00;  5,27
15.03.2016 12:30:00;  4,62
13.04.2016 15:25:00;  4,83
01.05.2016 12:10:00;  5,18
30.06.2016 14:00:00;  7,54
12.07.2016 13:00:00;  6,23
05.08.2016 12:25:00;  9,78
26.09.2016 14:40:00;  5,01
03.10.2016 09:50:00;  5,46
02.11.2016 12:30:00;  5,23
31.12.2016 15:00:00;  7,01
08.01.2017 08:55:00;  4,48
21.02.2017 13:25:00;  5,27
18.03.2017 13:40:00;  7,72
17.04.2017 06:30:00;  6,98
31.05.2017 10:25:00;  6,44
21.06.2017 11:00:00;  4,00
19.07.2017 07:05:00;  2,87
31.08.2017 15:25:00;  4,58
10.09.2017 15:15:00;  3,82
18.10.2017 17:50:00;  4,99
30.11.2017 14:25:00;  6,34
10.12.2017 18:35:00;  5,97
02.01.2018 13:20:00;  5,09
26.02.2018 18:35:00;  4,46
03.03.2018 10:30:00;  4,16
23.04.2018 09:30:00;  7,77
27.05.2018 10:40:00;  5,79
01.06.2018 12:10:00;  6,96
31.07.2018 11:50:00;  7,34
29.08.2018 05:15:00;  4,43
30.09.2018 14:45:00;  2,46
15.10.2018 15:00:00; 0,831
25.11.2018 15:35:00;  3,27
02.12.2018 09:25:00;  5,05
11.01.2019 10:40:00;  5,83
21.02.2019 16:30:00;  6,53
31.03.2019 09:45:00;  7,90
19.04.2019 11:20:00;  7,38
08.05.2019 08:55:00;  9,07
30.06.2019 10:35:00;  5,89
27.07.2019 04:55:00;  2,26
11.08.2019 18:35:00;  2,01
30.09.2019 11:55:00;  2,39
12.10.2019 05:55:00;  2,08
04.11.2019 10:05:00;  2,35
21.12.2019 12:05:00;  3,07
27.01.2020 12:00:00;  2,62
01.02.2020 00:00:00;  3,72
17.03.2020 17:10:00;  4,55
26.04.2020 16:20:00;  3,36
23.05.2020 18:00:00;  1,90
01.06.2020 00:00:00;  3,71
25.07.2020 00:10:00;  3,95
02.08.2020 18:35:00;  3,82
23.09.2020 11:45:00;  3,93
10.10.2020 15:50:00;  6,86
25.11.2020 13:10:00;  5,69
22.12.2020 14:25:00;  4,62
12.01.2021 09:10:00;  4,14
25.02.2021 05:30:00;  8,40
31.03.2021 16:50:00;  4,95
21.04.2021 15:15:00;  4,85
09.05.2021 08:20:00;  4,71
30.06.2021 17:45:00;  3,16
14.07.2021 07:10:00;  1,58
15.08.2021 20:05:00;  5,32
25.09.2021 04:30:00; 0,801
28.10.2021 16:50:00;  2,17
01.11.2021 17:50:00;  2,44
22.12.2021 10:45:00;  2,85
