Messstelle:                ;Weichselboden
18.02.1984 07:00:00; 0,219
13.03.1984 11:00:00; 0,257
01.04.1984 12:00:00;  1,05
01.05.1984 13:00:00;  1,59
24.06.1984 22:00:00; 0,366
14.07.1984 10:00:00; 0,371
25.08.1984 06:00:00; 0,417
06.09.1984 15:00:00; 0,242
30.10.1984 07:00:00; 0,229
14.11.1984 11:00:00; 0,108
31.12.1984 23:59:55; 0,057
01.01.1985 08:00:00; 0,033
01.02.1985 00:00:00; 0,182
21.03.1985 08:00:00; 0,300
30.04.1985 23:59:55; 0,964
01.05.1985 07:00:00; 0,913
30.06.1985 23:59:55; 0,633
16.07.1985 12:00:00; 0,199
26.08.1985 06:00:00; 0,043
25.09.1985 03:00:00; 0,216
24.10.1985 09:00:00; 0,246
28.11.1985 06:00:00; 0,047
01.12.1985 00:00:00; 0,120
01.01.1986 00:00:00; 0,691
25.02.1986 03:00:00; 0,622
03.03.1986 13:00:00; 0,729
15.04.1986 12:45:00;  1,94
28.05.1986 16:00:00;  1,31
29.06.1986 18:15:00;  1,12
18.07.1986 10:00:00; 0,683
04.08.1986 15:00:00; 0,700
30.09.1986 23:59:55; 0,669
17.10.1986 18:00:00; 0,378
23.11.1986 15:00:00; 0,758
14.12.1986 05:30:00; 0,596
31.01.1987 14:00:00; 0,279
06.02.1987 18:45:00; 0,279
22.03.1987 11:30:00; 0,322
02.04.1987 10:45:00; 0,872
23.05.1987 00:45:00;  2,09
30.06.1987 10:15:00;  1,01
24.07.1987 21:00:00; 0,428
31.08.1987 23:59:55; 0,468
19.09.1987 05:45:00; 0,279
12.10.1987 02:30:00; 0,242
02.11.1987 09:15:00; 0,322
13.12.1987 07:45:00; 0,371
18.01.1988 08:45:00; 0,279
15.02.1988 12:15:00; 0,279
11.03.1988 00:00:00; 0,371
03.04.1988 18:00:00;  2,09
30.05.1988 12:00:00; 0,872
27.06.1988 21:30:00; 0,428
27.07.1988 17:30:00; 0,279
21.08.1988 00:45:00; 0,279
02.09.1988 10:30:00; 0,493
18.10.1988 01:15:00; 0,123
10.11.1988 17:45:00; 0,150
19.12.1988 03:45:00; 0,417
24.01.1989 12:15:00; 0,371
01.02.1989 00:00:00; 0,605
03.03.1989 06:30:00;  1,01
30.04.1989 18:45:00; 0,757
29.05.1989 11:15:00; 0,757
15.06.1989 20:45:00; 0,872
25.07.1989 16:00:00; 0,493
27.08.1989 18:00:00; 0,322
24.09.1989 21:00:00; 0,493
30.10.1989 12:30:00; 0,322
30.11.1989 06:30:00; 0,242
12.12.1989 17:30:00; 0,242
06.01.1990 00:00:00; 0,242
08.02.1990 00:30:00; 0,242
31.03.1990 15:00:00; 0,656
13.04.1990 17:00:00; 0,210
31.05.1990 23:59:55; 0,118
02.06.1990 22:30:00; 0,090
01.07.1990 23:15:00; 0,158
20.08.1990 14:15:00; 0,255
04.09.1990 06:00:00; 0,298
26.10.1990 00:15:00; 0,048
12.11.1990 01:45:00; 0,217
19.12.1990 07:30:00; 0,181
31.01.1991 23:50:00; 0,095
26.02.1991 15:00:00; 0,070
02.03.1991 15:15:00; 0,013
20.04.1991 14:15:00; 0,463
09.05.1991 13:00:00; 0,811
30.06.1991 23:59:55; 0,398
03.07.1991 11:15:00; 0,264
31.08.1991 23:59:55; 0,347
01.09.1991 23:50:00; 0,334
28.10.1991 09:45:00; 0,304
02.11.1991 12:00:00; 0,230
16.12.1991 23:30:00; 0,230
21.01.1992 09:15:00; 0,403
04.02.1992 02:45:00; 0,350
19.03.1992 02:15:00; 0,811
18.04.1992 14:00:00;  1,42
29.05.1992 13:45:00; 0,811
27.06.1992 00:45:00; 0,613
31.07.1992 11:15:00; 0,264
31.08.1992 23:59:55; 0,159
01.09.1992 04:15:00; 0,151
19.10.1992 16:00:00; 0,403
15.11.1992 09:30:00; 0,613
26.12.1992 03:00:00; 0,613
06.01.1993 00:15:00; 0,403
24.02.1993 13:45:00; 0,264
01.03.1993 23:30:00; 0,350
01.04.1993 00:00:00; 0,933
30.05.1993 16:15:00; 0,463
15.06.1993 22:00:00; 0,264
11.07.1993 09:45:00; 0,463
23.08.1993 01:30:00; 0,264
28.09.1993 15:15:00; 0,304
14.10.1993 14:30:00; 0,463
22.11.1993 19:15:00; 0,200
04.12.1993 00:15:00; 0,350
02.01.1994 07:00:00; 0,463
16.02.1994 03:15:00; 0,350
01.03.1994 16:15:00;  1,23
12.04.1994 12:30:00; 0,705
03.05.1994 13:00:00;  1,07
30.06.1994 23:59:55; 0,526
31.07.1994 23:59:55; 0,208
01.08.1994 02:00:00; 0,200
28.09.1994 17:30:00; 0,304
02.10.1994 12:45:00; 0,304
10.11.1994 16:30:00; 0,264
28.12.1994 05:00:00; 0,350
18.01.1995 12:00:00; 0,350
03.02.1995 16:00:00; 0,613
10.03.1995 05:45:00; 0,463
01.04.1995 07:00:00; 0,933
30.05.1995 10:45:00;  1,23
04.06.1995 14:45:00; 0,933
31.07.1995 17:30:00; 0,264
03.08.1995 04:30:00; 0,264
30.09.1995 23:59:55; 0,696
21.10.1995 01:15:00; 0,264
01.11.1995 00:00:00; 0,305
31.12.1995 23:59:55; 0,612
21.01.1996 07:15:00; 0,238
13.02.1996 03:15:00; 0,117
01.03.1996 03:00:00; 0,140
05.04.1996 11:30:00; 0,392
25.05.1996 15:45:00;  1,12
19.06.1996 06:30:00; 0,238
31.07.1996 06:00:00; 0,168
01.08.1996 08:45:00; 0,200
01.09.1996 15:30:00; 0,238
15.10.1996 07:45:00; 0,461
30.11.1996 06:30:00; 0,238
31.12.1996 11:00:00; 0,140
31.01.1997 10:04:20; 0,105
04.02.1997 19:09:00; 0,077
02.03.1997 08:50:45; 0,647
23.04.1997 08:36:10;  1,12
31.05.1997 23:59:55;  1,80
30.06.1997 23:59:55; 0,678
03.07.1997 19:14:30; 0,620
28.08.1997 19:38:20; 0,464
28.09.1997 01:12:50; 0,287
30.10.1997 10:15:30; 0,263
01.11.1997 04:58:45; 0,260
07.12.1997 19:42:45;  1,03
27.01.1998 09:25:35; 0,237
06.02.1998 17:26:50; 0,214
26.03.1998 18:55:30; 0,436
15.04.1998 09:04:45;  1,25
17.05.1998 19:59:05; 0,501
30.06.1998 18:05:50; 0,261
23.07.1998 02:28:10; 0,414
11.08.1998 20:42:25; 0,366
01.09.1998 09:02:30; 0,459
02.10.1998 18:26:00; 0,656
25.11.1998 15:36:45; 0,646
12.12.1998 08:11:10; 0,513
30.01.1999 04:01:05; 0,470
04.02.1999 13:31:00; 0,430
22.03.1999 03:46:25; 0,575
21.04.1999 10:00:15; 0,763
31.05.1999 18:13:20;  1,63
28.06.1999 18:50:45; 0,665
08.07.1999 01:06:25; 0,523
06.08.1999 10:55:00; 0,494
28.09.1999 18:32:15; 0,350
31.10.1999 23:59:55; 0,219
08.11.1999 03:19:45; 0,195
30.12.1999 22:56:40; 0,236
04.01.2000 06:44:50; 0,224
25.02.2000 13:24:55; 0,550
07.03.2000 08:25:10; 0,599
09.04.2000 09:19:25;  1,82
31.05.2000 17:38:55; 0,700
21.06.2000 19:39:15; 0,298
03.07.2000 16:25:15; 0,272
02.08.2000 20:19:25; 0,341
05.09.2000 09:47:15; 0,332
24.10.2000 02:45:00; 0,288
01.11.2000 00:00:00; 0,288
07.12.2000 02:00:00; 0,288
25.01.2001 08:45:00; 0,278
04.02.2001 22:30:00; 0,362
03.03.2001 01:45:00; 0,492
23.04.2001 17:15:00;  1,11
31.05.2001 23:59:55; 0,451
03.06.2001 14:00:00; 0,428
17.07.2001 16:00:00; 0,356
31.08.2001 09:36:05; 0,309
01.09.2001 02:22:15; 0,336
21.10.2001 01:00:00; 0,262
25.11.2001 00:00:00; 0,225
24.12.2001 10:30:00; 0,239
19.01.2002 00:30:00; 0,204
25.02.2002 02:00:00; 0,919
29.03.2002 10:00:00; 0,881
11.04.2002 07:45:00; 0,628
25.05.2002 19:00:00; 0,426
27.06.2002 00:45:00; 0,301
15.07.2002 01:15:00; 0,258
31.08.2002 21:15:00; 0,307
05.09.2002 06:15:00; 0,251
11.10.2002 22:00:00; 0,625
29.11.2002 15:15:00; 0,714
20.12.2002 09:15:00; 0,266
27.01.2003 11:30:00; 0,305
18.02.2003 07:45:00; 0,235
02.03.2003 04:30:00; 0,380
12.04.2003 07:45:00; 0,535
26.05.2003 13:00:00; 0,446
30.06.2003 22:45:00; 0,146
16.07.2003 02:45:00; 0,102
27.08.2003 07:30:00; 0,078
09.09.2003 05:45:00; 0,106
04.10.2003 04:45:00; 0,120
26.11.2003 10:45:00; 0,210
08.12.2003 06:30:00; 0,188
09.01.2004 03:15:00; 0,210
29.02.2004 23:15:00; 0,227
06.03.2004 07:45:00; 0,136
15.04.2004 09:15:00; 0,783
09.05.2004 14:15:00;  1,03
19.06.2004 16:45:00; 0,587
31.07.2004 22:15:00; 0,375
13.08.2004 23:00:00; 0,275
21.09.2004 17:30:00; 0,315
31.10.2004 01:00:00; 0,153
06.11.2004 16:00:00; 0,132
21.12.2004 02:15:00; 0,128
01.01.2005 00:00:00; 0,227
09.02.2005 08:15:00; 0,298
10.03.2005 01:00:00; 0,240
12.04.2005 11:15:00;  2,45
30.05.2005 10:15:00;  1,66
28.06.2005 06:15:00; 0,560
01.07.2005 09:30:00; 0,583
14.08.2005 05:15:00; 0,438
16.09.2005 03:15:00; 0,303
31.10.2005 04:45:00; 0,168
21.11.2005 04:00:00; 0,090
02.12.2005 08:15:00; 0,118
24.01.2006 03:00:00; 0,106
11.02.2006 05:30:00; 0,108
03.03.2006 08:15:00; 0,164
14.04.2006 02:45:00;  1,43
25.05.2006 12:45:00;  1,28
27.06.2006 16:45:00; 0,997
29.07.2006 00:00:00; 0,564
20.08.2006 14:30:00; 0,521
30.09.2006 23:30:00; 0,301
23.10.2006 08:00:00; 0,210
04.11.2006 18:00:00; 0,620
27.12.2006 11:00:00; 0,179
01.01.2007 04:45:00; 0,194
05.02.2007 11:30:00; 0,375
25.03.2007 10:30:00; 0,608
30.04.2007 16:45:00; 0,658
28.05.2007 17:30:00; 0,391
30.06.2007 23:30:00; 0,253
31.07.2007 23:45:00; 0,126
07.08.2007 08:15:00; 0,048
30.09.2007 22:30:00; 0,262
18.10.2007 01:15:00; 0,094
19.11.2007 11:30:00; 0,415
31.12.2007 21:45:00; 0,169
03.01.2008 06:45:00; 0,128
17.02.2008 09:15:00; 0,404
27.03.2008 07:00:00; 0,745
08.04.2008 09:15:00;  1,28
31.05.2008 12:00:00; 0,978
26.06.2008 19:30:00; 0,410
13.07.2008 10:00:00; 0,369
14.08.2008 23:30:00; 0,427
11.09.2008 21:30:00; 0,349
27.10.2008 08:30:00; 0,164
06.11.2008 08:00:00; 0,148
31.12.2008 11:00:00; 0,527
13.01.2009 14:30:00; 0,186
01.02.2009 23:00:00; 0,205
01.03.2009 00:00:00; 0,416
01.04.2009 00:00:00;  1,66
28.05.2009 18:15:00;  1,16
19.06.2009 16:45:00; 0,528
31.07.2009 23:30:00; 0,800
28.08.2009 07:45:00; 0,623
30.09.2009 23:00:00; 0,363
08.10.2009 08:15:00; 0,293
30.11.2009 00:00:00; 0,478
19.12.2009 04:15:00; 0,315
27.01.2010 08:15:00; 0,124
16.02.2010 07:30:00; 0,094
16.03.2010 23:45:00; 0,153
13.04.2010 13:45:00; 0,916
08.05.2010 15:15:00; 0,839
30.06.2010 23:59:55; 0,708
17.07.2010 07:30:00; 0,363
23.08.2010 09:30:00; 0,425
01.09.2010 07:30:00;  1,58
01.10.2010 00:00:00; Lücke
01.11.2010 00:00:00; Lücke
01.12.2010 00:00:00; Lücke
01.01.2011 00:00:00; Lücke
01.02.2011 00:00:00; Lücke
22.03.2011 09:30:00; 0,750
30.04.2011 14:00:00; 0,617
27.05.2011 06:15:00; 0,327
16.06.2011 04:45:00; 0,399
14.07.2011 04:30:00; 0,403
31.08.2011 07:00:00; 0,357
18.09.2011 01:00:00; 0,324
31.10.2011 22:00:00; 0,296
25.11.2011 08:45:00; 0,147
02.12.2011 09:00:00; 0,147
01.01.2012 00:00:00; 0,264
22.02.2012 00:00:00; 0,315
10.03.2012 22:30:00; 0,985
10.04.2012 15:00:00;  1,97
28.05.2012 15:00:00; 0,949
20.06.2012 16:45:00; 0,729
07.07.2012 20:15:00; 0,541
31.08.2012 02:45:00; 0,308
12.09.2012 04:00:00; 0,374
30.10.2012 05:15:00; 0,399
27.11.2012 07:45:00; 0,322
13.12.2012 07:15:00; 0,236
27.01.2013 06:45:00; 0,514
28.02.2013 08:13:00; 0,413
28.03.2013 09:28:00; 0,449
04.04.2013 03:13:00; 0,601
24.05.2013 19:13:00; 0,594
22.06.2013 16:28:00; 0,479
31.07.2013 21:43:00; 0,250
04.08.2013 00:43:00; 0,227
09.09.2013 06:13:00; 0,413
10.10.2013 02:13:00; 0,313
03.11.2013 06:58:00; 0,369
03.12.2013 09:13:00; 0,514
30.01.2014 06:58:00; 0,246
15.02.2014 06:43:00; 0,374
07.03.2014 09:43:00; 0,354
05.04.2014 14:13:00; 0,902
06.05.2014 15:58:00; 0,650
28.06.2014 23:58:00; 0,315
08.07.2014 08:13:00; 0,377
11.08.2014 11:28:00; 0,480
20.09.2014 00:13:00; 0,573
20.10.2014 17:58:40; 0,260
30.11.2014 15:13:40; 0,268
10.12.2014 15:13:40; 0,229
02.01.2015 09:13:40; 0,296
09.02.2015 07:13:40; 0,372
08.03.2015 09:58:40; 0,424
09.04.2015 08:43:40; 0,659
19.05.2015 18:13:40; 0,617
15.06.2015 12:43:40; 0,372
23.07.2015 19:28:40; 0,265
16.08.2015 02:53:15; 0,223
01.09.2015 03:45:00; 0,233
06.10.2015 06:15:00; 0,306
13.11.2015 20:52:35; 0,341
31.12.2015 10:37:35; 0,360
22.01.2016 07:22:35; 0,327
17.02.2016 10:52:35; 0,864
17.03.2016 11:07:35; 0,601
29.04.2016 11:37:35; 0,819
28.05.2016 13:37:35; 0,913
19.06.2016 13:22:35; 0,676
11.07.2016 09:22:35; 0,676
29.08.2016 14:45:00; 0,625
30.09.2016 10:37:35; 0,210
02.10.2016 07:52:35; 0,198
30.11.2016 07:07:35; 0,293
05.12.2016 11:09:15; 0,250
19.01.2017 19:07:35; 0,275
01.02.2017 11:52:35; 0,297
14.03.2017 15:07:35;  1,06
22.04.2017 05:52:35; 0,814
30.05.2017 13:22:35; 0,708
19.06.2017 19:37:00; 0,292
07.07.2017 11:22:00; 0,250
19.08.2017 05:37:00; 0,424
29.09.2017 07:07:00; 0,614
21.10.2017 08:07:00; 0,459
19.11.2017 06:52:00; 0,814
10.12.2017 07:52:00; 0,532
21.01.2018 18:37:00; 0,708
25.02.2018 07:07:00; 0,341
01.03.2018 01:07:00; 0,341
28.04.2018 11:07:00;  1,50
31.05.2018 07:22:00; 0,341
06.06.2018 09:22:00; 0,341
30.07.2018 08:07:00; 0,250
21.08.2018 11:52:00; 0,175
18.09.2018 07:22:00; 0,207
21.10.2018 01:07:00; 0,147
29.11.2018 10:37:00; 0,182
01.12.2018 00:00:00; 0,213
26.01.2019 09:07:00; 0,496
01.02.2019 00:00:00; 0,496
15.03.2019 11:22:00;  1,77
14.04.2019 18:22:00;  1,99
08.05.2019 12:07:00;  1,75
30.06.2019 15:07:00; 0,402
26.07.2019 18:37:00; 0,243
29.08.2019 12:37:00; 0,239
23.09.2019 15:37:00; 0,364
27.10.2019 11:22:00; 0,340
29.11.2019 08:52:00; 0,320
15.12.2019 03:22:00; 0,236
30.01.2020 20:37:00; 0,351
22.02.2020 15:22:00; 0,738
27.03.2020 12:22:00; 0,557
02.04.2020 08:52:00; 0,467
22.05.2020 21:22:00; 0,222
27.06.2020 20:52:00; 0,510
11.07.2020 05:52:00; 0,373
02.08.2020 11:22:00; 0,346
25.09.2020 04:15:00; 0,438
07.10.2020 22:00:00; 0,503
30.11.2020 23:59:55; 0,324
01.12.2020 10:15:00; 0,294
19.01.2021 12:15:00; 0,189
16.02.2021 21:45:00; 0,370
24.03.2021 09:15:00; 0,272
09.04.2021 07:30:00; 0,482
31.05.2021 23:00:00; 0,520
30.06.2021 07:15:00; 0,166
14.07.2021 02:00:00; 0,147
22.08.2021 22:15:00; 0,408
30.09.2021 23:45:00; 0,277
06.10.2021 07:45:00; 0,239
30.11.2021 09:15:00; 0,191
01.12.2021 00:00:00; 0,233
