Messstelle:                ;Spittal-Fasan
19.10.1954 12:00:00;  17,5
21.11.1954 12:00:00;  11,5
07.12.1954 12:00:00;  15,1
21.01.1955 12:00:00;  7,04
16.02.1955 12:00:00;  5,80
19.03.1955 12:00:00;  5,80
21.04.1955 12:00:00;  26,0
24.05.1955 12:00:00;  44,0
16.06.1955 12:00:00;  44,0
08.07.1955 12:00:00;  36,8
27.08.1955 12:00:00;  20,9
30.09.1955 12:00:00;  20,9
03.10.1955 12:00:00;  15,1
30.11.1955 12:00:00;  7,46
28.12.1955 12:00:00;  7,04
29.01.1956 12:00:00;  5,14
15.02.1956 12:00:00;  4,60
06.03.1956 12:00:00;  4,36
11.04.1956 12:00:00;  5,60
15.05.1956 12:00:00;  26,0
23.06.1956 12:00:00;  16,3
19.07.1956 12:00:00;  20,9
14.08.1956 12:00:00;  10,8
19.09.1956 12:00:00;  9,00
26.10.1956 12:00:00;  8,44
26.11.1956 12:00:00;  6,76
28.12.1956 12:00:00;  6,10
23.01.1957 12:00:00;  5,50
23.02.1957 12:00:00;  6,10
14.03.1957 12:00:00;  5,40
17.04.1957 12:00:00;  13,5
10.05.1957 12:00:00;  20,7
01.06.1957 12:00:00;  38,7
19.07.1957 12:00:00;  24,3
31.08.1957 12:00:00;  20,9
07.09.1957 12:00:00;  12,7
27.10.1957 12:00:00;  8,94
04.11.1957 12:00:00;  8,30
31.12.1957 12:00:00;  4,30
29.01.1958 12:00:00;  4,78
04.02.1958 12:00:00;  5,14
23.03.1958 12:00:00;  5,14
11.04.1958 12:00:00;  5,40
01.05.1958 12:00:00;  26,0
14.06.1958 12:00:00;  11,5
20.07.1958 12:00:00;  19,2
31.08.1958 12:00:00;  29,8
15.09.1958 12:00:00;  11,7
01.10.1958 12:00:00;  12,5
30.11.1958 12:00:00;  10,2
05.12.1958 12:00:00;  10,2
31.01.1959 12:00:00;  9,84
28.02.1959 12:00:00;  9,46
22.03.1959 12:00:00;  7,68
01.04.1959 12:00:00;  11,8
05.05.1959 12:00:00;  21,1
03.06.1959 12:00:00;  32,4
23.07.1959 12:00:00;  29,0
08.08.1959 12:00:00;  25,2
30.09.1959 12:00:00;  15,8
27.10.1959 12:00:00;  6,40
25.11.1959 12:00:00;  10,6
23.12.1959 12:00:00;  7,68
19.01.1960 12:00:00;  4,20
09.02.1960 12:00:00;  4,20
09.03.1960 12:00:00;  7,68
06.04.1960 12:00:00;  17,3
03.05.1960 12:00:00;  18,9
22.06.1960 12:00:00;  34,6
06.07.1960 12:00:00;  25,8
08.08.1960 12:00:00;  34,6
16.09.1960 12:00:00;  36,0
04.10.1960 12:00:00;  36,8
30.11.1960 12:00:00;  22,8
31.12.1960 12:00:00;  16,8
31.01.1961 12:00:00;  7,86
02.02.1961 12:00:00;  7,86
07.03.1961 12:00:00;  11,6
01.04.1961 12:00:00;  14,8
23.05.1961 12:00:00;  20,0
05.06.1961 12:00:00;  29,7
11.07.1961 12:00:00;  21,1
27.08.1961 12:00:00;  20,7
30.09.1961 12:00:00;  12,0
06.10.1961 12:00:00;  11,2
27.11.1961 12:00:00;  14,4
31.12.1961 12:00:00;  12,0
31.01.1962 12:00:00;  8,08
28.02.1962 12:00:00;  6,60
29.03.1962 12:00:00;  6,60
13.04.1962 12:00:00;  8,08
04.05.1962 12:00:00;  28,7
30.06.1962 12:00:00;  39,0
08.07.1962 12:00:00;  31,0
31.08.1962 12:00:00;  21,7
30.09.1962 12:00:00;  11,4
25.10.1962 12:00:00;  3,84
05.11.1962 12:00:00;  7,68
31.12.1962 12:00:00;  6,74
31.01.1963 12:00:00;  4,80
28.02.1963 12:00:00;  4,80
02.03.1963 12:00:00;  3,34
06.04.1963 12:00:00;  8,42
07.05.1963 12:00:00;  23,4
18.06.1963 12:00:00;  28,4
31.07.1963 12:00:00;  17,3
12.08.1963 12:00:00;  14,8
30.09.1963 12:00:00;  23,9
31.10.1963 12:00:00;  10,5
01.11.1963 12:00:00;  10,5
31.12.1963 12:00:00;  10,5
31.01.1964 12:00:00;  7,08
25.02.1964 12:00:00;  6,20
20.03.1964 12:00:00;  5,80
01.04.1964 12:00:00;  8,92
02.05.1964 12:00:00;  16,3
25.06.1964 12:00:00;  24,0
31.07.1964 12:00:00;  18,7
12.08.1964 12:00:00;  16,4
30.09.1964 12:00:00;  9,78
08.10.1964 12:00:00;  7,58
16.11.1964 12:00:00;  17,3
31.12.1964 12:00:00;  11,9
30.01.1965 12:00:00;  10,4
28.02.1965 12:00:00;  8,88
19.03.1965 12:00:00;  8,88
26.04.1965 12:00:00;  13,4
01.05.1965 12:00:00;  13,6
03.06.1965 12:00:00;  57,0
12.07.1965 12:00:00;  38,9
20.08.1965 12:00:00;  33,5
25.09.1965 12:00:00;  26,4
31.10.1965 12:00:00;  16,8
29.11.1965 12:00:00;  13,3
28.12.1965 12:00:00;  11,4
31.01.1966 12:00:00;  9,59
01.02.1966 12:00:00;  9,42
31.03.1966 12:00:00;  9,76
03.04.1966 12:00:00;  10,1
31.05.1966 12:00:00;  23,1
03.06.1966 12:00:00;  22,6
10.07.1966 12:00:00;  19,8
01.08.1966 12:00:00;  31,0
29.09.1966 12:00:00;  22,7
12.10.1966 12:00:00;  17,1
03.11.1966 12:00:00;  17,9
28.12.1966 12:00:00;  12,4
31.01.1967 12:00:00;  7,67
10.02.1967 12:00:00;  6,96
01.03.1967 12:00:00;  8,07
06.04.1967 12:00:00;  10,8
01.05.1967 12:00:00;  22,2
15.06.1967 12:00:00;  34,8
11.07.1967 12:00:00;  29,7
16.08.1967 12:00:00;  24,4
30.09.1967 12:00:00;  25,4
29.10.1967 12:00:00;  15,5
02.11.1967 12:00:00;  16,1
29.12.1967 12:00:00;  10,1
25.01.1968 12:00:00;  6,96
19.02.1968 12:00:00;  6,74
13.03.1968 12:00:00;  8,74
05.04.1968 12:00:00;  18,9
02.05.1968 12:00:00;  25,0
13.06.1968 12:00:00;  33,3
29.07.1968 12:00:00;  23,7
01.08.1968 12:00:00;  25,1
15.09.1968 12:00:00;  19,1
31.10.1968 12:00:00;  13,6
02.11.1968 12:00:00;  13,3
31.12.1968 12:00:00;  9,33
31.01.1969 12:00:00;  7,35
17.02.1969 12:00:00;  6,43
02.03.1969 12:00:00;  6,71
06.04.1969 12:00:00;  9,61
31.05.1969 12:00:00;  36,1
30.06.1969 12:00:00;  23,6
01.07.1969 12:00:00;  21,7
12.08.1969 12:00:00;  20,1
30.09.1969 12:00:00;  16,4
31.10.1969 12:00:00;  8,74
12.11.1969 12:00:00;  7,29
31.12.1969 12:00:00;  8,47
31.01.1970 12:00:00;  6,38
28.02.1970 12:00:00;  5,95
01.03.1970 12:00:00;  6,19
06.04.1970 12:00:00;  8,26
04.05.1970 12:00:00;  22,3
05.06.1970 12:00:00;  41,0
07.07.1970 12:00:00;  36,4
29.08.1970 12:00:00;  33,9
30.09.1970 12:00:00;  17,3
26.10.1970 12:00:00;  11,8
27.11.1970 12:00:00;  9,56
24.12.1970 12:00:00;  5,69
20.01.1971 12:00:00;  5,69
28.02.1971 12:00:00;  5,12
05.03.1971 12:00:00;  4,07
07.04.1971 12:00:00;  7,29
01.05.1971 12:00:00;  18,8
13.06.1971 12:00:00;  17,4
23.07.1971 12:00:00;  13,4
21.08.1971 12:00:00;  16,2
18.09.1971 12:00:00;  8,38
27.10.1971 12:00:00;  6,31
25.11.1971 12:00:00;  5,69
19.12.1971 12:00:00;  6,00
07.01.1972 12:00:00;  4,86
16.02.1972 12:00:00;  4,86
15.03.1972 12:00:00;  6,31
14.04.1972 12:00:00;  14,9
02.05.1972 12:00:00;  20,1
29.06.1972 12:00:00;  56,4
03.07.1972 12:00:00;  43,0
25.08.1972 12:00:00;  16,4
30.09.1972 12:00:00;  8,38
09.10.1972 12:00:00;  7,65
27.11.1972 12:00:00;  7,48
30.12.1972 12:00:00;  5,26
27.01.1973 12:00:00;  5,04
28.02.1973 12:00:00;  4,37
11.03.1973 12:00:00;  4,70
06.04.1973 12:00:00;  5,69
01.05.1973 12:00:00;  21,6
17.06.1973 12:00:00;  32,2
31.07.1973 12:00:00;  23,9
19.08.1973 12:00:00;  17,7
14.09.1973 12:00:00;  11,5
31.10.1973 12:00:00;  19,5
30.11.1973 12:00:00;  9,98
03.12.1973 12:00:00;  7,21
31.01.1974 12:00:00;  7,82
28.02.1974 12:00:00;  7,21
14.03.1974 12:00:00;  7,21
23.04.1974 12:00:00;  11,2
02.05.1974 12:00:00;  15,4
13.06.1974 12:00:00;  16,2
23.07.1974 12:00:00;  28,7
26.08.1974 12:00:00;  19,6
22.09.1974 12:00:00;  15,3
31.10.1974 12:00:00;  9,09
30.11.1974 12:00:00;  7,30
15.12.1974 12:00:00;  5,32
29.01.1975 12:00:00;  5,58
18.02.1975 12:00:00;  4,04
02.03.1975 12:00:00;  4,65
01.04.1975 12:00:00;  8,71
02.05.1975 12:00:00;  61,8
09.06.1975 12:00:00;  53,1
29.07.1975 12:00:00;  43,5
21.08.1975 12:00:00;  24,5
26.09.1975 12:00:00;  14,7
31.10.1975 12:00:00;  8,32
24.11.1975 12:00:00;  6,67
30.12.1975 12:00:00;  6,35
29.01.1976 06:30:00;  4,31
13.02.1976 13:30:00;  4,60
12.03.1976 10:00:00;  3,90
01.04.1976 16:00:00;  9,62
01.05.1976 19:00:00;  10,9
19.06.1976 13:30:00;  15,4
15.07.1976 22:30:00;  8,49
31.08.1976 22:30:00;  7,91
03.09.1976 08:00:00;  10,6
10.10.1976 10:30:00;  9,74
23.11.1976 13:30:00;  11,5
31.12.1976 14:00:00;  6,09
19.01.1977 11:30:00;  7,16
01.02.1977 09:30:00;  6,35
01.03.1977 10:00:00;  14,1
22.04.1977 13:00:00;  14,8
11.05.1977 15:00:00;  37,0
30.06.1977 23:59:55;  24,3
11.07.1977 18:30:00;  18,0
08.08.1977 15:00:00;  20,7
30.09.1977 21:00:00;  11,6
28.10.1977 14:00:00;  7,54
21.11.1977 09:30:00;  5,43
05.12.1977 06:00:00;  4,51
06.01.1978 08:30:00;  4,44
02.02.1978 08:30:00;  4,74
01.03.1978 10:30:00;  7,74
13.04.1978 16:00:00;  9,27
17.05.1978 16:00:00;  24,7
23.06.1978 18:00:00;  21,9
31.07.1978 23:59:55;  19,6
30.08.1978 01:30:00;  10,5
21.09.1978 10:30:00;  8,22
31.10.1978 11:00:00;  10,1
25.11.1978 12:30:00;  7,04
08.12.1978 13:30:00;  4,55
02.01.1979 14:00:00;  4,46
23.02.1979 10:30:00;  4,67
03.03.1979 12:00:00;  5,88
09.04.1979 07:30:00;  6,97
01.05.1979 16:30:00;  16,3
11.06.1979 14:00:00;  26,6
31.07.1979 11:30:00;  20,1
24.08.1979 07:30:00;  12,3
21.09.1979 10:30:00;  9,41
12.10.1979 05:30:00;  11,3
27.11.1979 13:00:00;  9,90
31.12.1979 10:30:00;  10,7
29.01.1980 11:30:00;  5,86
05.02.1980 05:30:00;  5,52
04.03.1980 07:00:00;  5,02
10.04.1980 12:00:00;  8,16
01.05.1980 00:00:00;  10,2
20.06.1980 17:30:00;  26,8
29.07.1980 19:30:00;  23,7
29.08.1980 13:00:00;  7,84
30.09.1980 23:59:55;  10,0
03.10.1980 16:30:00;  7,38
14.11.1980 12:30:00;  13,1
30.12.1980 04:30:00;  8,46
29.01.1981 18:30:00;  7,78
14.02.1981 15:30:00;  6,58
06.03.1981 16:30:00;  6,85
26.04.1981 19:30:00;  14,0
01.05.1981 20:30:00;  14,4
21.06.1981 14:30:00;  17,9
17.07.1981 12:00:00;  12,2
31.08.1981 15:30:00;  13,8
23.09.1981 16:00:00;  10,6
21.10.1981 23:50:00;  11,2
30.11.1981 09:30:00;  8,12
21.12.1981 08:30:00;  6,98
08.01.1982 09:30:00;  6,29
03.02.1982 12:00:00;  5,16
15.03.1982 14:00:00;  6,12
01.04.1982 14:00:00;  8,43
02.05.1982 17:30:00;  8,58
11.06.1982 18:00:00;  17,5
21.07.1982 19:30:00;  10,8
13.08.1982 19:00:00;  9,86
30.09.1982 23:59:55;  9,03
01.10.1982 08:00:00;  8,79
08.11.1982 00:30:00;  13,2
31.12.1982 10:30:00;  9,78
13.01.1983 04:00:00;  8,12
23.02.1983 09:30:00;  5,57
04.03.1983 10:00:00;  6,72
08.04.1983 13:00:00;  9,53
06.05.1983 17:00:00;  26,6
30.06.1983 21:00:00;  17,2
31.07.1983 03:00:00;  7,84
29.08.1983 08:30:00;  7,67
02.09.1983 13:00:00;  7,61
11.10.1983 08:30:00;  10,7
24.11.1983 07:30:00;  5,81
14.12.1983 10:00:00;  4,34
27.01.1984 10:00:00;  4,52
13.02.1984 08:30:00;  3,99
09.03.1984 11:30:00;  4,79
01.04.1984 10:30:00;  8,12
02.05.1984 14:00:00;  13,7
27.06.1984 16:00:00;  19,7
21.07.1984 22:30:00;  11,9
06.08.1984 01:00:00;  8,43
03.09.1984 23:30:00;  8,27
31.10.1984 23:59:55;  15,6
30.11.1984 13:30:00;  9,82
31.12.1984 23:30:00;  6,42
07.01.1985 12:30:00;  5,44
19.02.1985 07:00:00;  4,60
05.03.1985 10:00:00;  5,86
01.04.1985 14:30:00;  7,51
01.05.1985 13:30:00;  11,6
26.06.1985 20:30:00;  21,2
15.07.1985 18:00:00;  12,7
26.08.1985 00:00:00;  14,2
30.09.1985 02:00:00;  8,62
29.10.1985 14:00:00;  6,28
29.11.1985 14:00:00;  6,34
25.12.1985 14:30:00;  6,39
28.01.1986 12:30:00;  4,01
26.02.1986 11:00:00;  3,59
01.03.1986 09:45:00;  4,72
01.04.1986 17:45:00;  8,95
28.05.1986 15:15:00;  31,2
30.06.1986 23:59:55;  19,4
31.07.1986 19:15:00;  6,99
10.08.1986 07:00:00;  6,92
30.09.1986 20:00:00;  9,46
23.10.1986 11:30:00;  6,57
30.11.1986 14:00:00;  6,28
26.12.1986 08:30:00;  4,05
08.01.1987 15:30:00;  3,10
01.02.1987 00:00:00;  3,81
06.03.1987 11:15:00;  3,63
01.04.1987 06:00:00;  7,37
25.05.1987 15:00:00;  23,0
24.06.1987 14:45:00;  24,2
12.07.1987 18:30:00;  16,8
24.08.1987 23:00:00;  11,3
23.09.1987 20:30:00;  11,2
06.10.1987 04:00:00;  11,2
22.11.1987 09:45:00;  10,4
14.12.1987 07:15:00;  9,14
24.01.1988 04:00:00;  8,05
26.02.1988 10:00:00;  6,75
10.03.1988 09:30:00;  5,12
01.04.1988 20:00:00;  6,75
29.05.1988 18:00:00;  22,2
24.06.1988 18:30:00;  14,5
11.07.1988 21:30:00;  12,4
19.08.1988 20:15:00;  10,4
11.09.1988 21:00:00;  9,55
12.10.1988 16:30:00;  9,12
23.11.1988 07:30:00;  6,16
16.12.1988 10:45:00;  5,12
25.01.1989 10:30:00;  4,43
05.02.1989 12:15:00;  4,65
06.03.1989 11:45:00;  4,88
10.04.1989 14:00:00;  9,96
02.05.1989 22:15:00;  14,4
18.06.1989 16:30:00;  15,6
30.07.1989 20:30:00;  15,4
17.08.1989 17:00:00;  11,3
25.09.1989 13:30:00;  7,97
30.10.1989 08:15:00;  8,73
30.11.1989 08:00:00;  5,68
12.12.1989 09:15:00;  4,37
28.01.1990 08:45:00;  4,16
12.02.1990 01:00:00;  3,91
01.03.1990 13:45:00;  5,98
17.04.1990 07:00:00;  7,26
01.05.1990 09:30:00;  12,3
01.06.1990 13:15:00;  12,8
25.07.1990 11:45:00;  12,8
30.08.1990 15:30:00;  8,35
18.09.1990 00:15:00;  6,28
04.10.1990 11:45:00;  7,26
19.11.1990 11:30:00;  9,55
29.12.1990 12:30:00;  9,96
23.01.1991 09:15:00;  4,13
01.02.1991 09:15:00;  4,87
02.03.1991 16:15:00;  7,26
23.04.1991 12:15:00;  10,9
01.05.1991 20:15:00;  13,4
01.06.1991 16:15:00;  30,0
12.07.1991 16:00:00;  22,3
31.08.1991 23:59:55;  13,9
19.09.1991 23:00:00;  9,54
31.10.1991 15:15:00;  11,3
01.11.1991 13:45:00;  9,96
12.12.1991 13:15:00;  8,35
14.01.1992 10:15:00;  5,98
20.02.1992 10:00:00;  3,91
01.03.1992 12:15:00;  7,26
14.04.1992 13:30:00;  10,4
22.05.1992 16:15:00;  36,2
30.06.1992 09:00:00;  16,9
31.07.1992 23:00:00;  9,12
26.08.1992 12:00:00;  5,80
21.09.1992 09:45:00;  6,13
01.10.1992 00:00:00;  7,17
30.11.1992 23:59:55;  14,0
29.12.1992 11:00:00;  7,17
02.01.1993 09:45:00;  6,46
23.02.1993 08:30:00;  4,87
05.03.1993 10:30:00;  4,87
01.04.1993 12:15:00;  5,68
03.05.1993 12:30:00;  13,4
20.06.1993 18:15:00;  8,11
10.07.1993 01:00:00;  6,55
25.08.1993 00:15:00;  9,54
09.09.1993 17:30:00;  9,96
01.10.1993 00:00:00;  17,4
30.11.1993 16:30:00;  14,6
29.12.1993 09:00:00;  9,55
01.01.1994 12:00:00;  9,34
20.02.1994 08:45:00;  5,49
01.03.1994 00:00:00;  6,81
12.04.1994 18:45:00;  7,91
12.05.1994 13:30:00;  18,0
28.06.1994 21:00:00;  11,4
31.07.1994 23:59:55;  7,53
08.08.1994 15:30:00;  5,80
08.09.1994 18:15:00;  11,4
24.10.1994 00:30:00;  7,69
28.11.1994 11:30:00;  11,3
16.12.1994 10:45:00;  7,26
09.01.1995 08:15:00;  4,87
01.02.1995 07:15:00;  4,87
17.03.1995 13:15:00;  5,98
01.04.1995 14:15:00;  6,01
24.05.1995 16:30:00;  15,7
04.06.1995 16:45:00;  24,5
31.07.1995 23:59:55;  14,5
14.08.1995 09:30:00;  9,13
07.09.1995 19:45:00;  11,3
21.10.1995 20:15:00;  6,28
07.11.1995 08:15:00;  4,87
28.12.1995 14:45:00;  4,61
17.01.1996 14:45:00;  3,07
01.02.1996 11:00:00;  2,78
05.03.1996 10:45:00;  1,99
01.04.1996 02:15:00;  5,65
06.05.1996 16:00:00;  18,2
18.06.1996 19:00:00;  9,75
31.07.1996 23:59:55;  11,6
10.08.1996 14:15:00;  10,5
21.09.1996 18:30:00;  12,0
01.10.1996 00:00:00;  12,8
10.11.1996 08:30:00;  12,4
30.12.1996 06:15:00;  9,40
30.01.1997 13:31:00;  5,38
03.02.1997 14:50:00;  7,09
01.03.1997 02:19:00;  7,40
23.04.1997 14:10:00;  6,79
01.05.1997 18:01:00;  9,75
02.06.1997 17:51:00;  13,7
24.07.1997 15:01:00;  13,3
14.08.1997 00:59:00;  13,3
30.09.1997 23:59:55;  8,80
29.10.1997 13:14:30;  5,66
01.11.1997 17:53:30;  6,09
17.12.1997 05:53:00;  6,79
28.01.1998 10:41:45;  3,51
05.02.1998 08:41:00;  3,48
26.03.1998 11:31:00;  4,38
01.04.1998 10:51:00;  6,79
28.05.1998 18:16:05;  12,6
25.06.1998 18:22:00;  11,2
22.07.1998 11:25:00;  11,6
15.08.1998 17:04:00;  10,1
03.09.1998 19:07:00;  9,40
01.10.1998 00:00:00;  16,0
22.11.1998 11:42:00;  11,2
24.12.1998 10:58:00;  7,09
31.01.1999 13:19:10;  4,68
13.02.1999 08:22:30;  4,37
01.03.1999 12:50:10;  6,04
01.04.1999 20:37:45;  5,93
02.05.1999 14:54:20;  20,8
30.06.1999 20:44:25;  12,6
09.07.1999 00:05:05;  10,8
03.08.1999 21:50:10;  14,5
20.09.1999 00:26:35;  17,7
23.10.1999 14:59:35;  15,2
22.11.1999 08:30:10;  8,88
23.12.1999 10:34:25;  5,46
25.01.2000 11:14:00;  3,52
22.02.2000 13:57:00;  3,73
06.03.2000 10:38:00;  4,45
11.04.2000 13:35:00;  8,54
31.05.2000 23:59:55;  20,8
24.06.2000 05:28:00;  10,1
04.07.2000 19:45:00;  11,9
23.08.2000 20:51:00;  10,5
11.09.2000 11:38:30;  9,60
01.10.2000 00:00:00;  10,5
03.11.2000 09:56:30;  25,7
31.12.2000 23:59:55;  16,6
31.01.2001 03:48:15;  11,4
26.02.2001 07:14:10;  7,73
02.03.2001 14:33:15;  8,04
19.04.2001 11:28:40;  12,2
01.05.2001 10:54:00;  30,7
30.06.2001 21:48:45;  19,7
31.07.2001 23:59:55;  13,5
30.08.2001 20:35:00;  8,16
04.09.2001 00:08:00;  10,5
31.10.2001 23:59:55;  8,86
24.11.2001 10:29:10;  6,26
24.12.2001 09:33:35;  3,93
04.01.2002 09:52:25;  3,48
22.02.2002 13:55:20;  3,74
01.03.2002 00:00:00;  4,88
11.04.2002 17:22:45;  5,56
01.05.2002 15:45:50;  13,4
23.06.2002 11:13:30;  9,39
14.07.2002 07:06:20;  9,69
04.08.2002 07:32:10;  10,5
19.09.2002 04:06:40;  11,3
10.10.2002 06:27:55;  13,3
14.11.2002 00:39:55;  12,1
28.12.2002 00:46:25;  14,5
31.01.2003 23:59:55;  8,27
19.02.2003 10:34:50;  5,28
29.03.2003 18:02:00;  5,26
11.04.2003 15:43:20;  5,41
13.05.2003 11:06:00;  16,4
30.06.2003 23:59:55;  11,5
21.07.2003 17:52:00;  8,88
28.08.2003 21:55:05;  6,11
28.09.2003 03:10:35;  7,50
02.10.2003 03:15:00;  7,80
23.11.2003 15:01:00;  13,5
24.12.2003 12:45:00;  8,16
17.01.2004 23:15:00;  6,17
25.02.2004 13:43:00;  5,87
02.03.2004 10:58:00;  5,29
01.04.2004 12:58:00;  9,26
14.05.2004 09:56:00;  19,2
07.06.2004 03:07:20;  20,7
31.07.2004 23:59:55;  17,4
19.08.2004 23:46:40;  11,3
30.09.2004 20:19:00;  10,9
10.10.2004 13:27:25;  9,72
30.11.2004 16:48:00;  12,6
21.12.2004 10:49:00;  6,80
30.01.2005 12:11:20;  4,36
08.02.2005 10:08:05;  3,74
07.03.2005 09:06:10;  4,20
03.04.2005 21:06:30;  9,66
13.05.2005 19:23:50;  14,4
25.06.2005 18:31:35;  8,95
05.07.2005 00:31:40;  9,57
11.08.2005 16:21:50;  13,3
17.09.2005 00:00:10;  12,9
31.10.2005 14:22:30;  14,6
23.11.2005 04:07:30;  9,40
22.12.2005 09:11:45;  7,30
25.01.2006 10:14:25;  4,81
13.02.2006 09:40:00;  4,80
02.03.2006 09:00:15;  5,89
07.04.2006 12:21:45;  12,8
07.05.2006 18:44:15;  27,7
27.06.2006 19:43:40;  18,3
21.07.2006 20:00:50;  10,8
01.08.2006 11:16:10;  13,2
15.09.2006 08:17:40;  9,59
23.10.2006 23:22:30;  9,64
17.11.2006 10:22:30;  8,15
27.12.2006 12:22:30;  7,13
12.01.2007 01:22:30;  6,17
22.02.2007 09:52:30;  5,65
01.03.2007 07:22:30;  8,04
01.04.2007 16:37:30;  9,75
20.05.2007 22:07:30;  13,3
26.06.2007 00:22:30;  12,0
24.07.2007 17:07:30;  14,5
06.08.2007 20:22:30;  12,1
25.09.2007 21:37:30;  10,0
22.10.2007 18:07:30;  10,1
19.11.2007 08:22:30;  8,04
26.12.2007 10:22:30;  6,14
02.01.2008 11:52:30;  4,71
17.02.2008 10:52:30;  3,73
10.03.2008 10:22:30;  4,98
07.04.2008 03:22:30;  5,54
01.05.2008 12:22:30;  14,8
17.06.2008 15:22:30;  20,9
11.07.2008 17:04:15;  14,7
07.08.2008 04:22:30;  15,0
29.09.2008 17:52:30;  10,3
02.10.2008 09:07:30;  10,4
27.11.2008 05:07:30;  12,8
31.12.2008 13:37:30;  9,44
19.01.2009 10:50:15;  6,28
19.02.2009 10:19:15;  6,28
01.03.2009 14:22:30;  7,65
01.04.2009 13:22:30;  12,8
30.05.2009 23:07:30;  28,5
05.06.2009 14:22:30;  23,8
30.07.2009 00:07:30;  15,5
28.08.2009 13:52:30;  12,0
03.09.2009 17:37:30;  14,6
21.10.2009 14:30:00;  10,9
25.11.2009 14:00:05;  9,04
21.12.2009 09:30:05;  6,51
21.01.2010 10:45:05;  6,48
17.02.2010 15:00:00;  4,75
08.03.2010 09:00:05;  3,76
06.04.2010 07:45:05;  8,52
21.05.2010 17:37:30;  21,4
30.06.2010 16:52:30;  15,3
29.07.2010 12:52:30;  7,11
02.08.2010 20:07:30;  8,91
16.09.2010 09:37:30;  10,1
20.10.2010 01:37:30;  8,71
01.11.2010 00:00:00;  13,7
17.12.2010 07:22:30;  10,5
23.01.2011 13:07:30;  8,37
24.02.2011 08:37:30;  5,92
08.03.2011 10:37:30;  5,65
01.04.2011 09:07:30;  9,31
06.05.2011 19:15:05;  12,8
01.06.2011 06:30:00;  18,7
13.07.2011 22:30:05;  12,0
26.08.2011 21:30:05;  9,40
13.09.2011 20:45:05;  8,37
06.10.2011 16:45:05;  10,4
30.11.2011 17:30:05;  7,53
20.12.2011 13:45:05;  5,95
16.01.2012 15:15:05;  4,06
10.02.2012 13:30:05;  3,96
09.03.2012 18:30:05;  6,79
02.04.2012 10:15:00;  8,71
19.05.2012 17:00:05;  14,5
30.06.2012 19:30:05;  15,0
09.07.2012 08:30:05;  11,3
30.08.2012 19:45:05;  12,8
11.09.2012 19:15:05;  14,3
15.10.2012 02:00:00;  23,2
01.11.2012 00:00:05;  29,2
31.12.2012 16:00:05;  17,0
