Messstelle:                ;St. Pantaleon (Süd)
29.07.1988 12:45:00; 0,437
31.08.1988 20:30:00; 0,220
09.09.1988 11:00:00; 0,123
01.10.1988 19:45:00; 0,256
25.11.1988 17:00:00; 0,660
16.12.1988 22:00:00; 0,299
10.01.1989 08:15:00; 0,600
08.02.1989 10:15:00; 0,220
01.03.1989 09:15:00; 0,166
27.04.1989 07:00:00; 0,166
22.05.1989 12:15:00; 0,286
26.06.1989 14:15:00; 0,196
27.07.1989 07:00:00; 0,134
10.08.1989 08:00:00; 0,256
09.09.1989 10:00:00; 0,196
05.10.1989 11:00:00; 0,365
12.11.1989 16:45:00; 0,196
12.12.1989 21:30:00; 0,443
20.01.1990 08:00:00; 0,150
22.02.1990 16:15:00; 0,299
24.03.1990 16:30:00; 0,220
01.04.1990 00:00:00; 0,538
21.05.1990 08:30:00; 0,489
28.06.1990 07:00:00; 0,220
05.07.1990 06:00:00; 0,220
04.08.1990 06:15:00; 0,256
30.09.1990 12:45:00; 0,185
03.10.1990 08:15:00; 0,150
21.11.1990 08:30:00; 0,224
11.12.1990 08:30:00; 0,365
30.01.1991 18:00:00; 0,226
01.02.1991 00:00:00; 0,286
11.03.1991 11:00:00; 0,123
04.04.1991 14:30:00; 0,185
03.05.1991 11:15:00; 0,185
04.06.1991 14:45:00; 0,336
23.07.1991 07:45:00; 0,236
06.08.1991 12:45:00; 0,236
24.09.1991 12:30:00; 0,561
31.10.1991 11:30:00; 0,195
27.11.1991 10:45:00; 0,195
05.12.1991 15:45:00; 0,155
19.01.1992 10:30:00; 0,386
08.02.1992 10:45:00; 0,236
12.03.1992 13:30:00; 0,236
17.04.1992 15:45:00; 0,236
14.05.1992 14:00:00; 0,336
09.06.1992 13:15:00; 0,195
06.07.1992 11:45:00; 0,256
26.08.1992 20:00:00; 0,150
01.09.1992 17:30:00; 0,256
13.10.1992 00:00:00; 0,220
10.11.1992 09:00:00; 0,256
02.12.1992 12:00:00; 0,694
18.01.1993 12:00:00; 0,444
11.02.1993 23:45:00; 0,694
10.03.1993 14:15:00; 0,694
26.04.1993 07:30:00; 0,236
08.05.1993 12:15:00; 0,195
07.06.1993 09:00:00; 0,185
07.07.1993 14:45:00; 0,256
25.08.1993 08:00:00; 0,185
21.09.1993 10:00:00; 0,342
29.10.1993 10:15:00; 0,185
09.11.1993 18:45:00; 0,342
15.12.1993 07:15:00; 0,256
14.01.1994 11:30:00; 0,256
06.02.1994 11:30:00; 0,781
02.03.1994 08:45:00; 0,256
29.04.1994 18:15:00; 0,342
04.05.1994 16:30:00; 0,540
29.06.1994 07:00:00; 0,449
26.07.1994 09:15:00; 0,196
24.08.1994 17:30:00; 0,196
27.09.1994 12:00:00; 0,083
12.10.1994 14:00:00; 0,071
08.11.1994 14:45:00; 0,083
10.12.1994 10:15:00; 0,223
14.01.1995 16:00:00; 0,261
08.02.1995 15:30:00; 0,261
16.03.1995 13:15:00; 0,196
27.04.1995 16:00:00; 0,261
26.05.1995 09:15:00; 0,168
09.06.1995 09:45:00; 0,141
20.07.1995 06:45:00; 0,036
01.08.1995 06:45:00; 0,036
26.09.1995 09:15:00; 0,047
21.10.1995 09:00:00; 0,014
04.11.1995 07:45:00; 0,025
13.12.1995 05:00:00; 0,433
11.01.1996 10:30:00; 0,384
25.02.1996 11:30:00; 0,122
10.03.1996 12:30:00; 0,008
08.04.1996 14:00:00; 0,384
02.05.1996 07:00:00; 0,298
14.06.1996 11:00:00; 0,141
21.07.1996 08:00:00; 0,083
25.08.1996 07:30:00; 0,047
23.09.1996 05:45:00; 0,030
01.10.1996 06:30:00; 0,059
18.11.1996 11:15:00; 0,059
23.12.1996 15:30:00; 0,122
21.01.1997 16:58:10; 0,036
03.02.1997 09:21:20; 0,033
18.03.1997 18:24:10; 0,426
19.04.1997 09:14:30; 0,586
23.05.1997 18:26:35; 0,059
27.06.1997 06:09:05; 0,083
04.07.1997 18:26:15; 0,036
29.08.1997 07:03:40; 0,044
24.09.1997 17:31:15; 0,036
22.10.1997 07:26:00; 0,026
11.11.1997 00:00:10; 0,022
04.12.1997 11:07:30; 0,111
31.01.1998 09:32:40; 0,067
20.02.1998 10:49:50; 0,045
28.03.1998 20:01:25; 0,202
08.04.1998 10:02:45; 0,268
30.05.1998 12:47:15; 0,087
01.06.1998 10:05:55; 0,083
31.07.1998 08:04:25; 0,019
03.08.1998 17:54:15; 0,023
18.09.1998 10:12:20; 0,032
26.10.1998 08:19:45; 0,014
06.11.1998 08:07:25; 0,055
11.12.1998 08:05:00; 0,041
17.01.1999 17:08:40; 0,306
03.02.1999 05:28:25; 0,171
01.03.1999 10:45:50; 0,761
24.04.1999 08:26:05; 0,280
31.05.1999 06:27:35; 0,095
23.06.1999 18:41:55; 0,046
07.07.1999 07:57:55; 0,049
10.08.1999 07:26:25; 0,096
11.09.1999 11:33:30; 0,036
11.10.1999 07:08:25; 0,011
23.11.1999 08:46:00; 0,008
10.12.1999 08:48:00; 0,014
16.01.2000 07:23:05; 0,037
01.02.2000 14:24:45; 0,387
18.03.2000 08:33:50; 0,522
29.04.2000 02:10:40; 0,574
29.05.2000 08:28:50; 0,020
23.06.2000 06:46:00; 0,004
05.07.2000 14:46:10; 0,000
23.08.2000 06:16:30; 0,005
20.09.2000 07:38:15; 0,000
01.10.2000 10:34:50; 0,000
01.11.2000 09:52:15; 0,000
03.12.2000 13:16:35; 0,000
25.01.2001 07:00:10; 0,006
04.02.2001 09:10:35; 0,000
25.03.2001 14:53:20; 0,256
23.04.2001 18:04:05; 0,257
06.05.2001 06:09:25; 0,009
13.06.2001 16:23:40; 0,028
17.07.2001 08:50:15; 0,068
24.08.2001 14:55:15; 0,005
26.09.2001 07:08:00; 0,000
01.10.2001 07:05:55; 0,000
02.11.2001 06:10:05; 0,000
11.12.2001 17:45:35; 0,101
03.01.2002 14:59:25; 0,221
04.02.2002 20:11:50; 0,672
26.03.2002 08:31:50; 0,452
08.04.2002 06:26:50; 0,742
31.05.2002 18:43:20; 0,027
16.06.2002 07:48:20; 0,024
14.07.2002 07:57:55; 0,007
03.08.2002 07:37:55; 0,030
09.09.2002 16:07:55; 0,120
10.10.2002 07:07:55; 0,030
08.11.2002 10:22:55; 0,625
24.12.2002 12:39:00; 0,211
29.01.2003 10:36:10; 0,408
28.02.2003 22:09:45;  1,22
11.03.2003 12:09:45; 0,794
03.04.2003 12:31:20; 0,221
01.05.2003 07:21:15; 0,086
19.06.2003 12:11:15; 0,008
28.07.2003 07:27:35; 0,108
20.08.2003 12:32:35; 0,084
30.09.2003 07:17:35; 0,021
21.10.2003 07:10:35; 0,007
11.11.2003 07:25:35; 0,008
18.12.2003 08:03:55; 0,009
10.01.2004 08:50:35; 0,134
09.02.2004 17:04:25; 0,143
01.03.2004 00:00:00; 0,651
30.04.2004 16:44:35; 0,690
19.05.2004 16:39:00; 0,593
18.06.2004 12:54:00; 0,180
18.07.2004 07:09:00; 0,153
29.08.2004 08:23:15; 0,098
23.09.2004 08:43:30; 0,076
29.10.2004 06:50:15; 0,000
02.11.2004 07:26:30; 0,023
28.12.2004 08:40:55; 0,219
07.01.2005 20:37:40; 0,182
28.02.2005 16:16:00; 0,455
22.03.2005 16:22:45; 0,178
08.04.2005 10:59:15; 0,103
04.05.2005 08:15:40; 0,209
28.06.2005 18:39:00; 0,203
04.07.2005 19:26:25; 0,138
30.08.2005 06:59:55; 0,078
12.09.2005 06:44:00; 0,085
08.10.2005 08:01:05; 0,040
08.11.2005 08:12:55; 0,016
03.12.2005 09:13:05; 0,036
04.01.2006 08:49:40; 0,151
18.02.2006 08:41:25; 0,319
02.03.2006 09:40:20; 0,118
28.04.2006 07:15:50; 0,298
19.05.2006 06:48:00; 0,132
20.06.2006 06:57:35; 0,134
07.07.2006 07:47:35; 0,104
01.08.2006 06:25:00; 0,203
09.09.2006 11:00:00; 0,163
31.10.2006 08:05:05; 0,028
20.11.2006 09:09:55; 0,000
31.12.2006 16:32:10; 0,000
03.01.2007 09:05:00; 0,239
20.02.2007 12:55:00; 0,522
19.03.2007 08:20:00; 0,377
20.04.2007 18:10:00; 0,287
15.05.2007 06:45:00; 0,126
25.06.2007 07:00:00; 0,051
21.07.2007 07:00:00; 0,067
03.08.2007 07:00:00; 0,050
23.09.2007 18:30:00; 0,088
28.10.2007 11:24:50; 0,000
01.11.2007 09:43:45; 0,000
29.12.2007 14:05:00; 0,493
21.01.2008 09:15:00; 0,516
24.02.2008 09:55:00; 0,635
22.03.2008 11:05:00; 0,517
18.04.2008 20:05:00; 0,646
29.05.2008 06:20:00; 0,212
10.06.2008 06:55:00; 0,113
07.07.2008 07:30:00; 0,126
06.08.2008 19:35:00; 0,083
14.09.2008 08:10:00; 0,189
11.10.2008 07:25:00; 0,071
14.11.2008 08:10:00; 0,169
17.12.2008 13:35:00; 0,478
08.01.2009 09:50:00; 0,073
04.02.2009 08:00:00; 0,444
17.03.2009 17:15:00; 0,712
29.04.2009 07:25:00; 0,760
22.05.2009 07:40:00; 0,094
01.06.2009 07:30:00; 0,184
31.07.2009 06:35:00; 0,272
04.08.2009 06:39:20; 0,242
16.09.2009 20:45:00; 0,210
31.10.2009 06:53:00; 0,234
25.11.2009 07:40:00; 0,073
05.12.2009 10:50:00; 0,076
31.01.2010 23:59:55; 0,684
02.02.2010 15:40:00; 0,662
02.03.2010 18:15:00; 0,720
13.04.2010 07:25:00; 0,215
28.05.2010 14:40:00; 0,226
28.06.2010 21:50:00; 0,162
22.07.2010 11:40:00; 0,161
08.08.2010 12:20:00; 0,180
22.09.2010 18:30:00; 0,611
18.10.2010 16:25:00; 0,283
25.11.2010 18:15:00; 0,401
01.12.2010 04:40:00; 0,569
01.01.2011 11:50:00; 0,312
02.02.2011 16:45:00; 0,199
24.03.2011 18:15:00; 0,125
28.04.2011 17:40:00; 0,576
18.05.2011 14:25:00; 0,058
03.06.2011 13:30:00; 0,107
26.07.2011 14:40:00; 0,071
29.08.2011 18:35:00; 0,152
23.09.2011 15:10:00; 0,044
05.10.2011 18:59:10; 0,000
25.11.2011 23:55:00; 0,185
04.12.2011 22:20:00; 0,135
30.01.2012 14:55:00; 0,025
19.02.2012 17:30:00; 0,298
29.03.2012 00:50:00; 0,134
23.04.2012 00:05:00; 0,293
13.05.2012 09:50:00; 0,215
02.06.2012 20:45:00; 0,060
27.07.2012 16:10:00; 0,031
27.08.2012 21:35:00; 0,058
20.09.2012 09:05:00; 0,135
31.10.2012 18:15:00; 0,054
02.11.2012 16:35:00; 0,132
31.12.2012 15:15:00; 0,312
16.01.2013 17:55:00; 0,091
20.02.2013 14:20:00; 0,075
12.03.2013 11:50:00; 0,405
19.04.2013 13:05:00; 0,366
26.05.2013 16:40:00; 0,045
13.06.2013 08:35:00; 0,111
27.07.2013 06:30:00; 0,072
07.08.2013 00:00:00; 0,088
24.09.2013 08:20:00; 0,055
05.10.2013 11:30:00; 0,058
30.11.2013 17:00:00; 0,060
21.12.2013 08:25:00; 0,069
06.01.2014 18:15:00; 0,057
12.02.2014 18:15:20; 0,046
22.03.2014 13:05:00; 0,022
17.04.2014 09:25:00; 0,016
02.05.2014 19:10:00; 0,023
08.06.2014 15:30:00; 0,046
16.07.2014 10:05:00; 0,033
18.08.2014 07:45:25; 0,046
05.09.2014 10:55:00; 0,067
18.10.2014 09:00:00; 0,286
15.11.2014 10:05:00; 0,059
13.12.2014 10:20:00; 0,046
23.01.2015 13:35:00; 0,514
27.02.2015 22:35:00; 0,670
24.03.2015 08:30:00; 0,222
20.04.2015 21:35:00; 0,451
12.05.2015 15:35:00; 0,490
06.06.2015 11:15:00; 0,041
29.07.2015 10:20:00; 0,032
18.08.2015 16:15:00; 0,201
26.09.2015 08:20:00; 0,204
29.10.2015 11:15:00; 0,147
20.11.2015 10:20:00; 0,036
07.12.2015 22:45:00; 0,027
07.01.2016 22:10:00; 0,032
29.02.2016 13:50:00; 0,220
29.03.2016 10:25:00; 0,057
11.04.2016 14:05:00; 0,050
20.05.2016 15:25:00; 0,312
03.06.2016 09:20:00; 0,254
21.07.2016 15:15:00; 0,557
27.08.2016 10:00:00; 0,337
03.09.2016 18:55:00; 0,538
03.10.2016 07:15:00; 0,323
10.11.2016 15:15:00; 0,313
24.12.2016 09:40:00; 0,098
05.01.2017 10:10:00; 0,395
16.02.2017 16:55:00; 0,392
08.03.2017 18:35:00; 0,684
11.04.2017 06:50:00; 0,392
06.05.2017 10:35:00; 0,200
05.06.2017 07:35:00; 0,368
25.07.2017 08:00:00; 0,263
19.08.2017 07:55:00; 0,295
15.09.2017 00:40:00; 0,030
24.10.2017 19:00:00; 0,026
15.11.2017 09:25:00; 0,143
28.12.2017 11:15:00; 0,032
10.01.2018 18:45:00; 0,577
08.02.2018 14:45:00; 0,604
17.03.2018 19:25:00; 0,262
25.04.2018 13:30:00; 0,038
30.05.2018 18:55:00; 0,035
04.06.2018 17:40:00; 0,277
09.07.2018 18:15:00; 0,029
02.08.2018 20:30:00; 0,029
07.09.2018 16:35:00; 0,034
04.10.2018 10:00:00; 0,025
14.11.2018 08:05:00; 0,035
13.12.2018 10:15:00; 0,275
22.01.2019 19:15:00; 0,373
08.02.2019 08:20:00; 0,168
30.03.2019 11:00:00; 0,118
25.04.2019 14:50:00; 0,035
10.05.2019 12:45:00; 0,095
10.06.2019 14:40:00; 0,012
25.07.2019 10:05:00; 0,008
29.08.2019 06:20:00; 0,004
09.09.2019 16:05:00; 0,004
09.10.2019 07:30:00; 0,003
10.11.2019 08:40:00; 0,012
09.12.2019 08:50:00; 0,003
31.01.2020 08:00:00; 0,058
28.02.2020 08:45:00; 0,093
13.03.2020 14:05:00; 0,130
18.04.2020 08:00:25; 0,016
22.05.2020 12:00:20; 0,037
10.06.2020 09:15:05; 0,025
09.07.2020 08:56:00; 0,010
03.08.2020 01:45:00; 0,067
03.09.2020 17:50:00; 0,247
20.10.2020 09:50:00; 0,056
28.11.2020 11:45:00; 0,260
17.12.2020 09:30:00; 0,250
19.01.2021 08:45:00; 0,084
24.02.2021 13:00:00; 0,401
05.03.2021 11:15:00; 0,447
06.04.2021 14:10:00; 0,182
21.05.2021 15:15:00; 0,083
19.06.2021 09:35:10; 0,172
17.07.2021 08:00:00; 0,180
07.08.2021 07:35:00; 0,391
14.09.2021 08:05:00; 0,280
29.10.2021 12:15:05; 0,177
23.11.2021 07:00:00; 0,064
24.12.2021 10:05:00; 0,570
