Messstelle:                ;Unterfladnitz
31.01.1973 12:00:00; 0,690
28.02.1973 12:00:00; 0,530
21.03.1973 12:00:00; 0,460
10.04.1973 12:00:00; 0,530
30.05.1973 12:00:00; 0,280
21.06.1973 12:00:00; 0,390
31.07.1973 12:00:00; 0,690
21.08.1973 12:00:00; 0,390
21.09.1973 12:00:00; 0,410
31.10.1973 12:00:00; 0,660
25.11.1973 12:00:00; 0,520
31.12.1973 12:00:00; 0,520
17.01.1974 12:00:00; 0,520
03.02.1974 12:00:00; 0,540
03.03.1974 12:00:00; 0,660
29.04.1974 12:00:00; 0,520
14.05.1974 12:00:00; 0,520
14.06.1974 12:00:00; 0,520
31.07.1974 12:00:00; 0,390
21.08.1974 12:00:00; 0,690
21.09.1974 12:00:00; 0,690
31.10.1974 12:00:00;  1,10
30.11.1974 12:00:00; 0,860
10.12.1974 12:00:00; 0,860
27.01.1975 12:00:00; 0,690
18.02.1975 12:00:00; 0,690
12.03.1975 12:00:00; 0,520
30.04.1975 12:00:00; 0,600
20.05.1975 12:00:00; 0,470
24.06.1975 12:00:00;  1,10
31.07.1975 12:00:00;  1,89
15.08.1975 12:00:00;  1,10
30.09.1975 12:00:00;  1,10
21.10.1975 12:00:00; 0,860
30.11.1975 12:00:00;  1,22
31.12.1975 12:00:00; 0,860
05.01.1976 12:00:00; 0,680
18.02.1976 14:00:00; 0,850
22.03.1976 12:00:00; 0,850
20.04.1976 14:00:00; 0,760
09.05.1976 12:00:00; 0,850
11.06.1976 14:00:00; 0,606
07.07.1976 14:00:00; 0,481
01.08.1976 00:00:00; 0,679
21.09.1976 14:00:00; 0,601
08.10.1976 14:00:00; 0,527
30.11.1976 12:00:00; 0,859
01.12.1976 00:00:00; 0,859
25.01.1977 12:00:00; 0,766
05.02.1977 12:00:00;  1,06
26.03.1977 14:00:00;  1,17
06.04.1977 08:00:00; 0,958
06.05.1977 08:00:00; 0,766
10.06.1977 10:00:00; 0,680
06.07.1977 10:00:00; 0,601
31.08.1977 12:00:00; 0,527
27.09.1977 14:00:00; 0,460
01.10.1977 02:00:00; 0,398
01.11.1977 00:00:00; 0,398
20.12.1977 12:00:00; 0,341
02.01.1978 14:00:00; 0,341
01.02.1978 02:00:00; 0,341
01.03.1978 00:00:00; 0,460
01.04.1978 00:00:00; 0,460
04.05.1978 14:00:00; 0,680
05.06.1978 12:00:00; 0,601
14.07.1978 12:00:00;  1,06
21.08.1978 14:00:00; 0,766
26.09.1978 08:00:00; 0,290
01.10.1978 00:00:00; 0,398
05.11.1978 10:00:00; 0,460
25.12.1978 10:00:00; 0,398
14.01.1979 12:00:00; 0,244
05.02.1979 12:00:00; 0,460
02.03.1979 14:00:00; 0,398
23.04.1979 14:00:00;  1,06
26.05.1979 14:00:00; 0,850
05.06.1979 14:00:00; 0,679
01.07.1979 00:00:00;  1,06
31.08.1979 23:59:55;  1,16
15.09.1979 12:00:00; 0,679
04.10.1979 12:00:00; 0,850
03.11.1979 14:00:00; 0,679
20.12.1979 14:00:00; 0,760
14.01.1980 12:00:00; 0,606
01.02.1980 00:00:00; 0,679
09.03.1980 12:00:00; 0,760
14.04.1980 12:00:00; 0,950
28.05.1980 12:00:00; 0,606
15.06.1980 14:00:00; 0,460
26.07.1980 12:00:00; 0,527
02.08.1980 14:00:00; 0,527
29.09.1980 14:00:00; 0,606
01.10.1980 00:00:00; 0,608
18.11.1980 12:00:00;  1,18
09.12.1980 14:00:00; 0,958
20.01.1981 14:00:00; 0,527
01.02.1981 02:00:00; 0,527
02.03.1981 14:00:00; 0,527
20.04.1981 14:00:00; 0,601
09.05.1981 10:00:00; 0,760
12.06.1981 10:00:00; 0,606
10.07.1981 12:00:00; 0,679
16.08.1981 12:00:00; 0,679
08.09.1981 14:00:00; 0,760
15.10.1981 14:00:00; 0,850
06.11.1981 14:00:00; 0,950
18.12.1981 14:00:00; 0,540
26.01.1982 12:00:00; 0,540
24.02.1982 10:00:00; 0,679
01.03.1982 00:00:00; 0,679
21.04.1982 14:00:00; 0,850
05.05.1982 12:00:00; 0,760
21.06.1982 08:00:00; 0,606
10.07.1982 10:00:00; 0,760
07.08.1982 07:59:00; 0,111
26.09.1982 10:00:00; 0,593
01.10.1982 00:00:00; 0,691
06.11.1982 08:00:00; 0,745
07.12.1982 08:00:00;  1,01
05.01.1983 08:00:00; 0,936
22.02.1983 08:00:00; 0,691
01.03.1983 00:00:00; 0,936
29.04.1983 08:00:00; 0,804
14.05.1983 08:00:00; 0,691
19.06.1983 08:00:00; 0,745
28.07.1983 08:00:00; 0,550
16.08.1983 10:00:00; 0,550
28.09.1983 08:00:00; 0,510
05.10.1983 08:00:00; 0,510
19.11.1983 12:00:00; 0,510
02.12.1983 12:00:00; 0,510
31.01.1984 19:00:00; 0,232
22.02.1984 20:45:00; 0,238
18.03.1984 08:00:00; 0,248
19.04.1984 14:45:00; 0,438
08.05.1984 03:30:00; 0,323
22.06.1984 03:45:00; 0,264
03.07.1984 06:00:00; 0,276
02.08.1984 09:00:00; 0,270
09.09.1984 08:15:00; 0,187
03.10.1984 06:15:00; 0,227
07.11.1984 20:30:00; 0,323
05.12.1984 17:15:00; 0,343
21.01.1985 16:30:00; 0,314
04.02.1985 06:45:00; 0,314
19.03.1985 05:15:00; 0,306
24.04.1985 07:00:00; 0,345
30.05.1985 10:30:00; 0,309
21.06.1985 07:00:00; 0,225
09.07.1985 06:00:00; 0,351
18.08.1985 23:15:00; 0,280
24.09.1985 18:00:00; 0,250
22.10.1985 18:15:00; 0,236
20.11.1985 18:30:00; 0,200
02.12.1985 15:45:00; 0,296
27.01.1986 16:30:00; 0,330
10.02.1986 07:30:00; 0,243
28.03.1986 05:30:00; 0,228
24.04.1986 03:15:00; 0,232
22.05.1986 02:45:00; 0,296
19.06.1986 04:45:00; 0,232
07.07.1986 05:15:00; 0,215
04.08.1986 08:45:00; 0,240
22.09.1986 19:15:00; 0,149
22.10.1986 19:00:00; 0,153
27.11.1986 18:00:00; 0,123
17.12.1986 17:15:00; 0,112
30.01.1987 08:00:00; 0,219
17.02.1987 05:15:00; 0,238
10.03.1987 17:45:00; 0,470
03.04.1987 02:30:00; 0,307
18.05.1987 04:15:00; 0,202
27.06.1987 11:30:00; 0,243
10.07.1987 04:45:00; 0,243
23.08.1987 09:15:00; 0,182
03.09.1987 04:00:00; 0,166
07.10.1987 08:30:00; 0,166
15.11.1987 06:45:00; 0,137
19.12.1987 09:45:00; 0,182
14.01.1988 17:30:00; 0,301
13.02.1988 11:45:00; 0,270
09.03.1988 15:15:00; 0,257
23.04.1988 18:00:00; 0,311
03.05.1988 18:00:00; 0,170
10.06.1988 04:15:00; 0,275
14.07.1988 00:15:00; 0,465
08.08.1988 10:00:00; 0,245
12.09.1988 13:30:00; 0,311
11.10.1988 16:45:00; 0,329
21.11.1988 15:15:00; 0,351
16.12.1988 08:45:00; 0,311
26.01.1989 15:30:00; 0,259
17.02.1989 06:30:00; 0,275
13.03.1989 17:00:00; 0,329
13.04.1989 06:45:00; 0,396
14.05.1989 10:00:00; 0,396
19.06.1989 13:15:00; 0,372
01.07.1989 18:30:00; 0,714
17.08.1989 16:45:00; 0,372
13.09.1989 04:00:00; 0,504
20.10.1989 07:30:00; 0,372
17.11.1989 10:00:00; 0,329
13.12.1989 12:00:00; 0,230
04.01.1990 12:45:00; 0,087
01.02.1990 16:45:00; 0,110
19.03.1990 17:00:00; 0,110
05.04.1990 07:15:00; 0,120
10.05.1990 10:00:00; 0,329
03.06.1990 13:45:00; 0,368
30.07.1990 08:15:00; 0,473
18.08.1990 09:15:00; 0,292
04.09.1990 12:30:00; 0,216
22.10.1990 15:30:00; 0,095
09.11.1990 08:45:00; 0,372
06.12.1990 15:30:00; 0,372
30.01.1991 07:45:00; 0,130
11.02.1991 20:00:00; 0,095
21.03.1991 21:30:00; 0,164
18.04.1991 23:45:00; 0,164
13.05.1991 03:30:00; 0,396
18.06.1991 18:45:00; 0,275
17.07.1991 18:00:00; 0,164
30.08.1991 16:00:00; 0,087
14.09.1991 13:45:00; 0,107
02.10.1991 18:00:00; 0,233
08.11.1991 13:15:00; 0,357
19.12.1991 01:45:00; 0,333
10.01.1992 09:30:00; 0,333
11.02.1992 08:00:00; 0,173
19.03.1992 09:15:00; 0,186
26.04.1992 17:30:00; 0,152
26.05.1992 17:30:00; 0,069
01.06.1992 15:30:00; 0,075
25.07.1992 15:15:00; 0,116
08.08.1992 12:45:00; 0,099
22.09.1992 08:30:00; 0,210
02.10.1992 05:00:00; 0,285
08.11.1992 14:15:00; 0,316
04.12.1992 05:45:00; 0,351
13.01.1993 18:15:00; 0,603
18.02.1993 21:30:00; 0,567
21.03.1993 03:15:00; 0,216
16.04.1993 02:30:00; 0,160
25.05.1993 14:30:00; 0,037
15.06.1993 13:00:00; 0,037
02.07.1993 04:00:00; 0,047
29.08.1993 16:30:00; 0,258
05.09.1993 09:15:00; 0,284
22.10.1993 00:10:00; 0,120
30.11.1993 12:00:00; 0,226
10.12.1993 18:15:00; 0,264
03.01.1994 08:15:00; 0,334
03.02.1994 16:30:00; 0,201
08.03.1994 17:15:00; 0,441
29.04.1994 18:15:00; 0,730
20.05.1994 15:45:00; 0,500
29.06.1994 19:30:00; 0,432
18.07.1994 17:00:00; 0,314
02.08.1994 00:15:00; 0,285
14.09.1994 10:45:00; 0,333
18.10.1994 14:30:00; 0,245
02.11.1994 15:45:00; 0,351
19.12.1994 08:15:00; 0,351
03.01.1995 16:00:00; 0,453
03.02.1995 06:30:00; 0,333
23.03.1995 14:00:00; 0,477
30.04.1995 17:00:00; 0,368
03.05.1995 13:45:00; 0,388
04.06.1995 16:30:00; 0,431
03.07.1995 20:30:00; 0,453
18.08.1995 08:45:00; 0,477
28.09.1995 18:00:00; 0,438
24.10.1995 16:15:00; 0,201
14.11.1995 10:00:00; 0,126
04.12.1995 16:45:00; 0,311
22.01.1996 10:45:00; 0,250
09.02.1996 18:00:00; 0,438
02.03.1996 03:00:00; 0,469
03.04.1996 04:30:00; 0,741
09.05.1996 06:30:00; 0,244
08.06.1996 18:45:00; 0,250
29.07.1996 06:00:00; 0,186
03.08.1996 07:00:00; 0,147
14.09.1996 05:45:00; 0,496
15.10.1996 12:45:00; 0,736
09.11.1996 14:30:00; 0,192
04.12.1996 14:15:00; 0,529
15.01.1997 15:15:00; 0,233
03.02.1997 09:00:00; 0,289
03.03.1997 15:15:00; 0,446
08.04.1997 13:30:00; 0,396
30.05.1997 10:00:00; 0,226
12.06.1997 20:30:00; 0,087
04.07.1997 17:30:00; 0,333
08.08.1997 11:30:00; 0,477
05.09.1997 16:30:00; 0,388
10.10.1997 08:15:00; 0,285
10.11.1997 12:30:00; 0,351
19.12.1997 07:45:00; 0,408
15.01.1998 17:15:00; 0,468
18.02.1998 08:00:00; 0,302
04.03.1998 15:00:00; 0,180
02.04.1998 12:00:00; 0,276
29.05.1998 15:45:00; 0,192
01.06.1998 14:15:00; 0,279
14.07.1998 07:30:00; 0,303
26.08.1998 16:15:00; 0,355
29.09.1998 18:15:00; 0,224
24.10.1998 15:30:00; 0,170
17.11.1998 17:30:00; 0,235
06.12.1998 13:15:00; 0,269
01.01.1999 05:00:00; 0,340
20.02.1999 14:45:00; 0,438
08.03.1999 14:45:00; 0,258
06.04.1999 14:00:00; 0,319
19.05.1999 18:45:00; 0,355
08.06.1999 13:45:00; 0,287
02.07.1999 19:30:00; 0,575
15.08.1999 19:00:00; 0,554
30.09.1999 16:15:00; 0,419
13.10.1999 16:00:00; 0,337
07.11.1999 15:00:00; 0,276
30.12.1999 00:00:00; 0,186
09.01.2000 14:30:00; 0,182
14.02.2000 14:15:00; 0,328
09.03.2000 18:45:00; 0,311
23.04.2000 15:15:00; 0,372
01.05.2000 01:00:00; 0,419
05.06.2000 15:15:00; 0,356
13.07.2000 08:15:00; 0,221
25.08.2000 23:28:40; 0,349
10.09.2000 18:00:00; 0,286
02.10.2000 11:15:00; 0,398
11.11.2000 15:15:00; 0,499
27.12.2000 14:00:00; 0,372
03.01.2001 09:15:00; 0,372
23.02.2001 17:15:00; 0,483
28.03.2001 15:45:00; 0,447
30.04.2001 12:45:00; 0,319
29.05.2001 12:45:00; 0,230
01.06.2001 05:00:00; 0,258
23.07.2001 13:45:00; 0,180
07.08.2001 15:30:00; 0,180
21.09.2001 14:30:00; 0,169
23.10.2001 16:00:00; 0,116
06.11.2001 19:30:00; 0,126
10.12.2001 00:51:50; 0,139
05.01.2002 02:30:00; 0,144
25.02.2002 14:00:00; 0,157
14.03.2002 21:45:00; 0,164
12.04.2002 05:45:00; 0,160
08.05.2002 06:15:00; 0,180
30.06.2002 20:00:00; 0,272
23.07.2002 10:15:00; 0,209
03.08.2002 19:15:00; 0,245
16.09.2002 20:00:00; 0,240
09.10.2002 16:30:00; 0,269
15.11.2002 22:45:00; 0,294
02.12.2002 11:45:00; 0,431
14.01.2003 16:00:00; 0,468
14.02.2003 11:30:00; 0,320
10.03.2003 12:30:00; 0,338
05.04.2003 11:00:00; 0,242
13.05.2003 11:45:00; 0,242
24.06.2003 06:45:00; 0,209
21.07.2003 05:44:45; 0,170
15.08.2003 06:59:45; 0,180
08.09.2003 15:30:00; 0,287
02.10.2003 13:00:00; 0,287
30.11.2003 22:00:00; 0,341
24.12.2003 08:13:35; 0,194
28.01.2004 13:30:00; 0,293
24.02.2004 09:00:00; 0,350
08.03.2004 17:15:00; 0,230
17.04.2004 09:45:00; 0,468
18.05.2004 16:00:00; 0,420
02.06.2004 19:30:00; 0,875
22.07.2004 13:00:00; 0,831
23.08.2004 14:45:00; 0,398
10.09.2004 12:30:00; 0,303
06.10.2004 15:15:00; 0,302
23.11.2004 16:45:00; 0,302
21.12.2004 17:00:00; 0,377
25.01.2005 07:30:00; 0,302
07.02.2005 15:48:35; 0,385
05.03.2005 16:45:00; 0,398
07.04.2005 13:30:00; 0,341
17.05.2005 13:15:00; 0,264
21.06.2005 14:45:00; 0,338
07.07.2005 17:56:30; 0,265
12.08.2005 10:30:00; 0,613
27.09.2005 12:15:00; 0,469
20.10.2005 17:15:00; 0,394
14.11.2005 15:15:00; 0,204
19.12.2005 15:00:00; 0,149
01.01.2006 07:50:05; 0,215
06.02.2006 14:15:00; 0,303
17.03.2006 16:00:00; 0,216
25.04.2006 15:00:00; 0,282
17.05.2006 18:15:00; 0,450
28.06.2006 14:15:00; 0,320
31.07.2006 18:30:00; 0,363
10.08.2006 06:15:00; 0,227
14.09.2006 19:45:00; 0,289
02.10.2006 15:45:00; 0,357
15.11.2006 15:00:00; 0,293
01.12.2006 12:45:00; 0,293
05.01.2007 16:30:00; 0,393
05.02.2007 02:15:00; 0,477
01.03.2007 01:30:00; 0,477
23.04.2007 22:15:00; 0,564
13.05.2007 19:30:00; 0,482
01.06.2007 17:30:00; 0,592
27.07.2007 00:30:00; 0,546
28.08.2007 17:15:00; 0,508
02.09.2007 14:30:00; 0,780
20.10.2007 11:45:00; 0,646
04.11.2007 13:00:00; 0,432
30.12.2007 02:15:00; 0,522
29.01.2008 15:00:00; 0,434
17.02.2008 03:15:00; 0,393
01.03.2008 03:30:00; 0,477
24.04.2008 18:15:00; 0,470
31.05.2008 23:45:00; 0,386
01.06.2008 05:00:00; 0,386
10.07.2008 16:30:00; 0,434
14.08.2008 14:45:00; 0,660
26.09.2008 12:30:00; 0,461
12.10.2008 12:00:00; 0,386
03.11.2008 17:15:00; 0,426
01.12.2008 02:00:00; 0,516
10.01.2009 07:15:00; 0,516
27.02.2009 08:45:00; 0,718
01.03.2009 11:45:00; 0,660
26.04.2009 16:30:00; 0,903
08.05.2009 19:45:00; 0,718
19.06.2009 17:00:00; 0,660
17.07.2009 18:15:00;  1,10
03.08.2009 13:30:00;  1,46
16.09.2009 17:45:00;  1,55
23.10.2009 18:15:00;  1,13
01.11.2009 14:15:00; 0,925
18.12.2009 05:15:00; 0,989
29.01.2010 17:15:00; 0,584
08.02.2010 19:45:00; 0,634
15.03.2010 23:15:00; 0,663
27.04.2010 13:45:00; 0,562
01.05.2010 00:45:00; 0,562
01.06.2010 17:00:00; 0,611
22.07.2010 18:00:00; 0,776
02.08.2010 15:45:00; 0,776
03.09.2010 15:00:00; 0,776
15.10.2010 16:15:00; 0,860
04.11.2010 16:30:00; 0,799
04.12.2010 02:45:00; 0,860
25.01.2011 04:00:00; 0,799
01.02.2011 21:00:00; 0,799
28.03.2011 20:30:00; 0,683
29.04.2011 22:45:00; 0,622
22.05.2011 18:15:00; 0,568
04.06.2011 13:00:00; 0,613
22.07.2011 13:45:00; 0,864
29.08.2011 18:15:00; 0,537
30.09.2011 00:30:00; 0,562
17.10.2011 23:15:00; 0,471
11.11.2011 16:45:00; 0,390
02.12.2011 15:45:00; 0,471
24.01.2012 19:30:00; 0,390
16.02.2012 19:45:00; 0,353
06.03.2012 16:00:00; 0,429
21.04.2012 22:45:00; 0,450
01.05.2012 03:00:00; 0,450
01.06.2012 22:30:00; 0,698
11.07.2012 14:00:00; 0,925
31.08.2012 11:15:00; 0,865
09.09.2012 17:00:00; 0,750
01.10.2012 00:00:00; 0,806
23.11.2012 16:15:00; 0,817
21.12.2012 17:30:00; 0,816
25.01.2013 18:45:00; 0,741
04.02.2013 14:30:00; 0,860
27.03.2013 18:15:00;  1,37
30.04.2013 17:15:00;  1,55
01.05.2013 00:00:00;  1,55
21.06.2013 21:45:00; 0,840
28.07.2013 17:45:00; 0,504
03.08.2013 17:00:00; 0,504
06.09.2013 11:30:00; 0,718
27.10.2013 08:00:00; 0,718
03.11.2013 00:00:00; 0,837
20.12.2013 23:30:00; 0,900
22.01.2014 18:45:00; 0,758
04.02.2014 12:30:00; 0,669
29.03.2014 19:00:00; 0,885
25.04.2014 20:15:00; 0,640
10.05.2014 17:00:00; 0,606
22.06.2014 11:30:00; 0,507
20.07.2014 12:00:00; 0,829
09.08.2014 13:30:00;  1,22
28.09.2014 11:15:00;  1,43
18.10.2014 16:00:00; 0,916
04.11.2014 14:00:00; 0,982
26.12.2014 14:45:00;  1,26
27.01.2015 16:45:00;  1,11
26.02.2015 16:30:00; 0,880
19.03.2015 21:00:00; 0,692
21.04.2015 23:45:00; 0,752
09.05.2015 09:00:00; 0,632
20.06.2015 16:15:00; 0,480
09.07.2015 18:00:00; 0,430
05.08.2015 22:15:00; 0,353
19.09.2015 07:15:00; 0,353
06.10.2015 00:15:00; 0,353
26.11.2015 02:45:00; 0,480
28.12.2015 16:30:00; 0,353
22.01.2016 10:15:00; 0,353
04.02.2016 20:15:00; 0,480
31.03.2016 23:59:55; 0,595
22.04.2016 07:30:00; 0,398
30.05.2016 06:45:00; 0,479
02.06.2016 04:30:00; 0,478
02.07.2016 19:00:00; 0,928
28.08.2016 23:00:00;  1,09
29.09.2016 14:15:00; 0,629
08.10.2016 08:45:00; 0,382
03.11.2016 00:00:00; 0,629
31.12.2016 05:30:00; 0,523
28.01.2017 07:45:00; 0,353
15.02.2017 04:30:00; 0,353
13.03.2017 19:45:00; 0,307
16.04.2017 15:00:00; 0,207
28.05.2017 06:45:00; 0,233
04.06.2017 15:00:00; 0,158
13.07.2017 19:30:00; 0,166
14.08.2017 13:00:00; 0,243
11.09.2017 18:15:00; 0,243
09.10.2017 20:30:00; 0,340
12.11.2017 16:30:00; 0,272
03.12.2017 22:15:00; 0,305
08.01.2018 04:00:00; 0,523
16.02.2018 05:15:00; 0,426
01.03.2018 02:30:00; 0,473
15.04.2018 20:30:00; 0,692
01.05.2018 23:30:00; 0,692
30.06.2018 12:45:00; 0,808
05.07.2018 11:30:00; 0,629
18.08.2018 18:30:00; 0,382
27.09.2018 22:30:00; 0,426
25.10.2018 07:00:00; 0,215
10.11.2018 04:15:00; 0,426
20.12.2018 05:00:00; 0,480
26.01.2019 03:45:00; 0,391
01.02.2019 07:45:00; 0,353
23.03.2019 16:45:00; 0,394
08.04.2019 17:00:00; 0,355
02.05.2019 19:15:00; 0,394
13.06.2019 06:45:00; 0,314
21.07.2019 17:30:00; 0,314
11.08.2019 12:30:00; 0,285
03.09.2019 18:00:00; 0,314
21.10.2019 15:00:00; 0,314
02.11.2019 20:15:00; 0,391
30.12.2019 13:30:00; 0,421
25.01.2020 16:15:00; 0,334
25.02.2020 19:15:00; 0,295
17.03.2020 21:45:00; 0,234
17.04.2020 06:30:00; 0,207
28.05.2020 05:00:00; 0,220
07.06.2020 14:00:00; 0,220
01.07.2020 15:45:00; 0,347
09.08.2020 18:15:00; 0,528
02.09.2020 21:00:00; 0,660
27.10.2020 15:30:00; 0,615
02.11.2020 07:15:00; 0,516
01.12.2020 08:00:00; 0,470
01.01.2021 00:00:00; 0,564
23.02.2021 21:15:00; 0,555
03.03.2021 19:00:00; 0,555
29.04.2021 11:30:00; 0,555
04.05.2021 15:15:00; 0,461
28.06.2021 04:30:00; 0,507
30.07.2021 15:30:00; 0,414
27.08.2021 07:45:00; 0,319
12.09.2021 01:15:00; 0,319
01.10.2021 15:30:00; 0,319
27.11.2021 10:45:00; 0,149
14.12.2021 09:45:00; 0,171
