Messstelle:                ;Thebnerstraßl
19.05.2003 15:45:00;  1725
30.06.2003 23:15:00;  1319
15.07.2003 13:45:00;   933
28.08.2003 19:30:00;   765
09.09.2003 09:15:00;   775
04.10.2003 01:15:00;   899
25.11.2003 06:45:00;   807
09.12.2003 10:15:00;   754
04.01.2004 00:00:00;   696
02.02.2004 14:30:00;  1128
09.03.2004 09:15:00;  1104
16.04.2004 13:45:00;  1747
12.05.2004 19:30:00;  1630
01.06.2004 14:30:00;  1784
31.07.2004 19:00:00;  1717
09.08.2004 23:55:25;  1215
22.09.2004 19:15:00;  1013
26.10.2004 09:00:00;  1038
08.11.2004 12:30:00;  1085
24.12.2004 13:00:00;   844
02.01.2005 00:00:00;   973
10.02.2005 20:30:00;   985
08.03.2005 11:15:00;  1008
15.04.2005 19:30:40;  2228
15.05.2005 14:00:00;  2267
30.06.2005 19:44:55;  1544
01.07.2005 17:44:55;  1578
14.08.2005 22:00:00;  1370
26.09.2005 10:00:00;  1279
27.10.2005 00:00:00;   944
07.11.2005 05:15:00;   861
05.12.2005 09:00:00;   872
31.01.2006 15:43:50;   828
07.02.2006 10:45:00;   769
03.03.2006 00:45:00;  1169
24.04.2006 20:00:00;  3492
26.05.2006 18:45:00;  2471
26.06.2006 16:15:00;  2488
24.07.2006 19:30:00;  1277
01.08.2006 18:45:00;  1402
30.09.2006 22:45:00;  1119
23.10.2006 08:15:00;   859
02.11.2006 21:00:00;  1023
27.12.2006 06:15:00;   838
02.01.2007 00:00:00;   827
26.02.2007 07:45:00;  1296
19.03.2007 10:00:00;  1376
30.04.2007 04:15:00;  1156
02.05.2007 21:30:00;  1041
11.06.2007 07:00:00;  1443
29.07.2007 20:15:00;  1257
07.08.2007 16:15:00;  1169
04.09.2007 21:00:00;  1498
16.10.2007 18:30:00;  1101
04.11.2007 12:45:00;  1270
31.12.2007 17:30:00;  1150
06.01.2008 19:30:00;  1089
24.02.2008 17:00:00;  1095
01.03.2008 00:15:00;  1362
20.04.2008 17:00:00;  1937
05.05.2008 14:45:00;  2216
30.06.2008 15:30:00;  1763
12.07.2008 16:00:00;  1598
31.08.2008 13:15:00;  1292
30.09.2008 03:45:00;  1112
27.10.2008 15:30:00;   886
17.11.2008 10:45:00;   923
15.12.2008 10:30:00;  1004
14.01.2009 07:45:00;   802
02.02.2009 09:00:00;   843
23.03.2009 19:30:00;  2085
26.04.2009 13:15:00;  2320
04.05.2009 19:30:00;  2286
15.06.2009 06:30:00;  1748
31.07.2009 14:45:00;  2167
26.08.2009 20:30:00;  1519
30.09.2009 11:15:00;  1107
05.10.2009 10:15:00;   977
30.11.2009 10:00:00;  1225
21.12.2009 14:00:00;  1200
29.01.2010 09:30:00;  1107
17.02.2010 08:30:00;  1053
15.03.2010 08:45:00;  1251
13.04.2010 22:00:00;  1533
01.05.2010 00:00:00;  1671
30.06.2010 08:15:00;  2175
22.07.2010 15:00:00;  1693
24.08.2010 05:00:00;  1875
24.09.2010 07:30:00;  1457
17.10.2010 16:00:00;  1238
08.11.2010 09:30:00;  1169
06.12.2010 09:45:00;  1113
08.01.2011 08:15:00;  1322
27.02.2011 07:00:00;  1227
10.03.2011 10:00:00;  1121
26.04.2011 03:00:00;  1221
10.05.2011 02:45:00;  1091
17.06.2011 08:15:00;  1510
19.07.2011 06:15:00;  1429
31.08.2011 16:30:00;  1245
18.09.2011 19:45:00;  1085
06.10.2011 01:45:00;  1015
28.11.2011 02:45:00;   786
05.12.2011 08:30:00;   804
01.01.2012 01:45:00;  1304
14.02.2012 04:30:00;  1160
12.03.2012 12:15:00;  1710
26.04.2012 14:00:00;  1710
19.05.2012 15:45:00;  1695
01.06.2012 00:00:00;  2143
20.07.2012 09:45:00;  1852
21.08.2012 20:45:00;  1183
11.09.2012 05:30:00;  1183
07.10.2012 19:15:00;  1224
27.11.2012 08:30:00;  1102
10.12.2012 15:45:00;  1131
28.01.2013 10:30:00;  1336
24.02.2013 21:30:00;  1573
28.03.2013 22:15:00;  1558
08.04.2013 08:00:00;  1617
27.05.2013 05:30:00;  1912
30.06.2013 12:30:00;  2928
30.07.2013 10:00:00;  1444
18.08.2013 21:30:00;  1149
09.09.2013 05:15:00;  1222
06.10.2013 20:30:00;  1370
03.11.2013 01:45:00;  1390
24.12.2013 00:15:00;  1123
06.01.2014 07:45:00;  1096
28.02.2014 06:45:00;  1117
12.03.2014 19:15:00;   980
06.04.2014 02:15:00;  1184
07.05.2014 15:45:00;  1543
23.06.2014 20:15:00;  1162
08.07.2014 09:15:00;  1355
26.08.2014 18:00:00;  1654
30.09.2014 07:45:00;  1698
14.10.2014 01:15:00;  1150
30.11.2014 22:30:00;  1255
15.12.2014 04:45:00;  1123
02.01.2015 22:30:00;  1112
22.02.2015 06:00:00;  1191
17.03.2015 20:15:00;  1326
26.04.2015 16:45:00;  1772
02.05.2015 15:30:00;  1975
30.06.2015 21:00:00;  2013
30.07.2015 06:00:00;  1213
31.08.2015 23:15:00;   952
21.09.2015 03:45:00;   939
05.10.2015 19:30:00;   882
20.11.2015 07:45:00;   812
31.12.2015 07:45:00;   828
02.01.2016 22:00:00;   820
01.02.2016 00:15:00;  1655
25.03.2016 23:45:00;  1248
01.04.2016 00:00:00;  1415
01.05.2016 20:45:00;  1435
30.06.2016 16:45:00;  2608
12.07.2016 00:45:00;  1701
29.08.2016 20:00:00;  1351
17.09.2016 02:45:00;  1146
02.10.2016 22:15:00;  1073
03.11.2016 11:00:00;  1048
25.12.2016 09:45:00;   930
22.01.2017 23:00:00;   808
01.02.2017 00:00:00;   942
07.03.2017 19:45:00;  1589
16.04.2017 04:45:00;  1313
29.05.2017 21:30:00;  1765
25.06.2017 17:30:00;  1276
09.07.2017 06:00:00;  1313
31.08.2017 23:59:55;  1415
30.09.2017 23:59:55;  1376
22.10.2017 10:15:00;   996
06.11.2017 14:45:00;  1396
04.12.2017 21:30:00;  1434
16.01.2018 15:30:00;  1965
27.02.2018 05:45:00;  1275
03.03.2018 07:15:00;  1251
04.04.2018 18:15:00;  1621
23.05.2018 13:00:00;  1634
25.06.2018 07:15:00;  1299
30.07.2018 12:00:00;   968
21.08.2018 00:30:00;   834
30.09.2018 23:30:00;   872
22.10.2018 09:15:00;   680
26.11.2018 07:45:00;   745
01.12.2018 09:15:00;   768
28.01.2019 06:45:00;  1348
02.02.2019 07:15:00;  1320
30.03.2019 17:15:00;  1910
17.04.2019 14:00:00;  1635
03.05.2019 04:45:00;  1995
30.06.2019 22:00:00;  2231
23.07.2019 04:30:00;  1280
31.08.2019 21:15:00;  1307
24.09.2019 00:30:00;   818
28.10.2019 11:45:00;   889
04.11.2019 20:15:00;  1072
09.12.2019 11:00:00;   900
27.01.2020 11:15:00;   968
01.02.2020 00:15:00;  1189
30.03.2020 21:45:00;  1275
06.04.2020 17:30:00;  1076
31.05.2020 23:00:00;  1308
03.06.2020 05:15:00;  1158
28.07.2020 00:15:00;  1492
27.08.2020 22:30:00;  1295
21.09.2020 03:45:00;  1076
11.10.2020 19:30:00;  1541
30.11.2020 23:30:00;  1051
21.12.2020 20:30:00;   919
18.01.2021 11:30:00;   960
16.02.2021 17:30:00;  1662
09.03.2021 17:30:00;  1326
26.04.2021 14:30:00;  1280
01.05.2021 00:00:00;  1534
30.06.2021 02:00:00;  1816
08.07.2021 09:30:00;  1705
23.08.2021 00:15:00;  1854
27.09.2021 00:00:00;  1179
31.10.2021 20:30:00;   909
28.11.2021 11:00:00;   882
01.12.2021 00:00:00;  1006
