Messstelle:                ;Almdorf
27.10.1959 12:00:00;  2,10
25.11.1959 12:00:00;  1,78
24.12.1959 12:00:00;  1,46
26.01.1960 12:00:00;  1,30
11.02.1960 12:00:00;  2,10
10.03.1960 12:00:00;  5,08
30.04.1960 12:00:00;  4,56
03.05.1960 12:00:00;  4,06
26.06.1960 12:00:00;  3,10
05.07.1960 12:00:00;  3,58
28.08.1960 12:00:00;  4,80
29.09.1960 12:00:00;  3,80
06.10.1960 12:00:00;  3,34
28.11.1960 12:00:00;  3,34
30.12.1960 12:00:00;  2,26
11.01.1961 12:00:00;  2,45
09.02.1961 12:00:00;  2,26
28.03.1961 12:00:00;  3,80
29.04.1961 12:00:00;  5,32
02.05.1961 12:00:00;  5,87
28.06.1961 12:00:00;  3,11
08.07.1961 12:00:00;  2,88
10.08.1961 12:00:00;  2,88
30.09.1961 12:00:00;  1,87
13.10.1961 12:00:00;  1,29
25.11.1961 12:00:00;  1,54
04.12.1961 12:00:00;  1,54
24.01.1962 12:00:00;  2,38
28.02.1962 12:00:00;  2,70
02.03.1962 12:00:00;  2,70
12.04.1962 12:00:00;  4,47
03.05.1962 12:00:00;  7,18
30.06.1962 12:00:00;  4,71
01.07.1962 12:00:00;  4,23
14.08.1962 12:00:00;  3,33
16.09.1962 12:00:00;  2,70
28.10.1962 12:00:00;  2,06
22.11.1962 12:00:00;  2,06
30.12.1962 12:00:00;  1,78
31.01.1963 12:00:00;  2,06
23.02.1963 12:00:00;  1,78
03.03.1963 12:00:00;  1,66
03.04.1963 12:00:00;  3,99
31.05.1963 12:00:00;  5,73
18.06.1963 12:00:00;  3,75
31.07.1963 12:00:00;  2,38
04.08.1963 12:00:00;  2,22
22.09.1963 12:00:00;  3,33
31.10.1963 12:00:00;  2,06
11.11.1963 12:00:00;  1,90
31.12.1963 12:00:00;  1,90
31.01.1964 12:00:00;  1,90
26.02.1964 12:00:00;  1,90
13.03.1964 12:00:00;  2,38
10.04.1964 12:00:00;  4,95
31.05.1964 12:00:00;  4,95
29.06.1964 12:00:00;  3,75
31.07.1964 12:00:00;  2,70
01.08.1964 12:00:00;  2,70
30.09.1964 12:00:00;  3,10
08.10.1964 12:00:00;  2,10
12.11.1964 12:00:00;  3,58
31.12.1964 12:00:00;  3,10
30.01.1965 12:00:00;  2,10
20.02.1965 12:00:00;  2,10
08.03.1965 12:00:00;  2,10
22.04.1965 12:00:00;  7,00
01.05.1965 12:00:00;  7,96
30.06.1965 12:00:00;  10,9
22.07.1965 12:00:00;  4,50
23.08.1965 12:00:00;  3,30
26.09.1965 12:00:00;  2,25
31.10.1965 12:00:00;  1,53
27.11.1965 12:00:00;  1,35
17.12.1965 12:00:00;  1,35
04.01.1966 12:00:00;  2,70
12.02.1966 12:00:00;  4,30
31.03.1966 12:00:00;  3,82
01.04.1966 12:00:00;  3,82
14.05.1966 12:00:00;  7,38
18.06.1966 12:00:00;  5,08
13.07.1966 12:00:00;  6,44
30.08.1966 12:00:00;  7,00
30.09.1966 12:00:00;  3,58
31.10.1966 12:00:00;  2,90
22.11.1966 12:00:00;  2,10
18.12.1966 12:00:00;  2,90
28.01.1967 12:00:00;  2,10
20.02.1967 12:00:00;  2,90
25.03.1967 12:00:00;  3,58
04.04.1967 12:00:00;  5,08
25.05.1967 12:00:00;  11,8
30.06.1967 12:00:00;  6,44
31.07.1967 12:00:00;  3,82
03.08.1967 12:00:00;  3,10
30.09.1967 12:00:00;  3,10
30.10.1967 12:00:00;  2,70
30.11.1967 12:00:00;  2,70
09.12.1967 12:00:00;  2,10
31.01.1968 12:00:00;  2,70
29.02.1968 12:00:00;  2,70
20.03.1968 12:00:00;  2,70
14.04.1968 12:00:00;  7,96
28.05.1968 12:00:00;  7,00
30.06.1968 12:00:00;  5,08
14.07.1968 12:00:00;  3,10
06.08.1968 12:00:00;  5,05
21.09.1968 12:00:00;  5,05
31.10.1968 12:00:00;  3,80
20.11.1968 12:00:00;  2,26
31.12.1968 12:00:00;  1,05
15.01.1969 12:00:00;  1,05
24.02.1969 12:00:00;  1,05
11.03.1969 12:00:00;  1,67
01.04.1969 12:00:00;  2,90
31.05.1969 12:00:00;  2,25
25.06.1969 12:00:00;  2,25
03.07.1969 12:00:00;  2,88
14.08.1969 12:00:00;  2,70
30.09.1969 12:00:00;  2,70
31.10.1969 12:00:00;  1,78
04.11.1969 12:00:00;  1,78
31.12.1969 12:00:00;  2,10
31.01.1970 12:00:00;  2,10
21.02.1970 12:00:00;  1,78
19.03.1970 12:00:00;  1,94
07.04.1970 12:00:00;  3,10
04.05.1970 12:00:00;  5,05
23.06.1970 12:00:00;  7,80
13.07.1970 12:00:00;  5,73
29.08.1970 12:00:00;  6,15
30.09.1970 12:00:00;  4,36
22.10.1970 12:00:00;  4,36
17.11.1970 12:00:00;  4,36
31.12.1970 12:00:00;  3,94
31.01.1971 12:00:00;  2,28
28.02.1971 12:00:00;  2,28
16.03.1971 12:00:00;  2,28
01.04.1971 12:00:00;  5,78
28.05.1971 12:00:00;  4,54
03.06.1971 12:00:00;  4,54
28.07.1971 12:00:00;  3,25
22.08.1971 12:00:00;  2,33
26.09.1971 12:00:00;  1,96
31.10.1971 12:00:00;  1,41
05.11.1971 12:00:00;  1,17
09.12.1971 12:00:00;  1,67
09.01.1972 12:00:00;  1,54
18.02.1972 12:00:00;  1,67
05.03.1972 12:00:00;  2,45
01.04.1972 12:00:00;  3,11
02.05.1972 12:00:00;  4,55
12.06.1972 12:00:00;  2,70
09.07.1972 12:00:00;  3,58
16.08.1972 12:00:00;  3,58
30.09.1972 12:00:00;  2,70
20.10.1972 12:00:00;  2,30
30.11.1972 12:00:00;  3,82
31.12.1972 12:00:00;  2,50
24.01.1973 12:00:00;  1,78
28.02.1973 12:00:00;  1,94
21.03.1973 12:00:00;  1,94
22.04.1973 12:00:00;  4,47
31.05.1973 12:00:00;  6,92
17.06.1973 12:00:00;  4,62
19.07.1973 12:00:00;  2,28
27.08.1973 12:00:00;  1,78
13.09.1973 12:00:00;  1,90
15.10.1973 12:00:00;  2,54
13.11.1973 12:00:00;  3,54
03.12.1973 12:00:00;  2,54
05.01.1974 12:00:00;  2,22
16.02.1974 12:00:00;  2,91
09.03.1974 12:00:00;  3,33
23.04.1974 12:00:00;  6,04
27.05.1974 12:00:00;  6,90
10.06.1974 12:00:00;  6,90
31.07.1974 12:00:00;  5,90
25.08.1974 12:00:00;  3,11
18.09.1974 12:00:00;  3,11
19.10.1974 12:00:00;  3,32
10.11.1974 12:00:00;  3,94
26.12.1974 12:00:00;  4,31
23.01.1975 12:00:00;  4,77
25.02.1975 12:00:00;  3,53
01.03.1975 12:00:00;  4,15
11.04.1975 12:00:00;  4,15
31.05.1975 12:00:00;  12,8
24.06.1975 12:00:00;  10,2
31.07.1975 12:00:00;  6,30
15.08.1975 12:00:00;  3,65
24.09.1975 12:00:00;  2,28
31.10.1975 12:00:00;  1,95
04.11.1975 12:00:00;  1,95
19.12.1975 12:00:00;  1,54
01.01.1976 01:00:00;  1,66
17.02.1976 08:00:00;  1,86
11.03.1976 06:00:00;  1,80
29.04.1976 15:00:00;  4,90
01.05.1976 17:00:00;  4,88
30.06.1976 21:00:00;  4,24
17.07.1976 18:00:00;  3,18
10.08.1976 16:00:00;  5,34
29.09.1976 19:00:00;  3,97
14.10.1976 15:00:00;  2,60
14.11.1976 17:00:00;  2,66
31.12.1976 11:00:00;  3,04
19.01.1977 10:00:00;  2,38
03.02.1977 07:00:00;  2,80
02.03.1977 08:00:00;  3,85
17.04.1977 11:00:00;  5,95
31.05.1977 23:59:55;  7,78
25.06.1977 15:00:00;  4,47
13.07.1977 20:00:00;  3,90
18.08.1977 18:00:00;  6,65
28.09.1977 13:00:00;  3,49
18.10.1977 21:00:00;  2,19
12.11.1977 10:00:00;  2,32
08.12.1977 05:00:00;  2,42
28.01.1978 05:00:00;  2,18
23.02.1978 16:00:00;  1,91
28.03.1978 09:00:00;  3,03
18.04.1978 10:00:00;  5,49
17.05.1978 12:00:00;  8,59
22.06.1978 16:00:00;  3,87
31.07.1978 23:59:55;  4,98
23.08.1978 17:00:00;  3,13
05.09.1978 17:00:00;  3,67
17.10.1978 17:00:00;  5,60
30.11.1978 23:59:55;  2,50
06.12.1978 02:00:00;  2,11
02.01.1979 04:00:00;  1,97
27.02.1979 08:00:00;  2,01
01.03.1979 09:00:00;  2,33
09.04.1979 13:00:00;  5,60
06.05.1979 11:00:00;  8,17
10.06.1979 18:00:00;  6,07
30.07.1979 11:00:00;  4,54
02.08.1979 16:00:00;  4,14
20.09.1979 10:00:00;  3,10
31.10.1979 23:59:55;  2,93
02.11.1979 19:00:00;  2,88
31.12.1979 11:00:00;  3,37
27.01.1980 16:00:00;  2,18
01.02.1980 03:00:00;  2,39
10.03.1980 10:00:00;  2,39
10.04.1980 09:00:00;  4,35
19.05.1980 08:00:00;  10,2
21.06.1980 23:00:00;  8,62
31.07.1980 10:00:00;  5,24
28.08.1980 13:00:00;  3,36
20.09.1980 23:00:00;  3,94
07.10.1980 22:00:00;  3,88
15.11.1980 15:00:00;  3,41
18.12.1980 12:00:00;  2,52
21.01.1981 15:00:00;  2,25
05.02.1981 18:00:00;  2,85
02.03.1981 15:00:00;  2,93
30.04.1981 15:00:00;  6,72
29.05.1981 07:00:00;  6,35
17.06.1981 21:00:00;  4,35
11.07.1981 15:00:00;  3,46
16.08.1981 20:00:00;  4,95
08.09.1981 15:00:00;  4,35
10.10.1981 10:00:00;  4,77
30.11.1981 09:00:00;  4,37
27.12.1981 08:00:00;  3,34
30.01.1982 10:00:00;  2,80
25.02.1982 16:00:00;  2,95
08.03.1982 11:00:00;  2,73
24.04.1982 14:00:00;  5,81
01.05.1982 13:30:00;  5,92
11.06.1982 11:30:00;  4,34
20.07.1982 17:00:00;  1,22
27.08.1982 19:00:00;  4,53
30.09.1982 03:00:00;  3,25
01.10.1982 00:00:00;  3,26
11.11.1982 02:00:00;  2,83
06.12.1982 21:00:00;  3,16
01.01.1983 08:30:00;  3,43
17.02.1983 08:00:00;  3,04
08.03.1983 07:30:00;  3,52
06.04.1983 09:30:00;  5,00
31.05.1983 14:00:00;  7,15
27.06.1983 13:30:00;  5,37
27.07.1983 16:30:00;  3,50
29.08.1983 15:00:00;  3,10
19.09.1983 18:00:00;  2,97
14.10.1983 10:30:00;  2,96
23.11.1983 07:30:00;  2,28
16.12.1983 20:30:00;  2,43
27.01.1984 10:00:00;  2,83
09.02.1984 20:00:00;  2,42
12.03.1984 15:30:00;  2,55
07.04.1984 10:30:00;  4,87
01.05.1984 14:30:00;  6,38
19.06.1984 17:30:00;  5,10
19.07.1984 15:30:00;  4,01
03.08.1984 11:00:00;  3,63
05.09.1984 09:00:00;  4,62
31.10.1984 21:30:00;  3,01
22.11.1984 10:30:00;  2,05
29.12.1984 09:00:00;  2,27
10.01.1985 00:45:00;  2,13
24.02.1985 00:00:00;  2,49
20.03.1985 08:00:00;  2,62
21.04.1985 11:30:00;  5,55
31.05.1985 13:45:00;  5,92
07.06.1985 11:15:00;  3,91
29.07.1985 17:15:00;  4,65
25.08.1985 09:30:00;  4,07
30.09.1985 17:30:00;  2,49
30.10.1985 16:15:00;  2,01
01.11.1985 16:45:00;  2,04
15.12.1985 09:45:00;  2,83
13.01.1986 18:45:00;  2,68
28.02.1986 23:59:55;  2,93
01.03.1986 00:00:00;  2,93
15.04.1986 15:15:00;  7,43
27.05.1986 09:00:00;  6,74
30.06.1986 23:59:55;  3,75
04.07.1986 13:45:00;  2,50
06.08.1986 08:30:00;  2,61
30.09.1986 23:59:55;  2,69
13.10.1986 07:15:00;  2,32
30.11.1986 23:59:55;  2,18
26.12.1986 08:00:00;  2,06
01.01.1987 13:45:00;  2,53
27.02.1987 07:00:00;  2,47
24.03.1987 15:45:00;  3,07
03.04.1987 10:45:00;  4,31
24.05.1987 16:15:00;  10,4
30.06.1987 12:30:00;  8,90
23.07.1987 10:30:00;  4,66
23.08.1987 12:00:00;  4,88
22.09.1987 07:00:00;  3,13
31.10.1987 23:59:55;  2,65
10.11.1987 10:30:00;  2,47
16.12.1987 00:00:00;  2,91
19.01.1988 07:30:00;  2,81
14.02.1988 07:30:00;  2,68
10.03.1988 06:45:00;  2,55
02.04.1988 05:30:00;  6,30
30.05.1988 16:30:00;  8,90
30.06.1988 09:30:00;  4,91
29.07.1988 07:15:00;  4,34
17.08.1988 13:45:00;  3,26
27.09.1988 17:00:00;  3,40
10.10.1988 09:30:00;  3,13
07.11.1988 01:45:00;  3,40
09.12.1988 12:15:00;  4,57
29.01.1989 03:00:00;  3,19
03.02.1989 15:45:00;  3,32
03.03.1989 11:15:00;  5,83
29.04.1989 14:15:00;  6,75
29.05.1989 11:15:00;  5,75
15.06.1989 09:45:00;  5,06
30.07.1989 20:00:00;  5,00
25.08.1989 07:45:00;  4,90
12.09.1989 09:15:00;  3,72
31.10.1989 18:30:00;  3,09
25.11.1989 09:30:00;  2,45
15.12.1989 08:00:00;  2,17
18.01.1990 19:15:00;  2,32
02.02.1990 17:30:00;  2,54
06.03.1990 06:45:00;  4,89
06.04.1990 16:45:00;  5,20
31.05.1990 18:00:00;  4,25
01.06.1990 09:00:00;  3,25
24.07.1990 09:00:00;  3,72
13.08.1990 22:45:00;  2,67
03.09.1990 09:30:00;  2,64
23.10.1990 15:15:00;  2,63
09.11.1990 13:15:00;  2,99
29.12.1990 10:15:00;  3,08
31.01.1991 23:59:55;  2,77
19.02.1991 00:00:00;  2,51
01.03.1991 08:00:00;  3,12
16.04.1991 14:45:00;  3,17
02.05.1991 09:15:00;  3,44
26.06.1991 12:00:00;  5,61
13.07.1991 20:45:00;  4,14
31.08.1991 16:00:00;  3,45
25.09.1991 14:30:00;  2,60
30.10.1991 09:00:00;  2,60
01.11.1991 14:30:00;  2,58
20.12.1991 19:45:00;  2,60
28.01.1992 09:45:00;  2,73
01.02.1992 12:30:00;  2,81
01.03.1992 16:30:00;  3,41
19.04.1992 04:00:00;  6,09
31.05.1992 14:15:00;  10,5
30.06.1992 23:59:55;  4,67
31.07.1992 08:45:00;  3,41
07.08.1992 10:15:00;  2,94
27.09.1992 07:00:00;  3,06
20.10.1992 11:15:00;  1,70
11.11.1992 09:15:00;  3,35
31.12.1992 23:59:55;  2,64
03.01.1993 13:45:00;  2,40
27.02.1993 10:30:00;  2,15
10.03.1993 16:15:00;  1,63
01.04.1993 09:15:00;  4,30
30.05.1993 06:00:00;  4,22
12.06.1993 05:45:00;  3,15
05.07.1993 15:00:00;  4,84
20.08.1993 18:00:00;  3,93
25.09.1993 17:45:00;  4,10
13.10.1993 15:30:00;  2,51
29.11.1993 11:45:00;  2,22
05.12.1993 01:45:00;  2,25
19.01.1994 06:30:00;  2,27
15.02.1994 10:15:00;  2,40
01.03.1994 11:00:00;  4,30
13.04.1994 07:30:00;  4,24
24.05.1994 19:00:00;  7,57
28.06.1994 14:30:00;  3,77
25.07.1994 10:30:00;  3,08
06.08.1994 23:45:00;  2,64
30.09.1994 23:59:55;  2,59
21.10.1994 11:00:00;  2,39
07.11.1994 20:00:00;  2,09
21.12.1994 01:45:00;  2,40
19.01.1995 15:15:00;  2,36
04.02.1995 15:30:00;  3,27
08.03.1995 08:45:00;  3,16
01.04.1995 16:15:00;  4,58
23.05.1995 09:00:00;  9,27
22.06.1995 00:15:00;  8,22
27.07.1995 02:45:00;  3,67
08.08.1995 19:15:00;  2,92
26.09.1995 11:00:00;  4,37
19.10.1995 08:45:00;  2,71
01.11.1995 20:45:00;  2,77
12.12.1995 16:00:00;  2,71
31.01.1996 23:59:55;  2,04
29.02.1996 23:59:55;  1,75
14.03.1996 09:45:00;  1,63
04.04.1996 14:30:00;  2,57
25.05.1996 08:15:00;  5,01
19.06.1996 01:45:00;  3,26
26.07.1996 09:30:00;  2,74
01.08.1996 23:00:00;  2,80
03.09.1996 09:15:00;  4,37
16.10.1996 10:30:00;  5,30
30.11.1996 13:15:00;  3,71
05.12.1996 16:00:00;  2,35
20.01.1997 19:30:00;  1,64
10.02.1997 02:30:00;  1,66
02.03.1997 14:15:00;  3,00
17.04.1997 10:00:00;  5,64
31.05.1997 15:30:00;  6,44
05.06.1997 14:15:00;  3,84
03.07.1997 10:00:00;  3,71
11.08.1997 15:00:00;  3,13
25.09.1997 15:30:00;  2,85
01.10.1997 00:00:00;  2,87
16.11.1997 05:00:00;  2,79
07.12.1997 03:45:00;  2,91
31.01.1998 23:59:55;  3,49
04.02.1998 00:00:00;  3,47
03.03.1998 06:45:00;  3,77
21.04.1998 13:30:00;  5,16
27.05.1998 10:00:00;  4,06
07.06.1998 20:45:00;  3,48
06.07.1998 18:15:00;  4,13
13.08.1998 09:45:00;  2,99
01.09.1998 15:15:00;  2,89
12.10.1998 14:45:00;  3,72
30.11.1998 23:59:55;  3,46
26.12.1998 19:00:00;  2,51
27.01.1999 11:45:00;  1,57
19.02.1999 13:15:00;  1,88
01.03.1999 23:30:00;  4,19
20.04.1999 10:30:00;  9,55
31.05.1999 13:45:00;  9,28
13.06.1999 15:15:00;  4,65
07.07.1999 09:45:00;  4,97
24.08.1999 14:45:00;  2,93
20.09.1999 08:30:00;  2,86
27.10.1999 09:45:00;  1,45
22.11.1999 13:45:00;  1,95
08.12.1999 14:45:00;  2,16
22.01.2000 00:00:00;  2,08
25.02.2000 13:30:00;  1,06
08.03.2000 16:15:00;  1,93
02.04.2000 11:00:00;  8,90
30.05.2000 18:15:00;  6,05
14.06.2000 18:45:00;  3,22
04.07.2000 12:15:00;  2,37
24.08.2000 11:15:00;  1,79
29.09.2000 15:15:00;  3,34
31.10.2000 16:30:00;  3,45
06.11.2000 16:00:00;  2,72
31.12.2000 23:59:55;  2,39
22.01.2001 10:15:00;  1,22
22.02.2001 10:45:00;  1,86
01.03.2001 10:00:00;  2,60
22.04.2001 20:15:00;  4,78
30.05.2001 08:00:00;  3,77
05.06.2001 07:30:00;  4,37
30.07.2001 16:15:00;  2,81
29.08.2001 16:45:00;  3,34
24.09.2001 08:15:00;  2,54
18.10.2001 14:45:00;  2,44
21.11.2001 10:30:00;  2,15
21.12.2001 16:30:00;  1,92
18.01.2002 07:30:00;  1,89
25.02.2002 10:15:00;  3,73
13.03.2002 11:30:00;  4,10
19.04.2002 08:15:00;  4,71
27.05.2002 21:45:00;  3,90
19.06.2002 16:15:00;  1,70
11.07.2002 11:45:00;  1,66
26.08.2002 07:45:00;  3,45
09.09.2002 07:45:00;  3,10
10.10.2002 15:15:00;  4,50
02.11.2002 09:45:00;  4,73
19.12.2002 11:30:00;  1,76
27.01.2003 10:45:00;  3,00
17.02.2003 10:00:00;  2,29
22.03.2003 16:00:00;  2,78
09.04.2003 14:15:00;  2,89
12.05.2003 14:00:00;  3,72
30.06.2003 08:00:00;  1,90
11.07.2003 08:00:00;  1,87
29.08.2003 09:00:00;  1,52
08.09.2003 16:00:00;  1,77
04.10.2003 03:00:00;  1,73
22.11.2003 13:15:00;  1,41
16.12.2003 17:15:00;  1,36
04.01.2004 06:15:00;  1,67
01.02.2004 15:30:00;  2,04
10.03.2004 12:30:00;  1,76
15.04.2004 10:45:00;  5,02
10.05.2004 08:15:00;  3,88
18.06.2004 08:45:00;  5,79
08.07.2004 14:00:00;  2,94
11.08.2004 09:00:00;  1,79
22.09.2004 16:15:00;  2,34
29.10.2004 18:00:00;  2,44
11.11.2004 13:15:00;  2,32
22.12.2004 07:51:00;  1,92
28.01.2005 08:00:00;  1,84
08.02.2005 09:07:55;  2,21
01.03.2005 09:03:10;  2,01
11.04.2005 07:45:00;  7,11
30.05.2005 15:30:00;  8,77
24.06.2005 08:15:00;  2,94
01.07.2005 04:30:00;  3,48
14.08.2005 15:00:00;  4,68
26.09.2005 15:45:00;  3,10
29.10.2005 14:45:00;  1,46
07.11.2005 11:45:00;  1,83
21.12.2005 15:45:00;  1,87
25.01.2006 10:17:05;  1,55
13.02.2006 08:20:00;  1,58
08.03.2006 08:30:00;  1,79
08.04.2006 09:15:00;  6,50
26.05.2006 18:30:00;  7,68
22.06.2006 13:15:00;  4,07
20.07.2006 18:45:00;  2,45
27.08.2006 07:00:00;  3,85
25.09.2006 14:30:00;  2,61
25.10.2006 12:45:00;  2,48
02.11.2006 12:30:00;  3,44
19.12.2006 03:15:00;  2,37
01.01.2007 00:00:00;  2,68
21.02.2007 15:30:00;  2,65
14.03.2007 11:00:00;  3,55
04.04.2007 11:15:00;  3,63
15.05.2007 00:43:45;  3,23
11.06.2007 07:45:00;  2,96
31.07.2007 10:45:00;  2,71
01.08.2007 16:45:00;  3,05
03.09.2007 14:00:00;  3,43
17.10.2007 08:15:00;  2,96
02.11.2007 04:00:00;  3,98
31.12.2007 04:15:00;  2,94
02.01.2008 10:00:00;  2,67
17.02.2008 04:15:00;  2,11
27.03.2008 13:00:00;  3,64
08.04.2008 09:15:00;  5,97
30.05.2008 10:45:00;  7,87
29.06.2008 01:45:00;  3,32
09.07.2008 08:00:00;  3,05
27.08.2008 07:30:00;  3,51
11.09.2008 19:30:00;  3,03
27.10.2008 19:45:00;  2,01
27.11.2008 11:45:00;  1,93
16.12.2008 17:00:00;  2,54
31.01.2009 23:59:55;  2,15
19.02.2009 11:46:45; 0,694
01.03.2009 14:30:00;  3,10
01.04.2009 11:30:00;  7,08
28.05.2009 20:30:00;  7,11
18.06.2009 18:30:00;  5,44
16.07.2009 15:00:00;  4,69
27.08.2009 15:45:00;  3,19
30.09.2009 15:30:00;  2,65
06.10.2009 06:30:00;  2,43
21.11.2009 14:30:00;  2,52
10.12.2009 10:00:00;  2,50
27.01.2010 13:45:00;  2,44
16.02.2010 02:15:00;  2,24
09.03.2010 04:45:00;  2,67
16.04.2010 08:15:00;  3,85
10.05.2010 16:00:00;  3,61
29.06.2010 23:00:00;  3,17
12.07.2010 09:00:00;  2,09
22.08.2010 19:45:00;  4,80
24.09.2010 08:30:00;  3,38
08.10.2010 09:00:00;  2,99
30.11.2010 12:15:00;  3,08
14.12.2010 15:00:00;  2,46
04.01.2011 12:30:40;  2,35
25.02.2011 08:45:00;  2,06
08.03.2011 08:00:00;  2,65
19.04.2011 09:15:00;  3,23
05.05.2011 14:00:00;  2,14
09.06.2011 19:00:00;  3,83
17.07.2011 15:00:00;  3,32
25.08.2011 16:30:00;  3,34
08.09.2011 09:15:00;  2,24
05.10.2011 08:45:00;  2,08
23.11.2011 14:45:00;  1,84
08.12.2011 08:15:00;  1,87
08.01.2012 18:15:00;  2,30
21.02.2012 22:15:00;  1,82
09.03.2012 10:45:00;  4,62
23.04.2012 10:30:00;  7,67
18.05.2012 08:00:00;  7,19
30.06.2012 23:59:55;  6,24
08.07.2012 19:45:00;  5,08
20.08.2012 09:00:00;  1,66
12.09.2012 07:45:00;  3,67
25.10.2012 08:15:00;  3,01
26.11.2012 11:15:00;  2,43
03.12.2012 10:45:00;  2,09
26.01.2013 12:00:00;  3,38
27.02.2013 11:00:00;  3,05
01.03.2013 14:15:00;  3,54
02.04.2013 09:30:00;  4,04
23.05.2013 21:45:00;  6,45
21.06.2013 07:30:00;  5,07
30.07.2013 12:30:00;  2,58
08.08.2013 09:30:00;  1,89
06.09.2013 10:45:00;  3,58
28.10.2013 17:00:00;  3,34
30.11.2013 23:59:55;  4,14
31.12.2013 23:59:55;  2,89
28.01.2014 13:15:00;  2,40
25.02.2014 14:45:00;  2,40
12.03.2014 15:15:00;  2,86
02.04.2014 14:15:00;  3,66
26.05.2014 08:15:00;  4,46
23.06.2014 10:30:00;  2,25
28.07.2014 22:15:00;  2,40
22.08.2014 07:45:00;  5,89
30.09.2014 15:45:00;  4,63
17.10.2014 09:15:00;  2,46
30.11.2014 23:30:20;  3,90
18.12.2014 11:15:20;  2,78
28.01.2015 08:59:35;  3,20
24.02.2015 10:24:35;  2,35
07.03.2015 08:44:05;  3,41
07.04.2015 15:43:25;  7,15
19.05.2015 02:12:30;  6,74
30.06.2015 07:29:05;  4,44
15.07.2015 15:15:00;  1,65
12.08.2015 16:15:00;  1,81
01.09.2015 11:00:00;  1,78
30.10.2015 10:15:00;  1,78
19.11.2015 15:45:00;  1,21
31.12.2015 05:13:45;  1,55
11.01.2016 12:00:00;  1,16
16.02.2016 15:45:00;  2,90
11.03.2016 10:30:00;  2,34
29.04.2016 08:15:00;  4,45
01.05.2016 08:45:00;  6,32
25.06.2016 14:30:00;  6,85
08.07.2016 08:00:00;  4,11
31.08.2016 19:15:00;  3,65
09.09.2016 08:30:00;  2,06
25.10.2016 12:15:00;  1,75
14.11.2016 10:00:00;  2,48
23.12.2016 19:15:00;  1,92
05.01.2017 10:41:30;  1,18
21.02.2017 11:30:00;  1,59
08.03.2017 09:45:00;  4,26
21.04.2017 09:00:00;  3,66
30.05.2017 16:45:00;  4,97
28.06.2017 08:45:00;  1,92
07.07.2017 09:00:00;  2,70
04.08.2017 08:45:00;  2,52
28.09.2017 17:00:00;  3,03
19.10.2017 09:45:00;  2,11
17.11.2017 12:15:00;  5,04
06.12.2017 10:00:00;  2,88
21.01.2018 08:00:00;  3,19
28.02.2018 08:00:10;  1,04
01.03.2018 07:30:10;  2,42
03.04.2018 10:15:00;  8,42
30.05.2018 08:15:00;  2,64
26.06.2018 08:12:00;  2,06
31.07.2018 04:30:00;  1,70
