Messstelle:                ;Eltendorf (Hackenwiesen)
31.08.1991 23:59:55;  16,8
30.09.1991 19:00:00;  9,58
27.10.1991 16:00:00;  9,19
01.11.1991 12:00:00;  9,19
28.12.1991 14:15:00;  15,1
30.01.1992 18:45:00;  11,6
25.02.1992 20:45:00;  11,2
07.03.1992 11:15:00;  12,1
19.04.1992 10:30:00;  14,8
31.05.1992 06:15:00;  12,3
02.06.1992 21:30:00;  12,7
29.07.1992 20:00:00;  6,34
30.08.1992 09:30:00;  4,54
08.09.1992 14:00:00;  3,74
01.10.1992 13:15:00;  4,82
15.11.1992 09:45:00;  9,19
30.12.1992 13:00:00;  13,5
31.01.1993 14:45:00;  9,35
24.02.1993 00:45:00;  6,02
05.03.1993 20:45:00;  7,01
27.04.1993 13:00:00;  8,23
18.05.1993 04:00:00;  4,26
12.06.1993 14:00:00;  5,40
05.07.1993 13:15:00;  4,26
01.08.1993 19:15:00;  4,54
25.09.1993 00:45:00;  5,61
02.10.1993 01:00:00;  7,87
29.11.1993 20:15:00;  11,4
03.12.1993 12:45:00;  11,8
30.01.1994 15:30:00;  11,8
16.02.1994 13:45:00;  8,06
30.03.1994 15:45:00;  8,43
01.04.1994 04:15:00;  8,06
19.05.1994 10:15:00;  7,70
29.06.1994 18:45:00;  7,35
17.07.1994 10:30:00;  6,02
01.08.1994 00:00:00;  6,84
25.09.1994 22:30:00;  7,70
03.10.1994 19:15:00;  7,01
26.11.1994 12:15:00;  7,01
05.12.1994 16:15:00;  7,01
15.01.1995 20:45:00;  5,40
02.02.1995 14:30:00;  7,35
18.03.1995 07:00:00;  13,6
18.04.1995 01:00:00;  13,6
18.05.1995 15:00:00;  8,17
04.06.1995 09:00:00;  10,8
26.07.1995 16:45:00;  9,99
07.08.1995 17:00:00;  8,88
07.09.1995 11:45:00;  10,4
16.10.1995 19:00:00;  8,06
30.11.1995 17:30:00;  8,17
01.12.1995 17:45:00;  8,52
31.01.1996 00:01:00;  8,60
02.02.1996 17:00:00;  6,83
04.03.1996 00:01:00;  8,60
01.04.1996 01:15:00;  22,7
25.05.1996 03:15:00;  24,7
16.06.1996 20:15:00;  12,8
28.07.1996 01:30:00;  13,5
11.08.1996 10:15:00;  11,9
02.09.1996 07:45:00;  17,0
31.10.1996 22:45:00;  22,8
17.11.1996 04:00:00;  13,6
25.12.1996 23:45:00;  7,48
29.01.1997 15:17:50;  7,07
04.02.1997 13:50:15;  6,62
03.03.1997 16:47:15;  8,30
26.04.1997 15:22:05;  10,1
15.05.1997 15:45:40;  7,42
02.06.1997 11:52:20;  8,77
10.07.1997 14:55:25;  11,0
29.08.1997 06:42:25;  14,4
30.09.1997 23:59:55;  10,2
31.10.1997 01:12:50;  7,26
04.11.1997 16:25:05;  7,19
18.12.1997 10:57:55;  7,04
27.01.1998 16:35:00;  6,59
06.02.1998 17:16:10;  6,80
13.03.1998 12:49:30;  6,69
02.04.1998 00:40:50;  7,96
25.05.1998 18:55:15;  5,02
08.06.1998 12:43:20;  7,08
28.07.1998 00:39:20;  10,9
24.08.1998 17:39:25;  8,95
03.09.1998 21:38:05;  10,7
18.10.1998 12:45:30;  13,4
30.11.1998 08:42:40;  10,4
08.12.1998 14:38:45;  8,14
30.01.1999 19:15:40;  7,42
12.02.1999 16:34:20;  7,66
26.03.1999 17:08:50;  10,3
06.04.1999 18:39:50;  11,2
20.05.1999 13:47:15;  12,4
30.06.1999 21:28:45;  12,4
07.07.1999 17:15:05;  10,1
15.08.1999 11:39:40;  12,8
02.09.1999 19:13:35;  21,7
25.10.1999 19:54:05;  9,33
23.11.1999 11:31:10;  8,46
24.12.1999 13:23:45;  6,85
15.01.2000 16:07:00;  5,52
29.02.2000 19:37:05;  8,77
10.03.2000 02:31:25;  8,87
29.04.2000 08:14:05;  13,9
19.05.2000 08:13:55;  6,86
23.06.2000 15:10:15;  5,75
07.07.2000 23:39:10;  4,35
04.08.2000 04:12:35;  5,61
27.09.2000 01:46:35;  5,39
01.10.2000 00:37:10;  5,70
01.11.2000 04:37:55;  9,52
23.12.2000 21:09:10;  6,55
16.01.2001 00:28:15;  8,83
27.02.2001 23:35:00;  7,33
01.03.2001 00:00:00;  7,61
27.04.2001 20:53:00;  7,49
26.05.2001 19:49:40;  5,53
28.06.2001 12:26:50;  4,51
31.07.2001 19:56:25;  3,98
28.08.2001 02:21:00;  2,79
01.09.2001 00:00:00;  3,35
10.10.2001 01:57:25;  3,56
03.11.2001 12:29:25;  4,71
25.12.2001 16:37:15;  2,77
06.01.2002 11:06:20;  2,44
26.02.2002 17:44:05;  4,08
17.03.2002 14:07:55;  3,77
11.04.2002 12:16:45;  4,11
12.05.2002 23:14:50;  4,81
06.06.2002 18:26:40;  5,41
06.07.2002 16:41:15;  4,60
01.08.2002 01:56:05;  5,73
19.09.2002 09:44:10;  6,20
09.10.2002 00:34:05;  6,00
15.11.2002 14:11:15;  6,98
02.12.2002 19:01:05;  10,4
12.01.2003 19:56:00;  7,05
13.02.2003 15:26:55;  5,47
23.03.2003 14:02:35;  5,41
26.04.2003 10:24:05;  5,22
10.05.2003 13:29:00;  4,34
14.06.2003 00:30:00;  3,23
19.07.2003 15:00:00;  3,62
14.08.2003 19:53:35;  1,80
09.09.2003 20:51:25;  3,13
02.10.2003 10:47:10;  3,16
01.11.2003 16:10:40;  5,33
24.12.2003 16:42:30;  3,18
24.01.2004 16:54:45;  4,70
01.02.2004 15:53:55;  5,59
02.03.2004 12:40:45;  5,79
19.04.2004 08:45:00;  11,1
01.05.2004 19:50:30;  10,7
02.06.2004 01:22:30;  14,8
31.07.2004 23:59:55;  10,1
25.08.2004 23:46:55;  7,70
24.09.2004 02:40:55;  4,20
04.10.2004 16:32:15;  5,51
26.11.2004 15:14:45;  4,49
21.12.2004 15:54:45;  4,96
30.01.2005 13:57:25;  6,27
28.02.2005 16:50:45;  5,83
01.03.2005 16:00:40;  5,53
18.04.2005 20:23:05;  13,3
31.05.2005 10:32:20;  9,20
29.06.2005 00:46:45;  5,61
05.07.2005 08:34:05;  5,61
11.08.2005 19:01:05;  8,76
27.09.2005 23:28:55;  10,6
30.10.2005 13:43:55;  7,96
16.11.2005 16:50:25;  8,05
19.12.2005 11:10:20;  6,48
25.01.2006 15:06:45;  6,16
13.02.2006 19:58:45;  6,84
08.03.2006 15:25:10;  9,31
26.04.2006 01:50:55;  13,8
06.05.2006 18:36:40;  11,3
27.06.2006 17:53:00;  10,9
29.07.2006 19:31:55;  7,82
18.08.2006 14:45:00;  8,32
30.09.2006 17:09:50;  6,21
14.10.2006 18:39:55;  5,69
10.11.2006 19:52:20;  6,21
28.12.2006 12:26:55;  4,65
10.01.2007 23:49:55;  5,14
03.02.2007 17:50:10;  5,56
08.03.2007 15:07:55;  7,25
25.04.2007 13:12:50;  6,49
04.05.2007 02:45:00;  6,57
30.06.2007 23:59:55;  7,70
24.07.2007 04:24:20;  4,95
08.08.2007 15:44:45;  4,40
03.09.2007 18:28:40;  8,49
22.10.2007 12:57:45;  8,97
23.11.2007 12:08:35;  8,27
22.12.2007 08:44:15;  6,67
31.01.2008 15:53:45;  6,89
17.02.2008 11:50:40;  5,25
08.03.2008 00:46:40;  7,56
09.04.2008 11:45:40;  7,28
15.05.2008 17:04:45;  4,53
01.06.2008 16:26:05;  5,35
13.07.2008 10:13:35;  5,68
31.08.2008 18:35:15;  10,3
30.09.2008 19:36:10;  7,31
22.10.2008 14:40:45;  5,53
04.11.2008 09:39:40;  6,15
01.12.2008 08:12:40;  7,11
04.01.2009 19:18:30;  10,3
19.02.2009 09:00:10;  8,84
23.03.2009 14:06:15;  11,3
29.04.2009 18:57:55;  14,4
29.05.2009 13:12:45;  11,3
04.06.2009 00:33:40;  9,68
30.07.2009 20:08:55;  16,8
26.08.2009 22:47:30;  13,7
30.09.2009 23:59:55;  14,4
31.10.2009 14:20:15;  11,8
02.11.2009 20:41:00;  11,7
17.12.2009 21:01:20;  12,4
27.01.2010 18:17:00;  9,30
02.02.2010 23:27:00;  8,34
30.03.2010 13:00:00;  10,7
29.04.2010 18:39:35;  8,40
01.05.2010 11:37:30;  8,33
11.06.2010 08:19:45;  10,5
29.07.2010 23:50:15;  10,5
02.08.2010 21:07:50;  9,22
13.09.2010 16:33:15;  14,5
16.10.2010 21:30:00;  14,8
06.11.2010 13:45:00;  14,3
16.12.2010 15:15:00;  11,6
29.01.2011 09:15:00;  12,7
23.02.2011 15:00:00;  9,36
08.03.2011 21:30:00;  9,35
22.04.2011 17:15:00;  8,30
27.05.2011 19:15:00;  5,87
01.06.2011 14:00:00;  6,18
14.07.2011 20:15:00;  7,91
27.08.2011 20:00:00;  7,28
18.09.2011 01:30:00;  5,94
01.10.2011 19:00:00;  5,94
08.11.2011 19:15:00;  4,80
21.12.2011 16:00:00;  5,94
27.01.2012 12:15:00;  4,80
01.02.2012 11:45:00;  5,64
22.03.2012 15:30:00;  6,93
21.04.2012 06:15:00;  6,93
18.05.2012 20:30:00;  5,06
07.06.2012 12:45:00;  5,94
03.07.2012 20:00:00;  7,91
23.08.2012 17:45:00;  6,50
10.09.2012 08:30:00;  8,30
10.10.2012 13:00:00;  8,43
26.11.2012 21:45:00;  14,1
13.12.2012 15:45:00;  8,70
20.01.2013 18:00:00;  9,99
11.02.2013 20:15:00;  12,4
28.03.2013 13:30:00;  25,6
30.04.2013 16:15:00;  26,3
30.05.2013 11:45:00;  19,3
21.06.2013 15:30:00;  11,4
29.07.2013 16:00:00;  5,64
03.08.2013 03:15:00;  5,06
06.09.2013 17:00:00;  6,58
10.10.2013 22:30:00;  7,28
02.11.2013 15:00:00;  9,99
23.12.2013 15:45:00;  10,9
17.01.2014 17:00:00;  9,71
01.02.2014 00:00:00;  11,6
31.03.2014 05:00:00;  13,5
06.04.2014 12:15:00;  10,4
06.05.2014 12:15:00;  10,9
28.06.2014 10:45:00;  8,70
21.07.2014 05:00:00;  8,43
09.08.2014 13:00:00;  12,7
29.09.2014 08:15:00;  19,4
20.10.2014 16:30:00;  8,30
04.11.2014 17:15:00;  12,4
30.12.2014 05:30:00;  10,9
07.01.2015 23:30:00;  13,0
08.02.2015 13:15:00;  10,4
31.03.2015 13:00:00;  8,70
06.04.2015 08:00:00;  11,4
30.05.2015 14:30:00;  8,84
29.06.2015 12:00:00;  6,93
06.07.2015 13:45:00;  5,34
15.08.2015 01:30:00;  3,83
02.09.2015 04:45:00;  3,83
01.10.2015 18:00:00;  4,29
26.11.2015 15:15:00;  5,06
26.12.2015 21:45:00;  5,06
23.01.2016 16:15:00;  4,05
03.02.2016 15:45:00;  6,50
29.03.2016 23:30:00;  7,54
23.04.2016 15:00:00;  6,50
01.05.2016 12:15:00;  7,54
09.06.2016 22:15:00;  11,9
12.07.2016 13:15:00;  14,4
09.08.2016 18:30:00;  13,3
20.09.2016 18:00:00;  7,55
01.10.2016 12:15:00;  7,55
03.11.2016 14:30:00;  7,94
31.12.2016 15:15:00;  6,58
21.01.2017 10:45:00;  5,64
01.02.2017 00:00:00;  6,93
28.03.2017 07:45:00;  6,96
12.04.2017 16:45:00;  6,14
30.05.2017 12:15:00;  5,22
21.06.2017 12:30:00;  4,17
04.07.2017 15:30:00;  4,17
01.08.2017 20:15:00;  5,22
05.09.2017 10:00:00;  7,54
18.10.2017 18:00:00;  5,28
05.11.2017 19:30:00;  7,18
04.12.2017 17:45:00;  5,57
08.01.2018 08:45:00;  7,91
26.02.2018 03:30:00;  5,87
01.03.2018 12:00:00;  7,54
25.04.2018 17:30:00;  9,71
10.05.2018 16:00:00;  8,84
29.06.2018 11:00:00;  15,7
31.07.2018 22:45:00;  9,54
02.08.2018 00:45:00;  7,18
10.09.2018 10:15:00;  6,50
24.10.2018 19:15:00;  6,58
02.11.2018 16:45:00;  5,94
12.12.2018 14:30:00;  4,67
25.01.2019 08:00:00;  5,87
02.02.2019 13:00:00;  6,50
18.03.2019 13:00:00;  6,58
23.04.2019 21:45:00;  6,47
26.05.2019 11:15:00;  5,51
17.06.2019 06:30:00;  4,67
26.07.2019 22:15:00;  3,41
29.08.2019 15:30:00;  2,88
02.09.2019 07:45:00;  2,88
21.10.2019 08:00:00;  3,07
02.11.2019 10:30:00;  4,17
20.12.2019 06:30:00;  8,58
23.01.2020 11:30:00;  6,32
12.02.2020 17:00:00;  5,69
31.03.2020 12:15:00;  5,31
24.04.2020 19:45:00;  3,57
30.05.2020 19:15:00;  3,49
03.06.2020 12:00:00;  3,64
31.07.2020 21:00:00;  8,94
01.08.2020 10:45:00;  7,34
22.09.2020 18:15:00;  9,73
31.10.2020 23:59:55;  14,1
26.11.2020 03:45:00;  8,58
05.12.2020 08:45:00;  8,31
19.01.2021 16:00:00;  10,1
03.02.2021 09:15:00;  13,7
30.03.2021 09:00:00;  9,90
29.04.2021 14:00:00;  7,25
12.05.2021 01:45:00;  6,71
20.06.2021 01:00:00;  5,91
11.07.2021 15:45:00;  4,96
22.08.2021 21:15:00;  5,58
26.09.2021 20:45:00;  5,15
29.10.2021 00:45:00;  3,66
20.11.2021 15:45:00;  4,24
24.12.2021 03:45:00;  4,83
