Messstelle:                ;St. Veit
03.11.2014 23:45:00;  3,07
30.12.2014 09:45:00;  3,72
31.01.2015 10:30:00;  3,17
19.02.2015 11:00:00;  2,82
21.03.2015 21:00:00;  2,32
30.04.2015 04:00:00;  1,72
11.05.2015 00:30:00;  1,52
13.06.2015 19:45:00;  1,39
07.07.2015 20:00:00;  1,45
31.08.2015 17:30:00;  1,65
01.09.2015 00:00:00;  1,65
03.10.2015 10:45:00;  2,40
29.11.2015 06:15:00;  2,56
27.12.2015 13:45:00;  1,87
05.01.2016 01:30:00;  1,72
01.02.2016 01:45:00;  2,17
31.03.2016 05:30:00;  3,26
26.04.2016 02:30:00;  2,25
22.05.2016 04:00:00;  1,87
05.06.2016 12:00:00;  1,87
12.07.2016 16:45:00;  1,65
09.08.2016 00:00:00;  2,56
29.09.2016 02:45:00;  2,40
08.10.2016 19:15:00;  2,32
05.11.2016 14:30:00;  2,65
31.12.2016 07:15:00;  2,08
20.01.2017 19:19:35;  1,76
01.02.2017 00:15:00;  1,87
30.03.2017 07:00:00;  1,87
24.04.2017 06:00:00;  1,45
30.05.2017 19:00:00;  1,08
24.06.2017 00:00:00;  1,14
19.07.2017 03:00:00;  1,14
06.08.2017 04:15:00;  1,26
01.09.2017 03:30:00;  2,17
31.10.2017 15:00:00;  2,48
04.11.2017 11:00:00;  2,32
10.12.2017 11:00:00;  2,32
31.01.2018 13:45:00;  3,35
26.02.2018 07:30:00;  1,52
01.03.2018 08:30:00;  1,72
30.04.2018 18:15:00;  3,26
02.05.2018 14:00:00;  3,07
30.06.2018 23:15:00;  2,65
31.07.2018 18:45:00;  1,72
09.08.2018 22:45:00;  1,59
30.09.2018 11:15:00;  1,65
24.10.2018 15:45:00;  1,52
15.11.2018 15:15:00;  1,72
16.12.2018 07:30:00;  1,45
25.01.2019 08:15:00;  1,02
01.02.2019 00:15:00;  1,32
29.03.2019 06:00:00;  1,87
04.04.2019 03:30:00;  1,72
25.05.2019 16:30:00;  1,59
30.06.2019 18:30:00;  1,26
26.07.2019 02:30:00;  1,08
17.08.2019 16:15:00;  1,08
01.09.2019 03:00:00;  1,39
26.10.2019 13:15:00;  1,20
02.11.2019 10:30:00;  1,39
15.12.2019 06:00:00;  3,72
24.01.2020 04:30:00;  2,65
29.02.2020 00:30:00;  2,09
01.03.2020 01:30:00;  2,17
18.04.2020 20:00:00;  1,72
29.05.2020 16:15:00;  1,39
02.06.2020 05:45:00;  1,45
29.07.2020 12:45:00;  1,87
01.08.2020 21:00:00;  2,25
22.09.2020 18:00:00;  2,65
03.10.2020 10:45:00;  4,64
30.11.2020 11:30:00;  3,64
01.12.2020 09:00:00;  3,64
17.01.2021 08:30:00;  3,64
02.02.2021 10:00:00;  5,02
30.03.2021 14:45:00;  4,25
29.04.2021 18:45:00;  2,99
01.05.2021 19:00:00;  2,90
18.06.2021 18:00:00;  1,94
30.07.2021 19:45:00;  1,72
16.08.2021 07:15:00;  1,45
11.09.2021 14:00:00;  1,52
26.10.2021 17:30:00;  1,32
01.11.2021 02:30:00;  1,45
27.12.2021 06:00:00;  1,45
