Messstelle:                ;Guldendorf
18.08.1998 11:46:20;  1,06
03.09.1998 06:58:05; 0,573
01.10.1998 00:00:00;  1,90
19.11.1998 07:00:30;  2,06
24.12.1998 02:01:30;  1,29
14.01.1999 06:00:55; 0,856
16.02.1999 04:50:20; 0,569
12.03.1999 13:34:50; 0,413
06.04.1999 14:03:55; 0,430
14.05.1999 09:08:00; 0,657
30.06.1999 19:55:35; 0,397
02.07.1999 15:30:30; 0,842
16.08.1999 18:44:50;  1,14
30.09.1999 22:52:35;  1,67
30.10.1999 05:03:40;  2,12
23.11.1999 17:03:55;  1,29
06.12.1999 18:12:35; 0,930
14.01.2000 02:38:35;  1,00
29.02.2000 18:42:15; 0,512
07.03.2000 07:45:30; 0,563
12.04.2000 04:43:55;  1,61
15.05.2000 07:49:30;  1,12
23.06.2000 16:23:20; 0,723
07.07.2000 19:18:40; 0,736
24.08.2000 06:58:15; 0,793
26.09.2000 14:06:30; 0,521
02.10.2000 10:11:45; 0,953
01.11.2000 00:00:00;  1,98
23.12.2000 08:19:35;  2,09
06.01.2001 11:19:30;  2,05
25.02.2001 10:45:35;  1,24
01.03.2001 12:19:45; 0,853
18.04.2001 11:00:05;  1,56
03.05.2001 17:06:05;  1,16
28.06.2001 13:43:10; 0,790
16.07.2001 17:24:50; 0,359
24.08.2001 17:18:45; 0,341
11.09.2001 21:47:05; 0,842
23.10.2001 13:18:25; 0,407
14.11.2001 16:00:10; 0,545
15.12.2001 11:38:00; 0,508
10.01.2002 12:00:00; 0,534
11.02.2002 14:37:55; 0,313
28.03.2002 08:00:40; 0,651
10.04.2002 14:32:10; 0,605
11.05.2002 23:44:15; 0,440
16.06.2002 16:54:20; 0,554
14.07.2002 05:57:10; 0,422
02.08.2002 22:57:35; 0,455
18.09.2002 08:10:20; 0,602
09.10.2002 15:52:35;  1,21
15.11.2002 16:18:00;  1,66
11.12.2002 10:32:05;  1,55
30.01.2003 15:59:05;  1,08
28.02.2003 22:50:05; 0,819
17.03.2003 08:30:55; 0,365
07.04.2003 06:26:55; 0,420
08.05.2003 20:50:35; 0,532
25.06.2003 13:47:00; 0,331
28.07.2003 06:36:10; 0,316
14.08.2003 07:40:25; 0,284
23.09.2003 11:42:35; 0,522
03.10.2003 07:43:45; 0,612
01.11.2003 00:00:00;  1,08
25.12.2003 08:15:00; 0,467
27.01.2004 16:31:45; 0,635
26.02.2004 18:18:50; 0,447
01.03.2004 03:15:50; 0,608
29.04.2004 03:06:20;  1,20
04.05.2004 00:17:00;  1,18
10.06.2004 23:17:15; 0,462
30.07.2004 22:22:55;  1,97
25.08.2004 11:03:15;  1,48
28.09.2004 22:52:30;  1,77
08.10.2004 07:43:05;  1,29
19.11.2004 23:24:40; 0,652
13.12.2004 12:33:30; 0,388
06.01.2005 19:13:10; 0,454
20.02.2005 00:31:05; 0,673
11.03.2005 03:00:35; 0,679
14.04.2005 08:14:35; 0,748
30.05.2005 15:38:00; 0,399
12.06.2005 01:24:20; 0,570
26.07.2005 22:09:00; 0,548
03.08.2005 05:56:25;  1,04
26.09.2005 07:25:10;  2,19
31.10.2005 23:59:55;  2,22
29.11.2005 13:47:35; 0,903
29.12.2005 17:41:45;  1,18
05.01.2006 15:37:05; 0,654
02.02.2006 16:13:05; 0,492
17.03.2006 09:20:10; 0,417
07.04.2006 01:15:55; 0,678
17.05.2006 23:01:05; 0,839
27.06.2006 18:58:45; 0,972
22.07.2006 21:35:10; 0,482
25.08.2006 18:47:40; 0,727
08.09.2006 09:25:35; 0,500
30.10.2006 10:49:30; 0,546
03.11.2006 05:34:30; 0,429
29.12.2006 16:50:35; 0,373
02.01.2007 14:40:00; 0,337
24.02.2007 12:39:00; 0,563
08.03.2007 07:07:30; 0,531
20.04.2007 16:37:05; 0,779
16.05.2007 02:29:05; 0,415
21.06.2007 18:11:10; 0,433
01.07.2007 16:19:20; 0,465
17.08.2007 14:48:40; 0,297
08.09.2007 15:18:50; 0,998
11.10.2007 14:39:35; 0,423
11.11.2007 08:19:00; 0,563
19.12.2007 02:37:30; 0,608
27.01.2008 08:04:00; 0,318
01.02.2008 13:40:35; 0,631
06.03.2008 09:52:30; 0,675
16.04.2008 05:48:20; 0,415
08.05.2008 12:15:30; 0,680
30.06.2008 05:37:20; 0,478
25.07.2008 07:39:30; 0,603
01.08.2008 14:56:00; 0,693
07.09.2008 15:55:25; 0,847
14.10.2008 15:12:40; 0,999
11.11.2008 09:00:25;  1,04
26.12.2008 21:19:05;  1,42
29.01.2009 14:16:00; 0,974
24.02.2009 00:35:45; 0,583
20.03.2009 15:07:20; 0,967
27.04.2009 16:13:10;  2,07
22.05.2009 16:15:50; 0,821
05.06.2009 09:59:05; 0,637
18.07.2009 04:17:45; 0,715
28.08.2009 21:28:25; 0,721
01.09.2009 04:50:35;  1,36
30.10.2009 11:00:00;  1,04
26.11.2009 15:00:00; 0,514
21.12.2009 09:30:20; 0,853
31.01.2010 23:37:30;  1,04
20.02.2010 08:00:00; 0,757
08.03.2010 04:26:10; 0,804
22.04.2010 02:00:00; 0,390
25.05.2010 16:34:35; 0,689
11.06.2010 10:12:55;  1,04
21.07.2010 17:45:00; 0,265
03.08.2010 08:30:00; 0,434
15.09.2010 08:30:00; 0,554
11.10.2010 09:45:00; 0,655
02.11.2010 17:45:00;  1,07
06.12.2010 14:30:00; 0,766
29.01.2011 04:00:00; 0,890
25.02.2011 11:30:00; 0,372
08.03.2011 06:30:00; 0,372
12.04.2011 17:15:00; 0,563
19.05.2011 18:45:00; 0,563
01.06.2011 15:15:00; 0,563
07.07.2011 17:45:00; 0,360
03.08.2011 19:00:00; 0,655
01.09.2011 16:15:00; 0,701
07.10.2011 06:30:00; 0,890
28.11.2011 14:30:00; 0,812
08.12.2011 05:15:00; 0,701
16.01.2012 09:15:00; 0,489
02.02.2012 14:00:00; 0,384
30.03.2012 08:30:00; 0,434
25.04.2012 08:00:00; 0,310
02.05.2012 08:45:00; 0,554
17.06.2012 13:30:00; 0,609
06.07.2012 14:45:00; 0,609
24.08.2012 11:15:00; 0,812
07.09.2012 08:30:05;  1,32
27.10.2012 05:00:00;  1,77
01.11.2012 00:00:00;  2,18
31.12.2012 12:00:00;  1,98
28.01.2013 13:00:00;  1,23
25.02.2013 05:00:00; 0,655
26.03.2013 09:00:00;  1,00
03.04.2013 14:15:00;  2,08
27.05.2013 12:45:00;  1,77
30.06.2013 18:45:00;  1,87
16.07.2013 07:15:00;  1,07
29.08.2013 22:15:00; 0,701
27.09.2013 08:00:00; 0,609
08.10.2013 23:45:00; 0,655
22.11.2013 08:40:00;  1,00
06.12.2013 12:40:00; 0,609
02.01.2014 12:10:00;  1,31
18.02.2014 11:20:00;  1,49
01.03.2014 09:50:00;  2,19
15.04.2014 12:50:00;  1,00
06.05.2014 09:50:00;  1,23
13.06.2014 07:30:00;  1,40
29.07.2014 14:50:00; 0,604
01.08.2014 07:50:00; 0,654
30.09.2014 08:20:00;  2,88
22.10.2014 00:40:00;  1,07
01.11.2014 08:50:00;  1,77
30.12.2014 10:50:00;  1,49
22.01.2015 02:40:00;  1,10
16.02.2015 14:30:00; 0,951
25.03.2015 10:50:00; 0,507
09.04.2015 06:40:00; 0,424
29.05.2015 13:40:00; 0,464
29.06.2015 18:30:00; 0,602
12.07.2015 10:10:00; 0,464
28.08.2015 22:50:00; 0,648
01.09.2015 19:00:00; 0,464
01.10.2015 12:20:00; 0,553
26.11.2015 16:40:00;  1,33
28.12.2015 16:00:00; 0,707
05.01.2016 02:40:00; 0,707
01.02.2016 00:30:00; 0,952
24.03.2016 06:20:00; 0,876
16.04.2016 17:40:00; 0,813
24.05.2016 07:40:00;  1,08
30.06.2016 17:50:00;  1,30
02.07.2016 18:00:00; 0,939
09.08.2016 09:50:00;  1,38
28.09.2016 10:00:00;  1,08
18.10.2016 08:00:00; 0,939
28.11.2016 09:00:00; 0,758
12.12.2016 12:30:00; 0,758
07.01.2017 06:30:00; 0,592
06.02.2017 14:30:00; 0,648
25.03.2017 11:40:00; 0,585
25.04.2017 23:30:00; 0,453
23.05.2017 23:30:00; 0,556
10.06.2017 02:00:00; 0,553
06.07.2017 15:10:00; 0,599
02.08.2017 18:00:00; 0,876
01.09.2017 01:00:00;  1,74
20.10.2017 08:10:00;  1,00
26.11.2017 11:30:00; 0,876
10.12.2017 02:50:00; 0,556
02.01.2018 11:40:00;  1,00
26.02.2018 10:45:00; 0,615
01.03.2018 12:45:00; 0,697
07.04.2018 20:10:00;  1,94
24.05.2018 14:50:00;  1,46
01.06.2018 07:50:00;  1,84
23.07.2018 08:10:00; 0,758
14.08.2018 08:00:00; 0,758
22.09.2018 17:50:00;  1,08
23.10.2018 22:30:00; 0,703
08.11.2018 15:10:00; 0,939
16.12.2018 03:50:00; 0,556
16.01.2019 11:30:00; 0,390
12.02.2019 10:20:00; 0,585
26.03.2019 11:30:00; 0,845
22.04.2019 06:50:00; 0,346
09.05.2019 06:20:00; 0,497
04.06.2019 01:50:00; 0,791
28.07.2019 09:20:00; 0,585
24.08.2019 11:50:00; 0,585
05.09.2019 16:10:00; 0,417
21.10.2019 16:10:00; 0,453
02.11.2019 03:10:00; 0,585
30.12.2019 09:40:00;  1,22
21.01.2020 10:10:00;  1,00
19.02.2020 11:50:00; 0,461
02.03.2020 11:50:00; 0,507
14.04.2020 15:45:00; 0,354
05.05.2020 09:45:00; 0,602
21.06.2020 13:45:00; 0,602
11.07.2020 12:00:00; 0,556
01.08.2020 20:15:00; 0,876
18.09.2020 09:15:00;  2,37
26.10.2020 12:30:00;  2,37
18.11.2020 09:45:00;  1,17
30.12.2020 09:30:00;  1,17
29.01.2021 10:15:00; 0,876
21.02.2021 10:30:00;  1,08
21.03.2021 07:30:00; 0,813
14.04.2021 09:45:00; 0,703
02.05.2021 00:45:00; 0,354
23.06.2021 23:00:00; 0,354
02.07.2021 13:15:00; 0,427
11.08.2021 01:15:00; 0,233
08.09.2021 15:30:00; 0,553
21.10.2021 15:30:00; 0,317
17.11.2021 11:30:00; 0,261
07.12.2021 05:00:00; 0,427
