Messstelle:                ;Tattendorf
06.09.1981 23:30:00; 0,876
05.10.1981 07:15:00; 0,872
03.11.1981 16:00:00; 0,760
30.12.1981 14:30:00;  1,01
29.01.1982 14:15:00;  2,28
25.02.1982 10:30:00;  2,32
24.03.1982 15:15:00;  2,53
25.04.1982 00:00:00;  1,72
28.05.1982 16:15:00;  1,55
26.06.1982 11:45:00;  1,07
09.07.1982 14:00:00; 0,932
27.08.1982 03:30:00;  1,24
11.09.1982 09:30:00;  1,34
22.10.1982 19:15:00;  1,31
11.11.1982 11:15:00;  1,81
06.12.1982 14:15:00;  1,46
14.01.1983 08:15:00;  1,36
25.02.1983 05:15:00;  2,57
12.03.1983 15:45:00;  1,56
25.04.1983 09:00:00;  1,68
11.05.1983 14:30:00; 0,874
10.06.1983 14:00:00; 0,861
19.07.1983 10:15:00; 0,547
13.08.1983 12:45:00; 0,821
26.09.1983 08:45:00; 0,557
03.10.1983 09:15:00; 0,729
25.11.1983 09:00:00; 0,771
19.12.1983 13:15:00; 0,838
16.01.1984 15:00:00; 0,728
06.02.1984 08:15:00;  1,03
03.03.1984 18:45:00; 0,468
06.04.1984 10:45:00;  1,43
31.05.1984 14:00:00;  1,41
25.06.1984 07:15:00; 0,725
12.07.1984 09:00:00; 0,640
24.08.1984 18:30:00; 0,636
07.09.1984 17:45:00; 0,652
02.10.1984 09:00:00;  1,07
05.11.1984 11:15:00; 0,936
13.12.1984 10:00:00;  1,01
28.01.1985 12:00:00; 0,632
01.02.1985 02:30:00;  1,06
18.03.1985 09:30:00;  1,55
22.04.1985 14:45:00;  1,31
29.05.1985 17:00:00;  1,35
17.06.1985 13:30:00;  1,33
14.07.1985 21:45:00;  1,04
03.08.1985 20:30:00; 0,674
27.09.1985 08:00:00;  1,14
30.10.1985 10:45:00; 0,814
06.11.1985 11:00:00; 0,736
04.12.1985 07:30:15; 0,495
14.01.1986 18:45:00;  1,72
18.02.1986 08:45:00; 0,872
07.03.1986 11:00:00; 0,760
21.04.1986 13:15:00;  2,22
30.05.1986 08:45:00; 0,405
05.06.1986 09:15:00;  1,07
30.07.1986 14:00:00; 0,752
06.08.1986 20:30:00; 0,760
15.09.1986 09:30:00; 0,821
09.10.1986 10:15:00; 0,592
13.11.1986 13:30:00; 0,464
22.12.1986 08:00:00;  1,04
12.01.1987 08:00:00; 0,992
01.02.1987 21:00:00;  1,08
24.03.1987 17:00:00;  2,89
30.04.1987 15:00:00;  3,17
03.05.1987 19:30:00;  2,39
29.06.1987 13:00:00;  1,14
23.07.1987 19:15:00;  1,47
25.08.1987 14:15:00; 0,946
21.09.1987 10:15:00; 0,593
13.10.1987 07:45:00; 0,658
25.11.1987 15:00:00; 0,560
10.12.1987 03:30:00;  1,60
26.01.1988 13:45:00; 0,946
06.02.1988 15:00:00;  1,53
10.03.1988 10:30:00;  1,60
27.04.1988 14:00:00; 0,942
24.05.1988 13:45:00; 0,808
27.06.1988 10:30:00;  1,17
13.07.1988 13:15:00; 0,877
04.08.1988 11:00:00; 0,638
10.09.1988 22:30:00;  1,28
11.10.1988 12:30:00;  1,11
30.11.1988 09:00:00; 0,359
07.12.1988 06:45:00;  1,22
31.01.1989 09:30:00;  2,54
08.02.1989 09:00:00;  1,31
14.03.1989 16:45:00;  2,07
24.04.1989 09:30:00;  1,70
24.05.1989 13:15:00;  1,31
10.06.1989 11:00:00;  1,84
31.07.1989 09:15:00;  1,84
19.08.1989 12:15:00;  1,96
25.09.1989 14:00:00;  1,62
25.10.1989 11:45:00; 0,489
17.11.1989 11:00:00; 0,897
01.12.1989 11:45:00; 0,930
10.01.1990 13:00:00;  1,37
07.02.1990 10:30:00;  1,25
25.03.1990 05:00:00;  1,96
26.04.1990 07:30:00;  1,70
22.05.1990 12:45:00;  1,17
12.06.1990 14:30:00; 0,713
28.07.1990 18:15:00; 0,836
25.08.1990 06:45:00; 0,673
03.09.1990 12:45:00; 0,713
08.10.1990 08:30:00; 0,756
26.11.1990 09:45:00; 0,893
20.12.1990 11:45:00; 0,795
22.01.1991 12:30:00; 0,972
15.02.1991 09:30:00;  1,02
07.03.1991 11:30:00; 0,550
26.04.1991 08:45:00; 0,697
02.05.1991 08:45:00; 0,593
18.06.1991 03:45:00;  1,51
12.07.1991 18:45:00; 0,836
27.08.1991 12:15:00;  1,14
11.09.1991 11:00:00;  1,24
27.10.1991 00:45:00; 0,814
14.11.1991 15:30:00; 0,814
15.12.1991 11:30:00;  1,60
31.01.1992 10:00:00;  1,80
24.02.1992 09:30:00;  1,30
11.03.1992 14:15:00;  2,19
23.04.1992 07:45:00;  2,27
14.05.1992 10:45:00;  1,36
05.06.1992 14:30:00;  1,42
06.07.1992 21:15:00;  1,14
26.08.1992 02:45:00;  1,09
22.09.1992 02:00:00; 0,560
27.10.1992 01:30:00; 0,658
03.11.1992 20:30:00; 0,697
29.12.1992 10:45:00;  2,27
07.01.1993 12:30:00;  1,14
08.02.1993 01:45:00;  1,24
03.03.1993 14:30:00;  1,24
30.04.1993 23:59:55;  3,37
14.05.1993 20:15:00;  1,36
01.06.1993 09:00:00;  1,19
21.07.1993 08:45:00; 0,809
04.08.1993 00:15:00;  1,24
10.09.1993 08:30:00; 0,728
13.10.1993 11:00:00; 0,941
11.11.1993 10:45:00;  1,36
13.12.1993 12:00:00;  1,61
21.01.1994 12:00:00;  1,96
28.02.1994 23:15:00;  1,04
22.03.1994 11:00:00;  1,19
10.04.1994 13:15:00;  1,31
25.05.1994 09:15:00;  1,77
26.06.1994 15:30:00; 0,580
28.07.1994 19:15:00; 0,446
22.08.1994 19:00:00; 0,468
28.09.1994 11:30:00; 0,593
31.10.1994 12:15:00; 0,495
05.11.1994 16:00:00; 0,560
29.12.1994 11:30:00;  1,39
17.01.1995 03:15:00;  1,77
14.02.1995 11:30:00;  1,99
20.03.1995 11:45:00; 0,972
30.04.1995 19:30:00;  3,91
30.05.1995 10:45:00;  1,30
09.06.1995 09:15:00;  1,14
21.07.1995 07:45:00;  1,48
08.08.1995 17:30:00;  1,67
13.09.1995 16:00:00;  2,29
18.10.1995 18:30:00; 0,638
04.11.1995 02:15:00;  1,02
12.12.1995 12:00:00;  1,64
13.01.1996 04:45:00;  2,37
13.02.1996 10:15:00;  1,11
07.03.1996 09:15:00;  1,77
04.04.1996 10:00:00;  3,34
30.05.1996 11:30:00;  4,92
27.06.1996 14:45:00;  2,40
23.07.1996 18:45:00;  2,32
12.08.1996 14:00:00; 0,885
02.09.1996 13:15:00;  1,63
16.10.1996 07:15:00;  2,37
27.11.1996 13:45:00;  3,33
20.12.1996 14:45:00;  2,11
23.01.1997 10:59:00;  2,03
15.02.1997 22:48:35;  2,13
10.03.1997 00:46:40;  2,16
30.04.1997 11:09:30;  4,06
05.05.1997 09:27:35;  1,69
13.06.1997 07:04:30;  2,19
03.07.1997 10:47:20;  1,04
14.08.1997 14:04:15;  2,35
06.09.1997 01:49:40; 0,867
13.10.1997 08:46:00; 0,933
05.11.1997 09:16:25;  1,83
11.12.1997 11:08:25; 0,820
26.01.1998 11:02:25;  1,49
27.02.1998 08:57:00; 0,716
12.03.1998 10:49:40;  1,26
16.04.1998 07:54:40;  1,48
02.05.1998 15:44:15;  1,12
10.06.1998 11:30:10;  1,02
07.07.1998 01:19:10;  1,27
09.08.1998 02:29:25; 0,801
03.09.1998 12:39:55; 0,917
16.10.1998 10:31:50; 0,840
27.11.1998 10:52:00;  1,56
03.12.1998 11:50:25;  1,23
31.01.1999 00:00:30;  1,44
01.02.1999 00:26:55;  1,81
22.03.1999 19:37:50;  3,44
29.04.1999 10:36:55;  1,93
18.05.1999 08:29:50;  1,98
07.06.1999 17:59:55;  1,26
07.07.1999 10:32:35;  2,13
10.08.1999 02:31:25;  2,29
21.09.1999 10:36:15;  2,35
30.10.1999 03:29:00;  1,22
03.11.1999 12:17:20; 0,802
22.12.1999 16:02:00;  1,45
10.01.2000 17:09:50;  1,21
23.02.2000 14:45:50;  2,99
08.03.2000 18:48:15;  3,59
28.04.2000 10:28:45;  2,65
29.05.2000 14:53:25;  1,34
14.06.2000 21:36:40;  1,00
31.07.2000 18:41:40; 0,894
02.08.2000 19:53:40;  1,01
13.09.2000 23:28:30; 0,530
05.10.2000 12:59:30; 0,981
12.11.2000 02:18:50; 0,430
11.12.2000 15:28:35; 0,428
04.01.2001 10:47:10; 0,947
05.02.2001 09:38:15; 0,697
15.03.2001 15:01:30;  1,35
18.04.2001 08:56:20; 0,944
28.05.2001 11:27:25; 0,761
27.06.2001 16:00:15; 0,297
09.07.2001 09:15:00; 0,229
31.08.2001 03:20:00; 0,402
14.09.2001 11:40:00; 0,839
31.10.2001 15:17:00; 0,717
07.11.2001 11:32:00; 0,434
25.12.2001 11:17:00;  1,11
07.01.2002 14:52:00; 0,534
25.02.2002 03:07:00;  1,82
16.03.2002 20:22:00;  1,09
30.04.2002 17:57:00;  1,95
21.05.2002 13:40:00; 0,783
06.06.2002 12:55:00;  1,56
04.07.2002 13:30:00; 0,955
04.08.2002 21:19:25;  2,13
26.09.2002 22:44:25; 0,360
17.10.2002 04:26:35;  1,51
21.11.2002 10:26:35;  1,61
02.12.2002 13:01:35;  1,55
20.01.2003 10:08:20;  2,06
24.02.2003 14:13:20;  2,08
27.03.2003 09:25:45;  2,62
16.04.2003 14:45:45; 0,850
07.05.2003 11:08:05;  1,14
27.06.2003 19:48:05; 0,814
10.07.2003 14:27:45; 0,514
07.08.2003 20:47:45; 0,628
25.09.2003 10:57:45; 0,339
29.10.2003 14:07:45; 0,350
19.11.2003 21:28:55; 0,581
25.12.2003 13:49:15; 0,417
25.01.2004 06:13:10; 0,266
02.02.2004 14:43:10;  1,05
11.03.2004 23:13:10;  1,89
29.04.2004 11:28:10;  1,83
12.05.2004 14:28:10;  1,37
01.06.2004 06:53:10;  2,31
23.07.2004 17:51:55;  1,50
25.08.2004 22:32:25; 0,693
13.09.2004 13:22:25; 0,564
30.10.2004 08:39:35; 0,513
19.11.2004 01:49:35; 0,215
20.12.2004 04:14:35; 0,554
12.01.2005 11:29:35; 0,726
06.02.2005 12:20:55; 0,870
02.03.2005 07:04:00;  1,32
30.04.2005 17:37:55;  2,27
03.05.2005 17:59:55;  1,77
27.06.2005 08:11:30;  1,05
05.07.2005 12:51:30; 0,748
12.08.2005 08:31:30; 0,993
12.09.2005 15:31:30; 0,939
27.10.2005 00:36:30; 0,795
15.11.2005 14:20:55; 0,718
16.12.2005 16:13:45; 0,472
17.01.2006 18:13:45; 0,952
09.02.2006 13:43:45;  1,04
20.03.2006 12:33:45;  1,92
23.04.2006 14:54:15;  1,30
09.05.2006 09:14:15; 0,472
22.06.2006 08:23:40;  1,01
26.07.2006 17:33:10; 0,932
01.08.2006 08:43:10;  1,30
30.09.2006 22:43:10; 0,687
29.10.2006 09:16:25; 0,684
29.11.2006 09:26:25; 0,578
28.12.2006 10:21:25; 0,852
11.01.2007 09:36:25; 0,526
05.02.2007 23:01:40; 0,859
07.03.2007 07:56:40; 0,915
18.04.2007 22:41:40; 0,777
26.05.2007 01:15:35; 0,745
08.06.2007 19:00:35; 0,450
30.07.2007 15:06:40; 0,361
14.08.2007 09:11:40; 0,314
04.09.2007 01:11:40; 0,821
11.10.2007 09:44:15; 0,874
06.11.2007 15:14:15;  1,22
30.12.2007 09:59:15;  2,93
27.01.2008 08:18:40;  1,26
21.02.2008 12:23:40;  2,16
03.03.2008 09:53:40;  1,14
21.04.2008 19:18:40;  1,15
21.05.2008 15:18:40; 0,685
04.06.2008 10:43:40; 0,663
10.07.2008 09:26:55;  1,58
31.08.2008 20:06:55;  1,84
29.09.2008 12:46:55;  1,21
16.10.2008 22:54:55; 0,558
06.11.2008 10:29:55; 0,710
15.12.2008 08:44:55; 0,986
10.01.2009 09:14:55;  1,81
10.02.2009 09:19:55;  1,72
02.03.2009 21:34:55;  3,99
30.04.2009 23:44:55;  3,99
15.05.2009 07:14:55;  1,94
17.06.2009 14:59:55;  2,07
15.07.2009 19:55:50;  2,79
31.08.2009 19:05:00;  1,57
29.09.2009 08:50:50;  1,43
11.10.2009 11:20:50;  1,70
02.11.2009 09:50:50;  1,53
20.12.2009 18:05:50;  1,72
21.01.2010 11:24:45;  1,13
13.02.2010 22:24:45;  1,44
14.03.2010 09:39:45;  1,73
27.04.2010 20:05:00;  1,42
08.05.2010 09:25:00;  1,23
30.06.2010 22:20:00;  2,72
13.07.2010 08:37:10; 0,554
11.08.2010 08:47:10; 0,786
24.09.2010 08:12:10;  1,22
22.10.2010 07:17:10;  1,21
08.11.2010 12:42:10; 0,653
17.12.2010 12:22:10; 0,481
07.01.2011 09:27:10;  1,44
28.02.2011 11:07:10;  1,83
12.03.2011 20:22:10;  1,47
26.04.2011 09:47:20; 0,702
18.05.2011 12:17:20;  1,01
14.06.2011 11:22:20;  1,09
15.07.2011 02:07:20; 0,754
03.08.2011 10:32:20; 0,695
14.09.2011 12:37:10; 0,713
28.10.2011 05:17:10; 0,433
08.11.2011 10:42:10; 0,874
19.12.2011 16:22:10; 0,770
01.01.2012 03:27:10;  1,43
20.02.2012 11:12:25;  1,24
14.03.2012 12:02:25;  2,21
26.04.2012 16:37:25; 0,886
23.05.2012 16:12:25; 0,783
19.06.2012 08:37:25; 0,564
07.07.2012 11:17:25; 0,847
11.08.2012 12:45:45; 0,894
11.09.2012 10:10:45; 0,619
24.10.2012 08:09:35; 0,252
14.11.2012 10:19:35; 0,617
14.12.2012 10:34:35; 0,751
04.01.2013 11:14:35;  1,48
24.02.2013 19:29:35;  3,15
28.03.2013 15:34:35;  3,44
30.04.2013 11:22:30;  2,92
04.05.2013 18:27:30;  1,80
17.06.2013 20:27:30;  1,68
31.07.2013 13:59:35;  1,30
01.08.2013 11:59:35; 0,982
07.09.2013 02:34:35; 0,899
25.10.2013 10:19:35; 0,537
22.11.2013 02:54:35;  1,24
23.12.2013 11:34:35;  1,58
27.01.2014 13:38:30;  1,24
01.02.2014 19:13:30;  1,50
31.03.2014 12:28:30; 0,658
07.04.2014 12:33:30; 0,819
01.05.2014 23:23:30; 0,867
27.06.2014 11:20:00; 0,290
09.07.2014 10:50:00; 0,365
08.08.2014 08:14:00; 0,382
08.09.2014 12:04:00; 0,886
30.10.2014 03:29:00; 0,744
24.11.2014 12:34:00;  1,99
03.12.2014 10:24:00;  1,20
02.01.2015 16:39:00;  2,08
09.02.2015 11:38:30;  2,11
30.03.2015 10:18:30;  2,83
30.04.2015 11:10:20;  1,94
19.05.2015 13:56:20; 0,456
24.06.2015 14:54:00;  1,06
13.07.2015 16:27:45; 0,487
03.08.2015 09:07:45; 0,267
02.09.2015 10:22:45; 0,511
10.10.2015 19:42:45; 0,662
24.11.2015 09:39:00; 0,727
23.12.2015 20:34:00; 0,837
23.01.2016 01:05:30; 0,788
17.02.2016 08:30:30;  1,56
08.03.2016 10:50:30;  1,99
27.04.2016 21:58:05;  1,32
12.05.2016 07:49:30;  1,24
29.06.2016 10:15:00;  1,60
11.07.2016 10:15:00;  1,38
31.08.2016 21:00:00;  1,96
05.09.2016 10:45:00; 0,539
01.10.2016 11:10:00;  1,39
02.11.2016 15:45:00;  1,73
23.12.2016 17:05:00;  1,95
20.01.2017 15:45:00; 0,968
03.02.2017 21:20:00;  1,59
29.03.2017 23:20:00;  2,56
10.04.2017 19:00:00;  1,50
30.05.2017 16:40:00;  2,15
30.06.2017 23:10:00;  1,35
22.07.2017 16:45:00; 0,855
03.08.2017 13:10:00; 0,732
18.09.2017 10:50:00; 0,757
22.10.2017 09:35:00;  1,14
07.11.2017 14:15:00;  1,30
21.12.2017 14:30:00;  1,77
24.01.2018 06:50:00;  2,44
26.02.2018 08:55:00;  1,38
05.03.2018 15:25:00;  1,92
30.04.2018 22:10:00;  1,78
08.05.2018 11:25:00;  1,58
18.06.2018 10:40:00; 0,657
31.07.2018 12:45:00;  1,54
27.08.2018 18:00:00;  1,03
12.09.2018 09:40:00; 0,616
19.10.2018 05:10:00; 0,613
10.11.2018 13:40:00; 0,654
03.12.2018 14:20:00;  1,53
31.01.2019 11:20:00;  3,18
01.02.2019 19:45:00;  3,23
30.03.2019 19:30:00;  2,72
23.04.2019 06:35:00;  2,04
02.05.2019 19:50:00;  2,44
06.06.2019 10:15:00; 0,834
23.07.2019 09:50:00; 0,713
21.08.2019 09:15:00; 0,634
04.09.2019 10:00:00; 0,932
29.10.2019 10:00:00; 0,193
01.11.2019 15:20:00;  1,07
19.12.2019 16:35:00;  1,22
15.01.2020 08:50:00;  1,50
24.02.2020 08:10:00; 0,937
11.03.2020 07:25:00; 0,955
29.04.2020 08:50:00; 0,948
22.05.2020 13:10:00; 0,657
14.06.2020 13:05:00;  1,10
09.07.2020 08:50:00; 0,644
12.08.2020 04:05:00; 0,234
15.09.2020 11:15:00; 0,776
29.10.2020 21:25:20; 0,710
29.11.2020 05:05:00;  1,44
17.12.2020 13:35:00;  1,29
13.01.2021 11:40:00;  1,17
15.02.2021 12:30:00;  1,03
11.03.2021 09:15:00; 0,442
12.04.2021 22:30:00;  1,25
15.05.2021 16:20:00; 0,625
21.06.2021 08:05:00; 0,690
07.07.2021 06:50:00; 0,413
14.08.2021 21:20:00; 0,887
28.09.2021 11:45:00; 0,729
08.10.2021 09:25:00; 0,295
18.11.2021 11:55:00; 0,714
15.12.2021 12:20:00; 0,977
