Messstelle:                ;Steeg
30.06.1957 12:00:00;  17,3
09.07.1957 12:00:00;  15,5
07.08.1957 12:00:00;  10,1
03.09.1957 12:00:00;  5,38
27.10.1957 12:00:00;  3,26
25.11.1957 12:00:00;  2,15
31.12.1957 12:00:00;  1,93
08.01.1958 12:00:00;  1,01
02.02.1958 12:00:00;  1,93
02.03.1958 12:00:00;  1,51
14.04.1958 12:00:00;  2,90
01.05.1958 12:00:00;  9,36
15.06.1958 12:00:00;  14,7
20.07.1958 12:00:00;  10,4
31.08.1958 12:00:00;  7,40
21.09.1958 12:00:00;  5,10
12.10.1958 12:00:00;  4,84
22.11.1958 12:00:00;  4,58
27.12.1958 12:00:00;  2,60
15.01.1959 12:00:00;  1,30
05.02.1959 12:00:00;  2,02
15.03.1959 12:00:00;  3,32
01.04.1959 12:00:00;  5,20
04.05.1959 12:00:00;  9,64
01.06.1959 12:00:00;  12,4
28.07.1959 12:00:00;  7,36
31.08.1959 12:00:00;  4,95
22.09.1959 12:00:00;  3,32
31.10.1959 12:00:00;  2,31
04.11.1959 12:00:00;  2,02
29.12.1959 12:00:00;  1,76
20.01.1960 12:00:00;  1,40
16.02.1960 12:00:00;  1,50
14.03.1960 12:00:00;  2,47
30.04.1960 12:00:00;  5,95
01.05.1960 12:00:00;  5,70
26.06.1960 12:00:00;  15,8
05.07.1960 12:00:00;  9,98
28.08.1960 12:00:00;  6,87
29.09.1960 12:00:00;  5,16
07.10.1960 12:00:00;  5,87
30.11.1960 12:00:00;  3,54
30.12.1960 12:00:00;  2,13
28.01.1961 12:00:00;  1,62
12.02.1961 12:00:00;  1,03
05.03.1961 12:00:00;  2,40
01.04.1961 12:00:00;  5,62
12.05.1961 12:00:00;  9,78
05.06.1961 12:00:00;  16,1
27.07.1961 12:00:00;  10,7
31.08.1961 12:00:00;  6,49
30.09.1961 12:00:00;  3,88
14.10.1961 12:00:00;  2,79
25.11.1961 12:00:00;  1,89
01.12.1961 12:00:00;  2,15
31.01.1962 12:00:00;  1,99
17.02.1962 12:00:00;  1,03
20.03.1962 12:00:00;  2,13
07.04.1962 12:00:00;  2,26
03.05.1962 12:00:00;  7,95
04.06.1962 12:00:00;  15,8
07.07.1962 12:00:00;  14,7
31.08.1962 12:00:00;  5,95
16.09.1962 12:00:00;  4,09
30.10.1962 12:00:00;  2,15
30.11.1962 12:00:00;  1,63
21.12.1962 12:00:00; 0,720
31.01.1963 12:00:00;  1,40
27.02.1963 12:00:00;  1,30
31.03.1963 12:00:00;  1,10
01.04.1963 12:00:00;  1,63
06.05.1963 12:00:00;  10,3
17.06.1963 12:00:00;  15,8
31.07.1963 12:00:00;  6,20
07.08.1963 12:00:00;  4,74
17.09.1963 12:00:00;  7,36
31.10.1963 12:00:00;  3,51
01.11.1963 12:00:00;  3,32
31.12.1963 12:00:00;  1,89
31.01.1964 12:00:00;  1,30
13.02.1964 12:00:00; 0,650
09.03.1964 12:00:00;  1,89
01.04.1964 12:00:00;  2,63
02.05.1964 12:00:00;  11,0
27.06.1964 12:00:00;  9,30
19.07.1964 12:00:00;  5,45
01.08.1964 12:00:00;  5,70
06.09.1964 12:00:00;  6,20
04.10.1964 12:00:00;  6,20
16.11.1964 12:00:00;  4,95
31.12.1964 12:00:00;  2,47
10.01.1965 12:00:00;  1,63
25.02.1965 12:00:00;  1,40
10.03.1965 12:00:00;  2,31
30.04.1965 12:00:00;  2,47
01.05.1965 12:00:00;  4,74
02.06.1965 12:00:00;  21,1
12.07.1965 12:00:00;  22,8
24.08.1965 12:00:00;  10,3
30.09.1965 12:00:00;  6,20
31.10.1965 12:00:00;  2,79
27.11.1965 12:00:00;  2,15
14.12.1965 12:00:00;  1,40
24.01.1966 12:00:00;  2,15
27.02.1966 12:00:00;  2,47
15.03.1966 12:00:00;  1,50
01.04.1966 12:00:00;  2,31
11.05.1966 12:00:00;  12,1
01.06.1966 12:00:00;  23,6
21.07.1966 12:00:00;  20,3
30.08.1966 12:00:00;  14,7
30.09.1966 12:00:00;  6,20
31.10.1966 12:00:00;  4,52
30.11.1966 12:00:00;  3,14
20.12.1966 12:00:00;  2,79
20.01.1967 12:00:00;  2,15
19.02.1967 12:00:00;  1,89
21.03.1967 12:00:00;  1,63
04.04.1967 12:00:00;  2,79
04.05.1967 12:00:00;  5,95
14.06.1967 12:00:00;  13,2
31.07.1967 12:00:00;  20,6
31.08.1967 12:00:00;  7,68
30.09.1967 12:00:00;  6,36
31.10.1967 12:00:00;  3,35
04.11.1967 12:00:00;  3,35
22.12.1967 12:00:00;  1,73
06.01.1968 12:00:00;  1,40
22.02.1968 12:00:00;  1,62
12.03.1968 12:00:00;  1,30
10.04.1968 12:00:00;  4,74
02.05.1968 12:00:00;  15,0
23.06.1968 12:00:00;  17,0
31.07.1968 12:00:00;  13,5
26.08.1968 12:00:00;  7,07
15.09.1968 12:00:00;  5,95
31.10.1968 12:00:00;  4,95
23.11.1968 12:00:00;  2,47
07.12.1968 12:00:00;  1,79
14.01.1969 12:00:00;  1,31
19.02.1969 12:00:00;  1,04
01.03.1969 12:00:00;  1,79
01.04.1969 12:00:00;  2,38
21.05.1969 12:00:00;  17,8
29.06.1969 12:00:00;  14,7
23.07.1969 12:00:00;  11,8
13.08.1969 12:00:00;  6,38
30.09.1969 12:00:00;  4,74
31.10.1969 12:00:00;  2,31
09.11.1969 12:00:00;  2,02
17.12.1969 12:00:00;  1,76
15.01.1970 12:00:00;  1,63
23.02.1970 12:00:00;  1,00
06.03.1970 12:00:00;  1,63
11.04.1970 12:00:00;  3,32
02.05.1970 12:00:00;  5,41
01.06.1970 12:00:00;  29,7
31.07.1970 12:00:00;  23,3
16.08.1970 12:00:00;  14,3
30.09.1970 12:00:00;  7,86
23.10.1970 12:00:00;  5,41
17.11.1970 12:00:00;  5,17
24.12.1970 12:00:00;  2,88
25.01.1971 12:00:00;  1,79
27.02.1971 12:00:00; 0,860
12.03.1971 12:00:00;  1,40
01.04.1971 12:00:00;  3,66
01.05.1971 12:00:00;  9,78
16.06.1971 12:00:00;  15,4
31.07.1971 12:00:00;  8,00
22.08.1971 12:00:00;  5,41
28.09.1971 12:00:00;  4,93
29.10.1971 12:00:00;  3,88
29.11.1971 12:00:00;  2,63
11.12.1971 12:00:00;  1,89
26.01.1972 12:00:00;  1,50
29.02.1972 12:00:00;  1,63
08.03.1972 12:00:00;  1,63
29.04.1972 12:00:00;  3,88
01.05.1972 12:00:00;  5,95
25.06.1972 12:00:00;  11,1
03.07.1972 12:00:00;  9,78
18.08.1972 12:00:00;  8,12
30.09.1972 12:00:00;  6,88
23.10.1972 12:00:00;  4,30
30.11.1972 12:00:00;  4,52
31.12.1972 12:00:00;  2,15
28.01.1973 12:00:00;  1,10
24.02.1973 12:00:00; 0,580
11.03.1973 12:00:00; 0,860
22.04.1973 12:00:00;  2,02
01.05.1973 12:00:00;  3,14
10.06.1973 12:00:00;  14,7
11.07.1973 12:00:00;  11,8
25.08.1973 12:00:00;  5,10
13.09.1973 12:00:00;  4,30
07.10.1973 12:00:00;  6,38
29.11.1973 12:00:00;  3,07
14.12.1973 12:00:00;  2,22
08.01.1974 12:00:00;  2,38
07.02.1974 12:00:00;  1,92
03.03.1974 12:00:00;  1,92
28.04.1974 12:00:00;  7,43
03.05.1974 12:00:00;  8,00
14.06.1974 12:00:00;  18,5
31.07.1974 12:00:00;  20,5
31.08.1974 12:00:00;  9,54
18.09.1974 12:00:00;  6,64
17.10.1974 12:00:00;  3,66
29.11.1974 12:00:00;  3,66
13.12.1974 12:00:00;  3,66
30.01.1975 12:00:00;  1,92
22.02.1975 12:00:00;  2,55
25.03.1975 12:00:00;  1,92
11.04.1975 12:00:00;  2,22
05.05.1975 12:00:00;  9,47
05.06.1975 12:00:00;  16,6
31.07.1975 12:00:00;  20,1
31.08.1975 12:00:00;  13,5
30.09.1975 12:00:00;  6,38
17.10.1975 12:00:00;  4,07
30.11.1975 12:00:00;  2,88
31.12.1975 12:00:00;  2,05
23.01.1976 01:00:00;  1,04
13.02.1976 11:00:00;  1,46
22.03.1976 07:00:00;  1,95
13.04.1976 14:00:00;  4,79
01.05.1976 12:00:00;  6,70
30.06.1976 12:00:00;  11,8
17.07.1976 14:00:00;  8,40
30.08.1976 02:00:00;  5,64
28.09.1976 16:00:00;  6,75
30.10.1976 13:00:00;  4,13
29.11.1976 10:00:00;  3,47
31.12.1976 08:00:00;  2,48
24.01.1977 10:00:00;  2,05
01.02.1977 17:00:00;  2,16
01.03.1977 11:00:00;  2,48
15.04.1977 00:00:00;  3,99
10.05.1977 12:00:00;  12,8
05.06.1977 14:00:00;  18,8
10.07.1977 01:00:00;  12,7
31.08.1977 23:59:55;  8,19
29.09.1977 17:00:00;  4,09
31.10.1977 23:00:00;  2,67
02.11.1977 05:00:00;  2,82
02.12.1977 14:00:00;  3,67
31.01.1978 11:00:00;  1,84
16.02.1978 18:00:00;  1,02
27.03.1978 11:00:00;  2,52
18.04.1978 16:00:00;  5,44
16.05.1978 09:00:00;  9,45
29.06.1978 15:00:00;  20,2
31.07.1978 12:00:00;  22,6
30.08.1978 12:00:00;  11,0
01.09.1978 14:00:00;  11,8
22.10.1978 02:00:00;  10,7
30.11.1978 09:00:00;  2,43
27.12.1978 02:00:00;  2,13
15.01.1979 22:00:00;  1,70
01.02.1979 10:00:00;  1,68
01.03.1979 00:00:00;  1,79
07.04.1979 12:00:00;  2,60
05.05.1979 05:00:00;  4,11
28.06.1979 06:00:00;  22,8
28.07.1979 19:00:00;  11,0
31.08.1979 23:59:55;  10,2
20.09.1979 19:00:00;  6,34
31.10.1979 23:59:55;  5,43
04.11.1979 12:00:00;  5,02
30.12.1979 10:00:00;  5,07
07.01.1980 10:00:00;  3,39
08.02.1980 20:00:00;  4,02
13.03.1980 22:00:00;  4,14
11.04.1980 15:00:00;  5,61
01.05.1980 13:00:00;  10,1
03.06.1980 13:00:00;  17,1
12.07.1980 20:00:00;  26,7
26.08.1980 15:00:00;  12,1
30.09.1980 23:59:55;  5,85
08.10.1980 00:00:00;  4,55
14.11.1980 12:00:00;  3,87
30.12.1980 14:00:00;  2,56
30.01.1981 11:00:00;  2,41
25.02.1981 13:00:00;  2,25
02.03.1981 01:00:00;  2,50
30.04.1981 13:00:00;  9,49
06.05.1981 06:00:00;  8,84
23.06.1981 13:00:00;  13,9
16.07.1981 15:00:00;  13,2
31.08.1981 21:00:00;  8,75
08.09.1981 20:00:00;  8,78
30.10.1981 09:00:00;  8,99
27.11.1981 17:00:00;  6,16
31.12.1981 01:00:00;  3,92
30.01.1982 09:00:00;  1,44
28.02.1982 12:00:00;  2,92
14.03.1982 12:30:00;  2,14
15.04.1982 07:30:00;  6,16
02.05.1982 16:00:00;  6,74
16.06.1982 12:00:00;  23,7
25.07.1982 20:00:00;  12,9
27.08.1982 14:30:00;  9,74
26.09.1982 14:00:00;  5,22
31.10.1982 18:00:00;  4,78
17.11.1982 12:30:00;  3,45
06.12.1982 10:30:00;  3,19
24.01.1983 18:00:00;  2,87
14.02.1983 11:30:00;  2,71
04.03.1983 09:00:00;  2,62
07.04.1983 21:00:00;  2,67
27.05.1983 12:30:00;  10,6
19.06.1983 10:00:00;  16,9
31.07.1983 17:00:00;  9,02
20.08.1983 13:30:00;  7,52
30.09.1983 22:30:00;  6,33
31.10.1983 08:30:00;  5,15
23.11.1983 11:00:00;  2,87
23.12.1983 12:00:00;  3,26
30.01.1984 00:00:00;  3,05
29.02.1984 22:00:00;  2,56
05.03.1984 11:00:00;  2,57
07.04.1984 13:00:00;  2,99
01.05.1984 14:00:00;  8,07
09.06.1984 13:00:00;  16,3
19.07.1984 11:00:00;  14,0
24.08.1984 14:30:00;  8,24
05.09.1984 06:00:00;  7,58
31.10.1984 14:30:00;  4,97
22.11.1984 07:30:00;  3,66
31.12.1984 23:59:55;  2,75
31.01.1985 20:00:00;  2,14
24.02.1985 00:00:00;  2,12
22.03.1985 00:15:00;  2,14
01.04.1985 14:45:00;  3,22
04.05.1985 08:30:00;  6,39
19.06.1985 12:00:00;  17,3
29.07.1985 15:15:00;  10,5
25.08.1985 03:30:00;  8,27
30.09.1985 23:59:55;  4,80
31.10.1985 07:00:00;  2,89
04.11.1985 18:00:00;  2,82
24.12.1985 14:30:00;  2,28
14.01.1986 10:45:00;  1,06
21.02.1986 14:15:00;  1,60
01.03.1986 00:00:00;  1,67
21.04.1986 14:00:00;  3,67
10.05.1986 16:30:00;  15,6
08.06.1986 17:30:00;  16,5
31.07.1986 12:30:00;  9,84
10.08.1986 14:45:00;  7,17
30.09.1986 21:00:00;  4,67
18.10.1986 15:15:00;  3,24
30.11.1986 08:15:00;  2,07
28.12.1986 17:15:00; 0,550
31.01.1987 15:00:00;  1,69
01.02.1987 14:45:00;  1,61
21.03.1987 12:45:00;  1,76
01.04.1987 05:00:00;  2,69
08.05.1987 12:00:00;  10,9
23.06.1987 12:15:00;  17,5
30.07.1987 13:15:00;  26,5
31.08.1987 12:45:00;  12,1
25.09.1987 18:45:00;  7,25
31.10.1987 23:59:55;  3,13
12.11.1987 06:45:00;  2,35
11.12.1987 09:30:00;  2,11
31.01.1988 04:15:00;  1,90
08.02.1988 23:30:00; 0,832
13.03.1988 00:00:00; 0,541
02.04.1988 07:00:00;  2,47
05.05.1988 09:45:00;  24,0
08.06.1988 08:30:00;  22,9
29.07.1988 09:15:00;  15,5
19.08.1988 09:45:00;  8,42
29.09.1988 21:00:00;  4,72
28.10.1988 08:30:00;  4,08
23.11.1988 00:45:00;  3,13
20.12.1988 01:15:00;  2,63
29.01.1989 06:45:00;  1,93
15.02.1989 13:30:00;  2,22
05.03.1989 13:15:00;  2,73
30.04.1989 23:59:55;  6,68
02.05.1989 09:45:00;  5,87
09.06.1989 14:45:00;  12,0
31.07.1989 08:45:00;  12,4
26.08.1989 17:30:00;  6,68
25.09.1989 17:00:00;  6,41
06.10.1989 17:15:00;  5,89
30.11.1989 23:59:55;  2,76
11.12.1989 10:45:00;  1,99
31.01.1990 23:59:55;  1,55
14.02.1990 03:45:00;  1,39
05.03.1990 11:15:00;  3,72
12.04.1990 02:30:00;  4,87
01.05.1990 12:15:00;  14,6
01.06.1990 11:45:00;  16,3
29.07.1990 14:15:00;  4,37
12.08.1990 11:45:00;  2,68
03.09.1990 05:00:00;  4,87
26.10.1990 23:30:00;  1,82
30.11.1990 23:15:00;  5,51
26.12.1990 00:00:00;  2,55
31.01.1991 23:59:55;  3,14
24.02.1991 11:00:00;  2,68
19.03.1991 17:45:00;  4,84
25.04.1991 11:15:00;  3,82
08.05.1991 13:00:00;  5,08
05.06.1991 13:45:00;  16,8
23.07.1991 22:45:00;  11,2
31.08.1991 23:59:55;  4,19
19.09.1991 17:00:00;  3,30
31.10.1991 23:59:55;  3,61
26.11.1991 18:30:00;  2,97
17.12.1991 16:00:00;  1,58
31.01.1992 23:59:55;  1,43
01.02.1992 17:30:00;  1,42
29.03.1992 02:00:00;  2,29
01.04.1992 00:00:00;  2,74
01.05.1992 12:45:00;  13,3
29.06.1992 11:30:00;  16,2
31.07.1992 18:45:00; 10,00
27.08.1992 16:30:00;  5,23
29.09.1992 11:00:00;  4,32
15.10.1992 12:00:00;  3,65
01.11.1992 15:00:00;  7,23
29.12.1992 15:00:00;  2,78
01.01.1993 21:00:00;  2,96
27.02.1993 09:15:00;  2,27
07.03.1993 12:30:00;  2,03
09.04.1993 15:00:00;  4,67
23.05.1993 11:45:00;  15,8
14.06.1993 13:15:00;  11,4
09.07.1993 11:30:00;  9,63
22.08.1993 21:30:00;  5,91
25.09.1993 10:45:00;  7,15
21.10.1993 12:15:00;  5,77
30.11.1993 15:30:00;  3,64
14.12.1993 16:30:00;  3,61
21.01.1994 16:00:00;  3,04
26.02.1994 18:00:00;  2,63
08.03.1994 12:45:00;  3,44
13.04.1994 07:45:00;  1,81
07.05.1994 10:30:00;  17,1
13.06.1994 13:15:00;  15,2
31.07.1994 14:45:00;  8,92
10.08.1994 16:30:00;  7,60
30.09.1994 23:59:55;  5,84
26.10.1994 06:00:00;  3,82
10.11.1994 10:30:00;  4,31
24.12.1994 12:00:00;  3,07
23.01.1995 06:00:00;  2,26
28.02.1995 23:59:55;  3,23
11.03.1995 15:00:00;  2,97
01.04.1995 08:45:00;  3,69
22.05.1995 13:15:00;  13,4
26.06.1995 11:45:00;  22,9
31.07.1995 13:00:00;  12,5
06.08.1995 12:00:00;  9,19
27.09.1995 18:30:00;  9,31
31.10.1995 23:59:55;  3,63
04.11.1995 06:45:00;  3,49
20.12.1995 08:30:00;  2,48
21.01.1996 11:45:00;  2,19
19.02.1996 12:15:00;  1,74
13.03.1996 11:45:00;  1,72
05.04.1996 09:45:00;  3,41
05.05.1996 13:00:00;  12,6
18.06.1996 13:00:00;  10,8
28.07.1996 15:00:00;  7,82
22.08.1996 17:00:00;  7,06
12.09.1996 17:15:00;  6,08
16.10.1996 00:00:00;  6,30
29.11.1996 06:45:00;  4,52
30.12.1996 00:00:00;  3,36
13.01.1997 12:00:00;  2,48
07.02.1997 08:00:00;  2,34
01.03.1997 11:30:00;  3,83
08.04.1997 11:00:00;  5,44
10.05.1997 11:30:00;  10,0
02.06.1997 12:00:00;  22,6
31.07.1997 16:30:00;  14,2
26.08.1997 15:15:00;  3,35
30.09.1997 21:30:00;  3,69
09.10.1997 18:30:00;  3,32
24.11.1997 11:45:00;  2,84
06.12.1997 07:45:00;  2,16
31.01.1998 17:45:00;  1,95
01.02.1998 00:00:00;  1,95
25.03.1998 09:00:00;  2,84
20.04.1998 09:15:00;  4,71
20.05.1998 12:30:00;  12,0
30.06.1998 13:45:00;  13,8
27.07.1998 10:30:00;  7,18
18.08.1998 15:15:00;  4,60
02.09.1998 22:15:00;  7,70
24.10.1998 00:45:00;  9,14
30.11.1998 23:59:55;  3,99
31.12.1998 00:00:00;  2,89
31.01.1999 23:59:55;  2,69
28.02.1999 23:59:55;  2,37
01.03.1999 03:00:00;  2,36
18.04.1999 12:00:00;  3,69
01.05.1999 15:00:00;  32,1
25.06.1999 14:00:00;  28,1
31.07.1999 14:15:00;  16,9
26.08.1999 15:15:00;  13,0
25.09.1999 10:45:00;  5,39
30.10.1999 10:15:00;  5,32
21.11.1999 08:30:00;  3,52
18.12.1999 10:45:00;  3,18
30.01.2000 04:00:00;  2,32
20.02.2000 20:45:00;  2,41
06.03.2000 13:00:00;  3,20
02.04.2000 14:45:00;  6,32
21.05.2000 12:15:00;  24,2
27.06.2000 14:45:00;  11,9
01.07.2000 12:30:00;  14,2
30.08.2000 17:00:00;  6,77
20.09.2000 17:00:00;  5,70
31.10.2000 13:00:00;  5,04
12.11.2000 04:00:00;  4,53
31.12.2000 23:59:55;  2,88
31.01.2001 23:59:55;  2,30
04.02.2001 12:15:00;  2,06
03.03.2001 09:00:00;  2,17
23.04.2001 12:15:00;  3,85
20.05.2001 11:45:00;  25,3
05.06.2001 11:45:00;  20,6
31.07.2001 15:45:00;  9,98
29.08.2001 15:45:00;  5,12
04.09.2001 08:45:00;  9,36
21.10.2001 02:15:00;  4,51
29.11.2001 22:15:00;  3,91
28.12.2001 12:29:15;  2,61
10.01.2002 03:14:15;  2,15
23.02.2002 20:15:00;  2,31
04.03.2002 18:45:00;  2,31
21.04.2002 12:30:00;  6,01
30.05.2002 13:00:00;  15,4
27.06.2002 12:00:00;  14,6
31.07.2002 17:00:00;  8,23
31.08.2002 13:30:00;  7,36
19.09.2002 13:15:00;  4,29
31.10.2002 23:59:55;  9,02
02.11.2002 07:45:00;  8,15
20.12.2002 19:30:00;  3,78
31.01.2003 23:59:55;  2,69
19.02.2003 14:30:00;  2,11
04.03.2003 14:30:00;  3,15
11.04.2003 16:15:00;  4,10
17.05.2003 14:15:00;  13,5
30.06.2003 19:00:00;  6,67
20.07.2003 19:30:00;  3,56
28.08.2003 18:30:00;  2,02
30.09.2003 23:59:55;  2,75
03.10.2003 10:30:00;  2,51
30.11.2003 00:00:00;  4,45
31.12.2003 23:59:55;  2,65
08.01.2004 12:30:00;  2,34
28.02.2004 11:15:00;  2,49
02.03.2004 10:15:00;  2,32
14.04.2004 15:30:00;  4,16
10.05.2004 12:30:00;  9,51
22.06.2004 13:15:00;  19,7
31.07.2004 15:00:00;  11,3
12.08.2004 16:30:00;  7,01
22.09.2004 21:15:00;  5,54
18.10.2004 14:30:00;  5,86
30.11.2004 23:59:55;  3,64
22.12.2004 14:41:10;  1,43
30.01.2005 08:15:00;  1,01
06.02.2005 06:45:50;  1,24
14.03.2005 20:00:00;  1,73
12.04.2005 13:45:00;  7,13
11.05.2005 13:00:00;  12,7
11.06.2005 14:00:00;  12,0
31.07.2005 23:59:55;  8,40
01.08.2005 20:15:00;  7,64
28.09.2005 21:00:00;  7,90
31.10.2005 23:59:55;  4,05
30.11.2005 23:59:55;  2,16
31.12.2005 23:59:55;  1,77
24.01.2006 00:10:00;  1,70
12.02.2006 08:25:10;  1,44
08.03.2006 06:04:10;  1,44
13.04.2006 21:00:00;  7,88
26.05.2006 10:30:00;  17,6
30.06.2006 15:15:00;  18,1
27.07.2006 16:55:10;  8,61
21.08.2006 07:30:00;  7,18
30.09.2006 23:00:00;  4,54
27.10.2006 01:45:00;  4,03
01.11.2006 07:00:00;  4,43
26.12.2006 02:23:00;  4,77
31.01.2007 11:19:05;  4,72
27.02.2007 20:45:00;  3,10
11.03.2007 10:45:00;  4,00
01.04.2007 18:16:40;  5,28
04.05.2007 18:15:00;  13,6
30.06.2007 23:59:55;  12,7
29.07.2007 21:45:00;  9,17
28.08.2007 16:15:00;  8,54
30.09.2007 20:00:00;  7,92
31.10.2007 23:59:55;  3,96
18.11.2007 06:28:40;  3,34
31.12.2007 23:59:55;  3,21
02.01.2008 07:31:35;  2,74
08.02.2008 12:15:00;  2,83
21.03.2008 20:45:00;  3,78
09.04.2008 14:45:00;  4,11
02.05.2008 13:00:00;  21,2
16.06.2008 13:30:00;  15,8
30.07.2008 15:15:00;  12,1
31.08.2008 22:00:00;  8,60
30.09.2008 14:12:55;  6,84
31.10.2008 11:27:55;  5,23
28.11.2008 06:10:10;  3,64
28.12.2008 08:57:20;  2,96
28.01.2009 08:02:20;  2,04
24.02.2009 22:12:55;  1,69
11.03.2009 01:49:10;  1,96
01.04.2009 12:31:00;  2,65
01.05.2009 11:00:00;  5,37
05.06.2009 13:00:00;  13,5
31.07.2009 18:00:00;  9,40
31.08.2009 23:59:55;  3,35
29.09.2009 18:02:25;  3,21
07.10.2009 17:47:25;  2,78
12.11.2009 06:28:20;  4,34
18.12.2009 06:45:00;  2,69
29.01.2010 04:30:00;  1,65
21.02.2010 22:32:35;  1,97
18.03.2010 07:50:45;  1,71
05.04.2010 23:48:35;  4,12
20.05.2010 10:15:00;  13,3
30.06.2010 12:45:00;  15,8
17.07.2010 16:00:00;  9,47
27.08.2010 08:00:00;  11,1
24.09.2010 20:15:00;  6,38
27.10.2010 09:15:00;  4,18
30.11.2010 10:45:00;  3,49
04.12.2010 08:45:00;  3,02
31.01.2011 23:59:55;  2,87
24.02.2011 07:35:50;  1,92
03.03.2011 14:45:00;  2,25
18.04.2011 13:45:00;  9,99
05.05.2011 16:45:00;  9,91
29.06.2011 19:30:00;  11,7
12.07.2011 21:15:00;  8,66
31.08.2011 21:15:00;  4,75
16.09.2011 16:45:00;  4,26
06.10.2011 22:00:00;  4,09
30.11.2011 23:59:55;  2,57
20.12.2011 04:45:00;  2,10
31.01.2012 06:45:00;  1,77
19.02.2012 20:31:50;  2,37
12.03.2012 13:30:00;  3,78
25.04.2012 00:45:00;  4,00
18.05.2012 10:45:00;  19,9
24.06.2012 11:45:00;  25,8
31.07.2012 16:45:00;  14,7
22.08.2012 22:00:00;  8,32
10.09.2012 16:30:00;  8,89
30.10.2012 02:00:00;  6,14
30.11.2012 23:59:55;  3,55
13.12.2012 07:40:35;  2,39
18.01.2013 15:00:00;  2,81
25.02.2013 16:00:00;  1,54
06.03.2013 16:45:00;  2,59
01.04.2013 11:00:00;  2,76
27.05.2013 13:15:00;  13,0
29.06.2013 09:15:00;  15,0
29.07.2013 11:30:00;  10,5
