Messstelle:                ;Waier
03.04.1984 18:00:00;  1,19
01.05.1984 09:00:00;  1,99
01.06.1984 12:00:00;  7,32
29.07.1984 10:30:00;  10,2
20.08.1984 11:30:00;  10,4
13.09.1984 15:00:00;  7,84
29.10.1984 14:00:00;  4,81
28.11.1984 08:30:00;  2,16
23.12.1984 20:30:00;  1,65
25.01.1985 00:00:00;  1,52
05.02.1985 10:30:00;  1,36
20.03.1985 10:00:00;  1,23
01.04.1985 11:45:00;  1,55
04.05.1985 10:00:00;  2,40
26.06.1985 14:00:00;  12,0
03.07.1985 12:45:00;  18,8
31.08.1985 12:15:00;  13,9
11.09.1985 12:45:00;  8,91
29.10.1985 15:00:00;  3,11
27.11.1985 13:00:00;  2,04
23.12.1985 12:00:00;  1,74
27.01.1986 08:30:00;  1,34
22.02.1986 12:15:00;  1,23
05.03.1986 07:15:00;  1,34
03.04.1986 00:00:00;  1,74
01.05.1986 12:15:00;  7,30
08.06.1986 14:45:00;  9,74
14.07.1986 14:15:00;  12,1
26.08.1986 12:30:00;  14,8
29.09.1986 10:30:00;  8,07
27.10.1986 05:15:00;  3,51
28.11.1986 14:15:00;  1,81
31.12.1986 23:59:55;  1,74
08.01.1987 22:15:00;  1,42
26.02.1987 10:30:00;  1,26
24.03.1987 07:30:00;  1,36
01.04.1987 06:45:00;  1,53
09.05.1987 12:00:00;  5,63
06.06.1987 12:30:00;  10,4
29.07.1987 14:00:00;  17,3
08.08.1987 15:15:00;  11,5
30.09.1987 22:15:00;  8,67
10.10.1987 16:45:00;  6,27
25.11.1987 07:30:00;  3,13
10.12.1987 14:15:00;  2,35
26.01.1988 13:45:00;  1,97
25.02.1988 14:45:00;  1,73
09.03.1988 12:45:00;  1,60
03.04.1988 04:00:00;  1,71
01.05.1988 13:30:00;  5,25
03.06.1988 12:45:00;  13,9
20.07.1988 13:00:00;  19,9
27.08.1988 04:15:00;  12,2
26.09.1988 14:15:00;  7,92
31.10.1988 13:15:00;  4,38
27.11.1988 12:45:00;  2,79
31.12.1988 08:00:00;  2,15
30.01.1989 00:00:00;  1,77
27.02.1989 08:30:00;  1,38
05.03.1989 11:45:00;  1,44
24.04.1989 09:30:00;  2,71
02.05.1989 16:45:00;  2,83
09.06.1989 16:00:00;  10,9
20.07.1989 13:15:00;  14,9
31.08.1989 11:45:00;  8,40
30.09.1989 12:15:00;  5,67
31.10.1989 19:30:00;  3,19
17.11.1989 13:00:00;  2,11
17.12.1989 05:30:00;  1,82
30.01.1990 00:00:00;  1,44
12.02.1990 16:00:00;  1,26
04.03.1990 09:30:00;  1,37
13.04.1990 11:45:00;  2,11
01.05.1990 12:30:00;  3,42
01.06.1990 12:00:00;  9,64
28.07.1990 10:45:00;  14,4
23.08.1990 11:15:00;  8,49
22.09.1990 17:30:00;  4,73
31.10.1990 04:15:00;  3,14
14.11.1990 11:45:00;  2,59
29.12.1990 10:00:00;  2,07
30.01.1991 00:00:00;  1,85
22.02.1991 15:00:00;  1,61
01.03.1991 14:45:00;  1,81
02.04.1991 12:00:00;  2,76
01.05.1991 14:30:00;  3,29
01.06.1991 12:00:00;  10,0
29.07.1991 12:45:00;  20,2
31.08.1991 12:15:00;  9,46
29.09.1991 12:30:00;  6,92
31.10.1991 15:00:00;  3,14
11.11.1991 10:30:00;  2,59
31.12.1991 23:45:00;  1,97
30.01.1992 00:00:00;  1,72
15.02.1992 08:00:00;  1,59
03.03.1992 13:30:00;  1,62
01.04.1992 14:30:00;  1,81
01.05.1992 21:00:00;  5,30
10.06.1992 15:45:00;  14,8
14.07.1992 12:15:00;  16,3
16.08.1992 11:15:00;  11,4
27.09.1992 13:00:00;  6,53
28.10.1992 10:00:00;  4,73
19.11.1992 06:30:00;  3,90
31.12.1992 23:59:55;  2,63
26.01.1993 11:30:00;  1,97
27.02.1993 23:45:00;  1,68
13.03.1993 13:30:00;  1,55
09.04.1993 11:30:00;  1,92
02.05.1993 11:00:00;  5,61
15.06.1993 13:00:00;  13,1
14.07.1993 11:45:00;  10,1
31.08.1993 13:15:00;  9,49
07.09.1993 18:15:00;  6,36
02.10.1993 08:00:00;  7,56
30.11.1993 12:00:00;  3,57
31.12.1993 23:59:55;  2,82
19.01.1994 08:45:00;  1,79
10.02.1994 11:00:00;  1,55
05.03.1994 09:00:00;  1,54
12.04.1994 12:30:00;  2,06
07.05.1994 16:15:00;  6,31
14.06.1994 16:45:00;  11,7
29.07.1994 10:30:00;  15,3
19.08.1994 13:00:00;  9,88
23.09.1994 14:30:00;  8,68
27.10.1994 11:00:00;  3,84
30.11.1994 23:59:55;  2,82
15.12.1994 17:00:00;  1,70
31.01.1995 23:59:55;  1,41
28.02.1995 10:15:00;  1,01
08.03.1995 10:15:00;  1,00
01.04.1995 00:45:00;  1,41
01.05.1995 16:15:00;  3,70
04.06.1995 13:15:00;  12,4
31.07.1995 11:00:00;  17,3
31.08.1995 11:00:00;  7,32
30.09.1995 07:45:00;  6,01
31.10.1995 14:00:00;  3,59
19.11.1995 03:00:00;  1,72
28.12.1995 16:00:00;  1,50
31.01.1996 23:59:55;  1,29
29.02.1996 23:59:55;  1,06
14.03.1996 16:00:00; 0,925
01.04.1996 09:15:00; 0,954
06.05.1996 11:30:00;  3,86
28.06.1996 18:00:00;  8,32
26.07.1996 11:30:00;  11,2
21.08.1996 12:00:00;  9,35
30.09.1996 16:00:00;  5,50
01.10.1996 15:30:00;  5,98
29.11.1996 22:30:00;  4,02
26.12.1996 04:45:00;  2,46
31.01.1997 23:59:55;  1,81
28.02.1997 11:30:00;  1,55
01.03.1997 00:00:00;  1,68
08.04.1997 07:15:00;  1,61
01.05.1997 15:30:00;  2,78
03.06.1997 15:45:00;  10,6
22.07.1997 12:30:00;  15,2
31.08.1997 01:00:00;  14,0
30.09.1997 12:45:00;  7,23
29.10.1997 13:30:00;  2,54
20.11.1997 07:30:00;  2,46
29.12.1997 12:30:00;  1,27
18.01.1998 10:45:00;  1,06
09.02.1998 08:15:00;  1,23
22.03.1998 10:15:00;  1,01
19.04.1998 10:00:00;  1,62
02.05.1998 14:15:00;  3,68
19.06.1998 12:30:00;  11,0
11.07.1998 12:00:00;  13,2
31.08.1998 12:15:00;  7,65
30.09.1998 20:45:00;  6,59
30.10.1998 08:15:00;  5,52
30.11.1998 07:45:00;  3,01
26.12.1998 14:15:00;  1,82
30.01.1999 17:00:00;  1,30
22.02.1999 18:30:00;  1,12
08.03.1999 14:15:00;  1,24
01.04.1999 17:45:00;  1,66
01.05.1999 12:15:00;  6,03
24.06.1999 11:45:00;  12,1
25.07.1999 12:00:00;  15,6
15.08.1999 10:30:00;  13,0
30.09.1999 11:15:00;  9,52
20.10.1999 08:30:00;  5,34
28.11.1999 00:15:00;  3,11
28.12.1999 12:00:00;  2,09
31.01.2000 23:59:55;  1,80
29.02.2000 23:59:55;  1,67
02.03.2000 04:45:00;  1,53
01.04.2000 00:00:00;  2,24
01.05.2000 08:45:00;  11,0
30.06.2000 11:15:00;  13,4
20.07.2000 12:30:00;  10,2
30.08.2000 09:15:00;  11,0
06.09.2000 11:15:00;  6,96
30.10.2000 10:30:00;  6,96
12.11.2000 06:15:00;  5,59
31.12.2000 14:20:10;  3,11
27.01.2001 17:30:00;  2,57
24.02.2001 23:15:00;  2,24
01.03.2001 00:00:00;  2,24
18.04.2001 07:00:00;  3,31
01.05.2001 00:00:00;  7,56
07.06.2001 15:15:00;  15,1
22.07.2001 13:15:00;  20,7
30.08.2001 10:15:00;  15,3
20.09.2001 11:30:00;  5,81
31.10.2001 16:48:40;  4,40
30.11.2001 23:59:55;  2,61
31.12.2001 23:59:55;  1,90
25.01.2002 19:05:05;  1,53
22.02.2002 10:49:25;  1,13
04.03.2002 11:53:00;  1,53
11.04.2002 18:05:55;  2,09
01.05.2002 12:43:40;  4,37
30.06.2002 13:10:25;  15,8
28.07.2002 12:26:05;  12,2
29.08.2002 10:55:55;  11,9
30.09.2002 11:34:35;  4,62
08.10.2002 13:13:40;  4,16
13.11.2002 19:49:05;  3,54
31.12.2002 23:59:55;  2,96
31.01.2003 23:59:55;  2,19
28.02.2003 23:59:55;  1,80
17.03.2003 10:56:15;  1,46
07.04.2003 10:59:35;  1,53
18.05.2003 13:35:15;  10,3
30.06.2003 10:48:50;  19,0
07.07.2003 12:58:15;  11,8
28.08.2003 10:52:55;  11,3
30.09.2003 14:42:55;  4,96
25.10.2003 10:37:40;  3,70
30.11.2003 13:05:00;  3,26
31.12.2003 23:59:55;  2,29
31.01.2004 23:59:55;  1,80
29.02.2004 23:59:55;  1,54
13.03.2004 16:19:00;  1,51
12.04.2004 08:15:00;  2,41
11.05.2004 11:00:00;  4,85
03.06.2004 11:30:00;  11,7
29.07.2004 10:00:00;  14,7
28.08.2004 12:15:00;  8,84
30.09.2004 17:39:10;  6,07
17.10.2004 04:00:00;  4,85
30.11.2004 23:59:55;  3,36
31.12.2004 10:15:00;  2,52
31.01.2005 23:59:55;  1,83
28.02.2005 23:59:55;  1,54
15.03.2005 19:00:00;  1,41
11.04.2005 09:15:00;  2,24
11.05.2005 09:45:00;  3,93
11.06.2005 07:15:00;  6,67
24.07.2005 12:15:00;  11,3
10.08.2005 11:45:00;  7,50
28.09.2005 16:09:30;  7,39
31.10.2005 19:19:55;  4,96
20.11.2005 04:49:55;  2,66
30.12.2005 06:27:50;  2,12
10.01.2006 04:11:10;  1,47
28.02.2006 23:59:55;  1,42
01.03.2006 11:15:00;  1,42
06.04.2006 12:00:00;  2,11
01.05.2006 06:30:00;  4,61
07.06.2006 17:15:00;  6,92
18.07.2006 10:15:00;  15,6
31.08.2006 09:30:00;  9,10
30.09.2006 13:30:00;  6,36
21.10.2006 17:15:00;  3,94
30.11.2006 16:01:20;  2,38
31.12.2006 23:59:55;  1,83
24.01.2007 06:25:25;  1,67
19.02.2007 08:40:25;  1,38
11.03.2007 01:15:00;  1,54
01.04.2007 00:00:00;  1,81
07.05.2007 09:45:00;  6,63
01.06.2007 10:15:00;  9,10
31.07.2007 08:45:00;  10,5
05.08.2007 11:45:00;  8,77
30.09.2007 08:00:00;  6,92
31.10.2007 12:15:00;  3,73
27.11.2007 13:15:40;  2,59
31.12.2007 23:59:55;  1,94
31.01.2008 23:59:55;  1,71
23.02.2008 07:51:50;  1,54
19.03.2008 12:00:00;  1,30
07.04.2008 13:00:00;  1,54
01.05.2008 19:00:00;  4,61
16.06.2008 11:30:00;  13,8
25.07.2008 12:00:00;  15,6
27.08.2008 11:15:00;  12,1
28.09.2008 03:45:00;  4,85
28.10.2008 17:30:00;  3,94
30.11.2008 12:30:00;  3,13
01.12.2008 14:30:00;  2,26
31.01.2009 23:59:55;  1,95
28.02.2009 04:05:10;  1,79
01.03.2009 00:00:00;  1,81
06.04.2009 15:20:10;  3,07
01.05.2009 00:00:00;  4,46
04.06.2009 10:15:00;  12,9
12.07.2009 13:30:00;  12,9
31.08.2009 11:45:00;  9,45
30.09.2009 13:00:00;  7,81
31.10.2009 08:45:00;  3,73
29.11.2009 02:00:00;  2,59
31.12.2009 23:59:55;  2,17
31.01.2010 23:59:55;  1,77
28.02.2010 23:59:55;  1,45
15.03.2010 12:45:00;  1,18
02.04.2010 01:45:00;  1,81
19.05.2010 10:30:00;  5,83
02.06.2010 07:45:00;  12,1
31.07.2010 14:30:00;  9,68
01.08.2010 11:30:00;  10,4
14.09.2010 12:00:00;  7,96
28.10.2010 11:15:00;  4,50
25.11.2010 23:30:00;  3,52
31.12.2010 23:59:55;  2,61
31.01.2011 23:59:55;  2,04
28.02.2011 23:59:55;  1,73
11.03.2011 13:22:15;  1,62
01.04.2011 00:00:00;  2,45
01.05.2011 13:45:00;  4,38
02.06.2011 15:45:00;  16,5
31.07.2011 12:00:00;  9,32
01.08.2011 11:45:00;  9,68
02.09.2011 08:30:00;  9,32
30.10.2011 10:00:00;  5,10
30.11.2011 23:59:55;  2,95
31.12.2011 23:59:55;  2,31
31.01.2012 23:59:55;  1,97
24.02.2012 06:46:10;  1,72
10.03.2012 05:01:10;  1,83
09.04.2012 10:39:40;  2,40
18.05.2012 04:45:00;  7,33
07.06.2012 10:15:00;  14,2
09.07.2012 12:00:00;  15,6
28.08.2012 10:00:00;  10,4
26.09.2012 09:15:00;  8,29
30.10.2012 00:00:00;  7,03
30.11.2012 00:45:00;  4,61
31.12.2012 11:30:00;  2,59
23.01.2013 11:30:00;  1,96
28.02.2013 23:59:55;  1,65
01.03.2013 09:30:00;  1,51
01.04.2013 11:15:00;  1,55
27.05.2013 13:15:00;  8,66
01.06.2013 10:45:00;  8,97
01.07.2013 12:00:00;  12,6
31.08.2013 14:00:00;  10,5
25.09.2013 16:30:00;  7,33
19.10.2013 12:45:00;  5,99
25.11.2013 11:30:00;  4,12
31.12.2013 23:59:55;  2,64
31.01.2014 23:59:55;  2,10
28.02.2014 23:59:55;  2,00
04.03.2014 16:45:00;  1,98
01.04.2014 15:00:00;  4,24
18.05.2014 14:00:00;  6,82
02.06.2014 09:30:00;  12,6
03.07.2014 14:45:00;  14,5
29.08.2014 13:00:00;  13,1
30.09.2014 11:00:00;  6,33
23.10.2014 18:15:00;  3,92
30.11.2014 11:00:00;  4,33
27.12.2014 10:00:00;  2,68
31.01.2015 23:59:55;  2,09
19.02.2015 10:30:00;  1,70
07.03.2015 11:30:00;  1,63
08.04.2015 11:00:00;  1,72
01.05.2015 22:00:00;  5,12
22.06.2015 13:45:00;  12,5
11.07.2015 12:30:00;  14,9
22.08.2015 12:00:00;  10,3
13.09.2015 12:30:00;  7,50
28.10.2015 07:45:00;  6,52
23.11.2015 10:45:00;  3,51
31.12.2015 23:59:55;  2,29
30.01.2016 14:14:40;  2,00
12.02.2016 07:30:00;  1,48
17.03.2016 10:00:00;  1,73
01.04.2016 12:15:00;  3,32
05.05.2016 15:30:00;  4,45
03.06.2016 12:45:00;  18,8
29.07.2016 12:15:00;  14,2
31.08.2016 10:15:00;  10,3
29.09.2016 15:45:00;  4,79
13.10.2016 09:45:00;  3,24
29.11.2016 06:34:15;  2,26
31.12.2016 23:59:55;  1,80
31.01.2017 23:59:55;  1,60
28.02.2017 23:59:55;  1,59
11.03.2017 16:08:25;  1,58
21.04.2017 09:00:00;  2,19
01.05.2017 14:45:00;  3,31
19.06.2017 14:30:00;  14,6
17.07.2017 12:30:00;  11,4
29.08.2017 08:00:00;  12,4
29.09.2017 17:15:00;  7,32
28.10.2017 08:45:00;  3,85
30.11.2017 23:59:55;  2,59
31.12.2017 23:59:55;  1,94
31.01.2018 23:59:55;  1,77
28.02.2018 23:59:55;  1,64
22.03.2018 10:30:00;  1,05
02.04.2018 08:30:00;  1,96
03.05.2018 01:30:00;  14,4
28.06.2018 10:30:00;  12,5
27.07.2018 10:45:00;  12,1
20.08.2018 09:15:00;  9,60
30.09.2018 12:45:00;  6,71
22.10.2018 12:45:00;  3,79
28.11.2018 11:30:00;  3,67
31.12.2018 23:59:55;  2,77
31.01.2019 23:59:55;  2,22
13.02.2019 07:01:35;  2,03
20.03.2019 11:00:00;  2,21
01.04.2019 14:45:00;  3,68
16.05.2019 03:30:00;  5,55
01.06.2019 08:15:00;  14,3
15.07.2019 09:45:00;  11,6
17.08.2019 14:30:00;  10,2
29.09.2019 15:00:00;  6,18
26.10.2019 18:00:00;  4,50
16.11.2019 01:55:00;  3,30
31.12.2019 23:59:55;  2,45
31.01.2020 23:59:55;  1,92
02.02.2020 03:41:05;  1,90
10.03.2020 23:58:30;  2,01
01.04.2020 06:45:00;  2,26
04.05.2020 13:15:00;  8,12
01.06.2020 13:15:00;  10,4
20.07.2020 14:15:00;  14,7
27.08.2020 11:45:00;  10,2
30.09.2020 14:00:00;  9,22
22.10.2020 09:15:00;  6,66
30.11.2020 23:59:55;  3,91
31.12.2020 23:59:55;  2,91
31.01.2021 23:59:55;  2,22
21.02.2021 18:30:00;  2,03
21.03.2021 08:00:00;  2,22
16.04.2021 07:30:00;  3,31
08.05.2021 14:45:00;  7,16
01.06.2021 12:30:00;  11,1
30.07.2021 11:30:00;  20,5
31.08.2021 08:15:00;  11,8
24.09.2021 11:30:00;  6,71
30.10.2021 13:15:00;  3,64
30.11.2021 23:59:55;  3,09
31.12.2021 07:45:00;  2,32
