Messstelle:                ;Krottendorf
22.04.1977 09:00:00;  11,6
30.05.1977 20:00:00;  11,9
29.06.1977 10:00:00;  7,98
13.07.1977 02:00:00;  7,67
07.08.1977 14:00:00;  9,63
11.09.1977 11:00:00;  8,10
28.10.1977 17:00:00;  6,51
20.11.1977 15:00:00;  5,03
19.12.1977 12:00:00;  3,90
06.01.1978 17:00:00;  3,14
15.02.1978 10:00:00;  3,40
26.03.1978 14:00:00;  6,14
09.04.1978 14:00:00;  6,55
17.05.1978 17:00:00;  11,4
24.06.1978 06:00:00;  11,0
01.07.1978 23:00:00;  11,8
28.08.1978 01:00:00;  9,75
26.09.1978 02:00:00;  6,10
29.10.1978 14:00:00;  7,00
19.11.1978 14:00:00;  5,39
06.12.1978 12:00:00;  4,44
03.01.1979 06:00:00;  3,04
28.02.1979 10:00:00;  6,51
02.03.1979 11:00:00;  6,83
08.04.1979 14:00:00;  10,2
01.05.1979 19:00:00;  12,8
09.06.1979 01:00:00;  12,0
19.07.1979 21:00:00;  17,9
31.08.1979 22:00:00;  11,0
20.09.1979 23:00:00;  8,00
28.10.1979 16:00:00;  7,51
04.11.1979 14:00:00;  7,25
31.12.1979 15:00:00;  9,78
15.01.1980 20:00:00;  6,67
22.02.1980 00:01:00;  8,03
04.03.1980 00:01:00;  8,26
25.04.1980 00:01:00;  9,46
01.05.1980 11:00:00;  9,16
22.06.1980 13:00:00;  8,83
07.07.1980 03:00:00;  9,36
23.08.1980 16:00:00;  5,96
07.09.1980 14:00:00;  9,59
05.10.1980 13:00:00;  8,64
16.11.1980 13:00:00;  15,8
29.12.1980 12:00:00;  8,45
09.01.1981 12:00:00;  6,53
06.02.1981 18:00:00;  5,57
01.03.1981 14:30:00;  6,63
17.04.1981 16:00:00;  7,62
10.05.1981 12:00:00;  9,04
15.06.1981 01:30:00;  7,53
11.07.1981 14:30:00;  9,42
11.08.1981 18:30:00;  7,47
23.09.1981 08:00:00;  8,11
17.10.1981 17:30:00;  9,28
08.11.1981 13:30:00;  6,52
22.12.1981 08:30:00;  6,43
08.01.1982 13:30:00;  4,26
04.02.1982 10:00:00;  4,73
01.03.1982 09:30:00;  6,04
17.04.1982 19:30:00;  6,18
02.05.1982 14:00:00;  6,96
27.06.1982 08:30:00;  8,00
11.07.1982 23:30:00;  7,22
11.08.1982 18:30:00;  6,84
06.09.1982 00:30:00;  9,45
05.10.1982 16:00:00;  13,1
28.11.1982 13:00:00;  12,0
31.12.1982 05:00:00;  9,58
25.01.1983 16:30:00;  8,56
23.02.1983 14:30:00;  6,13
06.03.1983 14:00:00;  8,23
17.04.1983 13:30:00;  10,7
22.05.1983 15:00:00;  10,4
19.06.1983 08:30:00;  11,2
31.07.1983 23:00:00;  7,11
02.08.1983 03:30:00;  6,98
30.09.1983 19:00:00;  6,86
27.10.1983 19:30:00;  6,22
15.11.1983 15:00:00;  3,44
14.12.1983 17:30:00;  3,84
12.01.1984 05:15:00;  3,39
13.02.1984 15:00:00;  3,47
01.03.1984 08:15:00;  5,19
21.04.1984 19:45:00;  9,51
01.05.1984 19:00:00;  9,61
22.06.1984 01:15:00;  7,59
23.07.1984 18:15:00;  5,64
24.08.1984 15:30:00;  5,53
13.09.1984 07:00:00;  5,61
19.10.1984 12:45:00;  7,87
14.11.1984 15:15:00;  7,42
23.12.1984 21:30:00;  5,77
07.01.1985 10:45:00;  3,96
12.02.1985 13:45:00;  3,92
01.03.1985 11:00:00;  5,91
25.04.1985 15:00:00;  7,98
01.05.1985 20:30:00;  10,5
07.06.1985 19:45:00;  12,3
29.07.1985 23:00:00;  12,4
17.08.1985 12:15:00;  9,19
28.09.1985 22:45:00;  7,87
29.10.1985 16:15:00;  6,84
30.11.1985 12:45:00;  5,50
01.12.1985 10:45:00;  6,72
27.01.1986 12:30:00;  3,82
25.02.1986 12:00:00;  4,33
01.03.1986 22:15:00;  6,14
21.04.1986 19:15:00;  12,9
25.05.1986 17:45:00;  11,0
02.06.1986 23:00:00;  15,6
25.07.1986 17:45:00;  7,59
09.08.1986 21:15:00;  7,80
30.09.1986 18:30:00;  7,76
18.10.1986 18:30:00;  7,18
16.11.1986 16:15:00;  5,34
25.12.1986 07:45:00;  4,70
31.01.1987 10:30:00;  3,72
01.02.1987 00:00:00;  4,23
04.03.1987 11:00:00;  3,97
03.04.1987 14:45:00;  12,7
01.05.1987 16:30:00;  12,7
07.06.1987 15:00:00;  10,9
07.07.1987 12:45:00;  8,66
29.08.1987 20:15:00;  10,3
21.09.1987 03:45:00;  7,00
02.10.1987 00:30:00;  7,00
07.11.1987 19:45:00;  7,19
30.12.1987 06:30:00;  7,81
05.01.1988 17:00:00;  7,40
26.02.1988 11:15:00;  7,19
10.03.1988 10:45:00;  6,41
03.04.1988 20:00:00;  8,02
20.05.1988 16:15:00;  9,82
22.06.1988 18:30:00;  8,46
28.07.1988 18:00:00;  7,68
16.08.1988 12:30:00;  7,12
01.09.1988 09:15:00;  11,1
28.10.1988 14:45:00;  8,89
23.11.1988 12:00:00;  5,35
17.12.1988 17:45:00;  4,30
25.01.1989 17:00:00;  4,44
04.02.1989 18:30:00;  5,19
02.03.1989 17:45:00;  5,86
12.04.1989 00:00:00;  6,60
13.05.1989 22:45:00;  10,6
21.06.1989 03:15:00;  9,48
02.07.1989 17:15:00;  10,6
17.08.1989 00:30:00;  13,2
23.09.1989 18:15:00;  15,2
28.10.1989 22:15:00;  12,4
30.11.1989 07:30:00;  8,26
28.12.1989 09:30:00;  7,64
08.01.1990 10:15:00;  5,94
08.02.1990 17:15:00;  8,45
03.03.1990 20:30:00;  8,68
16.04.1990 14:00:00;  9,20
22.05.1990 09:15:00;  8,92
05.06.1990 03:30:00;  7,84
31.07.1990 23:59:55;  10,3
14.08.1990 14:45:00;  7,87
19.09.1990 10:15:00;  7,30
17.10.1990 19:45:00;  8,06
21.11.1990 15:00:00;  10,9
21.12.1990 12:45:00;  10,1
17.01.1991 12:00:00;  6,44
02.02.1991 12:30:00;  5,53
02.03.1991 02:15:00;  7,88
08.04.1991 17:45:00;  9,27
01.05.1991 17:45:00;  12,1
23.06.1991 14:15:00;  12,1
07.07.1991 22:30:00;  11,0
31.08.1991 21:15:00;  11,0
19.09.1991 21:15:00;  9,27
27.10.1991 21:15:00;  8,33
02.11.1991 13:00:00;  8,33
10.12.1991 10:15:00;  7,88
21.01.1992 12:45:00;  6,04
19.02.1992 13:30:00;  4,73
18.03.1992 17:00:00;  5,86
20.04.1992 23:15:00;  7,19
29.05.1992 06:45:00;  9,27
30.06.1992 23:00:00;  9,48
31.07.1992 23:59:55;  5,52
04.08.1992 13:45:00;  4,30
01.09.1992 02:45:00;  4,73
02.10.1992 21:45:00;  5,52
30.11.1992 18:45:00;  8,89
29.12.1992 11:00:00;  6,60
31.01.1993 13:45:00;  5,69
23.02.1993 14:00:00;  4,03
06.03.1993 08:45:00;  4,88
10.04.1993 00:15:00;  5,86
26.05.1993 00:15:00;  5,19
30.06.1993 01:00:00;  4,27
05.07.1993 17:30:00;  3,38
12.08.1993 11:15:00;  4,58
09.09.1993 01:00:00;  6,25
01.10.1993 17:00:00;  8,33
28.11.1993 20:00:00;  10,7
13.12.1993 09:15:00;  9,51
27.01.1994 09:00:00;  8,56
18.02.1994 13:00:00;  6,63
06.03.1994 21:00:00;  8,33
09.04.1994 11:30:00;  8,33
23.05.1994 21:00:00;  10,5
03.06.1994 12:00:00;  8,80
29.07.1994 09:00:00;  5,53
08.08.1994 14:15:00;  6,06
09.09.1994 00:45:00;  11,3
03.10.1994 18:00:00;  7,88
04.11.1994 18:45:00;  9,27
16.12.1994 09:30:00;  8,56
18.01.1995 15:00:00;  7,03
01.02.1995 09:00:00;  7,45
17.03.1995 15:45:00;  11,3
18.04.1995 22:15:00;  10,2
27.05.1995 20:30:00;  11,3
09.06.1995 17:30:00;  10,2
27.07.1995 18:15:00;  8,80
07.08.1995 05:30:00;  9,27
13.09.1995 15:30:00;  9,27
24.10.1995 13:45:00;  7,00
03.11.1995 17:45:00;  5,52
29.12.1995 19:00:00;  4,73
26.01.1996 12:15:00;  5,31
01.02.1996 12:30:00;  3,72
05.03.1996 08:45:00;  3,97
01.04.1996 21:30:00;  9,46
25.05.1996 22:15:00;  15,2
19.06.1996 02:15:00;  9,75
27.07.1996 22:45:00;  10,7
02.08.1996 17:00:00;  9,27
18.09.1996 09:45:00;  10,5
01.10.1996 13:30:00;  11,8
09.11.1996 20:00:00;  12,3
27.12.1996 14:45:00;  6,63
31.01.1997 14:26:35;  7,00
04.02.1997 13:39:45;  6,30
23.03.1997 19:24:15;  6,75
17.04.1997 16:40:15;  5,38
31.05.1997 07:29:05;  5,52
06.06.1997 21:58:30;  4,47
10.07.1997 06:46:10;  8,98
04.08.1997 11:34:20;  10,0
29.09.1997 17:56:50;  6,80
15.10.1997 18:21:40;  5,78
07.11.1997 01:05:15;  6,17
15.12.1997 15:49:15;  4,05
28.01.1998 12:10:20;  5,06
05.02.1998 11:37:50;  5,03
26.03.1998 12:42:10;  4,77
01.04.1998 00:00:00;  5,77
29.05.1998 10:06:25;  5,92
08.06.1998 01:44:40;  5,34
01.07.1998 00:31:25;  5,99
11.08.1998 15:36:35;  6,83
01.09.1998 23:38:55;  9,61
01.10.1998 00:32:00;  12,5
17.11.1998 17:01:45;  11,4
26.12.1998 08:37:25;  6,91
31.01.1999 09:30:05;  4,31
01.02.1999 15:25:35;  4,62
19.03.1999 14:49:20;  6,84
12.04.1999 18:49:50;  5,50
01.05.1999 12:38:00;  8,87
07.06.1999 21:33:35;  8,36
07.07.1999 02:57:45;  7,99
16.08.1999 04:04:20;  14,4
17.09.1999 19:40:35;  13,4
23.10.1999 18:34:55;  12,1
30.11.1999 03:59:25;  7,93
23.12.1999 15:50:20;  5,52
25.01.2000 13:21:10;  4,36
22.02.2000 12:33:35;  4,60
07.03.2000 15:46:45;  5,33
11.04.2000 17:44:15;  5,56
18.05.2000 01:10:45;  10,3
24.06.2000 01:55:30;  8,67
07.07.2000 08:22:15;  8,78
31.08.2000 17:18:40;  7,59
08.09.2000 14:29:25;  5,43
01.10.2000 00:00:00;  7,28
01.11.2000 00:20:35;  10,3
24.12.2000 06:30:50;  10,1
01.01.2001 16:15:05;  10,2
27.02.2001 13:23:55;  6,35
08.03.2001 17:26:20;  6,50
15.04.2001 14:28:40;  9,80
30.05.2001 05:52:55;  7,96
30.06.2001 23:06:45;  6,64
03.07.2001 21:33:05;  5,26
30.08.2001 15:57:05;  4,30
04.09.2001 10:59:45;  5,17
21.10.2001 09:55:50;  3,99
27.11.2001 20:55:50;  4,58
14.12.2001 10:44:30;  3,76
21.01.2002 11:34:05;  2,79
23.02.2002 06:41:00;  3,69
20.03.2002 17:21:50;  3,44
01.04.2002 14:07:55;  3,66
12.05.2002 21:16:10;  6,05
28.06.2002 06:59:15;  5,29
13.07.2002 06:38:15;  4,84
04.08.2002 03:47:10;  6,30
30.09.2002 19:32:20;  8,72
06.10.2002 13:13:45;  9,35
16.11.2002 19:15:30;  9,04
27.12.2002 22:57:55;  8,56
13.01.2003 05:43:25;  6,79
15.02.2003 11:40:45;  4,80
23.03.2003 18:46:55;  4,97
07.04.2003 16:59:20;  5,26
20.05.2003 11:06:20;  5,04
14.06.2003 21:16:35;  4,81
21.07.2003 03:26:55;  4,21
29.08.2003 08:55:25;  3,75
29.09.2003 08:57:45;  5,44
04.10.2003 00:04:45;  5,43
01.11.2003 00:00:00;  7,20
25.12.2003 13:12:35;  5,17
23.01.2004 16:15:00;  3,91
25.02.2004 13:30:00;  4,58
02.03.2004 11:15:00;  4,17
14.04.2004 13:14:35;  9,41
27.05.2004 00:15:00;  11,8
10.06.2004 18:30:00;  12,3
31.07.2004 22:45:00;  15,3
25.08.2004 18:15:00;  9,51
29.09.2004 06:00:00;  6,83
08.10.2004 03:30:00;  8,80
25.11.2004 13:30:00;  6,80
21.12.2004 08:45:00;  4,17
30.01.2005 13:15:00;  3,60
08.02.2005 12:30:00;  3,38
01.03.2005 17:30:00;  2,97
05.04.2005 14:45:00;  6,24
30.05.2005 00:30:00;  7,19
29.06.2005 09:37:30;  4,58
05.07.2005 08:07:30;  5,88
11.08.2005 07:22:30;  7,66
16.09.2005 22:19:00;  14,4
26.10.2005 20:37:30;  11,8
20.11.2005 18:37:30;  9,75
28.12.2005 00:44:40;  4,82
14.01.2006 14:29:40;  4,62
07.02.2006 06:29:40;  5,02
08.03.2006 09:52:30;  4,58
18.04.2006 00:12:10;  12,8
18.05.2006 17:22:30;  16,4
26.06.2006 13:57:10;  10,7
22.07.2006 22:37:30;  8,56
31.08.2006 19:07:30;  8,80
13.09.2006 22:22:30;  7,24
12.10.2006 06:52:30;  7,03
18.11.2006 21:37:30;  7,24
28.12.2006 13:22:30;  6,44
27.01.2007 13:22:30;  4,58
03.02.2007 18:22:30;  4,73
15.03.2007 13:52:30;  5,19
28.04.2007 23:37:30;  8,01
11.05.2007 08:07:30;  5,73
25.06.2007 20:52:30;  5,53
23.07.2007 23:52:30;  6,25
27.08.2007 22:22:30;  6,25
26.09.2007 17:22:30;  4,73
11.10.2007 20:22:30;  5,52
16.11.2007 16:52:30;  6,60
18.12.2007 10:52:30;  5,35
24.01.2008 12:37:30;  5,19
17.02.2008 14:57:35;  4,18
20.03.2008 18:52:30;  3,72
05.04.2008 20:52:30;  4,66
10.05.2008 20:22:30;  6,04
01.06.2008 22:37:30;  6,24
12.07.2008 21:37:30;  7,88
28.08.2008 12:07:30;  7,45
29.09.2008 17:37:30;  5,35
16.10.2008 16:52:30;  6,06
19.11.2008 18:22:30;  6,06
29.12.2008 13:07:30;  7,66
10.01.2009 10:22:30;  6,06
19.02.2009 12:31:30;  5,85
22.03.2009 12:22:30;  7,24
01.04.2009 14:37:30;  14,0
24.05.2009 07:37:30;  11,3
13.06.2009 19:52:30;  7,66
27.07.2009 17:07:30;  12,1
02.08.2009 20:37:30;  9,27
03.09.2009 21:45:00;  12,9
31.10.2009 16:52:30;  11,8
26.11.2009 19:37:30; 10,00
18.12.2009 14:22:30;  7,24
27.01.2010 11:45:00;  6,25
09.02.2010 16:30:00;  5,70
08.03.2010 12:45:05;  5,69
07.04.2010 14:30:00;  7,19
28.05.2010 02:22:30;  9,27
12.06.2010 20:37:30;  6,83
22.07.2010 19:45:05;  6,06
02.08.2010 17:37:30;  6,25
15.09.2010 15:37:30;  6,44
30.10.2010 18:22:30;  8,02
07.11.2010 16:52:30;  8,23
17.12.2010 08:07:30;  7,60
23.01.2011 12:07:30;  6,60
24.02.2011 11:37:30;  4,66
08.03.2011 10:52:30;  4,82
21.04.2011 12:37:30;  6,04
26.05.2011 13:15:00;  4,58
11.06.2011 21:00:05;  6,80
14.07.2011 07:30:05;  4,58
03.08.2011 01:45:00;  5,52
10.09.2011 19:00:00;  4,40
01.10.2011 20:15:00;  5,88
18.11.2011 20:15:05;  5,19
20.12.2011 16:15:00;  4,71
27.01.2012 17:45:05;  2,90
03.02.2012 17:15:00;  3,10
10.03.2012 17:45:00;  3,78
01.04.2012 19:00:00;  4,03
10.05.2012 17:00:05;  4,03
28.06.2012 21:00:00;  7,04
07.07.2012 21:00:00;  6,45
20.08.2012 13:45:05;  8,77
12.09.2012 00:45:05;  8,33
26.10.2012 20:30:05;  9,27
01.11.2012 01:00:05;  14,6
31.12.2012 16:14:35;  10,3
12.01.2013 01:59:30;  6,72
11.02.2013 11:15:00;  5,88
01.03.2013 08:00:00;  9,75
08.04.2013 17:30:00;  12,3
30.05.2013 00:30:00;  13,6
30.06.2013 23:15:00;  12,5
30.07.2013 00:45:00;  7,14
22.08.2013 06:15:00;  5,83
08.09.2013 23:15:00;  5,31
