Messstelle:                ;Siezenheim
13.04.1991 08:00:00;  3,54
08.05.1991 09:00:00;  6,62
21.06.1991 01:30:00;  40,2
12.07.1991 08:00:00;  17,6
22.08.1991 06:00:00;  10,5
11.09.1991 07:45:00;  7,41
19.10.1991 11:00:00;  3,46
01.11.1991 14:00:00;  3,07
13.12.1991 09:45:00;  3,56
27.01.1992 06:15:00;  4,90
04.02.1992 08:45:00;  3,45
04.03.1992 04:45:00;  6,07
19.04.1992 05:15:00;  21,7
22.05.1992 08:00:00;  45,6
23.06.1992 03:00:00;  10,4
27.07.1992 05:00:00;  7,78
30.08.1992 04:00:00;  4,42
27.09.1992 03:30:00;  4,61
06.10.1992 02:00:00;  4,80
15.11.1992 08:00:00;  12,4
28.12.1992 07:15:00;  7,01
06.01.1993 06:45:00;  3,89
24.02.1993 05:30:00;  4,80
03.03.1993 07:15:00;  4,61
01.04.1993 03:00:00;  14,2
24.05.1993 07:00:00;  17,1
14.06.1993 08:15:00;  7,52
11.07.1993 04:00:00;  20,2
23.08.1993 08:15:00;  8,32
29.09.1993 05:45:00;  15,0
19.10.1993 01:30:00;  5,00
30.11.1993 05:00:00;  3,89
02.12.1993 10:00:00;  4,06
21.01.1994 08:45:00;  4,52
24.02.1994 05:00:00;  4,80
06.03.1994 10:00:00;  20,7
10.04.1994 03:00:00;  20,0
09.05.1994 18:30:00;  42,5
26.06.1994 17:30:00;  28,8
27.07.1994 19:15:00;  8,83
10.08.1994 02:45:00;  4,45
29.09.1994 05:00:00;  2,97
23.10.1994 07:30:00;  1,56
08.11.1994 05:45:00;  1,08
27.12.1994 07:15:00;  1,39
15.01.1995 04:15:00;  3,68
05.02.1995 05:15:00;  12,4
07.03.1995 03:15:00;  10,7
01.04.1995 00:00:00;  22,2
23.05.1995 02:30:00;  42,8
21.06.1995 15:30:00;  32,5
31.07.1995 07:00:00;  24,0
01.08.1995 20:15:00;  8,35
25.09.1995 06:00:00;  26,1
28.10.1995 06:45:00;  4,59
01.11.1995 08:15:00;  9,41
14.12.1995 08:00:00;  9,41
21.01.1996 07:00:00;  4,04
16.02.1996 05:15:00;  2,35
02.03.1996 07:30:00;  2,57
03.04.1996 03:15:00;  9,05
05.05.1996 02:30:00;  31,6
18.06.1996 16:45:00;  9,78
28.07.1996 00:15:00;  20,0
11.08.1996 03:45:00;  11,3
05.09.1996 04:45:00;  24,0
31.10.1996 20:45:00;  22,5
28.11.1996 06:00:00;  15,4
15.12.1996 09:00:00;  6,66
31.01.1997 07:40:35;  4,79
10.02.1997 09:16:40;  3,38
02.03.1997 11:21:45;  12,5
24.04.1997 03:57:15;  28,6
31.05.1997 08:44:50;  35,3
26.06.1997 08:01:15;  32,5
05.07.1997 00:57:45;  25,8
28.08.1997 00:26:45;  10,5
18.09.1997 01:22:15;  4,48
01.10.1997 04:33:25;  4,17
24.11.1997 08:06:20;  4,43
07.12.1997 01:05:00;  11,4
30.01.1998 07:22:10;  3,17
02.02.1998 05:16:35;  3,18
01.03.1998 05:33:45;  4,09
21.04.1998 03:19:20;  21,5
26.05.1998 01:13:55;  25,3
30.06.1998 07:11:40;  23,2
07.07.1998 06:24:05;  24,2
22.08.1998 01:38:15;  11,6
03.09.1998 04:20:50;  8,91
25.10.1998 07:57:00;  18,6
28.11.1998 03:07:35;  14,0
08.12.1998 05:05:30;  5,89
26.01.1999 18:40:25;  8,71
03.02.1999 03:57:45;  3,77
01.03.1999 10:37:55;  19,6
21.04.1999 03:11:00;  37,8
23.05.1999 18:56:00;  64,7
21.06.1999 04:51:30;  28,2
03.07.1999 16:26:45;  28,1
25.08.1999 15:05:10;  12,1
18.09.1999 05:53:55;  6,04
24.10.1999 09:32:05;  3,17
06.11.1999 08:17:50;  2,35
18.12.1999 06:06:10; 0,922
04.01.2000 06:30:00;  1,08
22.02.2000 06:45:00;  13,4
07.03.2000 05:00:00;  14,6
13.04.2000 05:30:00;  41,9
31.05.2000 03:30:00;  35,9
28.06.2000 04:45:00;  12,2
07.07.2000 08:00:00;  12,6
26.08.2000 08:45:00;  11,8
30.09.2000 06:45:00;  15,5
31.10.2000 11:15:00;  8,91
21.11.2000 22:00:00;  6,96
14.12.2000 14:00:00;  8,57
23.01.2001 02:45:00;  3,68
02.02.2001 08:15:00;  4,58
02.03.2001 09:30:00;  11,1
07.04.2001 17:00:00;  20,6
21.05.2001 16:00:00;  28,4
08.06.2001 11:45:00;  26,1
19.07.2001 08:15:00;  12,0
27.08.2001 04:30:00;  7,90
03.09.2001 15:30:00;  29,6
23.10.2001 02:47:50;  6,56
04.11.2001 00:28:00;  3,16
22.12.2001 20:09:00;  10,4
15.01.2002 23:45:00;  9,24
22.02.2002 07:45:00;  15,7
05.03.2002 07:30:00;  24,2
21.04.2002 23:30:00;  28,6
31.05.2002 23:45:00;  34,2
26.06.2002 06:00:00;  23,5
09.07.2002 15:50:10;  16,1
02.08.2002 15:28:00;  18,9
18.09.2002 18:00:00;  17,2
09.10.2002 15:15:00;  21,5
30.11.2002 23:59:55;  28,7
09.12.2002 20:30:00;  13,0
15.01.2003 16:15:00;  12,2
16.02.2003 01:00:00;  4,43
01.03.2003 15:30:00;  12,6
11.04.2003 09:00:00;  13,0
26.05.2003 15:15:00;  34,0
29.06.2003 18:15:00;  16,0
16.07.2003 03:45:00;  7,14
23.08.2003 21:30:00;  3,63
07.09.2003 23:30:00;  9,55
02.10.2003 07:30:00;  6,47
15.11.2003 06:00:00;  5,58
25.12.2003 04:30:00;  3,14
25.01.2004 06:00:00;  4,43
01.02.2004 00:30:00;  9,92
10.03.2004 01:30:00;  11,0
14.04.2004 09:00:00;  28,9
11.05.2004 12:30:00;  26,6
19.06.2004 15:15:00;  40,7
03.07.2004 09:00:00;  14,8
12.08.2004 05:30:00;  6,29
09.09.2004 15:00:00;  9,71
30.10.2004 04:30:00;  9,57
05.11.2004 15:15:00;  9,48
31.12.2004 09:00:00;  3,63
17.01.2005 08:09:10;  3,22
01.02.2005 18:30:30;  3,45
10.03.2005 03:12:35;  3,49
12.04.2005 19:48:10;  41,1
13.05.2005 19:41:35;  50,1
21.06.2005 19:45:00;  26,6
01.07.2005 01:00:00;  25,5
02.08.2005 07:00:00;  20,5
15.09.2005 06:15:00;  18,7
22.10.2005 05:15:00;  5,88
24.11.2005 06:00:00;  2,44
01.12.2005 09:00:00;  2,90
17.01.2006 05:19:55;  3,58
15.02.2006 08:50:50;  1,72
07.03.2006 19:42:35;  7,72
07.04.2006 14:53:25;  43,5
27.05.2006 03:15:00;  45,1
16.06.2006 20:47:15;  35,9
28.07.2006 15:30:00;  11,1
01.08.2006 04:15:00;  18,5
15.09.2006 07:15:00;  11,4
21.10.2006 05:15:00;  4,73
01.11.2006 17:00:00;  11,0
29.12.2006 09:15:00;  4,00
01.01.2007 04:30:00;  5,25
06.02.2007 06:45:00;  8,54
25.03.2007 11:30:00;  18,1
29.04.2007 16:45:00;  12,1
04.05.2007 23:15:00;  15,8
20.06.2007 00:45:00;  20,0
29.07.2007 09:45:00;  14,1
17.08.2007 04:00:00;  10,3
30.09.2007 21:30:00;  24,6
19.10.2007 04:30:00;  9,21
06.11.2007 12:00:00;  15,0
28.12.2007 08:15:00;  11,9
16.01.2008 07:00:00;  9,55
10.02.2008 22:00:00;  8,85
09.03.2008 00:45:00;  19,5
09.04.2008 22:45:00;  28,6
24.05.2008 10:15:00;  51,6
30.06.2008 20:15:00;  22,4
01.07.2008 20:30:00;  9,00
30.08.2008 19:45:00;  14,4
06.09.2008 04:30:00;  4,23
28.10.2008 14:00:00;  8,45
04.11.2008 04:45:00;  7,28
13.12.2008 22:30:00;  8,15
21.01.2009 07:00:00;  3,68
02.02.2009 01:45:00;  3,90
08.03.2009 16:30:00;  14,0
01.04.2009 00:00:00;  35,9
29.05.2009 02:00:00;  44,9
15.06.2009 15:45:00;  28,6
31.07.2009 23:59:55;  28,6
21.08.2009 16:00:00;  20,7
24.09.2009 17:00:00;  8,31
11.10.2009 04:00:00;  6,41
23.11.2009 05:15:00;  11,2
22.12.2009 06:30:00;  8,65
27.01.2010 10:00:00;  4,18
15.02.2010 09:00:00;  4,18
13.03.2010 05:45:00;  4,64
13.04.2010 07:30:00;  15,2
12.05.2010 09:15:00;  30,3
27.06.2010 04:30:00;  25,2
15.07.2010 23:30:00;  9,83
01.08.2010 21:30:00;  26,3
23.09.2010 04:30:00;  11,2
20.10.2010 08:00:00;  6,44
12.11.2010 04:45:00;  7,00
14.12.2010 16:45:00;  7,00
06.01.2011 02:15:00;  7,00
26.02.2011 05:15:00;  7,00
05.03.2011 05:30:00;  4,64
20.04.2011 03:00:00;  15,6
10.05.2011 00:15:00;  9,83
08.06.2011 06:00:00;  19,2
18.07.2011 06:15:00;  12,0
26.08.2011 18:45:00;  5,89
13.09.2011 05:45:00;  6,71
03.10.2011 04:15:00;  5,63
19.11.2011 04:45:00;  4,41
14.12.2011 17:15:00;  3,73
30.01.2012 08:15:00;  8,51
17.02.2012 09:30:00;  6,16
10.03.2012 08:30:00;  22,1
27.04.2012 19:45:00;  24,7
15.05.2012 13:45:00;  41,9
30.06.2012 17:30:00;  37,8
19.07.2012 12:45:00;  14,3
21.08.2012 06:30:00;  10,2
11.09.2012 05:30:00;  14,4
06.10.2012 16:00:00;  13,2
26.11.2012 07:00:00;  8,85
14.12.2012 00:00:00;  8,52
27.01.2013 17:15:00;  12,0
23.02.2013 05:15:00;  6,43
04.03.2013 03:15:00;  10,9
07.04.2013 05:30:00;  18,8
22.05.2013 00:45:00;  39,3
20.06.2013 07:45:00;  34,0
29.07.2013 06:15:00;  14,3
08.08.2013 05:45:00;  5,63
09.09.2013 02:00:00;  12,0
29.10.2013 06:15:00;  5,89
28.11.2013 10:00:00;  13,1
20.12.2013 16:15:00;  8,20
09.01.2014 04:15:00;  4,88
06.02.2014 07:45:00;  4,41
05.03.2014 08:00:00;  6,16
03.04.2014 21:15:00;  15,2
06.05.2014 19:30:00;  26,3
28.06.2014 19:15:00;  12,4
07.07.2014 06:30:00;  14,3
30.08.2014 01:15:00;  29,2
19.09.2014 21:15:00;  16,9
13.10.2014 11:00:00;  11,6
30.11.2014 05:30:00;  6,44
27.12.2014 10:30:00;  6,44
02.01.2015 19:45:00;  9,16
09.02.2015 12:00:00;  8,20
02.03.2015 01:15:00;  12,7
08.04.2015 18:30:00;  22,2
18.05.2015 15:30:00;  33,5
15.06.2015 08:15:00;  22,2
12.07.2015 14:00:00;  6,43
30.08.2015 03:30:00;  5,62
17.09.2015 20:45:00;  6,71
30.10.2015 18:15:00;  3,94
13.11.2015 19:15:00;  2,50
28.12.2015 18:00:00;  4,92
01.01.2016 04:00:00;  5,11
20.02.2016 15:15:00;  12,4
18.03.2016 04:45:00;  12,8
30.04.2016 18:15:00;  14,2
03.05.2016 15:00:00;  20,9
26.06.2016 20:45:00;  34,1
11.07.2016 19:00:00;  16,5
31.08.2016 07:30:00;  15,2
27.09.2016 18:45:00;  13,0
16.10.2016 17:15:00;  9,79
01.11.2016 01:00:00;  7,29
21.12.2016 08:15:00;  5,15
22.01.2017 01:00:00;  4,67
14.02.2017 17:45:00;  10,5
07.03.2017 10:30:00;  17,6
21.04.2017 20:15:00;  19,0
22.05.2017 12:45:00;  14,3
22.06.2017 08:30:00;  14,6
07.07.2017 09:00:00;  18,0
18.08.2017 23:15:00;  15,3
30.09.2017 03:00:00;  20,2
18.10.2017 22:15:00;  15,0
05.11.2017 16:00:00;  27,7
18.12.2017 11:15:00;  18,8
22.01.2018 09:00:00;  21,6
16.02.2018 04:45:00;  9,82
01.03.2018 16:30:00;  11,2
03.04.2018 09:45:00;  32,8
31.05.2018 15:00:00;  23,4
06.06.2018 16:15:00;  18,9
31.07.2018 19:45:00;  12,3
21.08.2018 04:15:00;  5,33
12.09.2018 08:00:00;  11,2
23.10.2018 15:30:00;  7,29
19.11.2018 14:45:00;  5,64
01.12.2018 03:15:00;  6,72
21.01.2019 17:45:00;  12,3
01.02.2019 21:45:00;  12,0
29.03.2019 08:30:00;  38,5
15.04.2019 16:45:00;  42,6
16.05.2019 17:45:00;  53,0
30.06.2019 17:30:00;  30,6
26.07.2019 08:00:00;  12,3
19.08.2019 01:45:00;  16,9
16.09.2019 07:30:00;  10,2
28.10.2019 05:15:00;  10,2
15.11.2019 09:30:00;  11,6
14.12.2019 00:15:00;  13,1
24.01.2020 05:00:00;  8,51
21.02.2020 11:15:00;  24,7
27.03.2020 09:00:00;  25,2
03.04.2020 07:00:00;  22,6
31.05.2020 23:59:55;  26,1
03.06.2020 16:00:00;  19,6
09.07.2020 14:15:00;  24,2
28.08.2020 15:30:00;  12,3
16.09.2020 09:30:00;  15,6
07.10.2020 08:00:00;  26,9
27.11.2020 19:15:00;  12,0
22.12.2020 10:45:00;  6,72
11.01.2021 19:00:00;  5,64
15.02.2021 10:00:00;  11,5
11.03.2021 18:30:00;  13,1
20.04.2021 16:45:00;  20,6
08.05.2021 17:00:00;  32,8
30.06.2021 08:15:00;  22,1
03.07.2021 13:00:00;  24,2
16.08.2021 06:00:00;  24,2
26.09.2021 20:30:00;  17,8
31.10.2021 04:15:00;  6,44
01.11.2021 19:15:00;  8,51
23.12.2021 11:00:00;  9,82
