Messstelle:                ;Fischering
13.05.2003 11:54:20;  2,55
23.06.2003 18:00:30;  2,35
20.07.2003 14:50:55;  3,22
19.08.2003 14:55:40;  1,65
13.09.2003 19:03:00;  3,55
03.10.2003 18:11:10;  4,11
15.11.2003 14:51:55;  5,76
25.12.2003 14:39:25;  3,23
24.01.2004 14:04:05;  2,92
25.02.2004 08:21:40;  2,80
02.03.2004 08:25:20;  2,57
03.04.2004 12:15:50;  5,93
27.05.2004 16:09:00;  8,72
10.06.2004 15:08:10;  9,05
24.07.2004 11:51:40;  10,4
21.08.2004 02:27:15;  7,06
20.09.2004 09:30:05;  7,15
30.10.2004 09:20:05;  4,42
13.11.2004 20:35:05;  4,46
21.12.2004 08:17:45;  2,82
27.01.2005 08:23:50;  2,26
08.02.2005 06:48:00;  1,88
01.03.2005 11:30:25;  1,51
05.04.2005 10:27:20;  4,41
31.05.2005 08:48:10;  4,90
30.06.2005 11:36:00;  3,55
05.07.2005 07:07:30;  4,07
11.08.2005 06:22:30;  5,62
28.09.2005 13:22:30;  10,3
22.10.2005 15:37:30;  8,91
20.11.2005 15:07:30;  4,60
15.12.2005 09:07:30;  3,43
14.01.2006 11:07:30;  3,58
28.02.2006 08:52:30;  3,58
18.03.2006 16:52:30;  3,02
07.04.2006 10:07:30;  4,42
18.05.2006 13:22:30;  11,4
28.06.2006 20:52:30;  4,20
20.07.2006 16:22:30;  5,61
31.08.2006 15:22:30;  6,39
30.09.2006 14:22:30;  3,99
23.10.2006 09:52:30;  2,77
07.11.2006 11:07:30;  3,58
09.12.2006 09:52:30;  2,84
27.01.2007 09:07:30;  3,20
03.02.2007 13:37:30;  3,02
15.03.2007 09:07:30;  3,02
27.04.2007 16:07:30;  5,86
27.05.2007 21:37:30;  2,67
01.06.2007 10:37:30;  3,80
23.07.2007 19:52:30;  3,20
10.08.2007 08:22:30;  3,39
21.09.2007 12:10:25;  3,62
22.10.2007 09:11:55;  3,23
03.11.2007 17:19:20;  4,16
18.12.2007 05:59:10;  3,25
23.01.2008 14:18:55;  3,26
17.02.2008 12:16:30;  1,79
06.03.2008 08:06:00;  2,93
05.04.2008 16:26:45;  2,35
10.05.2008 16:49:35;  4,37
01.06.2008 20:37:30;  5,48
13.07.2008 01:01:30;  5,54
06.08.2008 10:03:05;  4,88
12.09.2008 06:41:00;  3,38
25.10.2008 13:56:30;  3,55
18.11.2008 08:15:25;  3,65
10.12.2008 09:52:30;  4,20
19.01.2009 14:07:30;  3,02
19.02.2009 08:37:30;  3,58
27.03.2009 11:22:30;  2,84
04.04.2009 15:07:30;  8,59
30.05.2009 08:52:30;  8,91
13.06.2009 15:52:30;  2,77
27.07.2009 14:07:30;  7,07
02.08.2009 22:07:30;  7,35
03.09.2009 22:07:30;  10,0
27.10.2009 12:22:30;  8,15
06.11.2009 10:52:30;  3,58
05.12.2009 19:07:30;  3,99
04.01.2010 11:22:30;  3,99
16.02.2010 10:45:00;  2,20
06.03.2010 08:15:05;  3,58
12.04.2010 21:29:05;  5,30
27.05.2010 19:07:30;  6,67
12.06.2010 11:37:30;  2,84
10.07.2010 17:07:30;  2,67
02.08.2010 13:37:30;  2,51
08.09.2010 10:52:30;  2,51
30.10.2010 15:37:30;  4,20
07.11.2010 12:52:30;  4,87
17.12.2010 03:52:30;  5,36
23.01.2011 08:52:30;  4,20
24.02.2011 10:07:30;  3,02
08.03.2011 07:22:30;  2,84
21.04.2011 08:37:30;  2,35
07.05.2011 18:15:05;  3,39
11.06.2011 16:30:05;  3,99
14.07.2011 03:00:05;  2,35
25.08.2011 17:30:05;  3,02
07.09.2011 07:15:05;  2,84
01.10.2011 18:09:00;  4,56
21.11.2011 10:30:05;  3,58
20.12.2011 12:00:00;  2,84
31.01.2012 11:15:00;  1,82
03.02.2012 12:15:05;  1,71
10.03.2012 12:30:00;  2,48
05.04.2012 18:00:00;  2,93
18.05.2012 14:00:00;  2,77
28.06.2012 17:00:05;  3,02
07.07.2012 17:15:05;  2,35
25.08.2012 19:00:05;  5,36
12.09.2012 08:45:05;  5,61
26.10.2012 11:30:00;  6,67
28.11.2012 11:45:05;  10,6
13.12.2012 03:45:00;  6,39
12.01.2013 05:15:00;  3,99
11.02.2013 12:00:05;  2,67
03.03.2013 09:00:00;  5,36
04.04.2013 08:45:05;  8,15
25.05.2013 16:45:00;  11,4
26.06.2013 16:00:00;  6,95
29.07.2013 20:00:00;  3,58
02.08.2013 17:45:00;  3,02
14.09.2013 15:30:00;  3,39
09.10.2013 15:15:00;  2,67
02.11.2013 16:15:00;  5,61
24.12.2013 10:15:05;  5,61
30.01.2014 04:45:05;  6,12
05.02.2014 13:15:05;  6,12
01.03.2014 03:00:00;  6,12
18.04.2014 17:45:00;  9,90
19.05.2014 14:00:00;  7,24
22.06.2014 19:30:00;  5,36
12.07.2014 00:45:05;  5,36
02.08.2014 13:30:00;  7,54
29.09.2014 15:30:00;  16,6
22.10.2014 03:15:00;  7,54
04.11.2014 11:45:00;  7,84
30.12.2014 09:15:00;  4,20
28.01.2015 09:15:00;  6,34
10.02.2015 16:00:00;  4,24
28.03.2015 11:45:00;  4,66
10.04.2015 11:15:00;  4,88
12.05.2015 18:30:00;  4,66
13.06.2015 18:45:00;  4,88
07.07.2015 17:30:00;  3,99
23.08.2015 10:45:00;  4,20
22.09.2015 03:45:00;  3,59
05.10.2015 18:00:00;  5,60
26.11.2015 01:45:00;  5,68
10.12.2015 20:45:00;  3,99
05.01.2016 10:45:00;  2,52
04.02.2016 19:00:00;  3,21
23.03.2016 14:30:00;  3,99
25.04.2016 18:15:00;  4,42
30.05.2016 12:45:00;  7,22
01.06.2016 12:45:00;  6,66
11.07.2016 12:30:00;  6,38
29.08.2016 10:15:00;  6,66
26.09.2016 13:00:00;  5,60
18.10.2016 08:15:00;  3,99
14.11.2016 16:00:00;  5,11
30.12.2016 10:15:00;  3,39
11.01.2017 10:00:00;  3,21
20.02.2017 14:00:00;  2,20
17.03.2017 17:30:00;  2,68
02.04.2017 10:45:00;  2,52
17.05.2017 11:00:00;  2,36
23.06.2017 19:00:00;  2,52
22.07.2017 11:15:00;  1,78
16.08.2017 10:30:00;  4,66
14.09.2017 16:00:00;  6,08
30.10.2017 19:45:00;  4,88
29.11.2017 11:00:00;  4,44
10.12.2017 09:15:00;  4,24
31.01.2018 12:45:00;  4,62
26.02.2018 05:45:00;  2,09
01.03.2018 07:15:00;  3,65
02.04.2018 17:15:00;  5,98
02.05.2018 08:45:00;  13,6
26.06.2018 12:30:00;  10,3
31.07.2018 21:30:00;  5,88
04.08.2018 10:30:00;  3,73
21.09.2018 13:45:00;  5,98
25.10.2018 00:15:00;  4,02
09.11.2018 18:00:00;  4,42
16.12.2018 12:15:00;  3,47
29.01.2019 14:00:00;  2,50
15.02.2019 10:15:00;  1,77
28.03.2019 12:45:00;  1,32
06.04.2019 13:45:00;  2,17
02.05.2019 07:30:00;  3,12
29.06.2019 08:45:00;  3,83
20.07.2019 20:00:00;  3,12
06.08.2019 14:30:00;  3,47
30.09.2019 19:15:00;  3,16
26.10.2019 07:30:00;  2,68
01.11.2019 10:15:00;  4,64
30.12.2019 06:15:00;  5,63
22.01.2020 09:00:00;  3,95
06.02.2020 17:30:00;  2,74
10.03.2020 20:45:00;  3,40
10.04.2020 17:00:00;  1,78
26.05.2020 14:45:00;  1,54
04.06.2020 12:00:00;  3,06
01.07.2020 14:45:00;  5,63
21.08.2020 01:00:00;  3,40
21.09.2020 13:00:00;  3,95
31.10.2020 17:00:00;  6,10
07.11.2020 16:15:00;  3,95
03.12.2020 12:30:00;  3,06
19.01.2021 20:15:00;  2,30
01.02.2021 11:00:00;  3,95
21.03.2021 11:00:00;  2,29
19.04.2021 00:00:00;  1,78
10.05.2021 13:30:00;  3,23
29.06.2021 17:00:00;  4,84
08.07.2021 10:30:00;  2,25
21.08.2021 01:15:00;  2,59
06.09.2021 19:30:00;  1,90
27.10.2021 16:15:00;  1,66
24.11.2021 11:15:00;  1,78
08.12.2021 14:45:00;  1,54
