Messstelle:                ;Mariathal
03.02.1992 15:45:00;  3,16
04.03.1992 14:30:00;  7,20
18.04.1992 16:15:00;  8,92
30.05.1992 14:00:00;  6,38
30.06.1992 23:59:55;  3,97
01.07.1992 11:45:00;  3,60
31.08.1992 20:45:00;  2,24
01.09.1992 00:00:00;  2,55
15.10.1992 01:30:00;  2,27
14.11.1992 15:00:00;  5,06
30.12.1992 14:15:00;  3,88
05.01.1993 14:30:00;  3,27
28.02.1993 15:30:00;  3,25
09.03.1993 13:15:00;  2,89
01.04.1993 10:45:00;  6,95
30.05.1993 19:15:00;  4,36
11.06.1993 15:30:00;  4,11
04.07.1993 12:45:00;  6,18
22.08.1993 17:15:00;  5,28
29.09.1993 10:15:00;  4,47
12.10.1993 00:00:00;  3,07
30.11.1993 20:00:00;  2,57
02.12.1993 12:15:00;  2,29
22.01.1994 12:15:00;  4,19
20.02.1994 12:00:00;  3,81
05.03.1994 13:15:00;  9,78
12.04.1994 13:45:00;  6,44
18.05.1994 12:45:00;  8,21
27.06.1994 21:45:00;  4,38
25.07.1994 15:00:00;  2,95
17.08.1994 13:30:00;  2,46
30.09.1994 13:15:00;  2,87
21.10.1994 21:45:00;  2,27
07.11.1994 12:45:00;  2,18
25.12.1994 13:15:00;  2,57
17.01.1995 10:00:00;  3,94
04.02.1995 12:15:00;  6,65
08.03.1995 12:00:00;  5,61
01.04.1995 13:00:00;  8,45
29.05.1995 13:00:00;  13,8
30.06.1995 18:15:00;  10,9
27.07.1995 15:45:00;  4,16
12.08.1995 18:45:00;  3,49
27.09.1995 11:15:00;  4,64
27.10.1995 19:15:00;  2,85
01.11.1995 17:00:00;  2,83
15.12.1995 11:15:00;  2,87
31.01.1996 17:45:00;  3,02
24.02.1996 13:15:00;  2,07
05.03.1996 13:15:00;  2,30
05.04.1996 12:00:00;  3,98
07.05.1996 13:00:00;  5,99
12.06.1996 08:45:00;  4,74
27.07.1996 22:45:00;  4,72
21.08.1996 15:30:00;  4,29
12.09.1996 14:30:00;  6,77
16.10.1996 16:00:00;  4,93
13.11.1996 14:45:00;  5,31
27.12.1996 13:00:00;  3,98
13.01.1997 15:15:00;  2,46
03.02.1997 16:00:00;  2,20
02.03.1997 00:15:00;  6,15
24.04.1997 14:00:00;  7,30
31.05.1997 16:30:00;  6,38
11.06.1997 16:15:00;  5,50
03.07.1997 10:30:00;  6,89
26.08.1997 17:15:00;  3,62
30.09.1997 23:59:55;  3,18
01.10.1997 16:30:00;  3,09
28.11.1997 23:30:00;  3,00
07.12.1997 02:30:00;  3,41
28.01.1998 11:30:00;  2,64
05.02.1998 11:15:00;  2,40
03.03.1998 15:30:00;  3,89
20.04.1998 11:45:00;  6,33
28.05.1998 14:00:00;  4,21
07.06.1998 22:15:00;  4,23
22.07.1998 15:15:00;  6,30
21.08.1998 18:45:00;  3,73
02.09.1998 20:00:00;  3,60
01.10.1998 16:00:00;  4,69
29.11.1998 17:15:00;  5,31
09.12.1998 13:15:00;  3,92
29.01.1999 14:00:00;  3,52
01.02.1999 12:00:00;  2,74
09.03.1999 11:45:00;  8,02
20.04.1999 15:30:00;  11,1
31.05.1999 15:00:00;  14,5
08.06.1999 10:30:00;  8,30
22.07.1999 12:00:00;  5,34
26.08.1999 19:00:00;  5,17
25.09.1999 11:00:00;  4,01
29.10.1999 02:15:00;  3,26
03.11.1999 06:45:00;  3,32
23.12.1999 13:45:00;  3,55
25.01.2000 11:45:00;  2,74
24.02.2000 09:30:00;  4,93
06.03.2000 10:00:00;  6,48
02.04.2000 06:45:00;  11,8
28.05.2000 15:00:00;  9,38
30.06.2000 23:59:55;  5,01
03.07.2000 12:00:00;  4,54
30.08.2000 18:45:00;  4,61
16.09.2000 11:15:00;  4,38
31.10.2000 12:00:00;  3,87
13.11.2000 12:30:00;  3,87
24.12.2000 15:45:00;  3,20
01.01.2001 15:51:55;  2,73
03.02.2001 15:50:30;  2,87
01.03.2001 16:34:35;  3,78
23.04.2001 12:32:10;  8,73
30.05.2001 14:10:10;  5,20
30.06.2001 23:59:55;  6,36
31.07.2001 22:38:10;  3,66
03.08.2001 20:05:55;  3,28
04.09.2001 07:56:20;  7,57
20.10.2001 16:30:30;  3,21
22.11.2001 12:16:40;  2,74
28.12.2001 13:59:15;  4,01
15.01.2002 13:08:10;  3,57
25.02.2002 14:49:00;  5,64
04.03.2002 13:20:40;  6,43
18.04.2002 19:50:00;  7,24
31.05.2002 23:59:55;  5,81
24.06.2002 05:28:55;  3,59
13.07.2002 04:09:05;  3,31
31.08.2002 08:31:35;  4,89
18.09.2002 16:02:10;  4,45
31.10.2002 16:27:30;  4,97
02.11.2002 06:52:40;  4,79
21.12.2002 00:34:05;  3,91
26.01.2003 12:06:45;  3,43
18.02.2003 12:02:40;  2,40
01.03.2003 13:19:15;  4,48
11.04.2003 13:20:25;  6,64
26.05.2003 20:30:00;  5,40
30.06.2003 23:59:55;  3,59
16.07.2003 16:30:00;  2,64
27.08.2003 19:15:00;  2,00
09.09.2003 18:30:00;  2,10
02.10.2003 14:00:00;  3,02
12.11.2003 10:00:00;  2,97
24.12.2003 12:30:00;  1,98
04.01.2004 16:00:00;  2,35
01.02.2004 15:30:00;  3,56
10.03.2004 13:00:00;  3,31
14.04.2004 10:15:00;  7,28
31.05.2004 16:15:00;  6,32
30.06.2004 23:59:55;  7,70
31.07.2004 23:59:55;  5,16
11.08.2004 10:00:00;  2,86
22.09.2004 17:00:00;  3,78
31.10.2004 10:00:00;  3,97
05.11.2004 07:00:00;  3,59
21.12.2004 13:30:00;  2,41
16.01.2005 11:30:00;  2,52
07.02.2005 12:45:00;  2,79
01.03.2005 10:15:00;  2,21
12.04.2005 14:30:00;  9,18
31.05.2005 23:59:55;  7,42
24.06.2005 22:30:00;  3,03
01.07.2005 01:15:00;  3,61
01.08.2005 22:45:00;  4,04
26.09.2005 17:30:00;  3,38
31.10.2005 23:59:55;  2,76
28.11.2005 13:45:00;  2,21
02.12.2005 07:45:00;  2,05
27.01.2006 10:15:00;  2,21
12.02.2006 13:15:00;  1,82
02.03.2006 10:30:00;  2,15
13.04.2006 14:15:00;  11,2
26.05.2006 12:00:00;  8,43
16.06.2006 19:15:00;  6,32
27.07.2006 10:30:00;  3,03
03.08.2006 09:00:00;  3,72
30.09.2006 17:30:00;  3,13
01.10.2006 18:00:00;  3,02
30.11.2006 23:59:55;  4,40
28.12.2006 15:00:00;  2,83
01.01.2007 00:15:00;  2,96
05.02.2007 12:00:00;  3,63
25.03.2007 12:00:00;  5,03
30.04.2007 23:59:55;  3,90
04.05.2007 16:45:00;  3,44
20.06.2007 20:00:00;  4,79
29.07.2007 22:30:00;  3,96
07.08.2007 13:00:00;  3,48
25.09.2007 04:00:00;  7,02
17.10.2007 16:45:00;  4,24
03.11.2007 19:30:00;  6,11
29.12.2007 13:30:00;  4,24
05.01.2008 13:15:00;  4,28
17.02.2008 11:00:00;  3,26
27.03.2008 08:30:00;  5,60
08.04.2008 10:15:00;  7,92
31.05.2008 15:45:00;  6,79
29.06.2008 13:45:00;  5,32
02.07.2008 16:30:00;  4,98
07.08.2008 19:00:00;  5,73
30.09.2008 12:45:00;  4,05
28.10.2008 19:00:00;  3,26
12.11.2008 11:30:00;  2,86
14.12.2008 13:30:00;  3,28
30.01.2009 15:15:00;  2,50
16.02.2009 12:00:00;  2,46
10.03.2009 15:15:00;  4,00
01.04.2009 12:30:00;  10,9
28.05.2009 23:30:00;  7,01
06.06.2009 07:15:00;  5,54
31.07.2009 21:15:00;  6,05
25.08.2009 05:30:00;  4,68
30.09.2009 10:00:00;  3,47
08.10.2009 18:15:00;  3,01
30.11.2009 12:45:00;  4,79
20.12.2009 15:45:00;  3,65
24.01.2010 10:45:00;  2,36
16.02.2010 12:15:00;  1,82
09.03.2010 11:23:55;  2,81
13.04.2010 21:45:00;  5,67
13.05.2010 20:00:00;  6,35
30.06.2010 12:00:00;  5,66
16.07.2010 00:30:00;  4,42
23.08.2010 13:30:00;  6,05
24.09.2010 21:30:00;  4,43
20.10.2010 01:15:00;  3,92
30.11.2010 16:30:00;  3,72
05.12.2010 08:15:00;  3,39
05.01.2011 11:52:20;  3,68
24.02.2011 10:45:00;  2,96
08.03.2011 14:30:00;  3,06
30.04.2011 23:59:55;  3,58
11.05.2011 10:00:00;  3,19
16.06.2011 13:30:00;  4,64
13.07.2011 17:30:00;  5,14
31.08.2011 09:15:00;  4,48
17.09.2011 18:15:00;  3,77
31.10.2011 13:21:05;  3,19
25.11.2011 16:30:00;  2,23
02.12.2011 17:30:00;  2,18
01.01.2012 00:00:00;  3,19
21.02.2012 13:00:00;  3,59
12.03.2012 10:00:00;  7,80
25.04.2012 11:45:00;  11,1
28.05.2012 18:45:00;  8,02
29.06.2012 06:30:00;  6,34
08.07.2012 14:30:00;  5,06
23.08.2012 00:45:00;  4,28
11.09.2012 10:15:00;  6,21
30.10.2012 13:30:00;  5,71
30.11.2012 23:59:55;  4,31
09.12.2012 14:00:00;  3,71
27.01.2013 09:45:00;  5,05
27.02.2013 13:00:00;  5,03
28.03.2013 12:00:00;  5,38
08.04.2013 17:15:00;  5,85
20.05.2013 16:45:00;  8,00
23.06.2013 11:30:00;  6,39
31.07.2013 23:59:55;  3,99
17.08.2013 22:45:00;  3,57
08.09.2013 17:00:00;  4,30
10.10.2013 08:00:00;  4,39
28.11.2013 12:45:00;  5,27
19.12.2013 16:15:00;  5,09
29.01.2014 14:00:00;  3,23
01.02.2014 00:00:00;  3,58
03.03.2014 13:00:00;  3,36
28.04.2014 21:45:00;  4,28
01.05.2014 17:00:00;  4,23
23.06.2014 16:45:00;  4,80
20.07.2014 15:30:00;  5,37
25.08.2014 23:00:00;  7,59
30.09.2014 21:15:00;  6,14
20.10.2014 18:30:00;  4,95
30.11.2014 17:45:00;  4,11
13.12.2014 22:00:00;  3,54
01.01.2015 14:00:00;  3,80
11.02.2015 12:45:00;  3,98
01.03.2015 15:00:00;  4,31
08.04.2015 11:15:00;  7,53
13.05.2015 17:15:00;  7,96
30.06.2015 22:00:00;  7,27
17.07.2015 17:30:00;  4,24
31.08.2015 23:45:00;  3,85
30.09.2015 22:45:00;  2,80
03.10.2015 23:00:00;  2,65
19.11.2015 09:00:00;  2,12
31.12.2015 12:30:00;  3,39
22.01.2016 14:30:00;  3,22
20.02.2016 14:15:00;  4,75
16.03.2016 10:15:00;  5,22
29.04.2016 12:30:00;  7,66
12.05.2016 11:45:00;  7,85
25.06.2016 15:15:00;  9,13
11.07.2016 15:15:00;  6,32
31.08.2016 22:30:00;  4,56
15.09.2016 13:45:00;  3,45
17.10.2016 17:15:00;  3,09
05.11.2016 21:30:00;  3,06
31.12.2016 15:15:00;  2,20
19.01.2017 13:15:00;  1,95
10.02.2017 14:30:00;  2,83
02.03.2017 01:45:00;  5,81
15.04.2017 17:30:00;  5,08
30.05.2017 14:30:00;  4,73
25.06.2017 02:45:00;  2,89
07.07.2017 21:00:00;  3,90
31.08.2017 17:30:00;  4,85
30.09.2017 22:30:00;  5,20
22.10.2017 03:30:00;  4,37
30.11.2017 21:15:00;  6,90
10.12.2017 09:15:00;  4,63
22.01.2018 12:15:00;  7,04
14.02.2018 11:00:00;  3,87
01.03.2018 07:00:00;  4,48
30.04.2018 15:45:00;  10,8
31.05.2018 18:45:00;  5,37
21.06.2018 14:45:00;  4,16
31.07.2018 22:15:00;  3,66
21.08.2018 21:30:00;  3,52
30.09.2018 23:59:55;  2,96
23.10.2018 20:15:00;  2,25
29.11.2018 14:00:00;  3,17
01.12.2018 00:00:00;  3,39
30.01.2019 09:30:00;  3,33
01.02.2019 00:00:00;  3,45
28.03.2019 15:15:00;  10,0
15.04.2019 13:00:00;  9,98
07.05.2019 12:15:00;  11,1
30.06.2019 19:45:00;  4,32
27.07.2019 00:15:00;  3,26
31.08.2019 18:15:00;  4,29
22.09.2019 20:45:00;  4,32
27.10.2019 15:30:00;  3,90
05.11.2019 01:30:00;  4,29
11.12.2019 13:15:00;  4,17
21.01.2020 11:30:00;  3,44
22.02.2020 15:15:00;  7,05
31.03.2020 10:15:00;  6,04
28.04.2020 19:45:00;  5,44
31.05.2020 19:30:00;  3,67
03.06.2020 22:45:00;  3,41
31.07.2020 20:00:00;  4,67
28.08.2020 10:30:00;  4,38
16.09.2020 23:45:00;  4,96
10.10.2020 12:00:00;  6,54
30.11.2020 14:15:00;  3,53
31.12.2020 19:30:00;  3,17
11.01.2021 14:30:00;  2,40
15.02.2021 10:15:00;  3,83
24.03.2021 10:30:00;  4,00
19.04.2021 16:45:00;  5,55
31.05.2021 19:00:00;  6,56
30.06.2021 08:00:00;  3,85
07.07.2021 03:30:00;  3,66
22.08.2021 09:30:00;  6,41
26.09.2021 16:15:00;  4,90
31.10.2021 03:00:00;  3,19
01.11.2021 03:00:00;  3,20
22.12.2021 12:45:00;  3,99
