Messstelle:                ;Hammerjäger
15.01.2002 13:52:55; 0,540
16.02.2002 19:59:50; 0,617
16.03.2002 09:27:00; 0,589
03.04.2002 12:00:05;  1,01
23.05.2002 12:00:00;  3,08
26.06.2002 07:45:00;  1,65
14.07.2002 00:44:40; 0,816
02.08.2002 16:40:25;  1,66
20.09.2002 17:30:00;  2,62
16.10.2002 14:45:00;  2,74
15.11.2002 08:54:10;  1,43
11.12.2002 06:57:15;  1,54
30.01.2003 10:55:00; 0,615
13.02.2003 07:54:15;  1,08
20.03.2003 17:48:05; 0,588
03.04.2003 07:30:00;  1,35
18.05.2003 07:15:00;  1,48
23.06.2003 18:00:00; 0,600
21.07.2003 19:30:00; 0,446
21.08.2003 14:15:00; 0,520
18.09.2003 10:45:00; 0,686
20.10.2003 13:00:00; 0,600
13.11.2003 10:45:00; 0,600
24.12.2003 05:45:00; 0,381
23.01.2004 03:45:00; 0,600
13.02.2004 09:15:00; 0,446
02.03.2004 05:45:00; 0,781
21.04.2004 05:30:00;  1,23
06.05.2004 06:45:00;  4,32
19.06.2004 09:00:00;  6,23
22.07.2004 14:15:00;  2,71
19.08.2004 20:30:00;  1,81
13.09.2004 17:15:00; 0,883
08.10.2004 14:30:00; 0,781
21.11.2004 21:45:00; 0,600
21.12.2004 03:30:00; 0,379
17.01.2005 08:15:00; 0,687
05.02.2005 08:30:00; 0,446
16.03.2005 07:00:00; 0,520
15.04.2005 12:15:00;  1,23
13.05.2005 15:30:00;  4,73
29.06.2005 17:00:00; 0,779
26.07.2005 15:45:00;  2,11
05.08.2005 14:45:00;  2,66
15.09.2005 17:30:00;  2,92
26.10.2005 08:00:00;  2,32
23.11.2005 13:45:00; 0,781
11.12.2005 05:00:00; 0,781
10.01.2006 01:00:00; 0,781
17.02.2006 14:15:00; 0,379
14.03.2006 12:00:00; 0,379
19.04.2006 07:30:00; 0,991
17.05.2006 12:00:00;  4,83
02.06.2006 17:30:00;  2,32
21.07.2006 19:15:00;  1,10
01.08.2006 10:15:00;  1,11
01.09.2006 04:15:00;  1,11
26.10.2006 22:15:00;  1,97
04.11.2006 22:30:00; 0,600
20.12.2006 07:30:00; 0,520
02.01.2007 09:30:00; 0,520
01.02.2007 12:15:00; 0,600
11.03.2007 16:00:00; 0,687
01.04.2007 00:00:00;  2,14
27.05.2007 10:00:00; 0,883
04.06.2007 09:45:00;  1,11
28.07.2007 15:15:00; 0,621
25.08.2007 17:30:00; 0,541
01.09.2007 10:15:00;  3,22
24.10.2007 11:30:00; 0,621
17.11.2007 12:30:00; 0,883
08.12.2007 00:00:00; 0,883
27.01.2008 08:15:00; 0,520
01.02.2008 07:30:00; 0,520
02.03.2008 11:00:00; 0,991
18.04.2008 15:15:00; 0,687
04.05.2008 09:00:00;  3,45
23.06.2008 20:15:00;  1,23
17.07.2008 13:45:00;  1,11
27.08.2008 09:00:00;  1,11
11.09.2008 23:45:00; 0,781
02.10.2008 11:30:00; 0,687
24.11.2008 06:15:00;  1,50
29.12.2008 07:30:00; 0,520
08.01.2009 00:19:05; 0,735
03.02.2009 16:30:00; 0,400
14.03.2009 15:30:00; 0,708
01.04.2009 11:15:00;  1,84
05.05.2009 09:33:40;  8,48
19.06.2009 00:45:00;  5,37
30.07.2009 11:45:00;  4,07
03.08.2009 10:15:00;  1,23
30.09.2009 23:15:00;  3,79
06.10.2009 06:15:00; 0,859
30.11.2009 08:15:00; 0,904
29.12.2009 20:15:00; 0,541
27.01.2010 07:45:00; 0,600
09.02.2010 08:15:00; 0,600
15.03.2010 08:15:00; 0,883
07.04.2010 05:30:00;  1,65
20.05.2010 16:15:00;  5,37
13.06.2010 16:45:00;  1,65
17.07.2010 19:00:00; 0,991
12.08.2010 18:45:00; 0,773
14.09.2010 14:45:00;  2,60
22.10.2010 06:45:00; 0,991
07.11.2010 16:00:00;  1,11
16.12.2010 23:00:00; 0,621
24.01.2011 09:45:00; 0,781
07.02.2011 08:30:00; 0,600
23.03.2011 13:30:00; 0,687
19.04.2011 14:45:00; 0,991
25.05.2011 12:15:00; 0,883
16.06.2011 15:30:00;  2,32
13.07.2011 16:30:00; 0,878
11.08.2011 07:08:00;  1,23
15.09.2011 13:23:00; 0,910
07.10.2011 05:23:00;  1,06
14.11.2011 08:23:00; 0,715
05.12.2011 03:53:00; 0,802
27.01.2012 06:23:00; 0,715
17.02.2012 02:23:00; 0,791
14.03.2012 17:38:00; 0,883
27.04.2012 14:38:00;  2,14
17.05.2012 19:53:00;  3,66
19.06.2012 18:53:00;  2,61
09.07.2012 08:53:00;  2,15
17.08.2012 12:38:00;  1,22
29.09.2012 09:08:00;  1,19
15.10.2012 20:08:00;  1,08
07.11.2012 11:53:00;  2,03
09.12.2012 20:53:00;  1,10
24.01.2013 08:38:00;  1,20
17.02.2013 16:23:00; 0,895
03.03.2013 18:08:00;  1,08
04.04.2013 12:23:00;  1,73
30.05.2013 08:23:00;  1,06
18.06.2013 06:53:00;  2,81
29.07.2013 17:38:00;  1,10
08.08.2013 15:08:00;  1,02
09.09.2013 07:38:00;  1,30
11.10.2013 00:38:00;  1,38
10.11.2013 01:22:00;  2,81
24.12.2013 23:22:00;  1,94
26.01.2014 10:07:00;  2,07
27.02.2014 09:07:00; 0,919
21.03.2014 13:07:00;  1,41
01.04.2014 15:52:00;  3,43
06.05.2014 11:07:00;  4,74
15.06.2014 22:37:00;  1,65
16.07.2014 15:52:00;  2,30
11.08.2014 12:07:00;  3,07
30.09.2014 10:07:45;  4,12
19.10.2014 16:37:45;  2,81
01.11.2014 11:07:45;  3,23
30.12.2014 23:22:45;  2,38
31.01.2015 13:28:20;  2,00
04.02.2015 06:13:20;  1,13
30.03.2015 04:43:20;  1,80
03.04.2015 07:28:20;  2,09
19.05.2015 13:58:20;  2,86
23.06.2015 08:41:05;  2,02
16.07.2015 13:26:05;  1,50
30.08.2015 20:56:05;  1,52
13.09.2015 16:26:05;  1,24
28.10.2015 07:41:05;  1,58
15.11.2015 21:11:05;  1,07
08.12.2015 09:00:00; 0,890
14.01.2016 22:13:55; 0,781
04.02.2016 11:15:00; 0,890
03.03.2016 10:30:00; 0,890
28.04.2016 18:10:45;  1,19
01.05.2016 09:40:45;  2,14
03.06.2016 00:25:45;  2,29
12.07.2016 14:55:45;  1,85
05.08.2016 14:55:45;  2,42
27.09.2016 10:55:45;  1,24
29.10.2016 09:55:45; 0,978
29.11.2016 16:40:45; 0,941
30.12.2016 08:40:45; 0,978
10.01.2017 18:55:45; 0,916
16.02.2017 12:30:00; 0,616
01.03.2017 09:30:00; 0,616
26.04.2017 21:55:45;  1,70
24.05.2017 08:10:45;  2,08
23.06.2017 17:10:45;  1,34
14.07.2017 18:10:45;  1,26
03.08.2017 21:10:45;  1,18
11.09.2017 14:40:45;  4,74
12.10.2017 22:55:45;  1,31
30.11.2017 11:40:45;  1,78
06.12.2017 15:40:45; 0,910
06.01.2018 09:25:45; 0,910
14.02.2018 07:40:45; 0,744
28.03.2018 07:55:45; 0,744
11.04.2018 08:25:45; 0,972
22.05.2018 11:40:45;  4,61
24.06.2018 17:10:45;  3,10
19.07.2018 13:25:45;  1,04
05.08.2018 19:25:45;  1,04
14.09.2018 14:40:45;  1,15
15.10.2018 10:25:00;  1,08
12.11.2018 14:10:00;  1,29
07.12.2018 09:10:00;  1,15
25.01.2019 16:40:00;  1,08
12.02.2019 11:40:00;  1,49
16.03.2019 06:40:00;  1,01
01.04.2019 13:02:00;  2,64
12.05.2019 11:56:00;  3,09
29.06.2019 01:25:00;  1,62
03.07.2019 17:40:00;  1,19
29.08.2019 15:55:00; 0,947
18.09.2019 10:40:00;  1,47
04.10.2019 15:10:00;  1,65
03.11.2019 08:55:00;  1,74
28.12.2019 13:40:00;  1,58
04.01.2020 14:25:00;  1,22
21.02.2020 16:10:00; 0,997
03.03.2020 12:55:00;  1,51
01.04.2020 07:40:00;  1,75
24.05.2020 18:40:00;  1,69
23.06.2020 18:40:00;  1,25
28.07.2020 20:10:00;  1,52
22.08.2020 17:25:00;  1,96
23.09.2020 15:40:00;  1,51
26.10.2020 14:10:00;  2,59
27.11.2020 08:40:00;  1,33
09.12.2020 19:10:00;  1,45
20.01.2021 16:10:00;  1,41
02.02.2021 14:55:00;  1,55
22.03.2021 09:25:00;  1,46
22.04.2021 15:10:00;  1,34
01.05.2021 04:55:00;  2,90
25.06.2021 18:40:00;  1,75
24.07.2021 22:55:00;  1,29
10.08.2021 23:40:00;  1,87
22.09.2021 08:40:00;  1,24
01.10.2021 07:55:00;  1,24
23.11.2021 10:25:00; 0,855
22.12.2021 02:40:00; 0,996
