Messstelle:                ;Stiefern
19.11.1959 12:00:00;  4,08
05.12.1959 12:00:00;  3,84
31.01.1960 12:00:00;  3,00
03.02.1960 12:00:00;  3,00
07.03.1960 12:00:00;  4,20
25.04.1960 12:00:00;  4,20
26.05.1960 12:00:00;  4,08
27.06.1960 12:00:00;  3,84
31.07.1960 12:00:00;  3,72
01.08.1960 12:00:00;  3,72
16.09.1960 12:00:00;  3,84
17.10.1960 12:00:00;  5,28
14.11.1960 12:00:00;  4,08
27.12.1960 12:00:00;  4,20
03.01.1961 12:00:00;  4,56
16.02.1961 12:00:00;  5,28
27.03.1961 12:00:00;  4,38
13.04.1961 12:00:00;  3,48
26.05.1961 12:00:00;  3,36
30.06.1961 12:00:00;  3,36
27.07.1961 12:00:00;  3,24
09.08.1961 12:00:00;  3,36
30.09.1961 12:00:00;  3,00
01.10.1961 12:00:00;  2,90
01.11.1961 12:00:00;  2,80
11.12.1961 12:00:00;  3,84
03.01.1962 12:00:00;  4,08
11.02.1962 12:00:00;  5,46
02.03.1962 12:00:00;  8,30
24.04.1962 12:00:00;  3,60
06.05.1962 12:00:00;  3,72
11.06.1962 12:00:00;  4,20
15.07.1962 12:00:00;  3,84
31.08.1962 12:00:00;  3,60
29.09.1962 12:00:00;  3,72
07.10.1962 12:00:00;  3,84
26.11.1962 12:00:00;  4,38
03.12.1962 12:00:00;  4,74
11.01.1963 12:00:00;  6,92
12.02.1963 12:00:00;  8,30
30.03.1963 12:00:00;  9,38
07.04.1963 12:00:00;  7,15
02.05.1963 12:00:00;  4,38
30.06.1963 12:00:00;  3,06
13.07.1963 12:00:00;  2,70
08.08.1963 12:00:00;  2,40
20.09.1963 12:00:00;  2,40
20.10.1963 12:00:00;  2,50
07.11.1963 12:00:00;  2,82
08.12.1963 12:00:00;  3,06
04.01.1964 12:00:00;  3,45
14.02.1964 12:00:00;  3,30
16.03.1964 12:00:00;  2,82
29.04.1964 12:00:00;  4,56
28.05.1964 12:00:00;  3,30
06.06.1964 12:00:00;  3,30
28.07.1964 12:00:00;  3,30
18.08.1964 12:00:00;  3,18
30.09.1964 12:00:00;  2,94
04.10.1964 12:00:00;  2,82
16.11.1964 12:00:00;  5,82
07.12.1964 12:00:00;  4,20
18.01.1965 12:00:00;  3,06
01.02.1965 12:00:00;  7,10
14.03.1965 12:00:00;  8,14
21.04.1965 12:00:00;  19,4
09.05.1965 12:00:00;  34,3
27.06.1965 12:00:00;  19,8
26.07.1965 12:00:00;  5,64
23.08.1965 12:00:00;  3,84
18.09.1965 12:00:00;  3,84
18.10.1965 12:00:00;  3,96
01.11.1965 12:00:00;  4,08
21.12.1965 12:00:00;  4,38
04.01.1966 12:00:00;  4,08
07.02.1966 12:00:00;  9,38
22.03.1966 12:00:00;  15,3
09.04.1966 12:00:00;  4,08
18.05.1966 12:00:00;  3,72
09.06.1966 12:00:00;  3,12
05.07.1966 12:00:00;  3,36
16.08.1966 12:00:00;  4,92
26.09.1966 12:00:00;  4,58
03.10.1966 12:00:00;  4,41
08.11.1966 12:00:00;  3,48
01.12.1966 12:00:00;  5,10
08.01.1967 12:00:00;  8,84
19.02.1967 12:00:00;  18,8
27.03.1967 12:00:00;  5,28
30.04.1967 12:00:00;  4,56
22.05.1967 12:00:00;  4,08
08.06.1967 12:00:00;  8,57
30.07.1967 12:00:00;  2,82
01.08.1967 12:00:00;  2,94
16.09.1967 12:00:00;  3,60
22.10.1967 12:00:00;  3,84
05.11.1967 12:00:00;  3,84
31.12.1967 12:00:00;  4,58
01.01.1968 12:00:00;  5,26
05.02.1968 12:00:00;  5,07
31.03.1968 12:00:00;  3,84
02.04.1968 12:00:00;  3,72
01.05.1968 12:00:00;  4,11
30.06.1968 12:00:00;  3,84
14.07.1968 12:00:00;  2,60
05.08.1968 12:00:00;  3,60
28.09.1968 12:00:00;  3,84
28.10.1968 12:00:00;  3,84
14.11.1968 12:00:00;  3,96
02.12.1968 12:00:00;  4,91
07.01.1969 12:00:00;  7,00
09.02.1969 12:00:00;  7,48
09.03.1969 12:00:00;  7,48
28.04.1969 12:00:00;  5,07
16.05.1969 12:00:00;  4,91
25.06.1969 12:00:00;  3,64
27.07.1969 12:00:00;  3,50
07.08.1969 12:00:00;  3,37
13.09.1969 12:00:00;  3,77
09.10.1969 12:00:00;  4,08
23.11.1969 12:00:00;  2,86
08.12.1969 12:00:00;  3,92
05.01.1970 12:00:00;  4,39
16.02.1970 12:00:00;  3,50
02.03.1970 12:00:00;  5,10
27.04.1970 12:00:00;  21,7
19.05.1970 12:00:00;  4,58
26.06.1970 12:00:00;  4,74
31.07.1970 12:00:00;  4,08
02.08.1970 12:00:00;  3,92
30.09.1970 12:00:00;  3,92
01.10.1970 12:00:00;  4,23
15.11.1970 12:00:00;  4,38
31.12.1970 12:00:00;  6,20
31.01.1971 12:00:00;  5,75
23.02.1971 12:00:00;  5,02
22.03.1971 12:00:00;  5,19
26.04.1971 12:00:00;  5,02
10.05.1971 12:00:00;  4,58
28.06.1971 12:00:00;  5,26
13.07.1971 12:00:00;  3,37
09.08.1971 12:00:00;  3,50
18.09.1971 12:00:00;  3,23
26.10.1971 12:00:00;  2,86
06.11.1971 12:00:00;  2,74
16.12.1971 12:00:00;  3,77
14.01.1972 12:00:00;  3,96
19.02.1972 12:00:00;  4,20
18.03.1972 12:00:00;  5,26
11.04.1972 12:00:00;  4,91
08.05.1972 12:00:00;  7,84
26.06.1972 12:00:00;  5,10
03.07.1972 12:00:00;  4,38
13.08.1972 12:00:00;  3,30
05.09.1972 12:00:00;  2,94
17.10.1972 12:00:00;  3,60
05.11.1972 12:00:00;  3,84
29.12.1972 12:00:00;  2,74
13.01.1973 12:00:00;  3,50
19.02.1973 12:00:00;  4,23
31.03.1973 12:00:00;  4,74
07.04.1973 12:00:00;  3,60
31.05.1973 12:00:00;  3,60
10.06.1973 12:00:00;  3,36
07.07.1973 12:00:00;  4,08
25.08.1973 12:00:00;  3,72
08.09.1973 12:00:00;  3,24
13.10.1973 12:00:00;  3,60
06.11.1973 12:00:00;  2,20
01.12.1973 12:00:00;  3,60
12.01.1974 12:00:00;  2,70
01.02.1974 12:00:00;  7,62
30.03.1974 12:00:00;  4,39
27.04.1974 12:00:00;  3,77
04.05.1974 12:00:00;  2,94
07.06.1974 12:00:00;  4,41
06.07.1974 12:00:00;  5,11
31.08.1974 12:00:00;  4,08
22.09.1974 12:00:00;  3,48
21.10.1974 12:00:00;  3,48
01.11.1974 12:00:00;  3,24
02.12.1974 12:00:00;  8,57
27.01.1975 12:00:00;  6,40
17.02.1975 12:00:00;  6,40
22.03.1975 12:00:00;  4,74
26.04.1975 12:00:00;  4,67
17.05.1975 12:00:00;  3,63
17.06.1975 12:00:00;  3,39
27.07.1975 12:00:00;  4,50
17.08.1975 12:00:00;  3,60
21.09.1975 12:00:00;  3,07
31.10.1975 12:00:00;  2,13
02.11.1975 12:00:00;  3,84
09.12.1975 12:00:00;  3,84
01.01.1976 00:00:00; Lücke
05.01.1976 14:00:00;  3,93
15.02.1976 23:30:00;  13,6
01.03.1976 00:00:00; Lücke
29.03.1976 12:30:00;  3,19
01.04.1976 03:00:00;  2,83
09.05.1976 19:00:00;  3,00
23.06.1976 21:00:00;  3,12
29.07.1976 15:00:00;  2,85
27.08.1976 15:30:00;  2,75
07.09.1976 14:30:00;  3,04
16.10.1976 01:00:00;  3,20
13.11.1976 12:00:00;  3,05
26.12.1976 12:00:00;  6,10
19.01.1977 07:30:00;  6,15
02.02.1977 13:30:00;  8,44
24.03.1977 13:00:00;  16,3
04.04.1977 12:30:00;  6,84
29.05.1977 04:30:00;  3,83
04.06.1977 20:00:00;  3,58
05.07.1977 11:30:00;  3,66
30.08.1977 08:30:00;  3,85
14.09.1977 19:30:00;  3,76
28.10.1977 23:30:00;  3,52
25.11.1977 06:00:00;  3,49
12.12.1977 23:00:00;  3,45
28.01.1978 15:00:00;  4,04
06.02.1978 08:00:00;  3,75
12.03.1978 14:30:00;  5,70
26.04.1978 15:30:00;  3,64
05.05.1978 20:00:00;  3,46
17.06.1978 17:00:00;  3,13
17.07.1978 21:30:00;  4,59
29.08.1978 23:00:00;  3,21
04.09.1978 19:30:00;  3,13
31.10.1978 23:00:00;  3,11
01.11.1978 14:00:00;  3,07
04.12.1978 23:30:00;  3,29
26.01.1979 19:30:00;  4,64
13.02.1979 09:00:00;  4,51
03.03.1979 01:30:00;  5,07
27.04.1979 16:00:00;  18,1
28.05.1979 21:00:00;  14,8
28.06.1979 15:00:00;  4,33
09.07.1979 23:00:00;  3,57
31.08.1979 23:59:55;  5,57
21.09.1979 10:30:00;  2,85
18.10.1979 00:00:00;  3,12
01.11.1979 00:00:00;  4,00
25.12.1979 15:00:00;  8,32
06.01.1980 01:00:00;  7,18
01.02.1980 01:00:00;  7,75
25.03.1980 20:00:00;  8,71
03.04.1980 07:00:00;  6,21
25.05.1980 16:00:00;  5,07
21.06.1980 15:30:00;  4,50
26.07.1980 18:30:00;  4,29
03.08.1980 12:00:00;  4,25
19.09.1980 05:00:00;  3,83
30.10.1980 10:30:00;  3,90
30.11.1980 22:00:00;  4,00
13.12.1980 10:30:00;  3,65
01.01.1981 10:00:00;  3,47
27.02.1981 01:00:00;  5,00
04.03.1981 21:00:00;  5,89
22.04.1981 22:00:00;  3,90
29.05.1981 22:30:00;  3,10
12.06.1981 21:00:00;  2,79
08.07.1981 20:30:00;  2,64
31.08.1981 21:00:00;  2,48
25.09.1981 21:30:00;  2,56
08.10.1981 20:00:00;  2,96
13.11.1981 20:00:00;  2,87
25.12.1981 13:30:00;  5,44
01.01.1982 00:00:00;  7,74
27.02.1982 02:30:00;  6,71
13.03.1982 09:00:00;  4,61
25.04.1982 16:30:00;  12,2
07.05.1982 09:00:00;  4,18
07.06.1982 20:30:00;  3,90
09.07.1982 17:00:00;  3,71
16.08.1982 02:30:00;  3,83
17.09.1982 21:00:00;  3,74
16.10.1982 18:30:00;  3,22
11.11.1982 01:00:00;  2,21
04.12.1982 14:30:00;  2,77
04.01.1983 01:00:00;  3,54
11.02.1983 21:00:00;  6,61
05.03.1983 04:30:00;  7,26
23.04.1983 02:00:00;  3,80
22.05.1983 11:30:00;  2,94
10.06.1983 14:00:00;  3,08
16.07.1983 17:00:00;  2,49
20.08.1983 23:00:00;  2,21
22.09.1983 16:00:00;  1,83
17.10.1983 05:00:00;  2,68
04.11.1983 12:00:00;  2,79
19.12.1983 01:00:00;  2,64
28.01.1984 02:00:00;  2,23
12.02.1984 23:30:00;  2,60
15.03.1984 00:00:00;  3,74
14.04.1984 01:00:00;  3,08
07.05.1984 16:00:00;  8,97
21.06.1984 12:30:00;  3,29
23.07.1984 10:00:00;  1,71
05.08.1984 23:00:00;  2,49
03.09.1984 20:30:00;  2,58
20.10.1984 12:00:00;  2,28
24.11.1984 15:30:00;  2,85
01.12.1984 17:00:00;  3,14
01.01.1985 01:00:00;  3,43
28.02.1985 21:00:00;  3,92
02.03.1985 19:30:00;  3,54
23.04.1985 17:00:00;  3,06
29.05.1985 13:30:00;  2,85
02.06.1985 13:30:00;  1,71
25.07.1985 22:30:00;  2,55
05.08.1985 16:00:00;  2,56
21.09.1985 07:30:00;  3,31
13.10.1985 12:00:00;  2,35
03.11.1985 01:00:00;  2,89
03.12.1985 10:00:00;  4,48
18.01.1986 16:45:00;  10,0
25.02.1986 14:45:00;  11,0
27.03.1986 22:45:00;  5,33
16.04.1986 02:00:00;  4,62
14.05.1986 21:45:00;  4,45
07.06.1986 10:30:00;  3,41
17.07.1986 05:15:00;  2,56
25.08.1986 08:30:00;  2,06
08.09.1986 12:00:00;  1,36
16.10.1986 12:30:00;  1,90
22.11.1986 13:30:00;  2,87
21.12.1986 16:15:00;  2,58
05.01.1987 11:15:00;  6,06
10.02.1987 09:30:00;  8,17
24.03.1987 09:45:00;  7,23
29.04.1987 22:15:00;  11,3
19.05.1987 03:30:00;  5,25
02.06.1987 21:30:00;  5,25
05.07.1987 13:15:00;  4,03
31.08.1987 23:15:00;  4,50
18.09.1987 02:15:00;  3,37
31.10.1987 14:30:00;  2,96
18.11.1987 10:45:00;  3,37
14.12.1987 09:15:00;  2,96
02.01.1988 16:30:00;  7,23
19.02.1988 04:30:00;  7,85
04.03.1988 16:15:00;  7,85
25.04.1988 11:30:00;  16,9
27.05.1988 19:30:00;  2,77
04.06.1988 23:45:00;  2,77
06.07.1988 00:30:00;  2,58
29.08.1988 08:45:00;  2,06
02.09.1988 02:00:00;  2,96
12.10.1988 15:00:00;  2,58
02.11.1988 15:15:00;  3,16
04.12.1988 14:15:00;  2,96
25.01.1989 00:00:00;  5,00
25.02.1989 15:45:00;  7,85
21.03.1989 08:00:00;  2,96
13.04.1989 09:00:00;  2,96
30.05.1989 14:15:00;  4,26
13.06.1989 05:30:00;  3,58
09.07.1989 10:00:00;  3,80
15.08.1989 16:15:00;  3,58
04.09.1989 07:45:00;  2,58
18.10.1989 11:45:00;  2,58
19.11.1989 21:30:00;  3,37
22.12.1989 17:00:00;  3,37
18.01.1990 05:45:00;  3,58
06.02.1990 17:15:00;  2,77
09.03.1990 14:15:00;  3,80
14.04.1990 05:00:00;  3,80
09.05.1990 01:00:00;  3,80
30.06.1990 11:30:00;  3,58
18.07.1990 09:15:00;  2,77
21.08.1990 16:30:00;  2,40
17.09.1990 17:30:00;  2,58
02.10.1990 02:00:00;  2,96
12.11.1990 06:30:00;  2,77
25.12.1990 15:00:00;  2,77
07.01.1991 05:00:00;  3,16
12.02.1991 08:15:00;  6,06
19.03.1991 14:30:00;  2,58
25.04.1991 09:00:00;  2,77
02.05.1991 11:45:00;  2,58
30.06.1991 19:45:00;  3,80
13.07.1991 16:15:00;  2,23
20.08.1991 08:15:00;  3,37
03.09.1991 17:45:00;  2,96
11.10.1991 12:45:00;  2,58
05.11.1991 19:15:00;  2,58
06.12.1991 20:45:00;  3,16
02.01.1992 09:45:00;  4,03
13.02.1992 17:30:00;  4,03
19.03.1992 12:00:00;  4,26
01.04.1992 18:30:00;  4,50
16.05.1992 14:30:00;  2,23
05.06.1992 15:30:00;  2,96
01.07.1992 17:30:00;  3,58
08.08.1992 16:00:00;  2,06
21.09.1992 18:45:00;  2,96
14.10.1992 10:15:00;  2,06
29.11.1992 14:15:00;  2,96
24.12.1992 18:45:00;  3,58
13.01.1993 01:15:00;  3,37
21.02.1993 20:00:00;  5,00
02.03.1993 14:00:00;  5,25
29.04.1993 17:45:00;  2,77
04.05.1993 08:15:00;  2,06
03.06.1993 01:30:00;  2,96
12.07.1993 10:00:00;  2,58
19.08.1993 13:15:00;  2,23
09.09.1993 10:15:00;  2,40
06.10.1993 08:45:00;  3,16
03.11.1993 14:45:00;  2,40
30.12.1993 14:15:00;  4,26
22.01.1994 18:15:00;  3,58
01.02.1994 03:15:00;  4,03
19.03.1994 14:30:00;  2,96
01.04.1994 11:30:00;  3,80
26.05.1994 14:00:00;  3,58
27.06.1994 20:30:00;  2,58
03.07.1994 08:00:00;  2,77
01.08.1994 12:00:00;  2,06
22.09.1994 17:30:00;  2,58
12.10.1994 21:15:00;  2,58
29.11.1994 03:00:00;  2,40
04.12.1994 19:30:00;  2,23
01.01.1995 13:00:00;  2,77
10.02.1995 10:00:00;  3,37
17.03.1995 07:45:00;  2,58
29.04.1995 02:00:00;  3,80
06.05.1995 20:45:00;  2,96
26.06.1995 06:15:00;  3,80
02.07.1995 16:45:00;  2,58
03.08.1995 22:30:00;  2,77
12.09.1995 10:45:00;  2,96
25.10.1995 12:15:00;  3,58
04.11.1995 14:15:00;  3,16
08.12.1995 17:00:00;  5,00
19.01.1996 16:45:00;  10,6
21.02.1996 12:30:00;  6,93
13.03.1996 14:30:00;  5,52
03.04.1996 15:00:00;  8,50
06.05.1996 18:45:00;  17,7
20.06.1996 17:30:00;  6,35
31.07.1996 22:30:00;  2,77
01.08.1996 21:15:00;  3,16
12.09.1996 13:45:00;  3,80
01.10.1996 00:00:00;  4,03
24.11.1996 12:00:00;  4,74
16.12.1996 12:15:00;  3,37
10.01.1997 11:30:40;  2,96
05.02.1997 08:57:55;  7,90
15.03.1997 05:51:55;  8,61
28.04.1997 10:34:35;  6,66
20.05.1997 16:09:30;  4,81
27.06.1997 04:33:05;  3,18
02.07.1997 23:40:35;  3,34
25.08.1997 10:46:45;  2,97
13.09.1997 15:13:05;  2,81
12.10.1997 00:46:30;  2,64
04.11.1997 19:56:50;  3,24
01.12.1997 00:00:00;  6,04
26.01.1998 14:31:20;  8,58
28.02.1998 11:21:30;  4,40
09.03.1998 06:24:40;  4,09
14.04.1998 14:48:45;  3,93
06.05.1998 18:28:20;  3,16
10.06.1998 03:11:50;  3,31
02.07.1998 14:49:00;  3,19
13.08.1998 18:32:05;  3,30
01.09.1998 08:22:05;  3,16
22.10.1998 08:24:30;  3,03
01.11.1998 15:04:20;  4,51
24.12.1998 01:06:35;  5,50
11.01.1999 15:06:15;  8,05
01.02.1999 02:34:10;  7,18
01.03.1999 12:57:05;  9,34
12.04.1999 20:28:20;  3,02
29.05.1999 18:25:30;  2,72
27.06.1999 23:49:20;  2,60
07.07.1999 21:14:45;  2,68
03.08.1999 10:29:35;  2,62
02.09.1999 09:55:30;  3,07
10.10.1999 15:20:35;  2,98
24.11.1999 21:38:50;  2,85
02.12.1999 11:05:25;  2,65
04.01.2000 00:14:05;  3,85
09.02.2000 14:03:20;  8,15
14.03.2000 08:49:50;  4,80
26.04.2000 00:36:10;  5,73
30.05.2000 08:31:55;  2,75
12.06.2000 14:13:05;  2,77
03.07.2000 11:39:00;  2,87
22.08.2000 14:58:05;  2,96
05.09.2000 13:58:05;  3,93
10.10.2000 09:53:00;  3,49
07.11.2000 13:23:10;  3,98
21.12.2000 19:41:30;  3,52
21.01.2001 21:43:10;  4,43
02.02.2001 08:32:00;  4,85
05.03.2001 11:08:50;  4,44
07.04.2001 12:42:35;  4,88
30.05.2001 22:49:10;  6,83
19.06.2001 09:52:05;  3,16
02.07.2001 09:12:35;  2,63
14.08.2001 14:10:45;  2,74
07.09.2001 17:27:40;  3,23
31.10.2001 12:47:05;  4,26
11.11.2001 13:01:00;  4,11
23.12.2001 21:31:55;  4,14
21.01.2002 05:51:55;  8,33
12.02.2002 19:46:35;  7,79
08.03.2002 11:19:15;  6,92
30.04.2002 11:27:05;  3,74
31.05.2002 20:30:10;  3,19
28.06.2002 04:13:05;  3,34
09.07.2002 09:15:55;  3,12
01.08.2002 00:00:00;  3,39
17.09.2002 20:27:35;  6,97
09.10.2002 13:40:40;  5,73
28.11.2002 18:36:40;  8,87
19.12.2002 23:20:25;  4,68
09.01.2003 17:30:00;  15,8
14.02.2003 13:15:00;  3,83
06.03.2003 13:00:00;  3,91
07.04.2003 16:45:00;  3,03
23.05.2003 15:54:35;  4,27
19.06.2003 22:25:00;  2,00
16.07.2003 16:15:00;  1,84
23.08.2003 16:50:00;  1,74
05.09.2003 03:35:00;  2,08
19.10.2003 18:00:00;  2,55
10.11.2003 18:10:00;  2,80
10.12.2003 11:15:00;  2,39
21.01.2004 18:10:00;  2,90
01.02.2004 19:00:00;  3,66
02.03.2004 12:45:00;  8,79
28.04.2004 23:45:00;  6,92
31.05.2004 11:25:00;  4,52
01.06.2004 13:10:00;  6,38
04.07.2004 19:35:00;  2,22
04.08.2004 01:35:00;  2,38
20.09.2004 12:05:00;  2,23
13.10.2004 17:30:00;  2,58
26.11.2004 15:30:00;  3,17
13.12.2004 11:45:00;  3,96
24.01.2005 17:35:00;  5,96
28.02.2005 12:15:00;  5,84
16.03.2005 14:55:00;  9,05
15.04.2005 13:45:00;  16,5
16.05.2005 18:45:00;  6,20
21.06.2005 16:20:00;  6,00
01.07.2005 20:40:00;  2,22
03.08.2005 09:25:00;  5,84
22.09.2005 20:15:00;  4,39
18.10.2005 14:15:00;  3,19
18.11.2005 06:35:00;  3,06
21.12.2005 16:05:00;  5,09
31.01.2006 23:59:55;  6,63
19.02.2006 14:25:00;  2,95
01.03.2006 14:00:00;  3,23
24.04.2006 16:50:00;  14,7
13.05.2006 17:00:00;  6,98
26.06.2006 14:54:25;  8,13
14.07.2006 16:45:00;  2,50
29.08.2006 14:25:00;  2,41
29.09.2006 10:10:00;  2,16
17.10.2006 00:20:00;  1,81
05.11.2006 00:20:00;  2,42
10.12.2006 13:30:00;  3,04
19.01.2007 01:15:00;  2,47
05.02.2007 15:55:00;  3,51
01.03.2007 14:05:00;  6,64
22.04.2007 18:40:00;  2,92
25.05.2007 17:20:00;  2,57
18.06.2007 19:45:00;  2,68
20.07.2007 15:45:00;  2,30
20.08.2007 11:43:25;  2,36
03.09.2007 17:00:00;  2,87
19.10.2007 20:00:00;  3,01
05.11.2007 23:25:00;  4,93
29.12.2007 12:25:00;  7,48
05.01.2008 11:45:00;  8,33
19.02.2008 16:35:00;  3,49
01.03.2008 13:50:00;  7,24
17.04.2008 15:05:00;  2,19
15.05.2008 15:30:00;  3,34
24.06.2008 09:00:00;  2,99
26.07.2008 06:20:00;  2,52
04.08.2008 07:05:00;  2,20
13.09.2008 13:05:00;  3,00
26.10.2008 16:30:00;  3,07
30.11.2008 16:15:00;  3,48
01.12.2008 10:35:00;  4,05
16.01.2009 16:55:00;  6,12
18.02.2009 14:10:00;  4,00
02.03.2009 19:05:00;  13,0
30.04.2009 16:20:00;  6,78
05.05.2009 09:00:00;  4,06
01.06.2009 12:05:00;  4,42
24.07.2009 01:45:00;  12,7
19.08.2009 17:00:00;  4,67
10.09.2009 16:55:00;  3,23
05.10.2009 14:35:00;  3,44
19.11.2009 00:25:00;  3,28
15.12.2009 15:35:00;  7,64
04.01.2010 16:05:00;  7,46
16.02.2010 04:30:00;  7,92
15.03.2010 14:55:00;  7,84
11.04.2010 13:55:00;  8,91
01.05.2010 16:30:00;  6,95
29.06.2010 17:10:00;  10,4
23.07.2010 10:55:00;  3,22
22.08.2010 11:15:00;  9,61
15.09.2010 16:40:00;  6,20
23.10.2010 05:10:00;  3,74
12.11.2010 21:35:00;  4,72
16.12.2010 14:45:00;  4,48
05.01.2011 17:40:00;  6,66
06.02.2011 06:10:00;  6,99
14.03.2011 12:35:00;  3,49
28.04.2011 13:45:00;  3,20
24.05.2011 14:35:00;  2,65
07.06.2011 21:15:00;  2,34
10.07.2011 14:55:00;  2,07
03.08.2011 08:55:00;  1,94
13.09.2011 17:00:00;  1,72
15.10.2011 11:45:00;  2,54
26.11.2011 16:30:00;  2,01
29.12.2011 19:25:00;  2,95
09.01.2012 13:35:00;  2,68
24.02.2012 10:00:00;  6,34
13.03.2012 04:20:00;  2,21
30.04.2012 19:30:00;  2,30
12.05.2012 11:20:00;  2,55
03.06.2012 17:45:00;  2,77
16.07.2012 22:45:00;  2,52
25.08.2012 00:35:00;  2,62
07.09.2012 11:20:00;  2,46
28.10.2012 03:25:00;  2,55
05.11.2012 07:30:00;  2,92
01.12.2012 11:20:00;  2,94
01.01.2013 16:15:00;  2,92
18.02.2013 10:55:00;  14,5
24.03.2013 16:05:00;  8,40
30.04.2013 16:40:00;  8,29
27.05.2013 03:20:00;  4,16
