Messstelle:                ;Hoheneich
03.10.1996 14:00:00; 0,508
07.11.1996 12:45:00;  1,05
12.12.1996 13:45:00; 0,796
31.01.1997 23:59:55; 0,854
04.02.1997 17:18:50; 0,798
06.03.1997 03:12:45;  1,93
05.04.1997 17:54:55;  1,95
31.05.1997 14:45:40;  1,18
29.06.1997 21:53:50; 0,243
05.07.1997 17:15:20; 0,211
24.08.1997 03:32:15; 0,531
05.09.1997 11:42:15; 0,307
25.10.1997 15:35:15; 0,550
13.11.1997 12:18:30; 0,119
09.12.1997 12:07:15; 0,998
26.01.1998 16:43:55; 0,994
08.02.1998 05:04:10; 0,797
17.03.1998 08:18:25; 0,610
29.04.1998 13:32:50; 0,251
13.05.1998 14:58:20; 0,112
25.06.1998 17:26:30; 0,073
01.07.1998 14:59:55; 0,078
12.08.1998 17:00:35; 0,037
01.09.1998 00:00:00; 0,065
23.10.1998 10:31:25; 0,102
03.11.1998 22:22:05; 0,189
10.12.1998 14:55:10; 0,524
26.01.1999 15:30:30; 0,687
01.02.1999 15:53:25; 0,278
29.03.1999 13:25:10;  2,38
06.04.1999 15:37:55; 0,642
11.05.1999 13:37:20; 0,175
21.06.1999 14:56:30; 0,071
08.07.1999 04:46:40; 0,097
20.08.1999 17:11:10; 0,036
08.09.1999 10:17:30; 0,083
27.10.1999 12:35:20; 0,052
24.11.1999 20:46:45; 0,032
04.12.1999 15:54:30; 0,117
03.01.2000 19:54:25; 0,178
24.02.2000 14:48:25;  1,78
08.03.2000 14:26:20;  1,82
25.04.2000 13:11:45; 0,195
08.05.2000 17:38:05; 0,060
24.06.2000 13:27:35; 0,086
11.07.2000 16:07:00; 0,049
28.08.2000 16:42:40; 0,112
03.09.2000 18:44:50; 0,072
24.10.2000 16:18:00; 0,342
02.11.2000 11:50:55; 0,117
13.12.2000 07:27:20; 0,154
03.01.2001 10:13:50; 0,225
02.02.2001 11:04:40; 0,633
04.03.2001 07:12:15;  1,36
05.04.2001 17:09:30;  1,53
28.05.2001 14:28:55; 0,232
29.06.2001 13:04:55; 0,132
03.07.2001 14:50:55; 0,041
14.08.2001 18:10:15; 0,112
03.09.2001 15:50:10; 0,318
31.10.2001 14:43:15; 0,585
19.11.2001 14:36:30; 0,186
21.12.2001 16:10:05; 0,894
11.01.2002 09:51:05; 0,420
18.02.2002 11:43:25;  2,32
19.03.2002 17:53:35;  1,09
26.04.2002 14:25:55; 0,528
08.05.2002 14:55:00; 0,230
24.06.2002 11:35:05; 0,091
01.07.2002 10:01:50; 0,047
01.08.2002 03:32:40; 0,121
13.09.2002 10:08:35; 0,365
10.10.2002 07:59:10;  1,74
19.11.2002 04:00:30;  3,77
20.12.2002 08:35:25;  1,65
21.01.2003 17:08:45; 0,816
25.02.2003 14:03:40; 0,302
31.03.2003 14:00:00; 0,829
17.04.2003 15:00:00; 0,415
07.05.2003 03:15:00; 0,326
13.06.2003 04:00:00; 0,135
21.07.2003 23:30:00; 0,083
10.08.2003 09:15:00; 0,071
09.09.2003 09:15:00; 0,071
31.10.2003 18:45:00; 0,278
08.11.2003 18:30:00; 0,225
08.12.2003 07:15:55; 0,138
07.01.2004 06:03:50; 0,209
01.02.2004 00:00:00;  1,46
12.03.2004 09:25:00;  1,21
30.04.2004 21:30:00;  2,30
31.05.2004 13:30:00; 0,629
02.06.2004 10:45:00; 0,608
31.07.2004 14:00:00; 0,129
19.08.2004 19:10:00; 0,085
12.09.2004 04:20:00; 0,096
25.10.2004 23:31:50; 0,052
03.11.2004 04:40:00; 0,128
16.12.2004 12:40:00; 0,188
01.01.2005 14:00:00; 0,181
01.02.2005 07:45:00; 0,168
14.03.2005 06:25:00;  1,09
17.04.2005 06:35:00;  2,04
13.05.2005 20:55:00; 0,596
29.06.2005 02:20:00; 0,145
31.07.2005 10:55:00; 0,505
13.08.2005 10:45:00; 0,103
08.09.2005 00:50:00; 0,342
29.10.2005 21:25:00; 0,184
18.11.2005 14:35:00; 0,113
11.12.2005 09:20:00; 0,095
02.01.2006 21:55:00; 0,225
01.02.2006 00:00:00; 0,835
04.03.2006 06:45:00;  1,47
26.04.2006 10:45:00;  2,89
16.05.2006 15:05:00; 0,462
21.06.2006 18:40:00; 0,267
27.07.2006 22:50:00; 0,217
03.08.2006 05:50:00; 0,524
29.09.2006 10:15:00; 0,164
25.10.2006 06:45:00; 0,404
19.11.2006 09:20:00; 0,182
09.12.2006 15:05:00; 0,116
27.01.2007 15:40:10; 0,117
25.02.2007 18:55:00;  1,35
12.03.2007 16:45:00; 0,276
29.04.2007 00:45:00; 0,165
03.05.2007 05:05:00; 0,120
30.06.2007 21:20:00; 0,058
02.07.2007 10:50:00; 0,054
08.08.2007 21:55:00; 0,050
03.09.2007 14:10:00; 0,094
04.10.2007 11:20:00; 0,472
23.11.2007 10:20:00; 0,755
29.12.2007 11:55:00; 0,988
11.01.2008 16:05:00; 0,382
29.02.2008 05:25:00;  1,38
30.03.2008 22:25:00; 0,615
21.04.2008 19:10:00; 0,796
30.05.2008 14:00:00; 0,209
24.06.2008 08:20:00; 0,155
05.07.2008 14:20:00; 0,121
12.08.2008 18:45:00; 0,100
14.09.2008 05:15:00; 0,119
30.10.2008 23:25:00; 0,189
03.11.2008 15:55:00; 0,186
12.12.2008 16:15:00; 0,562
18.01.2009 20:20:00; 0,469
02.02.2009 16:10:00; 0,389
23.03.2009 11:55:00;  3,44
30.04.2009 04:35:00; 0,582
26.05.2009 04:35:00; 0,195
18.06.2009 14:15:00; 0,151
29.07.2009 15:30:00;  1,57
17.08.2009 21:05:00; 0,508
10.09.2009 06:25:00; 0,382
13.10.2009 14:35:00; 0,432
30.11.2009 12:30:00; 0,693
05.12.2009 05:55:00; 0,698
22.01.2010 09:05:00;  1,17
22.02.2010 10:55:00; 0,943
14.03.2010 07:45:00;  2,36
12.04.2010 07:50:00;  1,31
22.05.2010 20:20:00;  1,08
29.06.2010 12:20:00; 0,332
17.07.2010 05:35:00; 0,117
24.08.2010 14:15:00;  1,05
14.09.2010 16:40:00;  1,06
19.10.2010 11:30:00; 0,334
04.11.2010 16:15:00; 0,322
02.12.2010 01:00:00; 0,651
24.01.2011 15:45:00; 0,637
28.02.2011 08:50:00;  1,17
08.03.2011 09:35:00; 0,697
30.04.2011 21:30:00; 0,635
13.05.2011 23:45:00; 0,161
18.06.2011 16:05:00; 0,199
20.07.2011 06:10:10; 0,135
25.08.2011 12:45:00; 0,130
02.09.2011 18:50:00; 0,148
31.10.2011 13:10:00; 0,638
29.11.2011 05:15:00; 0,385
01.12.2011 19:45:00; 0,175
01.01.2012 12:30:00; 0,407
16.02.2012 01:10:00;  1,32
26.03.2012 18:00:00;  1,30
12.04.2012 04:30:00; 0,689
30.05.2012 03:25:00; 0,194
01.06.2012 00:00:00; 0,302
01.07.2012 06:05:00; 0,277
24.08.2012 00:25:00; 0,294
11.09.2012 03:20:00; 0,956
31.10.2012 23:45:00; 0,626
01.11.2012 00:00:00; 0,716
02.12.2012 15:00:00; 0,701
24.01.2013 08:10:00;  1,50
13.02.2013 14:20:00;  1,36
25.03.2013 08:30:00;  2,01
30.04.2013 23:25:00;  1,39
02.05.2013 11:10:00;  1,26
23.06.2013 10:35:00;  2,06
29.07.2013 15:25:00; 0,402
16.08.2013 23:55:00; 0,144
03.09.2013 13:20:00; 0,161
29.10.2013 15:00:00; 0,194
