Messstelle:                ;Schwarzenau (Süd)
16.12.1980 00:00:05;    99
04.01.1981 05:00:00;    57
08.02.1981 16:00:00;   189
10.03.1981 17:00:00;    90
02.04.1981 10:00:00;    35
23.05.1981 15:00:00;    50
24.06.1981 17:00:00;    29
21.07.1981 02:00:00;    92
28.08.1981 10:00:00;    39
30.09.1981 23:59:55;   163
01.10.1981 03:00:00;   167
19.11.1981 23:00:00;    95
09.12.1981 15:00:00;   106
31.01.1982 10:00:00;   300
01.02.1982 00:00:00;   219
23.03.1982 19:00:00;   136
01.04.1982 00:00:00;    81
29.05.1982 11:00:00;   100
01.06.1982 00:00:00;    39
25.07.1982 13:00:00;    46
08.08.1982 05:00:00;    70
30.09.1982 23:00:00;    29
07.10.1982 22:00:00;    33
14.11.1982 04:00:00;    27
28.12.1982 23:00:00;    52
17.01.1983 17:00:00;   126
05.02.1983 12:00:00;    51
08.03.1983 02:00:00;   160
25.04.1983 01:00:00;   238
10.05.1983 05:00:00;    92
28.06.1983 11:00:00;   206
02.07.1983 10:00:00;   112
07.08.1983 01:00:00;    31
25.09.1983 05:00:00;    26
05.10.1983 08:00:00;    31
23.11.1983 08:00:00;    32
24.12.1983 18:00:00;    58
06.01.1984 10:00:00;    30
08.02.1984 09:00:00;    36
31.03.1984 23:59:55;    62
10.04.1984 11:00:00;   115
14.05.1984 10:00:00;   129
09.06.1984 01:00:00;    30
14.07.1984 14:00:00;    50
07.08.1984 16:00:00;    56
17.09.1984 11:00:00;   116
04.10.1984 18:00:00;    39
24.11.1984 05:00:00;    30
23.12.1984 10:00:00;    30
31.01.1985 00:01:00;    48
02.02.1985 00:01:00;   175
22.03.1985 23:45:00;   262
07.04.1985 12:00:00;    73
19.05.1985 18:00:00;   145
23.06.1985 18:30:00;   100
17.07.1985 02:30:00;   146
07.08.1985 13:00:00;   293
09.09.1985 17:45:00;    61
11.10.1985 04:15:00;    34
28.11.1985 09:45:00;    49
18.12.1985 13:00:00;   128
20.01.1986 04:45:00;   138
04.02.1986 11:00:00;    48
10.03.1986 18:45:00;   126
01.04.1986 01:00:00;    52
14.05.1986 23:30:00;    89
13.06.1986 12:15:00;    91
20.07.1986 00:15:00;    60
09.08.1986 09:30:00;    43
11.09.1986 03:15:00;    36
22.10.1986 10:00:00;    35
01.11.1986 22:00:00;    25
30.12.1986 15:30:00;   104
01.01.1987 00:00:00;    83
10.02.1987 12:30:00;   170
25.03.1987 21:30:00;   223
05.04.1987 17:45:00;   113
20.05.1987 22:45:00;   189
05.06.1987 15:15:00;   129
02.07.1987 11:00:00;   200
15.08.1987 14:15:00;    86
06.09.1987 13:45:00;    81
02.10.1987 22:30:00;    64
28.11.1987 06:00:00;    40
19.12.1987 21:45:00;   158
31.01.1988 00:15:00;    57
01.02.1988 00:45:00;    54
23.03.1988 22:15:00;   208
01.04.1988 00:00:00;    89
21.05.1988 10:45:00;    46
06.06.1988 19:00:00;   112
02.07.1988 18:30:00;    39
22.08.1988 11:30:00;    39
06.09.1988 01:30:00;    36
21.10.1988 00:00:00;    39
15.11.1988 14:15:00;    44
11.12.1988 17:30:00;    88
09.01.1989 04:00:00;    75
19.02.1989 23:45:00;    62
01.03.1989 14:00:00;    44
30.04.1989 23:59:55;    53
01.05.1989 22:00:00;   142
28.06.1989 03:00:00;   154
28.07.1989 18:45:00;   217
09.08.1989 23:15:00;   120
05.09.1989 12:45:00;    70
01.10.1989 00:00:00;    48
01.11.1989 17:15:00;    40
16.12.1989 00:30:00;    61
01.01.1990 00:00:00;    37
28.02.1990 23:59:55;    68
01.03.1990 08:15:00;   103
24.04.1990 03:15:00;    86
26.05.1990 05:00:00;    66
23.06.1990 09:30:00;    64
10.07.1990 18:30:00;    52
16.08.1990 01:45:00;    29
24.09.1990 14:30:00;    40
09.10.1990 03:15:00;    36
28.11.1990 07:45:00;    57
31.12.1990 12:00:00;    73
01.01.1991 00:00:00;    65
28.02.1991 00:00:05;    34
31.03.1991 23:59:55;    50
06.04.1991 11:15:00;    57
19.05.1991 00:45:00;   202
17.06.1991 06:30:00;    92
13.07.1991 23:45:00;    77
03.08.1991 06:15:00;   135
07.09.1991 05:45:00;    30
28.10.1991 23:00:00;    42
17.11.1991 13:15:00;    52
24.12.1991 00:00:05;   127
06.01.1992 16:45:00;   127
06.02.1992 19:15:00;   105
22.03.1992 02:00:00;   107
06.04.1992 10:30:00;    64
01.05.1992 03:15:00;    38
13.06.1992 02:45:00;   106
11.07.1992 05:45:00;   107
22.08.1992 14:45:00;    45
02.09.1992 03:00:00;    36
22.10.1992 19:45:00;    40
23.11.1992 20:30:00;    89
13.12.1992 01:45:00;    82
08.01.1993 00:01:00;    80
01.02.1993 00:00:00;    45
18.03.1993 01:45:00;   236
01.04.1993 22:00:00;    70
04.05.1993 02:15:00;    39
12.06.1993 13:00:00;    65
17.07.1993 14:15:00;    40
05.08.1993 10:15:00;    38
02.09.1993 07:45:00;    47
24.10.1993 21:00:00;    70
19.11.1993 11:45:00;    47
21.12.1993 12:45:00;   142
01.01.1994 01:30:00;    66
01.02.1994 00:00:00;    49
26.03.1994 20:45:00;    60
18.04.1994 16:45:00;   155
27.05.1994 08:45:00;    53
06.06.1994 05:45:00;    44
07.07.1994 14:45:00;    42
07.08.1994 21:45:00;    33
02.09.1994 18:30:00;    31
19.10.1994 10:15:00;    35
27.11.1994 12:30:00;    35
28.12.1994 20:00:00;    56
26.01.1995 16:00:00;    73
01.02.1995 23:00:00;    43
20.03.1995 18:00:00;    53
02.04.1995 13:30:00;   101
14.05.1995 10:30:00;   129
06.06.1995 10:30:00;   105
04.07.1995 15:15:00;    43
25.08.1995 03:00:00;    41
15.09.1995 22:15:00;   160
01.10.1995 18:00:00;    69
18.11.1995 00:00:00;   106
24.12.1995 20:15:00;   208
01.01.1996 00:00:00;    68
08.02.1996 18:45:00;    44
25.03.1996 12:00:00;   143
10.04.1996 00:15:00;   246
14.05.1996 09:15:00;   282
13.06.1996 07:45:00;    79
09.07.1996 15:45:00;   100
04.08.1996 05:15:00;    84
05.09.1996 05:00:00;    58
22.10.1996 13:45:00;   149
15.11.1996 00:15:00;    92
20.12.1996 09:45:00;    68
01.01.1997 00:00:00;    46
13.02.1997 04:35:20;   197
17.03.1997 16:51:50;   150
06.04.1997 10:22:55;    91
09.05.1997 08:28:10;    94
23.06.1997 11:47:35;    46
20.07.1997 06:20:35;   138
02.08.1997 08:48:30;    57
30.09.1997 11:22:30;    34
02.10.1997 20:35:55;    41
30.11.1997 23:59:55;    74
14.12.1997 09:44:05;    85
01.01.1998 00:00:00;    59
13.02.1998 15:54:25;    80
18.03.1998 04:27:20;    94
13.04.1998 09:12:20;    61
21.05.1998 12:33:25;    52
13.06.1998 21:13:40;    83
23.07.1998 22:25:10;    88
01.08.1998 00:57:15;    62
16.09.1998 13:56:45;    47
29.10.1998 22:36:15;    97
12.11.1998 00:02:50;    78
15.12.1998 15:39:25;    81
09.01.1999 01:02:30;    66
21.02.1999 00:02:25;   122
03.03.1999 04:09:50;   111
13.04.1999 22:11:55;    61
21.05.1999 20:30:40;    70
22.06.1999 12:10:55;    45
10.07.1999 11:09:15;   100
07.08.1999 18:43:50;    48
03.09.1999 09:35:40;    45
21.10.1999 02:03:45;    40
11.11.1999 00:23:45;    47
19.12.1999 20:23:45;    36
31.01.2000 20:14:45;   210
01.02.2000 00:27:50;   182
28.03.2000 18:34:30;   112
01.04.2000 00:00:00;    86
19.05.2000 06:58:50;    73
05.06.2000 09:53:20;    98
12.07.2000 18:04:05;    48
07.08.2000 22:36:00;   100
17.09.2000 11:43:35;    46
08.10.2000 04:56:15;    53
01.11.2000 16:20:20;    33
12.12.2000 02:02:05;    42
10.01.2001 22:15:00;    43
07.02.2001 05:45:00;   117
23.03.2001 02:00:00;   110
22.04.2001 06:45:00;   125
05.05.2001 09:15:00;    80
15.06.2001 07:15:00;    67
20.07.2001 13:15:00;   101
19.08.2001 14:45:00;    90
18.09.2001 14:45:00;   103
01.10.2001 05:30:00;    56
28.11.2001 01:15:00;    59
07.12.2001 11:45:00;    88
22.01.2002 02:45:00;   145
14.02.2002 09:15:00;    77
21.03.2002 19:30:00;   187
01.04.2002 00:00:00;    64
06.05.2002 16:30:00;    43
08.06.2002 10:30:00;    68
18.07.2002 05:45:00;    56
13.08.2002 14:00:00;   430
25.09.2002 11:00:00;    76
12.10.2002 23:00:00;   213
12.11.2002 02:30:00;   160
30.12.2002 13:30:00;   239
28.01.2003 21:00:00;   171
01.02.2003 00:00:00;    76
04.03.2003 04:00:00;    74
03.04.2003 09:15:00;    45
10.05.2003 06:50:00;    51
14.06.2003 02:10:00;    46
25.07.2003 04:40:00;    38
19.08.2003 08:30:00;    44
24.09.2003 03:30:00;    28
05.10.2003 23:50:00;    64
29.11.2003 07:50:00;    30
14.12.2003 15:30:00;    32
14.01.2004 04:45:00;   123
03.02.2004 08:45:00;   205
31.03.2004 23:30:00;   151
01.04.2004 00:40:00;   150
07.05.2004 03:05:00;    48
04.06.2004 04:00:00;   137
09.07.2004 18:55:00;    43
29.08.2004 21:20:00;    35
24.09.2004 06:55:00;    35
31.10.2004 19:35:00;    26
23.11.2004 16:50:00;    69
01.12.2004 00:00:00;    25
21.01.2005 16:55:00;    51
13.02.2005 06:12:30;   192
18.03.2005 07:20:00;   235
20.04.2005 22:35:00;   125
23.05.2005 20:25:00;   143
13.06.2005 20:20:00;    64
11.07.2005 03:40:00;   173
22.08.2005 13:30:00;   248
29.09.2005 20:50:00;    94
01.10.2005 00:50:00;    60
05.11.2005 21:35:00;    32
12.12.2005 09:00:00;    30
22.01.2006 04:05:25;    34
22.02.2006 13:15:25;    43
29.03.2006 16:35:00;   318
01.04.2006 00:00:00;   224
28.05.2006 21:20:00;   146
30.06.2006 11:50:00;   234
01.07.2006 00:00:00;   188
07.08.2006 22:25:00;   219
19.09.2006 20:20:00;    40
29.10.2006 21:40:00;    37
05.11.2006 22:00:00;    44
31.12.2006 00:30:00;    31
19.01.2007 23:25:00;    58
03.02.2007 19:10:00;    63
25.03.2007 21:45:00;   176
01.04.2007 00:55:00;    68
06.05.2007 15:35:00;    44
11.06.2007 16:45:00;    80
21.07.2007 05:16:40;    66
10.08.2007 01:00:00;   103
07.09.2007 12:25:00;   249
25.10.2007 15:25:00;    71
12.11.2007 02:35:00;   153
13.12.2007 03:20:00;    89
19.01.2008 18:55:00;    98
01.02.2008 00:10:00;    66
21.03.2008 21:00:00;    54
23.04.2008 09:00:00;    88
06.05.2008 16:40:00;    69
12.06.2008 00:25:00;    83
12.07.2008 21:10:00;   137
16.08.2008 15:40:00;   197
16.09.2008 19:10:00;    70
10.10.2008 20:35:00;    36
21.11.2008 20:05:00;    92
21.12.2008 10:15:00;    88
24.01.2009 21:20:00;    41
28.02.2009 23:20:00;   115
05.03.2009 23:25:00;   234
01.04.2009 00:00:00;   112
31.05.2009 04:25:00;    47
23.06.2009 17:10:00;   192
08.07.2009 09:00:00;   238
03.08.2009 11:50:00;    86
05.09.2009 02:05:00;    53
17.10.2009 09:40:00;    58
05.11.2009 02:00:00;    63
11.12.2009 21:30:00;    77
01.01.2010 07:25:00;    64
28.02.2010 23:59:55;   100
21.03.2010 22:35:00;   207
05.04.2010 07:20:00;    97
14.05.2010 17:25:00;   122
03.06.2010 02:55:00;   195
24.07.2010 09:30:00;    86
03.08.2010 04:35:00;   317
27.09.2010 11:10:00;    95
01.10.2010 00:15:00;    80
04.11.2010 17:30:00;    67
25.12.2010 00:15:00;    71
14.01.2011 06:10:00;   176
05.02.2011 21:35:00;    68
19.03.2011 08:40:00;   124
05.04.2011 01:50:00;    50
28.05.2011 04:55:00;    50
02.06.2011 03:50:00;    56
28.07.2011 14:55:00;    76
16.08.2011 03:20:00;    37
05.09.2011 18:00:00;    38
13.10.2011 11:40:00;    52
03.11.2011 03:00:00;    27
25.12.2011 04:30:00;    27
20.01.2012 06:35:00;    99
25.02.2012 00:40:00;   107
01.03.2012 00:10:00;    75
17.04.2012 02:00:00;    58
06.05.2012 23:20:00;    57
08.06.2012 20:35:00;   187
29.07.2012 06:55:00;   170
07.08.2012 08:25:00;   151
13.09.2012 16:45:00;    80
17.10.2012 04:55:00;    39
06.11.2012 00:55:00;    48
24.12.2012 06:25:00;   172
31.01.2013 00:20:00;   238
01.02.2013 00:00:00;   150
08.03.2013 03:15:00;   111
11.04.2013 00:30:00;   140
03.05.2013 07:40:00;   186
04.06.2013 12:45:00;   225
06.07.2013 19:20:00;    84
04.08.2013 21:05:00;    64
17.09.2013 11:05:00;    56
16.10.2013 17:45:00;    45
03.11.2013 18:05:00;    41
10.12.2013 11:40:00;    48
22.01.2014 01:45:00;    59
12.02.2014 01:15:00;    52
15.03.2014 19:30:00;    43
10.04.2014 14:50:00;    37
28.05.2014 20:05:00;   169
01.06.2014 00:10:00;    78
31.07.2014 07:20:00;    53
03.08.2014 20:00:00;    86
14.09.2014 06:10:00;   135
23.10.2014 20:35:00;   125
18.11.2014 21:20:00;    53
08.12.2014 02:15:00;    60
10.01.2015 10:00:00;   165
25.02.2015 00:55:00;    61
02.03.2015 22:10:00;    57
01.04.2015 18:05:00;    38
24.05.2015 11:00:00;    75
13.06.2015 21:20:00;    45
08.07.2015 21:20:00;    30
17.08.2015 13:10:00;    41
29.09.2015 19:10:00;    32
20.10.2015 14:05:00;    38
21.11.2015 03:55:00;    81
02.12.2015 05:30:00;    72
29.01.2016 17:15:00;    63
01.02.2016 17:55:00;    76
03.03.2016 14:00:00;    49
09.04.2016 07:05:00;    43
13.05.2016 20:10:00;    59
30.06.2016 13:55:00;    53
27.07.2016 19:00:00;   137
01.08.2016 00:00:00;    70
30.09.2016 16:25:00;    32
12.10.2016 21:45:00;    51
17.11.2016 14:10:00;    49
28.12.2016 22:00:00;    85
01.01.2017 00:00:00;    38
21.02.2017 22:05:00;   143
19.03.2017 16:05:00;   109
29.04.2017 03:05:00;    88
31.05.2017 04:05:00;    58
27.06.2017 17:15:00;    45
09.07.2017 23:45:00;    56
27.08.2017 19:50:00;    63
04.09.2017 00:50:00;    39
30.10.2017 01:45:00;    46
22.11.2017 04:15:00;    38
07.12.2017 03:00:00;    41
25.01.2018 07:35:00;    58
01.02.2018 21:40:00;    48
08.03.2018 19:25:00;    81
02.04.2018 23:20:00;    42
10.05.2018 19:20:00;   132
13.06.2018 06:25:00;   211
01.07.2018 00:15:00;    56
24.08.2018 18:05:00;    54
04.09.2018 00:50:00;   105
28.10.2018 15:05:00;    26
26.11.2018 19:00:00;    53
24.12.2018 15:15:00;   198
14.01.2019 16:05:00;   110
22.02.2019 18:40:00;   110
16.03.2019 17:15:00;    93
30.04.2019 13:30:00;    32
29.05.2019 20:40:00;    85
22.06.2019 07:10:00;    82
29.07.2019 19:35:00;    57
21.08.2019 08:40:00;    41
09.09.2019 11:10:00;    29
09.10.2019 20:15:00;    52
05.11.2019 17:30:00;    41
22.12.2019 06:15:00;    68
31.01.2020 23:59:55;    40
03.02.2020 21:15:00;    96
02.03.2020 15:35:00;    60
29.04.2020 22:05:00;    36
24.05.2020 05:55:00;    38
21.06.2020 23:00:00;   207
19.07.2020 01:10:00;   137
04.08.2020 20:55:00;   180
01.09.2020 20:50:00;   159
14.10.2020 19:15:00;   171
04.11.2020 13:40:00;    85
11.12.2020 10:15:00;    35
30.01.2021 03:00:00;   174
03.02.2021 23:50:00;   119
05.03.2021 18:35:00;    44
14.04.2021 06:20:00;    28
14.05.2021 01:55:00;    75
25.06.2021 09:05:00;    99
18.07.2021 14:40:00;   173
05.08.2021 16:50:00;   169
17.09.2021 01:55:00;    44
07.10.2021 23:00:00;    33
02.11.2021 22:05:00;    21
30.12.2021 00:25:00;    89
