Messstelle:                ;Hohenau a. d. March (Fluss-km 66,92)
21.01.1969 12:00:00;   226
28.02.1969 12:00:00;   390
19.03.1969 12:00:00;   461
06.04.1969 12:00:00;   432
01.05.1969 12:00:00;   284
23.06.1969 12:00:00;   271
11.07.1969 12:00:00;   231
28.08.1969 12:00:00;   238
01.09.1969 12:00:00;   172
09.10.1969 12:00:00;   127
27.11.1969 12:00:00;   222
01.12.1969 12:00:00;   162
17.01.1970 12:00:00;   213
12.02.1970 12:00:00;   191
29.03.1970 12:00:00;   497
13.04.1970 12:00:00;   476
01.05.1970 12:00:00;   393
13.06.1970 12:00:00;   274
23.07.1970 12:00:00;   419
26.08.1970 12:00:00;   281
01.09.1970 12:00:00;   264
08.10.1970 12:00:00;   235
28.11.1970 12:00:00;   402
01.12.1970 12:00:00;   371
28.01.1971 12:00:00;   356
01.02.1971 12:00:00;   347
31.03.1971 12:00:00;   409
01.04.1971 12:00:00;   406
06.05.1971 12:00:00;   265
13.06.1971 12:00:00;   260
07.07.1971 12:00:00;   272
01.08.1971 12:00:00;   153
30.09.1971 12:00:00;   135
01.10.1971 12:00:00;   146
22.11.1971 12:00:00;   222
15.12.1971 12:00:00;   245
07.01.1972 12:00:00;   192
26.02.1972 12:00:00;   249
04.03.1972 12:00:00;   243
28.04.1972 12:00:00;   380
27.05.1972 00:00:00;   434
01.06.1972 12:00:00;   392
31.07.1972 12:00:00;   308
26.08.1972 12:00:00;   425
01.09.1972 12:00:00;   201
27.10.1972 12:00:00;   177
21.11.1972 12:00:00;   170
05.12.1972 12:00:00;   204
08.01.1973 12:00:00;   129
25.02.1973 12:00:00;   266
31.03.1973 12:00:00;   339
25.04.1973 12:00:00;   412
01.05.1973 12:00:00;   330
05.06.1973 12:00:00;   169
31.07.1973 12:00:00;   167
01.08.1973 12:00:00;   156
29.09.1973 12:00:00;   131
26.10.1973 12:00:00;   133
17.11.1973 12:00:00;   131
27.12.1973 12:00:00;   228
24.01.1974 12:00:00;   394
13.02.1974 12:00:00;   276
01.03.1974 12:00:00;   187
01.04.1974 12:00:00;   170
25.05.1974 12:00:00;   193
16.06.1974 12:00:00;   256
27.07.1974 12:00:00;   290
01.08.1974 12:00:00;   195
02.09.1974 12:00:00;   145
25.10.1974 12:00:00;   366
01.11.1974 12:00:00;   335
14.12.1974 00:00:00;   458
01.01.1975 12:00:00;   457
05.02.1975 12:00:00;   247
31.03.1975 12:00:00;   332
01.04.1975 12:00:00;   331
17.05.1975 12:00:00;   224
26.06.1975 12:00:00;   257
04.07.1975 12:00:00;   337
01.08.1975 12:00:00;   215
08.09.1975 12:00:00;   182
16.10.1975 12:00:00;   221
22.11.1975 12:00:00;   193
30.12.1975 12:00:00;   206
19.01.1976 08:00:00;   462
01.02.1976 00:00:00;   388
05.03.1976 00:00:00;   307
07.04.1976 02:00:00;   355
25.05.1976 06:00:00;   312
06.06.1976 02:00:00;   292
26.07.1976 22:00:00;   130
09.08.1976 14:00:00;    99
19.09.1976 20:00:00;   222
19.10.1976 06:00:00;   187
18.11.1976 18:00:00;   256
05.12.1976 06:00:00;   455
31.01.1977 12:00:00;   444
26.02.1977 12:00:00;   508
01.03.1977 00:00:00;   498
16.04.1977 12:00:00;   405
09.05.1977 12:00:00;   394
01.06.1977 12:00:00;   187
23.07.1977 12:00:00;   228
25.08.1977 12:00:00;   452
25.09.1977 12:00:00;   263
01.10.1977 12:00:00;   172
17.11.1977 12:00:00;   346
30.12.1977 12:00:00;   226
31.01.1978 12:00:00;   213
28.02.1978 12:00:00;   342
08.03.1978 12:00:00;   384
15.04.1978 12:00:00;   359
04.05.1978 12:00:00;   344
01.06.1978 12:00:00;   220
07.07.1978 12:00:00;   230
21.08.1978 12:00:00;   160
25.09.1978 12:00:00;   213
06.10.1978 12:00:00;   245
01.11.1978 12:00:00;   154
31.12.1978 12:00:00;   301
31.01.1979 12:00:00;   326
01.02.1979 00:00:00;   314
19.03.1979 02:00:00;   459
11.04.1979 12:00:00;   382
09.05.1979 12:00:00;   380
19.06.1979 12:00:00;   361
01.07.1979 00:00:00;   220
11.08.1979 12:00:00;   166
27.09.1979 12:00:00;   201
20.10.1979 12:00:00;   147
22.11.1979 12:00:00;   356
28.12.1979 12:00:00;   391
01.01.1980 00:00:00;   353
09.02.1980 12:00:00;   359
31.03.1980 12:00:00;   309
30.04.1980 12:00:00;   331
05.05.1980 12:00:00;   363
26.06.1980 12:00:00;   250
25.07.1980 12:00:00;   418
01.08.1980 12:00:00;   373
17.09.1980 12:00:00;   231
15.10.1980 12:00:00;   370
18.11.1980 12:00:00;   274
17.12.1980 12:00:00;   384
06.01.1981 12:00:00;   349
12.02.1981 12:00:00;   421
16.03.1981 12:00:00;   496
01.04.1981 00:00:00;   392
02.05.1981 12:00:00;   325
29.06.1981 12:00:00;   242
23.07.1981 12:00:00;   290
29.08.1981 12:00:00;   197
16.09.1981 12:00:00;   289
25.10.1981 12:00:00;   411
24.11.1981 12:00:00;   365
31.12.1981 12:00:00;   376
08.01.1982 12:00:00;   485
02.02.1982 12:00:00;   355
31.03.1982 12:00:00;   411
01.04.1982 12:00:00;   412
13.05.1982 12:00:00;   364
29.06.1982 12:00:00;   399
14.07.1982 12:00:00;   406
23.08.1982 12:00:00;   222
25.09.1982 12:00:00;   160
16.10.1982 12:00:00;   176
17.11.1982 12:00:00;   160
18.12.1982 12:00:00;   310
31.01.1983 12:00:00;   397
01.02.1983 12:00:00;   396
10.03.1983 12:00:00;   416
05.04.1983 12:00:00;   379
05.05.1983 12:00:00;   343
07.06.1983 12:00:00;   194
01.07.1983 00:00:00;   186
07.08.1983 12:00:00;   114
22.09.1983 12:00:00;    95
14.10.1983 12:00:00;   140
30.11.1983 12:00:00;   173
22.12.1983 12:00:00;   259
01.01.1984 00:00:00;   151
08.02.1984 12:00:00;   280
31.03.1984 12:00:00;   334
06.04.1984 12:00:00;   394
09.05.1984 12:00:00;   320
11.06.1984 12:00:00;   246
15.07.1984 12:00:00;   273
09.08.1984 12:00:00;   235
26.09.1984 12:00:00;   323
04.10.1984 12:00:00;   306
26.11.1984 12:00:00;   378
01.12.1984 00:00:00;   234
08.01.1985 12:00:00;   188
04.02.1985 12:00:00;   368
27.03.1985 02:00:00;   482
01.04.1985 00:00:00;   466
26.05.1985 12:00:00;   482
11.06.1985 12:00:00;   387
23.07.1985 12:00:00;   293
12.08.1985 02:00:00;   534
01.09.1985 00:00:00;   270
18.10.1985 12:00:00;   169
24.11.1985 12:00:00;   269
18.12.1985 12:00:00;   399
27.01.1986 12:00:00;   412
04.02.1986 12:00:00;   396
31.03.1986 12:00:00;   425
02.04.1986 12:00:00;   433
31.05.1986 12:00:00;   273
08.06.1986 02:00:00;   484
01.07.1986 00:00:00;   247
31.08.1986 12:00:00;   249
01.09.1986 00:00:00;   224
25.10.1986 12:00:00;   216
26.11.1986 12:00:00;   232
31.12.1986 12:00:00;   368
04.01.1987 12:00:00;   453
18.02.1987 12:00:00;   476
31.03.1987 12:00:00;   497
01.04.1987 12:00:00;   497
25.05.1987 12:00:00;   499
29.06.1987 12:00:00;   473
01.07.1987 00:00:00;   435
05.08.1987 12:00:00;   220
29.09.1987 12:00:00;   208
28.10.1987 12:00:00;   229
29.11.1987 12:00:00;   310
23.12.1987 12:00:00;   435
01.01.1988 00:00:00;   371
01.02.1988 12:00:00;   338
29.03.1988 02:00:00;   500
01.04.1988 00:00:00;   488
23.05.1988 12:00:00;   305
10.06.1988 12:00:00;   260
05.07.1988 12:00:00;   200
31.08.1988 12:00:00;   184
04.09.1988 12:00:00;   356
18.10.1988 12:00:00;   152
30.11.1988 12:00:00;   150
26.12.1988 12:00:00;   410
01.01.1989 12:00:00;   335
28.02.1989 12:00:00;   420
01.03.1989 00:00:00;   411
06.04.1989 12:00:00;   221
03.05.1989 12:00:00;   368
08.06.1989 12:00:00;   234
04.07.1989 12:00:00;   192
31.08.1989 12:00:00;   168
06.09.1989 12:00:00;   313
10.10.1989 12:00:00;   225
07.11.1989 12:00:00;   148
17.12.1989 12:00:00;   346
01.01.1990 12:00:00;   160
28.02.1990 12:00:00;   296
02.03.1990 12:00:00;   352
28.04.1990 12:00:00;   386
27.05.1990 12:00:00;   412
10.06.1990 12:00:00;   253
05.07.1990 12:00:00;   283
14.08.1990 12:00:00;   114
26.09.1990 12:00:00;   247
31.10.1990 12:00:00;   155
20.11.1990 12:00:00;   276
12.12.1990 12:00:00;   285
06.01.1991 12:00:00;   265
28.02.1991 12:00:00;   197
22.03.1991 12:00:00;   220
22.04.1991 12:00:00;   189
21.05.1991 12:00:00;   362
29.06.1991 12:00:00;   313
01.07.1991 00:00:00;   247
06.08.1991 12:00:00;   399
18.09.1991 12:00:00;   156
02.10.1991 12:00:00;   134
22.11.1991 12:00:00;   417
26.12.1991 12:00:00;   239
10.01.1992 12:00:00;   360
18.02.1992 12:00:00;   412
29.03.1992 12:00:00;   488
01.04.1992 00:00:00;   471
01.05.1992 12:00:00;   267
13.06.1992 12:00:00;   256
07.07.1992 12:00:00;   130
16.08.1992 12:00:00;    98
25.09.1992 12:00:00;    91
28.10.1992 12:00:00;   154
03.11.1992 12:00:00;   124
07.12.1992 12:00:00;   284
24.01.1993 12:00:00;   290
01.02.1993 00:00:00;   189
20.03.1993 12:00:00;   478
11.04.1993 12:00:00;   374
01.05.1993 00:00:00;   202
05.06.1993 12:00:00;   127
22.07.1993 12:00:00;   133
02.08.1993 12:00:00;   120
16.09.1993 12:00:00;   145
26.10.1993 12:00:00;   160
04.11.1993 12:00:00;   194
23.12.1993 12:00:00;   352
09.01.1994 12:00:00;   410
11.02.1994 12:00:00;   304
19.03.1994 12:00:00;   360
15.04.1994 12:00:00;   474
29.05.1994 12:00:00;   422
01.06.1994 00:00:00;   275
13.07.1994 12:00:00;   144
27.08.1994 12:00:00;   270
03.09.1994 12:00:00;   200
27.10.1994 12:00:00;   171
01.11.1994 12:00:00;   195
31.12.1994 12:00:00;   358
29.01.1995 12:00:00;   410
02.02.1995 12:00:00;   418
07.03.1995 12:00:00;   362
29.04.1995 12:00:00;   443
16.05.1995 12:00:00;   424
29.06.1995 12:00:00;   394
06.07.1995 12:00:00;   350
30.08.1995 12:00:00;   201
03.09.1995 12:00:00;   380
01.10.1995 00:00:00;   208
30.11.1995 12:00:00;   238
26.12.1995 12:00:00;   362
15.01.1996 12:00:00;   340
21.02.1996 12:00:00;   200
28.03.1996 12:00:00;   480
10.04.1996 12:00:00;   494
17.05.1996 12:00:00;   479
01.06.1996 00:00:00;   361
11.07.1996 12:00:00;   298
31.08.1996 12:00:00;   222
10.09.1996 12:00:00;   430
10.10.1996 12:00:00;   256
16.11.1996 12:00:00;   360
01.12.1996 00:00:00;   232
12.01.1997 02:38:20;   184
28.02.1997 19:51:10;   472
01.03.1997 00:00:00;   470
21.04.1997 09:38:45;   358
23.05.1997 00:33:35;   344
01.06.1997 06:52:15;   313
21.07.1997 14:25:00;   567
01.08.1997 00:00:00;   479
01.09.1997 13:57:10;   299
14.10.1997 18:37:30;   199
15.11.1997 23:19:30;   402
15.12.1997 19:48:05;   358
03.01.1998 17:44:50;   253
17.02.1998 16:43:40;   262
10.03.1998 07:51:00;   250
15.04.1998 04:11:25;   297
05.05.1998 14:00:20;   272
14.06.1998 16:38:20;   324
12.07.1998 14:47:00;   204
15.08.1998 14:37:10;   191
18.09.1998 06:23:35;   436
31.10.1998 15:05:00;   480
01.11.1998 00:00:00;   475
18.12.1998 10:29:45;   346
10.01.1999 22:24:25;   244
07.02.1999 02:28:25;   388
09.03.1999 15:52:40;   500
19.04.1999 10:19:10;   436
01.05.1999 00:00:00;   296
24.06.1999 15:23:45;   485
16.07.1999 08:43:20;   316
02.08.1999 04:08:30;   162
24.09.1999 11:21:20;   144
14.10.1999 22:21:15;   170
11.11.1999 08:19:55;   236
14.12.1999 16:50:15;   193
31.01.2000 23:59:55;   331
11.02.2000 01:14:30;   476
13.03.2000 08:05:05;   481
01.04.2000 23:42:25;   479
01.05.2000 18:14:10;   243
07.06.2000 22:17:15;   175
18.07.2000 23:09:10;   383
01.08.2000 00:00:00;   289
19.09.2000 03:25:20;   136
10.10.2000 21:53:55;   148
28.11.2000 18:16:35;   224
31.12.2000 03:00:25;   211
10.01.2001 07:00:00;   400
09.02.2001 19:15:00;   296
27.03.2001 19:15:00;   448
11.04.2001 11:15:00;   422
08.05.2001 19:00:00;   238
13.06.2001 03:00:00;   212
22.07.2001 20:45:00;   460
06.08.2001 06:14:30;   340
20.09.2001 00:30:00;   426
01.10.2001 00:15:00;   260
10.11.2001 11:30:00;   263
08.12.2001 09:00:00;   186
30.01.2002 20:15:00;   485
01.02.2002 00:00:00;   477
01.03.2002 15:15:00;   457
01.04.2002 00:00:00;   306
08.05.2002 01:30:00;   247
12.06.2002 08:45:00;   237
20.07.2002 01:32:55;   276
16.08.2002 09:30:00;   474
30.09.2002 23:15:00;   201
19.10.2002 21:00:00;   401
15.11.2002 04:30:00;   351
31.12.2002 23:59:55;   415
05.01.2003 17:30:00;   503
01.02.2003 00:00:00;   359
14.03.2003 08:30:00;   392
13.04.2003 00:50:05;   305
16.05.2003 02:15:00;   286
02.06.2003 13:45:00;   184
19.07.2003 07:45:00;   151
01.08.2003 09:30:00;   165
29.09.2003 23:30:00;    94
11.10.2003 12:15:00;   192
04.11.2003 12:30:00;   181
15.12.2003 23:45:00;   326
15.01.2004 20:45:00;   376
08.02.2004 03:30:00;   482
26.03.2004 07:00:00;   473
01.04.2004 01:00:00;   433
04.05.2004 22:15:00;   246
06.06.2004 08:00:00;   307
02.07.2004 17:00:00;   178
02.08.2004 03:30:00;   116
28.09.2004 03:45:00;   123
19.10.2004 04:45:00;   189
25.11.2004 07:30:00;   289
29.12.2004 16:00:00;   230
06.01.2005 10:45:00;   305
15.02.2005 19:45:00;   319
20.03.2005 23:15:00;   520
01.04.2005 00:00:00;   468
05.05.2005 22:00:00;   371
01.06.2005 05:45:00;   224
12.07.2005 20:00:00;   316
25.08.2005 22:00:00;   389
01.09.2005 00:00:00;   187
03.10.2005 05:15:00;   162
29.11.2005 09:30:00;   198
08.12.2005 10:30:00;   283
04.01.2006 09:30:00;   251
23.02.2006 02:45:00;   419
30.03.2006 17:00:00;   564
04.04.2006 01:30:00;   607
01.05.2006 06:45:00;   493
01.06.2006 19:15:00;   432
02.07.2006 16:30:00;   378
10.08.2006 09:15:00;   456
01.09.2006 23:00:00;   334
31.10.2006 18:15:00;   168
07.11.2006 10:00:00;   300
13.12.2006 07:30:00;   176
20.01.2007 14:30:00;   319
05.02.2007 03:45:00;   332
27.03.2007 09:45:00;   452
01.04.2007 00:00:00;   373
28.05.2007 08:00:00;   187
22.06.2007 19:45:00;   254
12.07.2007 21:30:00;   167
21.08.2007 16:45:00;   178
09.09.2007 05:30:00;   461
25.10.2007 05:15:00;   200
25.11.2007 01:30:00;   340
09.12.2007 11:00:00;   374
22.01.2008 09:15:00;   401
01.02.2008 00:00:00;   330
05.03.2008 17:15:00;   407
05.04.2008 08:30:00;   282
22.05.2008 17:45:00;   401
06.06.2008 22:15:00;   183
15.07.2008 06:00:00;   205
17.08.2008 14:30:00;   314
19.09.2008 02:30:00;   168
19.10.2008 16:15:00;   147
23.11.2008 09:45:00;   163
25.12.2008 04:45:00;   211
23.01.2009 17:00:00;   284
10.02.2009 14:45:00;   293
09.03.2009 07:30:00;   532
01.04.2009 00:45:00;   486
01.05.2009 00:00:00;   194
26.06.2009 04:15:00;   411
01.07.2009 10:45:00;   364
04.08.2009 11:15:00;   194
01.09.2009 04:30:00;   138
24.10.2009 16:00:00;   273
13.11.2009 03:45:00;   354
26.12.2009 11:00:00;   246
03.01.2010 20:30:00;   302
28.02.2010 22:00:00;   462
02.03.2010 16:00:00;   481
17.04.2010 00:15:00;   453
20.05.2010 11:45:00;   534
04.06.2010 13:45:00;   552
31.07.2010 20:45:00;   366
09.08.2010 20:15:00;   404
03.09.2010 02:30:00;   467
01.10.2010 01:00:00;   452
24.11.2010 12:30:00;   306
26.12.2010 13:15:00;   457
17.01.2011 02:45:00;   468
08.02.2011 20:30:00;   339
20.03.2011 15:00:00;   414
27.04.2011 13:15:00;   287
04.05.2011 23:45:00;   324
11.06.2011 06:45:00;   221
23.07.2011 16:30:00;   394
17.08.2011 02:30:00;   377
11.09.2011 20:15:00;   151
14.10.2011 04:15:00;   164
01.11.2011 14:30:00;   142
19.12.2011 06:30:00;   166
24.01.2012 22:45:00;   311
29.02.2012 23:59:55;   379
03.03.2012 10:30:00;   460
01.04.2012 02:30:00;   262
06.05.2012 04:45:00;   223
14.06.2012 21:00:00;   351
27.07.2012 03:30:00;   134
08.08.2012 09:15:00;   136
15.09.2012 04:30:00;   187
28.10.2012 22:30:00;   288
06.11.2012 19:00:00;   309
30.12.2012 04:45:00;   233
31.01.2013 23:59:55;   297
28.02.2013 17:45:00;   454
01.03.2013 00:00:00;   454
14.04.2013 02:00:00;   477
13.05.2013 19:30:00;   380
06.06.2013 15:45:00;   464
01.07.2013 00:00:00;   345
29.08.2013 00:45:00;   155
18.09.2013 20:30:00;   305
12.10.2013 23:15:00;   193
11.11.2013 16:15:00;   170
11.12.2013 13:30:00;   242
23.01.2014 01:30:00;   251
13.02.2014 06:00:00;   249
25.03.2014 19:15:00;   198
27.04.2014 21:45:00;   177
17.05.2014 11:15:00;   341
01.06.2014 00:00:00;   179
30.07.2014 01:30:00;   184
05.08.2014 16:30:00;   228
16.09.2014 13:15:00;   428
24.10.2014 02:00:00;   323
09.11.2014 21:30:00;   284
09.12.2014 03:45:00;   270
12.01.2015 14:15:00;   441
26.02.2015 17:30:00;   368
04.03.2015 03:00:00;   345
04.04.2015 00:00:00;   419
01.05.2015 00:00:00;   211
01.06.2015 00:00:00;   155
01.07.2015 19:00:00;   105
20.08.2015 16:45:00;   209
05.09.2015 07:45:00;   105
17.10.2015 06:30:00;   144
22.11.2015 13:30:00;   213
03.12.2015 01:15:00;   203
30.01.2016 11:30:00;   220
23.02.2016 13:15:00;   432
02.03.2016 17:45:00;   363
11.04.2016 20:45:00;   336
30.05.2016 17:45:00;   247
01.06.2016 00:00:00;   165
15.07.2016 21:15:00;   196
02.08.2016 03:45:00;   315
08.09.2016 00:30:00;   120
22.10.2016 04:30:00;   207
21.11.2016 13:30:00;   259
14.12.2016 02:30:00;   196
01.01.2017 00:00:00;   130
24.02.2017 23:30:00;   404
29.03.2017 10:15:00;   262
30.04.2017 08:15:00;   449
01.05.2017 00:00:00;   406
02.06.2017 04:30:00;   125
26.07.2017 20:15:00;   122
13.08.2017 19:45:00;    96
23.09.2017 11:30:00;   207
30.10.2017 19:30:00;   271
01.11.2017 00:00:00;   233
13.12.2017 22:29:55;   245
12.01.2018 15:45:00;   299
03.02.2018 19:00:00;   263
18.03.2018 07:15:00;   276
03.04.2018 01:30:00;   202
19.05.2018 19:45:00;   168
13.06.2018 07:45:00;   122
20.07.2018 08:15:00;   151
02.08.2018 02:45:00;    71
04.09.2018 00:15:00;   153
30.10.2018 23:00:00;   101
01.11.2018 00:30:00;    88
25.12.2018 18:00:00;   174
19.01.2019 02:45:00;   187
04.02.2019 14:30:00;   366
17.03.2019 18:30:00;   345
06.04.2019 23:00:00;   194
24.05.2019 21:30:00;   455
01.06.2019 00:00:00;   267
03.07.2019 00:45:00;   107
14.08.2019 20:45:00;   127
10.09.2019 15:45:00;   286
11.10.2019 23:00:00;   169
15.11.2019 03:30:00;   241
25.12.2019 03:00:00;   342
01.01.2020 00:30:00;   168
06.02.2020 03:15:00;   436
05.03.2020 01:30:00;   377
01.04.2020 00:00:00;   150
28.05.2020 01:15:00;   153
22.06.2020 20:30:00;   473
02.07.2020 11:45:00;   404
06.08.2020 11:30:00;   320
03.09.2020 02:30:00;   324
16.10.2020 13:30:00;   543
06.11.2020 02:15:00;   422
30.12.2020 14:45:00;   416
01.01.2021 00:00:00;   408
07.02.2021 06:30:00;   456
01.03.2021 00:00:00;   384
21.04.2021 07:00:00;   252
18.05.2021 21:30:00;   428
26.06.2021 08:30:00;   252
01.07.2021 22:15:00;   191
06.08.2021 23:30:00;   303
02.09.2021 10:00:00;   273
12.10.2021 22:30:00;   141
29.11.2021 18:30:00;   148
31.12.2021 23:30:00;   157
