Messstelle:                ;Wien (Kagraner Brücke)
31.01.2013 13:00:00;   206
27.02.2013 07:00:00;   207
01.03.2013 00:00:00;   207
01.04.2013 00:00:00;   203
31.05.2013 08:00:00;   193
25.06.2013 03:00:00;   223
05.07.2013 15:00:00;   222
28.08.2013 03:00:00;   220
21.09.2013 17:00:00;   220
01.10.2013 00:00:00;   215
01.11.2013 00:00:00;   206
01.12.2013 00:00:00;   202
02.01.2014 23:00:00;   203
02.02.2014 23:00:00;   202
01.03.2014 00:00:00;   200
24.04.2014 03:00:00;   192
30.05.2014 06:00:00;   201
30.06.2014 14:00:00;   203
31.07.2014 05:00:00;   220
24.08.2014 04:00:00;   227
02.09.2014 12:30:00;   227
01.10.2014 18:00:00;   214
01.11.2014 01:00:00;   209
08.12.2014 01:30:00;   208
12.01.2015 19:00:00;   211
01.02.2015 11:30:00;   211
01.03.2015 06:00:00;   208
01.04.2015 01:00:00;   190
29.05.2015 07:00:00;   199
29.06.2015 16:00:00;   204
13.07.2015 09:00:00;   206
20.08.2015 02:30:00;   210
01.09.2015 00:00:00;   209
27.10.2015 09:00:00;   209
01.11.2015 02:00:00;   207
01.12.2015 18:30:00;   204
05.01.2016 06:30:00;   204
04.02.2016 14:30:00;   205
01.03.2016 00:00:00;   204
02.04.2016 05:30:00;   192
13.05.2016 03:30:00;   195
30.06.2016 07:00:00;   216
03.07.2016 01:30:00;   220
21.08.2016 16:00:00;   217
01.09.2016 00:00:00;   213
04.10.2016 13:00:00;   211
19.11.2016 15:00:00;   211
01.12.2016 12:00:00;   209
01.01.2017 03:00:00;   208
21.02.2017 06:00:00;   209
01.03.2017 06:00:00;   209
30.04.2017 13:00:00;   199
16.05.2017 07:00:00;   216
01.06.2017 00:00:00;   215
20.07.2017 21:00:00;   225
01.08.2017 10:00:00;   222
20.09.2017 11:00:00;   214
03.10.2017 17:00:00;   211
01.11.2017 00:00:00;   205
31.12.2017 07:00:00;   208
28.01.2018 16:00:00;   213
01.02.2018 19:00:00;   213
17.03.2018 18:15:05;   214
01.04.2018 03:30:05;   210
31.05.2018 18:30:05;   216
02.06.2018 06:30:05;   220
26.07.2018 17:45:05;   223
01.08.2018 00:00:00;   222
04.09.2018 10:30:05;   225
01.10.2018 14:15:05;   213
27.11.2018 06:15:05;   205
29.12.2018 14:00:00;   218
15.01.2019 13:00:00;   225
01.02.2019 00:00:00;   220
01.03.2019 00:00:00;   198
30.04.2019 16:00:00;   194
24.05.2019 08:00:00;   200
27.06.2019 15:00:00;   207
20.07.2019 11:00:00;   211
13.08.2019 00:00:00;   213
02.09.2019 13:00:00;   214
03.10.2019 00:00:00;   207
06.11.2019 00:00:00;   199
23.12.2019 16:00:00;   201
05.01.2020 13:00:00;   202
01.02.2020 00:00:00; Lücke
01.03.2020 00:00:00; Lücke
01.04.2020 00:00:00; Lücke
01.05.2020 00:00:00; Lücke
24.06.2020 09:00:00;   202
28.07.2020 21:00:00;   208
03.08.2020 16:00:00;   209
01.09.2020 12:00:00;   204
16.10.2020 12:00:00;   203
01.11.2020 20:00:00;   202
04.12.2020 11:00:00;   196
29.01.2021 22:00:00;   199
01.02.2021 00:00:00;   197
01.03.2021 00:00:00;   187
13.04.2021 16:00:00;   185
30.05.2021 18:00:00;   193
04.06.2021 12:00:00;   194
18.07.2021 07:00:00;   204
23.08.2021 07:00:00;   204
01.09.2021 00:00:00;   202
01.10.2021 00:00:00;   201
04.11.2021 02:00:00;   189
31.12.2021 23:00:00;   187
