Messstelle:                ;Schützen am Gebirge
23.07.1982 02:00:00;   172
05.08.1982 22:00:00;   400
06.09.1982 08:00:00;   168
02.10.1982 08:00:00;   329
14.11.1982 13:00:00;   202
18.12.1982 21:00:00;   252
06.01.1983 03:00:00;   226
28.02.1983 23:59:55;   202
01.03.1983 00:00:00;   202
12.04.1983 11:00:00;   201
23.05.1983 21:00:00;   224
20.06.1983 00:00:00;   185
21.07.1983 00:00:00;   167
03.08.1983 12:00:00;   174
03.09.1983 23:00:00;   201
11.10.1983 20:00:00;   186
28.11.1983 00:00:00;   181
20.12.1983 17:00:00;   160
04.01.1984 16:00:00;   153
28.02.1984 04:00:00;   163
02.03.1984 14:00:00;   162
04.04.1984 05:00:00;   183
15.05.1984 07:00:00;   208
01.06.1984 00:00:00;   152
16.07.1984 03:00:00;   150
11.08.1984 00:00:00;   154
24.09.1984 14:00:00;   171
04.10.1984 10:00:00;   156
20.11.1984 12:00:00;   163
18.12.1984 23:00:00;   145
13.01.1985 09:00:00;   148
03.02.1985 03:00:00;   150
23.03.1985 04:00:00;   238
01.04.1985 17:00:00;   158
07.05.1985 23:00:00;   197
08.06.1985 09:00:00;   219
16.07.1985 00:00:00;   162
07.08.1985 10:00:00;   266
09.09.1985 22:00:00;   167
31.10.1985 17:00:00;   153
02.11.1985 05:00:00;   181
13.12.1985 01:00:00;   235
15.01.1986 02:00:00;   242
01.02.1986 16:30:00;   179
11.03.1986 17:45:00;   249
29.04.1986 07:00:00;   176
20.05.1986 12:30:00;   177
14.06.1986 08:15:00;   250
19.07.1986 18:00:00;   211
05.08.1986 13:15:00;   235
10.09.1986 18:15:00;   216
22.10.1986 14:45:00;   170
24.11.1986 06:15:00;   260
19.12.1986 16:45:00;   159
02.01.1987 03:00:00;   159
21.02.1987 03:30:00;   239
22.03.1987 22:00:00;   187
10.04.1987 15:30:00;   190
14.05.1987 01:45:00;   254
05.06.1987 04:45:00;   246
25.07.1987 05:15:00;   283
04.08.1987 21:15:00;   265
06.09.1987 20:15:00;   174
24.10.1987 05:00:00;   190
27.11.1987 12:45:00;   176
21.12.1987 01:30:00;   213
30.01.1988 11:45:00;   216
27.02.1988 14:30:00;   206
14.03.1988 20:00:00;   203
13.04.1988 23:45:00;   180
18.05.1988 17:00:00;   213
07.06.1988 01:30:00;   230
14.07.1988 20:45:00;   168
22.08.1988 09:30:00;   201
03.09.1988 00:30:00;   240
21.10.1988 00:30:00;   161
15.11.1988 00:45:00;   171
02.12.1988 23:15:00;   206
09.01.1989 00:15:00;   162
26.02.1989 08:45:00;   160
13.03.1989 23:00:00;   160
30.04.1989 23:59:55;   190
01.05.1989 09:15:00;   198
02.06.1989 12:30:00;   177
12.07.1989 03:15:00;   274
19.08.1989 12:15:00;   184
03.09.1989 03:15:00;   208
14.10.1989 23:15:00;   183
07.11.1989 01:00:00;   218
19.12.1989 20:30:00;   157
21.01.1990 19:45:00;   152
27.02.1990 16:00:00;   170
27.03.1990 20:45:00;   188
19.04.1990 15:30:00;   203
10.05.1990 05:45:00;   226
21.06.1990 12:30:00;   213
10.07.1990 05:00:00;   217
06.08.1990 22:30:00;   185
24.09.1990 14:30:00;   205
29.10.1990 19:15:00;   203
27.11.1990 20:45:00;   182
10.12.1990 17:30:00;   178
08.01.1991 20:00:00;   158
24.02.1991 17:45:00;   156
30.03.1991 17:30:00;   169
19.04.1991 08:45:00;   157
18.05.1991 23:45:00;   415
28.06.1991 06:45:00;   230
25.07.1991 01:15:00;   259
01.08.1991 18:30:00;   204
16.09.1991 04:30:00;   210
09.10.1991 01:15:00;   191
17.11.1991 02:15:00;   215
23.12.1991 08:30:00;   228
11.01.1992 00:15:00;   192
06.02.1992 05:45:00;   183
26.03.1992 23:30:00;   252
30.04.1992 05:00:00;   178
11.05.1992 23:15:00;   178
12.06.1992 22:30:00;   322
12.07.1992 03:30:00;   276
02.08.1992 03:00:00;   181
01.09.1992 16:45:00;   219
05.10.1992 23:45:00;   222
23.11.1992 17:45:00;   223
06.12.1992 04:45:00;   294
25.01.1993 11:30:00;   172
08.02.1993 17:00:00;   169
29.03.1993 15:30:00;   175
20.04.1993 10:15:00;   169
28.05.1993 20:45:00;   185
20.06.1993 22:00:00;   301
26.07.1993 01:15:00;   242
25.08.1993 11:45:00;   188
11.09.1993 02:00:00;   181
24.10.1993 04:30:00;   266
06.11.1993 10:15:00;   226
10.12.1993 20:00:00;   204
01.01.1994 17:15:00;   252
09.02.1994 02:15:00;   169
09.03.1994 07:00:00;   178
12.04.1994 15:45:00;   298
20.05.1994 22:00:00;   240
19.06.1994 22:00:00;   208
10.07.1994 20:00:00;   182
24.08.1994 20:00:00;   195
03.09.1994 10:00:00;   201
24.10.1994 21:45:00;   227
11.11.1994 20:30:00;   230
11.12.1994 16:00:00;   195
24.01.1995 05:45:00;   165
27.02.1995 00:30:00;   198
04.03.1995 23:00:00;   246
11.04.1995 18:45:00;   188
13.05.1995 09:15:00;   202
06.06.1995 17:00:00;   231
28.07.1995 12:00:00;   152
20.08.1995 09:45:00;   191
15.09.1995 10:00:00;   253
02.10.1995 13:30:00;   158
29.11.1995 06:45:00;   177
19.12.1995 20:15:00;   168
11.01.1996 05:00:00;   191
20.02.1996 18:45:00;   180
19.03.1996 00:30:00;   199
06.04.1996 00:30:00;   321
13.05.1996 08:15:00;   326
22.06.1996 23:30:00;   289
06.07.1996 23:00:00;   227
13.08.1996 06:00:00;   223
24.09.1996 02:45:00;   380
22.10.1996 11:45:00;   252
14.11.1996 18:15:00;   164
26.12.1996 21:15:00;   156
22.01.1997 19:01:35;   159
14.02.1997 00:11:50;   161
20.03.1997 17:10:45;   227
06.04.1997 02:34:30;   181
22.05.1997 14:59:25;   262
23.06.1997 11:44:50;   209
08.07.1997 12:11:00;   297
01.08.1997 09:10:40;   216
06.09.1997 19:54:45;   210
02.10.1997 07:21:20;   154
14.11.1997 10:38:35;   179
03.12.1997 20:39:45;   179
22.01.1998 18:59:55;   159
10.02.1998 17:17:10;   154
18.03.1998 01:57:15;   213
16.04.1998 17:59:15;   179
18.05.1998 06:03:50;   203
13.06.1998 03:29:05;   182
02.07.1998 02:20:50;   214
23.08.1998 06:27:10;   221
06.09.1998 03:14:05;   310
20.10.1998 03:52:40;   189
10.11.1998 23:10:20;   203
15.12.1998 07:47:30;   187
11.01.1999 16:26:15;   154
21.02.1999 16:56:20;   172
07.03.1999 15:43:45;   180
07.04.1999 21:37:30;   212
21.05.1999 11:06:00;   291
12.06.1999 07:00:20;   204
10.07.1999 20:39:50;   258
17.08.1999 04:00:20;   220
02.09.1999 15:30:05;   197
22.10.1999 18:19:35;   166
10.11.1999 04:39:20;   190
11.12.1999 06:22:20;   163
18.01.2000 17:00:00;   200
01.02.2000 00:00:00;   174
31.03.2000 01:13:15;   232
02.04.2000 02:57:30;   210
02.05.2000 00:47:00;   181
13.06.2000 23:42:00;   190
08.07.2000 01:28:30;   185
06.08.2000 10:26:40;   265
17.09.2000 00:22:20;   265
03.10.2000 09:35:05;   212
04.11.2000 22:39:35;   184
28.12.2000 10:16:15;   197
08.01.2001 23:52:55;   158
20.02.2001 22:45:45;   156
25.03.2001 23:20:50;   201
08.04.2001 13:35:30;   182
18.05.2001 21:33:00;   172
11.06.2001 09:21:10;   185
19.07.2001 02:45:25;   227
09.08.2001 02:47:55;   199
18.09.2001 10:46:30;   191
22.10.2001 01:24:30;   154
12.11.2001 21:38:45;   160
06.12.2001 13:40:25;   189
22.01.2002 20:35:50;   145
24.02.2002 02:53:25;   154
21.03.2002 08:16:30;   218
24.04.2002 15:22:30;   161
13.05.2002 03:29:35;   172
09.06.2002 20:46:15;   169
22.07.2002 01:53:35;   162
12.08.2002 17:13:30;   222
24.09.2002 12:45:00;   158
18.10.2002 11:18:55;   209
22.11.2002 23:23:35;   160
06.12.2002 10:40:50;   180
28.01.2003 03:45:00;   182
01.02.2003 00:00:00;   162
03.03.2003 16:27:50;   151
03.04.2003 01:36:20;   156
13.05.2003 11:06:05;   192
14.06.2003 01:01:45;   181
18.07.2003 09:31:00;   171
04.08.2003 04:34:15;   156
10.09.2003 17:59:40;   147
05.10.2003 13:02:30;   175
02.11.2003 16:51:55;   180
31.12.2003 23:12:35;   165
01.01.2004 00:00:00;   165
03.02.2004 10:26:50;   161
25.03.2004 01:55:30;   184
04.04.2004 21:45:00;   163
16.05.2004 11:15:00;   174
04.06.2004 07:15:00;   220
19.07.2004 01:15:00;   159
26.08.2004 20:30:00;   151
24.09.2004 04:00:00;   148
16.10.2004 21:00:00;   174
09.11.2004 15:00:00;   181
28.12.2004 04:15:00;   162
21.01.2005 13:00:30;   162
13.02.2005 18:01:20;   152
19.03.2005 12:17:20;   176
26.04.2005 05:47:00;   173
19.05.2005 04:18:00;   201
04.06.2005 22:48:00;   167
11.07.2005 20:03:00;   170
22.08.2005 17:34:00;   198
17.09.2005 10:35:00;   176
04.10.2005 14:50:00;   143
27.11.2005 13:13:00;   165
06.12.2005 19:18:00;   191
03.01.2006 23:47:00;   181
21.02.2006 02:42:00;   226
29.03.2006 08:12:00;   176
30.04.2006 04:47:00;   231
01.05.2006 14:47:00;   211
03.06.2006 09:31:00;   259
08.07.2006 08:47:00;   194
08.08.2006 00:20:00;   225
18.09.2006 20:27:00;   158
24.10.2006 23:22:00;   158
22.11.2006 21:08:00;   166
10.12.2006 03:37:00;   151
19.01.2007 20:17:00;   199
28.02.2007 07:37:00;   163
25.03.2007 02:59:00;   281
01.04.2007 02:57:00;   159
06.05.2007 06:22:00;   197
14.06.2007 02:21:10;   195
10.07.2007 08:24:25;   216
20.08.2007 23:43:00;   200
07.09.2007 19:58:00;   341
29.10.2007 00:53:00;   252
01.11.2007 00:00:00;   174
12.12.2007 20:29:00;   285
29.01.2008 13:14:00;   170
02.02.2008 15:28:00;   156
24.03.2008 07:53:00;   174
22.04.2008 00:53:00;   178
20.05.2008 20:33:00;   174
27.06.2008 06:58:00;   280
24.07.2008 00:45:00;   340
03.08.2008 00:23:00;   351
26.09.2008 04:04:00;   223
04.10.2008 00:24:00;   175
08.11.2008 14:28:50;   162
19.12.2008 10:28:55;   216
22.01.2009 09:06:30;   186
09.02.2009 01:00:15;   223
30.03.2009 09:55:15;   270
01.04.2009 00:00:00;   199
30.05.2009 16:10:20;   183
25.06.2009 12:50:30;   434
18.07.2009 19:43:30;   233
04.08.2009 17:58:30;   224
05.09.2009 02:18:35;   185
12.10.2009 12:28:35;   175
10.11.2009 18:48:35;   180
25.12.2009 19:03:35;   179
19.01.2010 02:43:35;   181
21.02.2010 00:58:35;   218
01.03.2010 01:13:35;   203
15.04.2010 10:33:35;   228
28.05.2010 01:38:35;   241
16.06.2010 19:43:35;   300
16.07.2010 06:58:35;   204
15.08.2010 11:23:35;   414
26.09.2010 08:33:35;   368
25.10.2010 23:48:35;   212
08.11.2010 15:48:35;   181
13.12.2010 03:13:45;   229
14.01.2011 04:46:15;   191
12.02.2011 08:41:15;   170
18.03.2011 15:26:15;   186
30.04.2011 20:21:15;   171
14.05.2011 22:51:15;   208
19.06.2011 08:31:15;   210
28.07.2011 23:30:00;   184
08.08.2011 01:00:00;   206
20.09.2011 02:00:00;   198
07.10.2011 15:30:00;   199
09.11.2011 20:45:00;   148
17.12.2011 03:15:00;   149
22.01.2012 08:45:00;   163
26.02.2012 18:30:00;   152
30.03.2012 10:45:00;   148
06.04.2012 02:00:00;   164
04.05.2012 14:00:00;   188
21.06.2012 03:00:00;   169
30.07.2012 00:45:00;   255
05.08.2012 09:00:00;   232
13.09.2012 08:45:00;   205
16.10.2012 13:15:00;   196
05.11.2012 18:15:00;   303
24.12.2012 03:45:00;   185
31.01.2013 19:15:00;   238
27.02.2013 22:00:00;   323
01.03.2013 00:00:00;   279
01.04.2013 00:00:00;   251
14.05.2013 06:30:00;   178
11.06.2013 18:30:00;   240
11.07.2013 09:00:00;   152
28.08.2013 07:45:00;   195
17.09.2013 09:30:00;   263
11.10.2013 19:15:00;   163
24.11.2013 21:00:00;   280
27.12.2013 07:00:00;   160
06.01.2014 00:15:00;   153
12.02.2014 15:00:00;   200
24.03.2014 03:45:00;   184
09.04.2014 03:15:00;   208
16.05.2014 13:45:00;   400
30.06.2014 14:15:00;   212
23.07.2014 03:00:00;   238
16.08.2014 02:30:00;   175
14.09.2014 09:00:00;   366
22.10.2014 09:30:00;   198
18.11.2014 19:00:00;   184
08.12.2014 08:00:00;   246
30.01.2015 19:30:00;   187
25.02.2015 01:15:00;   190
11.03.2015 16:15:00;   168
17.04.2015 23:45:00;   171
23.05.2015 18:30:00;   321
14.06.2015 02:30:00;   160
09.07.2015 01:30:00;   202
17.08.2015 08:45:00;   174
26.09.2015 02:15:00;   198
20.10.2015 11:00:00;   188
15.11.2015 17:45:00;   148
02.12.2015 06:45:00;   147
11.01.2016 21:30:00;   165
03.02.2016 23:00:00;   182
01.03.2016 00:00:00;   160
08.04.2016 22:45:00;   186
13.05.2016 05:30:00;   223
01.06.2016 00:00:00;   198
14.07.2016 09:30:00;   197
01.08.2016 04:15:00;   182
05.09.2016 10:00:00;   182
20.10.2016 11:00:00;   192
07.11.2016 04:15:00;   230
28.12.2016 11:00:00;   164
13.01.2017 13:00:00;   155
07.02.2017 00:00:00;   220
19.03.2017 09:30:00;   166
20.04.2017 00:15:00;   175
21.05.2017 06:45:00;   171
25.06.2017 23:45:00;   165
10.07.2017 04:45:00;   177
11.08.2017 03:00:00;   175
20.09.2017 09:15:00;   219
03.10.2017 18:30:00;   165
21.11.2017 16:30:00;   162
21.12.2017 22:00:00;   169
10.01.2018 14:30:00;   173
02.02.2018 01:30:00;   161
30.03.2018 02:30:00;   172
01.04.2018 05:15:00;   177
15.05.2018 17:30:00;   192
14.06.2018 02:00:00;   215
23.07.2018 17:00:00;   180
11.08.2018 01:45:00;   180
02.09.2018 01:00:00;   233
24.10.2018 19:00:00;   188
26.11.2018 19:30:00;   206
24.12.2018 16:00:00;   197
06.01.2019 03:45:00;   161
22.02.2019 13:15:00;   161
02.03.2019 13:00:00;   159
30.04.2019 19:30:00;   177
12.05.2019 07:15:00;   357
24.06.2019 05:15:00;   211
29.07.2019 00:15:00;   183
25.08.2019 02:30:00;   181
09.09.2019 10:15:00;   185
02.10.2019 21:30:00;   165
12.11.2019 22:15:00;   173
21.12.2019 21:15:00;   165
28.01.2020 23:30:00;   157
11.02.2020 11:30:00;   156
06.03.2020 12:45:00;   170
14.04.2020 01:45:00;   153
24.05.2020 02:30:00;   177
21.06.2020 10:45:00;   229
22.07.2020 18:30:00;   180
16.08.2020 13:15:00;   197
01.09.2020 14:30:00;   201
12.10.2020 09:15:00;   274
02.11.2020 00:15:00;   159
10.12.2020 11:45:00;   171
29.01.2021 17:00:00;   194
08.02.2021 09:00:00;   170
19.03.2021 23:00:00;   158
12.04.2021 22:30:00;   179
17.05.2021 18:30:00;   170
13.06.2021 06:45:00;   163
19.07.2021 03:00:00;   208
05.08.2021 15:15:00;   212
17.09.2021 08:45:00;   164
07.10.2021 15:15:00;   179
02.11.2021 13:30:00;   169
05.12.2021 06:30:00;   160
