Messstelle:                ;Tumpen
01.07.1967 00:00:00; Lücke
01.08.1967 00:00:00; Lücke
01.09.1967 00:00:00; Lücke
01.10.1967 00:00:00; Lücke
01.11.1967 00:00:00; Lücke
01.12.1967 00:00:00; Lücke
01.01.1968 00:00:00; Lücke
08.02.1968 18:00:00;    62
30.03.1968 18:00:00;    76
23.04.1968 18:00:00;   114
30.05.1968 18:00:00;   155
30.06.1968 18:00:00;   200
11.07.1968 18:00:00;   206
07.08.1968 18:00:00;   144
16.09.1968 18:00:00;   160
09.10.1968 18:00:00;    82
03.11.1968 18:00:00;   117
08.12.1968 18:00:00;    70
08.01.1969 18:00:00;    76
02.02.1969 18:00:00;    57
16.03.1969 18:00:00;    58
28.04.1969 18:00:00;   102
17.05.1969 18:00:00;   158
18.06.1969 18:00:00;   162
28.07.1969 18:00:00;   184
16.08.1969 18:00:00;   179
15.09.1969 18:00:00;   132
01.10.1969 18:00:00;    97
14.11.1969 18:00:00;    72
01.12.1969 00:00:00;    61
01.01.1970 00:00:00;    59
01.02.1970 00:00:00;    58
25.03.1970 18:00:00;    62
25.04.1970 18:00:00;    91
15.05.1970 18:00:00;   106
17.06.1970 18:00:00;   206
25.07.1970 18:00:00;   210
08.08.1970 18:00:00;   213
11.09.1970 18:00:00;   221
01.10.1970 18:00:00;   102
01.11.1970 00:00:00;    75
13.12.1970 18:00:00;    67
01.01.1971 00:00:00;    56
01.02.1971 00:00:00;    52
08.03.1971 18:00:00;    71
22.04.1971 18:00:00;    86
19.05.1971 18:00:00;   143
27.06.1971 18:00:00;   157
18.07.1971 18:00:00;   183
27.08.1971 18:00:00;   208
05.09.1971 18:00:00;   134
14.10.1971 18:00:00;    85
09.11.1971 18:00:00;    73
21.12.1971 18:00:00;    82
01.01.1972 18:00:00;    59
06.02.1972 18:00:00;    53
27.03.1972 18:00:00;    58
25.04.1972 18:00:00;    67
27.05.1972 18:00:00;   121
23.06.1972 18:00:00;   168
10.07.1972 18:00:00;   193
15.08.1972 18:00:00;   178
01.09.1972 18:00:00;   111
05.10.1972 18:00:00;    67
17.11.1972 18:00:00;    72
01.12.1972 18:00:00;    61
01.01.1973 00:00:00;    54
01.02.1973 00:00:00;    52
29.03.1973 18:00:00;    57
30.04.1973 18:00:00;    72
07.05.1973 18:00:00;   160
28.06.1973 18:00:00;   164
18.07.1973 18:00:00;   181
13.08.1973 18:00:00;   164
07.09.1973 18:00:00;   139
08.10.1973 18:00:00;   109
16.11.1973 18:00:00;    85
05.12.1973 18:00:00;    57
01.01.1974 00:00:00; Lücke
01.02.1974 00:00:00; Lücke
01.03.1974 00:00:00; Lücke
01.04.1974 00:00:00; Lücke
01.05.1974 00:00:00; Lücke
01.06.1974 00:00:00; Lücke
01.07.1974 00:00:00; Lücke
01.08.1974 00:00:00; Lücke
01.09.1974 00:00:00; Lücke
01.10.1974 00:00:00; Lücke
01.11.1974 00:00:00; Lücke
01.12.1974 00:00:00; Lücke
01.01.1975 00:00:00; Lücke
01.02.1975 00:00:00; Lücke
01.03.1975 00:00:00; Lücke
01.04.1975 00:00:00; Lücke
01.05.1975 00:00:00; Lücke
01.06.1975 00:00:00; Lücke
01.07.1975 00:00:00; Lücke
01.08.1975 00:00:00; Lücke
01.09.1975 00:00:00; Lücke
01.10.1975 00:00:00; Lücke
01.11.1975 00:00:00; Lücke
01.12.1975 00:00:00; Lücke
31.01.1976 15:00:00;    96
01.02.1976 00:00:00;    92
31.03.1976 23:59:55;    93
21.04.1976 01:00:00;   108
20.05.1976 00:00:00;   170
22.06.1976 20:00:00;   215
18.07.1976 01:00:00;   245
01.08.1976 00:00:00;   185
30.09.1976 03:00:00;   200
03.10.1976 13:00:00;   197
01.11.1976 00:00:00;   133
01.12.1976 06:00:00;   103
07.01.1977 12:00:00;    96
16.02.1977 22:00:00;    91
27.03.1977 12:00:00;   109
29.04.1977 23:00:00;   160
20.05.1977 19:00:00;   221
14.06.1977 22:00:00;   261
04.07.1977 22:00:00;   241
30.08.1977 04:00:00;   260
01.09.1977 00:00:00;   206
08.10.1977 21:00:00;   158
03.11.1977 21:00:00;   115
06.12.1977 15:00:00;   104
03.01.1978 16:00:00;    94
25.02.1978 19:00:00;    95
31.03.1978 23:59:55;    97
30.04.1978 23:59:55;   113
22.05.1978 18:00:00;   183
11.06.1978 22:00:00;   251
19.07.1978 01:00:00;   249
08.08.1978 04:00:00;   339
11.09.1978 20:00:00;   163
03.10.1978 23:00:00;   172
04.11.1978 20:00:00;   112
12.12.1978 14:00:00;   101
12.01.1979 00:00:00;    96
11.02.1979 21:00:00;    97
16.03.1979 10:00:00;   117
17.04.1979 01:00:00;   108
30.05.1979 22:00:00;   251
14.06.1979 03:00:00;   259
13.07.1979 00:00:00;   231
09.08.1979 01:00:00;   239
21.09.1979 23:00:00;   193
15.10.1979 09:00:00;   194
28.11.1979 07:00:00;   119
11.12.1979 21:00:00;   113
21.01.1980 11:00:00;   102
12.02.1980 00:00:00;    96
30.03.1980 01:00:00;    99
19.04.1980 04:00:00;   123
26.05.1980 23:00:00;   173
14.06.1980 22:00:00;   265
30.07.1980 02:00:00;   251
05.08.1980 21:00:00;   272
01.09.1980 00:00:00;   194
17.10.1980 16:00:00;   278
01.11.1980 00:00:00;   125
01.12.1980 00:00:00;   107
01.01.1981 00:00:00;    99
25.02.1981 01:00:00;    96
31.03.1981 18:00:00;   179
01.04.1981 00:00:00;   171
27.05.1981 05:00:00;   230
29.06.1981 03:00:00;   300
18.07.1981 20:00:00;   272
17.08.1981 18:00:00;   252
27.09.1981 10:00:00;   246
01.10.1981 22:00:00;   171
03.11.1981 22:00:00;   147
01.12.1981 00:00:00;   124
09.01.1982 22:00:00;   120
06.02.1982 19:00:00;   119
31.03.1982 16:00:00;   123
06.04.1982 00:00:00;   140
31.05.1982 22:00:00;   226
26.06.1982 19:00:00;   278
14.07.1982 23:00:00;   288
13.08.1982 22:00:00;   272
06.09.1982 07:00:00;   243
01.10.1982 00:00:00;   164
01.11.1982 00:00:00;   133
01.12.1982 08:00:00;   123
16.01.1983 12:00:00;   119
08.02.1983 16:30:00;   119
22.03.1983 06:00:00;   125
23.04.1983 00:00:00;   155
22.05.1983 23:55:00;   280
25.06.1983 23:00:00;   248
21.07.1983 21:00:00;   277
02.08.1983 02:30:00;   280
11.09.1983 08:00:00;   243
04.10.1983 20:30:00;   175
27.11.1983 14:30:00;   131
24.12.1983 10:30:00;   124
01.01.1984 00:00:00;   114
01.02.1984 00:00:00;   109
29.03.1984 16:15:00;   119
24.04.1984 22:45:00;   146
21.05.1984 07:00:00;   180
21.06.1984 23:00:00;   260
12.07.1984 19:30:00;   304
06.08.1984 03:15:00;   250
05.09.1984 22:00:00;   229
02.10.1984 12:00:00;   191
01.11.1984 01:15:00;   132
03.12.1984 03:15:00;   124
01.01.1985 00:00:00;   112
03.02.1985 01:30:00;   121
31.03.1985 23:59:55;   111
22.04.1985 01:30:00;   134
27.05.1985 21:15:00;   217
07.06.1985 22:15:00;   255
05.07.1985 23:15:00;   272
06.08.1985 11:00:00;   355
04.09.1985 02:15:00;   199
04.10.1985 20:45:00;   173
20.11.1985 16:30:00;   127
25.12.1985 16:30:00;   114
01.01.1986 00:45:00;   106
01.02.1986 00:00:00;   101
29.03.1986 06:00:00;   109
27.04.1986 00:15:00;   135
21.05.1986 22:30:00;   250
24.06.1986 04:45:00;   270
06.07.1986 21:30:00;   257
18.08.1986 22:30:00;   257
17.09.1986 19:45:00;   205
05.10.1986 19:45:00;   168
01.11.1986 00:00:00;   116
09.12.1986 16:15:00;   109
01.01.1987 00:00:00;   104
01.02.1987 00:00:00;   101
28.03.1987 15:15:00;   112
29.04.1987 23:45:00;   152
02.05.1987 22:00:00;   167
30.06.1987 22:00:00;   260
18.07.1987 21:30:00;   325
25.08.1987 00:15:00;   430
26.09.1987 22:00:00;   288
12.10.1987 03:00:00;   232
01.11.1987 00:00:00;   182
21.12.1987 04:15:00;   177
24.01.1988 11:15:00;   172
10.02.1988 02:00:00;   170
24.03.1988 22:00:00;   160
03.04.1988 11:30:00;   160
15.05.1988 22:30:00;   207
30.06.1988 23:59:55;   215
12.07.1988 03:30:00;   262
20.08.1988 22:30:00;   287
02.09.1988 13:15:00;   218
12.10.1988 16:45:00;   192
01.11.1988 21:45:00;   124
05.12.1988 07:00:00;   115
14.01.1989 20:00:00;   111
24.02.1989 21:15:00;   122
31.03.1989 04:30:00;   124
05.04.1989 08:45:00;   140
24.05.1989 22:00:00;   193
23.06.1989 04:30:00;   226
07.07.1989 23:30:00;   291
17.08.1989 19:30:00;   243
21.09.1989 19:15:00;   177
01.10.1989 00:15:00;   127
04.11.1989 10:30:00;   109
19.12.1989 16:30:00;   109
28.01.1990 18:00:00;    97
15.02.1990 15:15:00;   138
22.03.1990 23:45:00;   138
30.04.1990 23:59:55;   142
25.05.1990 00:15:00;   225
27.06.1990 22:15:00;   262
10.07.1990 00:30:00;   278
03.08.1990 18:30:00;   256
01.09.1990 18:15:00;   215
04.10.1990 21:15:00;   190
01.11.1990 10:00:00;   142
04.12.1990 22:30:00;   133
03.01.1991 03:30:00;   129
27.02.1991 00:15:00;   125
10.03.1991 00:30:00;   136
17.04.1991 05:00:00;   141
31.05.1991 23:59:55;   194
17.06.1991 17:45:00;   347
09.07.1991 00:00:00;   313
11.08.1991 18:30:00;   287
04.09.1991 18:45:00;   255
12.10.1991 18:00:00;   249
04.11.1991 22:15:00;   165
22.12.1991 21:15:00;   204
05.01.1992 15:30:00;   156
22.02.1992 15:15:00;   155
15.03.1992 21:30:00;   158
29.04.1992 01:45:00;   203
16.05.1992 21:45:00;   252
02.06.1992 22:15:00;   293
31.07.1992 20:00:00;   290
08.08.1992 18:15:00;   293
01.09.1992 03:45:00;   300
05.10.1992 20:15:00;   206
23.11.1992 00:00:00;   175
03.12.1992 23:30:00;   165
12.01.1993 20:15:00;   155
16.02.1993 23:45:00;   153
19.03.1993 03:15:00;   160
27.04.1993 22:00:00;   197
27.05.1993 20:15:00;   271
09.06.1993 21:30:00;   279
19.07.1993 22:30:00;   291
22.08.1993 17:00:00;   297
25.09.1993 01:00:00;   252
14.10.1993 08:45:00;   244
06.11.1993 11:30:00;   180
20.12.1993 18:45:00;   169
08.01.1994 05:00:00;   166
28.02.1994 18:30:00;   160
26.03.1994 01:00:00;   176
30.04.1994 23:59:55;   190
25.05.1994 21:30:00;   253
25.06.1994 20:45:00;   295
02.07.1994 00:30:00;   302
10.08.1994 23:15:00;   295
08.09.1994 21:00:00;   298
01.10.1994 19:45:00;   214
20.11.1994 17:00:00;   174
05.12.1994 06:30:00;   162
01.01.1995 00:00:00;   157
22.02.1995 03:15:00;   155
26.03.1995 04:00:00;   156
24.04.1995 00:45:00;   183
27.05.1995 00:30:00;   268
21.06.1995 22:30:00;   287
28.07.1995 00:30:00;   323
11.08.1995 17:45:00;   287
13.09.1995 15:45:00;   233
10.10.1995 22:15:00;   182
01.11.1995 07:15:00;   163
01.12.1995 00:00:00;   153
12.01.1996 16:15:00;   152
01.02.1996 00:00:00;   147
27.03.1996 02:30:00;   159
30.04.1996 23:59:55;   181
31.05.1996 22:30:00;   246
07.06.1996 20:15:00;   287
28.07.1996 23:45:00;   285
02.08.1996 18:00:00;   285
01.09.1996 22:00:00;   208
21.10.1996 21:15:00;   206
18.11.1996 15:45:00;   180
01.12.1996 00:00:00;   164
01.01.1997 00:00:05;   153
26.02.1997 22:00:00;   156
19.03.1997 05:30:00;   157
29.04.1997 08:45:00;   162
19.05.1997 22:00:00;   237
29.06.1997 22:15:00;   329
17.07.1997 21:30:00;   284
29.08.1997 00:15:00;   309
02.09.1997 18:45:00;   253
11.10.1997 01:45:00;   219
07.11.1997 05:30:00;   243
07.12.1997 18:00:00;   154
01.01.1998 00:15:00;   149
17.02.1998 05:00:00;   148
31.03.1998 04:00:00;   155
27.04.1998 00:45:00;   184
14.05.1998 00:00:00;   232
07.06.1998 20:45:00;   298
03.07.1998 06:00:00;   313
03.08.1998 18:00:00;   310
05.09.1998 12:30:00;   292
07.10.1998 11:30:00;   200
11.11.1998 00:15:00;   177
02.12.1998 04:15:00;   158
04.01.1999 16:30:00;   150
27.02.1999 19:00:00;   148
31.03.1999 23:59:55;   154
30.04.1999 00:45:00;   192
29.05.1999 20:30:00;   249
03.06.1999 03:15:00;   291
06.07.1999 20:00:00;   308
10.08.1999 16:30:00;   299
20.09.1999 22:15:00;   395
01.10.1999 00:00:00;   234
03.11.1999 23:00:00;   173
01.12.1999 00:00:00;   160
01.01.2000 00:00:00;   154
09.02.2000 11:30:00;   155
10.03.2000 06:45:00;   158
23.04.2000 23:15:00;   214
17.05.2000 22:00:00;   262
11.06.2000 16:30:00;   300
25.07.2000 06:00:00;   302
03.08.2000 18:45:00;   284
21.09.2000 02:15:00;   311
13.10.2000 19:45:00;   279
17.11.2000 14:45:00;   199
01.12.2000 00:00:00;   169
08.01.2001 09:00:00;   157
25.02.2001 17:30:00;   155
25.03.2001 03:30:00;   174
30.04.2001 23:59:55;   182
29.05.2001 22:00:00;   283
28.06.2001 06:15:00;   287
16.07.2001 04:00:00;   357
10.08.2001 10:15:00;   306
01.09.2001 00:00:00;   242
21.10.2001 07:15:00;   229
01.11.2001 00:45:00;   170
02.12.2001 00:45:00;   162
28.01.2002 03:02:30;   152
22.02.2002 22:09:50;   151
20.03.2002 03:15:00;   187
27.04.2002 07:00:00;   181
18.05.2002 22:00:00;   251
23.06.2002 20:00:00;   312
13.07.2002 19:30:00;   296
04.08.2002 07:15:00;   275
02.09.2002 18:45:00;   250
17.10.2002 23:30:00;   196
16.11.2002 19:15:00;   267
01.12.2002 00:00:00;   178
01.01.2003 00:00:00;   156
01.02.2003 00:00:00;   149
31.03.2003 02:00:00;   163
30.04.2003 23:59:55;   224
31.05.2003 23:59:55;   265
15.06.2003 00:15:00;   296
20.07.2003 18:30:00;   303
29.08.2003 22:15:00;   312
01.09.2003 00:00:00;   220
04.10.2003 09:00:00;   199
01.11.2003 11:30:00;   187
02.12.2003 19:45:00;   165
01.01.2004 00:00:00;   154
01.02.2004 00:00:00;   148
22.03.2004 01:15:00;   167
24.04.2004 03:00:00;   189
22.05.2004 01:15:00;   218
28.06.2004 20:45:00;   301
09.07.2004 04:45:00;   321
10.08.2004 19:00:00;   264
06.09.2004 19:30:00;   242
27.10.2004 17:15:00;   206
02.11.2004 03:00:00;   239
01.12.2004 00:00:00;   165
01.01.2005 00:00:00;   155
01.02.2005 00:00:00;   151
25.03.2005 01:00:00;   169
30.04.2005 23:45:00;   189
29.05.2005 21:00:00;   277
25.06.2005 20:30:00;   280
29.07.2005 18:15:00;   292
23.08.2005 11:00:00;   323
02.09.2005 19:30:00;   252
02.10.2005 08:30:00;   201
02.11.2005 01:00:00;   168
01.12.2005 00:00:00;   155
01.01.2006 00:00:00;   152
01.02.2006 00:00:00;   150
27.03.2006 23:15:00;   170
27.04.2006 00:45:00;   196
19.05.2006 03:15:00;   275
25.06.2006 21:45:00;   320
20.07.2006 18:30:00;   295
02.08.2006 17:45:00;   285
15.09.2006 16:15:00;   289
04.10.2006 01:30:00;   267
01.11.2006 03:00:00;   170
01.12.2006 22:45:55;   157
19.01.2007 18:15:00;   162
28.02.2007 14:02:00;   147
22.03.2007 20:51:20;   155
30.04.2007 00:00:00;   200
25.05.2007 22:00:00;   253
20.06.2007 19:11:30;   276
18.07.2007 18:30:00;   293
09.08.2007 05:45:00;   286
02.09.2007 20:00:00;   233
06.10.2007 21:45:00;   206
01.11.2007 21:30:00;   165
08.12.2007 01:45:00;   158
06.01.2008 13:53:35;   151
27.02.2008 03:30:00;   147
01.03.2008 22:00:00;   150
29.04.2008 00:00:00;   178
29.05.2008 21:15:00;   310
25.06.2008 20:15:00;   301
13.07.2008 14:00:00;   306
06.08.2008 23:45:00;   289
10.09.2008 21:00:00;   258
30.10.2008 05:30:00;   183
05.11.2008 06:15:00;   193
01.12.2008 05:15:00;   152
01.01.2009 00:00:00;   142
28.02.2009 23:59:55;   140
29.03.2009 03:00:00;   144
15.04.2009 21:45:00;   180
24.05.2009 21:00:00;   289
20.06.2009 00:45:00;   300
23.07.2009 19:45:00;   290
18.08.2009 18:15:00;   268
04.09.2009 19:15:00;   256
07.10.2009 19:00:00;   210
30.11.2009 18:15:00;   169
01.12.2009 00:00:00;   165
01.01.2010 00:00:00;   144
01.02.2010 00:00:00;   141
25.03.2010 01:00:00;   155
30.04.2010 23:59:55;   196
27.05.2010 01:30:00;   235
11.06.2010 22:30:00;   311
23.07.2010 20:28:45;   316
15.08.2010 03:10:25;   379
09.09.2010 01:30:00;   228
05.10.2010 18:00:00;   211
02.11.2010 19:45:00;   182
28.12.2010 19:15:00;   167
02.01.2011 16:45:00;   163
03.02.2011 18:00:00;   161
31.03.2011 02:15:00;   160
27.04.2011 00:15:00;   188
27.05.2011 18:45:00;   269
18.06.2011 21:00:00;   294
14.07.2011 01:45:00;   305
26.08.2011 21:00:00;   303
04.09.2011 20:30:00;   325
10.10.2011 18:45:00;   232
05.11.2011 23:00:00;   180
01.12.2011 00:15:00;   159
17.01.2012 15:30:00;   159
25.02.2012 19:00:00;   153
29.03.2012 01:00:00;   173
29.04.2012 21:00:00;   219
24.05.2012 01:15:00;   253
22.06.2012 02:00:00;   303
02.07.2012 23:30:00;   355
26.08.2012 02:30:00;   347
27.09.2012 06:00:00;   255
01.10.2012 00:00:00;   206
11.11.2012 17:30:00;   202
01.12.2012 23:30:00;   163
05.01.2013 18:45:00;   161
11.02.2013 16:15:00;   156
11.03.2013 01:15:00;   155
30.04.2013 21:30:00;   219
02.05.2013 19:45:00;   233
20.06.2013 22:00:00;   323
29.07.2013 17:00:00;   292
19.08.2013 19:30:00;   298
09.09.2013 06:45:00;   262
24.10.2013 01:45:00;   246
03.11.2013 14:00:00;   189
03.12.2013 14:45:00;   166
01.01.2014 18:15:00;   159
01.02.2014 17:45:00;   160
21.03.2014 01:30:00;   167
30.04.2014 23:30:00;   193
23.05.2014 20:30:00;   266
11.06.2014 21:00:00;   298
31.07.2014 09:00:00;   305
13.08.2014 15:30:00;   382
01.09.2014 00:00:00;   241
01.10.2014 21:00:00;   206
06.11.2014 02:00:00;   210
01.12.2014 15:00:00;   169
10.01.2015 10:00:00;   163
10.02.2015 16:15:00;   157
31.03.2015 22:15:00;   160
28.04.2015 00:45:00;   184
19.05.2015 22:57:45;   248
08.06.2015 08:00:00;   307
17.07.2015 22:00:00;   292
05.08.2015 18:45:00;   278
17.09.2015 21:45:00;   263
07.10.2015 10:00:00;   195
01.11.2015 00:00:00;   172
01.12.2015 23:15:00;   159
23.01.2016 16:30:00;   159
22.02.2016 03:00:00;   154
31.03.2016 23:59:55;   159
23.04.2016 20:45:00;   184
29.05.2016 20:15:00;   265
27.06.2016 02:15:00;   307
12.07.2016 22:45:00;   332
05.08.2016 07:45:00;   323
02.09.2016 18:15:00;   254
14.10.2016 22:15:00;   224
01.11.2016 00:15:00;   162
01.12.2016 23:15:00;   155
02.01.2017 19:00:00;   151
23.02.2017 18:45:00;   146
31.03.2017 23:59:55;   165
11.04.2017 01:15:00;   167
30.05.2017 23:45:00;   268
25.06.2017 11:15:00;   326
31.07.2017 18:00:00;   285
10.08.2017 21:45:00;   362
01.09.2017 12:30:00;   278
03.10.2017 18:45:00;   207
05.11.2017 21:45:00;   171
04.12.2017 21:30:00;   161
09.01.2018 11:30:00;   166
15.02.2018 22:00:00;   154
31.03.2018 23:59:55;   149
24.04.2018 23:15:00;   230
29.05.2018 22:30:00;   270
11.06.2018 22:00:00;   282
03.07.2018 19:30:00;   281
02.08.2018 01:45:00;   301
24.09.2018 03:30:00;   264
29.10.2018 23:45:00;   285
01.11.2018 13:00:00;   186
24.12.2018 10:45:00;   172
26.01.2019 12:15:00;   155
28.02.2019 23:59:55;   155
25.03.2019 01:45:00;   163
26.04.2019 22:00:00;   198
28.05.2019 20:30:00;   225
12.06.2019 09:20:30;   373
01.07.2019 20:45:00;   308
12.08.2019 22:00:00;   316
01.09.2019 21:00:00;   248
21.10.2019 15:30:00;   200
05.11.2019 08:45:00;   183
02.12.2019 05:30:00;   169
01.01.2020 00:00:00;   160
04.02.2020 07:00:00;   169
21.03.2020 00:15:00;   170
22.04.2020 00:01:00;   200
23.05.2020 23:30:00;   258
29.06.2020 20:15:00;   276
02.07.2020 23:30:00;   284
30.08.2020 11:15:00;   325
07.09.2020 00:30:00;   247
03.10.2020 14:00:00;   328
02.11.2020 21:00:00;   190
06.12.2020 20:00:00;   178
29.01.2021 00:45:00;   169
27.02.2021 04:15:00;   158
31.03.2021 23:59:55;   173
30.04.2021 23:00:00;   191
11.05.2021 21:00:00;   218
21.06.2021 20:15:00;   317
08.07.2021 23:15:00;   353
16.08.2021 20:45:00;   302
17.09.2021 01:45:00;   251
05.10.2021 05:15:00;   269
01.11.2021 19:45:00;   172
01.12.2021 22:30:00;   156
