Messstelle:                ;Kössen-Hütte
01.12.1968 00:00:00;   105
27.01.1969 07:00:00;   108
28.02.1969 07:00:00;   114
16.03.1969 07:00:00;   140
28.04.1969 07:00:00;   160
01.05.1969 07:00:00;   155
08.06.1969 07:00:00;   159
13.07.1969 07:00:00;   228
18.08.1969 07:00:00;   226
01.09.1969 00:00:00;   124
01.10.1969 07:00:00;   113
13.11.1969 07:00:00;   108
02.12.1969 07:00:00;   104
12.01.1970 14:00:00;   115
23.02.1970 14:00:00;   165
23.03.1970 14:00:00;   117
19.04.1970 14:00:00;   200
09.05.1970 14:00:00;   210
02.06.1970 14:00:00;   252
25.07.1970 14:00:00;   248
10.08.1970 14:00:00;   329
06.09.1970 14:00:00;   228
05.10.1970 14:00:00;   188
04.11.1970 14:00:00;   131
04.12.1970 14:00:00;   140
01.01.1971 00:00:00;   104
01.02.1971 00:00:00;    99
22.03.1971 14:00:00;   146
08.04.1971 14:00:00;   144
01.05.1971 00:00:00;   128
20.06.1971 14:00:00;   230
01.07.1971 14:00:00;   142
31.08.1971 14:00:00;   162
01.09.1971 00:00:00;   149
01.10.1971 00:00:00;   134
19.11.1971 14:00:00;    98
21.12.1971 14:00:00;   144
01.01.1972 00:00:00;   101
13.02.1972 08:00:00;    96
18.03.1972 08:00:00;   104
02.04.1972 08:00:00;   152
02.05.1972 08:00:00;   158
01.06.1972 08:00:00;   154
11.07.1972 08:00:00;   167
04.08.1972 08:00:00;   178
11.09.1972 08:00:00;   112
29.10.1972 08:00:00;   165
17.11.1972 08:00:00;   199
05.12.1972 08:00:00;   120
01.01.1973 00:00:00; Lücke
01.02.1973 00:00:00; Lücke
01.03.1973 00:00:00; Lücke
01.04.1973 00:00:00; Lücke
01.05.1973 00:00:00; Lücke
01.06.1973 00:00:00; Lücke
01.07.1973 00:00:00; Lücke
01.08.1973 00:00:00; Lücke
01.09.1973 00:00:00; Lücke
01.10.1973 00:00:00; Lücke
01.11.1973 00:00:00; Lücke
01.12.1973 00:00:00; Lücke
01.01.1974 00:00:00; Lücke
01.02.1974 00:00:00; Lücke
01.03.1974 00:00:00; Lücke
01.04.1974 00:00:00; Lücke
01.05.1974 00:00:00; Lücke
01.06.1974 00:00:00; Lücke
01.07.1974 00:00:00; Lücke
01.08.1974 00:00:00; Lücke
01.09.1974 00:00:00; Lücke
01.10.1974 00:00:00; Lücke
01.11.1974 00:00:00; Lücke
01.12.1974 00:00:00; Lücke
01.01.1975 00:00:00; Lücke
01.02.1975 00:00:00; Lücke
01.03.1975 00:00:00; Lücke
01.04.1975 00:00:00; Lücke
01.05.1975 00:00:00; Lücke
01.06.1975 00:00:00; Lücke
01.07.1975 00:00:00; Lücke
01.08.1975 00:00:00; Lücke
01.09.1975 00:00:00; Lücke
01.10.1975 00:00:00; Lücke
01.11.1975 00:00:00; Lücke
01.12.1975 00:00:00; Lücke
01.01.1976 00:00:00; Lücke
01.02.1976 00:00:00; Lücke
01.03.1976 00:00:00; Lücke
01.04.1976 00:00:00; Lücke
01.05.1976 00:00:00; Lücke
01.06.1976 00:00:00; Lücke
01.07.1976 00:00:00; Lücke
01.08.1976 00:00:00; Lücke
01.09.1976 00:00:00; Lücke
01.10.1976 00:00:00; Lücke
01.11.1976 00:00:00; Lücke
01.12.1976 00:00:00; Lücke
01.01.1977 00:00:00; Lücke
01.02.1977 00:00:00; Lücke
01.03.1977 00:00:00; Lücke
01.04.1977 00:00:00; Lücke
01.05.1977 00:00:00; Lücke
01.06.1977 00:00:00; Lücke
01.07.1977 00:00:00; Lücke
01.08.1977 00:00:00; Lücke
01.09.1977 00:00:00; Lücke
01.10.1977 00:00:00; Lücke
01.11.1977 00:00:00; Lücke
01.12.1977 00:00:00; Lücke
01.01.1978 00:00:00; Lücke
01.02.1978 00:00:00; Lücke
01.03.1978 00:00:00; Lücke
01.04.1978 00:00:00; Lücke
01.05.1978 00:00:00; Lücke
01.06.1978 00:00:00; Lücke
01.07.1978 00:00:00; Lücke
01.08.1978 00:00:00; Lücke
01.09.1978 00:00:00; Lücke
01.10.1978 00:00:00; Lücke
01.11.1978 00:00:00; Lücke
01.12.1978 00:00:00; Lücke
01.01.1979 00:00:00; Lücke
01.02.1979 00:00:00; Lücke
01.03.1979 00:00:00; Lücke
01.04.1979 00:00:00; Lücke
01.05.1979 00:00:00; Lücke
01.06.1979 00:00:00; Lücke
01.07.1979 00:00:00; Lücke
01.08.1979 00:00:00; Lücke
01.09.1979 00:00:00; Lücke
01.10.1979 00:00:00; Lücke
01.11.1979 00:00:00; Lücke
01.12.1979 00:00:00; Lücke
01.01.1980 00:00:00; Lücke
01.02.1980 00:00:00; Lücke
01.03.1980 00:00:00; Lücke
01.04.1980 00:00:00; Lücke
01.05.1980 00:00:00; Lücke
01.06.1980 00:00:00; Lücke
01.07.1980 00:00:00; Lücke
01.08.1980 00:00:00; Lücke
01.09.1980 00:00:00; Lücke
01.10.1980 00:00:00; Lücke
01.11.1980 00:00:00; Lücke
01.12.1980 00:00:00; Lücke
01.01.1981 00:00:00; Lücke
01.02.1981 00:00:00; Lücke
01.03.1981 00:00:00; Lücke
01.04.1981 00:00:00; Lücke
01.05.1981 00:00:00; Lücke
01.06.1981 00:00:00; Lücke
01.07.1981 00:00:00; Lücke
01.08.1981 00:00:00; Lücke
01.09.1981 00:00:00; Lücke
01.10.1981 00:00:00; Lücke
01.11.1981 00:00:00; Lücke
01.12.1981 00:00:00; Lücke
01.01.1982 00:00:00; Lücke
01.02.1982 00:00:00; Lücke
01.03.1982 00:00:00; Lücke
01.04.1982 00:00:00; Lücke
01.05.1982 00:00:00; Lücke
01.06.1982 00:00:00; Lücke
01.07.1982 00:00:00; Lücke
01.08.1982 00:00:00; Lücke
01.09.1982 00:00:00; Lücke
01.10.1982 00:00:00; Lücke
01.11.1982 00:00:00; Lücke
01.12.1982 00:00:00; Lücke
01.01.1983 00:00:00; Lücke
01.02.1983 00:00:00; Lücke
01.03.1983 00:00:00; Lücke
01.04.1983 00:00:00; Lücke
01.05.1983 00:00:00; Lücke
01.06.1983 00:00:00; Lücke
01.07.1983 00:00:00; Lücke
01.08.1983 00:00:00; Lücke
01.09.1983 00:00:00; Lücke
01.10.1983 00:00:00; Lücke
01.11.1983 00:00:00; Lücke
01.12.1983 00:00:00; Lücke
01.01.1984 00:00:00; Lücke
01.02.1984 00:00:00; Lücke
01.03.1984 00:00:00; Lücke
01.04.1984 00:00:00; Lücke
01.05.1984 00:00:00; Lücke
01.06.1984 00:00:00; Lücke
01.07.1984 00:00:00; Lücke
01.08.1984 00:00:00; Lücke
01.09.1984 00:00:00; Lücke
01.10.1984 00:00:00; Lücke
01.11.1984 00:00:00; Lücke
01.12.1984 00:00:00; Lücke
01.01.1985 00:00:00; Lücke
01.02.1985 00:00:00; Lücke
01.03.1985 00:00:00; Lücke
01.04.1985 00:00:00; Lücke
01.05.1985 00:00:00; Lücke
01.06.1985 00:00:00; Lücke
01.07.1985 00:00:00; Lücke
01.08.1985 00:00:00; Lücke
01.09.1985 00:00:00; Lücke
01.10.1985 00:00:00; Lücke
01.11.1985 00:00:00; Lücke
01.12.1985 00:00:00; Lücke
01.01.1986 00:00:00; Lücke
01.02.1986 00:00:00; Lücke
01.03.1986 00:00:00; Lücke
01.04.1986 00:00:00; Lücke
01.05.1986 00:00:00; Lücke
01.06.1986 00:00:00; Lücke
01.07.1986 00:00:00; Lücke
01.08.1986 00:00:00; Lücke
01.09.1986 00:00:00; Lücke
01.10.1986 00:00:00; Lücke
01.11.1986 00:00:00; Lücke
01.12.1986 00:00:00; Lücke
01.01.1987 00:00:00; Lücke
01.02.1987 00:00:00; Lücke
01.03.1987 00:00:00; Lücke
01.04.1987 00:00:00; Lücke
01.05.1987 00:00:00; Lücke
01.06.1987 00:00:00; Lücke
01.07.1987 00:00:00; Lücke
01.08.1987 00:00:00; Lücke
01.09.1987 00:00:00; Lücke
01.10.1987 00:00:00; Lücke
01.11.1987 00:00:00; Lücke
01.12.1987 00:00:00; Lücke
01.01.1988 00:00:00; Lücke
01.02.1988 00:00:00; Lücke
01.03.1988 00:00:00; Lücke
01.04.1988 00:00:00; Lücke
01.05.1988 00:00:00; Lücke
01.06.1988 00:00:00; Lücke
01.07.1988 00:00:00; Lücke
01.08.1988 00:00:00; Lücke
01.09.1988 00:00:00; Lücke
01.10.1988 00:00:00; Lücke
01.11.1988 00:00:00; Lücke
01.12.1988 00:00:00; Lücke
01.01.1989 00:00:00; Lücke
01.02.1989 00:00:00; Lücke
01.03.1989 00:00:00; Lücke
01.04.1989 00:00:00; Lücke
01.05.1989 00:00:00; Lücke
01.06.1989 00:00:00; Lücke
01.07.1989 00:00:00; Lücke
01.08.1989 00:00:00; Lücke
01.09.1989 00:00:00; Lücke
01.10.1989 00:00:00; Lücke
01.11.1989 00:00:00; Lücke
01.12.1989 00:00:00; Lücke
01.01.1990 00:00:00; Lücke
01.02.1990 00:00:00; Lücke
01.03.1990 00:00:00; Lücke
01.04.1990 00:00:00; Lücke
01.05.1990 00:00:00; Lücke
01.06.1990 00:00:00; Lücke
01.07.1990 00:00:00; Lücke
01.08.1990 00:00:00; Lücke
01.09.1990 00:00:00; Lücke
01.10.1990 00:00:00; Lücke
01.11.1990 00:00:00; Lücke
01.12.1990 00:00:00; Lücke
01.01.1991 00:00:00; Lücke
01.02.1991 00:00:00; Lücke
01.03.1991 00:00:00; Lücke
01.04.1991 00:00:00; Lücke
01.05.1991 00:00:00; Lücke
01.06.1991 00:00:00; Lücke
01.07.1991 00:00:00; Lücke
01.08.1991 00:00:00; Lücke
01.09.1991 00:00:00; Lücke
01.10.1991 00:00:00; Lücke
01.11.1991 00:00:00; Lücke
01.12.1991 00:00:00; Lücke
01.01.1992 00:00:00; Lücke
01.02.1992 00:00:00; Lücke
01.03.1992 00:00:00; Lücke
01.04.1992 00:00:00; Lücke
01.05.1992 00:00:00; Lücke
01.06.1992 00:00:00; Lücke
01.07.1992 00:00:00; Lücke
01.08.1992 00:00:00; Lücke
01.09.1992 00:00:00; Lücke
01.10.1992 00:00:00; Lücke
01.11.1992 00:00:00; Lücke
01.12.1992 00:00:00; Lücke
08.01.1993 18:00:00;   168
09.02.1993 00:00:00;   102
23.03.1993 01:45:00;   198
28.04.1993 21:00:00;   180
03.05.1993 11:15:00;   175
27.06.1993 19:15:00;   225
28.07.1993 11:00:00;   264
28.08.1993 11:15:00;   193
14.09.1993 12:15:00;   186
03.10.1993 01:30:00;   164
12.11.1993 06:30:00;   106
20.12.1993 18:45:00;   163
26.01.1994 01:30:00;   160
28.02.1994 23:59:55;   122
13.03.1994 04:15:00;   186
18.04.1994 03:00:00;   244
05.05.1994 01:45:00;   240
09.06.1994 15:45:00;   213
06.07.1994 22:45:00;   188
20.08.1994 00:00:00;   164
03.09.1994 11:15:00;   140
04.10.1994 00:00:00;   123
20.11.1994 08:15:00;   211
11.12.1994 13:00:00;   156
26.01.1995 03:15:00;   136
18.02.1995 06:15:00;   133
27.03.1995 21:15:00;   148
06.04.1995 16:30:00;   243
08.05.1995 19:30:00;   189
26.06.1995 03:30:00;   355
15.07.1995 03:15:00;   213
29.08.1995 12:00:00;   306
01.09.1995 16:15:00;   234
02.10.1995 04:00:00;   155
17.11.1995 22:15:00;   142
25.12.1995 23:45:00;   128
11.01.1996 22:45:00;   111
01.02.1996 20:45:00;    90
27.03.1996 06:30:00;   155
28.04.1996 15:45:00;   162
28.05.1996 09:45:00;   246
13.06.1996 10:30:00;   194
11.07.1996 03:30:00;   270
25.08.1996 02:15:00;   193
14.09.1996 14:00:00;   243
21.10.1996 20:00:00;   299
01.11.1996 20:45:00;   188
21.12.1996 08:30:00;   104
01.01.1997 00:00:05;    84
26.02.1997 20:15:00;   118
18.03.1997 04:15:00;   181
06.04.1997 11:30:00;   231
06.05.1997 23:00:00;   178
20.06.1997 02:15:00;   240
06.07.1997 06:45:00;   328
01.08.1997 01:30:00;   162
14.09.1997 00:00:00;   123
01.10.1997 20:30:00;   169
09.11.1997 02:00:00;   109
12.12.1997 09:15:00;   151
04.01.1998 07:15:00;   100
17.02.1998 20:30:00;   114
31.03.1998 21:00:00;   168
02.04.1998 11:45:00;   179
10.05.1998 20:45:00;   141
13.06.1998 06:45:00;   185
22.07.1998 22:30:00;   210
23.08.1998 05:15:00;   163
05.09.1998 19:45:00;   232
15.10.1998 02:15:00;   141
10.11.1998 21:00:00;   234
15.12.1998 10:15:00;   152
09.01.1999 00:00:00;   111
21.02.1999 06:00:00;   143
27.03.1999 22:30:00;   166
30.04.1999 10:15:00;   226
21.05.1999 16:30:00;   294
22.06.1999 14:15:00;   181
24.07.1999 03:15:00;   196
20.08.1999 09:15:00;   158
02.09.1999 01:45:00;   181
01.10.1999 02:45:00;   179
09.11.1999 22:15:00;   106
19.12.1999 16:00:00;    99
31.01.2000 03:00:00;   176
09.02.2000 08:15:00;   179
10.03.2000 12:30:00;   246
23.04.2000 19:30:00;   217
01.05.2000 18:45:00;   200
07.06.2000 03:30:00;   145
11.07.2000 12:15:00;   186
06.08.2000 20:45:00;   235
07.09.2000 23:30:00;   229
03.10.2000 00:30:00;   170
07.11.2000 04:45:00;   140
01.12.2000 00:00:00;    87
08.01.2001 01:24:40;    86
08.02.2001 21:45:00;   110
23.03.2001 23:15:00;   187
25.04.2001 22:00:00;   162
01.05.2001 21:00:00;   168
19.06.2001 09:48:35;   290
20.07.2001 14:15:00;   204
10.08.2001 16:45:00;   211
06.09.2001 06:15:00;   247
01.10.2001 00:00:00;   103
30.11.2001 23:59:55;    97
06.12.2001 18:15:00;   197
28.01.2002 02:00:00;   196
28.02.2002 17:30:00;   117
20.03.2002 14:15:00;   298
24.04.2002 11:15:00;   223
19.05.2002 02:00:00;   182
07.06.2002 10:45:00;   215
17.07.2002 12:30:00;   234
12.08.2002 11:30:00;   379
27.09.2002 23:30:00;   212
18.10.2002 01:15:00;   197
11.11.2002 20:45:00;   166
23.12.2002 03:00:00;   161
01.01.2003 09:45:00;   120
28.02.2003 23:59:55;    77
31.03.2003 00:00:00;   146
30.04.2003 21:15:00;   148
14.05.2003 01:30:00;   161
18.06.2003 13:30:00;   136
17.07.2003 19:45:00;   168
31.08.2003 15:00:00;   137
12.09.2003 15:30:00;   255
09.10.2003 09:00:00;   280
02.11.2003 09:15:00;   103
14.12.2003 19:15:00;    86
14.01.2004 08:30:00;   121
03.02.2004 06:45:00;   111
22.03.2004 01:45:00;   181
24.04.2004 05:15:00;   149
16.05.2004 10:30:00;   219
03.06.2004 23:15:00;   232
09.07.2004 08:00:00;   157
26.08.2004 07:45:00;   227
24.09.2004 04:45:00;   212
01.10.2004 23:45:00;   133
24.11.2004 00:00:00;   127
01.12.2004 05:00:00;    81
21.01.2005 12:30:00;   109
13.02.2005 10:15:00;    94
20.03.2005 01:15:00;   202
26.04.2005 09:15:00;   190
19.05.2005 00:30:00;   196
25.06.2005 23:15:00;   187
11.07.2005 15:30:00;   338
16.08.2005 11:00:00;   317
17.09.2005 05:30:00;   149
02.10.2005 14:15:00;   142
02.11.2005 02:00:00;    74
17.12.2005 00:45:00;    80
02.01.2006 17:45:00;    70
21.02.2006 22:30:00;    79
27.03.2006 20:45:00;   194
29.04.2006 00:45:00;   196
28.05.2006 21:00:00;   181
23.06.2006 01:00:00;   187
07.07.2006 23:45:00;   171
07.08.2006 08:45:00;   361
19.09.2006 04:15:00;   178
04.10.2006 21:45:00;   145
14.11.2006 16:30:00;   193
05.12.2006 10:45:00;    89
19.01.2007 20:00:00;   149
28.02.2007 21:15:00;   119
02.03.2007 06:45:00;   146
13.04.2007 22:15:00;   115
09.05.2007 09:30:00;   186
01.06.2007 22:45:00;   152
09.07.2007 23:15:00;   236
30.08.2007 09:30:00;   197
07.09.2007 04:00:00;   274
27.10.2007 02:45:00;    95
12.11.2007 00:45:00;   137
08.12.2007 10:45:00;   114
22.01.2008 19:00:00;    94
29.02.2008 22:30:00;   106
15.03.2008 01:30:00;   181
22.04.2008 09:30:00;   210
10.05.2008 21:15:00;   146
07.06.2008 10:15:00;   171
23.07.2008 05:15:00;   222
16.08.2008 11:30:00;   207
26.09.2008 04:30:00;    93
03.10.2008 18:15:00;   122
21.11.2008 19:45:00;   121
21.12.2008 22:45:00;   187
01.01.2009 00:00:00;    75
28.02.2009 23:59:55;    71
29.03.2009 02:45:00;   118
09.04.2009 20:15:00;   196
14.05.2009 01:00:00;   192
24.06.2009 09:15:00;   265
18.07.2009 11:00:00;   241
04.08.2009 08:30:00;   218
03.09.2009 02:00:00;   205
22.10.2009 22:15:00;   134
04.11.2009 19:30:00;   128
25.12.2009 17:15:00;   138
01.01.2010 00:00:00;    83
26.02.2010 15:28:05;   100
26.03.2010 22:28:05;   171
26.04.2010 00:28:05;   155
31.05.2010 19:03:30;   206
03.06.2010 03:45:00;   392
24.07.2010 21:00:00;   211
31.08.2010 16:45:00;   265
01.09.2010 00:00:00;   210
29.10.2010 22:30:00;    93
13.11.2010 02:15:00;    92
24.12.2010 00:15:00;   102
13.01.2011 23:30:00;   273
12.02.2011 16:00:00;   101
18.03.2011 12:15:00;   148
04.04.2011 19:30:00;   117
27.05.2011 20:00:00;   229
18.06.2011 22:45:00;   217
21.07.2011 01:45:00;   185
08.08.2011 22:45:00;   199
05.09.2011 17:00:00;   157
10.10.2011 17:15:00;   313
01.11.2011 04:45:00;    77
24.12.2011 00:00:00;    75
01.01.2012 13:45:00;   123
26.02.2012 10:30:00;    98
30.03.2012 10:15:00;   186
28.04.2012 20:15:00;   175
29.05.2012 08:30:00;   186
04.06.2012 13:45:00;   207
21.07.2012 00:45:00;   152
04.08.2012 20:15:00;   271
01.09.2012 00:00:00;   172
10.10.2012 00:45:00;   165
05.11.2012 06:30:00;   164
23.12.2012 11:15:00;   153
05.01.2013 07:38:50;   301
02.02.2013 14:00:00;   114
10.03.2013 00:30:00;   145
17.04.2013 18:15:00;   176
31.05.2013 21:15:00;   212
02.06.2013 10:30:00;   468
05.07.2013 08:30:00;   160
28.08.2013 12:00:00;   211
19.09.2013 07:30:00;   223
30.10.2013 14:45:00;   135
06.11.2013 22:00:00;   191
27.12.2013 00:08:50;   113
10.01.2014 11:23:50;   108
08.02.2014 02:38:10;   126
16.03.2014 21:23:10;   124
06.04.2014 07:00:00;   137
28.05.2014 02:30:00;   178
30.06.2014 02:15:00;   135
31.07.2014 11:15:00;   297
01.08.2014 00:00:00;   191
01.09.2014 12:30:00;   206
23.10.2014 13:15:00;   171
01.11.2014 22:30:00;   138
19.12.2014 05:15:00;   127
10.01.2015 05:30:00;   216
24.02.2015 17:30:00;   101
30.03.2015 16:15:00;   185
18.04.2015 00:45:00;   186
23.05.2015 23:00:00;   197
23.06.2015 09:45:00;   178
27.07.2015 13:00:00;   141
02.08.2015 14:45:00;   145
04.09.2015 02:45:00;   155
08.10.2015 05:00:00;   152
21.11.2015 07:43:35;   118
01.12.2015 14:00:00;   176
31.01.2016 23:59:55;   126
01.02.2016 08:15:00;   281
31.03.2016 21:45:00;   142
18.04.2016 05:15:00;   164
28.05.2016 19:15:00;   171
15.06.2016 07:00:00;   201
14.07.2016 10:15:00;   210
05.08.2016 17:45:00;   212
17.09.2016 14:45:00;   164
20.10.2016 07:30:00;   129
17.11.2016 01:45:00;   147
27.12.2016 04:30:00;   113
31.01.2017 23:45:00;   110
22.02.2017 00:45:00;   179
19.03.2017 09:00:00;   227
04.04.2017 05:15:00;   136
08.05.2017 22:30:00;   176
30.06.2017 09:00:00;   160
26.07.2017 17:30:00;   239
06.08.2017 18:45:00;   218
03.09.2017 10:45:00;   217
29.10.2017 19:00:00;   184
12.11.2017 08:15:00;   163
31.12.2017 07:30:00;   129
05.01.2018 02:00:00;   183
01.02.2018 00:00:00;   114
12.03.2018 21:00:00;   148
24.04.2018 06:45:00;   179
15.05.2018 07:45:00;   185
28.06.2018 20:30:00;   154
06.07.2018 21:15:00;   229
26.08.2018 07:00:00;   182
24.09.2018 04:30:00;   176
24.10.2018 15:15:00;   164
01.11.2018 00:00:00;   110
24.12.2018 09:45:00;   258
14.01.2019 09:15:00;   121
22.02.2019 16:00:00;   159
16.03.2019 19:30:00;   176
26.04.2019 19:30:00;   189
21.05.2019 06:45:00;   245
03.06.2019 20:30:00;   168
29.07.2019 05:15:00;   310
24.08.2019 21:00:00;   173
06.09.2019 00:15:00;   143
05.10.2019 17:45:00;   178
17.11.2019 16:15:00;   279
25.12.2019 19:15:00;   146
31.01.2020 23:59:55;   106
03.02.2020 14:00:00;   231
21.03.2020 07:00:00;   150
14.04.2020 03:30:00;   136
05.05.2020 20:15:00;   140
29.06.2020 13:45:00;   209
03.07.2020 04:00:00;   245
04.08.2020 08:00:00;   289
25.09.2020 19:00:00;   189
30.10.2020 00:00:00;   170
04.11.2020 05:45:00;   125
06.12.2020 10:45:00;   176
29.01.2021 21:15:00;   117
08.02.2021 02:45:00;   131
31.03.2021 21:45:00;   139
02.04.2021 03:00:00;   144
23.05.2021 13:00:00;   155
09.06.2021 23:30:00;   173
17.07.2021 20:30:00;   318
30.08.2021 14:00:00;   236
20.09.2021 05:30:00;   167
06.10.2021 13:30:00;   121
02.11.2021 01:30:00;   115
30.12.2021 06:15:00;   189
01.01.2022 00:00:00;   133
