Messstelle:                ;Apetlon Staatsgrenzpunkt (A79)
16.05.2010 02:40:00;   209
22.06.2010 10:40:00;   202
18.07.2010 14:15:00;   195
31.08.2010 23:30:00;   201
01.09.2010 00:25:00;   202
25.10.2010 20:05:00;   192
24.11.2010 00:00:00;   183
13.12.2010 15:55:00;   186
22.01.2011 14:15:00;   177
12.02.2011 10:00:00;   184
20.03.2011 02:00:00;   195
09.04.2011 17:35:00;   198
03.05.2011 20:55:00;   196
02.06.2011 10:30:00;   181
01.07.2011 00:00:00;   173
27.08.2011 20:30:00;   184
20.09.2011 15:00:00;   173
09.10.2011 16:45:00;   169
10.11.2011 14:00:00;   161
25.12.2011 01:00:00;   171
06.01.2012 13:45:00;   188
29.02.2012 05:00:00;   181
11.03.2012 17:30:00;   185
08.04.2012 16:15:00;   181
12.05.2012 19:45:00;   185
05.06.2012 16:00:00;   176
22.07.2012 15:15:00;   165
11.08.2012 13:45:00;   162
13.09.2012 14:35:00;   162
27.10.2012 23:25:00;   168
30.11.2012 04:35:00;   162
03.12.2012 13:40:00;   170
18.01.2013 07:50:00;   177
27.02.2013 00:25:00;   183
14.03.2013 23:35:00;   224
03.04.2013 08:20:00;   196
13.05.2013 10:15:00;   194
03.06.2013 11:50:00;   192
05.07.2013 17:10:00;   178
10.08.2013 09:25:00;   171
23.09.2013 14:55:00;   168
16.10.2013 16:10:00;   172
25.11.2013 14:25:00;   194
07.12.2013 15:10:00;   181
25.01.2014 11:50:00;   189
23.02.2014 15:55:00;   178
19.03.2014 16:15:05;   193
16.04.2014 19:55:00;   193
04.05.2014 10:50:00;   210
12.06.2014 10:35:00;   183
31.07.2014 18:15:00;   178
06.08.2014 12:35:00;   183
23.09.2014 12:40:00;   200
23.10.2014 19:05:00;   211
20.11.2014 10:15:00;   183
28.12.2014 22:40:00;   208
24.01.2015 07:30:00;   200
25.02.2015 12:40:00;   193
28.03.2015 11:25:00;   197
28.04.2015 23:20:00;   200
27.05.2015 13:05:00;   194
04.06.2015 10:30:00;   184
13.07.2015 07:40:00;   176
20.08.2015 07:25:00;   163
20.09.2015 13:00:00;   168
20.10.2015 07:00:00;   170
26.11.2015 20:30:00;   172
01.12.2015 17:30:00;   171
17.01.2016 16:50:00;   173
24.02.2016 01:35:00;   188
04.03.2016 03:00:00;   190
24.04.2016 12:05:00;   202
04.05.2016 16:25:00;   193
27.06.2016 13:40:00;   183
16.07.2016 11:30:00;   188
22.08.2016 13:35:00;   173
06.09.2016 11:10:00;   175
04.10.2016 17:05:00;   173
13.11.2016 11:25:00;   178
02.12.2016 11:00:00;   182
05.01.2017 16:25:00;   167
24.02.2017 09:30:00;   173
10.03.2017 15:20:00;   184
20.04.2017 13:55:00;   203
20.05.2017 20:10:00;   183
17.06.2017 14:55:00;   178
13.07.2017 10:40:00;   163
12.08.2017 18:00:00;   158
20.09.2017 13:45:00;   164
30.10.2017 00:10:00;   165
13.11.2017 13:40:00;   167
29.12.2017 02:55:00;   171
17.01.2018 17:55:00;   166
24.02.2018 19:55:00;   177
18.03.2018 02:20:00;   175
01.04.2018 13:25:00;   180
15.05.2018 07:55:00;   173
18.06.2018 12:25:00;   173
07.07.2018 09:30:00;   164
10.08.2018 22:25:00;   156
24.09.2018 06:45:00;   166
24.10.2018 11:30:00;   156
27.11.2018 23:00:00;   174
24.12.2018 16:05:00;   172
03.01.2019 05:00:00;   179
22.02.2019 18:30:00;   197
25.03.2019 19:10:00;   175
11.04.2019 20:05:00;   176
13.05.2019 14:40:00;   187
08.06.2019 12:55:00;   173
28.07.2019 18:35:00;   168
21.08.2019 10:40:00;   152
18.09.2019 10:35:00;   148
03.10.2019 13:20:00;   150
20.11.2019 16:55:00;   148
28.12.2019 17:25:00;   167
05.01.2020 14:30:00;   165
05.02.2020 17:05:00;   193
23.03.2020 18:05:00;   173
14.04.2020 14:10:00;   165
12.05.2020 08:40:00;   161
02.06.2020 16:00:00;   147
11.07.2020 19:10:00;   151
05.08.2020 06:25:00;   146
28.09.2020 04:15:00;   141
13.10.2020 12:25:00;   160
05.11.2020 13:10:00;   153
26.12.2020 14:25:00;   154
30.01.2021 19:40:00;   159
11.02.2021 12:45:00;   184
16.03.2021 15:25:00;   176
12.04.2021 20:00:00;   185
02.05.2021 16:05:00;   164
13.06.2021 19:45:00;   174
17.07.2021 04:55:00;   148
05.08.2021 08:45:00;   143
17.09.2021 01:20:00;   139
07.10.2021 01:15:00;   145
02.11.2021 05:05:00;   142
12.12.2021 15:55:00;   152
