dbmsnr,hzbnr01,mstnam02,gwgeb03,code03,gwkoerpe04,code04,gokmua05,gwtmug06,daterr07,datauf08,xrkko09,yhkko10,aufge_f,sym_ehyd,longitude,latitude
5002103,347583,"Leopoldskron, Bl 242",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"432,38",0,19970101,,376765.92,430794.7,,1,13.022469319344292,47.77612005964723
5002099,347542,"Itzling, Bl 532",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"417,94","7,17",19970101,,378280.14,435704.64,,2,13.042431732869602,47.820346809781
8002049,321596,"Schlins, Bl 04.38.02 A",3,003 Walgau,100150,Walgau [RHE],"488,68","6,72",19700101,,123847.29,373944.25,,2,9.685105936356367,47.20660122582113
8002402,347484,"Egg, Bl 30.1.10",6,006 Bregenzerwald,100153,Gruppe Molasse und nördliche Flyschzone [RHE],"663,14",0,20010101,,141978.82,398794.08,,1,9.90980899020384,47.43738627659748
5002097,347567,"Morzg, Bl  68",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"428,85","4,59",19970101,,379696.38,429321.34,,2,13.061651377970183,47.7629642927607
5002094,347658,"Morzg, Bl 364",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"432,04","5,5",19970101,,377983.75,430726.75,,2,13.038727040111945,47.775551813558266
8002370,347419,"Göfis, Bl 02.42.06",4,004 Rheintal,100151,Gruppe Helvetikum [RHE],"488,11","8,09",19880101,,121047.18,378432.86,,2,9.64536262828585,47.245753639096755
8002403,347492,"Egg, Bl 30.1.11",6,006 Bregenzerwald,100153,Gruppe Molasse und nördliche Flyschzone [RHE],"631,2",39,20020101,,141526.18,399050.34,,1,9.903662212234941,47.4395100437786
8002043,321539,"Ludesch, Bl 06.36.09",3,003 Walgau,100150,Walgau [RHE],"533,21","17,38",19770101,,129464.04,370969.01,,1,9.76099465925399,47.18220878777012
8002047,321570,"Bludesch, Bl 04.37.07",3,003 Walgau,100150,Walgau [RHE],"501,16","6,01",19740101,,125567.09,372616.18,,2,9.708606782206994,47.195389176105536
8002048,321588,"Schlins, Bl 04.38.01 A",3,003 Walgau,100150,Walgau [RHE],"489,89","6,11",19700101,,123561.01,373291.63,,2,9.681735338267947,47.20061456070777
5002095,347575,"Morzg, Bl 263",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"422,11","7,04",19970101,,379650.1,432042.44,,2,13.0609052148095,47.787444056812575
5002161,347674,"Weitwörth, Bl 6",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"396,35","6,6",20000101,,372554.12,447502.44,,2,12.965190450330471,47.926265973381376
8002367,347351,"Lech, Bl 80.1.05",8,008 Lecher Becken,100009,Gruppe Nördliche-Kalkalpen [DBJ],"1529,19","10,97",20010101,,158474.88,371251.13,,2,10.143386489230164,47.196109143717585
8002368,347393,"Göfis, Bl 02.42.04",4,004 Rheintal,100151,Gruppe Helvetikum [RHE],"490,97","13,02",19880101,,121251.26,378077.96,,1,9.648278620148991,47.24265110128725
6002418,325134,"Peggau, Br  3183",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"401,03","6,5",19730101,,552241.46,369280.05,,2,15.342897720904546,47.205418114021
6002419,325142,"Deutsch Feistritz, Br  3186",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"397,7","9,5",19690101,,551608.99,367367.01,,2,15.333900595251325,47.188357476624965
6002421,325167,"Deutsch Feistritz, Br  3188",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"402,86",0,19690101,,551081.17,366890.49,,1,15.326775161424132,47.18419317006394
6002453,325480,"Friesach-St.Stefan, Bl  3211",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"387,3","4,6",19770101,,550865.6,365476.7,,2,15.323453869041899,47.171526090525425
6002437,325324,"Graz  6, Br  3473",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"343,41","8,7",19770101,,561108.67,352414.71,,2,15.453860617900016,47.051604086500895
6002449,325449,"Straß, Br 38456",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"252,42",0,19770101,,575568.92,316288.62,,1,15.63010586487564,46.7229865048716
5002149,347708,"Lichtenberg, Bl 5",36,036 Saalachbecken,100005,Pinzgauer Saalachtal [DBJ],"715,64","11,94",20000101,,362366.37,394910.19,,2,12.833381497385753,47.45258362400542
5002156,347716,"Lenzing, Bl 2",36,036 Saalachbecken,100005,Pinzgauer Saalachtal [DBJ],"705,69","1,75",20000101,,361141.99,395519.25,,2,12.817086417469243,47.45799106994013
5002157,347732,"Lichtenberg, Bl 1",36,036 Saalachbecken,100005,Pinzgauer Saalachtal [DBJ],"721,28","8,7",20000101,,361379.68,392282.71,,2,12.820524570796762,47.428885224039696
5002153,347757,"Haid, Bl 1",36,036 Saalachbecken,100005,Pinzgauer Saalachtal [DBJ],"729,28","4,02",20000101,,361500.36,390636.02,,2,12.822269039044466,47.41407661884304
5002211,347799,"Elsbethen, Bl 1",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"427,18",8,20020101,,381169.22,429266.2,,2,13.08130673430147,47.76251334398718
5002227,347815,"Siezenheim I, Bl 5",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"427,16","12,65",20030101,,374818.32,435598.98,,2,12.996194414380103,47.81926921872565
5002276,347823,"Stuhlfelden, Bl 13",37,037 Oberpinzgau,100010,Gruppe Zentralzone [DBJ],"782,54","8,96",20060101,,337207.57,376593.49,,2,12.502274209015107,47.285836355723966
5002253,347849,"Lofer, Bl 1",35,035 Loferer Becken,100005,Pinzgauer Saalachtal [DBJ],"629,02",8,20060101,,351699.05,409239.65,,2,12.690303784120472,47.58079831881867
5002271,347872,"Mittersill, Bl 3",37,037 Oberpinzgau,100010,Gruppe Zentralzone [DBJ],"785,71","4,17",20060101,,334734.05,375936.31,,2,12.46966523808822,47.279680107953254
5002152,347765,"Haid, Bl 2",36,036 Saalachbecken,100005,Pinzgauer Saalachtal [DBJ],"733,42","4,33",20000101,,361816.3,389494.26,,2,12.826556107641434,47.403822537574825
6002447,325423,"Kaindorf a.d. Sulm, Br 38066",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"276,09","7,1",19770101,,568303.28,324508.58,,2,15.538128670552158,46.798807985174626
5002154,347781,"Bergham, Bl 1",36,036 Saalachbecken,100005,Pinzgauer Saalachtal [DBJ],"730,86","7,59",19990101,,362465.59,391347.1,,2,12.835002465910325,47.42053116584023
5002254,347864,"St.Martin Bl, 1",35,035 Loferer Becken,100005,Pinzgauer Saalachtal [DBJ],"629,73","12,85",20050101,,352033.39,408540.71,,2,12.694826196659834,47.574534894317054
5002255,347880,"St.Martin Bl, 2",35,035 Loferer Becken,100005,Pinzgauer Saalachtal [DBJ],"628,31","10,91",20050101,,352448.33,409103.3,,2,12.700281768547407,47.579627183157534
5002269,347922,"Torren, Bl 2",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"477,45","7,03",20060101,,386379.48,409435.61,,2,13.151458781080455,47.58422902392011
5002262,347989,"Wals, Bl 1",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"430,27","2,02",20060101,,371783.82,432168.75,,2,12.955884302636807,47.78828190903213
6002436,325316,"Graz  8, Br  3469",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"361,67",0,19770101,,562176.72,353332.21,,1,15.468247431418488,47.05959369282263
6002440,325357,"Langenwang-Schw., Br  2949",375,375 Mürztal,100156,Mürz [MUR],"625,04","3,5",19770101,,570330.73,409086.22,,2,15.596920685959544,47.558971155531594
6002444,325399,"Tillmitsch, Br 37864",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"282,31","7,4",19770101,,567337.9,327027.49,,2,15.526415035176878,46.821709034794246
6002446,325415,"Tillmitsch, Br  3790",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"277,87","4,9",19770101,,566928.58,325940.27,,2,15.520651133585487,46.81203399688468
6002448,325431,"Kalsdorf, Br 35421",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"327,02","9,9",19770101,,562681.91,343364.85,,2,15.471290823250563,46.96981840609266
5002162,347807,"St.Georgen, Bl  7",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"383,35","7,29",20000101,,365444.82,453144.97,,2,12.869578059526798,47.976683130027666
5002267,347914,"Schattberg, Bl 2",37,037 Oberpinzgau,100010,Gruppe Zentralzone [DBJ],"791,76",3,20060101,,332495.49,375738.44,,1,12.440099841872641,47.277671416688456
5002265,347930,"Schattberg, Bl 3",37,037 Oberpinzgau,100010,Gruppe Zentralzone [DBJ],"793,96","3,3",20060101,,332360.55,375891.35,,1,12.438292535063704,47.279033145586254
6002438,325332,"Lechen, Br  2929",375,375 Mürztal,100156,Mürz [MUR],"641,76",0,19770101,,572872.32,410778.01,,1,15.631352469242334,47.57351577054781
6002428,325233,"Graz  3, Br  3361",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"356,21",0,19770101,,558888.48,356861.82,,1,15.426217358714297,47.09214438092881
5002150,347724,"Lenzing, Bl 6",36,036 Saalachbecken,100005,Pinzgauer Saalachtal [DBJ],"716,24","9,36",20000101,,361474.53,393799.15,,2,12.821649033953614,47.442534748622734
5002284,347831,"Mittersill, Bl 7",37,037 Oberpinzgau,100010,Gruppe Zentralzone [DBJ],"785,96","3,94",20060101,20220101.0,334421.03,375594.39,J,2,12.465577495447496,47.27657233195806
5002268,347906,"Stadt Salzburg, Bl 400",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"424,07","9,59",20060101,,378622.87,433241.58,,2,13.047132367489775,47.79819888887533
5002261,347963,"Gois, Bl 1",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"437,4",7,20060101,,373123.54,430752.34,,2,12.973857661556524,47.775596410504484
6002454,325498,"Friesach-St.Stefan, Br 32135",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"389,96",0,19770101,,551021.57,365141.59,,1,15.325397974010295,47.16847594176782
6002455,325506,"Friesach-St.Stefan, Bl 32151",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"387,62","9,3",19770101,,550732.86,364690.31,,2,15.321437898986703,47.16448320569997
6002460,325555,"Friesach-St.Stefan, Bl  3253",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"381,41",9,19770101,,551552.6,362499.14,,2,15.331506795125174,47.14458518564267
6002463,325589,"Friesach-St.Stefan, Bl 32431",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"383,44","8,4",19780101,,550916.72,363501.98,,2,15.323461817786713,47.15375213384807
6002464,325597,"Friesach-St.Stefan, Bl 32433",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"387,48","10,3",19780101,,551270.51,363536.63,,2,15.32813856523739,47.15398229857899
7004559,370841,"Arnbach, Bl  1 (1)",404,404 Pustertal,100186,Gruppe Zentralzone [DRA],"1099,33","8,20",20080101,,328059.81,316462.48,,1,12.390991709111027,46.743882236699854
7004561,370866,"Arnbach, Bl  5 (3)",404,404 Pustertal,100186,Gruppe Zentralzone [DRA],"1095,54","8,20",20080101,,328140.97,316503.63,,1,12.39204739479809,46.744261346553586
7004562,370874,"Arnbach, Bl  7 (2)",404,404 Pustertal,100077,Gruppe Südliche Kalkalpen [DRA],"1096,19","8,10",20080101,,328144.33,316493.32,,1,12.392093010638316,46.74416895333678
7004543,370767,"Arnbach, Bl 11 (20)",404,404 Pustertal,100186,Gruppe Zentralzone [DRA],"1089,09","5,20",20080101,,328354.76,316551.86,,1,12.39483787224421,46.74471861615181
7004545,370759,"Arnbach, Bl 15 (8)",404,404 Pustertal,100186,Gruppe Zentralzone [DRA],"1085,98","5,10",20080101,,328626.23,316441.68,,1,12.398408360590585,46.74375684414516
7004547,358168,"Arnbach, Bl 17 (7)",404,404 Pustertal,100077,Gruppe Südliche Kalkalpen [DRA],"1089,07","6,10",20080101,,328617.99,316408.96,,2,12.39830568379061,46.74346156260443
7004557,370825,"Arnbach, Bl 19 (10)",404,404 Pustertal,100186,Gruppe Zentralzone [DRA],"1087,48","8,15",20080101,,328952.29,316463.9,,1,12.402672367907325,46.74399208570269
7004546,370742,"Arnbach, Bl 21 (9)",404,404 Pustertal,100186,Gruppe Zentralzone [DRA],"1083,92","5,10",20080101,,328949.56,316471.27,,1,12.402635478368282,46.74405809964849
6002467,325621,"Friesach-St.Stefan, Br  3251",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"385,23","9,7",19780101,,551623.52,362812.98,,1,15.332548105279193,47.14739171671253
5002263,348003,"Gnigl, Bl 501",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"429,62","3,96",20060101,,380117.41,435809.66,,2,13.066969478601074,47.82135151823652
6002494,325894,"Lödersdorf, Br  5243",331,331 Raabtal,100131,Raabtal [LRR],"271,92",0,19680101,,598831.61,342699.83,,1,15.94590559903447,46.953907534216924
6002471,325662,"Hausmannstätten, Br  3535",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"328,97","5,4",19780101,,564896.97,346189.28,,1,15.501430048112736,46.99467087795992
6002475,325704,"Weitendorf, Br 37481",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"301,78","5,2",19780101,,563127.84,334334.43,,2,15.473884835049192,46.88848481646507
6003417,349019,"Zeltweg, Bl 24931",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"663,39","24,2",19990101,,508756.08,367448.72,,1,14.768403352943109,47.19760235047104
6003435,349027,"Rattenberg, Bl   2435",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"681,29","26,11",19990101,,505972.34,368618.77,,1,14.731938216498227,47.208584170946594
6003409,349068,"Kobenz, Bl   2551",364,364 Mittleres Murtal,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"613,34","9,12",19990101,,514855.85,372139.91,,1,14.850118551764583,47.238764178810435
6003420,349084,"Farrach, Bl   2431",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"684,27","29,36",19990101,,505933.91,367201.96,,1,14.73109503717636,47.19584439655514
6002469,325647,"Graz 15, Br  3472",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"357,46","15,5",19780101,,556589.68,351903.42,,2,15.39421142415942,47.04809772841141
6002478,325738,"Lichendorf, Br 38632",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"244,51","4,1",19780101,,580471.6,315238.89,,2,15.69380576072093,46.71222529518462
6002483,325787,"Kaisersberg, Br  2639",364,364 Mittleres Murtal,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"575,99",0,19660101,,524797.48,382801.06,,1,14.984419545210123,47.332849355286484
6002497,325928,"Großhartmannsdorf, Br  5657",340,340 Feistritztal,100126,Feistritztal [LRR],"311,16","3,3",19740101,,595580.6,362548.83,,2,15.9118531944765,47.13338110619983
6002492,325878,"Mühldorf, Br  5232",331,331 Raabtal,100131,Raabtal [LRR],"275,4",4,19680101,,596721.65,342493.37,,2,15.918104481299547,46.95268501870049
6002468,325639,"Graz 14, Bl  3416",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"365,78","24,3",19780101,,557160.4,354667.42,,2,15.402689300890103,47.07282256647166
6002474,325696,"Wundschuh, Br  3586",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"316,39","5,2",19650101,,561469.94,338366.21,,1,15.453575568433587,46.925156818511
6002479,325746,"Lind, Bl  2507",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"640,41","5,3",19760101,,510094.52,366615.07,,1,14.7858638805892,47.18987936849183
6003414,349035,"Pausendorf, Bl 24991",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"657,33","22,05",19990101,,510162.25,368102.05,,1,14.787124201739655,47.20324507774854
6003415,349043,"Spielberg, Bl 24891",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"665,01","12,02",19990101,,509243.38,369234.93,,1,14.77527187501436,47.21359038342577
6003410,349076,"Kobenz, Bl 25511",364,364 Mittleres Murtal,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"625,6","17,98",19990101,,514232.4,372458.97,,2,14.841965136503212,47.24174343593665
6002491,325860,"Mühldorf, Br  5230",331,331 Raabtal,100131,Raabtal [LRR],"278,81","3,3",19680101,,596488.99,341937.15,,2,15.914806411194322,46.94775252232502
5002275,347997,"Stuhlfelden, Bl 2",37,037 Oberpinzgau,100010,Gruppe Zentralzone [DBJ],"781,03","2,26",20060101,,337833.89,376618.06,,2,12.510552258631723,47.286117591907164
5002034,320655,"Au, Br 111",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"440,88","11,03",19760101,20210101.0,380798.21,422314.29,J,1,13.076665970658393,47.69995650469493
4003127,378562,"Au/D., Lp 2.51",177,177 Nördliches Machland,100019,Machland [DUJ],0,"0,00",20000101,,495755.92,477894.23,,3,14.620917122132896,48.19316710165137
6002502,325977,"Großhartmannsdorf, Br  5665",340,340 Feistritztal,100126,Feistritztal [LRR],"319,44","8,1",19670101,20210101.0,596604.74,362815.45,J,1,15.925466259055733,47.13547254690761
2002349,351700,"Bad St. Leonhard, Bl 915",447,447 Lavanttal,100186,Gruppe Zentralzone [DRA],"672,1","8,95",20050101,20210101.0,440141.07,337529.2,J,2,13.85994464797895,46.93618126103336
3003226,359760,"Bad Vöslau, Bl 479",250,250 Südliches Wiener Becken,100024,Südl. Wiener Becken [DUJ],"238,81","4,40",20170101,,616154.55,456707.55,,2,16.229157742558755,47.9735151280423
1002189,326306,"Schachendorf, Br 1",330,330 Tauchenbachtal,100181,Gruppe Hügelland Raab Ost [LRR],"276,77",0,19810101,,634616.73,378369.85,,1,16.434471125146054,47.26282018580864
1002167,326082,"Halbturn, Br 131",318,318 Seewinkel,100134,Seewinkel [LRR],"122,92","6,1",19780101,,676006.48,445085.1,,2,17.022750044265134,47.84625507288704
1002172,326132,"Frauenkirchen, Br 134",318,318 Seewinkel,100134,Seewinkel [LRR],"123,16",7,19790101,,668409.14,443399.09,,2,16.920281368459918,47.83429973046852
1002178,326199,"Weiden am See, Bl  47",309,309 Parndorfer Platte,100021,Parndorfer Platte [LRR],"167,55","32,5",19820101,,667220.16,455243.12,,2,16.911690868089835,47.94123527585433
1002182,326231,"Oslip, Bl 19",313,313 Wulkatal,100081,Gruppe Wulkatal [LRR],"136,03",0,19860101,,644537.0,441925.3,,1,16.60075911236426,47.830515064900936
6003245,349092,"Tillmitsch, Bl 37902",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"276,42",12,20010101,,566209.73,327253.15,,2,15.511715476321383,46.82402382031691
6003403,349142,"St. Marein, Bl   2563",361,361 Feistritzer Schwemmfächer,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"626,83","9,14",20010101,,516587.54,373846.09,,2,14.87343806731844,47.2538069504036
6003404,349159,"Feistritz, Bl 25631",361,361 Feistritzer Schwemmfächer,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"642,37","9,02",20020101,,517225.84,374724.92,,2,14.882102691583313,47.26159886628193
6003361,349209,"Unterschwarza, Bl 38592",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"244,48","6,25",19930101,,579227.85,314827.81,,2,15.677381337156616,46.708866521018976
6003362,349217,"Lichendorf, Bl 38612",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"243,24","6,25",19930101,,580426.79,314116.64,,2,15.692774678992604,46.70214445096076
6003366,349241,"Mureck, Bl 38796",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"234,01","5,54",19930101,,586502.95,314264.7,,2,15.77226511567798,46.70179016498558
1002177,326181,"Nickelsdorf, Br 46",288,288 Heideboden,100021,Parndorfer Platte [LRR],"128,14",0,19820101,,680134.87,454441.34,,1,17.08389009102262,47.928557053680784
1002169,326108,"Potzneusiedl, Br 42",309,309 Parndorfer Platte,100021,Parndorfer Platte [LRR],"167,96",0,19780101,,669064.92,466905.86,,1,16.943611105706385,48.04527801380806
1002181,326223,"Oslip, Bl 18",313,313 Wulkatal,100081,Gruppe Wulkatal [LRR],"135,48","3,2",19860101,,644331.26,442767.72,,2,16.59848507988291,47.83816512729574
6003421,349126,"Mühldorf, Bl   2422",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"706,94","12,9",20040101,,506601.41,360701.12,,1,14.73835647793523,47.137252966717824
6002501,325969,"Obgrün, Br  5663",340,340 Feistritztal,100126,Feistritztal [LRR],"306,1",0,19670101,,596741.41,361840.32,,1,15.92683872453109,47.12666245892182
1002166,326074,"Halbturn, Br 44",288,288 Heideboden,100021,Parndorfer Platte [LRR],"129,25","11,12",19790101,,676735.27,448176.78,,2,17.034445081311535,47.87372705100095
1002173,326140,"Deutsch Jahrndorf, Br 19",288,288 Heideboden,100018,Heideboden [DUJ],"133,26",0,19790101,,679492.24,464567.01,,1,17.081829041980647,48.0198240288148
6003244,349118,"Tillmitsch, Bl 37903",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"282,31",12,20010101,,566506.36,326876.41,,2,15.515463875393843,46.820560536915856
6003424,349134,"Weisskirchen, Bl   2434",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"682,72",19,20040101,,506522.54,363008.64,,2,14.737865541750963,47.15802486135959
6003405,349167,"Feistritz, Bl   2581",364,364 Mittleres Murtal,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"596,55","11,12",20020101,,519250.55,374961.56,,1,14.908921316523976,47.263362057733936
6003406,349175,"Pichl, Bl   2566",364,364 Mittleres Murtal,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"604,83","14,15",20020101,,519635.69,373759.56,,1,14.913688332239344,47.2524788468154
6003407,349183,"Pichl, Bl   2568",364,364 Mittleres Murtal,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"598,49","9,16",20040101,,520082.76,374954.11,,1,14.919916796875148,47.26314295216433
1002188,326298,"Neusiedl am See, Bl 138",318,318 Seewinkel,100134,Seewinkel [LRR],"117,38",0,19870101,,663309.07,449671.48,,1,16.856000109324356,47.892768047832654
