dbmsnr,hzbnr01,mstnam02,gegrnr03,code03,gwkoerpe04,code04,pnpmua05,gokmua06,daterr07,datauf08,xrkko09,yhkko10,longitude,latitude
7004074,395368,Schwarzbach - Moosquelle,1232,1232 Griesspitzen,100009,Gruppe Nördliche-Kalkalpen [DBJ],"1419,9","1453,6",19990101,,224281.05,388600.88,11.004838054975808,47.37316298467607
7002296,395376,Mühlbachlquelle,1321,1321 Unterberghorn,100009,Gruppe Nördliche-Kalkalpen [DBJ],0,"675,89",20020101,,328876.69,412689.18,12.386286771880794,47.60972460585266
7004049,395384,Gossenbachquelle,2542,2542 Rotspitze (Schleinitz),100186,Gruppe Zentralzone [DRA],"2004,97",2007,19990101,,352003.21,333172.55,12.702595427985347,46.89641772407148
7004076,395400,Lehnbachquellen,1136,1136 Hochvogel,100009,Gruppe Nördliche-Kalkalpen [DBJ],"1011,37","1250,3",19990101,,191205.48,395412.12,10.56380725346406,47.42464302124036
7002300,395418,Katzensteigquelle,1256,1256 Hochnissl,100009,Gruppe Nördliche-Kalkalpen [DBJ],870,"877,61",19920101,,280518.35,392136.14,11.748605914455029,47.41772036321426
7004048,395426,Schwarzbodenquelle,3712,3712 Sandspitze,100077,Gruppe Südliche Kalkalpen [DRA],1200,"1203,5",19950101,,349428.65,319897.27,12.67029483657827,46.77677938436817
7002301,395434,Blaue Quelle,1341,1341 Spitzstein,100009,Gruppe Nördliche-Kalkalpen [DBJ],"470,68",0,19920101,,313989.06,419608.76,12.1868707477556,47.67016631009582
7004075,395442,Pulverermühlquelle,1262,1262 Guffertspitze,100009,Gruppe Nördliche-Kalkalpen [DBJ],0,1053,19990101,,283843.13,403960.41,11.78955177373716,47.524690224976965
7004077,395467,Auebachquelle,1311,1311 Wilder Kaiser,100009,Gruppe Nördliche-Kalkalpen [DBJ],991,991,19990101,,321464.32,404624.72,12.28912188472593,47.53631542650074
7002303,395491,Ochsenbrunnquelle,2251,2251 Blockkogel,100010,Gruppe Zentralzone [DBJ],"1407,36",1408,19930101,,212490.65,352729.16,10.86386645893483,47.04727442561458
7004168,395509,Ursprungquelle (Lehnberg),1232,1232 Griesspitzen,100009,Gruppe Nördliche-Kalkalpen [DBJ],"1593,05",0,20020101,,218240.63,384435.79,10.926580996830872,47.3340468562245
7004838,395525,Berglerlochquelle,2124,2124 Fluchthorn,100010,Gruppe Zentralzone [DBJ],2120,2120,20130101,,165501.33,345621.63,10.249504343557671,46.96824182269784
7004516,395533,Siebenbrunnenquelle,2332,2332 Serleskamm,100010,Gruppe Zentralzone [DBJ],0,1500,20070101,,254168.22,360261.92,11.409880810938892,47.125638725954296
7004526,395558,Quelle Haggen,2322,2322 Breiter Grieskogel,100010,Gruppe Zentralzone [DBJ],1660,1660,20100101,,229589.78,369747.03,11.08236528214816,47.20500518633398
3002925,395574,Große Mühlquelle,1816,1816 Ötscher,100189,Gruppe Nördliche Kalkalpen [DUJ],540,0,19950101,,539715.79,447164.12,15.202265477543223,47.90875259358929
3002926,395590,Reithbachquelle,1827,1827 Prochenberg - Friesling,100189,Gruppe Nördliche Kalkalpen [DUJ],560,0,19950101,,515603.94,439242.18,14.877585657995064,47.84225148563947
3002971,395608,Steinbachquelle,1825,1825 Oisberg,100189,Gruppe Nördliche Kalkalpen [DUJ],500,0,19990101,,507390.84,435848.21,14.7670107772504,47.81313571208468
3003091,395632,Eselsquelle,6847,6847 Weinviertel,100095,Gruppe Weinviertel [MAR],200,0,20070101,,649438.09,526378.24,16.715233217149642,48.58763762238779
2002160,395673,Union Quelle,3742,3742 Pungart,100077,Gruppe Südliche Kalkalpen [DRA],"556,33",0,19650101,,436045.69,303467.02,13.803454807368016,46.62993558381343
2002161,395681,Draurainquelle,3942,3942 Mittleres Jauntal,100062,Jauntal [DRA],390,0,19980101,,513341.78,306221.83,14.81356111726438,46.6460206238672
2002163,395707,Fellbachquelle,3752,3752 Latschur,100077,Gruppe Südliche Kalkalpen [DRA],888,0,19980101,,399830.27,315883.73,13.33042309381094,46.7426261505364
2002166,395715,Lappenbachquelle,3751,3751 Nockberg,100077,Gruppe Südliche Kalkalpen [DRA],870,0,19990101,,377815.6,313871.53,13.042379473675393,46.72413902010405
8002297,395731,Gerstenbödenquelle,1111,1111 Rheintal-Umrahmung,100155,Gruppe Südliche Flyschzone [RHE],"1083,07",1094,19960101,,130344.46,379183.1,9.767624921678536,47.256402918682205
8002298,395749,Goldbachquelle,1126,1126 Hoher Ifen West,100151,Gruppe Helvetikum [RHE],"997,43",1000,19970101,,152035.28,392266.08,10.046714295472675,47.3826141404868
8002299,395756,Fidelisquelle,2114,2114 Scheienfluh - Madrisaspitze,100152,Gruppe Kristallin [RHE],"1289,05",1299,19980101,,141396.52,348422.61,9.931354758952113,46.98436561719012
8002300,395764,Aubachquelle,1127,1127 Hoher Ifen Süd,100008,Gruppe Helvetikum [DBJ],"1075,55",1078,19990101,,161366.93,389273.39,10.171846643403114,47.35919615803112
8002388,395772,Marulbachquelle,1211,1211 Gamsfreiheit - Rote Wand - Kellerspitz,100154,Gruppe Nördliche Kalkalpen [RHE],1045,1058,20000101,,141698.27,372286.56,9.921534526901944,47.199001245326514
6002835,395848,Reihbachquelle,2772,2772 Koralm,100113,"Gruppe Kristallin der Koralpe, Stubalpe und Gleina",1360,0,19960101,,528408.69,326798.05,15.016177658694724,46.828368074662
6002831,395855,Hammerbachquelle,2836,2836 Tanneben,100100,Murdurchbruchstal  (Bruck/Mur - Graz) [MUR],410,0,19940101,,552567.23,369781.78,15.34736889523895,47.20985524405677
6002838,395863,Sagtümpel,1622,1622 Lawinenstein - Krahstein - Roßkogel,100189,Gruppe Nördliche Kalkalpen [DUJ],970,0,19980101,,452485.54,409465.73,14.030544359000416,47.582547892284346
6002833,395871,Wassermannsloch,1741,1741 Kalte Mauer,100189,Gruppe Nördliche Kalkalpen [DUJ],"584,9",0,19950101,,512345.46,410226.53,14.826610364394163,47.58182033748602
6002856,395897,Preunegger Siebenquellen,2622,2622 Kalkspitzen,100052,Gruppe Niedere Tauern einschl. Grauwackenzone [DUJ,1100,0,19970101,,421942.56,383679.91,13.623124571602412,47.35228185290262
6003063,395905,Ödensee-Kaltwassertrichter,1549,1549 Koppengebirge,100042,Traun [DUJ],770,0,19980101,,437030.18,407199.68,13.824836573180368,47.56321897766944
6003062,395913,Brunnaderquelle,2842,2842 Waldheimat,100137,Gruppe Fischbacher Alpen [LRR],745,0,19980101,,577441.73,397474.5,15.686727332834549,47.45264414077878
6003064,395939,Schwabeltalquelle,1741,1741 Kalte Mauer,100189,Gruppe Nördliche Kalkalpen [DUJ],800,0,19990101,,513909.83,413176.73,14.848172165208398,47.60808700654222
6003531,395970,Erbsattelquelle,1648,1648 Zinödlberg - Haidach,100189,Gruppe Nördliche Kalkalpen [DUJ],0,690,20060101,,499314.03,418540.68,14.655225215799694,47.6587314726639
6003532,395996,Riedlbachquelle,1548,1548 Hirzberg - Hochmühleck,100189,Gruppe Nördliche Kalkalpen [DUJ],0,820,20060101,,440128.53,405354.68,13.865854462080769,47.546436665874765
1002328,396010,Windener Quelle,2911,2911 Leithagebirge und östliches Vorland,100192,Gruppe Leithagebirge (LRR),143,0,19990101,,654667.91,456622.85,16.74459779143836,47.958708517195696
11002084,396077,Wasseralmquelle,1851,1851 Schneealpe,100089,Gruppe Nördliche Kalkalpen [LRR],"802,2",0,19930101,,573417.09,428512.58,15.64559940304674,47.7328600569265
11002086,396093,Siebenquellen,1851,1851 Schneealpe,100117,Gruppe Nördliche Kalkalpen [MUR],"796,7",0,19630101,,567580.79,422783.02,15.56560693522484,47.68286672632275
11002089,396127,Pfannbauernquelle,1747,1747 Zeller Staritzen,100189,Gruppe Nördliche Kalkalpen [DUJ],"793,5",0,19850101,,549389.97,424727.67,15.323988466957015,47.70479726856832
11002128,396135,Fischa-Dagnitz Quelle,2921,2921 Hainburger Berge und südliches Vorland,100024,Südl. Wiener Becken [DUJ],"229,78",0,20040101,,624039.52,446367.29,16.329383095279848,47.87786954977467
7004240,396192,Alfutzquelle ( I ),1216,1216 Leiterspitze,100009,Gruppe Nördliche-Kalkalpen [DBJ],0,1255,20030101,,192825.68,369957.84,10.59716776966434,47.19627536186598
7004242,396226,TW-Stollen Bettelwurf (mitte),1253,1253 Bettelwurf,100009,Gruppe Nördliche-Kalkalpen [DBJ],0,"1008,7",20020101,,262842.32,382780.29,11.517254128716948,47.330074661817456
7004637,396259,Ganderbildquelle,2211,2211 Nauderer Berge - Dreiländerecke,100010,Gruppe Zentralzone [DBJ],2165,2165,20180101,,187641.57,332935.0,10.546320639376171,46.86170205395256
7004609,396283,Hochebenkarquelle,2233,2233 Hinterer Seelenkogel,100010,Gruppe Zentralzone [DBJ],2220,0,20080101,,222376.6,329698.71,11.003046324287965,46.84289907854696
7004638,396291,Eibachquelle,2331,2331 Habicht,100010,Gruppe Zentralzone [DBJ],1320,1320,20100101,,248654.87,357460.94,11.338170168145234,47.09919154869248
7004371,396317,Raintalquelle,1417,1417 Geißstein,100010,Gruppe Zentralzone [DBJ],0,1214,18000101,,334002.08,398056.92,12.456677732821392,47.47862525169133
7004920,396325,Bärenebenequelle,2321,2321 Acherkogel,100010,Gruppe Zentralzone [DBJ],1790,1790,20150101,,223335.65,363316.53,11.00237859210772,47.14550933169072
7004309,396333,Heiterwandquelle (ost+west),1217,1217 Große Schlenkerspitze,100009,Gruppe Nördliche-Kalkalpen [DBJ],1600,0,20030101,,202669.52,381201.9,10.722048872495796,47.30043646205108
7004446,396341,Fürstenquelle,2516,2516 Hoher Riffler,100010,Gruppe Zentralzone [DBJ],0,1084,20130101,,283808.34,356611.07,11.801510752169948,47.09873599213312
7004283,396382,Lareinsonntagspleisquellen,2124,2124 Fluchthorn,100010,Gruppe Zentralzone [DBJ],1890,1890,20030101,,164099.73,345070.86,10.231385228205092,46.96278770647152
7004336,396424,Untere Schmittequelle ( III ),1231,1231 Grünstein,100009,Gruppe Nördliche-Kalkalpen [DBJ],0,"963,97",20040101,,217032.88,390216.65,10.9082135765537,47.38569728588736
7004350,396432,Kohlgrubenquellen,1443,1443 Lizumer-Reckner,100010,Gruppe Zentralzone [DBJ],1306,1306,20040101,,270500.03,375540.04,11.620689104230202,47.26651303961118
7004355,396440,Sauwinkelquellen (4-8),1415,1415 Hohe Salve,100010,Gruppe Zentralzone [DBJ],746,746,20050101,,320664.18,402891.11,12.278805490055731,47.520621463525984
7004368,396465,Flathquellen (1-6),2133,2133 Rotpleiskopf,100010,Gruppe Zentralzone [DBJ],"1658,16","1658,16",20050101,,187753.69,360995.27,10.534521562363969,47.11405668238164
2002266,396507,Maibachl,3741,3741 Dobratsch,100189,Gruppe Nördliche Kalkalpen [DUJ],"508,14","509,74",20030101,,437602.7,299223.17,13.823443222337442,46.59166528947499
2002357,396523,Oswaldiquelle,2715,2715 Rosennock,100186,Gruppe Zentralzone [DRA],1202,1208,20040101,,433258.79,325903.87,13.768688174948233,46.83196191251346
2002356,396531,Tiebelquelle,2713,2713 Wöllaner Nock,100186,Gruppe Zentralzone [DRA],"853,4","899,19",20040101,,451347.18,318584.45,14.00500361237119,46.76495129847762
2002376,396549,Puffquelle,2582,2582 Sonnblick - Böseck,100186,Gruppe Zentralzone [DRA],"962,4","961,2",20050101,,380436.84,339459.28,13.075553334430603,46.954456036679446
2002481,396564,Hainschbauerquelle,3921,3921 Koschuta,100194,Gruppe Karawanken (DRA),905,0,20070101,,477134.71,283849.9,14.336786972930138,46.44994240567043
2002377,396572,Müllnernquelle,2722,2722 Sattnitz-Westteil,100186,Gruppe Zentralzone [DRA],"515,5",515,20040101,,466755.48,298924.02,14.203875674602314,46.58668665832553
2002596,396606,Hipflquelle,2772,2772 Koralm,100186,Gruppe Zentralzone [DRA],1473,0,20100101,,522410.96,325099.03,14.937106775929127,46.81422336376545
2900046,396614,Kronhofquelle,3831,3831 Polinik,100077,Gruppe Südliche Kalkalpen [DRA],0,1008,20140101,,378212.03,304324.84,13.048029588348436,46.63825406748391
8002495,396705,Obwaldquelle,2114,2114 Scheienfluh - Madrisaspitze,100152,Gruppe Kristallin [RHE],1677,1682,20080101,,139628.93,344821.96,9.91022325209692,46.95129997219177
8002656,396721,Kaltes Bächle,1127,1127 Hoher Ifen Süd,100008,Gruppe Helvetikum [DBJ],1323,1325,20150101,,157920.79,384477.88,10.128873400062966,47.31481332345303
8002757,396739,Widumbachquelle,1128,1128 Mittagsfluh - Hirschberg,100151,Gruppe Helvetikum [RHE],"785,65","786,5",20190101,,146591.22,386127.51,9.978174792060464,47.32533765859683
6003621,396754,Goldschmiedquelle,2793,2793 Bergland westlich von Graz,100123,Gruppe Weststeirisches Hügelland [MUR],0,465,20090101,,550862.28,354948.88,15.319864046292444,47.07683102946504
6003622,396762,Schönebenquelle,2643,2643 Saukogel,100116,Gruppe Niedere Tauern einschl. Seckauer Tauern [MU,0,1720,20010101,,501347.65,387209.61,14.675113362787574,47.376563913204215
6003634,396770,Pöllauer Ursprung,2743,2743 Grebenzen,100071,Gruppe Grebenzen [DRA],0,1150,20110101,,479070.06,348920.69,14.373282738952629,47.03515652028826
6003651,396796,Etzbachquelle,1722,1722 Blaseneck - Zeiritzkampel Nord,100189,Gruppe Nördliche Kalkalpen [DUJ],0,880,20120101,,496022.45,404231.51,14.6082771141799,47.53050067323005
6003681,396812,Totes Weib Quelle,1851,1851 Schneealpe,100117,Gruppe Nördliche Kalkalpen [MUR],0,880,20160101,,561498.42,427910.94,15.486491734324533,47.73052630463712
