dbmsnr,hzbnr01,mstnam02,gew03,mpmua04,egarea05,daterr06,datauf07,xrkko08,yhkko09,aufge_f,nschreiber,longitude,latitude
7004062,105023,Schwendt,Kohlenbach,660,0,1995,,330303.5,416530.3,,,12.404656095108454,47.64443674391272
4000016,104448,Schärding-Rossbach,Roßbach,"334,8",0,1888,,407884.2,500808.73,,,13.43904359797572,48.40634493349632
3000071,107623,Schönberg,Kamp,217,0,1959,,574504.45,515749.54,,,15.695417094083124,48.5169842829813
7000108,102384,Schönberg im Stubaital,Sill,1009,0,1895,,253609.0,366696.64,,,11.400397653275803,47.1833940055877
4000071,105155,Schönbergalpe,Traun,1350,0,1953,,428834.08,404078.62,,,13.715685230061982,47.53555039795353
4000160,106849,Schöneben-Gugu,Waldaist,908,0,1890,,503928.92,515938.83,,,14.740107404379376,48.53405630925474
8000065,100651,Schönenbach,Subersach,1040,0,1955,,150581.35,391228.77,,,10.028055708314795,47.37273407709655
7000065,101956,See im Paznaun,Trisanna,1063,0,1895,,182765.76,357843.43,,,10.470355137340418,47.084079532027104
5000050,103895,Seekirchen,Fischach,520,0,1895,,384193.83,442819.65,,J,13.121165143873906,47.88453214885403
5000098,111641,Seetal,Rantenbach,1210,0,1874,,447078.52,361970.1,,,13.953625768724098,47.15563082014285
6002880,123182,Seewiesen,Thörlbach,980,0,1998,,545704.7,415342.85,,,15.271767780138418,47.62122528631184
3000019,107102,Seitenstetten,Urlbach,387,0,1903,,498495.42,459236.47,,,14.65351389938827,48.02493379108116
6000124,112045,Semriach,Mur,700,0,1901,,555824.98,371283.08,,,15.390893957060952,47.22259201790786
8000068,100685,Sibratsgfäll,Subersach,906,0,1895,,151435.66,396945.34,,,10.036146206934657,47.424449441726765
1000011,110361,Sieggraben,Stoob,438,0,1930,,629114.82,420154.08,,,16.38345890392948,47.64043548684966
4000015,104430,Sigharting,Pfudabach,344,0,1895,,419511.79,499808.66,,,13.596081253407524,48.39710528785567
2000091,114025,Silberegg,Gurk,594,0,1947,,488364.0,328448.47,,,14.491578164419522,46.8497899113927
8000020,100206,Silbertal,Litz,886,0,1907,,145619.36,360549.19,,,9.97994133763062,47.09502780997069
7000211,113001,Sillian,Drau,1079,0,1895,,329849.81,316734.83,,J,12.41437719235797,46.74652609373523
6000068,111062,Sinabelkirchen,Ilzbach,350,0,1901,,589536.05,359391.95,,,15.8308598151293,47.10676558801087
2000084,113936,Sirnitz,Gurk,823,0,1881,,455367.41,325062.33,,,14.058431418805451,46.82291169336225
6000189,112706,Soboth,Feistritzbach,1145,0,1984,,534314.72,311584.72,,,15.08908536195208,46.69034157419068
7000041,101717,Spiss,Schalklbach,1643,0,1911,,179652.47,343978.52,,,10.436187235105429,46.95837213269385
4000141,106393,Spital am Pyhrn,Teichl,630,0,1895,,475166.1,419265.01,,,14.333794627177198,47.66848647450968
3000054,107458,St.Aegyd am Neuwalde,Unrechttraisen,607,0,1895,,567105.74,442107.42,,,15.566675431874025,47.85678020322573
4000209,104992,St.Agatha,Aschach,499,0,1997,,440904.95,497091.64,,,13.884776181458523,48.37166497901277
3000175,109033,St.Anton an der Jeßnitz,Große Erlauf,391,0,1981,,539719.24,453318.4,,,15.204291255895866,47.964102637802085
3000402,110254,St.Corona am Wechsel,Feistritz,870,0,1995,,601736.22,412467.38,,,16.01566042366407,47.58039580690366
4000112,105593,St.Florian,Donau,257,0,1864,,477668.74,478590.62,,,14.377716968529832,48.201866344919445
3000014,107052,St.Georgen am Reith,Ybbs,"495,8",0,1951,,515753.17,439100.31,,,14.879541888145717,47.840948729947655
6000056,110916,St.Jakob im Walde,Lafnitz,922,0,1901,,584794.88,399428.59,,,15.78503536237146,47.46817459258831
6000092,111724,St.Johann am Tauern,Pöls,1050,0,1901,,485956.13,384665.7,,,14.470768424312904,47.355882126285564
4000009,104372,St.Johann am Walde,Mettmach,629,0,1907,,396022.25,469190.9,,,13.279107492186611,48.12196103794239
6000067,111054,St.Johann bei Herberstein,Feistritz,410,0,1901,,588207.37,371133.44,,,15.818300848267452,47.2127410354092
7000219,113084,St.Johann im Walde,Isel,750,0,1895,,346114.14,334116.92,,,12.625182083642493,46.90445626719633
7000184,103143,St.Johann in Tirol-Almdorf,Fieberbrunner Ache,667,0,1977,,332922.45,402629.57,,J,12.441651652275434,47.51965367478834
5000074,104174,St.Koloman,Salzach,1000,0,1990,,392444.94,416748.22,,,13.23198850284049,47.65012339864869
6000088,111682,St.Lambrecht,Mur,1070,0,1901,,473091.2,351897.73,,,14.295085894464473,47.06263208912758
7000076,102061,St.Leonhard i.P.,Pitze,1329,0,1907,,210665.95,355936.16,,,10.838502087263068,47.0755907246269
6000190,112714,St.Lorenzen,Saggaubach,752,0,1984,,540221.55,310120.4,,,15.16585020350994,46.67594433918704
1000020,110452,St.Margarethen im Burgenland,Wulka,147,0,1934,,645803.75,438766.54,,,16.61588811537241,47.801641811496886
2000113,114256,St.Margarethen ob Töllerberg,Drau,463,0,1895,,494844.78,308853.34,,,14.572473873246668,46.67260086632485
1000048,110742,St.Margarethen-Berg,Neusiedler See,196,0,1992,,647726.05,438083.24,,,16.641146368704263,47.79476723768233
4000013,104414,St.Marienkirchen,Inn,340,0,1910,,408898.44,498773.66,,,13.452704287129428,48.38802681201145
7000116,102467,St.Martin i.G.,Inn,875,0,1895,,266137.89,381708.18,,,11.56118138041931,47.32111645348381
1000066,111195,St.Michael im Burgenland,Strem,243,0,1923,,623162.8,362971.82,,,16.275490368140183,47.12837988530666
6000151,112318,St.Nikolai im Sausal,Sulm,340,0,1901,,561298.32,326720.11,,,15.447167365573696,46.82044828943158
6000010,106005,St.Nikolai im Sölktal,Große Sölk,1120,0,1902,,453907.01,380281.63,,,14.045900892118755,47.31986123752845
4000144,106427,St.Pankraz,Teichl,598,0,1895,,463447.66,430228.67,,,14.179303917354083,47.76836804904245
6000159,112391,St.Peter am Ottersbach,Saßbach,270,0,1929,,585091.62,325193.63,,J,15.75827065311194,46.80047501710106
4000037,104653,St.Peter am Wimberg,Große Rodl,687,0,1895,,456401.99,511747.6,,,14.095918956726477,48.502313483416046
6000253,123083,St.Ruprecht an der Raab,Raab,400,0,1996,,576237.59,363603.95,,,15.657341658200568,47.148353498186026
1000040,110650,Donnerskirchen (Waldgasse),Neusiedler See,206,0,1977,,646669.24,450407.2,,,16.63403031190798,47.90594591076936
4000166,106914,St.Thomas am Blasenstein,Klambach,665,0,1895,,506759.55,491994.47,,,14.7724424759993,48.3182526699334
7000205,103358,St.Ulrich-Pillersee,Loferbach,870,0,1986,,344326.03,401499.68,,,12.593250196709928,47.51056921648264
6000216,123026,St.Wolfgang,Granitzenbach,1275,0,1994,,498895.85,356059.4,,,14.635740642739778,47.09669956455083
3000003,106898,Stadt Haag,Erla,349,0,1895,,491937.26,468445.26,,,14.567532344085537,48.10873323085702
1000061,111146,Stadtschlaining,Tauchenbach,424,0,1930,,622124.37,384885.5,,,16.272725331504567,47.32576546389485
6000156,112367,Stainz,Stainzbach,328,0,1895,,548298.19,334525.6,,,15.279376038456224,46.89370802464001
2000014,113225,Stall,Möll,849,0,1895,,377249.03,332074.87,,,13.034040357438789,46.88790879437056
7000097,102277,Stams,Inn,711,0,1964,,222438.89,377616.62,,,10.984851407310826,47.27387613070922
6000173,112540,Stanz,Stanzbach,648,0,1901,,563109.54,398815.29,,,15.49717856688898,47.46844592019855
6003250,106708,Stein (Enns),Sölk,680,0,2003,,445872.98,393541.68,,,13.940966205035634,47.43977618152063
3000097,107888,Steinabrunn,Senningbach,241,0,1895,,612492.09,516581.42,,,16.209781899043133,48.51295961673449
7000145,102756,Steinberg am Rofan,Brandenberger Ache,1013,0,1895,,284085.78,403430.09,,,11.792914210468794,47.51996308799925
1000017,110429,Steinbrunn,Wulka,210,0,1953,,630931.71,441198.49,,,16.418738274672222,47.82897940803184
4000152,106559,Steyr,Enns,336,0,1864,,481360.02,461763.39,,J,14.424212845233177,48.05004958276921
6000170,112516,Straß,Schwarzaubach,256,0,1975,,575019.95,317630.74,,,15.623443162951736,46.7352029232822
5000078,104356,Straßwalchen,Schwemmbach,530,0,1895,,393844.65,453045.25,,,13.250090214125064,47.97669461918217
4000080,105254,Strobl,St.Wolfgangsee,540,0,1901,,411569.25,424743.11,,,13.48683439579936,47.72200258018509
5000005,103440,Stuhlfelden,Salzach,816,0,1880,,339180.99,377126.9,,,12.52829444084064,47.2908231129098
8000072,100727,Sulzberg,Weißach,982,0,1901,,141774.93,408186.82,,,9.901603987798094,47.52173352709713
6000183,112649,Södingberg,Södingbach,480,0,1980,,542183.34,355002.11,,,15.205602782808052,47.07924590284024
7000092,102228,Sölden,Ötztaler Ache,1332,0,1911,,223698.81,345392.38,,,11.014228536317985,46.98440128826932
7000192,103226,Söll-Stockach,Weißache,660,0,1980,,315680.36,402212.91,,,12.212746517291505,47.51389082241999
7000013,101261,Tannheim-Kienzen,Vils,1110,0,1895,,186960.03,404017.48,,,10.503400013111344,47.50064164100044
7000110,102400,Telfes im Stubai,Ruetz,1035,0,1958,,250288.3,364789.97,,,11.357227208933732,47.16549111032172
7000100,102301,Telfs,Inn,618,0,1964,,230300.08,381214.36,,,11.087358355129702,47.30832662858976
7004212,103382,Telfs-Zimmerbergklamm,Inn,967,0,2001,,227373.47,383841.08,,,11.047636199598347,47.331182132324926
3000179,109074,Texing,Mank,469,0,1981,,548981.06,461269.45,,,15.33104715312248,48.0335395672942
5002386,115022,Thalgau,Fuschler Ache,741,0,2009,,390825.81,441020.22,,,13.209904737003434,47.86847440956355
7000182,103127,Thiersee-Landl,Thierseer Ache,700,0,1977,,302894.99,410685.42,,,12.04109854603723,47.58832141392713
5000097,111591,Thomatal,Mur,1071,0,1898,,430449.5,353133.41,,,13.733683869324995,47.07709940928945
8000037,100370,Thüringen,Ill,547,0,1895,,129646.23,372333.31,,J,9.76256877909233,47.194546822838994
8000087,100875,Thüringerberg,Lutz,967,0,1988,,131460.35,374776.17,,,9.785017740779464,47.21725202895772
4000163,106872,Tragwein,Aist,455,0,1895,,495856.72,492771.09,,,14.625594348593342,48.3269574648027
6000119,111997,Tragöß,Lamingbach,770,0,1901,,531371.71,404812.82,,,15.077937150338624,47.52956190632923
6000192,112730,Trahütten,Sulm,970,0,1985,,537532.27,326535.32,,,15.135673592273038,46.824166713456506
3000355,116186,Trattenbach (Schlaggraben),Feistritz,1100,0,1991,,591479.57,415916.44,,,15.88085002276746,47.61451180707162
4000208,104984,Eferding,Donau,"263,6",0,1996,,451563.29,489933.39,,,14.02780342359281,48.30651247726362
7000106,102368,Trins,Gschnitzbach,1235,0,1891,,254660.53,355611.54,,,11.417882436301896,47.0839178832911
6000107,111872,Trofaiach,Vordernberger Bach,660,0,1927,,526286.01,393458.55,,,15.007148745363493,47.42843250638149
2002222,114884,Tröpolach,Gail,615,0,1998,,396109.89,301429.95,,,13.281860155889536,46.61256149840626
3000103,108043,Tullnerbach,Wien,281,0,1892,,607591.83,479795.24,,,16.12561429080649,48.18389018091446
6000271,123133,Turracher Höhe,Turrach,1767,0,1998,,441619.67,335560.95,,,13.879186775535883,46.91838040135098
5000092,111542,Tweng,Taurach,1200,0,1895,,422405.09,364271.91,,,13.628282047005811,47.17764118494004
3000055,107466,Türnitz,Traisen,480,0,1895,,559950.8,450034.42,,,15.473982335263663,47.929877080728886
3000363,116269,Ulrichskirchen,Rußbach,183,0,1989,,633970.14,504654.09,,,16.49374127662018,48.398262358124406
5002243,110189,Unken,Unkenbach,587,0,2006,,354002.01,416339.88,,,12.720177766368968,47.64484671929362
3000325,115865,Unterhöflein,Warme Fischa,441,0,1992,,602058.91,436324.46,,,16.030948591828707,47.79480968875988
4000129,106278,Unterlaussa,Laussabach,540,0,1895,,491833.92,425178.98,,,14.557013208910725,47.7195483386934
3000365,116285,Unterretzbach,Pulkau,236,0,1990,,595889.95,544394.29,,,15.998058355245297,48.76826304405579
6000005,105957,Untertal-Tetter,Thalbach,1040,0,1921,,428632.13,384070.59,,,13.71171712140304,47.35554032958292
5000086,105932,Untertauern,Taurach,1016,0,1895,,413259.5,378394.73,,,13.508004172985476,47.30495866815555
6000090,111708,Unzmarkt,Mur,745,0,1901,,483995.34,366808.03,,,14.441445354194771,47.1954762156052
6000175,112565,Veitsch,Mürz,665,0,1901,,562729.89,410785.82,,,15.496558679979756,47.576202028448165
2000150,114629,Velden-Weinzierl,Wörther See,535,0,1956,,451221.98,302111.04,,,14.001516661124576,46.6167399284144
4000024,104521,Vichtenstein,Donau,592,0,1895,,500210.11,506555.96,,,14.68754136623596,48.45026825091247
5002245,115030,Vigaun,Tauglbach,495,0,2006,,385459.65,418775.21,,,13.138911382426814,47.668238545213576
7000014,101279,Vils,Vils,810,0,1948,,197282.93,409257.52,,,10.637960907804157,47.55106320759837
3000197,109256,Vitis,Deutsche Thaya,519,0,1895,,535878.9,541325.0,,,15.180847288202674,48.756319580074326
6000058,110932,Vorau,Lafnitz,689,0,1901,,592599.03,392170.06,,,15.88537308231662,47.40064205728298
4000097,105445,Vöcklabruck,Vöckla,423,0,1895,,424775.34,456480.33,,J,13.664701777559642,48.00716360284708
3000120,108290,Vösendorf,Schwechat,"190,5",0,1963,,624121.49,473142.55,,,16.34433686386363,48.11853939517165
2000058,113670,Waidegg,Gail,637,0,1895,,392032.24,304147.8,,J,13.22856935041,46.63697774455718
3000200,109280,Waidhofen an der Thaya,Deutsche Thaya,498,0,1895,,542525.45,546832.76,,J,15.273089979563444,48.80438274943867
7000210,103986,Waidring,Großache,775,0,1895,,341229.88,410288.34,,,12.550957095320792,47.58936589108062
6000101,111815,Wald am Schoberpaß,Liesingbach,849,0,1901,,500645.33,395524.85,,,14.667699314381526,47.45147770833339
5002167,104208,Wald,Salzach,860,0,1994,,316763.22,372126.22,,,12.232799491185814,47.24335126702795
4000147,106450,Waldneukirchen,Steyr,438,0,1895,,469219.54,455737.71,,,14.260371828938563,47.99725992589816
4000008,104364,Waldzell,Waldzeller Ache,500,0,1872,,406874.6,471404.65,,,13.424950498167853,48.14185573719136
4000054,104828,Waxenberg,Große Rodl,700,0,1918,,463450.6,508650.99,,,14.1908528143597,48.473803840240855
7000117,102475,Weerberg,Inn,928,0,1895,,276976.62,379781.8,,,11.705103516103964,47.30592494698903
6000034,106245,Weichselboden,Salza,680,0,1926,,538543.55,420849.77,,,15.178234173696728,47.67232307596037
8000094,100941,Weiler,Frutz,533,0,1991,,122313.3,384793.12,,,9.658096920045114,47.30345690494095
4000161,106856,Weitersfelden-Ritzenedt,Waldaist,764,0,1895,,502670.84,510290.85,,J,14.721708116609411,48.4834671796271
5000055,103945,Weißbach bei Lofer,Saalach,668,0,1901,,356393.67,402728.27,,,12.7533776923712,47.52254911187632
2000061,113704,Weißbriach,Gösseringbach,760,0,1858,,394815.56,308687.6,,,13.264873214386968,46.67785454325658
4000091,105387,Weißenbach am Attersee,Attersee,476,0,1895,,415416.83,432770.19,,,13.53841341589666,47.79414271698269
3000112,108217,Weißenbach bei Mödling,Mödling,388,0,1920,,613969.31,469971.06,,,16.206463455994953,48.093482972336936
2000040,113480,Weißenstein,Drau,542,0,1936,,429769.1,309271.52,,,13.72185412703887,46.68247533048741
5000093,111559,Weißpriach,Weißpriach,1100,0,1895,,428413.9,364060.12,,,13.70756099245869,47.17550468033454
4000105,105528,Wels,Traun,306,0,1893,,454528.31,474013.03,,J,14.065765104198627,48.16306263802252
6002917,115394,Wenigzell,Kraxenbach,785,0,1998,,585872.16,395383.36,,,15.797622446662547,47.431489834694936
4000017,104455,Wernstein,Inn,355,0,1897,,409282.0,513310.97,,,13.458192462769505,48.51877969387087
6000080,111419,Wetzelsdorf,Raab,303,0,1990,,593102.5,346965.7,,,15.872490827565205,46.99397669628889
4000121,105684,Weyregg,Attersee,469,0,1975,,417856.73,444957.56,,,13.57148258392877,47.90372651860557
9000014,108118,Wien (Botanischer Garten),Wien,180,0,1873,,626751.21,481626.04,,J,16.384109039716535,48.193875566890334
9000008,107995,Wien (Rathausplatz),Wien,185,0,1884,,624772.45,483295.39,,,16.3583796540569,48.209576077904025
9000020,108357,Wien (Rosenhügel),Liesing,244,0,1884,,619921.61,477776.55,,,16.290319273969388,48.16164464824387
9000045,117101,Wien (Spargelfeld),Donau,159,0,1991,,633024.87,486687.6,,,16.471194950568144,48.23712656367389
9000018,108159,Wien-Kagran,Donau,158,0,1960,,629994.46,487262.48,,,16.430729455451903,48.24338618466636
9000042,117077,Wien-Mauerbach,Wien,215,0,1986,,614104.4,483900.57,,,16.21520514843782,48.21865930379163
9000044,117093,Wien-Neueßling,Donau,155,0,1986,,638591.45,486327.2,,,16.545887529165373,48.23184348880234
6000174,112557,Wies,Weiße Sulm,390,0,1929,,547370.53,315428.46,,,15.260994469787112,46.72213699027186
3000032,107235,Wieselburg,Kleine Erlauf,263,0,1895,,533450.04,471311.99,,,15.125888084181303,48.12725813100319
2000094,114066,Wietersdorf,Görtschitz,630,0,1896,,491523.7,328536.72,,,14.53303055298761,46.85015353103237
6000035,106252,Wildalpen,Salza,610,0,1901,,523779.02,418522.54,,J,14.98095042150512,47.65437042194808
7000146,102764,Wildschönau-Mühltal,Inn,790,0,1923,,301471.04,393080.26,,,12.026110939568708,47.42972847326546
1000038,110635,Winden am See,Neusiedler See,125,0,1940,,655610.41,455441.84,,,16.75651306480149,47.94772144638458
4000150,106492,Windhaag bei Freistadt,Maltsch,724,0,1901,,490839.74,521539.1,,,14.564061167532923,48.58641273766271
4000173,117531,Windhaag bei Perg,Naarn,372,0,1960,,498106.39,486048.89,,,14.65439727185183,48.26615825804334
4000143,106419,Windischgarsten (Schule),Teichl,604,0,1877,,474516.29,425001.41,,,14.32611362001952,47.72016746496118
6000062,110999,Hartberg,Safenbach,350,0,1901,,599596.62,379377.16,,,15.972300873552513,47.28350058051088
2000158,114702,Wolfsberg,Lavant,461,0,1970,,513872.85,326388.55,,J,14.82554855554397,46.82735157289728
4000099,105460,Wolfsegg am Hausruck,Ager,585,0,1875,,425900.55,468161.55,,,13.680480245956597,48.11220426075152
1000041,110668,Wulkaprodersdorf,Wulka,164,0,1978,,638397.42,438281.47,,,16.516805404692587,47.80005067881318
3000339,116012,Wultendorf,Thayamühlbach,227,0,1992,,630546.33,533970.5,,,16.46346458975892,48.662973505678615
7000009,101220,Wängle,Lech,892,0,1895,,200794.26,401695.65,,,10.688023248015984,47.48415312144066
2000141,114538,Würmlach,Gail,692,0,1899,,375689.88,307060.23,,,13.014934728487145,46.66277724834506
5000090,111526,Zederhaus,Zederhausbach,1200,0,1896,,413730.6,361046.91,,,13.51371152265514,47.14885860262585
6000185,112664,Zehensdorf,Saßbach,288,0,1981,,581915.7,327722.68,,,15.71769200213561,46.82410319901166
6000164,112441,Zelting,Mur,200,0,1955,,605456.45,315321.84,,,16.020482245442693,46.70567871349354
7000226,114934,Zettersfeld,Drau,1903,0,1988,,358908.51,329842.34,,,12.793541233183012,46.86692409394144
8000096,100966,Zug,Lech,1510,0,1992,,155490.13,371644.49,,,10.103803481709408,47.198535461077945
1000005,110072,Zurndorf,Leitha,144,0,1923,,673581.7,460079.16,,,16.999824012050865,47.98203006857654
3000067,107581,Zwettl-Edelhof,Kamp,595,0,1883,,539399.97,524683.76,,,15.223228937703452,48.6059369156448
3000288,111245,Zöbern,Zöbernbach,590,0,1921,,610525.07,405398.83,,,16.129074731864165,47.514053412425206
8000098,101113,Zürs,Lech,1707,0,1910,,159845.12,368541.99,,,10.162919766064178,47.17225830223173
4000139,106377,Linzer Haus,Teichl,1435,0,1933,,471712.82,416760.63,,,14.287393527602756,47.64634577303596
3000092,107839,Absdorf,Donau,182,0,1909,,595659.63,503448.72,,,15.97600558545654,48.40027983976302
4000020,104489,Ach-Burghausen,Salzach,473,0,1991,,363785.92,472233.7,,,12.845737859579518,48.14831195335015
8000084,100842,Alberschwende,Bregenzerach,717,0,1982,,137483.24,401245.84,,,9.848793364220391,47.45762523278477
3000148,108670,Alland-Groisbach,Schwechat,387,0,1895,,602827.58,464082.87,,,16.05417448194721,48.04415002971464
4000101,105486,Almsee-Fischerau,Alm,574,0,1895,,446218.13,436189.23,,,13.950011923046922,47.82344500790101
6000082,111435,Alpl,Feistritz,1020,0,1990,,575659.06,402060.65,,J,15.664913814694977,47.49437177133181
8000088,100883,Altach,Rheintalbinnenkanal,412,0,1990,,122332.02,390930.11,,,9.654499437153698,47.35862131811751
3000155,108746,Altenburg,Kamp,393,0,1976,,566686.99,530147.45,,,15.59529136230998,48.648512695457846
4000010,104380,Altheim,Ach,358,0,1895,,392076.77,483354.81,,,13.225826977701942,48.24933690559854
4002625,105767,Altmünster,Traunsee,517,0,1998,,431908.14,441697.57,,,13.759244601481466,47.8738623944965
7000203,103333,Am Nachtsöllberg,Brixentaler Ache,995,0,1986,,316512.53,392585.93,,,12.225624207843731,47.42738914694839
8000093,100933,Amerlügen (Saminaweg),Ill,760,0,1991,,118333.47,374342.37,,,9.61213632467835,47.207825855099216
1000033,110585,Andau,Neusiedler See,119,0,1933,,676470.09,437191.1,,,17.023933968622785,47.77511648702702
8000063,100636,Andelsbuch,Bregenzerach,600,0,1922,,139360.7,395101.94,,,9.877302642582004,47.4031554602266
6000263,123075,Anger,Feistritz,520,0,1996,,578757.84,378454.86,,,15.696514585269924,47.28123380250671
3000374,115568,Annaberg,Große Erlauf,924,0,1909,,552127.69,443770.93,,,15.367104432865965,47.87543520999213
5002201,126029,Annaberg,Lammer,720,0,2002,,406756.05,404161.94,,,13.422354603005909,47.53689635948053
7000214,113035,Anras,Drau,1300,0,1912,,341810.83,319935.04,,,12.570523221518869,46.77648785275676
1000031,110569,Apetlon,Neusiedler See,118,0,1923,,662948.72,432886.86,,,16.84106075604505,47.74206135068288
2000065,113746,Arnoldstein,Gailitz,574,0,1880,,429011.02,294496.1,,,13.711009375379794,46.54956212568092
4000041,104695,Aschach an der Donau,Aschach,292,0,1895,,449590.21,497581.48,,,14.00208403571232,48.37546042138411
7000191,103218,Aschau,Aschauer Ache,1005,0,1979,,322626.2,387557.47,,,12.307559087898246,47.382906805594814
4000092,105395,Attersee,Attersee,"475,5",0,1926,,415530.6,446335.87,,,13.54040849702761,47.91618567656802
8000056,100560,Au-Argenau,Bregenzerach,807,0,1907,,146692.25,385798.09,,,9.97969872786436,47.32241568644575
7000200,103309,Axams,Inn,890,0,1984,,244256.75,372119.54,,,11.27511515967008,47.23000781583293
8000101,101543,Baad,Iller,1216,0,1994,,157534.97,384007.59,,,10.124030319323015,47.31044207408536
2000071,113803,Babniak,Drau,"452,7",0,1896,,469697.92,292570.71,,,14.24130800632361,46.529223379270825
3000137,108555,Bad Deutsch-Altenburg,Donau,"172,5",0,1880,,665377.29,475993.71,,,16.899779656439897,48.12847572410955
4000077,105213,Bad Goisern,Traun,"571,8",0,1895,,422661.99,415332.13,,,13.634257722583422,47.63704189811519
4000066,104943,Bad Leonfelden,Große Rodl,725,0,1981,,471387.44,513562.11,,,14.29903100229781,48.51713899655368
3000307,115683,Bad Schönau,Zöbernbach,474,0,1987,,618153.03,403547.22,,,16.229401181173948,47.4948968968469
6000063,111005,Bad Waltersdorf,Safenbach,285,0,1901,,602991.17,366489.58,,,16.011293294862472,47.16656618719932
3000001,106484,Behamberg,Enns,495,0,1896,,486659.24,460172.33,,,14.494987118081262,48.03504842904329
7000011,101246,Berwang,Lech,1338,0,1895,,205004.8,393413.7,,,10.7475401794359,47.41095507429812
8000048,100487,Bildstein,Dornbirnerach,720,0,1894,,131882.34,402417.58,,,9.773855668608668,47.46587186516495
6000325,123117,Birkfeld (Schule),Feistritz,680,0,1996,,578071.27,386251.74,,,15.690564162959788,47.351542142814814
6000044,106633,Birnberg,Enns,820,0,1994,,429901.04,390352.45,,,13.728938579440149,47.41200436666248
8000060,100602,Bizau,Bregenzerach,705,0,1895,,143836.6,390833.39,,,9.9390357771903,47.36656235033709
2000047,113555,Bleistätter Moor,Ossiacher See,510,0,1951,,454505.1,311155.53,,,14.045464152497107,46.69785830857288
8000036,100362,Blons,Lutz,1138,0,1900,,135483.5,375962.68,,,9.837388683821771,47.22955852301507
7000004,101170,Boden,Lech,1355,0,1957,,193777.22,379696.63,,,10.605203737370523,47.28414923575266
2000074,113837,Bodental,Drau,1055,0,1956,,467708.98,285795.01,,,14.214382163784713,46.46846767698906
4000155,106617,Bodinggraben,Krumme Steyrling,640,0,1992,,479338.05,432853.08,,,14.39181697201204,47.79023080667165
4000154,106609,Bosruckhütte,Teichl,1036,0,1992,,477616.0,416051.75,,,14.36585616914721,47.63929138667896
5002229,106682,Bramberg,Weyerbach,844,0,2006,,323425.2,374167.8,,,12.320461521364926,47.26253642050151
8000031,100313,Brand,Alvier,1000,0,1895,,127913.64,362712.43,,,9.7455886344954,47.10735381772936
3000083,107748,Brand-Laaben,Große Tulln,"361,6",0,1899,,589710.42,470227.69,,,15.880992820531022,48.10339292527457
7000144,102749,Brandenberg,Brandenberger Ache,920,0,1966,,291709.07,399921.47,,,11.89501390593426,47.48971755308549
4000006,104323,Braunau am Inn,Mattig,360,0,1895,,380942.54,483814.28,,,13.075843545277424,48.2532311500657
8000077,100776,Bregenz (Altreuteweg),Bodensee,"399,5",0,1893,2022.0,127068.22,406864.17,J,J,9.707295292693496,47.5038333253748
