dbmsnr,hzbnr01,mstnam02,gwgeb03,code03,gwkoerpe04,code04,gokmua05,gwtmug06,daterr07,datauf08,xrkko09,yhkko10,aufge_f,sym_ehyd
3002758,327171,"Obergrafendorf, Bl 315",190,190 Pielachtal,100022,Pielachtal [DUJ],"274,29","7,6",19820101,,"564218,68","475617,78",,2
3002764,327239,"Thurnsdorf, Bl 321",173,173 Unteres Ennstal,100027,"Unteres Ennstal (NT,OT) [DUJ]","279,94","26,25",19820101,,"486383,41","473166,13",,1
3002782,327411,"Purgstall, Bl 337",187,187 Erlauftal,100017,Erlauftal / Pöchlarner Feld  [DUJ],"293,62","19,1",19840101,,"534643,94","464568,81",,1
3002784,327437,"Wieselburg, Bl 339",187,187 Erlauftal,100017,Erlauftal / Pöchlarner Feld  [DUJ],"260,42","10,6",19840101,,"534930,72","470072,93",,2
8002148,327619,"Tosters, Bl 01.32.53 A",4,004 Rheintal,100149,Rheintal [RHE],"446,39","12,2",19820101,,"115877,6","377756,39",,2
8002140,327536,"Gaissau, Bl 50.2.35",4,004 Rheintal,100149,Rheintal [RHE],"399,02","5,26",19820101,,"117726,79","404767,61",,2
8002142,327551,"Hard, Bl 50.2.37",4,004 Rheintal,100149,Rheintal [RHE],"399,16","3,43",19820101,,"126183,3","405084,95",,1
8002163,327809,"Andelsbuch, Bl 30.1.02",6,006 Bregenzerwald,100151,Gruppe Helvetikum [RHE],"613,46","9,08",19850101,,"140831,52","396478,66",,2
8002193,328104,"Hohenems, Bl 50.4.21",4,004 Rheintal,100149,Rheintal [RHE],"426,08","3,42",19800101,,"124361,98","390579,3",,2
8002185,328021,"Altach, Bl 50.4.13 A",4,004 Rheintal,100149,Rheintal [RHE],"411,09","4,51",19800101,,"122174,83","390384,94",,2
8002203,328211,"Lustenau, Bl 50.3.09 A",4,004 Rheintal,100149,Rheintal [RHE],"402,57","4,17",19800101,,"124474,33","398198,67",,2
8002208,328260,"Dornbirn, Bl 50.3.14",4,004 Rheintal,100149,Rheintal [RHE],"411,78","7,33",19810101,,"128984,31","399135,14",,2
8002222,328443,"Höchst, Bl 50.2.26",4,004 Rheintal,100149,Rheintal [RHE],"399,82","4,09",19820101,,"122083,33","403096,26",,2
8002218,328401,"Fußach, Bl 50.2.22",4,004 Rheintal,100149,Rheintal [RHE],"396,34","3,59",19820101,,"123860,6","405029,95",,2
8002219,328419,"Fußach, Bl 50.2.23",4,004 Rheintal,100149,Rheintal [RHE],"396,58","3,28",19820101,,"122768,63","404539,72",,1
8002221,328435,"Höchst, Bl 50.2.25",4,004 Rheintal,100149,Rheintal [RHE],"401,67","6,3",19820101,,"123361,67","401529,21",,2
8002212,328302,"Lustenau, Bl 50.3.18",4,004 Rheintal,100149,Rheintal [RHE],"401,2","10,05",19810101,,"124096,94","400594,34",,2
6002521,328666,"Judendorf-Strassengel, Br  3276",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"386,53","16,7",19800101,,"551619,48","359907,81",,2
6002527,328724,"Großlobming, Br  2516",360,360 Aichfeld-Murboden,100096,Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR],"636,94",0,19800101,,"511640,18","366763,65",,1
6002532,328773,"Gratwein, Br  3248",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"378,21","4,2",19800101,,"550656,46","361197,15",,2
6002561,329078,"Weitersfeld, Br 38715",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"241,09",0,19810101,,"583220,18","315438,83",,1
6002540,328864,"Werndorf, Bl 35662",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"315,58","8,2",19650101,,"563034,41","339330,83",,2
6002536,328815,"Goritz b. R., Br 39212",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"215,92",0,19800101,,"603751,53","316904,65",,1
6002524,328690,"Dornau, Br 39139",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"212,01","3,8",19800101,,"601114,58","315832,47",,1
6002557,329037,"Gersdorf, Br  5636",340,340 Feistritztal,100126,Feistritztal [LRR],"336,18","4,7",19740101,,"591063,86","365656,85",,1
6002580,329268,"Donnersdorf, Bl  3903",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"218,94",5,19600101,,"596213,11","316431,84",,2
6002568,329144,"Joess, Br 37861",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"280,62","2,9",19770101,,"567105,17","328030,95",,2
6002570,329169,"Unterschwarza, Bl 38595",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"248,6","7,2",19810101,,"578843,28","316084,59",,2
6002610,329573,"Unterpremstätten, Blt 35465",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"332,67",9,19840101,,"559146,63","343725,83",,2
6002634,329813,"Wagna, Br  3834",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"268,82","6,9",19850101,,"569813,71","321085,23",,2
6002631,329789,"Lebring, Br  3788",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"285,1",0,19850101,,"568703,65","328347,63",,1
6002617,329649,"Graz  2, Br  3439",380,380 Grazer Feld,100097,Grazer Feld (Graz/Andritz - Wildon) [MUR],"362,21","17,1",19850101,,"560749,28","354471,64",,2
6002637,329847,"Leibnitz, Bl 38088",390,390 Leibnitzer Feld,100098,Leibnitzer Feld [MUR],"271,74",0,19850101,,"570377,42","324294,33",,1
6002652,329995,"St. Margarethen, Bl  2548",364,364 Mittleres Murtal,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"617,29",0,19720101,,"515727,11","371905,43",,1
6002653,330001,"St. Margarethen, Blt 25485",364,364 Mittleres Murtal,100099,Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR],"617,21",12,19860101,,"515727,11","371905,43",,2
9002141,330027,"Wien 21, Bl 21-86",224,224 Marchfeld,100020,Marchfeld [DUJ],"168,78","17,75",19810101,,"626108,03","489290,92",,1
7002024,330456,"Münster, Bl  3",20,020 Unterinntal,100002,Inntal [DBJ],"518,7","9,1",19820101,,"287431,69","392428,11",,1
7002017,330381,"Thaur, Bl 3",20,020 Unterinntal,100002,Inntal [DBJ],"563,58",0,19840101,,"258807,03","377294,73",,1
7002006,330274,"Volders, Bl 2",20,020 Unterinntal,100002,Inntal [DBJ],"550,93","10,16",19820101,,"267353,18","378846,55",,2
7002027,330480,"Weer, Bl  2",20,020 Unterinntal,100002,Inntal [DBJ],"543,68",0,19850101,,"272680,46","380906,19",,1
10001061,331082,"Fischamend, Bl 1909.6",250,250 Südliches Wiener Becken,100024,Südl. Wiener Becken [DUJ],"149,91","7,7",19820101,,"644294,82","474458,55",,2
10001058,331116,"Regelsbrunn, Bl 1898.2",264,264 Fischamend bis Hainburger Pforte,100176,Gruppe Südl. Wiener Becken-Ostrand [DUJ],"146,45","9,6",19830101,,"654829,86","474502,76",,1
10001063,331124,"Petronell, Bl 1890.6",264,264 Fischamend bis Hainburger Pforte,100176,Gruppe Südl. Wiener Becken-Ostrand [DUJ],"144,3",9,19830101,,"662018,69","474893,27",,2
7002060,330811,"Lengberg, Bl 1",410,410 Oberes Drautal,100059,Drautal [DRA],"638,82",0,19870101,,"365137,65","321379,5",,2
7002061,330829,"Lengberg, Bl 3",410,410 Oberes Drautal,100059,Drautal [DRA],"637,45",10,19870101,,"366129,46","321829,55",,1
7002064,330852,"Buch-St.Margarethen, Bl  4",20,020 Unterinntal,100002,Inntal [DBJ],"528,85",0,19870101,,"281062,64","387780,85",,1
7002070,330910,"Inzing, Bl 2",19,019 Oberinntal,100002,Inntal [DBJ],"598,36","8,72",19870101,,"238993,72","377498,45",,2
7002052,330738,"Voldöpp, Bl 1",20,020 Unterinntal,100002,Inntal [DBJ],"511,35",0,19820101,,"292187,06","395783,89",,1
7002059,330803,"Lavant, Bl 2",410,410 Oberes Drautal,100059,Drautal [DRA],"643,35",0,19870101,,"364664,92","321169,79",,1
7002071,330928,"Inzing, Bl 4",19,019 Oberinntal,100002,Inntal [DBJ],"597,45","9,1",19870101,,"239347,39","376859,44",,1
3002829,331397,"Pöchlarn, Bl 2045.004",188,188 Pöchlarner Feld,100017,Erlauftal / Pöchlarner Feld  [DUJ],"213,26",0,19760101,,"539617,85","480366,7",,1
3002813,331223,"Lassee, Bl 345",224,224 Marchfeld,100020,Marchfeld [DUJ],"146,09","7,1",19840101,,"656380,36","484887,47",,2
3002824,331330,"Rems, Bl 354",173,173 Unteres Ennstal,100027,"Unteres Ennstal (NT,OT) [DUJ]","256,41",0,19840101,,"488336,4","479340,05",,1
3002818,331272,"Leobendorf, Bl 351",200,200 Nördliches Tullner Feld,100026,Tullnerfeld [DUJ],"169,93","7,65",19840101,,"620963,35","501286,35",,2
3002833,331439,"Rabensburg, Bl 358",276,276 Marchtal,100095,Gruppe Weinviertel [MAR],"160,41","8,1",19870101,,"662014,26","533577,03",,2
3002820,331298,"Kritzendorf, Bl 353",205,205 Südliches Tullner Feld,100026,Tullnerfeld [DUJ],"167,22",0,19840101,,"621998,98","496378,02",,1
8002054,321646,"Nenzing, Bl 05.30.01",3,003 Walgau,100150,Walgau [RHE],"513,44","4,2",19700101,,"127162,11","370587,26",,1
6002659,332569,"Diepersdorf, Blt 38916",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"227,31",4,19860101,,"591105,26","317843,69",,1
6002681,332783,"Niederöblarn, Bl  1200",157,157 Oberes Ennstal,100040,Oberes Ennstal (Landesgrenze bis Trautenfels) [DUJ,"653,06","7,1",19870101,,"451143,72","398186,27",,1
8002067,321778,"Nenzing, Bl 06.30.20",3,003 Walgau,100150,Walgau [RHE],"517,49","4,1",19740101,,"127991,84","369988,12",,2
8002073,321836,"Nüziders, Bl 06.35.06",3,003 Walgau,100150,Walgau [RHE],"524,59","7,7",19710101,,"128901,16","369587,63",,2
8002065,321752,"Thüringen, Bl 05.41.02 A",3,003 Walgau,100150,Walgau [RHE],"539,19","29,02",19740101,,"129194,45","371855,2",,1
9002162,333088,"Wien 14, Br 14-17",249,249 Wienerwald,100188,Gruppe Flyschzone [DUJ],"223,61",0,19510101,,"615435,42","482620,59",,1
8002085,321950,"Ludesch, Bl 06.36.01",3,003 Walgau,100150,Walgau [RHE],"529,81","11,4",19700101,,"129847,68","370303,3",,2
8002086,321984,"Ludesch, Bl 06.36.04",3,003 Walgau,100150,Walgau [RHE],"534,24","11,77",19740101,,"130433,01","370095,69",,2
8002087,321992,"Ludesch, Bl 06.36.06",3,003 Walgau,100150,Walgau [RHE],"537,8",19,19750101,,"130732,88","370760,69",,1
7002084,334052,"Terfens, Bl 1",20,020 Unterinntal,100002,Inntal [DBJ],"545,93",0,19850101,,"271154,6","380420,61",,1
1002219,335109,"Pamhagen, Bl 139 A",318,318 Seewinkel,100134,Seewinkel [LRR],"117,7","7,9",19890101,,"667602,35","431666,2",,1
1002227,335182,"Andau, Br 144",318,318 Seewinkel,100134,Seewinkel [LRR],"114,48",0,19890101,,"680718,04","429909,38",,1
1002230,335216,"Kleinhöflein, Br 24",313,313 Wulkatal,100081,Gruppe Wulkatal [LRR],"204,09",0,19900101,,637015,"442813,62",,1
1002237,335299,"Rax, Br 5",331,331 Raabtal,100131,Raabtal [LRR],"238,18",0,19900101,,"615420,17","341879,22",,1
1002241,335331,"Hagensdorf i.Bgld., Bl 1",334,334 Stremtal,100136,Stremtal [LRR],"200,72",0,19900101,,"636879,05","351021,33",,1
1002210,335018,"Loipersdorf, Bl 4",335,335 Lafnitztal,100129,Lafnitztal [LRR],"389,39",0,19880101,,"604806,91","385808,85",,1
1002211,335026,"Pinkafeld, Bl 18",332,332 Oberes Pinkatal,100130,Pinkatal [LRR],"403,74",0,19880101,,"609793,05","390865,67",,1
1002218,335091,"Wallendorf, Br 11",335,335 Lafnitztal,100187,Gruppe Hügelland Raab West [LRR],"231,9",0,19880101,,"620702,52","345521,08",,1
1002229,335208,"Lockenhaus, Bl 1",327,327 Günstal,100127,Günstal [LRR],"329,89","7,4",19890101,,"631271,26","395183,04",,2
1002215,335067,"Heiligenkreuz i.L., Bl 8",335,335 Lafnitztal,100129,Lafnitztal [LRR],"224,08","5,25",19880101,,"621324,17","346745,54",,2
1002239,335315,"Deutsch Kaltenbrunn, Bl 12",335,335 Lafnitztal,100129,Lafnitztal [LRR],"256,52",10,19900101,,"610109,92","356923,9",,2
1002220,335117,"Pamhagen, Br 140",318,318 Seewinkel,100134,Seewinkel [LRR],"115,95",0,19890101,,"665990,79","428039,54",,1
1002226,335174,"Tadten, Br 143",318,318 Seewinkel,100134,Seewinkel [LRR],"114,08",4,19890101,,677883,"430657,82",,2
1002240,335323,"Deutsch Kaltenbrunn, Bl 13",335,335 Lafnitztal,100129,Lafnitztal [LRR],"257,22",0,19900101,,"609312,2","356693,72",,1
1002262,335547,"Nickelsdorf, Bl 52A",288,288 Heideboden,100021,Parndorfer Platte [LRR],"126,94","6,2",19930101,,"680848,55","452791,43",,1
1002242,335349,"Hagensdorf i.Bgld., Br 2",334,334 Stremtal,100136,Stremtal [LRR],"203,67",0,19900101,,"637013,44","351025,72",,1
1002251,335430,"Deutsch Schützen, Blt 19",338,338 Unteres Pinkatal,100130,Pinkatal [LRR],"229,26",5,19920101,,"635770,51","368597,21",,1
1002253,335455,"Pama, Bl 23",288,288 Heideboden,100018,Heideboden [DUJ],"134,32","9,19",19920101,,"677994,01","465824,46",,2
1002263,335554,"Kittsee, Bl 24",288,288 Heideboden,100018,Heideboden [DUJ],"136,84","19,15",19930101,,"676892,72","473633,88",,2
1002255,335471,"Nickelsdorf, Bl 50",288,288 Heideboden,100018,Heideboden [DUJ],"130,67",0,19920101,,"679997,74","458407,91",,1
1002257,335497,"Weiden am See, Bl 147",318,318 Seewinkel,100134,Seewinkel [LRR],"116,6",0,19910101,,"663799,54","452767,52",,1
1002266,335588,"Halbturn, Bl 53",288,288 Heideboden,100021,Parndorfer Platte [LRR],"125,76",0,19930101,,"679020,3",448967,,1
1002245,335372,"Frauenkirchen, Blt 145",318,318 Seewinkel,100134,Seewinkel [LRR],"122,32",6,19920101,,"668901,25","444729,33",,2
1002261,335539,"Nickelsdorf, Bl 51",288,288 Heideboden,100021,Parndorfer Platte [LRR],"135,15","14,85",19930101,,"678991,3","453987,08",,1
1002265,335570,"Kittsee, Bl 26",288,288 Heideboden,100018,Heideboden [DUJ],"139,27",0,19930101,,"676013,73","473077,62",,1
1002249,335414,"Kittsee, Blt 22",288,288 Heideboden,100018,Heideboden [DUJ],"139,04",9,19920101,,"676024,91","471183,38",,2
1002252,335448,"Unterbildein, Blt 20",338,338 Unteres Pinkatal,100130,Pinkatal [LRR],"217,66",5,19920101,,"637287,93","363454,65",,2
1002260,335521,"Neumarkt a. d. R., Br 6",331,331 Raabtal,100131,Raabtal [LRR],"243,88",0,19930101,,"615277,99","340319,42",,1
1002272,335646,"Girm, Bl 3",325,325 Ikvatal,100128,Gruppe Ikvatal [LRR],"188,23",0,19930101,,"645955,53","416718,35",,1
1002280,335737,"Lutzmannsburg, Bl 8",326,326 Rabnitztal,100132,Rabnitztal [LRR],"205,9",0,19940101,,"649125,98","401750,23",,1
1002282,335778,"Steinberg, Bl 12",326,326 Rabnitztal,100132,Rabnitztal [LRR],"256,82",0,19930101,,"638406,19","401023,36",,1
1002286,335828,"Frankenau, Br 17",326,326 Rabnitztal,100132,Rabnitztal [LRR],"227,57",0,19940101,,"645277,02","398958,09",,1
1002298,335943,"Stegersbach, Bl 4",334,334 Stremtal,100136,Stremtal [LRR],"251,91",0,19950101,,"614546,79","366069,85",,1
1002285,335810,"Klostermarienberg, Bl 16",326,326 Rabnitztal,100146,Gruppe Hügelland Rabnitz [LRR],"235,69",10,19930101,,"643311,78","398158,79",,2
1002290,335869,"Rattersdorf, Br 4",327,327 Günstal,100127,Günstal [LRR],"287,18",0,19930101,,"639507,07","394907,09",,1
1002296,335927,"Heiligenkreuz i.L., Bl 17A",335,335 Lafnitztal,100129,Lafnitztal [LRR],"225,32",0,19940101,,"621154,09","347475,2",,1
1002301,335976,"Rauchwart i.Bgld., Bl 7",334,334 Stremtal,100136,Stremtal [LRR],"234,09",0,19950101,,"618980,03","363395,36",,1
1002289,335851,"Liebing, Br 3",327,327 Günstal,100127,Günstal [LRR],"294,38",0,19930101,,"638222,04","395372,09",,1
1002271,335638,"Neckenmarkt, Bl 2",325,325 Ikvatal,100128,Gruppe Ikvatal [LRR],"216,06",0,19930101,,"642678,29","416357,82",,1
1002269,335612,"Gattendorf, Br 54",309,309 Parndorfer Platte,100021,Parndorfer Platte [LRR],"147,98",0,19930101,,"672042,14","463712,28",,1
1002274,335661,"Kleinwarasdorf, Bl 1",322,322 Nikitschbachtal,100128,Gruppe Ikvatal [LRR],"264,99",0,19930101,,"645500,58","409508,39",,1
1002277,335695,"Nikitsch, Bl 4",322,322 Nikitschbachtal,100128,Gruppe Ikvatal [LRR],"226,1","10,15",19930101,,"651359,33","409835,76",,1
1002287,335836,"Frankenau, Bl 18",326,326 Rabnitztal,100132,Rabnitztal [LRR],"219,57",0,19940101,,"645910,97","398372,39",,1
1002291,335877,"Gattendorf, Bl 55",309,309 Parndorfer Platte,100021,Parndorfer Platte [LRR],"172,79",0,19940101,,"669204,71","459450,8",,1
1002292,335885,"Zurndorf, Bl 56",309,309 Parndorfer Platte,100021,Parndorfer Platte [LRR],"166,55",0,19940101,,"670800,33","457989,34",,1
1002293,335893,"Gols, Bl 57",309,309 Parndorfer Platte,100021,Parndorfer Platte [LRR],"161,08","27,2",19940101,,"669034,94","454051,98",,1
1002300,335968,"Bocksdorf, Bl 6",334,334 Stremtal,100136,Stremtal [LRR],"238,18",0,19950101,,"617675,03","363284,53",,1
1002288,335844,"Rattersdorf, Bl 2",327,327 Günstal,100127,Günstal [LRR],"301,87","7,65",19930101,,"636402,21","395119,36",,2
1002268,335604,"Markt Allhau, Bl 15",335,335 Lafnitztal,100129,Lafnitztal [LRR],"343,54",0,19940101,,"606621,75","379983,68",,1
1002267,335596,"Leithaprodersdorf, Bl 5",250,250 Südliches Wiener Becken,100178,Gruppe Südl. Wiener Becken-Ostrand [LRR],"201,76",0,19930101,,"634122,32","453147,89",,1
1002270,335620,"Horitschon, Br 1",325,325 Ikvatal,100128,Gruppe Ikvatal [LRR],"239,25",0,19930101,,"641930,09","414726,82",,1
1002273,335653,"Deutschkreutz, Bl 4 A",325,325 Ikvatal,100128,Gruppe Ikvatal [LRR],"182,44","17,09",19930101,,"649388,32","417223,65",,2
1002279,335729,"Großmutschen, Br 7",326,326 Rabnitztal,100146,Gruppe Hügelland Rabnitz [LRR],"235,28",0,19940101,,"645259,32","401405,27",,1
1002294,335901,"Gattendorf, Bl 58",288,288 Heideboden,100018,Heideboden [DUJ],"139,61",9,19940101,,"672425,37","464035,01",,1
1002302,335984,"St.Michael i. Bgld., Bl 8",334,334 Stremtal,100181,Gruppe Hügelland Raab Ost [LRR],"233,72",0,19950101,,"622908,26","361887,75",,1
1002304,336008,"Tobaj, Bl 10",334,334 Stremtal,100136,Stremtal [LRR],"219,74",0,19950101,,"625362,65","358567,82",,1
4002674,374314,"Oberottensheim, Br 2143.005",95,095 Nördliches Eferdinger Becken,100036,Eferdinger Becken [DUJ],"261,03",0,19690101,,"462905,71","493286,84",,1
4002834,374074,"Braunau, Bl 11",55,055 Mattigtal,100200,Gruppe Zwischen Salzach und Mattig [DBJ],"352,39","2,78",19720101,,"379427,33","484160,43",,1
4003068,374678,"Wilhering, Br 2143.008",96,096 Südliches Eferdinger Becken,100190,Gruppe Böhmische Masse [DUJ],"258,95",0,19680101,,"463513,76","492295,89",,1
4003028,374967,"Bergham, Br 53.2",110,110 Traun-Agergebiet,100204,Gruppe Traun und Zubringertäler [DUJ],"392,32",0,19840101,,"438693,8","461333,07",,3
4003036,375113,"Roitham, Br 58.2",110,110 Traun-Agergebiet,100204,Gruppe Traun und Zubringertäler [DUJ],"402,78",0,19840101,,"435753,95","458288,3",,3
2002132,338616,"Judendorf, Blt 101 (309773)",425,425 Unteres Gailtal,100060,Gailtal [DRA],"493,72","7,09",19900101,,"439324,33","298926,4",,1
4002967,375923,"Marchtrenk, Br 25.5",122,122 Welser Heide,100045,Welser Heide [DUJ],"306,75",0,19780101,,"455860,71","476486,03",,3
4002854,376517,"Aschet, Br 31.2",122,122 Welser Heide,100045,Welser Heide [DUJ],"313,69",0,19780101,,"451070,77","472384,29",,3
4002990,376657,"Strass, Br 38.3",122,122 Welser Heide,100045,Welser Heide [DUJ],"346,85",0,19810101,,"445892,87","469682,48",,3
4002686,376608,"Steyregg, Bl 2126.011",143,143 Nördliches Linzer Feld,100038,Linzer Becken [DUJ],"250,64",0,19770101,,"476320,03","487274,78",,3
4002732,376954,"Ansfelden, Bl 8.8",154,154 Südliches Linzer Feld,100045,Welser Heide [DUJ],"263,99",0,19790101,,"471035,41","481506,63",,3
4002629,376715,"Kreisbichl, Bl 41.7",122,122 Welser Heide,100045,Welser Heide [DUJ],332,0,19810101,,"444527,66","467074,94",,3
8002098,322115,"Lauterach, Bl 50.2.10 A",4,004 Rheintal,100149,Rheintal [RHE],"403,1","6,99",19780101,,"127068,03","404290,41",,2
8002102,322156,"Hard, Bl 50.2.18",4,004 Rheintal,100149,Rheintal [RHE],"398,13","4,29",19780101,,"125441,9","404782,53",,2
